,Concept_ID,cv,et
127,Meer::N,тинӗс,meri
128,Bucht::N,тинӗс кукӑрӗ,laht
129,Insel::N,утрав,saar
130,Blume::N,чечек,lill
131,Gras::N,курӑк,rohi
132,Wurzel::N,тымар,juur
133,Baum::N,йывӑҫ,puu
134,Stamm::N,вулӑ,tüvi
135,Rinde::N,хуйӑр,koor
136,Ast::N,турат,oks
137,Zweig::N,турат,oks
138,Blatt::N,ҫулҫӑ,leht
139,Birke::N,хурӑн,kask
140,Kiefer[Baum]::N,хыр,mänd
141,Weide[Baum]::N,хӑва,paju
142,Tanne::N,чӑрӑш,nulg
143,Horn::N,мӑйрака,sarv
144,Feder::N,тӗк,sulg
145,Fell::N,ҫӑм,karvkate
146,Fell::N,ҫӑм,karusnahk
147,Flügel::N,ҫунат,tiib
148,Flügel::N,ҫунат,tiivik
149,Klaue::N,чӗрне,küüs
150,Kralle::N,ура,küünis
151,Schwanz::N,хӳре,saba
152,Ei::N,ҫӑмарта,muna
153,Nest::N,йӑва,pesa
154,Bau::N,йӗнӗ,urg
155,Tier::N,выльӑх,loom
156,Herde::N,кӗтӳ,kari
157,Kuh::N,ӗне,lehm
158,Bulle::N,вӑкӑр,pull
159,Pferd::N,лаша,hobune
160,Schaf::N,сурӑх,lammas
161,Schwein::N,сысна,siga
162,Hund::N,йытӑ,koer
163,Katze::N,кушак,kass
164,Bär::N,упа,karu
165,Eichhörnchen::N,пакша,orav
166,Elch::N,пӑши,põder
167,Fuchs::N,тилӗ,rebane
168,Hase::N,куян,jänes
169,Hase::N,мулкач,jänes
170,Maus::N,шӑши,hiir
171,Wolf::N,кашкӑр,hunt
172,Vogel::N,кайӑк,lind
173,Vogel::N,вӗҫен кайӑк,lind
174,Schwarm::N,ушкӑн,parv
175,Huhn::N,чӑх,kana
176,Huhn::N,чӑхӑ,kana
177,Hahn::N,автан,kukk
178,Gans::N,хур,hani
179,Adler::N,ӑмӑрт кайӑк,kotkas
180,Ente::N,кӑвакал,part
181,Eule::N,тӑмана,kakk
182,Eule::N,тӑмана,öökull
183,Kranich::N,тӑрна,kurg
184,Krähe::N,ула курак,vares
185,Kuckuck::N,куккук,kägu
186,Schwan::N,акӑш,luik
187,Fisch::N,пулӑ,kala
188,Barsch::N,уланкӑ,ahven
189,Hecht::N,ҫӑрттан,haug
190,Schlange[Tier]::N,ҫӗлен,uss
191,Wurm::N,ӑман,uss
192,Wurm::N,ӑман,vagel
193,Spinne::N,эрешмен,ämblik
194,Ameise::N,кӑткӑ,sipelgas
195,Laus::N,пыйтӑ,täi
196,Mücke::N,вӑрӑм туна,sääsk
197,Fliege::N,шӑна,kärbes
198,Schmetterling::N,лӗпӗш,liblikas
199,Beere::N,ҫырла,mari
200,Apfel::N,улма,õun
201,Apfel::N,пан улми,õun
202,Pilz::N,кӑмпа,seen
203,Zwiebel::N,сухан,sibul
204,Saat::N,вӑрӑ,seeme
205,Korn::N,тӗшӗ,iva
206,Korn::N,тӗшӗ,tera
207,Korn::N,пӗрчӗ,iva
208,Korn::N,пӗрчӗ,tera
209,Heu::N,утӑ,hein
210,Schale::N,хупӑ,koor
211,Grube::N,шӑтӑк,kaevand
212,Falle::N,тапӑ,lõks
213,Falle::N,тапӑ,püünis
214,Falle::N,капкӑн,lõks
215,Falle::N,капкӑн,püünis
216,Schlinge::N,йӑлӑ,aas
217,Spur::N,йӗр,jälg
218,Asche::N,кӗл,tuhk
219,Dreck::N,пылчӑк,saast
220,Dreck::N,пылчӑк,mustus
221,Eisen::N,тимӗр,raud
222,Gold::N,ылтӑн,kuld
223,Silber::N,кӗмӗл,hõbe
224,Kohle::N,кӑмрӑк,süsi
225,Glas::N,кӗленче,klaas
226,Lehm::N,тӑм,savi
227,Sand::N,хӑйӑр,liiv
228,Mensch::N,ҫын,inimene
229,Mensch::N,этем,inimene
230,Mann::N,ар,mees
231,Frau::N,хӗрарӑм,naine
232,Kind::N,ача,laps
233,Junge::N,ача,poiss
234,Junge::N,ар ҫын ача,poiss
235,Mädchen::N,хӗр ача,tüdruk
236,Familie::N,ҫемье,perekond
237,Familie::N,кил-йыш,perekond
238,Großvater::N,кукаҫи,vanaisa
239,Großmutter::N,кукамай,vanaema
240,Eltern::N,аҫа-ама,vanemad
241,Vater::N,атте,isa
242,Mutter::N,анне,ema
243,Sohn::N,ывӑл,poeg
244,Tochter::N,хӗр,tütar
245,Bruder::N,ар тӑван,vend
246,Schwester::N,аппа,õde
247,Schwester::N,йӑмӑк,õde
248,Onkel::N,мучи,onu
249,Onkel::N,пичче,onu
250,Tante::N,аппа,tädi
251,Ehemann::N,упӑшка,mees
252,Ehemann::N,упӑшка,abikaasa
253,Ehefrau::N,арӑм,naine
254,Ehefrau::N,арӑм,abikaasa
255,Freude::N,савӑнӑҫ,rõõm
256,Freude::N,хаваслӑх,rõõm
257,Gelächter::N,кулӑ,naer
258,Glück::N,телей,õnn
259,Glück::N,ӑраскал,õnn
260,Kummer::N,хурлӑх,mure
261,Kummer::N,хурлӑх,kurbus
262,Wunsch::N,ӗмӗт,soov
263,Wunsch::N,кӑмӑл,soov
264,Lust::N,кӑмӑл,himu
265,Geist::N,чун-чӗм,vaim
266,Geist::N,ыр-усал,vaim
267,Geist::N,чун хавалӗ,vaim
268,Gedanke::N,шухӑш,mõte
269,Gedächtnis::N,ас,mälu
270,Verstand::N,ӑс,aru
271,Verstand::N,ӑс,mõistus
272,Verstand::N,ӑс-тӑн,aru
273,Verstand::N,ӑс-тӑн,mõistus
274,Verstand::N,ӑс-хакӑл,aru
275,Verstand::N,ӑс-хакӑл,mõistus
276,Sinn::N,тупсӑм,tähendus
277,Sinn::N,пӗлтерӗш,tähendus
278,Grund::N,сӑлтав,põhjus
279,Wahrheit::N,чӑнлӑх,tõde
280,Gespräch::N,калаҫу,kõne
281,Gespräch::N,калаҫу,vestlus
282,Märchen::N,юмах,muinasjutt
283,Erzählung::N,акалав,jutustus
284,Erzählung::N,каласа пани,jutustus
285,Nachricht::N,хыпар,teade
286,Neuigkeit::N,ҫӗнӗ хыпар,uudis
287,Name::N,ят,nimi
288,Rätsel::N,сутмалли юмах,mõistatus
289,Rede::N,сӑмах,kõne
290,Sprache::N,чӗлхе,keel
291,Stimme::N,сасӑ,hääl
292,Wort::N,сӑмах,sõna
293,Zeichen::N,паллӑ,märk
294,Ruf::N,йыхрав,hüüe
295,Ruf::N,чӗнӳ,hüüe
296,Lärm::N,шав,müra
297,Laut::N,сасӑ,hääl
298,Ton::N,сасӑ,toon
299,Lied::N,юрӑ,laul
300,Ruhe::N,канӑҫлӑх,rahu
301,Ruhe::N,канӑҫлӑх,vaikus
302,Ruhe::N,лӑпкӑлӑх,rahu
303,Ruhe::N,лӑпкӑлӑх,vaikus
304,Leute::N,ҫамрӑксем,inimesed
305,Leute::N,ҫамрӑк ҫынсем,inimesed
306,Volk::N,халӑх,rahvas
307,Arbeit::N,ӗҫхӗл,töö
308,Arbeit::N,ӗҫлев,töö
309,Gast::N,хӑна,külaline
310,Geschenk::N,парне,kingitus
311,Geschenk::N,кучченеҫ,kingitus
312,Spiel::N,вӑйӑ,mäng
313,Gesellschaft::N,общество,selts
314,Hilfe::N,пулӑшу,abi
315,Freund::N,тус,sõber
316,Kamerad::N,юлташ,sõber
317,Kamerad::N,тус,sõber
318,Angelegenheit::N,ӗҫ,asi
319,Anzahl::N,йыш,arv
320,Anzahl::N,йыш,hulk
321,Anzahl::N,хисеп,arv
322,Anzahl::N,хисеп,hulk
323,Art::N,тӗс,liik
324,Stück::N,татӑк,tükk
325,Teil::N,пай,osa
326,Hälfte::N,ҫурӑ,pool
327,Kreis::N,ункӑ,ring
328,Kreis::N,ҫавракӑш,ring
329,Kreuz::N,хӗрес,rist
330,Linie::N,йӗр,joon
331,Strich::N,йӗр,joon
332,Abstand::N,хушӑ,vahe
333,Entfernung::N,хушӑ,kaugus
334,Entfernung::N,хушӑ,vahemaa
335,Gegend::N,вырӑн,ümbrus
336,Platz::N,хутлӑх,ruum
337,Ort::N,вырӑн,paik
338,Seite::N,ен,pool
339,Seite::N,аяк,pool
340,Seite::N,айӑк,pool
341,Mitte::N,варӑ,keskpaik
342,Gegenstand::N,япала,ese
343,Sache::N,япала,ese
344,Rand::N,вӗҫ,äär
345,Rand::N,вӗҫ,serv
346,Rand::N,хӗрӗ,äär
347,Rand::N,хӗрӗ,serv
348,Rand::N,хӗрри,äär
349,Rand::N,хӗрри,serv
350,Kante::N,хайкача,kant
351,Kante::N,хысак,kant
352,Ecke::N,кӗтес,nurk
353,Spitze::N,вӗҫ,teravik
354,Ende::N,вӗҫ,ots
355,Ende::N,вӗҫ,jupp
356,Loch::N,шӑтӑк,auk
357,Winkel::N,кӗтес,nurk
358,Muster::N,эреш,muster
359,Größe::N,пысӑкӑш,suurus
360,Länge::N,вӑрӑмӑш,pikkus
361,Höhe::N,ҫӳллӗш,kõrgus
362,Gewicht::N,виҫе,kaal
363,Gewicht::N,виҫе,raskus
364,Gewicht::N,йывӑрӑш,kaal
365,Gewicht::N,йывӑрӑш,raskus
366,Menge::N,йыш,arv
367,Menge::N,йыш,hulk
368,Haufen::N,купа,hunnik
369,Reihe::N,рет,rivi
370,Boot::N,кимӗ,paat
371,Ruder::N,кӗсмен,aer
372,Schlitten::N,ҫуна,saan
373,Ski::N,йӗлтӗр,suusk
374,Lagerfeuer::N,вут,lõke
375,Lagerfeuer::N,кӑвайт,lõke
376,Last::N,сулмаклӑх,koorem
377,Last::N,йывӑр япала,koorem
378,Gang::N,куҫӑм,käik
379,Schritt::N,утӑм,samm
380,Schritt::N,пусӑм,samm
381,Norden::N,ҫурҫӗр,põhi
382,Süden::N,кӑнтӑр,lõuna
383,Westen::N,анӑҫ,lääs
384,Westen::N,хӗвел анӑҫ,lääs
385,Osten::N,хӗвел тухӑҫ,ida
386,Holz::N,йывӑҫ,puu
387,Brett::N,хӑма,saelaud
388,Platte::N,плита,plaat
389,Stütze::N,ура,tugi
390,Stange::N,шерте,latt
391,Stange::N,шерте,teivas
392,Stock::N,патак,kepp
393,Stab::N,шӑчӑ,varras
394,Rohr::N,пӑрӑх,toru
395,Haus::N,ҫурт,maja
396,Heim::N,кил,kodu
397,Ofen::N,кӑмака,ahi
398,Fußboden::N,урай,põrand
399,Tisch::N,сӗтел,laud
400,Stuhl::N,пукан,tool
401,Wiege::N,сӑпка,häll
402,Wiege::N,сӑпка,kätki
403,Bett::N,кравать,voodi
404,Regal::N,ҫӳлӗк,riiul
405,Regal::N,сентре,riiul
406,Kiste::N,ещӗк,kast
407,Kiste::N,сунтӑх,kast
408,Fenster::N,чӳрече,aken
409,Tür::N,алӑк,uks
410,Tor::N,хапха,värav
411,Zaun::N,хӳме,aed
412,Zaun::N,хӳме,tara
413,Dach::N,тӑрӑ,katus
414,Leiter::N,пусма,redel
415,Besen::N,шӑпӑр,luud
416,Spaten::N,кӗреҫе,labidas
417,Schaufel::N,кӗреҫе,kühvel
418,Gabel::N,вилка,kahvel
419,Löffel::N,кашӑк,lusikas
420,Messer::N,ҫӗҫӗ,nuga
421,Nagel::N,пӑта,nael
422,Netz::N,тетел,võrk
423,Haken::N,йӑрхах,haak
424,Haken::N,йӑрхах,konks
425,Haken::N,ҫекӗл,haak
426,Haken::N,ҫекӗл,konks
427,Griff::N,хӑлӑп,sang
428,Griff::N,хӑлӑп,käepide
429,Schloss::N,ҫӑра,lukk
430,Bild::N,сӑн,pilt
431,Bild::N,сӑнлӑх,pilt
432,Bild::N,картина,pilt
433,Figur::N,кӗлетке,kuju
434,Figur::N,кӗлетке,kujund
435,Puppe::N,пукане,nukk
436,Beutel::N,михӗ,paun
437,Bündel::N,ҫыхӑ,kimp
438,Bündel::N,тӗрке,kimp
439,Tasche::N,сумка,kott
440,Eimer::N,витре,pang
441,Eimer::N,витре,ämber
442,Deckel::N,хупӑ,kaas
443,Geschirr::N,савӑт-сапа,nõud
444,Sack::N,михӗ,kott
445,Tasse::N,курка,tass
446,Topf::N,кастрюль,pada
447,Kessel::N,хуран,pada
448,Essen::N,апат,söök
449,Nahrung::N,апат-ҫимӗс,toit
450,Speise::N,апат,roog
451,Speise::N,ҫимӗҫ,roog
452,Fleisch::N,аш,liha
453,Fleisch::N,какай,liha
454,Getreide::N,тырӑ,teravili
455,Brei::N,пӑтӑ,puder
456,Brot::N,ҫӑкӑр,sai
457,Brot::N,ҫӑкӑр,leib
458,Scheibe::N,чӗлӗ,viil
459,Scheibe::N,чӗлӗ,viilukas
460,Scheibe::N,касӑк,viil
461,Scheibe::N,касӑк,viilukas
462,Fett::N,ҫу,rasv
463,Butter::N,ҫу,või
464,Öl::N,ҫу,õli
465,Salz::N,тӑвар,sool
466,Suppe::N,яшка,supp
467,Honig::N,пыл,mesi
468,Milch::N,сӗт,piim
469,Tee::N,чей,tee
470,Leder::N,сӑран,nahk
471,Wolle::N,ҫӑм,vill
472,Stoff::N,тӗртӗм,kangas
473,Nadel::N,йӗп,nõel
474,Faden::N,ҫип,niit
475,Knopf::N,тӳме,nööp
476,Knoten::N,йӑлӑ,sõlm
477,Farbe::N,сӑрӑ,värv
478,Kleidung::N,тум,riided
479,Kleidung::N,тум,riietus
480,Kleidung::N,ҫипуҫ,riided
481,Kleidung::N,ҫипуҫ,riietus
482,Kleidung::N,тум-тир,riided
483,Kleidung::N,тум-тир,riietus
484,Hemd::N,кӗпе,särk
485,Kragen::N,ҫуха,krae
486,Ärmel::N,ҫанӑ,varrukas
487,Hose::N,шӑлавар,püksid
488,Gürtel::N,пиҫиххи,vöö
489,Mütze::N,ҫӗлӗк,müts
490,Schuh::N,пушмак,king
491,Schuh::N,ботинок,king
492,Stiefel::N,атӑ,saabas
493,Ring::N,ҫӗрӗ,sõrmus
494,Band::N,хаю,lint
495,Band::N,йӗсме,lint
496,Kamm::N,тура,kamm
497,Spiegel::N,тӗкӗр,peegel
498,Spiegel::N,куҫ кӗски,peegel
499,Riemen::N,чӗн,rihm
500,Schnur::N,кантра,nöör
501,Leine::N,касмӑк,jalutusrihm
502,Decke::N,утиял,tekk
503,Kissen::N,ҫытар,padi
504,Kissen::N,минтер,padi
505,Tuch::N,тутӑр,kalev
506,Handtuch::N,ал шӑлли,käterätik
507,Kraft::N,вӑй,jõud
508,Kraft::N,хӑват,jõud
509,Stärke::N,хал,tugevus
510,Stärke::N,хӑват,tugevus
511,Gesundheit::N,хал,tervis
512,Gesundheit::N,сывлӑх,tervis
513,Krankheit::N,чир,haigus
514,Schmerz::N,ырату,valu
515,Wunde::N,суран,haav
516,Fieber::N,сив чир,palavik
517,Arznei::N,эмел,ravim
518,Brücke::N,кӗпер,sild
519,Brunnen::N,ҫӑл,kaev
520,Brunnen::N,пусӑ,kaev
521,Weide::N,ҫаран,karjamaa
522,Pfad::N,йӗр,rada
523,Pfad::N,сукмак,rada
524,Weg::N,ҫул,tee
525,Weg::N,ҫул-йӗр,tee
526,Straße::N,ҫӳрев,tee
527,Straße::N,ҫул ҫӳрени,tee
528,Dorf::N,ял,küla
529,Stadt::N,хула,linn
530,Brief::N,ҫыру,kiri
531,Buch::N,кӗнеке,raamat
532,Buchstabe::N,сас палли,täht
533,Zeitung::N,хаҫат,ajaleht
534,Leben::N,пурнӑҫ,elu
535,Tod::N,вилӗм,surm
536,Grab::N,масар шӑтӑкӗ,haud
537,Kirche::N,чиркӳ,kirik
538,Sünde::N,ҫылӑх,patt
539,Gott::N,турӑ,jumal
540,Arbeiter::N,рабочи,tööline
541,Chef::N,пуҫлӑх,ülemus
542,Chef::N,пуҫлӑх,juhataja
543,Meister::N,ӑста,meister
544,Meister::N,мастер,meister
545,Arzt::N,врач,arst
546,Arzt::N,тухтӑр,arst
547,Lehrer::N,учитель,õpetaja
548,Lehrer::N,вӗрентекен,õpetaja
549,Geld::N,укҫа,raha
550,Geschäft::N,бизнес,äri
551,Laden::N,магазин,pood
552,Laden::N,магазин,kauplus
553,Preis::N,хак,hind
554,Ware::N,тавар,kaup
555,Nutzen::N,пайта,tulu
556,Nutzen::N,пайта,kasulikkus
557,Reichtum::N,мул,rikkus
558,Welt::N,тӗнче,maailm
559,Land::N,ҫӗр-шыв,maa
560,Staat::N,патшàлӑх,riik
561,König::N,король,kuningas
562,Macht::N,власть,võim
563,Grenze::N,чикӗ,piir
564,Krieg::N,вӑрҫӑ,sõda
565,Feind::N,тӑшман,vaenlane
566,Gewalt::N,ирӗксӗрлӳ,väevõim
567,Kampf::N,кӗрешӳ,võitlus
568,Bogen[Waffe]::N,ухӑ,vibu
569,Pfeil::N,ҫӗмрен,nool
570,Pfeil::N,ухӑ йӗппи,nool
571,Gewehr::N,пӑшал,püss
572,Fehler::N,йӑнӑш,viga
573,Lüge::N,суя,vale
574,Lüge::N,ултав,vale
575,Schaden::N,сиен,kahju
576,Unglück::N,шар,häda
577,Unglück::N,шар,õnnetus
578,Unglück::N,инкек,häda
579,Unglück::N,инкек,õnnetus
580,Schuld::N,айӑп,süü
581,Alter::N,ҫул шучӗ,iga
582,Schluss::N,пӗтни,lõpp
583,Schluss::N,пӗтмӗш,lõpp
584,Zeit::N,вӑхӑт,aeg
585,Tag::N,кун,päev
586,Morgen::N,ир,hommik
587,Mittag::N,кӑнтӑрла,lõuna
588,Mittag::N,кӑнтӑрла,keskpäev
589,Abend::N,каҫ,õhtu
590,Nacht::N,каҫ,öö
591,Woche::N,эрне,nädal
592,Monat::N,уйӑх,kuu
593,Jahr::N,ҫулталӑк,aasta
594,Frühling::N,ҫур,kevad
595,Frühling::N,ҫуркунне,kevad
596,Sommer::N,ҫу,suvi
597,Sommer::N,ҫулла,suvi
598,Herbst::N,кӗр,sügis
599,Herbst::N,кӗркунне,sügis
600,Winter::N,хӗл,talv
601,Winter::N,хӗлле,talv
602,Januar::N,январь,jaanuar
603,Februar::N,февраль,veebruar
604,Februar::N,кӗҫӗн кӑрлач,veebruar
605,März::N,март,märts
606,März::N,пуш уйӑхӗ,märts
607,April::N,апрель,aprill
608,Mai::N,май,mai
609,Juni::N,июнь,juuni
610,Juli::N,июль,juuli
611,August::N,август,august
612,September::N,сентябрь,september
613,September::N,авӑн уйӑхӗ,september
614,Oktober::N,октябрь,oktoober
615,November::N,ноябрь,november
616,Dezember::N,раштав,detsember
617,Dezember::N,декабрь,detsember
618,Montag::N,тунти кун,esmaspäev
619,Dienstag::N,ытлари кун,teisipäev
620,Mittwoch::N,юн кун,kesknädal
621,Donnerstag::N,кӗҫнерни кун,neljapäev
622,Freitag::N,эрне кун,reede
623,Samstag::N,шӑмат кун,laupäev
624,Sonntag::N,вырсарни кун,pühapäev
625,groß::A,пысӑк,suur
626,klein::A,пӗчӗк,väike
627,klein::A,пӗчӗк,pisike
628,lang::A,вӑрӑм,pikk
629,kurz::A,кӗске,lühike
630,breit::A,сарлака,lai
631,schmal::A,ансӑр,kitsas
632,dicht::A,йӑвӑ,tihe
633,dick[Gegenstand]::A,хулӑн,jäme
634,dünn::A,ҫинҫе,õhuke
635,dünn::A,ҫинҫе,peenike
636,dünn::A,ҫӳхе,õhuke
637,dünn::A,ҫӳхе,peenike
638,fein::A,тарай,peen
639,fein::A,тарай,õhuke
640,fein::A,вӗлтӗрти,peen
641,fein::A,вӗлтӗрти,õhuke
642,fest::A,тӗреклӗ,püsiv
643,fest::A,тӗреклӗ,kindel
644,flach::A,лаптак,lame
645,flach::A,лаптак,tasane
646,glatt::A,такӑр,sile
647,hart::A,хытӑ,kõva
648,weich::A,ҫемҫе,pehme
649,rund::A,ҫавра,ümar
650,spitz::A,шӗвӗр,torkav
651,scharf::A,ҫивӗч,terav
652,stumpf::A,мӑка,nüri
653,stumpf::A,пуклак,nüri
654,stumpf::A,тӗрӗнчӗк,nüri
655,stumpf::A,ӑнкарусӑр,nüri
656,schwer::A,йывӑр,raske
657,schön::A,илемлӗ,kena
658,heiß::A,вӗри,kuum
659,heiß::A,вӗри,palav
660,warm::A,ӑшӑ,soe
661,kalt::A,сивӗ,külm
662,kühl::A,уҫӑ,jahe
663,frisch::A,уҫӑ,värske
664,feucht::A,йӗпе,niiske
665,nass::A,нӳрӗ,märg
666,trocken::A,типӗ,kuiv
667,voll::A,тулли,täis
668,leer::A,пушӑ,tühi
669,offen::A,уҫӑ,avatud
670,offen::A,уҫӑ,lahtine
671,geschlossen::A,хупӑ,suletud
672,sauber::A,таса,puhas
673,schmutzig::A,пылчӑклӑ,räpane
674,schmutzig::A,пылчӑклӑ,määrdunud
675,schmutzig::A,вараланчӑк,räpane
676,schmutzig::A,вараланчӑк,määrdunud
677,roh::A,чӗрӗ,toores
678,reif::A,пулнӑ,küps
679,reif::A,пиҫӗхнӗ,küps
680,reif::A,аталаннӑ,küps
681,reif::A,пиҫсе ҫитнӗ,küps
682,lecker::A,тутлӑ,hõrk
683,lecker::A,тутлӑ,maitsev
684,lecker::A,техӗмлӗ,hõrk
685,lecker::A,техӗмлӗ,maitsev
686,süß::A,пылак,magus
687,bitter::A,йӳҫӗ,mõru
688,sauer::A,йӳҫӗ,hapu
689,sauer::A,йӳҫек,hapu
690,sauer::A,кӑвасак,hapu
691,hell::A,ҫутӑ,hele
692,dunkel::A,тӗттӗм,pime
693,schwarz::A,хура,must
694,weiß::A,шурӑ,valge
695,rot::A,хӗрлӗ,punane
696,gelb::A,сарӑ,kollane
697,blau::A,кӑвак,sinine
698,grün::A,симӗс,roheline
699,grün::A,пиҫмен,roheline
700,grün::A,ӑс пухман,roheline
701,grau::A,кӑвак,hall
702,bunt::A,чӑпар,kirju
703,bunt::A,чӑпар,värviline
704,billig::A,йӳнӗ,odav
705,teuer::A,хаклӑ,kallis
706,wertvoll::A,паха,väärtuslik
707,blind::A,суккӑр,pime
708,taub::A,хӑлхасӑр,kurt
709,kräftig::A,хӑватлӑ,jõuline
710,stark::A,вирлӗ,tugev
711,schwach::A,халсӑр,nõrk
712,schwach::A,халсӑр,jõuetu
713,fett::A,самӑр,rasvane
714,fett::A,мӑнтӑр,rasvane
715,schlank::A,йӑрӑс,sale
716,schlank::A,яштака,sale
717,hübsch::A,хитре,kena
718,böse::A,усал,tige
719,dumm::A,ухмах,juhm
720,dumm::A,ухмах,rumal
721,faul::A,наян,laisk
722,faul::A,юлхав,laisk
723,faul::A,ӳркенчӗк,laisk
724,fleißig::A,хастар,virk
725,fleißig::A,хастар,hoolas
726,geizig::A,хытӑ,ihne
727,klug::A,ӑслӑ,tark
728,klug::A,ӑслӑ,arukas
729,klug::A,ӑслӑ,mõistlik
730,geschickt::A,ӑста,osav
731,lieb::A,савнӑ,armas
732,lustig::A,хаваслӑ,lõbus
733,sanft::A,ачаш,õrn
734,hungrig::A,выҫӑ,näljane
735,krank::A,чирлӗ,haige
736,nackt::A,ҫара,alasti
737,traurig::A,салхуллӑ,kurb
738,lebendig::A,чӗрӗ,elus
739,gut::A,аван,hea
740,gut::A,лайӑх,hea
