,Concept_ID,eu,be
67,Geschmack::N,dasta,смак
68,Geruch::N,usain,пах
69,Schlaf::N,lo,сон
70,Traum::N,amets,сон
71,Himmel::N,zeru,неба
72,Sonne::N,eguzki,сонца
73,Mond::N,ilargi,месяц
74,Stern::N,izar,зорка
75,Luft::N,aire,паветра
76,Wind::N,haize,вецер
77,Welle::N,uhin,хваля
78,Welle::N,olatu,хваля
79,Wasser::N,ur,вада
80,Stein::N,harri,камень
81,Boden::N,lur,глеба
82,Boden::N,zoru,глеба
83,Erde::N,lur,зямля
84,Staub::N,hauts,пыл
85,Rauch::N,ke,дым
86,Funke::N,zirta,іскра
87,Funke::N,txinparta,іскра
88,Feuer::N,su,агонь
89,Licht::N,argi,святло
90,Schatten::N,itzal,цень
91,Schatten::N,geriza,цень
92,Wetter::N,eguraldi,пагода
93,Wetter::N,eguraldi,надворʼе
94,Nebel::N,laino,туман
95,Wolke::N,hodei,воблака
96,Regen::N,euri,дождж
97,Schnee::N,elur,снег
98,Eis::N,horma,лёд
99,Frost::N,izotzaldi,мароз
100,Kälte::N,hotz,холад
101,Hitze::N,bero,спёка
102,Raureif::N,antzigar,іней
103,Regenbogen::N,ostadar,вясёлка
104,Regenbogen::N,ortzadar,вясёлка
105,Donner::N,ostots,гром
106,Donner::N,ihurtzuri,гром
107,Strömung::N,laster,цячэнне
108,Tropfen::N,xorta,кропля
109,Schaum::N,bits,пена
110,Schmutz::N,lohi,гразь
111,Schmutz::N,zikin,гразь
112,See::N,laku,возера
113,See::N,aintzira,возера
114,Sumpf::N,zingira,багна
115,Moor::N,zohikaztegi,балота
116,Wiese::N,larre,луг
117,Wiese::N,belardi,луг
118,Wald::N,baso,лес
119,Wald::N,oihan,лес
120,Hügel::N,muino,узгорак
121,Hügel::N,pentoka,узгорак
122,Anhöhe::N,garai,узвышша
123,Anhöhe::N,goragune,узвышша
124,Berg::N,mendi,гара
125,Gipfel::N,gain,вяршыня
126,Gipfel::N,tontor,вяршыня
127,Höhle::N,kobazulo,пячора
128,Abhang::N,aldapa,схіл
129,Quelle::N,iturri,крыніца
130,Quelle::N,iturbegi,крыніца
131,Bach::N,lats,ручай
132,Bach::N,erreka,ручай
133,Fluss::N,ibai,рака
134,Fluss::N,uhaitz,рака
135,Ufer::N,bazter,бераг
136,Küste::N,itsasalde,узбярэжжа
137,Festland::N,lehor,суша
138,Meer::N,itsaso,мора
139,Bucht::N,golko,бухта
140,Insel::N,irla,востраў
141,Insel::N,uharte,востраў
142,Blume::N,lili,кветка
143,Gras::N,belar,трава
144,Wurzel::N,zuztar,корань
145,Wurzel::N,sustrai,корань
146,Baum::N,zuhaitz,дрэва
147,Stamm::N,enbor,ствол
148,Rinde::N,azal,кара
149,Ast::N,adar,сук
150,Zweig::N,abar,галіна
151,Blatt::N,hosto,ліст
152,Birke::N,urki,бяроза
153,Kiefer[Baum]::N,ler,хвоя
154,Kiefer[Baum]::N,ler,сасна
155,Weide[Baum]::N,zume,вярба
156,Weide[Baum]::N,sahats,вярба
157,Tanne::N,izei,яліна
158,Horn::N,adar,рог
159,Feder::N,luma,пяро
160,Feder::N,hegaki,пяро
161,Fell::N,ile,шкура
162,Fell::N,larru,шкура
163,Flügel::N,hego,крыло
164,Klaue::N,atzapar,кіпцюр
165,Kralle::N,erpe,лапа
166,Kralle::N,atzapar,лапа
167,Schwanz::N,isats,хвост
168,Schwanz::N,buztan,хвост
169,Ei::N,arrautza,яйка
170,Nest::N,habia,гняздо
171,Bau::N,ohantze,нара
172,Tier::N,abere,жывёла
173,Tier::N,piztia,жывёла
174,Herde::N,saldo,статак
175,Herde::N,abere talde,статак
176,Kuh::N,behi,карова
177,Bulle::N,zezen,бык
178,Pferd::N,zaldi,конь
179,Schaf::N,ardi,авечка
180,Schwein::N,urde,свіння
181,Schwein::N,txerri,свіння
182,Hund::N,txakur,сабака
183,Katze::N,katu,кошка
184,Bär::N,hartz,мядзведзь
185,Eichhörnchen::N,urtxintxa,вавёрка
186,Elch::N,altze,лось
187,Fuchs::N,azeri,ліса
188,Hase::N,erbi,заяц
189,Maus::N,sagu,мыш
190,Wolf::N,otso,воўк
191,Vogel::N,txori,птах
192,Vogel::N,txori,птушка
193,Vogel::N,hegazti,птах
194,Vogel::N,hegazti,птушка
195,Schwarm::N,aldra,чарада
196,Huhn::N,oilo,курыца
197,Hahn::N,oilar,певень
198,Gans::N,antzara,гусь
199,Adler::N,arrano,арол
200,Ente::N,ahate,качка
201,Eule::N,hontza,сава
202,Kranich::N,kurrilo,жораў
203,Kranich::N,kurrilo,журавель
204,Krähe::N,bele,варона
205,Kuckuck::N,kuku,зязюля
206,Schwan::N,beltxarga,лебедзь
207,Fisch::N,arrain,рыба
208,Barsch::N,perka,акунь
209,Hecht::N,lutxo,шчупак
210,Schlange[Tier]::N,suge,змяя
211,Wurm::N,har,чарвяк
212,Spinne::N,armiarma,павук
213,Ameise::N,inurri,мурашка
214,Laus::N,zorri,вош
215,Mücke::N,eltxo,камар
216,Fliege::N,euli,муха
217,Schmetterling::N,pinpirin,матыль
218,Schmetterling::N,tximeleta,матыль
219,Beere::N,baia,ягада
220,Apfel::N,sagar,яблык
221,Pilz::N,onddo,грыб
222,Pilz::N,perretxiko,грыб
223,Zwiebel::N,tipula,цыбуля
224,Saat::N,haziak,семя
225,Korn::N,ale,зерне
226,Korn::N,pikor,зерне
227,Heu::N,belar ondu,сена
228,Schale::N,azal,шалупінне
229,Grube::N,hobi,яма
230,Falle::N,harrapagailu,пастка
231,Schlinge::N,bilur,сіло
232,Schlinge::N,xedera,сіло
233,Spur::N,lorratz,след
234,Asche::N,errauts,попел
235,Dreck::N,satsukeria,бруд
236,Eisen::N,burdina,жалеза
237,Gold::N,urre,золата
238,Gold::N,urregorri,золата
239,Silber::N,zilar,сребра
240,Silber::N,urrezuri,сребра
241,Kohle::N,ikatz,вугаль
242,Glas::N,beira,шкло
243,Lehm::N,buztin,гліна
244,Sand::N,harea,пясок
245,Sand::N,hondar,пясок
246,Mensch::N,gizaki,чалавек
247,Mann::N,gizon,мужчына
248,Frau::N,andere,жанчына
249,Frau::N,emakume,жанчына
250,Kind::N,haur,дзіця
251,Junge::N,mutil,хлопчык
252,Mädchen::N,neska,дзяўчынка
253,Familie::N,sendi,сямʼя
254,Familie::N,familia,сямʼя
255,Großvater::N,aitona,дзядуля
256,Großvater::N,aitatxi,дзядуля
257,Großmutter::N,amona,бабуля
258,Großmutter::N,amatxi,бабуля
259,Eltern::N,gurasoak,бацькі
260,Vater::N,aita,бацька
261,Mutter::N,ama,маці
262,Sohn::N,seme,сын
263,Tochter::N,alaba,дачка
264,Bruder::N,neba,брат
265,Bruder::N,anaia,брат
266,Schwester::N,ahizpa,сястра
267,Onkel::N,osaba,дзядзька
268,Tante::N,izeba,цётка
269,Ehemann::N,senar,муж
270,Ehefrau::N,emazte,жонка
271,Freude::N,poz,радасць
272,Freude::N,pozkari,радасць
273,Gelächter::N,barre,смех
274,Gelächter::N,karkara,смех
275,Glück::N,zori,шчасце
276,Kummer::N,xangrin,гора
277,Kummer::N,atsekabe,гора
278,Wunsch::N,nahi,жаданне
279,Wunsch::N,nahikunde,жаданне
280,Lust::N,gogo,цяга
281,Geist::N,gogo,дух
282,Gedanke::N,gogoeta,думка
283,Gedächtnis::N,oroimen,памяць
284,Gedächtnis::N,gogoramen,памяць
285,Verstand::N,adimen,розум
286,Verstand::N,ulermen,розум
287,Sinn::N,zentzu,сэнс
288,Grund::N,zergati,зачэпка
289,Wahrheit::N,egia,праўда
290,Gespräch::N,hizketa,размова
291,Gespräch::N,elkarrizketa,размова
292,Märchen::N,ipuin,казка
293,Erzählung::N,edesti,расказ
294,Erzählung::N,edesti,апавяданне
295,Erzählung::N,kontakizun,расказ
296,Erzählung::N,kontakizun,апавяданне
297,Nachricht::N,albiste,вестка
298,Nachricht::N,albiste,паведамленне
299,Neuigkeit::N,berri,навіна
300,Name::N,izen,імя
301,Rätsel::N,asmakizun,загадка
302,Rede::N,hitzaldi,прамова
303,Rede::N,mintzaldi,прамова
304,Sprache::N,hizkuntza,мова
305,Stimme::N,ahots,голас
306,Wort::N,hitz,слова
307,Zeichen::N,agerbide,знак
308,Zeichen::N,agergarri,знак
309,Ruf::N,dei,кліч
310,Lärm::N,zarata,шум
311,Lärm::N,harrabots,шум
312,Laut::N,hots,гук
313,Ton::N,tonu,гучанне
314,Ton::N,soinu,гучанне
315,Lied::N,abesti,песня
316,Ruhe::N,nasaitasun,спакой
317,Leute::N,jende,людзі
318,Volk::N,herri,народ
319,Volk::N,populu,народ
320,Arbeit::N,lan,праца
321,Arbeit::N,lan,работа
322,Gast::N,arrotz,госць
323,Gast::N,apopilo,госць
324,Geschenk::N,opari,падарунак
325,Spiel::N,jolas,гульня
326,Gesellschaft::N,gizarte,таварыства
327,Hilfe::N,helpide,дапамога
328,Hilfe::N,laguntza,дапамога
329,Freund::N,lagun,друг
330,Freund::N,lagun,сябар
331,Kamerad::N,adiskide,прыяцель
332,Kamerad::N,lagunkide,прыяцель
333,Angelegenheit::N,afera,справа
334,Anzahl::N,kopuru,колькасць
335,Art::N,mota,від
336,Stück::N,puska,кусок
337,Stück::N,puska,кавалак
338,Teil::N,atal,частка
339,Hälfte::N,erdi,палова
340,Hälfte::N,erdi,палавіна
341,Kreis::N,biribilki,круг
342,Kreuz::N,gurutze,крыж
343,Linie::N,linea,лінія
344,Strich::N,marra,рыса
345,Abstand::N,tarte,прамежак
346,Entfernung::N,urrunera,адлегласць
347,Gegend::N,alderdi,мясцовасць
348,Gegend::N,eskualde,мясцовасць
349,Platz::N,leku,месца
350,Ort::N,toki,месца
351,Seite::N,albo,бок
352,Mitte::N,erdi,сярэдзіна
353,Gegenstand::N,gauzaki,прадмет
354,Sache::N,gauza,рэч
355,Rand::N,ertz,край
356,Kante::N,ertz,руб
357,Kante::N,ertz,кант
358,Ecke::N,kantoi,вугал
359,Spitze::N,punta,кончык
360,Ende::N,buru,канец
361,Ende::N,mutur,канец
362,Loch::N,zulo,дзірка
363,Winkel::N,zoko,вугал
364,Winkel::N,bazter,вугал
365,Muster::N,eredu,узор
366,Muster::N,marrazki,узор
367,Größe::N,kaizu,памер
368,Größe::N,tamaina,памер
369,Länge::N,luzera,даўжыня
370,Höhe::N,goiera,вышыня
371,Höhe::N,garaiera,вышыня
372,Gewicht::N,hazta,вага
373,Menge::N,kopuru,колькасць
374,Haufen::N,pila,куча
375,Haufen::N,mendoi,куча
376,Reihe::N,ilara,рад
377,Reihe::N,errenkada,рад
378,Boot::N,potin,лодка
379,Boot::N,txalupa,лодка
380,Ruder::N,arraun,вясло
381,Schlitten::N,lera,сані
382,Schlitten::N,narra,сані
383,Ski::N,eski,лыжа
384,Lagerfeuer::N,su,вогнішча
385,Last::N,zama,цяжар
386,Last::N,karga,цяжар
387,Gang::N,ibilera,ход
388,Schritt::N,pauso,шаг
389,Schritt::N,pauso,крок
390,Schritt::N,urrats,шаг
391,Schritt::N,urrats,крок
392,Norden::N,ipar,поўнач
393,Norden::N,iparralde,поўнач
394,Süden::N,hego,поўдзень
395,Süden::N,hegoalde,поўдзень
396,Westen::N,sartalde,захад
397,Westen::N,mendebalde,захад
398,Osten::N,ekialde,усход
399,Osten::N,sortalde,усход
400,Holz::N,zur,дрэва
401,Holz::N,zur,драўніна
402,Brett::N,ohol,дошка
403,Platte::N,lauza,пліта
404,Stütze::N,irozgarri,падпорка
405,Stütze::N,bermagailu,падпорка
406,Stange::N,haga,жэрдка
407,Stock::N,makila,палка
408,Stab::N,makila,шост
409,Rohr::N,hodi,труба
410,Haus::N,etxe,дом
411,Heim::N,etxe,дом
412,Heim::N,etxe,хата
413,Heim::N,etxaleku,дом
414,Heim::N,etxaleku,хата
415,Ofen::N,berogailu,печ
416,Fußboden::N,zoru,падлога
417,Tisch::N,mahai,стол
418,Stuhl::N,aulki,стул
419,Stuhl::N,aulki,крэсла
420,Wiege::N,kuma,калыска
421,Wiege::N,sehaska,калыска
422,Bett::N,ohe,ложак
423,Bett::N,ohe,пасцель
424,Bett::N,ohatze,ложак
425,Bett::N,ohatze,пасцель
426,Regal::N,apalategi,паліца
427,Kiste::N,kutxa,скрынка
428,Fenster::N,leiho,акно
429,Tür::N,ate,дзверы
430,Tor::N,atari,вароты
431,Zaun::N,hesi,агароджа
432,Dach::N,teilatu,дах
433,Leiter::N,zurubi,лесвіца
434,Besen::N,erratz,мятла
435,Spaten::N,burdinpala,лапата
436,Spaten::N,burdinpala,жалязняк
437,Schaufel::N,pala,шуфлік
438,Schaufel::N,pala,лапатка
439,Gabel::N,sardexka,відэлец
440,Löffel::N,koilara,лыжка
441,Messer::N,aizto,нож
442,Nagel::N,iltze,цвік
443,Netz::N,sare,сетка
444,Haken::N,mako,крук
445,Griff::N,eskutoki,ручка
446,Schloss::N,sarraila,замок
447,Bild::N,irudi,карціна
448,Figur::N,figura,фігура
449,Puppe::N,panpina,лялька
450,Puppe::N,andrakila,лялька
451,Beutel::N,zorro,мяшок
452,Bündel::N,azao,вязка
453,Bündel::N,espal,вязка
454,Tasche::N,poltsa,торба
455,Eimer::N,treska,вядро
456,Deckel::N,tapa,накрыўка
457,Deckel::N,estalki,накрыўка
458,Geschirr::N,baxera,пасуда
459,Geschirr::N,ontziteria,пасуда
460,Sack::N,zaku,мех
461,Tasse::N,kikara,кубак
462,Topf::N,ontzi,каструля
463,Topf::N,lapiko,каструля
464,Kessel::N,pazia,кацёл
465,Essen::N,janaldi,ежа
466,Nahrung::N,jan,харч
467,Speise::N,jaki,страва
468,Fleisch::N,okela,мяса
469,Fleisch::N,haragi,мяса
470,Getreide::N,labore,збожжа
471,Brei::N,ahi,каша
472,Brei::N,pure,каша
473,Brot::N,ogi,хлеб
474,Scheibe::N,xerra,луста
475,Scheibe::N,xerra,скібка
476,Scheibe::N,pirripita,луста
477,Scheibe::N,pirripita,скібка
478,Fett::N,urin,тлушч
479,Fett::N,koipe,тлушч
480,Butter::N,gurin,масла
481,Öl::N,olio,алей
482,Salz::N,gatz,соль
483,Suppe::N,zopa,суп
484,Suppe::N,salda,суп
485,Honig::N,ezti,мёд
486,Milch::N,esne,малако
487,Tee::N,te,чай
488,Tee::N,te,гарбата
489,Leder::N,larru,скура
490,Wolle::N,artile,воўна
491,Stoff::N,ehun,тканіна
492,Nadel::N,orratz,іголка
493,Nadel::N,jostorratz,іголка
494,Faden::N,hari,нітка
495,Knopf::N,botoi,гузік
496,Knoten::N,korapilo,вузел
497,Farbe::N,pintura,фарба
498,Kleidung::N,arropa,адзенне
499,Kleidung::N,jantziak,адзенне
500,Hemd::N,atorra,кашуля
501,Hemd::N,alkandora,кашуля
502,Kragen::N,idun,каўнер
503,Ärmel::N,mahuka,рукаў
504,Hose::N,prakak,штаны
505,Hose::N,galtzak,штаны
506,Gürtel::N,gerriko,пояс
507,Mütze::N,txano,шапка
508,Mütze::N,txapel,шапка
509,Schuh::N,oski,чаравік
510,Schuh::N,oinetako,чаравік
511,Stiefel::N,bota,бот
512,Ring::N,uztai,кольца
513,Band::N,zinta,стужка
514,Band::N,xingola,стужка
515,Kamm::N,orrazi,расчоска
516,Spiegel::N,mirail,люстра
517,Riemen::N,uhal,рэмень
518,Schnur::N,lokailu,вяроўка
519,Leine::N,lotura,павадок
520,Decke::N,burusi,коўдра
521,Kissen::N,kuxin,падушка
522,Tuch::N,zapi,хустка
523,Tuch::N,oihal,хустка
524,Handtuch::N,eskuzapi,ручнік
525,Handtuch::N,eskuoihal,ручнік
526,Kraft::N,indar,сіла
527,Stärke::N,indar,моц
528,Gesundheit::N,osasun,здароўе
529,Krankheit::N,eritasun,хвароба
530,Krankheit::N,gaixotasun,хвароба
531,Schmerz::N,min,боль
532,Wunde::N,zauri,рана
533,Fieber::N,sukar,гарачка
534,Fieber::N,sukar,ліхаманка
535,Arznei::N,osagai,лекі
536,Arznei::N,sendagai,лекі
537,Brücke::N,zubi,мост
538,Brunnen::N,putzu,калодзеж
539,Weide::N,alha,паша
540,Weide::N,bazkaleku,паша
541,Pfad::N,zidor,сцежка
542,Pfad::N,bidexka,сцежка
543,Weg::N,bide,шлях
544,Weg::N,bide,дарога
545,Straße::N,errepide,вуліца
546,Dorf::N,herri,вёска
547,Stadt::N,hiri,горад
548,Brief::N,gutun,ліст
549,Brief::N,gutun,пісьмо
550,Brief::N,eskutitz,ліст
551,Brief::N,eskutitz,пісьмо
552,Buch::N,liburu,кніга
553,Buchstabe::N,hizki,літара
554,Zeitung::N,egunkari,газета
555,Leben::N,bizi,жыццё
556,Leben::N,bizitza,жыццё
557,Tod::N,herio,смерць
558,Tod::N,heriotza,смерць
559,Grab::N,hobi,магіла
560,Grab::N,hilobi,магіла
561,Kirche::N,eliza,касцёл
562,Kirche::N,eliza,царква
563,Sünde::N,hoben,грэх
564,Sünde::N,bekatu,грэх
565,Gott::N,jainko,бог
566,Arbeiter::N,langile,рабочы
567,Arbeiter::N,behargin,рабочы
568,Chef::N,nagusi,начальнік
569,Meister::N,maisu,майстар
570,Arzt::N,osagile,урач
571,Arzt::N,sendagile,урач
572,Lehrer::N,irakasle,настаўнік
573,Geld::N,diru,грошы
574,Geschäft::N,negozio,заняцце
575,Laden::N,denda,крама
576,Laden::N,denda,магазін
577,Laden::N,saltegi,крама
578,Laden::N,saltegi,магазін
579,Preis::N,prezio,цана
580,Preis::N,salneurri,цана
581,Ware::N,salgai,тавар
582,Nutzen::N,onura,выгада
583,Nutzen::N,probetxu,выгада
584,Reichtum::N,aberastasun,багацце
585,Welt::N,ludi,свет
586,Welt::N,mundu,свет
587,Land::N,herrialde,краіна
588,Staat::N,estatu,дзяржава
589,König::N,errege,кароль
590,Macht::N,botere,улада
591,Grenze::N,muga,граніца
592,Krieg::N,guda,вайна
593,Feind::N,etsai,вораг
594,Feind::N,arerio,вораг
595,Gewalt::N,bortxa,насілле
596,Gewalt::N,bortizkeria,насілле
597,Kampf::N,gudu,барацьба
598,Kampf::N,auska,барацьба
599,Bogen[Waffe]::N,arku,лук
600,Pfeil::N,gezi,страла
601,Gewehr::N,fusil,ружжо
602,Fehler::N,huts,памылка
603,Fehler::N,hutsegin,памылка
604,Lüge::N,gezur,хлусня
605,Schaden::N,kalte,шкода
606,Unglück::N,zoritxar,ліха
607,Unglück::N,zoritxar,бядота
608,Unglück::N,zorigaitz,ліха
609,Unglück::N,zorigaitz,бядота
610,Schuld::N,erru,віна
611,Alter::N,adin,узрост
612,Schluss::N,bukaera,канец
613,Zeit::N,aldi,час
614,Zeit::N,denbora,час
615,Tag::N,egun,дзень
616,Morgen::N,goiz,ранак
617,Morgen::N,goiz,раніца
618,Mittag::N,eguerdi,паўдня
619,Mittag::N,eguerdi,поўдзень
620,Abend::N,arrats,вечар
621,Nacht::N,gau,ноч
622,Woche::N,aste,тыдзень
623,Monat::N,hil,месяц
624,Jahr::N,urte,год
625,Frühling::N,udalehen,вясна
626,Sommer::N,uda,лета
627,Herbst::N,udazken,восень
628,Herbst::N,neguantz,восень
629,Winter::N,negu,зіма
630,Januar::N,urtarril,студзень
631,Februar::N,otsail,люты
632,März::N,martxo,сакавік
633,April::N,apiril,красавік
634,Mai::N,maiatz,май
635,Mai::N,maiatz,травень
636,Juni::N,ekain,чэрвень
637,Juli::N,uztail,ліпень
638,August::N,abuztu,жнівень
639,September::N,irail,верасень
640,Oktober::N,urri,кастрычнік
641,November::N,azaro,лістапад
642,Dezember::N,abendu,снежань
643,Montag::N,astelehen,панядзелак
644,Dienstag::N,astearte,аўторак
645,Mittwoch::N,asteazken,серада
646,Donnerstag::N,ostegun,чацвер
647,Freitag::N,ostiral,пятніца
648,Samstag::N,larunbat,субота
649,Sonntag::N,igande,нядзеля
650,groß::A,handi,вялікі
651,klein::A,txiki,маленькі
652,lang::A,luze,доўгі
653,kurz::A,labur,кароткі
654,breit::A,zabal,шырокі
655,schmal::A,mehar,вузкі
656,dicht::A,sarri,густы
657,dicht::A,trinko,густы
658,dick[Gegenstand]::A,lodi,тоўсты
659,dünn::A,mehe,тонкі
660,fein::A,fin,тонкі
661,fest::A,tinko,моцны
662,flach::A,lau,плоскі
663,flach::A,ordoki,плоскі
664,glatt::A,leun,гладкі
665,hart::A,gogor,цвёрды
666,weich::A,bigun,мяккі
667,weich::A,beratz,мяккі
668,rund::A,biribil,круглы
669,spitz::A,puntadun,спічасты
670,spitz::A,puntadun,востраканцовы
671,scharf::A,zorrotz,востры
672,stumpf::A,kamuts,тупы
673,schwer::A,astun,цяжкі
674,schwer::A,pisutsu,цяжкі
675,schön::A,eder,прыгожы
676,heiß::A,bero,гарачы
677,heiß::A,oso bero,гарачы
678,warm::A,bero,цёплы
679,kalt::A,hotz,холадны
680,kühl::A,hotzil,халаднаваты
681,frisch::A,fresko,свежы
682,frisch::A,hozkirri,свежы
683,feucht::A,heze,вільготны
684,nass::A,busti,мокры
685,trocken::A,siku,сухі
686,trocken::A,lehor,сухі
687,voll::A,bete,поўны
688,leer::A,huts,пусты
689,offen::A,ireki,адкрыты
690,offen::A,ireki,адчынены
691,geschlossen::A,itxita,закрыты
692,geschlossen::A,itxita,зачынены
693,sauber::A,xahu,чысты
694,sauber::A,garbi,чысты
695,schmutzig::A,lohi,брудны
696,schmutzig::A,zikin,брудны
697,roh::A,gordin,сыры
698,reif::A,umo,спелы
699,reif::A,heldu,спелы
700,lecker::A,goxo,смачны
701,süß::A,goxo,салодкі
702,bitter::A,karmin,горкі
703,bitter::A,garratz,горкі
704,sauer::A,mingots,кіслы
705,hell::A,argi,светлы
706,dunkel::A,ilun,цёмны
707,schwarz::A,beltz,чорны
708,weiß::A,zuri,белы
709,rot::A,gorri,чырвоны
710,gelb::A,hori,жоўты
711,blau::A,urdin,сіні
712,grün::A,berde,зялёны
713,grün::A,musker,зялёны
714,grau::A,urdin,шэры
715,grau::A,urdinabar,шэры
716,bunt::A,koloretsu,пяресты
717,billig::A,merke,танны
718,teuer::A,garesti,дарагі
719,wertvoll::A,baliotsu,цэнны
720,wertvoll::A,baliotsu,каштоўны
721,blind::A,itsu,сляпы
722,taub::A,gor,глухі
723,kräftig::A,kementsu,магутны
724,stark::A,bizkor,сільны
725,stark::A,indartsu,сільны
726,schwach::A,ahul,слабы
727,schwach::A,indargabe,слабы
728,fett::A,gizen,тлусты
729,schlank::A,lerden,стройны
730,hübsch::A,polit,чароўны
731,böse::A,tzar,злы
732,böse::A,gaizto,злы
733,dumm::A,lelo,дурны
734,dumm::A,pello,дурны
735,faul::A,nagi,лянівы
736,faul::A,alfer,лянівы
737,fleißig::A,maratz,руплівы
738,fleißig::A,lanzale,руплівы
739,geizig::A,zeken,прагны
740,geizig::A,zikoitz,прагны
741,klug::A,zuhur,разумны
742,geschickt::A,trebe,умелы
743,geschickt::A,antzetsu,умелы
744,lieb::A,maite,мілы
745,lieb::A,laztan,мілы
746,lustig::A,alaitsu,вясёлы
747,sanft::A,eme,ласкавы
748,sanft::A,ezti,ласкавы
749,hungrig::A,gose,галодны
750,krank::A,eri,хворы
751,krank::A,gaixo,хворы
752,nackt::A,biluzi,голы
753,traurig::A,itun,сумны
754,traurig::A,betilun,сумны
755,lebendig::A,bizirik,жывы
756,gut::A,on,добры
757,schlecht::A,txar,кепскі
758,richtig::A,zuzen,правільны
759,schlimm::A,larri,агідны
760,wahr::A,egiazko,сапраўдны
761,alt::A,zahar,стары
762,neu::A,berri,новы
763,ehemalig::A,lehengo,былы
764,alt[Lebewesen]::A,adindun,стары
765,jung::A,gazte,малады
766,arm::A,txiro,бедны
767,arm::A,behartsu,бедны
768,reich::A,dirudun,багаты
769,bekannt::A,ezagun,знаёмы
770,berühmt::A,entzun,славуты
771,berühmt::A,ospetsu,славуты
772,fremd::A,arrotz,чужы
773,verschieden::A,ezberdin,розны
774,verschieden::A,desberdin,розны
775,nah::A,hurre,блізкі
776,nah::A,hurbil,блізкі
777,fern::A,urrun,далёкі
778,linker::A,ezker,левы
779,rechter::A,eskuin,правы
780,anderer::A,beste,іншы
781,anderer::A,beste,другі
782,erster::A,lehen,першы
783,erster::A,aurren,першы
784,zweiter::A,bigarren,другі
785,dritter::A,hirugarren,трэці
786,letzter::A,azken,апошні
787,letzter::A,hondar,апошні
788,allein::ADV,bakarrik,сам
789,allein::ADV,bakarrik,адзін
790,auf einmal::ADV,batera,адразу
791,zusammen::ADV,elkarrekin,разам
792,lange::ADV,luzaro,доўга
793,plötzlich::ADV,bat-batean,раптам
794,sofort::ADV,berehala,зараз
795,später::ADV,gero,пазней
796,jetzt::ADV,orain,цяпер
797,heute::ADV,gaur,сёння
798,morgen::ADV,bihar,заўтра
799,bald::ADV,aurki,хутка
800,bald::ADV,aurki,неўзабаве
801,bald::ADV,laster,хутка
802,bald::ADV,laster,неўзабаве
803,dann::ADV,ondoren,потым
804,gestern::ADV,atzo,учора
805,einst::ADV,antzina,аднойчы
806,damals::ADV,orduan,тады
807,danach::ADV,gerora,затым
808,danach::ADV,ondoren,затым
809,vorher::ADV,lehenago,раней
810,zuerst::ADV,aurrena,спярша
811,zuerst::ADV,aurrena,спачатку
812,zuerst::ADV,lehenbizi,спярша
813,zuerst::ADV,lehenbizi,спачатку
814,einmal::ADV,behin,адзін раз
815,einmal::ADV,aldi bat,адзін раз
816,manchmal::ADV,batzuetan,часам
817,manchmal::ADV,zenbaitetan,часам
818,oft::ADV,maiz,часта
819,oft::ADV,askotan,часта
820,immer::ADV,beti,заўсёды
