,Concept_ID,ml,nl
58,Schlaf::N,ഉറകും,slaap
59,Traum::N,സ്വപ്നം,droom
60,Himmel::N,ആകാശം,hemel
61,Sonne::N,സൂര്യൻ,zon
62,Mond::N,ചന്ദ്രൻ,maan
63,Stern::N,നക്ഷത്രം,ster
64,Luft::N,കാറ്റ്,lucht
65,Wind::N,കാറ്റ്,wind
66,Welle::N,തിരമാല,golf
67,Wasser::N,വെള്ളം,water
68,Stein::N,ശില,steen
69,Stein::N,കല്ല്,steen
70,Boden::N,തറ,grond
71,Boden::N,നിലം,grond
72,Erde::N,മണ്ണ്,aarde
73,Staub::N,പൊടി,stof
74,Rauch::N,പുക,rook
75,Funke::N,തീപ്പൊരി,vonk
76,Feuer::N,തീ,vuur
77,Licht::N,വിളക്ക്,licht
78,Licht::N,സൂര്യപ്രകാശം,licht
79,Schatten::N,തണൽ,schaduw
80,Wetter::N,കാലാവസ്ഥ,weer
81,Nebel::N,മൂടൽമഞ്ഞ്,mist
82,Nebel::N,മൂടൽമഞ്ഞ്,nevel
83,Wolke::N,മേഘം,wolk
84,Regen::N,മഴ,regen
85,Schnee::N,മഞ്ഞ്,sneeuw
86,Eis::N,ഐസ്,ijs
87,Frost::N,മൂടൽമഞ്ഞ്,vorst
88,Kälte::N,തണുപ്പ്,kou
89,Kälte::N,തണുപ്പ്,koude
90,Hitze::N,ചൂട്,hitte
91,Raureif::N,കോടമഞ്ഞ്,rijp
92,Regenbogen::N,മഴവില്ല്,regenboog
93,Donner::N,ഇടി,donder
94,Strömung::N,പ്രവാഹം,stroming
95,Tropfen::N,തുള്ളി,druppel
96,Schaum::N,നുര,schuim
97,Schmutz::N,അഴുക്ക്,vuil
98,See::N,തടാകം,meer
99,Sumpf::N,ചതുപ്പുനിലം,moeras
100,Moor::N,പാഴ്നിലം,veen
101,Wiese::N,പുൽത്തകിടി,wei
102,Wiese::N,പുൽത്തകിടി,weide
103,Wald::N,വനം,bos
104,Wald::N,കാട്,bos
105,Hügel::N,കുന്ന്,heuvel
106,Anhöhe::N,ഉയർന്ന ഭൂമി,hoogte
107,Berg::N,പർവ്വതം,berg
108,Gipfel::N,ഉച്ചകോടി,top
109,Höhle::N,ഗുഹ,hol
110,Abhang::N,ചരിവ്,helling
111,Quelle::N,ഉറവിടം,bron
112,Bach::N,അരുവി,beek
113,Fluss::N,നദി,stroom
114,Ufer::N,തീരം,wal
115,Ufer::N,തീരം,oever
116,Küste::N,കടൽത്തീരം,kust
117,Festland::N,കര,vasteland
118,Meer::N,കടൽ,zee
119,Bucht::N,ഉൾക്കടല്,baai
120,Bucht::N,ഉൾക്കടല്,inham
121,Insel::N,ദ്വീപ്,eiland
122,Blume::N,പൂവ്,bloem
123,Gras::N,പുല്ല്,gras
124,Wurzel::N,വേര്,wortel
125,Baum::N,മരം,boom
126,Stamm::N,തായ്ത്തടി,stam
127,Rinde::N,പട്ട,schors
128,Ast::N,ശാഖ,tak
129,Zweig::N,ശാഖ,twijg
130,Blatt::N,ഇല,blad
131,Birke::N,പൂവരശ്,berk
132,Kiefer[Baum]::N,പൈൻമരം,den
133,Weide[Baum]::N,വില്ലോ,wilg
134,Tanne::N,ദേവദാരു,spar
135,Horn::N,മൃഗത്തിൻറെ കൊമ്പ്,hoorn
136,Feder::N,തൂവൽ,veer
137,Feder::N,തൂവൽ,pluim
138,Fell::N,മൃദുരോമം,vel
139,Flügel::N,ചിറക്,vleugel
140,Klaue::N,നഖം,klauw
141,Kralle::N,നഖം,klauw
142,Schwanz::N,വാൽ,staart
143,Ei::N,മുട്ട,ei
144,Nest::N,കൂട്,nest
145,Bau::N,മാളം,hol
146,Tier::N,മൃഗം,dier
147,Herde::N,കൂട്ടം,kudde
148,Kuh::N,പശു,koe
149,Bulle::N,കാള,stier
150,Pferd::N,കുതിര,paard
151,Schaf::N,ആട്,schaap
152,Schwein::N,പന്നി,varken
153,Hund::N,നായ്,hond
154,Katze::N,പൂച്ച,kat
155,Bär::N,കരടി,beer
156,Eichhörnchen::N,അണ്ണാൻ,eekhoorntje
157,Elch::N,കടമാന്,eland
158,Fuchs::N,കുറുക്കൻ,vos
159,Hase::N,മുയൽ,haas
160,Maus::N,ചുണ്ടലി,muis
161,Wolf::N,ചെന്നായ,wolf
162,Vogel::N,പക്ഷി,vogel
163,Schwarm::N,കൂട്ടം,zwerm
164,Huhn::N,കോഴി,kip
165,Huhn::N,കോഴി,hoen
166,Hahn::N,പൂവൻകോഴി,haan
167,Gans::N,അരയന്നം,gans
168,Adler::N,കഴുകൻ,arend
169,Ente::N,താറാവ്,eend
170,Eule::N,മൂങ്ങ,uil
171,Kranich::N,കൊക്ക്,kraanvogel
172,Krähe::N,കാക്ക,kraai
173,Kuckuck::N,കുയിൽ,koekoek
174,Schwan::N,അരയന്നം,zwaan
175,Fisch::N,മത്സ്യം,vis
176,Barsch::N,ഒരിനം മത്സ്യം,baars
177,Hecht::N,ഒരു മത്സ്യം,snoek
178,Schlange[Tier]::N,പാമ്പ്,slang
179,Wurm::N,വിര,worm
180,Spinne::N,ചിലന്തി,spin
181,Ameise::N,ഉറുമ്പ്,mier
182,Laus::N,പേന്,luis
183,Mücke::N,മശകം,mug
184,Fliege::N,ഈച്ച,vlieg
185,Schmetterling::N,ചിത്രശലഭം,vlinder
186,Beere::N,ബെറി,bes
187,Apfel::N,ആപ്പിൾ,appel
188,Pilz::N,കൂൺ,paddestoel
189,Zwiebel::N,സവാള,ui
190,Saat::N,വിത്ത്,zaad
191,Korn::N,ധാന്യം,graan
192,Korn::N,ധാന്യം,korrel
193,Heu::N,വയ്ക്കോൽ,hooi
194,Schale::N,തൊലി,schil
195,Grube::N,കുഴി,kuil
196,Falle::N,കെണി,val
197,Schlinge::N,കുടുക്ക്,strop
198,Spur::N,ചുവട്,spoor
199,Asche::N,ചാരം,as
200,Dreck::N,അഴുക്ക്,drek
201,Eisen::N,ഇരുമ്പ്,ijzer
202,Gold::N,സ്വർണ്ണം,goud
203,Silber::N,വെള്ളി,zilver
204,Kohle::N,കൽക്കരി,kool
205,Glas::N,ഗ്ലാസ്,glas
206,Lehm::N,കളിമണ്ണ്,klei
207,Sand::N,മണൽ,zand
208,Mensch::N,മനുഷ്യർ,mens
209,Mann::N,പുരുഷൻ,man
210,Frau::N,സ്ത്രീ,vrouw
211,Kind::N,കുഞ്ഞ്,kind
212,Junge::N,ആൺകുട്ടി,jongen
213,Mädchen::N,പെൺകുട്ടി,meisje
214,Familie::N,കുടുംബം,gezin
215,Familie::N,കുടുംബം,familie
216,Großvater::N,അപ്പൂപ്പൻ,grootvader
217,Großmutter::N,അമ്മുമ്മ,grootmoeder
218,Eltern::N,മാതാപിതാക്കള്,ouders
219,Vater::N,അച്ഛൻ,vader
220,Mutter::N,അമ്മ,moeder
221,Sohn::N,മകൻ,zoon
222,Tochter::N,മകൾ,dochter
223,Bruder::N,ചേട്ടൻ,broer
224,Bruder::N,ചേട്ടൻ,broeder
225,Bruder::N,അനിയൻ,broer
226,Bruder::N,അനിയൻ,broeder
227,Schwester::N,ചേച്ചി,zus
228,Schwester::N,ചേച്ചി,zuster
229,Schwester::N,അനിയത്തി,zus
230,Schwester::N,അനിയത്തി,zuster
231,Onkel::N,അമ്മാവൻ,oom
232,Tante::N,മാമി,tante
233,Ehemann::N,ഭർത്താവ്,echtgenoot
234,Ehefrau::N,ഭാര്യ,echtgenote
235,Freude::N,ആഹ്ലാദം,vreugde
236,Gelächter::N,ചിരിയുടെ ശബ്ദം,gelach
237,Glück::N,സന്തോഷം,geluk
238,Glück::N,സന്തുഷ്ടി,geluk
239,Kummer::N,ശോകം,verdriet
240,Wunsch::N,ആഗ്രഹം,wens
241,Wunsch::N,ആഗ്രഹം,verlangen
242,Lust::N,ആഗ്രഹം,zin
243,Lust::N,ആഗ്രഹം,lust
244,Geist::N,ചുറുചുറുക്ക്,geest
245,Gedanke::N,ചിന്ത,gedachte
246,Gedächtnis::N,ഓർമ്മശക്തി,geheugen
247,Verstand::N,മനസ്സ്,verstand
248,Sinn::N,അർത്ഥം,betekenis
249,Grund::N,കാരണം,reden
250,Wahrheit::N,സത്യം,waarheid
251,Gespräch::N,സല്ലാപം,gesprek
252,Märchen::N,യക്ഷിക്കഥ,sprookje
253,Erzählung::N,കഥ,verhaal
254,Nachricht::N,സന്ദേശം,tijding
255,Neuigkeit::N,വാർത്ത,nieuws
256,Neuigkeit::N,വാർത്ത,nieuwtje
257,Name::N,പേര്,naam
258,Rätsel::N,പ്രഹേളിക,raadsel
259,Rede::N,സംസാരം,rede
260,Sprache::N,ഭാഷ,taal
261,Stimme::N,സ്വരം,stem
262,Wort::N,വാക്ക്,woord
263,Zeichen::N,സംജ്ഞ,teken
264,Ruf::N,വിളി,roep
265,Lärm::N,ആരവം,lawaai
266,Laut::N,ശബ്ദം,klank
267,Laut::N,ശബ്ദം,geluid
268,Ton::N,സ്വരഭേദം,toon
269,Ton::N,സ്വരഭേദം,klank
270,Lied::N,പാട്ട്,lied
271,Ruhe::N,നിശ്ചലത,rust
272,Ruhe::N,നിശ്ചലത,stilte
273,Leute::N,ജനങ്ങൾ,lui
274,Leute::N,ജനങ്ങൾ,mensen
275,Volk::N,രാഷ്ടം,volk
276,Arbeit::N,ജോലി,werk
277,Arbeit::N,ജോലി,arbeid
278,Gast::N,അതിലി,gast
279,Geschenk::N,സമ്മാനം,cadeau
280,Geschenk::N,സമ്മാനം,geschenk
281,Spiel::N,കളി,spel
282,Gesellschaft::N,കൂട്ടായ്മ,gezelschap
283,Hilfe::N,സഹായം,hulp
284,Freund::N,സുഹൃത്ത്,vriend
285,Kamerad::N,കൂട്ടാളി,maat
286,Kamerad::N,കൂട്ടാളി,metgezel
287,Angelegenheit::N,കാര്യം,zaak
288,Angelegenheit::N,കാര്യം,aangelegenheid
289,Anzahl::N,എണ്ണം,tal
290,Anzahl::N,എണ്ണം,aantal
291,Art::N,തരം,slag
292,Art::N,തരം,soort
293,Stück::N,കഷണം,stuk
294,Teil::N,ഭാഗം,deel
295,Hälfte::N,പകുതി,helft
296,Kreis::N,വൃത്തം,kring
297,Kreis::N,വൃത്തം,cirkel
298,Kreuz::N,കുരിശടയാളം,kruis
299,Linie::N,വര,lijn
300,Linie::N,രേഖ,lijn
301,Strich::N,പക്ഷാഘാതം,haal
302,Strich::N,പക്ഷാഘാതം,streep
303,Abstand::N,വിടവ്,afstand
304,Entfernung::N,അകലം,afstand
305,Gegend::N,പ്രദേശം,streek
306,Platz::N,ഇടം,ruimte
307,Ort::N,സ്ഥലം,oord
308,Ort::N,സ്ഥലം,plaats
309,Seite::N,വശം,zij
310,Seite::N,വശം,kant
311,Seite::N,വശം,zijde
312,Mitte::N,മധ്യസ്ഥാനം,midden
313,Gegenstand::N,സാധനം,voorwerp
314,Sache::N,വസ്തു,zaak
315,Rand::N,തൊങ്ങൽ,rand
316,Rand::N,തൊങ്ങൽ,boord
317,Kante::N,അറ്റം,kant
318,Ecke::N,മൂല,hoek
319,Spitze::N,അഗ്രം,punt
320,Spitze::N,അഗ്രം,spits
321,Ende::N,അവസാനം,einde
322,Ende::N,അവസാനം,uiteinde
323,Loch::N,ദ്വാരം,gat
324,Winkel::N,കോൺ,hoek
325,Muster::N,ക്രമം,dessin
326,Muster::N,ക്രമം,patroon
327,Größe::N,വലുപ്പം,grootte
328,Länge::N,നീളം,lengte
329,Höhe::N,ഉയരം,hoogte
330,Gewicht::N,കട്ടി,gewicht
331,Menge::N,അളവ്,hoeveelheid
332,Haufen::N,കൂമ്പാരം,hoop
333,Reihe::N,വരി,rij
334,Reihe::N,വരി,reeks
335,Boot::N,ബോട്ട്,boot
336,Ruder::N,പങ്കായം,roeiriem
337,Schlitten::N,ഉരുളില്ലാവണ്ടി,slee
338,Schlitten::N,ഉരുളില്ലാവണ്ടി,slede
339,Ski::N,ഹിമപാദുകം,ski
340,Lagerfeuer::N,തീ,kampvuur
341,Last::N,ഭാരം,last
342,Last::N,ഭാരം,vracht
343,Gang::N,നടത്തം,wandeling
344,Schritt::N,ചുവട്,stap
345,Schritt::N,ചുവട്,schrede
346,Norden::N,വടക്ക്,noorden
347,Süden::N,തെക്ക്,zuiden
348,Westen::N,പടിഞ്ഞാറ്,westen
349,Osten::N,കിഴക്ക്,oosten
350,Holz::N,തടി,hout
351,Brett::N,ബോർഡ്,plank
352,Platte::N,തകിട്,plaat
353,Stütze::N,താങ്ങ്,stut
354,Stütze::N,താങ്ങ്,steun
355,Stange::N,കമ്പ്,stang
356,Stock::N,വടി,stok
357,Stab::N,കുറുവടി,staf
358,Rohr::N,കുഴൽ,pijp
359,Haus::N,വീട്,huis
360,Heim::N,വീട്,tehuis
361,Ofen::N,സ്റ്റൌ,kachel
362,Fußboden::N,തറ,vloer
363,Tisch::N,മേശ,tafel
364,Stuhl::N,കസേര,stoel
365,Wiege::N,തൊട്ടിൽ,wieg
366,Bett::N,കിടക്ക,bed
367,Regal::N,ഷെൽഫ്,rek
368,Kiste::N,പെട്ടി,kist
369,Fenster::N,ജനൽ,raam
370,Fenster::N,ജനൽ,venster
371,Tür::N,വാതിൽ,deur
372,Tor::N,കവാടം,poort
373,Zaun::N,വേലി,omheining
374,Dach::N,മേൽക്കുര,dak
375,Leiter::N,ഏണി,ladder
376,Besen::N,ചൂല്,bezem
377,Spaten::N,തൂമ്പ,schop
378,Schaufel::N,തൂമ്പ,schep
379,Gabel::N,മുൾക്കത്തി,vork
380,Löffel::N,സ്പൂൺ,lepel
381,Messer::N,കത്തി,mes
382,Nagel::N,ആണി,spijker
383,Netz::N,വല,net
384,Haken::N,കൊളുത്ത്,haak
385,Griff::N,കൈപ്പിടി,handvat
386,Schloss::N,പൂട്ട്,slot
387,Bild::N,ചിത്രം,beeld
388,Figur::N,കണക്ക്,figuur
389,Puppe::N,പാവ,pop
390,Beutel::N,ബാഗ്,zak
391,Beutel::N,ബാഗ്,buidel
392,Bündel::N,കെട്ട്,pak
393,Bündel::N,കെട്ട്,bundel
394,Tasche::N,ബാഗ്,tas
395,Eimer::N,ബക്കറ്റ്,emmer
396,Deckel::N,ഉറ,deksel
397,Geschirr::N,പിഞ്ഞാണം,vaatwerk
398,Sack::N,ചാക്ക്,zak
399,Tasse::N,കപ്പ്,kop
400,Topf::N,പാത്രം,pan
401,Kessel::N,കെറ്റ്ല്,ketel
402,Essen::N,ആഹാരസമയം,eten
403,Nahrung::N,ഭക്ഷണം,voedsel
404,Speise::N,ഡിഷ്,spijs
405,Fleisch::N,മാംസം,vlees
406,Getreide::N,ചോളം,graan
407,Brei::N,കഞ്ഞി,pap
408,Brei::N,കഞ്ഞി,brij
409,Brot::N,റോട്ടി,brood
410,Scheibe::N,തുണ്ട്,plak
411,Scheibe::N,തുണ്ട്,snede
412,Fett::N,കൊഴുപ്പ്,vet
413,Butter::N,വെണ്ണ,boter
414,Öl::N,എണ്ണ,olie
415,Salz::N,ഉപ്പ്,zout
416,Suppe::N,സൂപ്പ്,soep
417,Honig::N,തേൻ,honing
418,Milch::N,പാൽ,melk
419,Tee::N,ചായ,thee
420,Leder::N,തുകൽ,leer
421,Leder::N,തുകൽ,leder
422,Wolle::N,കമ്പിളി,wol
423,Stoff::N,തുണി,stof
424,Nadel::N,സൂചി,naald
425,Faden::N,നൂല്,draad
426,Knopf::N,ബട്ടൺ,knoop
427,Knoten::N,കുരുക്ക്,knoop
428,Farbe::N,പെയിൻറ്,verf
429,Kleidung::N,വസ്ത്രങ്ങൾ,kledij
430,Kleidung::N,വസ്ത്രങ്ങൾ,kleding
431,Hemd::N,ഷർട്ട്,hemd
432,Kragen::N,കുപ്പായക്കഴുത്ത്,kraag
433,Ärmel::N,കുപ്പായക്കൈ,mouw
434,Hose::N,ട്രൌസർ,broek
435,Hose::N,ട്രൌസർ,pantalon
436,Gürtel::N,ബെൽറ്റ്,riem
437,Gürtel::N,ബെൽറ്റ്,gordel
438,Mütze::N,തൊപ്പി,muts
439,Schuh::N,ഷൂ,schoen
440,Stiefel::N,ബൂട്ട്,laars
441,Ring::N,മോതിരം,ring
442,Band::N,റിബൺ,lint
443,Kamm::N,ചീപ്പ്,kam
444,Spiegel::N,കണ്ണാടി,spiegel
445,Riemen::N,സ്ട്രാപ്പ്,riem
446,Schnur::N,ചരട്,koord
447,Leine::N,കെട്ടാനുള്ള തോൽവാർ,lijn
448,Decke::N,പുതപ്പ്,deken
449,Kissen::N,തലയിണ,kussen
450,Tuch::N,സ്കാർഫ്,doek
451,Handtuch::N,തോർത്ത്,handdoek
452,Kraft::N,ശക്തി,kracht
453,Stärke::N,ശക്തി,sterkte
454,Gesundheit::N,ആരോഗ്യം,gezondheid
455,Krankheit::N,അസുഖം,ziekte
456,Schmerz::N,വേദന,pijn
457,Wunde::N,മുറിവ്,wond
458,Fieber::N,പനി,koorts
459,Arznei::N,മരുന്ന്,medicament
460,Arznei::N,മരുന്ന്,geneesmiddel
461,Brücke::N,പാലം,brug
462,Brunnen::N,കിണർ,put
463,Brunnen::N,കിണർ,bron
464,Weide::N,മേച്ചൽ,wei
465,Weide::N,മേച്ചൽ,weide
466,Pfad::N,വഴി,pad
467,Weg::N,വഴി,weg
468,Straße::N,റോഡ്,baan
469,Straße::N,റോഡ്,straat
470,Dorf::N,ഗ്രാമം,dorp
471,Stadt::N,നഗരം,stad
472,Brief::N,കത്ത്,brief
473,Buch::N,പുസ്തകം,boek
474,Buchstabe::N,അക്ഷരം,letter
475,Zeitung::N,വർത്തമാനപത്രം,krant
476,Zeitung::N,വർത്തമാനപത്രം,dagblad
477,Leben::N,ജീവൻ,leven
478,Tod::N,മരണം,dood
479,Grab::N,ശവക്കുഴി,graf
480,Kirche::N,പള്ളി,kerk
481,Sünde::N,പാപം,zonde
482,Gott::N,ദൈവം,god
483,Arbeiter::N,ജോലിക്കാരൻ,arbeider
484,Chef::N,മേധാവി,chef
485,Meister::N,യജമാനൻ,meester
486,Arzt::N,ഡോക്ടർ,arts
487,Arzt::N,ഡോക്ടർ,dokter
488,Lehrer::N,അധ്യാപകൻ,leraar
489,Lehrer::N,അധ്യാപകൻ,onderwijzer
490,Geld::N,പണം,geld
491,Geschäft::N,ബിസിനസ്,zaak
492,Laden::N,കട,winkel
493,Preis::N,വില,prijs
494,Ware::N,ചരക്ക്,waar
495,Nutzen::N,ലാഭം,nut
496,Nutzen::N,ലാഭം,voordeel
497,Reichtum::N,ധനം,rijkdom
498,Welt::N,ലോകം,wereld
499,Land::N,രാജ്യം,land
500,Staat::N,രാജ്യം,staat
501,König::N,രാജാവ്,koning
502,Macht::N,അധികാരം,macht
503,Grenze::N,അതിർത്തി,grens
504,Krieg::N,യുദ്ധം,oorlog
505,Feind::N,ശത്രു,vijand
506,Gewalt::N,അക്രമം,geweld
507,Kampf::N,പോരാട്ടം,strijd
508,Kampf::N,പോരാട്ടം,gevecht
509,Bogen[Waffe]::N,വില്ല്,boog
510,Pfeil::N,അമ്പ്,pijl
511,Gewehr::N,തോക്ക്,geweer
512,Fehler::N,പിശക്,fout
513,Lüge::N,കള്ളം,leugen
514,Schaden::N,കേടുപാട്,schade
515,Unglück::N,ദൌർഭാഗ്യം,tegenspoed
516,Schuld::N,തെറ്റ്,schuld
517,Alter::N,വയസ്സ്,leeftijd
518,Schluss::N,നിഗമനം,slot
519,Zeit::N,സമയം,tijd
520,Tag::N,ദിവസം,dag
521,Morgen::N,പ്രഭാതം,morgen
522,Morgen::N,പ്രഭാതം,ochtend
523,Mittag::N,ഉച്ച,middag
524,Abend::N,സായാഹ്നം,avond
525,Nacht::N,രാത്രി,nacht
526,Woche::N,ആഴ്ച,week
527,Monat::N,മാസം,maand
528,Jahr::N,വർഷം,jaar
529,Frühling::N,വസന്തം,lente
530,Frühling::N,വസന്തം,voorjaar
531,Sommer::N,വേനൽ,zomer
532,Herbst::N,ശരത്കാലം,herfst
533,Winter::N,ശൈത്യം,winter
534,Januar::N,ജനുവരി,januari
535,Februar::N,ഫെബ്രുവരി,februari
536,März::N,മാർച്ച്,maart
537,April::N,ഏപ്രിൾ മാസം,april
538,Mai::N,മെയ് മാസം,mei
539,Juni::N,ജൂൺ,juni
540,Juli::N,ജൂലൈ,juli
541,August::N,ആഗസ്റ്റ്,augustus
542,September::N,സെപ്തംബർ,september
543,Oktober::N,ഒക്ടോബർ,oktober
544,November::N,നവംബർ,november
545,Dezember::N,ഡിസംബർ,december
546,Montag::N,തിങ്കളാഴ്ച,maandag
547,Dienstag::N,ചൊവ്വ,dinsdag
548,Mittwoch::N,ബുധനാഴ്ച,woensdag
549,Donnerstag::N,വ്യാഴാഴ്ച,donderdag
550,Freitag::N,വെള്ളിയാഴ്ച,vrijdag
551,Samstag::N,ശനിയാഴ്ച,zaterdag
552,Sonntag::N,ഞായറാഴ്ച,zondag
553,groß::A,വലിയ,groot
554,klein::A,ചെറിയ,klein
555,lang::A,നീണ്ട,lang
556,kurz::A,ഹ്രസ്വമായ,kort
557,breit::A,വിശാലമായ,breed
558,schmal::A,ഇടുങ്ങിയ,smal
559,dicht::A,നിബിഡമായ,dicht
560,dick[Gegenstand]::A,തടിച്ച,dik
561,dünn::A,മെലിഞ്ഞ,dun
562,fein::A,നേർത്ത,fijn
563,fest::A,ഉറപ്പുള്ള,vast
564,flach::A,പരന്ന,plat
565,glatt::A,മിനുസമുള്ള,glad
566,hart::A,കട്ടിയുള്ള,hard
567,weich::A,മൃദുവായ,week
568,rund::A,വട്ടത്തിലുള്ള,rond
569,spitz::A,മുനയുള്ള,spits
570,spitz::A,മുനയുള്ള,puntig
571,scharf::A,മൂർച്ചയുള്ള,scherp
572,stumpf::A,തുറന്നടിക്കുന്ന,stomp
573,schwer::A,ഭാരമുള്ള,zwaar
574,schön::A,മനോഹരമായ,mooi
575,schön::A,മനോഹരമായ,fraai
576,heiß::A,ചൂടുള്ള,heet
577,warm::A,ചൂടുള്ള,warm
578,kalt::A,തണുത്ത,koud
579,kühl::A,തണുപ്പുള്ള,koel
580,frisch::A,ശുദ്ധമായ,fris
581,feucht::A,ഈറനുള്ള,vochtig
582,nass::A,നനഞ്ഞ,nat
583,trocken::A,വരണ്ട,droog
584,voll::A,നിറയെ,vol
585,leer::A,ഒഴിഞ്ഞ,leeg
586,offen::A,തുറന്ന,open
587,geschlossen::A,അടച്ച,gesloten
588,sauber::A,വൃത്തിയുള്ള,net
589,sauber::A,വൃത്തിയുള്ള,schoon
590,schmutzig::A,അഴുക്കുനിറഞ്ഞ,vuil
591,roh::A,അസംസ്കൃതമായ,rauw
592,reif::A,പഴുത്ത,rijp
593,lecker::A,രുചികരമായ,lekker
594,süß::A,മധുരമുള്ള,zoet
595,bitter::A,കടുത്ത,bitter
596,sauer::A,പുളിപ്പുള്ള,zuur
597,hell::A,ജ്വലിക്കുന്ന,licht
598,hell::A,ജ്വലിക്കുന്ന,helder
599,dunkel::A,ഇരുണ്ട,donker
600,schwarz::A,കറുത്ത,zwart
601,weiß::A,വെളുത്ത,wit
602,rot::A,ചുവന്ന,rood
603,gelb::A,മഞ്ഞനിറമായ,geel
604,blau::A,നീലനിറമുള്ള,blauw
605,grün::A,പച്ചനിറമുള്ള,groen
606,grau::A,ചാരനിറത്തിലുള്ള,grijs
607,bunt::A,വർണ്ണശബളമായ,bont
608,billig::A,വിലകുറഞ്ഞ,goedkoop
609,teuer::A,ചെലവേറിയ,duur
610,wertvoll::A,വിലപിടിപ്പുള്ള,kostbaar
611,wertvoll::A,വിലപിടിപ്പുള്ള,waardevol
612,blind::A,അന്ധനായ,blind
613,taub::A,കേൾവിക്കുറവുള്ള,doof
614,kräftig::A,ശക്തിയുള്ള,krachtig
615,stark::A,ബലമുള്ള,sterk
616,schwach::A,ക്ഷീണിച്ച,zwak
617,fett::A,കൊഴുപ്പുള്ള,vet
618,schlank::A,മെലിഞ്ഞ,slank
619,hübsch::A,മനോഹരമായ,leuk
620,böse::A,പാപിയായ,kwaad
621,dumm::A,വിവരംകെട്ട,dom
622,faul::A,അലസനായ,lui
623,fleißig::A,അദ്ധ്വാനശീലമുള്ള,vlijtig
624,geizig::A,പിശുക്കനായ,gierig
625,klug::A,ബുദ്ധിസാമർഥ്യമുള്ള,slim
626,klug::A,ബുദ്ധിസാമർഥ്യമുള്ള,schrander
627,klug::A,ബുദ്ധിസാമർഥ്യമുള്ള,verstandig
628,geschickt::A,പ്രതിഭാശാലി,handig
629,geschickt::A,പ്രതിഭാശാലി,vaardig
630,lieb::A,പ്രിയപ്പെട്ട,lief
631,lustig::A,ആനന്ദകരമായ,vrolijk
632,sanft::A,സൌമ്യമായ,zacht
633,hungrig::A,വിശപ്പുള്ള,hongerig
634,krank::A,അസുഖമുള്ള,ziek
635,nackt::A,നഡമായ,naakt
636,traurig::A,വിഷമമുള്ള,treurig
637,traurig::A,വിഷമമുള്ള,bedroefd
638,lebendig::A,ഉപജീവനം,levend
639,gut::A,നല്ല,goed
640,schlecht::A,മോശമായ,slecht
641,richtig::A,ശരിയായ,juist
642,schlimm::A,വൃത്തികെട്ട,erg
643,schlimm::A,വൃത്തികെട്ട,kwaad
644,wahr::A,ശരിയായ,waar
645,alt::A,പഴയ,oud
646,neu::A,പുതിയ,nieuw
647,ehemalig::A,മുൻ,voormalig
648,alt[Lebewesen]::A,വയസ്സുള്ള,oud
649,jung::A,കൌമാരമായ,jong
650,arm::A,പാവപ്പെട്ട,arm
