,Concept_ID,zh,uk
252,Volk::N,人民,народ
253,Arbeit::N,劳动,робота
254,Gast::N,客人,гість
255,Geschenk::N,礼物,подарунок
256,Spiel::N,游戏,гра
257,Gesellschaft::N,陪同,товариство
258,Hilfe::N,帮助,допомога
259,Freund::N,朋友,друг
260,Freund::N,朋友,приятель
261,Kamerad::N,同志,товариш
262,Angelegenheit::N,事情,справа
263,Anzahl::N,数目,число
264,Art::N,种类,рід
265,Stück::N,块,кусок
266,Teil::N,部分,частина
267,Hälfte::N,一半,половина
268,Kreis::N,圆,круг
269,Kreis::N,圆,коло
270,Kreuz::N,十字架,хрест
271,Linie::N,线条,лінія
272,Strich::N,划,штрих
273,Abstand::N,距离,проміжок
274,Entfernung::N,距离,відстань
275,Gegend::N,地区,місцевість
276,Platz::N,场所,площа
277,Ort::N,地点,місце
278,Seite::N,面,сторона
279,Mitte::N,中间,середина
280,Gegenstand::N,物品,предмет
281,Sache::N,物,річ
282,Rand::N,边,край
283,Kante::N,棱,ребро
284,Ecke::N,角,ріг
285,Spitze::N,尖,кінчик
286,Ende::N,结尾,кінець
287,Loch::N,洞,діра
288,Winkel::N,角度,куток
289,Muster::N,模型,узор
290,Größe::N,大小,розмір
291,Länge::N,长度,довжина
292,Höhe::N,高度,висота
293,Gewicht::N,重量,вага
294,Menge::N,数量,кількість
295,Haufen::N,堆,купа
296,Reihe::N,行,ряд
297,Boot::N,小船,човен
298,Ruder::N,奖,весло
299,Schlitten::N,雪橇,сани
300,Ski::N,雪板,лижа
301,Lagerfeuer::N,营火,вогнище
302,Last::N,负担,тягар
303,Last::N,负担,вантаж
304,Gang::N,行走,хід
305,Schritt::N,步伐,крок
306,Norden::N,北,північ
307,Süden::N,南,південь
308,Westen::N,西,захід
309,Osten::N,东,схід
310,Holz::N,木材,дрова
311,Brett::N,木板,дошка
312,Platte::N,平板,плита
313,Stütze::N,支架,підпірка
314,Stange::N,杆,жердина
315,Stock::N,棒,палиця
316,Stab::N,棍,палиця
317,Rohr::N,管子,труба
318,Haus::N,房屋,дім
319,Haus::N,房屋,хата
320,Heim::N,家,житло
321,Ofen::N,炉子,піч
322,Fußboden::N,地板,підлога
323,Tisch::N,桌子,стіл
324,Stuhl::N,椅子,стілець
325,Wiege::N,摇蓝,колиска
326,Bett::N,床,ліжко
327,Bett::N,床,постіль
328,Regal::N,架子,полиця
329,Kiste::N,箱子,ящик
330,Fenster::N,窗户,вікно
331,Tür::N,门,двері
332,Tor::N,大门,ворота
333,Zaun::N,篱笆,паркан
334,Zaun::N,篱笆,огорожа
335,Dach::N,屋顶,дах
336,Leiter::N,梯子,драбина
337,Besen::N,扫帚,мітла
338,Spaten::N,铁锹,заступ
339,Schaufel::N,铁锹,совок
340,Schaufel::N,铁锹,лопата
341,Gabel::N,叉,виделка
342,Löffel::N,食匙,ложка
343,Messer::N,刀,ніж
344,Nagel::N,钉子,цвях
345,Netz::N,网,сіть
346,Haken::N,钩子,крюк
347,Griff::N,把柄,ручка
348,Griff::N,把柄,держак
349,Schloss::N,锁,замок
350,Bild::N,图画,картина
351,Figur::N,人像,фігура
352,Puppe::N,娃娃,лялька
353,Beutel::N,袋子,мішечок
354,Beutel::N,袋子,торбинка
355,Bündel::N,捆,в’язка
356,Tasche::N,手提包,сумка
357,Eimer::N,桶,відро
358,Deckel::N,盖子,кришка
359,Geschirr::N,餐具,посуд
360,Sack::N,袋子,мішок
361,Tasse::N,杯子,чашка
362,Topf::N,锅,горщик
363,Kessel::N,水壶,котел
364,Essen::N,进餐,їжа
365,Nahrung::N,食物,харч
366,Speise::N,菜肴,страва
367,Fleisch::N,肉,м’ясо
368,Getreide::N,谷物,хліб
369,Getreide::N,谷物,збіжжя
370,Brei::N,粥,каша
371,Brot::N,面包,хліб
372,Scheibe::N,片,скибочка
373,Fett::N,脂肪,жир
374,Butter::N,黄油,масло
375,Öl::N,油,олія
376,Salz::N,盐,сіль
377,Suppe::N,汤,суп
378,Honig::N,蜂蜜,мед
379,Milch::N,奶,молоко
380,Tee::N,茶,чай
381,Leder::N,皮革,шкіра
382,Wolle::N,毛线,шерсть
383,Stoff::N,织物,тканина
384,Nadel::N,针,голка
385,Faden::N,线,нитка
386,Knopf::N,纽扣,ґудзик
387,Knoten::N,结,вузол
388,Farbe::N,颜色,фарба
389,Kleidung::N,衣服,одяг
390,Kleidung::N,衣服,убрання
391,Hemd::N,衬衫,сорочка
392,Kragen::N,领子,комір
393,Ärmel::N,袖子,рукав
394,Hose::N,裤子,брюки
395,Gürtel::N,腰带,пояс
396,Mütze::N,帽子,шапка
397,Schuh::N,鞋,ботинок
398,Stiefel::N,靴子,чобіт
399,Ring::N,戒指,кільце
400,Band::N,带子,стрічка
401,Kamm::N,梳子,гребінець
402,Spiegel::N,镜子,дзеркало
403,Riemen::N,皮带,ремінь
404,Schnur::N,绳子,вірьовка
405,Leine::N,皮带,шворка
406,Decke::N,被子,ковдра
407,Kissen::N,软垫,подушка
408,Tuch::N,巾,хустка
409,Handtuch::N,手巾,рушник
410,Kraft::N,力,сила
411,Stärke::N,力量,сила
412,Gesundheit::N,健康,здоров’я
413,Krankheit::N,病,хвороба
414,Schmerz::N,痛,біль
415,Wunde::N,伤口,рана
416,Fieber::N,发烧,гарячка
417,Arznei::N,药,ліки
418,Brücke::N,桥,міст
419,Brunnen::N,井,колодязь
420,Weide::N,牧场,пасовище
421,Pfad::N,小路,стежка
422,Weg::N,路,шлях
423,Weg::N,路,дорога
424,Straße::N,街,вулиця
425,Dorf::N,村庄,село
426,Stadt::N,城市,місто
427,Brief::N,信,лист
428,Buch::N,书,книга
429,Buch::N,书,книжка
430,Buchstabe::N,字母,буква
431,Buchstabe::N,字母,літера
432,Zeitung::N,报纸,газета
433,Leben::N,生命,життя
434,Tod::N,死亡,смерть
435,Grab::N,坟墓,могила
436,Kirche::N,教堂,церква
437,Sünde::N,罪,гріх
438,Gott::N,上帝,бог
439,Arbeiter::N,工人,робітник
440,Chef::N,上司,хазяїн
441,Meister::N,师傅,умілець
442,Arzt::N,医生,лікар
443,Lehrer::N,教师,вчитель
444,Geld::N,钱,гроші
445,Geschäft::N,交易,заняття
446,Laden::N,商店,магазин
447,Laden::N,商店,крамниця
448,Preis::N,价格,ціна
449,Ware::N,商品,товар
450,Nutzen::N,好处,вигода
451,Nutzen::N,好处,користь
452,Reichtum::N,财富,багатство
453,Welt::N,世界,світ
454,Land::N,国家,країна
455,Staat::N,国家,держава
456,König::N,国王,король
457,Macht::N,权力,влада
458,Grenze::N,边界,кордон
459,Krieg::N,战争,війна
460,Feind::N,敌人,ворог
461,Gewalt::N,暴力,насильство
462,Kampf::N,战斗,бій
463,Kampf::N,战斗,боротьба
464,Bogen[Waffe]::N,弓,лук
465,Pfeil::N,箭,стріла
466,Gewehr::N,枪,рушниця
467,Gewehr::N,枪,гвинтівка
468,Fehler::N,错误,помилка
469,Lüge::N,谎话,брехня
470,Schaden::N,损失,шкода
471,Schaden::N,损失,збиток
472,Unglück::N,不幸,нещастя
473,Schuld::N,过错,провина
474,Alter::N,年龄,вік
475,Alter::N,年龄,літа
476,Schluss::N,结束,кінець
477,Zeit::N,时间,час
478,Tag::N,天,день
479,Morgen::N,早晨,ранок
480,Mittag::N,中午,південь
481,Abend::N,晚上,вечір
482,Nacht::N,夜,ніч
483,Woche::N,星期,тиждень
484,Monat::N,月,місяць
485,Jahr::N,年,рік
486,Frühling::N,春天,весна
487,Sommer::N,夏天,літо
488,Herbst::N,秋天,осінь
489,Winter::N,冬天,зима
490,Januar::N,一月,січень
491,Februar::N,二月,лютий
492,März::N,三月,березень
493,April::N,四月,квітень
494,Mai::N,五月,травень
495,Juni::N,六月,червень
496,Juli::N,七月,липень
497,August::N,八月,серпень
498,September::N,九月,вересень
499,Oktober::N,十月,жовтень
500,November::N,十一月,листопад
501,Dezember::N,十二月,грудень
502,Montag::N,星期一,понеділок
503,Dienstag::N,星期二,вівторок
504,Mittwoch::N,星期三,середа
505,Donnerstag::N,星期四,четвер
506,Freitag::N,星期五,п’ятниця
507,Samstag::N,星期六,субота
508,Sonntag::N,星期日,неділя
509,groß::A,大,великий
510,klein::A,小,малий
511,klein::A,小,маленький
512,lang::A,长,довгий
513,kurz::A,短,короткий
514,breit::A,宽,широкий
515,schmal::A,细长的,вузький
516,dicht::A,密,густий
517,dick[Gegenstand]::A,厚,товстий
518,dünn::A,薄,тонкий
519,fein::A,细小,дрібний
520,fest::A,固体,міцний
521,flach::A,平坦,плоский
522,glatt::A,光滑,рівний
523,glatt::A,光滑,гладенький
524,hart::A,硬,твердий
525,weich::A,软,м’який
526,rund::A,圆,круглий
527,spitz::A,尖,гострокінцевий
528,scharf::A,锋利,гострий
529,stumpf::A,钝,тупий
530,schwer::A,重,важкий
531,schön::A,美丽,вродливий
532,heiß::A,烫,жаркий
533,heiß::A,烫,гарячий
534,warm::A,暖和,теплий
535,kalt::A,冷,холодний
536,kühl::A,凉,прохолодний
537,frisch::A,新鲜,свіжий
538,feucht::A,潮湿,вогкий
539,nass::A,湿,мокрий
540,trocken::A,干,сухий
541,voll::A,满,повний
542,leer::A,空,пустий
543,offen::A,敞开,відкритий
544,geschlossen::A,关闭,закритий
545,geschlossen::A,关闭,зачинений
546,sauber::A,干净,чистий
547,sauber::A,干净,охайний
548,schmutzig::A,肮脏,брудний
549,roh::A,生,сирий
550,reif::A,成熟,зрілий
551,lecker::A,好吃,смачний
552,süß::A,甜,солодкий
553,bitter::A,苦,гіркий
554,sauer::A,酸,кислий
555,hell::A,亮,світлий
556,dunkel::A,阴暗,темний
557,schwarz::A,黑,чорний
558,weiß::A,白,сивий
559,rot::A,红,червоний
560,gelb::A,黄,жовтий
561,blau::A,蓝,синій
562,grün::A,绿,зелений
563,grau::A,灰色,сірий
564,bunt::A,五彩,барвистий
565,billig::A,便宜,дешевий
566,teuer::A,贵,дорогий
567,wertvoll::A,贵重,цінний
568,blind::A,瞎,сліпий
569,taub::A,聋,глухий
570,kräftig::A,强壮,могутній
571,stark::A,强壮,сильний
572,schwach::A,弱,слабкий
573,fett::A,胖,жирний
574,fett::A,胖,товстий
575,schlank::A,苗条,тонкий
576,schlank::A,苗条,стрункий
577,hübsch::A,漂亮,чарівний
578,böse::A,邪恶,злий
579,böse::A,邪恶,лихий
580,dumm::A,笨,дурний
581,faul::A,懒惰,ледачий
582,fleißig::A,勤奋,старанний
583,geizig::A,吝啬,скупий
584,klug::A,聪明,мудрий
585,klug::A,聪明,розумний
586,geschickt::A,灵巧,умілий
587,lieb::A,可爱,милий
588,lustig::A,快乐,веселий
589,sanft::A,柔和,лагідний
590,hungrig::A,饥饿,голодний
591,krank::A,患病,слабий
592,nackt::A,裸体,голий
593,traurig::A,悲哀,сумний
594,lebendig::A,活,живий
595,gut::A,好,добрий
596,schlecht::A,坏,поганий
597,schlecht::A,坏,кепський
598,richtig::A,正确,правильний
599,schlimm::A,糟糕,бридкий
600,wahr::A,真,справжній
601,alt::A,旧,старий
602,neu::A,新,новий
603,ehemalig::A,以前,колишній
604,alt[Lebewesen]::A,老,старий
605,jung::A,年轻,молодий
606,arm::A,贫穷,бідний
607,reich::A,富裕,багатий
608,bekannt::A,出名,знайомий
609,berühmt::A,著名,славетний
610,fremd::A,陌生,чужий
611,verschieden::A,不同,різний
612,nah::A,近,близький
613,fern::A,遥远,далекий
614,linker::A,左,лівий
615,rechter::A,右,правий
616,anderer::A,别的,інакший
617,erster::A,第一,перший
618,zweiter::A,第二,другий
619,dritter::A,第三,третій
620,letzter::A,最后,останній
621,allein::ADV,单独,сам
622,allein::ADV,单独,один
623,auf einmal::ADV,同时,відразу
624,zusammen::ADV,一起,разом
625,zusammen::ADV,一起,спільно
626,lange::ADV,许久,довго
627,plötzlich::ADV,忽然,раптом
628,sofort::ADV,立刻,зараз
629,später::ADV,以后,пізніше
630,jetzt::ADV,现在,тепер
631,heute::ADV,今天,сьогодні
632,morgen::ADV,明天,завтра
633,bald::ADV,即将,незабаром
634,dann::ADV,然后,потім
635,gestern::ADV,昨天,вчора
636,einst::ADV,曾经,колись
637,damals::ADV,当时,тоді
638,danach::ADV,随后,згодом
639,vorher::ADV,事先,раніше
640,zuerst::ADV,首先,спершу
641,zuerst::ADV,首先,спочатку
642,einmal::ADV,一次,один раз
643,manchmal::ADV,有时,іноді
644,manchmal::ADV,有时,інколи
645,oft::ADV,时常,часто
646,immer::ADV,总是,завжди
647,niemals::ADV,从未,ніколи
648,hier::ADV,这里,тут
649,hierhin::ADV,到这里,сюди
650,von hier::ADV,由此,звідси
651,dort::ADV,那里,там
652,dorthin::ADV,到那里,туди
653,geradeaus::ADV,一直往前,прямо
654,vorwärts::ADV,向前,вперед
655,rückwärts::ADV,向后,назад
656,zurück::ADV,退后,назад
657,unten::ADV,下面,внизу
658,hinab::ADV,向下,вниз
659,oben::ADV,上面,вгорі
660,hinauf::ADV,向上,вгору
661,überall::ADV,到处,скрізь
662,nicht::ADV,不,не
663,ein wenig::ADV,一点儿,трохи
664,ein wenig::ADV,一点儿,небагато
665,kaum::ADV,几乎不,ледве
666,sehr::ADV,很,дуже
667,so::ADV,如此,так
668,noch::ADV,还,ще
669,nur::ADV,只,лише
670,nur::ADV,只,тільки
671,schon::ADV,已经,вже
672,wieder::ADV,又,знову
673,vor::PRP,在...面前,перед
674,hinter::PRP,在...背后,ззаду
675,hinter::PRP,在...背后,позаду
676,unter::PRP,在...下面,під
677,durch::PRP,穿过,крізь
678,neben::PRP,在...旁,біля
679,zwischen::PRP,在...之间,між
680,wegen::PRP,由于,з-за
681,wegen::PRP,由于,через
682,dies::PRN,这,це
683,das::PRN,那,то
684,alles::PRN,一切,все
685,ich::PRN,我,я
686,du::PRN,你,ти
687,er::PRN,他,він
688,wir::PRN,我们,ми
689,ihr::PRN,你们,ви
690,sie::PRN,她,вони
691,was::FPRN,什么,що
692,wer::FPRN,谁,хто
693,wo::FADV,哪里,де
694,wohin::FADV,去哪里,куди
695,wie::FADV,怎么,як
696,warum::FADV,为什么,чому
697,wieviel::FNUM,多少,скільки
698,eins::NUM,一,один
699,zwei::NUM,二,два
700,drei::NUM,三,три
701,vier::NUM,四,чотири
702,fünf::NUM,五,п’ять
703,sechs::NUM,六,шість
704,sieben::NUM,七,сім
705,acht::NUM,八,вісім
706,neun::NUM,九,дев’ять
707,zehn::NUM,十,десять
708,elf::NUM,十一,одинадцять
709,zwölf::NUM,十二,дванадцять
710,zwanzig::NUM,二十,двадцять
711,dreißig::NUM,三十,тридцять
712,vierzig::NUM,四十,сорок
713,fünfzig::NUM,五十,п’ятдесят
714,sechzig::NUM,六十,шістдесят
715,siebzig::NUM,七十,сімдесят
716,achtzig::NUM,八十,вісімдесят
717,neunzig::NUM,九十,дев’яносто
718,hundert::NUM,百,сто
719,tausend::NUM,千,тисяча
720,und::CNJ,和,і
721,oder::CNJ,或者,або
722,stehen::V,站,стояти
723,sitzen::V,坐,сидіти
724,liegen::V,躺着,лежати
725,hängen::V,挂着,висіти
726,werden::V,成为,стати
727,werden::V,成为,робитися
728,passieren::V,发生,трапитися
729,beginnen::V,开始,початися
730,enden::V,终止,кінчитися
731,wechseln::V,变迁,мінятися
732,aufgehen[Sonne]::V,升起,зійти
733,untergehen[Sonne]::V,下落,зайти
734,scheinen[Sonne]::V,照射,світити
735,donnern::V,打雷,гриміти
736,wehen::V,飘扬,віяти
737,strömen::V,流,литися
738,fließen::V,流动,текти
739,sich drehen::V,转动,обертатися
740,schwanken::V,摇摆,коливатися
741,schwingen::V,摇,хитатися
742,schwingen::V,摇,гойдатися
743,fallen::V,坠落,падати
744,brennen::V,燃烧,горіти
745,rauchen::V,冒烟,диміти
746,regnen::V,下雨,дощити
747,gefrieren::V,结冰,змерзнути
748,tauen::V,融化,танути
749,schmelzen::V,溶化,плавитися
750,trocknen::V,变干,сохнути
751,sieden::V,煮,кипіти
752,faulen::V,腐烂,гнити
753,verfaulen::V,腐烂,згнити
754,reißen::V,撕,рватися
755,versinken::V,下沉,тонути
756,vergehen::V,流逝,проходити
757,erscheinen::V,出现,з’явитися
758,verschwinden::V,消失,щезнути
759,verschwinden::V,消失,зникнути
760,sinken::V,下降,спадати
761,abnehmen::V,减少,поменшитися
762,zunehmen::V,增加,збільшуватися
763,steigen::V,上升,підніматися
764,wachsen::V,生长,рости
765,glänzen::V,发光,блищати
766,funkeln::V,闪烁,блискати
767,lärmen::V,吵闹,шуміти
768,läuten::V,响,дзвонити
769,klingeln::V,按铃,дзвонити
770,brausen::V,疾驶,бушувати
771,klingen::V,听起来,лунати
772,klingen::V,听起来,звучати
773,bellen::V,吠,гавкати
774,heulen::V,嗥,вити
775,blasen::V,吹,дунути
776,pfeifen::V,吹口哨,свистіти
777,schreien::V,叫喊,кричати
778,stöhnen::V,呻吟,стогнати
779,zittern::V,颤抖,тремтіти
780,leben::V,生存,жити
781,geboren werden::V,出生,народитися
782,atmen::V,呼吸,дихати
783,trinken::V,喝,пити
784,essen::V,吃,їсти
785,schlucken::V,咽,ковтати
786,müde werden::V,疲倦,втомитися
787,einschlafen::V,入睡,заснути
788,schlafen::V,睡觉,спати
789,aufwachen::V,睡醒,прокинутися
790,aufstehen::V,起床,встати
791,sich erholen::V,休养,відпочивати
792,krank werden::V,生病,захворіти
793,krank sein::V,生病,хворіти
794,schmerzen::V,疼痛,боліти
795,husten::V,咳,кашляти
796,genesen::V,痊愈,одужати
797,genesen::V,痊愈,видужати
798,sterben::V,死,померти
799,umkommen::V,丧命,згинути
800,sich bewegen::V,移动,рухатися
801,sich rühren::V,动弹,ворушитися
802,sich erheben::V,站起,встати
803,sich setzen::V,坐,сісти
804,hinfallen::V,跌倒,упасти
805,laufen::V,步行,ходити
806,schreiten::V,迈步,крокувати
807,spazierengehen::V,散步,гуляти
808,eilen::V,急忙,спішити
809,sich beeilen::V,赶快,поспішати
810,sausen::V,疾驰,мчатися
811,rennen::V,奔跑,бігати
812,springen::V,跳,скакати
813,springen::V,跳,стрибати
814,klettern::V,攀缘,лазити
815,schaukeln::V,荡秋千,гойдатися
816,kriechen::V,爬行,повзати
817,schwimmen::V,游泳,пливти
818,schwimmen::V,游泳,плавати
819,tauchen::V,潜水,пірнати
820,rudern::V,划船,гребти
821,rudern::V,划船,веслувати
822,fahren::V,行驶,їхати
823,fliegen::V,飞,літати
824,gehen::V,走,іти
825,weggehen::V,离去,піти
826,abfahren::V,出发,від’їхати
827,abfahren::V,出发,відправитися
828,anhalten::V,停住,зупинитися
829,hineingehen::V,进去,входити
830,eintreten::V,进入,увійти
831,kommen::V,来,прийти
832,ankommen::V,到达,прибути
833,zurückkommen::V,回来,повернутися
834,bleiben::V,停留,залишитися
835,warten::V,等,чекати
836,erwarten::V,等候,чекати
837,suchen::V,找,шукати
838,finden::V,找到,знайти
839,versuchen::V,尝试,випробовувати
840,vorbereiten::V,预备,підготувати
841,lieben::V,爱,любити
842,mögen::V,喜欢,любити
843,mögen::V,喜欢,подобатися
844,lachen::V,笑,сміятися
845,weinen::V,哭,плакати
846,schimpfen::V,骂,лаятися
847,sich ärgern::V,生气,сердитися
848,sich fürchten::V,害怕,боятися
849,fürchten::V,害怕,боятися
850,fliehen::V,逃走,тікати
851,flüchten::V,逃跑,утекти
852,sehen::V,看,бачити
853,anschauen::V,注视,поглянути
854,ansehen::V,注视,дивитися на
855,hören::V,听,чути
856,zuhören::V,倾听,слухати
857,probieren::V,尝,покуштувати
858,riechen::V,闻,нюхати
859,fühlen::V,感到,відчувати
