,Concept_ID,xal,az
222,Großvater::N,наһц эцк,baba
223,Großmutter::N,эмг эк,nənə
224,Großmutter::N,наһц эк,nənə
225,Eltern::N,эк эцк хойр,valideyn
226,Vater::N,эцк,ata
227,Mutter::N,эк,ana
228,Sohn::N,көвүн,oğul
229,Tochter::N,күүкн,qız
230,Bruder::N,дү көвүн,qardaş
231,Schwester::N,эгч,bacı
232,Schwester::N,дү күүкн,bacı
233,Onkel::N,авһ,əmi
234,Onkel::N,авһ,dayı
235,Onkel::N,наһцх,əmi
236,Onkel::N,наһцх,dayı
237,Tante::N,наһц эгч,bibi
238,Ehemann::N,залу,ər
239,Ehefrau::N,гергн,arvad
240,Freude::N,байр,nəşə
241,Freude::N,байр,sevinc
242,Gelächter::N,инәдн,gülüş
243,Gelächter::N,инәдн,qəhqəhə
244,Glück::N,җирһл,səadət
245,Glück::N,җирһл,xoşbəxtlik
246,Glück::N,сәәхн җирһл,səadət
247,Glück::N,сәәхн җирһл,xoşbəxtlik
248,Kummer::N,зовлң,qəm
249,Kummer::N,зовлң,kədər
250,Wunsch::N,дурн,arzu
251,Lust::N,җилвтлһн,həvəs
252,Geist::N,зөрг,ruh
253,Gedanke::N,ухан,fikir
254,Gedanke::N,ухан,düşüncə
255,Gedächtnis::N,чееҗин тодлвр,xatir
256,Gedächtnis::N,чееҗин тодлвр,hafizə
257,Verstand::N,ухан,ağıl
258,Sinn::N,учр-утх,məna
259,Grund::N,учр,səbəb
260,Grund::N,шалтан,səbəb
261,Wahrheit::N,үнн,haqq
262,Wahrheit::N,үнн,doğruluq
263,Gespräch::N,күүндвүр,söhbət
264,Gespräch::N,күүндвүр,qonuşma
265,Märchen::N,тууль,nağıl
266,Erzählung::N,келвр,hekayə
267,Nachricht::N,медүллһн,xəbər
268,Neuigkeit::N,зәңг,xəbər
269,Neuigkeit::N,зәңг,yenilik
270,Name::N,нерн,ad
271,Rätsel::N,тәәлвртә тууль,tapmaca
272,Rede::N,келлһн,nitq
273,Sprache::N,келн,dil
