,Concept_ID,ml,lt
65,Wind::N,കാറ്റ്,vėjas
66,Welle::N,തിരമാല,banga
67,Welle::N,തിരമാല,vilnis
68,Wasser::N,വെള്ളം,vanduo
69,Stein::N,ശില,akmuo
70,Stein::N,കല്ല്,akmuo
71,Boden::N,തറ,žemė
72,Boden::N,തറ,dugnas
73,Boden::N,നിലം,žemė
74,Boden::N,നിലം,dugnas
75,Erde::N,മണ്ണ്,žemė
76,Staub::N,പൊടി,dulkės
77,Rauch::N,പുക,dūmai
78,Funke::N,തീപ്പൊരി,kibirkštis
79,Feuer::N,തീ,ugnis
80,Licht::N,വിളക്ക്,šviesa
81,Licht::N,സൂര്യപ്രകാശം,šviesa
82,Schatten::N,തണൽ,paūksmė
83,Wetter::N,കാലാവസ്ഥ,oras
84,Nebel::N,മൂടൽമഞ്ഞ്,migla
85,Nebel::N,മൂടൽമഞ്ഞ്,rūkas
86,Wolke::N,മേഘം,debesis
87,Regen::N,മഴ,lietus
88,Schnee::N,മഞ്ഞ്,sniegas
89,Eis::N,ഐസ്,ledas
90,Frost::N,മൂടൽമഞ്ഞ്,šalna
91,Kälte::N,തണുപ്പ്,šaltis
92,Hitze::N,ചൂട്,karštis
93,Raureif::N,കോടമഞ്ഞ്,šerkšnas
94,Regenbogen::N,മഴവില്ല്,vaivorykštė
95,Donner::N,ഇടി,perkūnas
96,Donner::N,ഇടി,griaustinis
97,Strömung::N,പ്രവാഹം,tėkmė
98,Tropfen::N,തുള്ളി,lašas
99,Schaum::N,നുര,putos
100,Schmutz::N,അഴുക്ക്,purvas
101,See::N,തടാകം,ežeras
102,Sumpf::N,ചതുപ്പുനിലം,klampynė
103,Sumpf::N,ചതുപ്പുനിലം,liūnas
104,Moor::N,പാഴ്നിലം,pelkė
105,Wiese::N,പുൽത്തകിടി,pieva
106,Wald::N,വനം,miškas
107,Wald::N,കാട്,miškas
108,Hügel::N,കുന്ന്,kalva
109,Anhöhe::N,ഉയർന്ന ഭൂമി,kauburys
110,Berg::N,പർവ്വതം,kalnas
111,Gipfel::N,ഉച്ചകോടി,viršūnė
112,Höhle::N,ഗുഹ,ola
113,Abhang::N,ചരിവ്,šlaitas
114,Abhang::N,ചരിവ്,nuokalnė
115,Quelle::N,ഉറവിടം,versmė
116,Quelle::N,ഉറവിടം,šaltinis
117,Bach::N,അരുവി,upelis
118,Fluss::N,നദി,upė
119,Ufer::N,തീരം,krantas
120,Küste::N,കടൽത്തീരം,pajūris
121,Festland::N,കര,sausuma
122,Meer::N,കടൽ,jūra
123,Bucht::N,ഉൾക്കടല്,įlanka
124,Bucht::N,ഉൾക്കടല്,užutekis
125,Insel::N,ദ്വീപ്,sala
126,Blume::N,പൂവ്,gėlė
127,Gras::N,പുല്ല്,žolė
128,Wurzel::N,വേര്,šaknis
129,Baum::N,മരം,medis
130,Stamm::N,തായ്ത്തടി,kamienas
131,Rinde::N,പട്ട,žievė
132,Ast::N,ശാഖ,šaka
133,Zweig::N,ശാഖ,šakelė
134,Blatt::N,ഇല,lapas
135,Birke::N,പൂവരശ്,beržas
136,Kiefer[Baum]::N,പൈൻമരം,pušis
137,Weide[Baum]::N,വില്ലോ,karklas
138,Tanne::N,ദേവദാരു,eglė
139,Tanne::N,ദേവദാരു,kėnis
140,Horn::N,മൃഗത്തിൻറെ കൊമ്പ്,ragas
141,Feder::N,തൂവൽ,plunksna
142,Fell::N,മൃദുരോമം,kailis
143,Flügel::N,ചിറക്,sparnas
144,Klaue::N,നഖം,kanopa
145,Kralle::N,നഖം,nagas
146,Schwanz::N,വാൽ,uodega
147,Ei::N,മുട്ട,kiaušinis
148,Nest::N,കൂട്,gūžta
149,Nest::N,കൂട്,lizdas
150,Bau::N,മാളം,ola
151,Tier::N,മൃഗം,gyvūnas
152,Herde::N,കൂട്ടം,banda
153,Herde::N,കൂട്ടം,kaimenė
154,Kuh::N,പശു,karvė
155,Bulle::N,കാള,bulius
156,Pferd::N,കുതിര,arklys
157,Schaf::N,ആട്,avis
158,Schwein::N,പന്നി,kiaulė
159,Hund::N,നായ്,šuo
160,Katze::N,പൂച്ച,katė
161,Bär::N,കരടി,lokys
162,Eichhörnchen::N,അണ്ണാൻ,voveraitė
163,Elch::N,കടമാന്,briedis
164,Fuchs::N,കുറുക്കൻ,lapė
165,Hase::N,മുയൽ,kiškas
166,Maus::N,ചുണ്ടലി,pelė
167,Wolf::N,ചെന്നായ,vilkas
168,Vogel::N,പക്ഷി,paukštis
169,Schwarm::N,കൂട്ടം,spiečius
170,Huhn::N,കോഴി,višta
171,Hahn::N,പൂവൻകോഴി,gaidys
172,Gans::N,അരയന്നം,žąsis
173,Adler::N,കഴുകൻ,erelis
174,Ente::N,താറാവ്,antis
175,Eule::N,മൂങ്ങ,pelėda
176,Kranich::N,കൊക്ക്,gervė
177,Krähe::N,കാക്ക,varna
178,Kuckuck::N,കുയിൽ,gegužė
179,Schwan::N,അരയന്നം,gulbė
180,Fisch::N,മത്സ്യം,žuvis
181,Barsch::N,ഒരിനം മത്സ്യം,ešerys
182,Hecht::N,ഒരു മത്സ്യം,lydeka
183,Schlange[Tier]::N,പാമ്പ്,gyvatė
184,Wurm::N,വിര,kirmėlė
185,Spinne::N,ചിലന്തി,voras
186,Ameise::N,ഉറുമ്പ്,skruzdė
187,Laus::N,പേന്,utėlė
188,Mücke::N,മശകം,uodas
189,Fliege::N,ഈച്ച,musė
190,Schmetterling::N,ചിത്രശലഭം,drugys
191,Schmetterling::N,ചിത്രശലഭം,peteliškė
192,Beere::N,ബെറി,uoga
193,Apfel::N,ആപ്പിൾ,obuolys
194,Pilz::N,കൂൺ,grybas
195,Zwiebel::N,സവാള,svogūnas
196,Saat::N,വിത്ത്,sėkla
197,Korn::N,ധാന്യം,grūdai
198,Heu::N,വയ്ക്കോൽ,šienas
199,Schale::N,തൊലി,žievelė
200,Grube::N,കുഴി,duobė
201,Falle::N,കെണി,pinklės
202,Falle::N,കെണി,žabangai
203,Schlinge::N,കുടുക്ക്,kilpa
204,Spur::N,ചുവട്,vėžė
205,Spur::N,ചുവട്,pėdos
206,Spur::N,ചുവട്,pėdsakas
207,Asche::N,ചാരം,pelenai
208,Dreck::N,അഴുക്ക്,purvas
209,Eisen::N,ഇരുമ്പ്,geležis
210,Gold::N,സ്വർണ്ണം,auksas
211,Silber::N,വെള്ളി,sidabras
212,Kohle::N,കൽക്കരി,anglis
213,Glas::N,ഗ്ലാസ്,stiklas
214,Lehm::N,കളിമണ്ണ്,molis
215,Sand::N,മണൽ,smėlis
216,Mensch::N,മനുഷ്യർ,žmogus
217,Mann::N,പുരുഷൻ,vyras
218,Mann::N,പുരുഷൻ,vyriškis
219,Frau::N,സ്ത്രീ,moteris
220,Kind::N,കുഞ്ഞ്,vaikas
221,Junge::N,ആൺകുട്ടി,vaikinas
222,Junge::N,ആൺകുട്ടി,berniukas
223,Mädchen::N,പെൺകുട്ടി,mergytė
224,Mädchen::N,പെൺകുട്ടി,mergaitė
225,Familie::N,കുടുംബം,šeima
226,Großvater::N,അപ്പൂപ്പൻ,senelis
227,Großmutter::N,അമ്മുമ്മ,senelė
228,Eltern::N,മാതാപിതാക്കള്,tėvai
229,Vater::N,അച്ഛൻ,tėvas
230,Mutter::N,അമ്മ,motina
231,Sohn::N,മകൻ,sūnus
232,Tochter::N,മകൾ,duktė
233,Bruder::N,ചേട്ടൻ,brolis
234,Bruder::N,അനിയൻ,brolis
235,Schwester::N,ചേച്ചി,sesuo
236,Schwester::N,അനിയത്തി,sesuo
237,Onkel::N,അമ്മാവൻ,dėdė
238,Tante::N,മാമി,teta
239,Ehemann::N,ഭർത്താവ്,vyras
240,Ehefrau::N,ഭാര്യ,žmona
241,Freude::N,ആഹ്ലാദം,džiaugsmas
242,Gelächter::N,ചിരിയുടെ ശബ്ദം,juokas
243,Glück::N,സന്തോഷം,laimė
244,Glück::N,സന്തുഷ്ടി,laimė
245,Kummer::N,ശോകം,vargas
246,Kummer::N,ശോകം,rūpestis
247,Wunsch::N,ആഗ്രഹം,troškimas
248,Wunsch::N,ആഗ്രഹം,pageidavimas
249,Lust::N,ആഗ്രഹം,noras
250,Lust::N,ആഗ്രഹം,geidulys
251,Geist::N,ചുറുചുറുക്ക്,dvasia
252,Gedanke::N,ചിന്ത,mintis
253,Gedächtnis::N,ഓർമ്മശക്തി,atmintis
254,Verstand::N,മനസ്സ്,protas
255,Sinn::N,അർത്ഥം,prasmė
256,Grund::N,കാരണം,priežastis
257,Wahrheit::N,സത്യം,tiesa
258,Wahrheit::N,സത്യം,teisybė
259,Gespräch::N,സല്ലാപം,pokalbis
260,Märchen::N,യക്ഷിക്കഥ,pasaka
261,Erzählung::N,കഥ,apsakymas
262,Erzählung::N,കഥ,pasakojimas
263,Nachricht::N,സന്ദേശം,žinia
264,Neuigkeit::N,വാർത്ത,naujiena
265,Name::N,പേര്,vardas
266,Rätsel::N,പ്രഹേളിക,mįslė
267,Rede::N,സംസാരം,kalba
268,Sprache::N,ഭാഷ,kalba
269,Stimme::N,സ്വരം,balsas
270,Wort::N,വാക്ക്,žodis
271,Zeichen::N,സംജ്ഞ,žymė
272,Zeichen::N,സംജ്ഞ,ženklas
273,Ruf::N,വിളി,šauksmas
274,Lärm::N,ആരവം,triukšmas
275,Laut::N,ശബ്ദം,garsas
276,Ton::N,സ്വരഭേദം,tonas
277,Ton::N,സ്വരഭേദം,garsas
278,Lied::N,പാട്ട്,daina
279,Lied::N,പാട്ട്,giesmė
280,Ruhe::N,നിശ്ചലത,ramybė
281,Ruhe::N,നിശ്ചലത,ramumas
282,Leute::N,ജനങ്ങൾ,žmonės
283,Volk::N,രാഷ്ടം,tauta
284,Arbeit::N,ജോലി,darbas
285,Arbeit::N,ജോലി,triūsas
286,Gast::N,അതിലി,svečias
287,Geschenk::N,സമ്മാനം,dovana
288,Spiel::N,കളി,žaismas
289,Spiel::N,കളി,žaidimas
290,Gesellschaft::N,കൂട്ടായ്മ,draugija
291,Gesellschaft::N,കൂട്ടായ്മ,kompanija
292,Hilfe::N,സഹായം,pagalba
293,Freund::N,സുഹൃത്ത്,draugas
294,Freund::N,സുഹൃത്ത്,bičiulis
295,Kamerad::N,കൂട്ടാളി,draugas
296,Angelegenheit::N,കാര്യം,dalykas
297,Angelegenheit::N,കാര്യം,reikalas
298,Anzahl::N,എണ്ണം,kiekis
299,Anzahl::N,എണ്ണം,skaičius
300,Art::N,തരം,rūšis
301,Stück::N,കഷണം,gabalas
302,Teil::N,ഭാഗം,dalis
303,Hälfte::N,പകുതി,pusė
304,Kreis::N,വൃത്തം,ratas
305,Kreis::N,വൃത്തം,apskritis
306,Kreis::N,വൃത്തം,apskritimas
307,Kreuz::N,കുരിശടയാളം,kryžius
308,Linie::N,വര,linija
309,Linie::N,രേഖ,linija
310,Strich::N,പക്ഷാഘാതം,brėžis
311,Strich::N,പക്ഷാഘാതം,brūkšnys
312,Abstand::N,വിടവ്,atstumas
313,Entfernung::N,അകലം,atstumas
314,Gegend::N,പ്രദേശം,vietovė
315,Platz::N,ഇടം,vieta
316,Ort::N,സ്ഥലം,vieta
317,Ort::N,സ്ഥലം,vietovė
318,Seite::N,വശം,pusė
319,Seite::N,വശം,šonas
320,Mitte::N,മധ്യസ്ഥാനം,vidurys
321,Gegenstand::N,സാധനം,dalykas
322,Sache::N,വസ്തു,daiktas
323,Rand::N,തൊങ്ങൽ,kraštas
324,Rand::N,തൊങ്ങൽ,pakraštys
325,Kante::N,അറ്റം,kraštas
326,Ecke::N,മൂല,kertė
327,Ecke::N,മൂല,kampas
328,Spitze::N,അഗ്രം,priekis
329,Spitze::N,അഗ്രം,priešakys
330,Ende::N,അവസാനം,galas
331,Loch::N,ദ്വാരം,skylė
332,Winkel::N,കോൺ,kampas
333,Winkel::N,കോൺ,kampelis
334,Muster::N,ക്രമം,raštas
335,Größe::N,വലുപ്പം,dydis
336,Größe::N,വലുപ്പം,didumas
337,Länge::N,നീളം,ilgis
338,Länge::N,നീളം,ilgumas
339,Höhe::N,ഉയരം,aukštis
340,Höhe::N,ഉയരം,aukštuma
341,Gewicht::N,കട്ടി,svoris
342,Gewicht::N,കട്ടി,svarstis
343,Menge::N,അളവ്,kiekis
344,Menge::N,അളവ്,daugybė
345,Haufen::N,കൂമ്പാരം,krūva
346,Haufen::N,കൂമ്പാരം,šūsnis
347,Reihe::N,വരി,greta
348,Boot::N,ബോട്ട്,valtis
349,Boot::N,ബോട്ട്,laivelis
350,Ruder::N,പങ്കായം,irklas
351,Schlitten::N,ഉരുളില്ലാവണ്ടി,rogės
352,Schlitten::N,ഉരുളില്ലാവണ്ടി,rogutės
353,Ski::N,ഹിമപാദുകം,slidė
354,Lagerfeuer::N,തീ,laužas
355,Last::N,ഭാരം,našta
356,Last::N,ഭാരം,nešulys
357,Gang::N,നടത്തം,eisena
358,Schritt::N,ചുവട്,žingsnis
359,Norden::N,വടക്ക്,šiaurė
360,Norden::N,വടക്ക്,žiemiai
361,Süden::N,തെക്ക്,pietūs
362,Westen::N,പടിഞ്ഞാറ്,vakarai
363,Osten::N,കിഴക്ക്,rytai
364,Holz::N,തടി,mediena
365,Brett::N,ബോർഡ്,lenta
366,Platte::N,തകിട്,plokštė
367,Stütze::N,താങ്ങ്,atrama
368,Stütze::N,താങ്ങ്,atspara
369,Stange::N,കമ്പ്,lazda
370,Stange::N,കമ്പ്,kartis
371,Stock::N,വടി,lazda
372,Stab::N,കുറുവടി,kartis
373,Rohr::N,കുഴൽ,vamzdis
374,Haus::N,വീട്,namas
375,Heim::N,വീട്,namai
376,Ofen::N,സ്റ്റൌ,krosnis
377,Fußboden::N,തറ,grindys
378,Tisch::N,മേശ,stalas
379,Stuhl::N,കസേര,kėdė
380,Wiege::N,തൊട്ടിൽ,lopšys
381,Bett::N,കിടക്ക,lova
382,Bett::N,കിടക്ക,patalai
383,Regal::N,ഷെൽഫ്,lentyna
384,Kiste::N,പെട്ടി,dėžė
385,Fenster::N,ജനൽ,langas
386,Tür::N,വാതിൽ,durys
387,Tor::N,കവാടം,vartai
388,Zaun::N,വേലി,tvora
389,Dach::N,മേൽക്കുര,stogas
390,Leiter::N,ഏണി,kopėčios
391,Besen::N,ചൂല്,šluota
392,Spaten::N,തൂമ്പ,lopeta
393,Spaten::N,തൂമ്പ,kastuvas
394,Schaufel::N,തൂമ്പ,semtuvas
395,Gabel::N,മുൾക്കത്തി,šakutė
396,Löffel::N,സ്പൂൺ,šaukštas
397,Messer::N,കത്തി,peilis
398,Nagel::N,ആണി,vinis
399,Netz::N,വല,tinklas
400,Haken::N,കൊളുത്ത്,vagis
401,Haken::N,കൊളുത്ത്,kablys
402,Griff::N,കൈപ്പിടി,kotas
403,Griff::N,കൈപ്പിടി,rankena
404,Schloss::N,പൂട്ട്,spyna
405,Schloss::N,പൂട്ട്,užraktas
406,Bild::N,ചിത്രം,paveikslas
407,Figur::N,കണക്ക്,figūra
408,Puppe::N,പാവ,lėlė
409,Beutel::N,ബാഗ്,krepšys
410,Beutel::N,ബാഗ്,maišelis
411,Bündel::N,കെട്ട്,ryšulys
412,Tasche::N,ബാഗ്,krepšelis
413,Eimer::N,ബക്കറ്റ്,kibiras
414,Deckel::N,ഉറ,dangtis
415,Geschirr::N,പിഞ്ഞാണം,indai
416,Sack::N,ചാക്ക്,maišas
417,Tasse::N,കപ്പ്,puodukas
418,Topf::N,പാത്രം,puodas
419,Kessel::N,കെറ്റ്ല്,katilas
420,Essen::N,ആഹാരസമയം,valgis
421,Nahrung::N,ഭക്ഷണം,penas
422,Nahrung::N,ഭക്ഷണം,maistas
423,Speise::N,ഡിഷ്,patiekalas
424,Fleisch::N,മാംസം,mėsa
425,Getreide::N,ചോളം,javai
426,Brei::N,കഞ്ഞി,košė
427,Brot::N,റോട്ടി,duona
428,Scheibe::N,തുണ്ട്,riekė
429,Fett::N,കൊഴുപ്പ്,taukai
430,Fett::N,കൊഴുപ്പ്,riebalai
431,Butter::N,വെണ്ണ,sviestas
432,Öl::N,എണ്ണ,aliejus
433,Salz::N,ഉപ്പ്,druska
434,Suppe::N,സൂപ്പ്,sriuba
435,Honig::N,തേൻ,medus
436,Milch::N,പാൽ,pienas
437,Tee::N,ചായ,arbata
438,Leder::N,തുകൽ,oda
439,Wolle::N,കമ്പിളി,vilna
440,Stoff::N,തുണി,audeklas
441,Nadel::N,സൂചി,adata
442,Faden::N,നൂല്,gija
443,Faden::N,നൂല്,siūlas
444,Knopf::N,ബട്ടൺ,saga
445,Knoten::N,കുരുക്ക്,mazgas
446,Farbe::N,പെയിൻറ്,dažai
447,Kleidung::N,വസ്ത്രങ്ങൾ,rūbai
448,Kleidung::N,വസ്ത്രങ്ങൾ,drabužiai
449,Hemd::N,ഷർട്ട്,marškiniai
450,Kragen::N,കുപ്പായക്കഴുത്ത്,apykaklė
451,Ärmel::N,കുപ്പായക്കൈ,rankovė
452,Hose::N,ട്രൌസർ,kelnės
453,Gürtel::N,ബെൽറ്റ്,juosta
454,Gürtel::N,ബെൽറ്റ്,diržas
455,Mütze::N,തൊപ്പി,kepurė
456,Schuh::N,ഷൂ,batas
457,Stiefel::N,ബൂട്ട്,auliniai batai
458,Ring::N,മോതിരം,žiedas
459,Band::N,റിബൺ,kaspinas
460,Kamm::N,ചീപ്പ്,šukos
461,Spiegel::N,കണ്ണാടി,veidrodis
462,Riemen::N,സ്ട്രാപ്പ്,diržas
463,Schnur::N,ചരട്,virvė
464,Leine::N,കെട്ടാനുള്ള തോൽവാർ,pavadėlis
465,Decke::N,പുതപ്പ്,antklodė
466,Kissen::N,തലയിണ,pagalvė
467,Kissen::N,തലയിണ,priegalvis
468,Tuch::N,സ്കാർഫ്,skarelė
469,Handtuch::N,തോർത്ത്,rankšluostis
470,Kraft::N,ശക്തി,jėga
471,Stärke::N,ശക്തി,stiprumas
472,Gesundheit::N,ആരോഗ്യം,sveikata
473,Krankheit::N,അസുഖം,liga
474,Schmerz::N,വേദന,skausmas
475,Wunde::N,മുറിവ്,žaizda
476,Fieber::N,പനി,karštis
477,Arznei::N,മരുന്ന്,vaistas
478,Brücke::N,പാലം,tiltas
479,Brunnen::N,കിണർ,šulinys
480,Weide::N,മേച്ചൽ,ganykla
481,Weide::N,മേച്ചൽ,gluosnis
482,Pfad::N,വഴി,takas
483,Weg::N,വഴി,kelias
484,Straße::N,റോഡ്,gatvė
485,Dorf::N,ഗ്രാമം,kaimas
486,Dorf::N,ഗ്രാമം,sodžius
487,Stadt::N,നഗരം,miestas
488,Brief::N,കത്ത്,laiškas
489,Buch::N,പുസ്തകം,knyga
490,Buchstabe::N,അക്ഷരം,raidė
491,Zeitung::N,വർത്തമാനപത്രം,laikraštis
492,Leben::N,ജീവൻ,gyvybė
493,Leben::N,ജീവൻ,gyvenimas
494,Tod::N,മരണം,mirtis
495,Grab::N,ശവക്കുഴി,kapas
496,Kirche::N,പള്ളി,bažnyčia
497,Sünde::N,പാപം,nuodėmė
498,Sünde::N,പാപം,nusidėjimas
499,Gott::N,ദൈവം,dievas
500,Arbeiter::N,ജോലിക്കാരൻ,darbininkas
501,Chef::N,മേധാവി,šefas
502,Chef::N,മേധാവി,vadovas
503,Chef::N,മേധാവി,viršininkas
504,Meister::N,യജമാനൻ,meistras
505,Arzt::N,ഡോക്ടർ,gydytojas
506,Lehrer::N,അധ്യാപകൻ,mokytojas
507,Geld::N,പണം,pinigai
508,Geschäft::N,ബിസിനസ്,biznis
509,Laden::N,കട,krautuvė
510,Laden::N,കട,parduotuvė
511,Preis::N,വില,kaina
512,Ware::N,ചരക്ക്,prekė
513,Nutzen::N,ലാഭം,nauda
514,Nutzen::N,ലാഭം,pelnas
515,Reichtum::N,ധനം,turtas
516,Welt::N,ലോകം,pasaulis
517,Land::N,രാജ്യം,žemė
518,Land::N,രാജ്യം,šalis
519,Staat::N,രാജ്യം,valstija
520,König::N,രാജാവ്,karalius
521,Macht::N,അധികാരം,galia
522,Macht::N,അധികാരം,valdžia
523,Grenze::N,അതിർത്തി,riba
524,Grenze::N,അതിർത്തി,siena
525,Krieg::N,യുദ്ധം,karas
526,Feind::N,ശത്രു,priešas
527,Gewalt::N,അക്രമം,jėga
528,Gewalt::N,അക്രമം,smurtas
529,Gewalt::N,അക്രമം,prievarta
530,Kampf::N,പോരാട്ടം,kova
531,Bogen[Waffe]::N,വില്ല്,lankas
532,Pfeil::N,അമ്പ്,strėlė
533,Gewehr::N,തോക്ക്,šautuvas
534,Fehler::N,പിശക്,klaida
535,Lüge::N,കള്ളം,melas
536,Schaden::N,കേടുപാട്,nuostolis
537,Schaden::N,കേടുപാട്,apgadinimas
538,Unglück::N,ദൌർഭാഗ്യം,nelaimė
539,Schuld::N,തെറ്റ്,kaltė
540,Alter::N,വയസ്സ്,amžius
541,Schluss::N,നിഗമനം,pabaiga
542,Zeit::N,സമയം,laikas
543,Tag::N,ദിവസം,diena
544,Morgen::N,പ്രഭാതം,rytas
545,Mittag::N,ഉച്ച,vidurdienis
546,Abend::N,സായാഹ്നം,vakaras
547,Nacht::N,രാത്രി,naktis
548,Woche::N,ആഴ്ച,savaitė
549,Monat::N,മാസം,mėnuo
550,Jahr::N,വർഷം,metai
551,Frühling::N,വസന്തം,pavasaris
552,Sommer::N,വേനൽ,vasara
553,Herbst::N,ശരത്കാലം,ruduo
554,Winter::N,ശൈത്യം,žiema
555,Januar::N,ജനുവരി,sausis
556,Februar::N,ഫെബ്രുവരി,vasaris
557,März::N,മാർച്ച്,kovas
558,April::N,ഏപ്രിൾ മാസം,balandis
559,Mai::N,മെയ് മാസം,gegužė
560,Juni::N,ജൂൺ,birželis
561,Juli::N,ജൂലൈ,liepa
562,August::N,ആഗസ്റ്റ്,rugpjūtis
563,September::N,സെപ്തംബർ,rugsėjis
564,Oktober::N,ഒക്ടോബർ,spalis
565,November::N,നവംബർ,lapkritis
566,Dezember::N,ഡിസംബർ,gruodis
567,Montag::N,തിങ്കളാഴ്ച,pirmadienis
568,Dienstag::N,ചൊവ്വ,antradienis
569,Mittwoch::N,ബുധനാഴ്ച,trečiadienis
570,Donnerstag::N,വ്യാഴാഴ്ച,ketvirtadienis
571,Freitag::N,വെള്ളിയാഴ്ച,penktadienis
572,Samstag::N,ശനിയാഴ്ച,šeštadienis
573,Sonntag::N,ഞായറാഴ്ച,sekmadienis
574,groß::A,വലിയ,didis
575,groß::A,വലിയ,didelis
576,klein::A,ചെറിയ,mažas
577,lang::A,നീണ്ട,ilgas
578,kurz::A,ഹ്രസ്വമായ,trumpas
579,breit::A,വിശാലമായ,platus
580,schmal::A,ഇടുങ്ങിയ,smulkus
581,dicht::A,നിബിഡമായ,tankus
582,dick[Gegenstand]::A,തടിച്ച,storas
583,dünn::A,മെലിഞ്ഞ,plonas
584,fein::A,നേർത്ത,smulkus
585,fest::A,ഉറപ്പുള്ള,kietas
586,fest::A,ഉറപ്പുള്ള,tvirtas
587,flach::A,പരന്ന,lėkštas
588,flach::A,പരന്ന,plokščias
589,glatt::A,മിനുസമുള്ള,slidus
590,hart::A,കട്ടിയുള്ള,kietas
591,weich::A,മൃദുവായ,minkštas
592,rund::A,വട്ടത്തിലുള്ള,apvalus
593,rund::A,വട്ടത്തിലുള്ള,apskritas
594,spitz::A,മുനയുള്ള,aštrus
595,spitz::A,മുനയുള്ള,smailus
596,scharf::A,മൂർച്ചയുള്ള,aštrus
597,stumpf::A,തുറന്നടിക്കുന്ന,bukas
598,stumpf::A,തുറന്നടിക്കുന്ന,atšipęs
599,schwer::A,ഭാരമുള്ള,sunkus
600,schön::A,മനോഹരമായ,gražus
601,heiß::A,ചൂടുള്ള,karštas
602,warm::A,ചൂടുള്ള,šiltas
603,kalt::A,തണുത്ത,šaltas
604,kühl::A,തണുപ്പുള്ള,vėsus
605,kühl::A,തണുപ്പുള്ള,bejausmis
606,frisch::A,ശുദ്ധമായ,šviežias
607,feucht::A,ഈറനുള്ള,drėgnas
608,nass::A,നനഞ്ഞ,šlapias
609,trocken::A,വരണ്ട,sausas
610,voll::A,നിറയെ,pilnas
611,leer::A,ഒഴിഞ്ഞ,tuščias
612,offen::A,തുറന്ന,atviras
613,geschlossen::A,അടച്ച,uždaras
614,geschlossen::A,അടച്ച,uždarytas
615,sauber::A,വൃത്തിയുള്ള,švarus
616,schmutzig::A,അഴുക്കുനിറഞ്ഞ,nešvarus
617,schmutzig::A,അഴുക്കുനിറഞ്ഞ,purvinas
618,roh::A,അസംസ്കൃതമായ,žalias
619,reif::A,പഴുത്ത,prinokęs
620,reif::A,പഴുത്ത,pribrendęs
621,lecker::A,രുചികരമായ,gardus
622,süß::A,മധുരമുള്ള,saldus
623,bitter::A,കടുത്ത,kartus
624,sauer::A,പുളിപ്പുള്ള,gižus
625,sauer::A,പുളിപ്പുള്ള,rūgštus
626,hell::A,ജ്വലിക്കുന്ന,šviesus
627,hell::A,ജ്വലിക്കുന്ന,skaistus
