,Concept_ID,mrj,ja
261,Wahrheit::N,тöр,真実
262,Gespräch::N,хытырымаш,会話
263,Märchen::N,ямак,童話
264,Erzählung::N,шайыштмаш,物語
265,Nachricht::N,увертӓрӹмӓш,報告
266,Neuigkeit::N,увер,ニュース
267,Name::N,лӹм,名前
268,Rätsel::N,тышты,謎
269,Rede::N,шая,演説
270,Rede::N,шамак,演説
271,Sprache::N,йӹлмӹ,言語
272,Stimme::N,юк,声
273,Wort::N,шамак,言葉
274,Zeichen::N,палӹ,記号
275,Ruf::N,сӹгӹрӹмӓш,呼び声
276,Lärm::N,юкланымащ,騒音
277,Laut::N,юк,音
278,Ton::N,юк,音
279,Lied::N,мыры,歌
280,Ruhe::N,тыр,静けさ
281,Leute::N,эдемвлӓ,人々
282,Volk::N,халык,民族
283,Arbeit::N,пӓшӓ,仕事
284,Gast::N,хына,客
285,Geschenk::N,подарка,贈り物
286,Spiel::N,мадыш,遊び
287,Gesellschaft::N,йӓл,社会
288,Gesellschaft::N,йӓлвлӓ,社会
289,Hilfe::N,палшык,援助
290,Freund::N,тӓнг,友達
291,Kamerad::N,тос,同志
292,Angelegenheit::N,дела,件
293,Angelegenheit::N,йела,件
294,Angelegenheit::N,йыла,件
295,Angelegenheit::N,пӓшӓ,件
296,Anzahl::N,шот,数
297,Art::N,цӹре,種類
298,Stück::N,лаштык,部分
299,Teil::N,пай,部分
300,Teil::N,часть,部分
301,Hälfte::N,пел,半分
302,Kreis::N,тӹртӹш,円
303,Kreuz::N,крестӹ,十字
304,Abstand::N,ло,距離
305,Entfernung::N,ло,距離
306,Gegend::N,вӓр,辺
307,Gegend::N,вӓр,地域
308,Platz::N,вӓр,ゆとり
309,Ort::N,вӓр,所
310,Ort::N,вӓр,場所
311,Seite::N,öрдӹж,横
312,Mitte::N,ло,真ん中
313,Gegenstand::N,хӓдӹр,物件
314,Sache::N,хӓдӹр,物
315,Rand::N,шöр,端
316,Kante::N,шöр,縁
317,Ecke::N,лык,角
318,Spitze::N,вуй,先頭
319,Ende::N,вуй,端
320,Ende::N,мычаш,端
321,Loch::N,ыраж,穴
322,Winkel::N,лык,片隅
323,Muster::N,тӹрлец,模様
324,Größe::N,кӱкшӹц,大きさ
325,Länge::N,кыт,長さ
326,Höhe::N,кӱкшӹц,高さ
327,Gewicht::N,нелӹц,重さ
328,Menge::N,шот,量
329,Haufen::N,ара,堆積
330,Reihe::N,ряд,並び
331,Boot::N,пыш,ボート
332,Ruder::N,вешлӓ,オール
333,Schlitten::N,тир,そり
334,Ski::N,ечӹ,スキー
335,Lagerfeuer::N,тыл,篝火
336,Last::N,нелӹц,荷物
337,Gang::N,ход,歩み
338,Schritt::N,ашкыл,歩
339,Norden::N,йыдпелвел,北
340,Süden::N,кечӹвӓлвел,南
341,Westen::N,кечӹ шӹцмӹ,西
342,Osten::N,ирвел,東
343,Osten::N,кечӹ лӱлтмӹ,東
344,Holz::N,пушӓнгӹ,木
345,Holz::N,пушӓнгӹ,木材
346,Brett::N,ханга,板
347,Platte::N,плитӓ,盤
348,Stütze::N,цӓрӓк,支柱
349,Stange::N,равы,棒
350,Stange::N,намаш,棒
351,Stock::N,панды,杖
352,Stab::N,равы,棒
353,Rohr::N,пыч,管
354,Haus::N,пöрт,家
355,Heim::N,пöрт,家
356,Ofen::N,камака,ストーブ
357,Fußboden::N,седӹрӓ,床
358,Tisch::N,стöл,机
359,Stuhl::N,пöкен,椅子
360,Wiege::N,шипкӓ,揺籃
361,Bett::N,койка,ベッド
362,Bett::N,кравать,ベッド
363,Regal::N,полицӓ,棚
