,Concept_ID,bn,kv
60,Wind::N,বাতাস,тӧв
61,Welle::N,ঢেউ,гы
62,Welle::N,তরঙ্গ,гы
63,Wasser::N,জল,ва
64,Stein::N,ঢিল,из
65,Stein::N,প্রস্তর,из
66,Boden::N,ভূতল,му
67,Erde::N,ভূমি,му
68,Staub::N,ধুলা,бус
69,Rauch::N,ধোঁয়া,тшын
70,Funke::N,স্ফুলিঙ্গ,бичир
71,Feuer::N,অগ্নি,би
72,Licht::N,আলো,би
73,Schatten::N,ছায়া,вуджӧр
74,Wetter::N,আবহাওয়া,погоддя
75,Nebel::N,কুহেলিকা,туман
76,Wolke::N,মেঘ,кымӧр
77,Regen::N,বৃষ্টি,зэр
78,Schnee::N,তুষার,лым
79,Eis::N,বরফ,йы
80,Frost::N,তুষার,мороз
81,Kälte::N,শৈত্য,кӧдзыт
82,Hitze::N,তাপ,ӧд
83,Raureif::N,তুহিন,кижа
84,Regenbogen::N,রামধনু,енӧшка
85,Donner::N,বজ্রধ্বনি,гым
86,Strömung::N,স্রোত,визывтӧм
87,Tropfen::N,ফোঁটা,тёп
88,Schaum::N,ফেনা,быг
89,Schmutz::N,ধুলা,нять
90,See::N,হ্রদ,ты
91,Sumpf::N,জলা,арай
92,Moor::N,মাঠ,нюр
93,Wiese::N,তৃণভূমি,видз
94,Wald::N,বন,вӧр
95,Hügel::N,পাহাড়,мыльк
96,Anhöhe::N,টিলা,вывтас
97,Anhöhe::N,টিলা,вылынін
98,Berg::N,পর্বত,керӧс
99,Gipfel::N,শীর্ষ,йыв
100,Höhle::N,গুহা,нора
101,Abhang::N,ঢাল,покат
102,Quelle::N,উৎস,больган
103,Bach::N,ক্ষুদ্র নদী,шор
104,Fluss::N,নদী,ю
105,Ufer::N,উপকূল,берег
106,Küste::N,তীর,берег
107,Festland::N,ভূমি,му
108,Meer::N,সমুদ্র,море
109,Bucht::N,উপসাগর,курья
110,Insel::N,দ্বীপ,
111,Blume::N,ফুল,цветок
112,Gras::N,ঘাস,турун
113,Wurzel::N,শিকড়,вуж
114,Baum::N,গাছ,пу
115,Stamm::N,স্কন্ধ,мыр
116,Stamm::N,স্কন্ধ,кер
117,Rinde::N,বল্কল,кач
118,Ast::N,শাখা,ув
119,Zweig::N,ডাল,ув
120,Blatt::N,পর্ণ,лист
121,Birke::N,ভুর্জ,кыдз
122,Kiefer[Baum]::N,পাইন গাছ,пожум
123,Weide[Baum]::N,উইলো,бадь
124,Tanne::N,দেবদারূ গাছ,кӧз
125,Horn::N,শিং,сюр
126,Feder::N,পালক,гӧн
127,Fell::N,রোম,кучик
128,Flügel::N,ডানা,борд
129,Klaue::N,নখর,гыж
130,Kralle::N,নখর,кабыр
131,Schwanz::N,লেজ,бӧж
132,Ei::N,ডিম,кольть
133,Nest::N,কুলায়,поз
134,Bau::N,ডেরা,осьта
135,Bau::N,ডেরা,нора
136,Tier::N,জন্তু,зверь
137,Herde::N,ঝাঁক,гурт
138,Kuh::N,গোরু,мӧс
139,Bulle::N,বৃষ,ӧшка
140,Pferd::N,ঘোড়া,вӧв
141,Schaf::N,ভেড়া,баля
142,Schwein::N,শূকর,порсь
143,Hund::N,কুকুর,пон
144,Katze::N,বেড়াল,кань
145,Bär::N,ভল্লুক,ош
146,Eichhörnchen::N,কাঠবিড়াল,ур
147,Elch::N,হরিণবিশেষ,вӧр мӧс
148,Fuchs::N,পাঁতিশিয়াল,руч
149,Hase::N,শশক,кӧч
150,Maus::N,নেংটি ইঁদুর,шыр
151,Wolf::N,নেকড়ে,кӧин
152,Vogel::N,পক্ষী,кай
153,Schwarm::N,ঝাঁক,стая
154,Schwarm::N,ঝাঁক,чукӧр
155,Huhn::N,মোরগ,курӧг
156,Hahn::N,কুক্কুট,петух
157,Hahn::N,কুক্কুট,ай курӧг
158,Gans::N,হংসী,дзодзог
159,Adler::N,ইগল,куч
160,Adler::N,ইগল,кутш
161,Ente::N,হংসী,утка
162,Eule::N,পেচক,тупка
163,Kranich::N,সারস,тури
164,Krähe::N,কাক,рака
165,Kuckuck::N,কোকিল,кӧк
166,Schwan::N,মরাল,юсь
167,Fisch::N,মাছ,чери
168,Barsch::N,মৎন্যবিশেষ,ёкыш
169,Hecht::N,বানমাছ,сирпинь
170,Schlange[Tier]::N,সর্প,змей
171,Wurm::N,কীট,номыр
172,Spinne::N,মাকড়সা,черань
173,Ameise::N,পিপীলিকা,кӧдзывкар
174,Laus::N,উকুন,ляпа той
175,Mücke::N,মশা,ном
176,Fliege::N,মাছি,гут
177,Schmetterling::N,প্রজাপতি,бабыв
178,Beere::N,বেরি,ягӧд
179,Apfel::N,আপেল,яблоко
180,Pilz::N,ছত্রক,тшак
181,Zwiebel::N,পিয়াজ,грез
182,Saat::N,বীজ,кӧдзыс
183,Korn::N,শস্য,сю
184,Heu::N,খড়,турун
185,Schale::N,খোসা,кыш
186,Schale::N,খোসা,киль
187,Grube::N,গর্ত,яма
188,Falle::N,ফাঁদ,нальк
189,Falle::N,ফাঁদ,кляпча
190,Schlinge::N,পাশ,лӧч
191,Spur::N,চিহ্ন,туй
192,Asche::N,ভস্ম,пӧим
193,Dreck::N,ময়লা,нять
194,Eisen::N,লোহা,кӧрт
195,Gold::N,স্বর্ণ,зарни
196,Silber::N,রৌপ্য,язісь
197,Kohle::N,অঙ্গার,шом
198,Kohle::N,অঙ্গার,уголь
199,Glas::N,কাচ,стекло
200,Lehm::N,মৃত্তিকা,сёй
201,Sand::N,বালি,лыа
202,Mensch::N,নর,морт
203,Mensch::N,মানুষ,морт
204,Mann::N,মানুষ,мужик
205,Frau::N,নারী,инька
206,Kind::N,বাচ্চা,кага
207,Junge::N,ছেলে,зонка
208,Mädchen::N,মেয়ে,нывкаок
209,Familie::N,পরিবার,семья
210,Großvater::N,মাতামহ,дед
211,Großmutter::N,মাতামহী,баб
212,Eltern::N,মাতাপিতা,ай-мам
213,Vater::N,পিতা,ай
214,Mutter::N,মাতা,мам
215,Sohn::N,ছেলে,зон
216,Tochter::N,মেয়ে,ныв
217,Bruder::N,দাদা,вон
218,Schwester::N,বোন,сой
219,Schwester::N,দিদি,сой
220,Onkel::N,মামা,дядь
221,Tante::N,মাসী,айӧлӧн сой
222,Tante::N,মাসী,ичинь
223,Ehemann::N,স্বামী,жӧник
224,Ehefrau::N,পত্নী,инь
225,Freude::N,উল্লাস,гаж
226,Freude::N,উল্লাস,радъялӧм
227,Gelächter::N,হাসি,сералӧм
228,Glück::N,সুখ,мичлун
229,Kummer::N,দুঃখ,шог
230,Wunsch::N,আকাঙ্ক্ষা,мӧдӧм
231,Wunsch::N,আকাঙ্ক্ষা,охотитӧм
232,Lust::N,বাসনা,охота
233,Geist::N,আত্না,лов
234,Gedanke::N,চিন্তা,дума
235,Gedächtnis::N,স্মরণশক্তি,тӧдвыв
236,Verstand::N,মন,вежӧр
237,Sinn::N,পদার্থ,ылӧс
238,Grund::N,কারণ,мог
239,Wahrheit::N,সত্য,правда
240,Gespräch::N,কথাবার্তা,сёрни
241,Märchen::N,রূপকথা,сказка
242,Erzählung::N,গল্প,висьт
243,Nachricht::N,তথ্য,юӧр
244,Nachricht::N,তথ্য,висьталӧм
245,Neuigkeit::N,খবরাখবর,новость
246,Name::N,নাম,ним
247,Rätsel::N,ধাঁধা,загадка
248,Rede::N,বক্তৃতা,сёрни
249,Sprache::N,ভাষা,кыв
250,Stimme::N,স্বর,голос
251,Wort::N,শব্দ,кыв
252,Zeichen::N,প্রতীক,пас
253,Ruf::N,ডাক,чуксӧм
254,Ruf::N,ডাক,чукӧстӧм
255,Lärm::N,হৈচৈ,шум
256,Laut::N,ধ্বনি,шы
257,Ton::N,স্বর,гор
258,Lied::N,গান,сьыланкыв
259,Ruhe::N,শান্তি,спокой
260,Leute::N,প্রজাপুঞ্জ,йӧз
261,Volk::N,জাতি,йӧз
262,Volk::N,জাতি,народ
263,Arbeit::N,চাকরি,удж
264,Gast::N,অতিথি,гӧсь
265,Geschenk::N,উপহার,гӧснеч
266,Geschenk::N,উপহার,подарок
267,Spiel::N,খেলা,орсӧм
268,Gesellschaft::N,সঙ্গিগণ,компания
269,Hilfe::N,সাহায্য,отсӧт
270,Freund::N,বন্ধু,модз
271,Freund::N,বন্ধু,дружок
272,Kamerad::N,সঙ্গী,тӧдса
273,Angelegenheit::N,বিষয়,дело
274,Anzahl::N,পরিমাণ,лыд
275,Art::N,রকম,пӧлӧс
276,Stück::N,টুকরো,тор
277,Teil::N,অংশ,юкӧм
278,Hälfte::N,অর্ধেক,джын
279,Kreis::N,বৃত্ত,круг
280,Kreuz::N,ক্রুশ,перна
281,Linie::N,রেখা,визь
282,Strich::N,কষি,кырӧв
283,Abstand::N,ফাঁক,колас
284,Entfernung::N,ব্যবধান,ылына
285,Gegend::N,ক্ষেত্র,места
286,Platz::N,জায়গা,места
287,Ort::N,স্থান,места
288,Seite::N,পার্শ্ব,ладор
289,Mitte::N,মধ্য,шӧр
290,Gegenstand::N,জিনিস,тор
291,Sache::N,বস্তু,тор
292,Rand::N,কানা,дор
293,Kante::N,ধার,ордлы
294,Ecke::N,কোণ,пельӧс
295,Spitze::N,ডগা,йыв
296,Ende::N,প্রান্ত,йыв
297,Loch::N,গর্ত,осьта
298,Winkel::N,কোণ,пельӧс
299,Muster::N,নমুন্,сер
300,Größe::N,আয়তন,ыжда
301,Länge::N,দৈর্ঘ্য,кузя
302,Höhe::N,উচ্চতা,сувда
303,Höhe::N,উচ্চতা,вылына
304,Gewicht::N,ওজন,сьӧкта
305,Menge::N,পরিমাণ,
306,Haufen::N,পুঞ্জ,куча
307,Reihe::N,শ্রেণী,лёдз
308,Boot::N,নৌকা,пыж
309,Ruder::N,দাঁড়,пелыс
310,Schlitten::N,স্নেজ্-গাড়ি,додь
311,Ski::N,শী,лямпа
312,Lagerfeuer::N,অগ্নি,бипур
313,Last::N,বোঝা,тягота
314,Gang::N,হণ্টন,мунӧм
315,Schritt::N,পদ,вожмӧв
316,Norden::N,উত্তরদিক্,ой
317,Süden::N,দক্ষিণদিক,лун
318,Westen::N,পশ্চিমদিক্,рытвыв
319,Osten::N,পূর্বদিক,асыв
320,Holz::N,কাঠ,пу
321,Brett::N,তক্তা,пӧв
322,Platte::N,ফলক,плита
323,Stütze::N,নাগদণ্ড,пика
324,Stange::N,দণ্ড,зор
325,Stange::N,দণ্ড,потш
326,Stock::N,ছড়ি,бедь
327,Stab::N,যষ্টি,шест
328,Rohr::N,নল,труба
329,Haus::N,ঘর,керку
330,Heim::N,বাসা,керку
331,Ofen::N,স্টোভ্,пӧжавны
332,Fußboden::N,গহতল,джодж
333,Tisch::N,মেজ,пызан
334,Tisch::N,টেবিল,пызан
335,Stuhl::N,চেয়ার,стул
336,Stuhl::N,কেদারা,стул
337,Wiege::N,দোলনা,зыбка
338,Bett::N,শয্যা,кровать
339,Regal::N,তাক,джадж
340,Kiste::N,বাক্স,ящик
341,Fenster::N,জানালা,ӧшын
342,Tür::N,দ্বার,ыбӧс
343,Tor::N,দ্বার,ворота
344,Zaun::N,বেড়া,забор
345,Dach::N,ছাদ,крыша
346,Leiter::N,মই,лиснич
347,Besen::N,গুল্মবিশেষ,рос
348,Spaten::N,কোদাল,зыр
349,Schaufel::N,বেলচা,зыр
350,Gabel::N,কাঁটা,вила
351,Löffel::N,চামচ,пань
352,Messer::N,ছুরি,пурт
353,Nagel::N,পেরেক,кӧрттув
354,Netz::N,জাল,кыйӧт
355,Haken::N,কাচি,ем
356,Griff::N,হাতল,пу
357,Schloss::N,তালা,замок
358,Bild::N,ছবি,картина
359,Bild::N,চিত্র,картина
360,Figur::N,আকার,мыгӧр
361,Puppe::N,পুতুল,акань
362,Beutel::N,বটুয়া,мешӧк
363,Bündel::N,আঁটি,нин
364,Tasche::N,থলি,сумка
365,Eimer::N,বাল্তি,ведра
366,Deckel::N,আবরণ,вевт
367,Geschirr::N,থালা-বাসন,доз
368,Geschirr::N,থালা-বাসন,бекӧрпань
369,Sack::N,বস্তা,мешӧк
370,Tasse::N,কাপ,бекӧр
371,Topf::N,পাত্র,кастрюля
372,Kessel::N,কেটলি,пӧрт
373,Essen::N,আহার,сёйӧм
374,Nahrung::N,খাদ্য,вердан
375,Speise::N,খাদ্য,сёян
376,Fleisch::N,মাংস,яй
377,Getreide::N,শস্য,сю
378,Brei::N,মণ্ড,каша
379,Brot::N,রুটি,нянь
380,Scheibe::N,ফালি,шӧрӧм
381,Fett::N,মেদ,гос
382,Butter::N,মাখন,ви
383,Öl::N,তৈল,ви
384,Salz::N,নুন,сов
385,Suppe::N,শুরুয়া,шыд
386,Honig::N,মধু,ма
387,Milch::N,দুধ,йӧв
388,Tee::N,চা,чай
389,Leder::N,পাকা চামড়া,кучик
390,Wolle::N,পশম,гӧн
391,Stoff::N,বস্ত্র,дӧра
392,Nadel::N,সুচ,ем
393,Faden::N,সূত্র,сунис
394,Knopf::N,বোতাম,кизь
395,Knoten::N,গিঁট,узӧв
396,Knoten::N,গিঁট,гӧрӧд
397,Farbe::N,রং,краска
398,Kleidung::N,কাপড়,паськӧм
399,Hemd::N,শার্ট,йӧрнӧс
400,Kragen::N,গলবন্ধ,воротник
401,Ärmel::N,আস্তিন্,сос
402,Hose::N,ট্রাউজার,вешьян
403,Gürtel::N,কটিবন্ধ,йи
404,Mütze::N,টুপি,шапка
405,Schuh::N,জুতো,ботинки
406,Stiefel::N,বুট,сапог
407,Ring::N,আংটি,чунькытш
408,Band::N,ফিতা,ленточка
409,Kamm::N,চিরুনি,сынан
410,Spiegel::N,আয়না,зеркало
411,Riemen::N,চাবুক,ремень
412,Schnur::N,দড়ি,гез
413,Leine::N,শিকল,повод
414,Decke::N,কম্বল,одеяло
415,Kissen::N,উপাধান,подушка
416,Tuch::N,বস্ত্র,чышьян
417,Handtuch::N,তোয়ালে,чышкӧт
418,Kraft::N,জোর,прак
419,Stärke::N,শক্তি,вын
420,Gesundheit::N,স্বাস্থ্য,здоровье
421,Krankheit::N,অসুখ,шог
422,Krankheit::N,ব্যামো,шог
423,Schmerz::N,যন্ত্রণা,зубыт
424,Wunde::N,ক্ষত,рана
425,Fieber::N,জ্বর,лёк тресся
426,Fieber::N,জ্বর,кынтан шогӧт
427,Arznei::N,ঔষধ,лекарство
428,Brücke::N,সেতু,пос
429,Brunnen::N,কূপ,колодец 
430,Weide::N,পশুচারণভূমি,пода йирсян
431,Pfad::N,পথ,туй
432,Weg::N,পথ,туй
433,Straße::N,রাস্তা,туй
434,Dorf::N,গ্রাম,деревня
435,Stadt::N,শহর,город
436,Brief::N,চিঠি,гижӧт
437,Buch::N,বই,книга
438,Buchstabe::N,অক্ষর,буква
439,Zeitung::N,সংবাদপত্র,газета
440,Leben::N,জীবন,олан
441,Tod::N,মৃত্যু,кулӧм
442,Grab::N,কবর,гу
443,Kirche::N,গির্জা,вичку
444,Sünde::N,পাপ,грек
445,Gott::N,দেবতা,ен
446,Arbeiter::N,শ্রমিক,уджалiсь
447,Chef::N,নেতা,начальник
448,Meister::N,ব্যক্তি,мастер
449,Arzt::N,চিকিৎসক,врач
450,Lehrer::N,অধ্যাপক,велӧтісь
451,Geld::N,মুদ্রা,деньга
452,Geld::N,টাকাপয়সা,деньга
453,Geschäft::N,ব্যস্ততা,удж
454,Laden::N,দোকান,магазин
455,Preis::N,মূল্য,дон
456,Ware::N,পণ্যদ্রব্য,товар
457,Nutzen::N,সুবিধা,путь
458,Reichtum::N,ধনদৌলত,богатство
459,Welt::N,জগৎ,му
460,Land::N,খেত,страна
461,Staat::N,রাষ্ট্র,государство
462,König::N,রাজা,кан
463,Macht::N,প্রভাব,власть
464,Grenze::N,সীমা,граница
465,Krieg::N,যুদ্ধ,война
466,Feind::N,শত্রু,враг
467,Gewalt::N,জোর,
468,Kampf::N,লড়াই,нярасьӧм
469,Kampf::N,লড়াই,вермасьӧм
470,Bogen[Waffe]::N,ধনুক,лук
471,Pfeil::N,বাণ,ньӧв
472,Gewehr::N,বন্দুক,ружьё
473,Fehler::N,ভুল,ошибка
474,Lüge::N,মিথ্যা,ылӧтӧм
475,Lüge::N,মিথ্যা,пӧрьялӧм
476,Schaden::N,ক্ষতি,лёк
477,Unglück::N,দুর্ভাগ্য,пик
478,Unglück::N,দুর্ভাগ্য,оказзё
479,Schuld::N,অপরাধ,вина
480,Alter::N,আয়ু,
481,Schluss::N,শেষ,ком
482,Zeit::N,সময়,кад
483,Tag::N,দিন,лун
484,Morgen::N,সকাল,асыв
485,Mittag::N,মধ্যাহু,луншӧр кад
486,Abend::N,সন্ধ্যা,рыт
487,Nacht::N,রাত্রি,ой
488,Woche::N,সপ্তাহ,неделя
489,Monat::N,মাস,тӧлicь
490,Jahr::N,সৌরবর্ষ,год
491,Frühling::N,বসন্তকাল,тулыс
492,Sommer::N,গ্রীষ্মকাল,гожум
493,Herbst::N,শরংঋতু,ар
494,Winter::N,শীতকাল,тӧв
495,Januar::N,জানুয়ারী,январ
496,Februar::N,ফেব্রুয়ারী,февраль
497,März::N,মার্চ,март
498,April::N,এপ্রিল,апрель
499,Mai::N,মে,май
500,Juni::N,জুন,юнь
501,Juli::N,জুলাই,юль
502,August::N,অগাস্ট,август
503,September::N,সেপ্টেম্বর,сентяб
504,Oktober::N,অক্টোবর,октяб
505,November::N,নভেম্বর,нояб
506,Dezember::N,ডিসেম্বর,декаб
507,Montag::N,সোমবার,вильлун
508,Dienstag::N,মঙ্গলবার,мӧдӧдзлун
509,Mittwoch::N,বুধবার,шӧрлун
510,Donnerstag::N,বৃহম্পতিবার,нёльӧдзлун
511,Freitag::N,শুক্রবার,витӧдзлун
512,Samstag::N,শনিবার,пывсянлун
513,Sonntag::N,রবিবার,кресення
514,groß::A,বৃহৎ,ыджыт
515,klein::A,ছোট,учӧтик
516,lang::A,দীর্ঘ,кузь
517,kurz::A,খর্ব,дженыт
518,kurz::A,হ্রস্ব,дженыт
519,breit::A,চওড়া,ота
520,schmal::A,সরু,векнит
521,dicht::A,ঘন,тшӧк
522,dick[Gegenstand]::A,পুরু,кыз
523,dünn::A,কৃশ,вӧснит
524,fein::A,সূক্ষ্ম,вӧснит
525,fest::A,দৃঢ়,крепыт
526,flach::A,সমতল,лапкӧса
527,glatt::A,মসৃণ,волькыт
528,hart::A,শক্ত,чӧрыт
529,weich::A,নরম,небыт
530,rund::A,গোলাকার,гӧгрӧса
531,spitz::A,তীক্ষ্ন,ёся
532,scharf::A,শাণিত,лэчыт
533,stumpf::A,ভোঁতা,ныж
534,schwer::A,ভারী,сьӧкыт
535,schön::A,সুন্দর,басӧк
536,heiß::A,গরম,жар
537,warm::A,ঈষদুষ্ণ,шоныт
538,kalt::A,ঠাণ্ডা,кӧдзыт
539,kühl::A,শীতল,сайкыт
540,frisch::A,তাজা,виль
541,feucht::A,ভিজা,вакодь
542,nass::A,ভিজা,ва
543,trocken::A,শুষ্ক,кӧс
544,voll::A,পূর্ণ,тыра
545,leer::A,খালি,тыртӧм
546,offen::A,খোলা,оссьӧм
547,geschlossen::A,বন্ধ,игана
548,geschlossen::A,বন্ধ,пӧдана
549,sauber::A,নির্মল,сӧдз
550,sauber::A,নির্মল,сӧстӧм
551,schmutzig::A,নোংরা,нятьӧсь
552,roh::A,কাঁচা,путӧм
553,reif::A,পাকা,кисьмалӧм
554,lecker::A,সুস্বাদ,кӧра 
555,süß::A,মিষ্ট,чӧскыт
556,bitter::A,তিক্ত,курыт
557,sauer::A,টক,шӧма 
558,hell::A,উজ্জ্বল,югыт
559,dunkel::A,অন্ধকারময়,пемыт
560,schwarz::A,কালো,сьӧд
561,weiß::A,সাদা,чочком
562,rot::A,লাল,гӧрд
563,gelb::A,হলদে,веж
564,blau::A,নীল,лӧз
565,grün::A,সবুজ,веж
566,grau::A,ছাই-রঙা,руд
567,grau::A,ছাই-রঙা,бусӧй
568,bunt::A,রঙিন,быдрӧма
569,billig::A,সস্তা,донтӧм
570,teuer::A,আক্রা,дона
571,wertvoll::A,মহার্ঘ,дона
572,blind::A,কানা,синтӧм
573,taub::A,বধির,пельтӧм
574,kräftig::A,বিশাল,вына
575,stark::A,শক্তিশালী,вына
576,schwach::A,দুর্বল,некодя
577,fett::A,মোটা,госа
578,schlank::A,কৃশ,статя
579,hübsch::A,সুন্দর,басӧк
580,böse::A,খারাপ,лёк
581,dumm::A,মূর্খ,бӧбӧв
582,dumm::A,মূর্খ,вежӧртӧм
583,faul::A,শ্রমবিমুখ,дыш
584,fleißig::A,পরিশ্রমী,уджалicь
585,geizig::A,ব্যয়কুণ্ঠ,жикмӧра
586,geizig::A,ব্যয়কুণ্ঠ,горшаліcь
587,klug::A,দক্ষ,авья
588,klug::A,দক্ষ,вежӧра
589,geschickt::A,পটু,кипода
590,lieb::A,প্রেয়,муса
591,lieb::A,প্রেয়,дзулиньӧй
592,lustig::A,প্রফুল্ল,гажа
593,sanft::A,নম্র,лебезнӧй
594,hungrig::A,ক্ষুধার্ত,тшыг
595,krank::A,অসুস্থ,шогалiсь
596,nackt::A,উলঙ্গ,куш
597,traurig::A,দুঃখিত,жугыль
598,lebendig::A,জীবিত,ловья
599,gut::A,ভালো,бур
600,schlecht::A,মন্দ,умӧль
601,richtig::A,ঠিক,
602,schlimm::A,কদর্য,нештӧм
603,wahr::A,বাস্তব,
604,alt::A,পুরাতন,важ
605,neu::A,নব,виль
606,neu::A,নূতন,виль
607,ehemalig::A,পূর্বকালীন,вӧвлӧм
608,alt[Lebewesen]::A,বৃদ্ধ,года
609,alt[Lebewesen]::A,বৃদ্ধ,годдэза
610,jung::A,তরুণ,том
611,arm::A,ক্ষুদ্র,гов
612,arm::A,ক্ষুদ্র,беднӧй
613,reich::A,ধনবান্,эма
614,bekannt::A,সুপরিচিত,тӧдса
615,berühmt::A,বিখ্যাত,
616,fremd::A,বিদেশি,чужӧй
617,verschieden::A,বিসদৃশ,быдкодь
618,nah::A,নিকটবতী,матiсь
619,fern::A,দুরবতী,ылicь
620,linker::A,বাম,шульга
621,rechter::A,ডান,веськытланись
622,rechter::A,ডাইন,веськытланись
623,anderer::A,অন্যতর,мукӧд
624,erster::A,প্রথম,медодзза
625,zweiter::A,দ্বিতীয়,кыкӧт
626,dritter::A,তৃতীয়,куимӧт
627,dritter::A,তৃতীয়,куимӧдз
628,letzter::A,সর্বশেষ,бӧрья
629,letzter::A,সর্বশেষ,мёдбӧрья
630,allein::ADV,একক,
631,auf einmal::ADV,জলদি,тшӧтш
632,zusammen::ADV,একসঙ্গে,ӧтлаын
633,lange::ADV,লম্বা,дыр
634,plötzlich::ADV,হঠাৎ,друг
635,sofort::ADV,মুহ্ণর্তমধ্যে,тшӧтш
636,später::ADV,পশ্চাতে,медбӧрын
637,jetzt::ADV,এখন,ӧні
638,heute::ADV,আজ,талун
639,morgen::ADV,আগামিকাল,ашын
640,bald::ADV,অস্পকালমধ্যে,чожа
641,dann::ADV,তখন,сыбӧрын
642,gestern::ADV,গতকাল,тӧн
643,einst::ADV,একবার মাত্র,ӧтпыр
644,damals::ADV,তখন,сэк
645,damals::ADV,তখন,сэки
646,danach::ADV,পরে,сэсся
647,vorher::ADV,আগে,одзжык
648,zuerst::ADV,আগে,наперво
649,einmal::ADV,একবার,ӧтпыр
650,manchmal::ADV,কখনও কখনও,мукӧдпыр
651,oft::ADV,ঘনঘন,-лы-
652,immer::ADV,সর্বদা,быдпыр
653,immer::ADV,সর্বদা,быдпырся
654,niemals::ADV,কখলও নহে,некӧр
655,hier::ADV,এখানে,татӧн
656,hierhin::ADV,এখানে,татчӧ
657,von hier::ADV,ত্রই স্তান হইতে,тасянь
658,dort::ADV,ওখানে,сэтӧн
659,dorthin::ADV,ওখানে,сэтчин
660,geradeaus::ADV,অগ্রগামী,веськыта
661,vorwärts::ADV,সন্মুখিকে,одзӧ
662,rückwärts::ADV,খিরিয়া,бӧр
663,zurück::ADV,পিঠ,бӧр
664,unten::ADV,নীচে,увтын
665,hinab::ADV,নিম্নগামী,увтас
666,oben::ADV,উপরে,вевдӧрас
667,hinauf::ADV,উচ্চতর অংশে,вывлань
668,hinauf::ADV,উচ্চতর অংশে,вывланьӧ
669,überall::ADV,সর্বত্র,быдлан
670,nicht::ADV,না,ог
671,ein wenig::ADV,অল্প,-ышт
672,ein wenig::ADV,অল্প,невна
673,kaum::ADV,কষ্টসহকাবে,ӧдва
674,sehr::ADV,খুব,вывтi
675,so::ADV,তত,сiдз
676,noch::ADV,এখন পর্যস্ত,эшӧ
677,nur::ADV,শুধু,только
678,schon::ADV,ইতঃপুর্বে,ни
679,wieder::ADV,আবার,бӧра
680,vergebens::ADV,বিফলে,весись
681,vor::PRP,সম্মুখে,одзас
682,hinter::PRP,পশ্চাতে,бӧрӧ
683,unter::PRP,নীচে,увтын
684,durch::PRP,দ্বারা,пыр
685,neben::PRP,কাছে,бокам
686,neben::PRP,কাছে,боксиным
687,zwischen::PRP,মধ্যে,коласас
688,wegen::PRP,জন্য,понда
689,dies::PRN,এটা,эта
690,das::PRN,ওটা,сiя
691,alles::PRN,সব,быдӧс
692,ich::PRN,আমি,ме
693,du::PRN,তুমি,тэ
694,er::PRN,উনি,сiя
695,wir::PRN,আমরা,мийӧ
696,ihr::PRN,তোমরা,ті
697,sie::PRN,তারা,нія
698,was::FPRN,কি,мый
699,wer::FPRN,কে,кин
