,Concept_ID,mrj,nl
169,Hahn::N,ӓптӓн,haan
170,Gans::N,комбы,gans
171,Adler::N,кучкыж,arend
172,Ente::N,лыды,eend
173,Eule::N,тымана,uil
174,Kranich::N,тырня,kraanvogel
175,Kranich::N,тыртня,kraanvogel
176,Krähe::N,лудыгарак,kraai
177,Kuckuck::N,куку,koekoek
178,Schwan::N,йӱксӹ,zwaan
179,Fisch::N,кол,vis
180,Barsch::N,алангы,baars
181,Hecht::N,нуж,snoek
182,Hecht::N,нужгол,snoek
183,Schlange[Tier]::N,кӹшкы,slang
184,Wurm::N,шукш,worm
185,Spinne::N,ӓнгӹремшӹ,spin
186,Ameise::N,кыткы,mier
187,Laus::N,ти,luis
188,Mücke::N,кужнер,mug
189,Mücke::N,кужынер,mug
190,Fliege::N,шӹнгӓ,vlieg
191,Schmetterling::N,лӹпӹ,vlinder
192,Beere::N,мöр,bes
193,Apfel::N,олма,appel
194,Pilz::N,понгы,paddestoel
195,Zwiebel::N,охыра,ui
196,Saat::N,нӱшмӹ,zaad
197,Saat::N,нӱшмӱ,zaad
198,Korn::N,пӹрцӹ,graan
199,Korn::N,пӹрцӹ,korrel
200,Heu::N,шуды,hooi
201,Schale::N,аваха,schil
202,Schale::N,карлангы,schil
203,Grube::N,йӓм,kuil
204,Falle::N,лӱдӹ,val
205,Falle::N,лӱдӹш,val
206,Schlinge::N,онгы,strop
207,Spur::N,кишӓ,spoor
208,Asche::N,ломых,as
209,Asche::N,ломпыж,as
210,Dreck::N,лявӹрӓ,drek
211,Eisen::N,кӹртни,ijzer
212,Gold::N,шöртни,goud
213,Gold::N,шöртньӹ,goud
214,Silber::N,ши,zilver
215,Kohle::N,шӱ,kool
216,Glas::N,охоница,glas
217,Lehm::N,шун,klei
218,Sand::N,ошма,zand
219,Mensch::N,эдем,mens
220,Mann::N,пӱэргӹ,man
221,Frau::N,ӹдӹрӓмӓш,vrouw
222,Kind::N,ӓзӓ,kind
223,Kind::N,шачшы,kind
224,Junge::N,рвезӹ,jongen
225,Junge::N,ӹрвезӹ,jongen
226,Mädchen::N,ӹдӹрӓш,meisje
227,Familie::N,йиш,gezin
228,Familie::N,йиш,familie
229,Familie::N,семня,gezin
230,Familie::N,семня,familie
231,Großvater::N,тьоти,grootvader
232,Großmutter::N,папа,grootmoeder
233,Eltern::N,ӓтя-ӓвӓ,ouders
234,Vater::N,ӓтя,vader
235,Mutter::N,ӓвӓ,moeder
236,Sohn::N,эргӹ,zoon
237,Tochter::N,ӹдӹр,dochter
238,Bruder::N,ӹза,broer
239,Bruder::N,ӹза,broeder
240,Schwester::N,ӓкӓ,zus
241,Schwester::N,ӓкӓ,zuster
242,Onkel::N,кугуза,oom
243,Tante::N,куака,tante
244,Ehemann::N,мары,echtgenoot
245,Ehefrau::N,вӓтӹ,echtgenote
246,Freude::N,ӹвӹртӹмӓш,vreugde
247,Gelächter::N,ваштылмаш,gelach
248,Glück::N,пиӓл,geluk
249,Kummer::N,ясы,verdriet
250,Wunsch::N,охата,wens
251,Wunsch::N,охата,verlangen
252,Wunsch::N,шанымаш,wens
253,Wunsch::N,шанымаш,verlangen
254,Lust::N,шӓр,zin
255,Lust::N,шӓр,lust
256,Lust::N,охата,zin
257,Lust::N,охата,lust
258,Lust::N,шанымаш,zin
259,Lust::N,шанымаш,lust
260,Geist::N,тух,geest
261,Gedanke::N,шанымаш,gedachte
262,Gedächtnis::N,ӓш,geheugen
263,Verstand::N,ыш,verstand
264,Sinn::N,кын,betekenis
265,Grund::N,вир,reden
266,Wahrheit::N,тöр,waarheid
267,Gespräch::N,хытырымаш,gesprek
268,Märchen::N,ямак,sprookje
269,Erzählung::N,шайыштмаш,verhaal
270,Nachricht::N,увертӓрӹмӓш,tijding
271,Neuigkeit::N,увер,nieuws
272,Neuigkeit::N,увер,nieuwtje
273,Name::N,лӹм,naam
274,Rätsel::N,тышты,raadsel
275,Rede::N,шая,rede
276,Rede::N,шамак,rede
277,Sprache::N,йӹлмӹ,taal
278,Stimme::N,юк,stem
279,Wort::N,шамак,woord
280,Zeichen::N,палӹ,teken
281,Ruf::N,сӹгӹрӹмӓш,roep
282,Lärm::N,юкланымащ,lawaai
283,Laut::N,юк,klank
284,Laut::N,юк,geluid
285,Ton::N,юк,toon
286,Ton::N,юк,klank
287,Lied::N,мыры,lied
288,Ruhe::N,тыр,rust
289,Ruhe::N,тыр,stilte
290,Leute::N,эдемвлӓ,lui
291,Leute::N,эдемвлӓ,mensen
292,Volk::N,халык,volk
293,Arbeit::N,пӓшӓ,werk
294,Arbeit::N,пӓшӓ,arbeid
295,Gast::N,хына,gast
296,Geschenk::N,подарка,cadeau
297,Geschenk::N,подарка,geschenk
298,Spiel::N,мадыш,spel
299,Gesellschaft::N,йӓл,gezelschap
300,Gesellschaft::N,йӓлвлӓ,gezelschap
301,Hilfe::N,палшык,hulp
302,Freund::N,тӓнг,vriend
303,Kamerad::N,тос,maat
304,Kamerad::N,тос,metgezel
305,Angelegenheit::N,дела,zaak
306,Angelegenheit::N,дела,aangelegenheid
307,Angelegenheit::N,йела,zaak
308,Angelegenheit::N,йела,aangelegenheid
309,Angelegenheit::N,йыла,zaak
310,Angelegenheit::N,йыла,aangelegenheid
311,Angelegenheit::N,пӓшӓ,zaak
312,Angelegenheit::N,пӓшӓ,aangelegenheid
313,Anzahl::N,шот,tal
314,Anzahl::N,шот,aantal
315,Art::N,цӹре,slag
316,Art::N,цӹре,soort
317,Stück::N,лаштык,stuk
318,Teil::N,пай,deel
319,Teil::N,часть,deel
320,Hälfte::N,пел,helft
321,Kreis::N,тӹртӹш,kring
322,Kreis::N,тӹртӹш,cirkel
323,Kreuz::N,крестӹ,kruis
324,Abstand::N,ло,afstand
325,Entfernung::N,ло,afstand
326,Gegend::N,вӓр,streek
327,Platz::N,вӓр,ruimte
328,Ort::N,вӓр,oord
329,Ort::N,вӓр,plaats
330,Seite::N,öрдӹж,zij
331,Seite::N,öрдӹж,kant
332,Seite::N,öрдӹж,zijde
333,Mitte::N,ло,midden
334,Gegenstand::N,хӓдӹр,voorwerp
335,Sache::N,хӓдӹр,zaak
336,Rand::N,шöр,rand
337,Rand::N,шöр,boord
338,Kante::N,шöр,kant
339,Ecke::N,лык,hoek
340,Spitze::N,вуй,punt
341,Spitze::N,вуй,spits
342,Ende::N,вуй,einde
343,Ende::N,вуй,uiteinde
344,Ende::N,мычаш,einde
345,Ende::N,мычаш,uiteinde
346,Loch::N,ыраж,gat
347,Winkel::N,лык,hoek
348,Muster::N,тӹрлец,dessin
349,Muster::N,тӹрлец,patroon
350,Größe::N,кӱкшӹц,grootte
351,Länge::N,кыт,lengte
352,Höhe::N,кӱкшӹц,hoogte
353,Gewicht::N,нелӹц,gewicht
354,Menge::N,шот,hoeveelheid
355,Haufen::N,ара,hoop
356,Reihe::N,ряд,rij
357,Reihe::N,ряд,reeks
358,Boot::N,пыш,boot
359,Ruder::N,вешлӓ,roeiriem
360,Schlitten::N,тир,slee
361,Schlitten::N,тир,slede
362,Ski::N,ечӹ,ski
363,Lagerfeuer::N,тыл,kampvuur
364,Last::N,нелӹц,last
365,Last::N,нелӹц,vracht
366,Gang::N,ход,wandeling
367,Schritt::N,ашкыл,stap
368,Schritt::N,ашкыл,schrede
369,Norden::N,йыдпелвел,noorden
370,Süden::N,кечӹвӓлвел,zuiden
371,Westen::N,кечӹ шӹцмӹ,westen
372,Osten::N,ирвел,oosten
373,Osten::N,кечӹ лӱлтмӹ,oosten
374,Holz::N,пушӓнгӹ,hout
375,Brett::N,ханга,plank
376,Platte::N,плитӓ,plaat
377,Stütze::N,цӓрӓк,stut
378,Stütze::N,цӓрӓк,steun
379,Stange::N,равы,stang
380,Stange::N,намаш,stang
381,Stock::N,панды,stok
382,Stab::N,равы,staf
383,Rohr::N,пыч,pijp
384,Haus::N,пöрт,huis
385,Heim::N,пöрт,tehuis
386,Ofen::N,камака,kachel
387,Fußboden::N,седӹрӓ,vloer
388,Tisch::N,стöл,tafel
389,Stuhl::N,пöкен,stoel
390,Wiege::N,шипкӓ,wieg
391,Bett::N,койка,bed
392,Bett::N,кравать,bed
393,Regal::N,полицӓ,rek
394,Kiste::N,шӱ́ндӹк,kist
395,Fenster::N,окня,raam
396,Fenster::N,окня,venster
397,Tür::N,амаса,deur
398,Tor::N,хапка,poort
399,Zaun::N,забор,omheining
400,Dach::N,левӓш,dak
401,Leiter::N,ташкалтыш,ladder
402,Besen::N,сало,bezem
403,Besen::N,салко,bezem
404,Spaten::N,кольмы,schop
405,Schaufel::N,лоток,schep
406,Gabel::N,ви́лка,vork
407,Löffel::N,савала,lepel
408,Messer::N,кӹзӹ,mes
409,Nagel::N,пыда,spijker
410,Netz::N,вӓпш,net
411,Haken::N,крӱк,haak
412,Haken::N,кагак,haak
413,Griff::N,кычем,handvat
414,Schloss::N,замок,slot
415,Schloss::N,сыравач,slot
416,Bild::N,картин,beeld
417,Figur::N,кӓн,figuur
418,Puppe::N,поханя,pop
419,Beutel::N,мешӓк,zak
420,Beutel::N,мешӓк,buidel
421,Bündel::N,топ,pak
422,Bündel::N,топ,bundel
423,Bündel::N,пидӹш,pak
424,Bündel::N,пидӹш,bundel
425,Bündel::N,кӹлдӹш,pak
426,Bündel::N,кӹлдӹш,bundel
427,Tasche::N,сумкы,tas
428,Eimer::N,ведӹрӓ,emmer
429,Deckel::N,комдыш,deksel
430,Geschirr::N,ӓтӹ,vaatwerk
431,Sack::N,мешӓк,zak
432,Tasse::N,цӓшкӓ,kop
433,Topf::N,ми́ска,pan
434,Kessel::N,пад,ketel
435,Essen::N,качкыш,eten
436,Essen::N,качкыш-йӱш,eten
437,Nahrung::N,качкыш,voedsel
438,Nahrung::N,качкыш-йӱш,voedsel
439,Speise::N,няня,spijs
440,Fleisch::N,пай,vlees
441,Getreide::N,киндӹ,graan
442,Brei::N,шӹрӓш,pap
443,Brei::N,шӹрӓш,brij
444,Brot::N,сыкыр,brood
445,Scheibe::N,ламыт,plak
446,Scheibe::N,ламыт,snede
447,Scheibe::N,лаштык,plak
448,Scheibe::N,лаштык,snede
449,Fett::N,кая,vet
450,Butter::N,ӱ,boter
451,Öl::N,ӱ,olie
452,Salz::N,санзал,zout
453,Suppe::N,лем,soep
454,Honig::N,мӱ,honing
455,Milch::N,шӹшер,melk
456,Tee::N,чӓй,thee
457,Leder::N,шарга,leer
458,Leder::N,шарга,leder
459,Leder::N,кавашты,leer
460,Leder::N,кавашты,leder
461,Wolle::N,миж,wol
462,Stoff::N,матер,stof
463,Stoff::N,матери,stof
464,Nadel::N,им,naald
465,Faden::N,шӹртӹ,draad
466,Knopf::N,полдыш,knoop
467,Knoten::N,пӱкшем,knoop
468,Farbe::N,чиӓ,verf
469,Farbe::N,крӓскӓ,verf
470,Kleidung::N,выргем,kledij
471,Kleidung::N,выргем,kleding
472,Hemd::N,тыгыр,hemd
473,Kragen::N,шӱ,kraag
474,Ärmel::N,шокш,mouw
475,Hose::N,ялаш,broek
476,Hose::N,ялаш,pantalon
477,Gürtel::N,ӹштӹ,riem
478,Gürtel::N,ӹштӹ,gordel
479,Mütze::N,упш,muts
480,Schuh::N,ту́фльы,schoen
481,Stiefel::N,кем,laars
482,Ring::N,шӓргӓш,ring
483,Band::N,лемтӓ,lint
484,Kamm::N,шерге,kam
485,Spiegel::N,тӹгӹр,spiegel
486,Riemen::N,прӓжӓ,riem
487,Schnur::N,кӓндӹра,koord
488,Leine::N,керем,lijn
489,Decke::N,одеял,deken
490,Kissen::N,кӹпцӹк,kussen
491,Tuch::N,савыц,doek
492,Handtuch::N,шӹргӹсавыц,handdoek
493,Handtuch::N,шӹргӹмсавыц,handdoek
494,Kraft::N,ви,kracht
495,Stärke::N,ви,sterkte
496,Gesundheit::N,шу,gezondheid
497,Gesundheit::N,шулык,gezondheid
498,Krankheit::N,мыж,ziekte
499,Schmerz::N,карштыш,pijn
500,Wunde::N,шушыр,wond
501,Fieber::N,ӱштӹмыж,koorts
502,Arznei::N,лекӓрцӹ,medicament
503,Arznei::N,лекӓрцӹ,geneesmiddel
504,Brücke::N,кӹвер,brug
505,Brunnen::N,вӹдсӹнзӓ,put
506,Brunnen::N,вӹдсӹнзӓ,bron
507,Weide::N,ныр,wei
508,Weide::N,ныр,weide
509,Pfad::N,ялгорны,pad
510,Weg::N,корны,weg
511,Straße::N,корны,baan
512,Straße::N,корны,straat
513,Dorf::N,сола,dorp
514,Stadt::N,города,stad
515,Brief::N,сирмӓш,brief
516,Buch::N,книгӓ,boek
517,Buchstabe::N,буква́,letter
518,Zeitung::N,газет,krant
519,Zeitung::N,газет,dagblad
520,Zeitung::N,кайзет,krant
521,Zeitung::N,кайзет,dagblad
522,Leben::N,житя,leven
523,Tod::N,смöрт,dood
524,Grab::N,шӹгер,graf
525,Grab::N,мыгилӓ,graf
526,Grab::N,шӹгерлӓ,graf
527,Kirche::N,церкӹ,kerk
528,Sünde::N,сулык,zonde
529,Gott::N,йымы,god
530,Arbeiter::N,пӓшӓзӹ,arbeider
531,Chef::N,вуй,chef
532,Meister::N,мастар,meester
533,Arzt::N,доктор,arts
534,Arzt::N,доктор,dokter
535,Lehrer::N,тымдышы,leraar
536,Lehrer::N,тымдышы,onderwijzer
537,Geld::N,окса,geld
538,Geschäft::N,торге́йӹмӓш,zaak
539,Laden::N,лапка,winkel
540,Laden::N,магазин,winkel
541,Preis::N,ӓк,prijs
542,Ware::N,товар,waar
543,Nutzen::N,пайда,nut
544,Nutzen::N,пайда,voordeel
545,Reichtum::N,перке,rijkdom
546,Welt::N,сӓндӓлӹк,wereld
547,Welt::N,свет,wereld
548,Land::N,сӓндӓлӹк,land
549,Staat::N,кугижӓншӹ,staat
550,König::N,король,koning
551,Macht::N,власть,macht
552,Grenze::N,пӹсмӓн,grens
553,Krieg::N,вырсы,oorlog
554,Feind::N,тышман,vijand
555,Gewalt::N,ви,geweld
556,Kampf::N,кредӓлмӓш,strijd
557,Kampf::N,кредӓлмӓш,gevecht
558,Bogen[Waffe]::N,янгеж,boog
559,Pfeil::N,пикш,pijl
560,Gewehr::N,пичӓл,geweer
561,Fehler::N,самынь,fout
562,Lüge::N,шая,leugen
563,Schaden::N,вре́дӓ,schade
564,Unglück::N,пёда,tegenspoed
565,Unglück::N,тымаша,tegenspoed
566,Schuld::N,вуйнамат,schuld
567,Alter::N,иӓш,leeftijd
568,Alter::N,игечӹ,leeftijd
569,Schluss::N,пӹтӓртӹш,slot
570,Zeit::N,веремӓ,tijd
571,Tag::N,кечӹ,dag
572,Morgen::N,ир,morgen
573,Morgen::N,ир,ochtend
574,Morgen::N,ирок,morgen
575,Morgen::N,ирок,ochtend
576,Mittag::N,кечӹвӓл,middag
577,Abend::N,вады,avond
578,Nacht::N,йыд,nacht
579,Woche::N,ӓрня,week
580,Monat::N,тӹ́лзӹ,maand
581,Jahr::N,год,jaar
582,Frühling::N,шошым,lente
583,Frühling::N,шошым,voorjaar
584,Sommer::N,кӓнгӹж,zomer
585,Herbst::N,шӹжӹ,herfst
586,Winter::N,тел,winter
587,Winter::N,телӹ,winter
588,Januar::N,январ,januari
589,Januar::N,январь,januari
590,Februar::N,февраль,februari
591,März::N,март,maart
592,April::N,апрель,april
593,Mai::N,май,mei
594,Juni::N,июнь,juni
595,Juli::N,июль,juli
596,August::N,август,augustus
597,September::N,сентябрь,september
598,Oktober::N,октябрь,oktober
599,November::N,ноябрь,november
600,Dezember::N,декавыр,december
601,Montag::N,шачмы,maandag
602,Dienstag::N,кышкыжмы,dinsdag
603,Mittwoch::N,вӹрчегӹ,woensdag
604,Donnerstag::N,изӓрня,donderdag
605,Freitag::N,когарня,vrijdag
606,Samstag::N,кукшыгечӹ,zaterdag
607,Sonntag::N,рушӓрня,zondag
608,groß::A,кого,groot
609,klein::A,изи,klein
610,lang::A,кужы,lang
611,kurz::A,кӹтӹк,kort
612,breit::A,кымда,breed
613,schmal::A,ӓнгӹсӹр,smal
614,dicht::A,шӹре,dicht
615,dick[Gegenstand]::A,кӹжгӹ,dik
616,dünn::A,вӹцкӹж,dun
617,fein::A,пыльга,fijn
618,fest::A,цаткыды,vast
619,flach::A,тӓлякӓ,plat
620,glatt::A,ягылгы,glad
621,hart::A,пингӹдӹ,hard
622,weich::A,пышкыды,week
623,rund::A,тӹртӹш,rond
624,spitz::A,кашар,spits
625,spitz::A,кашар,puntig
626,scharf::A,кашар,scherp
627,stumpf::A,нӹшкӹ,stomp
628,schwer::A,нелӹ,zwaar
629,schön::A,цевер,mooi
630,schön::A,цевер,fraai
631,schön::A,олмыдшы,mooi
632,schön::A,олмыдшы,fraai
633,heiß::A,шокшы,heet
634,warm::A,шокшы,warm
635,kalt::A,ӱштӹ,koud
636,kühl::A,юалгы,koel
637,kühl::A,йонгата,koel
638,frisch::A,йонгата,fris
639,feucht::A,ӹлӹкшӹ,vochtig
640,feucht::A,вӹдӹжгӹ,vochtig
641,nass::A,начкы,nat
642,trocken::A,кукшы,droog
643,voll::A,темшӹ,vol
644,voll::A,темыман,vol
645,leer::A,йӓрӓ,leeg
646,offen::A,виш,open
647,geschlossen::A,чӱчмӹ,gesloten
648,geschlossen::A,тӹкӹлӓлтшӹ,gesloten
649,sauber::A,ире,net
650,sauber::A,ире,schoon
651,schmutzig::A,шоран,vuil
652,schmutzig::A,лявӹрӓн,vuil
653,schmutzig::A,шорангшы,vuil
654,roh::A,пеле кӱшӹ,rauw
655,reif::A,кӱшӹ,rijp
656,lecker::A,тотан,lekker
657,süß::A,мӱӓн,zoet
658,bitter::A,качы,bitter
659,sauer::A,шапы,zuur
660,hell::A,соты,licht
661,hell::A,соты,helder
662,hell::A,валгыды,licht
663,hell::A,валгыды,helder
664,dunkel::A,пӹц,donker
665,dunkel::A,пӹцкемӹш,donker
666,schwarz::A,шим,zwart
667,weiß::A,ош,wit
668,weiß::A,ошы,wit
669,rot::A,якшаргы,rood
670,gelb::A,сар,geel
671,gelb::A,сары,geel
672,blau::A,симсӹ,blauw
673,grün::A,ыжар,groen
674,grau::A,луды,grijs
675,bunt::A,ала,bont
676,billig::A,шулдаш,goedkoop
677,teuer::A,шергӹ,duur
678,teuer::A,шергӓкӓн,duur
679,wertvoll::A,ӓкӓн,kostbaar
680,wertvoll::A,ӓкӓн,waardevol
681,blind::A,слöпöй,blind
682,blind::A,сльöпöй,blind
683,taub::A,тӱтӱк,doof
684,kräftig::A,виӓн,krachtig
685,stark::A,виӓн,sterk
686,schwach::A,шава,zwak
687,schwach::A,лӹпкӓ,zwak
688,schwach::A,слабка,zwak
689,fett::A,таза,vet
690,schlank::A,яштака,slank
691,hübsch::A,сӹлнӹ,leuk
692,hübsch::A,олмыдшы,leuk
693,böse::A,шӹдӓн,kwaad
694,dumm::A,окмак,dom
695,faul::A,ялахай,lui
696,fleißig::A,пӓшам яратышы,vlijtig
697,geizig::A,шык,gierig
698,klug::A,ышан,slim
699,klug::A,ышан,schrander
700,klug::A,ышан,verstandig
701,geschickt::A,мастар,handig
702,geschickt::A,мастар,vaardig
703,lieb::A,тыри,lief
704,lustig::A,мындыр,vrolijk
705,lustig::A,сусу,vrolijk
706,sanft::A,йӹвӹжӓ,zacht
707,hungrig::A,шужышы,hongerig
708,krank::A,церлӹ,ziek
709,krank::A,хворой,ziek
710,nackt::A,цӓрӓ,naakt
711,traurig::A,сы́лыкан,treurig
712,traurig::A,сы́лыкан,bedroefd
713,traurig::A,кымы́лдымы,treurig
714,traurig::A,кымы́лдымы,bedroefd
715,lebendig::A,живой,levend
716,gut::A,яжо,goed
717,schlecht::A,уда,slecht
718,schlecht::A,худа,slecht
719,richtig::A,вургамла,juist
720,schlimm::A,йӹрнык,erg
721,schlimm::A,йӹрнык,kwaad
722,wahr::A,настоящий,waar
723,wahr::A,настояшый,waar
724,alt::A,шонгы,oud
725,neu::A,у,nieuw
726,ehemalig::A,тошты,voormalig
727,alt[Lebewesen]::A,ӹлалшӹ,oud
728,jung::A,нöргӹ,jong
729,jung::A,молода,jong
730,arm::A,укеӓн,arm
731,reich::A,паян,rijk
732,reich::A,пурлыкан,rijk
733,bekannt::A,палӹмӹ,bekend
734,berühmt::A,лӹмлы,beroemd
735,fremd::A,эдемӹн,vreemd
736,verschieden::A,тӹрлӹ,verscheiden
737,verschieden::A,тӹрлӹ,verschillend
738,nah::A,лишӹл,nabij
739,nah::A,лишӹл,nabijgelegen
740,fern::A,мӹндӹр,ver
741,linker::A,шалахай,linker
742,rechter::A,вургамла,rechter
743,anderer::A,вес,andere
744,anderer::A,весӹ,andere
745,erster::A,икшӹ,eerste
746,erster::A,икӹмшӹ,eerste
747,zweiter::A,кокшы,tweede
748,dritter::A,кымшы,derde
749,letzter::A,остатка,laatste
750,allein::ADV,иктӹ,alleen
751,allein::ADV,иктӹт,alleen
752,auf einmal::ADV,тöрöк,ineens
753,auf einmal::ADV,тöрöк,tegelijk
754,zusammen::ADV,икараш,samen
755,zusammen::ADV,икараш,bijeen
756,zusammen::ADV,цымырын,samen
757,zusammen::ADV,цымырын,bijeen
758,lange::ADV,кужын,lang
759,plötzlich::ADV,трӱк,eensklaps
760,plötzlich::ADV,трӱк,plotsklaps
761,sofort::ADV,полт,terstond
762,sofort::ADV,полт,aanstonds
763,sofort::ADV,полт,onmiddelijk
764,sofort::ADV,тöрöк,terstond
765,sofort::ADV,тöрöк,aanstonds
766,sofort::ADV,тöрöк,onmiddelijk
767,sofort::ADV,тӹшӓкок,terstond
768,sofort::ADV,тӹшӓкок,aanstonds
769,sofort::ADV,тӹшӓкок,onmiddelijk
770,später::ADV,вара,later
771,heute::ADV,тагачы,heden
772,heute::ADV,тагачы,vandaag
773,morgen::ADV,иргод,morgen
774,morgen::ADV,иргодым,morgen
