,Concept_ID,es,os
72,Stein::N,piedra,дур
73,Boden::N,suelo,зӕхх
74,Erde::N,tierra,сыджыт
75,Staub::N,polvo,рыг
76,Rauch::N,humo,фӕздӕг
77,Funke::N,chispa,цӕхӕр
78,Feuer::N,fuego,зынг
79,Licht::N,luz,рухс
80,Schatten::N,sombra,аууон
81,Wetter::N,tiempo,боныхъӕд
82,Nebel::N,niebla,мигъ
83,Wolke::N,nube,ӕврагъ
84,Regen::N,lluvia,уарын
85,Schnee::N,nieve,мит
86,Eis::N,hielo,их
87,Frost::N,helada,ихæн
88,Kälte::N,frío,уазал
89,Hitze::N,calor,ӕнтӕф
90,Raureif::N,escarcha,халас
91,Regenbogen::N,arco iris,арвырон
92,Regenbogen::N,arco iris,арвырдын
93,Donner::N,trueno,æрвнæрын
94,Strömung::N,corriente,цыд
95,Tropfen::N,gota,æртах
96,Schaum::N,espuma,фынк
97,Schmutz::N,suciedad,цъыф
98,See::N,lago,цад
99,Sumpf::N,pantano,цъыфдзаст
100,Moor::N,turbera,цъыфдзаст
101,Wiese::N,prado,уыгӕрдӕн
102,Wiese::N,pradera,уыгӕрдӕн
103,Wald::N,bosque,хъӕд
104,Hügel::N,colina,обау
105,Hügel::N,colina,къуыбыр
106,Anhöhe::N,cerro,уæлвæз
107,Anhöhe::N,cerro,уæлхох
108,Berg::N,monte,хох
109,Berg::N,montaña,хох
110,Gipfel::N,cima,цъупп
111,Gipfel::N,cumbre,цъупп
112,Höhle::N,cueva,лӕгӕт
113,Höhle::N,caverna,лӕгӕт
114,Abhang::N,cuesta,къул
115,Abhang::N,declive,къул
116,Quelle::N,fuente,суадон
117,Quelle::N,manantial,суадон
118,Bach::N,arroyo,мӕсчъыдон
119,Fluss::N,río,дон
120,Fluss::N,río,цӕугӕдон
121,Ufer::N,orilla,был
122,Küste::N,costa,донбыл
123,Festland::N,tierra firme,сурзæхх
124,Meer::N,mar,денджыз
125,Bucht::N,cala,донбакæлæн
126,Bucht::N,bahía,донбакæлæн
127,Insel::N,isla,сакъадах
128,Blume::N,flor,дидинӕг
129,Gras::N,hierba,кӕрдӕг
130,Wurzel::N,raíz,уидаг
131,Baum::N,árbol,бӕлас
132,Stamm::N,tronco,хӕтӕл
133,Rinde::N,corteza,цъар
134,Ast::N,rama,арх
135,Zweig::N,ramo,къалиу
136,Blatt::N,hoja,сыф
137,Birke::N,abedul,бæрз
138,Kiefer[Baum]::N,pino,нӕзы
139,Weide[Baum]::N,sauce,хӕрис
140,Tanne::N,abeto,наз
141,Horn::N,asta,сыкъа
142,Horn::N,cuerno,сыкъа
143,Feder::N,pluma,сис
144,Fell::N,piel,царм
145,Flügel::N,ala,базыр
146,Klaue::N,garra,ных
147,Kralle::N,uña,дзӕмбы
148,Kralle::N,garra,дзӕмбы
149,Schwanz::N,cola,къӕдзил
150,Ei::N,huevo,айк
151,Nest::N,nido,ахстон
152,Bau::N,madriguera,хуынкъ
153,Tier::N,animal,сырд
154,Tier::N,animal,цӕрӕгой
155,Herde::N,rebaño,дзуг
156,Herde::N,rebaño,рӕгъау
157,Kuh::N,vaca,хъуг
158,Bulle::N,toro,гал
159,Pferd::N,caballo,бӕх
160,Schaf::N,oveja,фыс
161,Schwein::N,cerdo,хуы
162,Hund::N,perro,куыдз
163,Katze::N,gato,гӕды
164,Bär::N,oso,арс
165,Eichhörnchen::N,ardilla,æхсæрæг
166,Elch::N,alce,цæгатаг саг
167,Fuchs::N,zorro,рувас
168,Hase::N,liebre,тæрхъус
169,Maus::N,ratón,мыст
170,Wolf::N,lobo,бирӕгъ
171,Vogel::N,ave,цъиу
172,Vogel::N,ave,маргъ
173,Vogel::N,pájaro,цъиу
174,Vogel::N,pájaro,маргъ
175,Schwarm::N,bandada,бал
176,Huhn::N,gallina,карк
177,Hahn::N,gallo,уасӕг
178,Gans::N,oca,хъаз
179,Gans::N,ganso,хъаз
180,Adler::N,águila,цӕргӕс
181,Ente::N,pato,ацц
182,Eule::N,lechuza, уыг
183,Eule::N,lechuza,сидахъ
184,Kranich::N,grulla,зырнæг
185,Kranich::N,grulla,хърихъупп
186,Krähe::N,corneja,халон
187,Kuckuck::N,cuco,гаккук
188,Schwan::N,cisne,доныхъаз
189,Fisch::N,pez,кӕсаг
190,Barsch::N,perca,окунь
191,Hecht::N,lucio,хихор кӕсаг
192,Schlange[Tier]::N,serpiente,калм
193,Wurm::N,gusano,зулкъ
194,Wurm::N,gusano,къуыдыргалм
195,Spinne::N,araña,хӕлуарӕг
196,Ameise::N,hormiga,мæлдзыг
197,Laus::N,piojo,сыст
198,Mücke::N,mosquito,къогъо
199,Fliege::N,mosca,бындз
200,Schmetterling::N,mariposa,гæлæбу
201,Beere::N,baya,гагадыргъ
202,Apfel::N,manzana,фӕткъуы
203,Pilz::N,seta,зокъо
204,Pilz::N,seta,къозо
205,Pilz::N,hongo,зокъо
206,Pilz::N,hongo,къозо
207,Zwiebel::N,cebolla,хъӕдындз
208,Saat::N,siembra,тауинаг
209,Saat::N,siembra,мыггаг
210,Korn::N,grano,мыггаг
211,Korn::N,grano,тауинаг
212,Heu::N,heno,хос
213,Schale::N,cáscara,цъар
214,Grube::N,foso,урм
215,Grube::N,foso,къахт
216,Grube::N,foso,дзыхъхъ
217,Falle::N,trampa,цъысым
218,Falle::N,trampa,къӕппӕг
219,Schlinge::N,lazo,цасм
220,Spur::N,huella,фæд
221,Asche::N,ceniza,фӕнык
222,Asche::N,ceniza,ӕртхутӕг
223,Dreck::N,suciedad,цъыф
224,Eisen::N,hierro,ӕфсӕйнаг
225,Gold::N,oro,сыгъзӕрин
226,Silber::N,plata,ӕвзист
227,Kohle::N,carbón,ӕвзалы
228,Glas::N,vidrio,авг
229,Glas::N,cristal,авг
230,Lehm::N,barro,ӕлыг
231,Sand::N,arena,змис
232,Mensch::N,hombre,лӕг
233,Mensch::N,hombre,адӕймаг
234,Mensch::N,hombre,удгоймаг
235,Mensch::N,ser humano,лӕг
236,Mensch::N,ser humano,адӕймаг
237,Mensch::N,ser humano,удгоймаг
238,Mann::N,hombre,лӕг
239,Mann::N,hombre,нӕлгоймаг
240,Frau::N,mujer,сылгоймаг
241,Kind::N,niño,сывӕллон
242,Junge::N,chico,лӕппу
243,Junge::N,muchacho,лӕппу
244,Mädchen::N,chica,чызг
245,Mädchen::N,muchacha,чызг
246,Familie::N,familia,бинонтæ
247,Großvater::N,abuelo,фыдыфыд
248,Großvater::N,abuelo,мадыфыд
249,Großmutter::N,abuela,фыды мад
250,Großmutter::N,abuela,мады мад
251,Eltern::N,padres,ныййарджытæ
252,Vater::N,padre,фыд
253,Mutter::N,madre,мад
254,Sohn::N,hijo,фырт
255,Tochter::N,hija,чызг
256,Bruder::N,hermano,ӕфсымӕр
257,Schwester::N,hermana,хо
258,Onkel::N,tío,фыдыфсымӕр
259,Tante::N,tía,мадыхо
260,Ehemann::N,esposo,мой
261,Ehefrau::N,esposa,ус
262,Freude::N,placer,цин
263,Freude::N,placer,циндзинад
264,Freude::N,alegría,цин
265,Freude::N,alegría,циндзинад
266,Gelächter::N,risa,худын
267,Gelächter::N,risa,худт
268,Gelächter::N,risa,худæг
269,Gelächter::N,carcajada,худын
270,Gelächter::N,carcajada,худт
271,Gelächter::N,carcajada,худæг
272,Glück::N,felicidad,амонд
273,Kummer::N,pena,хъыг
274,Wunsch::N,deseo,бӕллиц
275,Lust::N,ganas,монц
276,Geist::N,mente,уд
277,Geist::N,espíritu,уд
278,Gedanke::N,idea,хъуыды
279,Gedanke::N,pensamiento,хъуыды
280,Gedächtnis::N,memoria,мысæн
281,Gedächtnis::N,memoria,мысын
282,Gedächtnis::N,memoria,зæрдылдарын
283,Verstand::N,razón,зонд
284,Verstand::N,entendimiento,зонд
285,Sinn::N,sentido,нысаниуæг
286,Sinn::N,significado,нысаниуæг
287,Grund::N,causa,ӕфсон
288,Wahrheit::N,verdad,æцæг
289,Gespräch::N,conversación,ныхас
290,Märchen::N,cuento,аргъау
291,Erzählung::N,cuento,радзырд
292,Erzählung::N,narración,радзырд
293,Nachricht::N,mensaje,уац
294,Neuigkeit::N,noticia,хабар
295,Name::N,nombre,ном
296,Rätsel::N,acertijo,уыци-уыци
297,Rätsel::N,acertijo,базон-базон
298,Rätsel::N,adivinanza,уыци-уыци
299,Rätsel::N,adivinanza,базон-базон
300,Rede::N,discurso,раныхас
301,Sprache::N,lengua,ӕвзаг
302,Stimme::N,voz,хъӕлӕс
303,Wort::N,palabra,дзырд
304,Zeichen::N,señal,нысан
305,Ruf::N,llamada,сидт
306,Lärm::N,ruido,уынæр
307,Lärm::N,barullo,уынæр
308,Laut::N,sonido,зӕл
309,Laut::N,sonido,мыр
310,Ton::N,tono,мыр
311,Lied::N,canción,зарӕг
312,Ruhe::N,calma,æнцой
313,Ruhe::N,silencio,æнцой
314,Leute::N,gente,адӕм
315,Volk::N,pueblo,адӕм
316,Arbeit::N,trabajo,фӕллой
317,Gast::N,huésped,уазӕг
318,Gast::N,invitado,уазӕг
319,Geschenk::N,regalo,хуын
320,Spiel::N,juego,хъазт
321,Gesellschaft::N,compañía,дзыллæ
322,Gesellschaft::N,compañía,æхсæнад
323,Hilfe::N,ayuda,æххуыс
324,Hilfe::N,ayuda,ахъаз
325,Hilfe::N,socorro,æххуыс
326,Hilfe::N,socorro,ахъаз
327,Freund::N,amigo,лымӕн
328,Kamerad::N,camarada,ӕмбал
329,Kamerad::N,compañero,ӕмбал
330,Angelegenheit::N,asunto,хъуыддаг
331,Anzahl::N,cantidad,бӕрц
332,Art::N,tipo,хуыз
333,Art::N,tipo,хуызад
334,Art::N,clase,хуыз
335,Art::N,clase,хуызад
336,Stück::N,pieza,кæрдих
337,Stück::N,pieza,комдзаг
338,Teil::N,parte,хай
339,Hälfte::N,mitad,æрдæг
340,Hälfte::N,mitad,æмбис
341,Kreis::N,círculo,зиллакк
342,Kreuz::N,cruz,дзуар
343,Linie::N,línea,хахх
344,Strich::N,raya,хахх
345,Strich::N,trazo,хахх
346,Abstand::N,distancia,æхсæнуат
347,Entfernung::N,distancia,дæрддзæг
348,Entfernung::N,distancia,дардцæг
349,Gegend::N,región,ран
350,Gegend::N,comarca,ран
351,Platz::N,espacio,бууат
352,Ort::N,sitio,ран
353,Ort::N,sitio,бынат
354,Seite::N,lado,фахс
355,Seite::N,costado,фахс
356,Mitte::N,medio,астӕу
357,Mitte::N,centro,астӕу
358,Gegenstand::N,objeto,дзаума
359,Sache::N,cosa,дзаума
360,Rand::N,borde,кӕрон
361,Kante::N,borde,фӕрск
362,Ecke::N,esquina,тигъ
363,Ecke::N,esquina,фисын
364,Spitze::N,punta,бырынкъ
365,Ende::N,cabo,кӕрон
366,Ende::N,extremo,кӕрон
367,Loch::N,agujero,хуынкъ
368,Loch::N,abertura,хуынкъ
369,Winkel::N,ángulo,къуым
370,Muster::N,dibujo,нывæфтыд
371,Muster::N,dibujo,кæдзист
372,Größe::N,tamaño,ас
373,Länge::N,longitud,дӕргъ
374,Höhe::N,altura,бæрзонд
375,Höhe::N,altura,бæрзæнд
376,Höhe::N,altura,бæрзонддзинад
377,Höhe::N,altitud,бæрзонд
378,Höhe::N,altitud,бæрзæнд
379,Höhe::N,altitud,бæрзонддзинад
380,Gewicht::N,peso,уӕз
381,Menge::N,cantidad,бӕрц
382,Haufen::N,montón,кӕри
383,Reihe::N,fila,рӕнхъ
384,Boot::N,bote,чема
385,Boot::N,barca,чема
386,Ruder::N,remo,къохар
387,Schlitten::N,trineo,дзоныгъ
388,Ski::N,esquí,къахдзоныгътæ
389,Ski::N,esquí,лыжæтæ
390,Lagerfeuer::N,hoguera,арт
391,Last::N,carga,уаргъ
392,Gang::N,marcha,цыд
393,Schritt::N,paso,санчъех
394,Schritt::N,paso,къахдзӕф
395,Norden::N,norte,цæгат
396,Süden::N,sur,хуссар
397,Westen::N,oeste,ныгуылæн
398,Osten::N,este,скæсæн
399,Holz::N,madera,хъӕдӕрмӕг
400,Brett::N,tabla,фæйнæг
401,Platte::N,placa,къӕй
402,Platte::N,plancha,къӕй
403,Stütze::N,sostén,быцæу
404,Stütze::N,soporte,быцæу
405,Stange::N,vara,хъил
406,Stange::N,percha,хъил
407,Stock::N,palo,лӕдзӕг
408,Stock::N,bastón,лӕдзӕг
409,Stab::N,vara,хъил
410,Stab::N,bastón,хъил
411,Rohr::N,tubo,хӕтӕл
412,Haus::N,casa,хӕдзар
413,Heim::N,hogar,къона
414,Ofen::N,estufa,пец
415,Fußboden::N,suelo,астӕрд
416,Tisch::N,mesa,стъол
417,Stuhl::N,silla,бандон
418,Wiege::N,cuna,авдæн
419,Bett::N,cama,сынтӕг
420,Regal::N,estantería,тӕрхӕг
421,Regal::N,estantería,уӕлвӕйнӕг
422,Kiste::N,caja,асыкк
423,Fenster::N,ventana,рудзынг
424,Fenster::N,ventana,фæрссаг
425,Tür::N,puerta,дуар
426,Tor::N,puerta,кулдуар
427,Zaun::N,valla,æмбонд
428,Zaun::N,valla,быру
429,Zaun::N,valla,гæрæн
430,Zaun::N,cercado,æмбонд
431,Zaun::N,cercado,быру
432,Zaun::N,cercado,гæрæн
433,Dach::N,techo,уӕлхӕдзар
434,Dach::N,tejado,уӕлхӕдзар
435,Leiter::N,escalera,асин
436,Besen::N,escoba,уисой
437,Spaten::N,pala,бел
438,Schaufel::N,pala,æвгæнæн
439,Schaufel::N,pala,кæфой
440,Schaufel::N,paleta,æвгæнæн
441,Schaufel::N,paleta,кæфой
442,Gabel::N,tenedor,вилкæ
443,Löffel::N,cuchara,уидыг
444,Messer::N,cuchillo,кард
445,Nagel::N,clavo,зӕгӕл
446,Netz::N,red,хыз
447,Haken::N,gancho,хæдз
448,Haken::N,gancho,хæбырæгъ
449,Haken::N,corchete,хæдз
450,Haken::N,corchete,хæбырæгъ
451,Griff::N,asa,фистон
452,Griff::N,mango,фистон
453,Schloss::N,cerradura,гуыдыр
454,Bild::N,imagen,ныв
455,Figur::N,figura,кæрдгæныв
456,Puppe::N,muñeca,чындз
457,Beutel::N,bolsa,дзӕкъул
458,Bündel::N,haz,баст
459,Tasche::N,bolso,хызын
460,Tasche::N,bolso,дзæкъул
461,Eimer::N,cubo,къæрта
462,Eimer::N,cubo,чъыбыла
463,Eimer::N,cubo,ведра
464,Deckel::N,tapa,сæр
465,Deckel::N,tapa,æмбæрзæн
466,Deckel::N,tapadera,сæр
467,Deckel::N,tapadera,æмбæрзæн
468,Geschirr::N,vajilla,мигæнæн
469,Geschirr::N,vajilla,мигæнæнтæ
470,Sack::N,saco,голлаг
471,Tasse::N,taza,пиала
472,Tasse::N,taza,къус
473,Topf::N,olla,аг
474,Topf::N,olla,чысыл аг
475,Topf::N,marmita,аг
476,Topf::N,marmita,чысыл аг
477,Kessel::N,caldera,аг
478,Essen::N,comida,хӕрд
479,Nahrung::N,alimento,хойраг
480,Speise::N,plato,хӕринаг
481,Fleisch::N,carne,дзидза
482,Fleisch::N,carne,фыдызгъӕл
483,Getreide::N,cereales,халсар
484,Brei::N,puré,кас
485,Brei::N,papilla,кас
486,Brot::N,pan,дзул
487,Scheibe::N,lonja,къӕбӕр
488,Scheibe::N,rebanada,къӕбӕр
489,Fett::N,grasa,сой
490,Butter::N,mantequilla,нӕлхӕ
491,Öl::N,aceite,зети
492,Salz::N,sal,цӕхх
493,Suppe::N,sopa,бас
494,Honig::N,miel,мыд
495,Milch::N,leche,ӕхсыр
496,Tee::N,té,цай
497,Leder::N,cuero,мæскуы
498,Wolle::N,lana,фӕсмын
499,Stoff::N,tela,хъуымац
500,Stoff::N,tejido,хъуымац
501,Nadel::N,aguja,судзин
502,Faden::N,hilo,ӕндах
503,Knopf::N,botón,цӕппӕр
504,Knoten::N,nudo,ӕлхынцъ
505,Farbe::N,pintura,ахорæн
506,Kleidung::N,ropa,дарӕс
507,Kleidung::N,vestidos,дарӕс
508,Hemd::N,camisa,хӕдон
509,Kragen::N,cuello,æфцæггот
510,Ärmel::N,manga,дыс
511,Hose::N,pantalón,хæлаф
512,Hose::N,pantalón,æддаг хæлаф
513,Hose::N,pantalón,салбар
514,Gürtel::N,cinturón,рон
515,Mütze::N,gorro,худ
516,Schuh::N,zapato,басмахъ
517,Stiefel::N,bota,цырыхъхъ
518,Ring::N,anillo,къухдарӕн
519,Band::N,cinta,лент
520,Kamm::N,peine,сӕрвасӕн
521,Spiegel::N,espejo,айдæн
522,Spiegel::N,espejo,кæсæн
523,Riemen::N,correa,гӕрз
524,Schnur::N,cuerda,бӕндӕн
525,Leine::N,correa,
526,Decke::N,manta,хъӕццул
527,Kissen::N,almohada,баз
528,Tuch::N,pañuelo,кæлмæрзæн
529,Tuch::N,pañuelo,кæрдæн
530,Handtuch::N,toalla,хисæрфæн
531,Kraft::N,fuerza,тых
532,Kraft::N,fuerza,хъомыс
533,Stärke::N,fuerza,тых
534,Stärke::N,fuerza,æхсар
535,Gesundheit::N,salud,æнæниздзинад
536,Krankheit::N,enfermedad,низ
537,Krankheit::N,enfermedad,рын
538,Schmerz::N,dolor,рис
539,Wunde::N,llaga,цӕф
540,Wunde::N,herida,цӕф
541,Fieber::N,fiebre,ризӕг
542,Fieber::N,fiebre,тӕфсӕг
543,Arznei::N,medicina,хос
544,Arznei::N,medicamento,хос
545,Brücke::N,puente,хид
546,Brunnen::N,pozo,цъай
547,Weide::N,pasto,хизæн
548,Weide::N,pasto,хизæнуат
549,Weide::N,pasto,сæрвæт
550,Pfad::N,sendero,къахвæндаг
551,Pfad::N,sendero,къахвæд
552,Weg::N,camino,фӕндаг
553,Straße::N,vía,фӕндаг
554,Straße::N,carretera,фӕндаг
555,Dorf::N,aldea,хъӕу
556,Dorf::N,pueblo,хъӕу
557,Stadt::N,ciudad,сахар
558,Brief::N,carta,фыстӕг
559,Buch::N,libro,чиныг
560,Buchstabe::N,letra,дамгъӕ
561,Buchstabe::N,carácter,дамгъӕ
562,Zeitung::N,diario,газет
563,Zeitung::N,periódico,газет
564,Leben::N,vida,цард
565,Leben::N,vida,цӕрӕнбон
566,Tod::N,muerte,мæлæт
567,Tod::N,muerte,адзал
568,Grab::N,tumba,ингӕн
569,Grab::N,sepulcro,ингӕн
570,Kirche::N,iglesia,аргъуан
571,Sünde::N,pecado,тæригъæд
572,Gott::N,dios,хуыцау
573,Arbeiter::N,obrero,кусæг
574,Arbeiter::N,trabajador,кусæг
575,Chef::N,jefe,ӕмцег
576,Meister::N,maestro,мастер
577,Meister::N,maestro,дæсны
578,Arzt::N,médico,хосгæнæг
579,Arzt::N,médico,дохтыр
580,Lehrer::N,profesor,ахуыргæнæг
581,Geld::N,dinero,ӕхца
582,Geschäft::N,negocio,бизнес
583,Geschäft::N,negocio,хъуыддаг
584,Laden::N,tienda,дукани
585,Preis::N,precio,аргъ
586,Ware::N,mercancía,базайраг
587,Nutzen::N,provecho,пайда
588,Reichtum::N,riqueza,хъæздыгдзинад
589,Reichtum::N,riqueza,исбон
590,Reichtum::N,riqueza,мулк
591,Welt::N,mundo,дуне
592,Land::N,país,бӕстӕ
593,Staat::N,Estado,паддзахад
594,König::N,rey,къарол
595,Macht::N,poder,хицаудзинад
596,Macht::N,potencia,хицаудзинад
597,Grenze::N,frontera,арӕн
598,Krieg::N,guerra,хӕст
599,Feind::N,enemigo,знаг
600,Feind::N,enemigo,фыдгул
601,Feind::N,enemigo,фыдзæрдæ
602,Feind::N,enemigo,сон
603,Gewalt::N,violencia,тыхми
604,Gewalt::N,violencia,тыхдзинад
605,Kampf::N,lucha,хæст
606,Kampf::N,lucha,хъæбысæйхæст
607,Kampf::N,lucha,тох
608,Kampf::N,combate,хæст
609,Kampf::N,combate,хъæбысæйхæст
610,Kampf::N,combate,тох
611,Bogen[Waffe]::N,arco,ӕрдын
612,Pfeil::N,flecha,фат
613,Gewehr::N,fusil,топп
614,Gewehr::N,escopeta,топп
615,Fehler::N,error,рӕдыд
616,Lüge::N,mentira,мӕнг
617,Lüge::N,mentira,гӕдыдзинад
618,Schaden::N,daño,зиан
619,Unglück::N,desgracia,бæллæх
620,Schuld::N,culpa,азым
621,Alter::N,edad,кар
622,Schluss::N,fin,кæрон
623,Schluss::N,final,кæрон
624,Zeit::N,tiempo,рӕстӕг
625,Tag::N,día,бон
626,Morgen::N,mañana,райсом
627,Mittag::N,mediodía,æмбисбон
628,Abend::N,noche,изӕр
629,Nacht::N,noche,ӕхсӕв
630,Woche::N,semana,къуыри
631,Monat::N,mes,мӕй
632,Jahr::N,año,аз
633,Jahr::N,año,афӕдз
634,Frühling::N,primavera,уалдзæг
635,Sommer::N,verano,сӕрд
636,Herbst::N,otoño,фæззæг
637,Winter::N,invierno,зымӕг
638,Januar::N,enero,январь
639,Februar::N,febrero,февраль
640,März::N,marzo,мартъи
641,April::N,abril,апрель
642,Mai::N,mayo,май
643,Juni::N,junio,июнь
644,Juli::N,julio,июль
645,August::N,agosto,август
646,September::N,septiembre,сентябрь
647,Oktober::N,octubre,октябрь
648,November::N,noviembre,ноябрь
649,Dezember::N,diciembre,декабрь
650,Montag::N,lunes,къуырисæр
651,Dienstag::N,martes,дыццæг
652,Mittwoch::N,miércoles,æртыццæг
653,Donnerstag::N,jueves,цыппæрæм
654,Freitag::N,viernes,майрæмбон
655,Samstag::N,sábado,сабат
656,Sonntag::N,domingo,хуыцаубон
657,groß::A,grande,дынджыр
658,klein::A,pequeño,гыццыл
659,lang::A,largo,даргъ
660,kurz::A,corto,цыбыр
661,breit::A,ancho,фӕтӕн
662,schmal::A,estrecho,нарӕг
663,schmal::A,estrecho,уынгӕг
664,dicht::A,denso,бæзджын
665,dicht::A,denso,тар
666,dick[Gegenstand]::A,grueso,сӕвджын
667,dünn::A,fino,тæнæг
668,dünn::A,delgado,тæнæг
669,fein::A,fino,лыстӕг
670,fein::A,delicado,лыстӕг
671,fest::A,firme,фидар
672,fest::A,firme,хъӕддых
673,fest::A,sólido,фидар
674,fest::A,sólido,хъӕддых
675,flach::A,plano,тъӕпӕн
676,glatt::A,liso,лӕгъз
677,hart::A,duro,хъӕбӕр
678,weich::A,muelle,фӕлмӕн
679,rund::A,redondo,тымбыл
680,spitz::A,agudo,цыргъбырынкъ
681,spitz::A,agudo,цыргъфындз
682,spitz::A,apuntado,цыргъбырынкъ
683,spitz::A,apuntado,цыргъфындз
684,scharf::A,agudo,цыргъ
685,scharf::A,afilado,цыргъ
686,stumpf::A,sin filo,къуымых
687,schwer::A,pesado,уӕззау
688,schön::A,bello,аив
689,schön::A,bello,рӕсугъд
690,schön::A,hermoso,аив
691,schön::A,hermoso,рӕсугъд
692,heiß::A,caluroso,тӕвд
693,warm::A,cálido,хъарм
694,warm::A,caliente,хъарм
695,kalt::A,frío,уазал
696,kühl::A,fresco,сатæг
697,kühl::A,fresco,уазалгомау
698,frisch::A,fresco,сатæг
699,feucht::A,húmedo,уымӕл
700,nass::A,mojado,хуылыдз
701,trocken::A,seco,хус
702,voll::A,lleno,дзаг
703,voll::A,lleno,йедзаг 
704,leer::A,vacío,афтид
705,offen::A,abierto,гом
706,geschlossen::A,cerrado,æхгæд
707,sauber::A,limpio,сыгъдæг
708,schmutzig::A,sucio,чъиллон
709,roh::A,crudo,хом
710,reif::A,maduro,рӕгъӕд
711,lecker::A,rico,хӕрзад
712,lecker::A,sabroso,хӕрзад
713,süß::A,dulce,адджын
714,bitter::A,amargo,судзаг
715,sauer::A,agrio,туаг
716,hell::A,claro,рухс
717,dunkel::A,oscuro,талынг
718,schwarz::A,negro,сау
719,weiß::A,blanco,урс
720,rot::A,rojo,сырх
721,gelb::A,amarillo,бур
722,blau::A,azul,цъӕх
723,grün::A,verde,цъӕх
724,grün::A,verde,кӕрдӕгхуыз
725,grau::A,gris,цъӕх
726,grau::A,gris,фӕныкхуыз
727,bunt::A,multicolor,хъулон
728,bunt::A,multicolor,гæрæм
729,billig::A,barato,аслам
730,teuer::A,caro,зынаргъ
731,wertvoll::A,valioso,зынаргъ
732,wertvoll::A,precioso,зынаргъ
733,blind::A,ciego,куырм
734,taub::A,sordo,къуырма
735,kräftig::A,fuerte,домбай
736,kräftig::A,fuerte,тыхджын
737,stark::A,fuerte,тыхджын
738,stark::A,vigoroso,тыхджын
739,schwach::A,débil,ӕнӕбон
740,fett::A,obeso,нард
741,schlank::A,esbelto,гуырвидыц
742,schlank::A,esbelto,хæрзконд
743,schlank::A,esbelto,рæхснæг
744,schlank::A,esbelto,сагамад
745,hübsch::A,mono,аив
746,hübsch::A,mono,рӕсугъд
747,hübsch::A,guapo,аив
748,hübsch::A,guapo,рӕсугъд
749,böse::A,malo,фыдзӕрдӕ
750,dumm::A,tonto,ӕдылы
751,dumm::A,estúpido,ӕдылы
752,faul::A,vago,зивӕг
753,faul::A,vago,зивӕггӕнаг
754,faul::A,perezoso,зивӕг
755,faul::A,perezoso,зивӕггӕнаг
756,fleißig::A,aplicado,æнæзивæг
757,fleißig::A,aplicado,æнувыд
758,fleißig::A,diligente,æнæзивæг
759,fleißig::A,diligente,æнувыд
760,geizig::A,avaro,чъынды
761,geizig::A,avaro,æлгъин
762,geizig::A,avaro,мæрддзæст
763,klug::A,sensato,зондджын
764,klug::A,inteligente,зондджын
