,Concept_ID,sl,ca
125,Ufer::N,brég,riba
126,Küste::N,obála,costa
127,Küste::N,obréžje,costa
128,Festland::N,celína,terra ferma
129,Festland::N,kopnína,terra ferma
130,Meer::N,mórje,mar
131,Bucht::N,zalív,cala
132,Bucht::N,zalív,badia
133,Insel::N,ôtok,illa
134,Blume::N,cvetlíca,flor
135,Gras::N,tráva,herba
136,Wurzel::N,korenína,rel
137,Wurzel::N,korenína,arrel
138,Baum::N,drevó,arbre
139,Stamm::N,dêblo,tronc
140,Rinde::N,lúbje,escorça
141,Rinde::N,skórja,escorça
142,Ast::N,véja,branca
143,Zweig::N,véja,ram
144,Blatt::N,líst,fulla
145,Birke::N,bréza,bedoll
146,Kiefer[Baum]::N,bòr,pi
147,Weide[Baum]::N,vŕba,salze
148,Tanne::N,hója,avet
149,Horn::N,róg,corn
150,Horn::N,róg,banya
151,Feder::N,peró,ploma
152,Fell::N,kŕzno,pell
153,Flügel::N,krílo,ala
154,Klaue::N,párkelj,urpa
155,Kralle::N,krémpelj,grapa
156,Schwanz::N,rèp,cua
157,Ei::N,jájce,ou
158,Nest::N,gnézdo,niu
159,Bau::N,brlòg,cau
160,Tier::N,živál,animāl
161,Herde::N,čréda,ramat
162,Kuh::N,kráva,vaca
163,Bulle::N,bìk,toro
164,Pferd::N,kònj,cavāll
165,Schaf::N,ôvca,be
166,Schaf::N,ôvca,ovella
167,Schwein::N,svínja,bacó
168,Hund::N,pès,ca
169,Hund::N,pès,gos
170,Katze::N,máčka,gat
171,Bär::N,mêdved,ós
172,Eichhörnchen::N,véverica,esquirol
173,Elch::N,lós,ant
174,Fuchs::N,lisíca,guilla
175,Hase::N,zájec,llebre
176,Maus::N,mìš,ratolí
177,Wolf::N,vólk,llop
178,Vogel::N,ptìč,au
179,Vogel::N,ptìč,ocēll
180,Vogel::N,ptíca,au
181,Vogel::N,ptíca,ocēll
182,Schwarm::N,játa,bandada
183,Huhn::N,kokóš,gallina
184,Hahn::N,petêlin,gall
185,Gans::N,gós,oca
186,Adler::N,ôrel,àguila
187,Ente::N,ráca,ànec
188,Eule::N,sôva,òliba
189,Eule::N,sôva,mussol
190,Kranich::N,žerjàv,grua
191,Krähe::N,vrána,cornella
192,Kuckuck::N,kúkavica,cucut
193,Schwan::N,labód,cigne
194,Fisch::N,ríba,peix
195,Barsch::N,ostríž,perca
196,Hecht::N,ščúka,lluç
197,Schlange[Tier]::N,káča,serp
198,Wurm::N,čr̀v,cuc
199,Wurm::N,glísta,cuc
200,Spinne::N,pájek,aranya
201,Ameise::N,mrávlja,formiga
202,Laus::N,úš,poll
203,Mücke::N,komár,mosquit
204,Fliege::N,múha,mosca
205,Schmetterling::N,metúlj,papallona
206,Beere::N,jágoda,baia
207,Apfel::N,jábolko,poma
208,Pilz::N,góba,bolet
209,Zwiebel::N,čebúla,ceba
210,Saat::N,séme,sembra
211,Korn::N,zŕno,gra
212,Heu::N,senó,fenc
213,Schale::N,lupína,closca
214,Grube::N,jáma,sot
215,Grube::N,jáma,clot
216,Falle::N,pást,trampa
217,Schlinge::N,zánka,baga
218,Schlinge::N,pêtlja,baga
219,Spur::N,sléd,traça
220,Asche::N,pepél,cendra
221,Dreck::N,bláto,llot
222,Eisen::N,želézo,ferro
223,Gold::N,zlató,or
224,Silber::N,srebró,plata
225,Kohle::N,ógel,carbó
226,Glas::N,stêklo,vidre
227,Lehm::N,ílo,fang
228,Lehm::N,ílo,argila
229,Sand::N,pések,arena
230,Mensch::N,člôvek,humà
231,Mensch::N,člôvek,persona
232,Mann::N,móž,home
233,Mann::N,môški,home
234,Frau::N,gospá,dona
235,Frau::N,žénska,dona
236,Kind::N,déte,nen
237,Kind::N,otròk,nen
238,Junge::N,fànt,noi
239,Junge::N,déček,noi
240,Mädchen::N,deklè,noia
241,Mädchen::N,déklica,noia
242,Familie::N,družína,família
243,Großvater::N,dèd,avi
244,Großvater::N,dédek,avi
245,Großmutter::N,bábica,àvia
246,Eltern::N,stárši,pares
247,Vater::N,ôče,pare
248,Mutter::N,máma,mare
249,Sohn::N,sín,fill
250,Tochter::N,hčí,filla
251,Tochter::N,hčérka,filla
252,Bruder::N,bràt,germà
253,Schwester::N,sêstra,germana
254,Onkel::N,újec,oncle
255,Onkel::N,stríc,oncle
256,Tante::N,têta,tia
257,Tante::N,strína,tia
258,Ehemann::N,móž,espòs
259,Ehemann::N,sopróg,espòs
260,Ehefrau::N,žêna,muller
261,Ehefrau::N,sopróga,muller
262,Freude::N,rádost,goig
263,Freude::N,rádost,alegria
264,Freude::N,vesêlje,goig
265,Freude::N,vesêlje,alegria
266,Gelächter::N,sméh,riallada
267,Gelächter::N,grohòt,riallada
268,Glück::N,sréča,felicitat
269,Kummer::N,gorjé,pena
270,Wunsch::N,žêlja,desig
271,Lust::N,poželênje,ganes
272,Geist::N,dúša,ment
273,Geist::N,dúša,esperit
274,Gedanke::N,mísel,pensament
275,Gedächtnis::N,pámet,memòria
276,Sinn::N,pomèn,solta
277,Sinn::N,pomèn,sentit
278,Sinn::N,smísel,solta
279,Sinn::N,smísel,sentit
280,Grund::N,vzròk,raó
281,Grund::N,vzròk,causa
282,Wahrheit::N,resníca,veritāt
283,Gespräch::N,pogóvor,conversa
284,Märchen::N,právljica,conte
285,Erzählung::N,povést,narració
286,Nachricht::N,sporočílo,missatge
287,Neuigkeit::N,novóst,novetat
288,Name::N,imé,nom
289,Rätsel::N,ugánka,endevinalla
290,Rede::N,góvor,discurs
291,Sprache::N,jêzik,llēngua
292,Stimme::N,glás,veu
293,Wort::N,beséda,mot
294,Wort::N,beséda,paraula
295,Zeichen::N,znák,signe
296,Zeichen::N,znák,senyal
297,Ruf::N,klíc,crida
298,Lärm::N,hrúp,sorōll
299,Lärm::N,trúšč,sorōll
300,Laut::N,glás,so
301,Ton::N,tón,to
302,Lied::N,pésem,cançó
303,Ruhe::N,pokòj,calma
304,Ruhe::N,pokòj,silenci
305,Leute::N,ljudjé,gent
306,Volk::N,národ,poble
307,Arbeit::N,délo,labor
308,Arbeit::N,délo,treball
309,Gast::N,gòst,hoste
310,Geschenk::N,darílo,regal
311,Geschenk::N,darílo,obsequi
312,Spiel::N,ígra,joc
313,Gesellschaft::N,drúžba,companyia
314,Hilfe::N,pomóč,ajut
315,Freund::N,prijátelj,amīc
316,Kamerad::N,továriš,company
317,Kamerad::N,továriš,camarada
318,Angelegenheit::N,zadéva,afer
319,Angelegenheit::N,zadéva,assumpte
320,Anzahl::N,števílo,nombre
321,Anzahl::N,števílo,quantitat
322,Art::N,vŕsta,tipus
323,Art::N,vŕsta,classe
324,Stück::N,kós,peça
325,Teil::N,dél,part
326,Hälfte::N,polovíca,meitat
327,Kreis::N,króg,cercle
328,Kreis::N,kolobár,cercle
329,Kreuz::N,kríž,creu
330,Linie::N,próga,línia
331,Strich::N,čŕta,traç
332,Strich::N,čŕta,ratlla
333,Abstand::N,preslédek,distància
334,Entfernung::N,oddáljenost,distància
335,Gegend::N,kràj,regió
336,Gegend::N,kràj,contrada
337,Gegend::N,dežêla,regió
338,Gegend::N,dežêla,contrada
339,Platz::N,prôstor,cabuda
340,Ort::N,mésto,lloc
341,Seite::N,bòk,banda
342,Seite::N,bòk,costāt
343,Seite::N,strán,banda
344,Seite::N,strán,costāt
345,Mitte::N,sredína,mig
346,Mitte::N,sredína,centre
347,Gegenstand::N,prédmet,objecte
348,Sache::N,réč,cosa
349,Sache::N,stvár,cosa
350,Rand::N,kràj,vora
351,Rand::N,kràj,marge
352,Kante::N,rób,caire
353,Kante::N,rób,cantell
354,Ecke::N,vogál,cantonada
355,Spitze::N,óst,punta
356,Ende::N,kônec,cap
357,Loch::N,lúknja,forāt
358,Winkel::N,kót,racó
359,Muster::N,vzórec,dibuix
360,Muster::N,vzórec,disseny
361,Größe::N,veličína,grandària
362,Länge::N,dolžína,longitud
363,Höhe::N,vršína,altura
364,Höhe::N,vršína,altitud
365,Gewicht::N,téža,pes
366,Menge::N,količína,quantitat
367,Haufen::N,kùp,pila
368,Haufen::N,kopíca,pila
369,Reihe::N,níz,fila
370,Reihe::N,vŕsta,fila
371,Boot::N,čóln,bot
372,Boot::N,čóln,barca
373,Ruder::N,vêslo,rem
374,Schlitten::N,saní,trineu
375,Ski::N,smučí,esquí
376,Lagerfeuer::N,táborni ôgenj,foc de campament
377,Last::N,tôvor,càrrega
378,Gang::N,hòd,marxa
379,Schritt::N,korák,pas
380,Norden::N,séver,nord
381,Süden::N,júg,sud
382,Westen::N,zapàd,oest
383,Westen::N,zapàd,occident
384,Osten::N,vzhòd,est
385,Osten::N,vzhòd,orient
386,Holz::N,lés,fusta
387,Brett::N,deskà,taula
388,Platte::N,plôča,placa
389,Stütze::N,opóra,suport
390,Stütze::N,zaslómba,suport
391,Stange::N,gréd,vara
392,Stock::N,pálica,pal
393,Stab::N,pálica,bastó
394,Rohr::N,cév,tub
395,Haus::N,híša,casa
396,Heim::N,dóm,llar
397,Ofen::N,péč,estufa
398,Fußboden::N,pòd,terra
399,Tisch::N,míza,taula
400,Stuhl::N,stòl,cadira
401,Wiege::N,zíbel,bressol
402,Bett::N,póstelja,llit
403,Regal::N,políca,prestatgeria
404,Kiste::N,zabòj,caixa
405,Fenster::N,ôkno,finestra
406,Tür::N,vráta,porta
407,Tor::N,velíka vráta,portal
408,Zaun::N,ográja,tanca
409,Dach::N,stréha,teulada
410,Leiter::N,léstev,escala
411,Leiter::N,léstev,escala de mà
412,Besen::N,mêtla,escombra
413,Spaten::N,lopáta,pala
414,Schaufel::N,lopáta,pala
415,Gabel::N,vílice,forquilla
416,Löffel::N,žlíca,cullera
417,Messer::N,nòž,coltell
418,Nagel::N,žebèlj,clau
419,Netz::N,mréža,filat
420,Haken::N,kljúka,ganxo
421,Griff::N,ročáj,puny
422,Griff::N,ročáj,mànec
423,Griff::N,oprijèm,puny
424,Griff::N,oprijèm,mànec
425,Schloss::N,ključávnica,pany
426,Bild::N,slíka,imatge
427,Figur::N,figúra,figura
428,Figur::N,postáva,figura
429,Puppe::N,lútka,nina
430,Beutel::N,môšnja,bossa
431,Bündel::N,cúla,feix
432,Bündel::N,cúla,paquet
433,Bündel::N,svéženj,feix
434,Bündel::N,svéženj,paquet
435,Tasche::N,tórba,bossa
436,Tasche::N,tobôlec,bossa
437,Eimer::N,vêdro,galleda
438,Deckel::N,pokròv,tapa
439,Deckel::N,pokròv,tapadora
440,Deckel::N,poklópec,tapa
441,Deckel::N,poklópec,tapadora
442,Geschirr::N,posóda,vaixella
443,Sack::N,vréča,sac
444,Sack::N,vréča,saca
445,Tasse::N,skodélica,tassa
446,Topf::N,lônec,pot
447,Topf::N,lônec,olla
448,Kessel::N,kôtel,caldera
449,Essen::N,hrána,àpat
450,Essen::N,hrána,menjada
451,Nahrung::N,živílo,aliment
452,Speise::N,jéd,plat
453,Fleisch::N,mesó,carn
454,Getreide::N,žíto,cereals
455,Brei::N,káša,puré
456,Brot::N,krùh,pa
457,Scheibe::N,réženj,tall
458,Scheibe::N,réženj,llesca
459,Fett::N,mást,greix
460,Fett::N,maščôba,greix
461,Butter::N,máslo,mantega
462,Öl::N,ólje,oli
463,Salz::N,sól,sal
464,Suppe::N,júha,sopa
465,Honig::N,méd,mel
466,Milch::N,mléko,llet
467,Tee::N,čáj,te
468,Leder::N,úsnje,cuir
469,Wolle::N,vólna,llana
470,Stoff::N,blagó,tela
471,Nadel::N,ígla,agulla
472,Faden::N,nít,fil
473,Knopf::N,gúmb,botó
474,Knoten::N,vôzel,nus
475,Farbe::N,bárva,pintura
476,Kleidung::N,obléka,roba
477,Kleidung::N,obléka,vestits
478,Hemd::N,srájca,camisa
479,Kragen::N,ovrátnik,coll
480,Ärmel::N,rokáv,màniga
481,Hose::N,hláče,pantalōns
482,Gürtel::N,pás,cinturó
483,Mütze::N,kápa,gorra
484,Mütze::N,čépica,gorra
485,Schuh::N,čévelj,sabata
486,Stiefel::N,škórenj,bota
487,Ring::N,pŕstan,anell
488,Band::N,trák,veta
489,Band::N,trák,cinta
490,Kamm::N,glavník,pinta
491,Spiegel::N,zrcálo,mirāll
492,Spiegel::N,ogledálo,mirāll
493,Riemen::N,jêrmen,corretja
494,Schnur::N,vŕvca,corda
495,Leine::N,konôpec,corretja
496,Decke::N,odéja,manta
497,Decke::N,odéja,flassada
498,Kissen::N,blazína,coixí
499,Tuch::N,pŕt,mocador
500,Tuch::N,rúta,mocador
501,Handtuch::N,brisáča,tovallola
502,Kraft::N,síla,força
503,Stärke::N,jákost,vigor
504,Gesundheit::N,zdrávje,salut
505,Krankheit::N,bolézen,malaltia
506,Schmerz::N,ból,dolor
507,Schmerz::N,bolečína,dolor
508,Wunde::N,rána,ferida
509,Fieber::N,vročína,febre
510,Arznei::N,lék,medicament
511,Arznei::N,zdravílo,medicament
512,Brücke::N,móst,pont
513,Brunnen::N,vodnják,pou
514,Weide::N,páša,pastura
515,Pfad::N,stezà,senda
516,Pfad::N,stezà,sender
517,Weg::N,pót,camí
518,Straße::N,césta,carretera
519,Dorf::N,vás,poble
520,Stadt::N,mésto,ciutāt
521,Brief::N,písmo,carta
522,Buch::N,knjíga,llibre
523,Buchstabe::N,čŕka,lletra
524,Zeitung::N,čásnik,diāri
525,Leben::N,življênje,vida
526,Tod::N,smŕt,mort
527,Grab::N,gròb,tomba
528,Kirche::N,cérkev,església
529,Sünde::N,gréh,pecat
530,Gott::N,bóg,déu
531,Arbeiter::N,délavec,obrer
532,Chef::N,šéf,cap
533,Meister::N,mójster,mestre
534,Arzt::N,zdravník,metge
535,Lehrer::N,učítelj,mestre
536,Geld::N,denár,dinērs
537,Geschäft::N,kupčíja,negoci
538,Laden::N,trgovína,tenda
539,Laden::N,trgovína,botiga
540,Preis::N,céna,preu
541,Ware::N,róba,mercaderia
542,Nutzen::N,príd,profit
543,Reichtum::N,bogástvo,riquesa
544,Welt::N,svét,món
545,Land::N,dežêla,país
546,Staat::N,držáva,estat
547,König::N,králj,rei
548,Macht::N,oblást,poder
549,Macht::N,oblást,potència
550,Grenze::N,mêja,frontera
551,Krieg::N,vôjna,guerra
552,Feind::N,sovrážnik,enemic
553,Gewalt::N,nasílje,violència
554,Kampf::N,bòj,lluita
555,Kampf::N,bórba,lluita
556,Bogen[Waffe]::N,lók,arc
557,Pfeil::N,puščíca,fletxa
558,Gewehr::N,púška,fusell
559,Gewehr::N,púška,escopeta
560,Fehler::N,zmóta,falta
561,Lüge::N,láž,mentida
562,Schaden::N,okvára,dany
563,Unglück::N,nesréča,desgràcia
564,Schuld::N,krívda,culpa
565,Alter::N,dôba,edat
566,Schluss::N,kônec,fi
567,Schluss::N,kônec,final
568,Zeit::N,čàs,temps
569,Tag::N,dán,dia
570,Morgen::N,jútro,matí
571,Mittag::N,póldan,migdia
572,Abend::N,večér,vespre
573,Nacht::N,nóč,nit
574,Woche::N,téden,setmana
575,Monat::N,mésec,mes
576,Jahr::N,léto,any
577,Frühling::N,pomlád,primavera
578,Sommer::N,polétje,estīu
579,Herbst::N,jesén,tardor
580,Winter::N,zíma,hivērn
581,Januar::N,jánuar,gener
582,Februar::N,fébruar,febrer
583,März::N,márec,març
584,April::N,apríl,abril
585,Mai::N,máj,maig
586,Juni::N,júnij,juny
587,Juli::N,júlij,juliol
588,August::N,avgúst,agost
589,September::N,septêmber,setembre
590,Oktober::N,október,octubre
591,November::N,novêmber,novembre
592,Dezember::N,decémber,desembre
593,Montag::N,ponedéljek,dilluns
594,Dienstag::N,tôrek,dimarts
595,Mittwoch::N,sréda,dimecres
596,Donnerstag::N,četŕtek,dijous
597,Freitag::N,pétek,divendres
598,Samstag::N,sobóta,dissabte
599,Sonntag::N,nedélja,diumenge
600,groß::A,vêlik,gros
601,klein::A,májhen,petīt
602,lang::A,dólg,llarg
603,kurz::A,krátek,curt
604,breit::A,širòk,ample
605,schmal::A,ózek,estret
606,dicht::A,góst,dens
607,dick[Gegenstand]::A,dêbel,gruixūt
608,dünn::A,tánek,prim
609,fein::A,drôben,fi
610,fest::A,tŕden,ferm
611,fest::A,tŕden,sòlid
612,flach::A,plán,pla
613,flach::A,plòsk,pla
614,glatt::A,gládek,llis
615,hart::A,tŕd,dur
616,weich::A,mehák,tou
617,rund::A,okrógel,rodó
618,spitz::A,šílast,punxegut
619,scharf::A,óster,agut
620,stumpf::A,tóp,rom
621,stumpf::A,tóp,esmussat
622,stumpf::A,skŕhan,rom
623,stumpf::A,skŕhan,esmussat
624,schwer::A,têžek,pesāt
625,schön::A,lép,bonīc
626,schön::A,krásen,bonīc
627,heiß::A,vròč,calēnt
628,warm::A,tôpel,càlid
629,kalt::A,mŕzel,fred
630,kalt::A,hláden,fred
631,kühl::A,hláden,fresc
632,frisch::A,svéž,fresc
633,feucht::A,vlážen,humit
634,nass::A,móker,mullat
635,trocken::A,súh,sec
636,voll::A,póln,ple
637,leer::A,prázen,buit
638,offen::A,odpŕt,obert
639,geschlossen::A,zapŕt,tancat
640,sauber::A,číst,net
641,sauber::A,líčen,net
642,schmutzig::A,umázan,brut
643,roh::A,suròv,cru
644,reif::A,zrèl,madur
645,lecker::A,okúsen,deliciós
646,süß::A,sládek,dolç
647,bitter::A,grenák,amarg
648,sauer::A,kísel,agre
649,hell::A,svetèl,clar
650,dunkel::A,temèn,fosc
651,schwarz::A,čŕn,negre
652,weiß::A,bél,blanc
653,rot::A,rdèč,vermēll
654,gelb::A,žólt,groc
655,gelb::A,rumèn,groc
656,blau::A,móder,blau
657,grün::A,zelèn,verd
658,grau::A,sív,gris
659,bunt::A,písan,multicolor
660,billig::A,pocéni,barat
661,teuer::A,drág,car
662,wertvoll::A,dragocén,preciós
663,blind::A,slép,cec
664,taub::A,glúh,sord
665,kräftig::A,močán,fort
666,kräftig::A,močán,vigorós
667,stark::A,ják,fort
668,schwach::A,šíbek,feble
669,fett::A,dêbel,gras
670,schlank::A,vítek,esvelt
671,hübsch::A,lép,maco
672,böse::A,zèl,dolent
673,böse::A,hudôben,dolent
674,dumm::A,glúp,ximple
675,dumm::A,glúp,estúpid
676,dumm::A,bédast,ximple
677,dumm::A,bédast,estúpid
678,faul::A,lén,gandūl
679,faul::A,lén,mandrós
680,fleißig::A,marljív,diligēnt
681,geizig::A,škŕt,avar
682,klug::A,pámeten,intel·ligent
683,geschickt::A,spréten,hàbil
684,lieb::A,míl,amat
685,lieb::A,míl,estimat
686,lieb::A,ljúb,amat
687,lieb::A,ljúb,estimat
688,lustig::A,vesél,alegre
689,sanft::A,láhek,suau
690,hungrig::A,láčen,afamat
691,krank::A,bolán,malālt
692,nackt::A,nág,nu
693,traurig::A,túžen,trist
694,lebendig::A,žív,viu
695,gut::A,dóber,bo
696,schlecht::A,malopríden,dolēnt
697,richtig::A,pravílen,just
698,richtig::A,pravílen,correcte
699,schlimm::A,húd,greu
700,wahr::A,resníčen,vertader
701,wahr::A,resníčen,veritable
702,alt::A,stàr,vell
703,neu::A,nòv,nou
704,ehemalig::A,nekdánji,antic
705,alt[Lebewesen]::A,stàr,vell
706,jung::A,mlád,jove
707,arm::A,ubóg,pobre
708,arm::A,réven,pobre
709,reich::A,bogàt,ric
710,bekannt::A,znán,conegut
711,berühmt::A,sláven,famós
712,berühmt::A,znamenít,famós
713,fremd::A,túj,estrany
714,verschieden::A,razlíčen,diferent
715,nah::A,blížnji,pròxim
716,fern::A,dáleč,llunyà
717,fern::A,dáleč,distant
718,linker::A,lévi,esquerre
719,rechter::A,désni,dret
720,anderer::A,drúgi,altre
721,erster::A,pŕvi,primer
722,zweiter::A,drúgi,segon
723,dritter::A,trétji,tercer
724,letzter::A,poslédnji,últim
725,allein::ADV,sám,sol
726,auf einmal::ADV,obênem,d'una vegada
727,zusammen::ADV,skúpaj,junt
728,lange::ADV,dólgo,molt de temps
729,plötzlich::ADV,náglo,de cop
730,plötzlich::ADV,náglo,de sobte
731,plötzlich::ADV,nenádoma,de cop
732,plötzlich::ADV,nenádoma,de sobte
733,sofort::ADV,prècej,de seguida
734,später::ADV,poznêje,més tard
735,jetzt::ADV,zdàj,ara
736,heute::ADV,dánes,avūi
737,morgen::ADV,jútri,demà
738,bald::ADV,kmálu,aviāt
739,dann::ADV,nató,després
740,gestern::ADV,včéraj,ahir
741,einst::ADV,nékdaj,anteriorment
742,damals::ADV,tedàj,llavōrs
743,damals::ADV,tedàj,aleshores
744,damals::ADV,takràt,llavōrs
745,damals::ADV,takràt,aleshores
746,danach::ADV,potèm,després
747,vorher::ADV,poprèj,abāns
748,zuerst::ADV,spŕva,primer
749,einmal::ADV,ênkrat,una vegada
750,manchmal::ADV,včásih,de vegades
751,oft::ADV,pogósto,sovint
752,immer::ADV,védno,sempre
753,immer::ADV,zméraj,sempre
754,niemals::ADV,nikdàr,no ... mai
755,hier::ADV,tù,aquí
756,hier::ADV,túkaj,aquí
757,hierhin::ADV,sèmkaj,per aquí
758,von hier::ADV,od tú,des d'aquí
759,dort::ADV,tàm,allí
760,dorthin::ADV,tjà,hi
761,geradeaus::ADV,rávno napréj,tot dret
762,vorwärts::ADV,napréj,endavānt
763,rückwärts::ADV,zádaj,endarrera
764,zurück::ADV,nazáj,darrere
765,unten::ADV,dôli,a baix
766,unten::ADV,spôdaj,a baix
767,hinab::ADV,dôl,cap avall
768,oben::ADV,gôri,dalt
769,oben::ADV,zgôraj,dalt
770,hinauf::ADV,gôr,cap amunt
771,überall::ADV,povsód,pertot
772,überall::ADV,povsód,per tot arreu
773,nicht::ADV,ne,no
774,ein wenig::ADV,málo,una mica
775,kaum::ADV,kómaj,a penes
776,sehr::ADV,zeló,molt
777,so::ADV,takó,així
778,noch::ADV,še,encara
779,nur::ADV,samó,només
780,schon::ADV,žè,ja
781,wieder::ADV,spét,de nou
782,vergebens::ADV,zamàn,en va
783,vergebens::ADV,zastónj,en va
784,vor::PRP,pred,davānt
785,vor::PRP,pred,enfront de
786,hinter::PRP,za,darrera
787,unter::PRP,pod,sota
788,durch::PRP,skózi,per
789,neben::PRP,kràj,al costāt de
790,neben::PRP,póleg,al costāt de
791,zwischen::PRP,med,entre
792,zwischen::PRP,izmed,entre
793,wegen::PRP,zarádi,a causa de
794,dies::PRN,tó,aquest
795,das::PRN,tó,això
796,alles::PRN,vsè,tot
797,ich::PRN,jàz,jo
798,du::PRN,tí,tu
799,er::PRN,òn,ell
800,wir::PRN,mí,nosaltres
801,ihr::PRN,ví,vosaltres
802,sie::PRN,ôni,ells
803,sie::PRN,ôni,elles
804,was::FPRN,káj,què
805,wer::FPRN,kdó,qui
806,wo::FADV,kjé,on
807,wohin::FADV,kám,cap a on
808,wie::FADV,kakó,com
809,warum::FADV,zakáj,per què
810,wieviel::FNUM,kóliko,quant
811,eins::NUM,êden,u
812,zwei::NUM,dvá,dos
813,drei::NUM,trí,tres
814,vier::NUM,štíri,quatre
815,fünf::NUM,pét,cinc
816,sechs::NUM,šést,sis
817,sieben::NUM,sédem,set
818,acht::NUM,ósem,vuit
819,neun::NUM,devét,nou
820,zehn::NUM,desét,deu
821,elf::NUM,enájst,onze
822,zwölf::NUM,dvánajst,dotze
823,zwanzig::NUM,dvájset,vint
824,dreißig::NUM,trídeset,trenta
825,vierzig::NUM,štírideset,quaranta
826,fünfzig::NUM,pétdeset,cinquanta
827,sechzig::NUM,šéstdeset,seixanta
828,siebzig::NUM,sédemdeset,setanta
829,achtzig::NUM,ósemdeset,vuitanta
830,neunzig::NUM,devétdeset,noranta
831,hundert::NUM,stó,cent
832,tausend::NUM,tísoč,mil
833,und::CNJ,in,i
834,oder::CNJ,áli,o
835,stehen::V,státi,estar de peu
