,Concept_ID,ga,ba
93,Regen::N,fearthainn,ямғыр
94,Schnee::N,sneachta,ҡар
95,Eis::N,oighear,боҙ
96,Frost::N,sioc,һалҡын
97,Kälte::N,fuacht,һыуыҡ
98,Hitze::N,teas,томра
99,Hitze::N,teas,эҫелек
100,Hitze::N,teocht,томра
101,Hitze::N,teocht,эҫелек
102,Raureif::N,sioc bán,ҡырау
103,Regenbogen::N,stua ceatha,йәйғор
104,Regenbogen::N,bogha báistí,йәйғор
105,Donner::N,toirneach,күк күкрәү
106,Strömung::N,sruth,ағым
107,Tropfen::N,deoir,тамсы
108,Schaum::N,cúr,күбек
109,Schmutz::N,salachar,батҡаҡ
110,See::N,loch,күл
111,Sumpf::N,portach,һаҙлык
112,Moor::N,caorán,һаҙ
113,Moor::N,móinteán,һаҙ
114,Wiese::N,cluain,болон
115,Wiese::N,móinéar,болон
116,Wald::N,coill,урман
117,Wald::N,foraois,урман
118,Hügel::N,ard,түбә
119,Anhöhe::N,ard,түбә
120,Anhöhe::N,ard,ҡалҡыулыҡ
121,Anhöhe::N,ardán,түбә
122,Anhöhe::N,ardán,ҡалҡыулыҡ
123,Berg::N,sliabh,тау
124,Gipfel::N,barr,түбә
125,Gipfel::N,mullach,түбә
126,Höhle::N,uaimh,мәмерйә
127,Höhle::N,pluais,мәмерйә
128,Abhang::N,fána,ипкен
129,Quelle::N,foinse,шишмә
130,Bach::N,sruthán,шишмә
131,Fluss::N,abhainn,йылға
132,Ufer::N,bruach,яр
133,Küste::N,cósta,яр буйы
134,Küste::N,cladach,яр буйы
135,Festland::N,míntír,ҡоро ер
136,Meer::N,muir,диңгез
137,Meer::N,farraige,диңгез
138,Bucht::N,bá,бухта
139,Bucht::N,cuan,бухта
140,Insel::N,inis,үтрау
141,Insel::N,oileán,үтрау
142,Blume::N,bláth,сәскә
143,Gras::N,féar,үлән
144,Wurzel::N,rúta,тамыр
145,Wurzel::N,fréamh,тамыр
146,Baum::N,crann,ағас
147,Stamm::N,stoc,олон
148,Stamm::N,stoc,көбәк
149,Stamm::N,tamhan,олон
150,Stamm::N,tamhan,көбәк
151,Rinde::N,coirt,ҡабыҡ
152,Rinde::N,craiceann,ҡабыҡ
153,Ast::N,géag,ботаҡ
154,Zweig::N,géag,ботаҡ
155,Zweig::N,géag,тармаҡ
156,Zweig::N,craobh,ботаҡ
157,Zweig::N,craobh,тармаҡ
158,Blatt::N,duille,япраҡ
159,Blatt::N,duilleog,япраҡ
160,Birke::N,beith,ҡайын
161,Birke::N,crann beithe,ҡайын
162,Kiefer[Baum]::N,péine,ҡарғай
163,Weide[Baum]::N,saileach,тал
164,Tanne::N,giúis,шыршы
165,Horn::N,adharc,мөғөҙ
166,Feder::N,cleite,ҡауырһын
167,Fell::N,clúmh,тире
168,Flügel::N,eite,ҡанат
169,Flügel::N,sciathán,ҡанат
170,Klaue::N,crúb,тырнаҡ
171,Klaue::N,crobh,тырнаҡ
172,Kralle::N,crobh,аяҡ
173,Schwanz::N,eireaball,ҡойроҡ
174,Ei::N,ubh,йомортҡа
175,Nest::N,nead,оя
176,Bau::N,brocais,оң
177,Tier::N,ainmhí,жайуан
178,Tier::N,ainmhí,йыртҡыс
179,Tier::N,beithíoch,жайуан
180,Tier::N,beithíoch,йыртҡыс
181,Herde::N,tréad,көтөү
182,Kuh::N,bó,һыйыр
183,Bulle::N,tarbh,үгеҙ
184,Pferd::N,each,ат
185,Pferd::N,capall,ат
186,Schaf::N,caora,һарыҡ
187,Schwein::N,muc,сусҡа
188,Hund::N,madra,эт
189,Katze::N,cat,бесәй
190,Bär::N,béar,айыу
191,Eichhörnchen::N,iora,тейен
192,Elch::N,eilc,мышы
193,Fuchs::N,sionnach,төлкө
194,Fuchs::N,madra rua,төлкө
195,Hase::N,giorria,ҡуян
196,Maus::N,luch,сысҡан
197,Wolf::N,mac tíre,бүре
198,Vogel::N,éan,ҡош
199,Schwarm::N,saithe,көтөү
200,Huhn::N,cearc,тауыҡ
201,Hahn::N,coileach,әтәс
202,Gans::N,gé,ҡаҙ
203,Adler::N,iolar,бөркөт
204,Ente::N,lacha,өйрәк
205,Eule::N,ulchabhán,өкө
206,Eule::N,ulchabhán,ябалаҡ
207,Kranich::N,grús,торна
208,Krähe::N,caróg,ҡарға
209,Krähe::N,préachán,ҡарға
210,Kuckuck::N,cuach,кәкүк
211,Schwan::N,eala,аҡҡош
212,Fisch::N,iasc,балыҡ
213,Barsch::N,péirse,алабуға
214,Hecht::N,liús,суртан
215,Schlange[Tier]::N,nathair,йылан
216,Wurm::N,péist,селяүсен
217,Spinne::N,damhán alla,үрмәксе
218,Ameise::N,seangán,ҡырмыҫҡа
219,Laus::N,míol,бет
220,Mücke::N,muiscít,серәкәй
221,Mücke::N,corrmhíol,серәкәй
222,Fliege::N,cuil,себен
223,Fliege::N,cuileog,себен
224,Schmetterling::N,féileacán,күбәләк
225,Beere::N,caor,еләк
226,Apfel::N,úll,алма
227,Pilz::N,beacán,бәшмәк
228,Pilz::N,muisiriún,бәшмәк
229,Zwiebel::N,oinniún,һуган
230,Saat::N,síol,орлоҡ
231,Korn::N,gráinne,иген
232,Heu::N,féar,бесән
233,Schale::N,scaimh,ҡабыҡ
234,Grube::N,poll,соҡор
235,Falle::N,gaiste,тоҙак
236,Falle::N,gaiste,ҡапҡан
237,Schlinge::N,sealán,тоҙак
238,Spur::N,rian,әҫер
239,Asche::N,luaith,көл
240,Dreck::N,salachar,батҡаҡ
241,Eisen::N,iarann,тимер
242,Gold::N,ór,алтын
243,Silber::N,airgead,көмөш
244,Kohle::N,gual,күмер
245,Glas::N,gloine,быяла
246,Lehm::N,cré,балсыҡ
247,Sand::N,gaineamh,ҡом
248,Mensch::N,duine,кеше
249,Mann::N,fear,ир
250,Frau::N,bean,ҡатын
251,Kind::N,gasúr,бала
252,Kind::N,páiste,бала
253,Junge::N,buachaill,малай
254,Mädchen::N,cailín,ҡыҙ
255,Mädchen::N,cailín,ҡыҙыҡай
256,Familie::N,teaghlach,ғаилә
257,Familie::N,comhluadar,ғаилә
258,Großvater::N,seanathair,олатай
259,Großmutter::N,seanmháthair,әбәй
260,Eltern::N,tuismitheoirí,ата-әсә
261,Vater::N,athair,атай
262,Mutter::N,máthair,әсә
263,Sohn::N,mac,ул
264,Tochter::N,iníon,ҡыҙ
265,Bruder::N,deartháir,агай
266,Schwester::N,deirfiúr,алай
267,Schwester::N,deirfiúr,һеңле
268,Onkel::N,uncail,ағай
269,Tante::N,aintín,апай
270,Ehemann::N,fear céile,ир
271,Ehefrau::N,bean chéile,ҡатын
272,Freude::N,áthas,шатлыҡ
273,Freude::N,áthas,ҡыуаныс
274,Gelächter::N,gáire,көлөү
275,Glück::N,séan,бәхет
276,Glück::N,sonas,бәхет
277,Kummer::N,brón,ҡайғы
278,Kummer::N,buairt,ҡайғы
279,Wunsch::N,guí,теләк
280,Wunsch::N,achainí,теләк
281,Lust::N,fonn,әүәҫлек
282,Geist::N,meon,аң
283,Geist::N,meon,рух
284,Geist::N,spiorad,аң
285,Geist::N,spiorad,рух
286,Gedanke::N,smaoineamh,уй
287,Gedanke::N,smaoineamh,фекер
288,Gedächtnis::N,cuimhne,хәтер
289,Verstand::N,ciall,аҡыл
290,Verstand::N,intinn,аҡыл
291,Sinn::N,brí,мәғәня
292,Sinn::N,ciall,мәғәня
293,Grund::N,fáth,сәбәп
294,Wahrheit::N,fírinne,дөрөҫлөк
295,Gespräch::N,comhrá,әңгәмә
296,Märchen::N,scéal,әкиәт
297,Erzählung::N,scéal,хикәйә
298,Nachricht::N,teachtaireacht,хәбәр
299,Neuigkeit::N,scéala,яңылыҡ
300,Name::N,ainm,исем
301,Rätsel::N,tomhas,йомаҡ
302,Rede::N,óráid,телмәр
303,Rede::N,aitheasc,телмәр
304,Sprache::N,teanga,тел
305,Sprache::N,teanga,телмәр
306,Stimme::N,guth,тауыш
307,Wort::N,focal,һүҙ
308,Zeichen::N,comhartha,билдә
309,Ruf::N,glaoch,саҡырыу
310,Lärm::N,torann,шаулау
311,Laut::N,fuaim,тауыш
312,Ton::N,ton,яңғырау
313,Lied::N,amhrán,йыр
314,Ruhe::N,suaimhneas,ял
315,Ruhe::N,suaimhneas,тыныслыҡ
316,Leute::N,muintir,кешеләр
317,Volk::N,pobal,халҡ
318,Arbeit::N,obair,эш
319,Gast::N,aoi,ҡунаҡ
320,Geschenk::N,féirín,бүләк
321,Geschenk::N,bronntanas,бүләк
322,Spiel::N,cluiche,уйын
323,Gesellschaft::N,comhluadar,йәмғиәт
324,Hilfe::N,cúnamh,ярҙам
325,Hilfe::N,cabhair,ярҙам
326,Freund::N,cara,дуҫ
327,Kamerad::N,comrádaí,иптәш
328,Angelegenheit::N,ábhar,әш
329,Anzahl::N,líon,һан
330,Art::N,sórt,төр
331,Art::N,saghas,төр
332,Stück::N,píosa,киҫәк
333,Teil::N,cuid,өлөш
334,Teil::N,páirt,өлөш
335,Hälfte::N,leath,ярты
336,Kreis::N,ciorcal,түңәрәк
337,Kreuz::N,cros,тәре
338,Linie::N,líne,һыҙыҡ
339,Strich::N,stríoc,һыҙат
340,Abstand::N,achar,ара
341,Entfernung::N,fad,алыҫлыҡ
342,Gegend::N,ceantar,урын
343,Platz::N,áit,арауыҡ
344,Platz::N,spás,арауыҡ
345,Ort::N,áit,ерҙәр
346,Ort::N,áit,урындар
347,Ort::N,áit,эш урыны
348,Seite::N,taobh,яҡ
349,Mitte::N,lár,урталыҡ
350,Gegenstand::N,ball,нәмә
351,Gegenstand::N,ábhar,нәмә
352,Sache::N,ní,нәмә
353,Sache::N,ní,әйбер
354,Sache::N,rud,нәмә
355,Sache::N,rud,әйбер
356,Rand::N,imeall,сит
357,Rand::N,ciumhais,сит
358,Kante::N,corr,ҡабырға
359,Kante::N,corr,ян
360,Kante::N,colbha,ҡабырға
361,Kante::N,colbha,ян
362,Ecke::N,coirnéal,мөйөш
363,Spitze::N,gob,ос
364,Spitze::N,barr,ос
365,Ende::N,ceann,аҙаҡ
366,Ende::N,foirceann,аҙаҡ
367,Loch::N,poll,тишек
368,Winkel::N,cúinne,мөйөш
369,Winkel::N,uillinn,мөйөш
370,Muster::N,patrún,биҙәк
371,Größe::N,méid,ҙурлыҡ
372,Größe::N,toise,ҙурлыҡ
373,Länge::N,fad,оҙонлоҡ
374,Höhe::N,airde,бейеклек
375,Gewicht::N,meáchan,үлсәү
376,Menge::N,méid,һан
377,Haufen::N,cnap,өйөм
378,Reihe::N,líne,рәт
379,Reihe::N,sraith,рәт
380,Boot::N,bád,кәмә
381,Ruder::N,rámh,ишкәк
382,Ruder::N,maide rámha,ишкәк
383,Schlitten::N,carr sleamhnáin,сана
384,Ski::N,scí,саңгы
385,Lagerfeuer::N,tine champa,костер
386,Last::N,ualach,ауырлыҡ
387,Gang::N,siúlóid,барыу
388,Schritt::N,céim,аҙым
389,Schritt::N,coiscéim,аҙым
390,Norden::N,tuaisceart,төньяҡ
391,Süden::N,deisceart,көньяҡ
392,Westen::N,iarthar,көнбайыш
393,Osten::N,oirthear,көнсығыш
394,Holz::N,adhmad,үағас
395,Brett::N,clár,таҡта
396,Platte::N,leac,плита
397,Stütze::N,taca,терәк
398,Stange::N,polla,кәртә
399,Stange::N,cuaille,кәртә
400,Stock::N,bata,таяҡ
401,Stock::N,maide,таяҡ
402,Stab::N,maide,ҡолға
403,Stab::N,bachall,ҡолға
404,Rohr::N,píopa,торба
405,Haus::N,teach,өй
406,Haus::N,teach,йорт
407,Heim::N,baile,өй
408,Ofen::N,sornóg,мейес
409,Fußboden::N,urlár,енес
410,Tisch::N,bord,өҫтәл
411,Tisch::N,tábla,өҫтәл
412,Stuhl::N,cathaoir,ултырғыс
413,Wiege::N,cliabhán,бишек
414,Bett::N,leaba,карауат
415,Regal::N,seilf,кәштә
416,Kiste::N,bosca,йәшинк
417,Fenster::N,fuinneoig,тәҙрә
418,Tür::N,doras,ишек
419,Tor::N,geata,ҡапҡа
420,Zaun::N,fál,ҡойма
421,Zaun::N,claí,ҡойма
422,Dach::N,díon,түбә
423,Dach::N,díon,ҡыйыҡ
424,Leiter::N,dréimire,баҫҡыс
425,Besen::N,scuab,һепертке
426,Spaten::N,spád,көрәк
427,Spaten::N,rámhainn,көрәк
428,Schaufel::N,sluasaid,көрәк
429,Gabel::N,forc,сәнске
430,Gabel::N,gabhlóg,сәнске
431,Löffel::N,spúnóg,ҡалаҡ
432,Messer::N,scian,бысаҡ
433,Nagel::N,tairne,сөй
434,Netz::N,líon,ау
435,Netz::N,eangach,ау
436,Haken::N,croch,ыргаҡ
437,Griff::N,cos,тотҡа
438,Griff::N,hanla,тотҡа
439,Schloss::N,glas,йоҙаҡ
440,Bild::N,pictiúr,картина
441,Figur::N,fíor,һын
442,Puppe::N,bábóg,ҡурсаҡ
443,Beutel::N,mála,тоҡ
444,Beutel::N,mealbhóg,тоҡ
445,Bündel::N,beart,төргәк
446,Tasche::N,mála,сумка
447,Eimer::N,buicéad,биҙрә
448,Deckel::N,clár,ҡапҡас
449,Deckel::N,claibín,ҡапҡас
450,Geschirr::N,soithí,һауыт-һаба
451,Geschirr::N,gréithe,һауыт-һаба
452,Sack::N,sac,тоҡ
453,Sack::N,mála,тоҡ
454,Tasse::N,cupán,сынаяҡ
455,Topf::N,pota,кәстрүл
456,Kessel::N,citeal,ҡаҙан
457,Essen::N,béile,ашау
458,Nahrung::N,bia,аҙыҡ
459,Speise::N,mias,аш
460,Fleisch::N,feoil,ит
461,Getreide::N,grán,иген
462,Getreide::N,grán,ашлыҡ
463,Getreide::N,arbhar,иген
464,Getreide::N,arbhar,ашлыҡ
465,Brei::N,brúitín,бутҡа
466,Brot::N,arán,икмәк
467,Scheibe::N,píosa,телем
468,Scheibe::N,slisne,телем
469,Fett::N,saill,май
470,Fett::N,méathras,май
471,Butter::N,im,май
472,Öl::N,ola,май буяуы
473,Salz::N,salann,тоҙ
474,Suppe::N,sú,һурпа
475,Suppe::N,anraith,һурпа
476,Honig::N,mil,бал
477,Milch::N,bainne,һөт
478,Tee::N,tae,сәй
479,Leder::N,leathar,күн
480,Wolle::N,olann,йөн
481,Stoff::N,éadach,туҡыма
482,Nadel::N,snáthaid,энә
483,Faden::N,snáth,еп
484,Knopf::N,cnaipe,төймә
485,Knoten::N,snaidhm,төйөн
486,Farbe::N,péint,буяу
487,Kleidung::N,éadaí,кейем
488,Hemd::N,léine,күлдәк
489,Kragen::N,bóna,яға
490,Ärmel::N,muinchille,ең
491,Hose::N,bríste,салбар
492,Hose::N,treabhsar,салбар
493,Gürtel::N,crios,ҡайыш
494,Mütze::N,caipín,бүрк
495,Schuh::N,bróg,туфли
496,Stiefel::N,buatais,итек
497,Ring::N,fáinne,йөҙөк
498,Ring::N,fáinne,балдаҡ
499,Band::N,ribín,таҫма
500,Kamm::N,cíor,тараҡ
501,Spiegel::N,scáthán,көзгө
502,Riemen::N,iall,ҡайыш
503,Riemen::N,strapa,ҡайыш
504,Schnur::N,téad,бау
505,Schnur::N,sreangán,бау
506,Leine::N,iall,бау
507,Decke::N,pluid,одеяд
508,Decke::N,blaincéad,одеяд
509,Kissen::N,piliúr,мендәр
510,Kissen::N,adhartán,мендәр
511,Tuch::N,scaif,яулыҡ
512,Handtuch::N,tuáille,таҫтамал
513,Kraft::N,fórsa,көс
514,Stärke::N,neart,көс
515,Gesundheit::N,sláinte,һаулыҡ
516,Krankheit::N,tinneas,сир
517,Krankheit::N,tinneas,ауырыу
518,Krankheit::N,breoiteacht,сир
519,Krankheit::N,breoiteacht,ауырыу
520,Schmerz::N,pian,һыҙлау
521,Schmerz::N,pian,әрнеү
522,Wunde::N,goin,йәрәхәт
523,Fieber::N,fiabhras,тапма
524,Fieber::N,fiabhras,биҙгәк
525,Arznei::N,cógas,дарыу
526,Brücke::N,droichead,күпер
527,Brunnen::N,tobar,ҡоҙоҡ
528,Weide::N,féarach,көтөүлек
529,Pfad::N,cosán,һуҡмаҡ
530,Pfad::N,conair,һуҡмаҡ
531,Weg::N,slí,юл
532,Weg::N,bealach,юл
533,Straße::N,bóthar,урам
534,Dorf::N,sráidbhaile,ауыл
535,Stadt::N,baile,ҡала
536,Stadt::N,cathair,ҡала
537,Brief::N,litir,хат
538,Buch::N,cín,китап
539,Buch::N,cín,кенәгә
540,Buch::N,leabhar,китап
541,Buch::N,leabhar,кенәгә
542,Buchstabe::N,litir,хәреф
543,Zeitung::N,nuachtán,гәзит
544,Leben::N,saol,йәшәү
545,Leben::N,beatha,йәшәү
546,Tod::N,bás,үлем
547,Grab::N,uaigh,ҡәбер
548,Kirche::N,eaglais,сиркәү
549,Sünde::N,peaca,гөнаһ
550,Gott::N,dia,алла
551,Gott::N,dia,хоҙай
552,Arbeiter::N,oibrí,эшсе
553,Chef::N,saoiste,башлыҡ
554,Chef::N,ceannasaí,башлыҡ
555,Meister::N,máistir,оҫта
556,Arzt::N,lia,врач
557,Arzt::N,dochtúir,врач
558,Lehrer::N,oide,уҡытыусы
559,Lehrer::N,múinteoir,уҡытыусы
560,Geld::N,airgead,аҡса
561,Geschäft::N,gnó,эш
562,Laden::N,siopa,магазин
563,Preis::N,praghas,хаҡ
564,Ware::N,earra,тауар
565,Nutzen::N,tairbhe,файҙа
566,Reichtum::N,rachmas,байлыҡ
567,Reichtum::N,saibhreas,байлыҡ
568,Welt::N,domhan,донъя
569,Land::N,tír,ил
570,Staat::N,stát,дәүләт
571,König::N,rí,король
572,Macht::N,cumhacht,власть
573,Grenze::N,críoch,сик
574,Grenze::N,teorainn,сик
575,Krieg::N,cogadh,һуғыш
576,Feind::N,namhaid,йылан
577,Gewalt::N,foréigean,көслөк
578,Kampf::N,troid,көрәш
579,Bogen[Waffe]::N,bogha,йәйә
580,Pfeil::N,saighead,уҡ
581,Gewehr::N,gunna,мылтыҡ
582,Fehler::N,botún,хата
583,Fehler::N,meancóg,хата
584,Lüge::N,bréag,ялған
585,Lüge::N,éitheach,ялған
586,Schaden::N,dochar,зыян
587,Schaden::N,dochar,зарар
588,Schaden::N,damáiste,зыян
589,Schaden::N,damáiste,зарар
590,Unglück::N,drochrath,ҡаза
591,Schuld::N,locht,ғәйеп
592,Schuld::N,milleán,ғәйеп
593,Alter::N,aois,йәш
594,Schluss::N,deireadh,һуң
595,Schluss::N,deireadh,аҙаҡ
596,Zeit::N,am,мәл
597,Zeit::N,am,заман
598,Zeit::N,aimsir,мәл
599,Zeit::N,aimsir,заман
600,Tag::N,lá,көн
601,Morgen::N,maidin,иртә
602,Morgen::N,maidin,иртәнсәк
603,Mittag::N,nóin,төш
604,Abend::N,tráthnóna,кис
605,Nacht::N,oíche,төн
606,Woche::N,seachtain,аҙна
607,Monat::N,mí,ай
608,Jahr::N,bliain,йыл
609,Frühling::N,earrach,яҙ
610,Sommer::N,samhradh,йәй
611,Herbst::N,fómhar,көз
612,Winter::N,geimhreadh,ҡыш
613,Januar::N,Eanáir,ғинуар
614,Februar::N,Feabhra,февраль
615,März::N,Márta,март
616,April::N,Aibreán,апрель
617,Mai::N,Bealtaine,май
618,Juni::N,Meitheamh,июнь
619,Juli::N,Iúil,июль
620,August::N,Lúnasa,август
621,September::N,Meán Fómhair,сентябрь
622,Oktober::N,Deireadh Fómhair,октябрь
623,November::N,Samhain,ноябрь
624,November::N,Mí na Samhna,ноябрь
625,Dezember::N,Mí na Nollag,декабрь
626,Montag::N,Luan,дүшәмбе
627,Montag::N,Dé Luain,дүшәмбе
628,Dienstag::N,Máirt,шишәмбе
629,Dienstag::N,Dé Máirt,шишәмбе
630,Mittwoch::N,Céadaoin,шаршамбы
631,Mittwoch::N,Dé Céadaoin,шаршамбы
632,Donnerstag::N,Déardaoin,кесаҙна
633,Freitag::N,Aoine,йома
634,Freitag::N,Dé hAoine,йома
635,Samstag::N,Satharn,шәмбе
636,Samstag::N,Dé Sathairn,шәмбе
637,Sonntag::N,Domhnach,йәкшәмбе
638,Sonntag::N,Dé Domhnaigh,йәкшәмбе
639,groß::A,mór,ҙур
640,klein::A,beag,бәләкәс
641,lang::A,fada,оҙон
642,kurz::A,gearr,ҡыҫҡа
643,kurz::A,gairid,ҡыҫҡа
644,breit::A,leathan,киң
645,breit::A,fairsing,киң
646,schmal::A,cúng,тар
647,dicht::A,dlúth,йыш
648,dicht::A,dlúth,ҡуйы
649,dick[Gegenstand]::A,tiubh,ҡалын
650,dünn::A,caol,йоҡа
651,dünn::A,caol,нәҙек
652,dünn::A,tanaí,йоҡа
653,dünn::A,tanaí,нәҙек
654,fein::A,scáinte,нескә
655,fein::A,fíneálta,нескә
656,fest::A,daingean,ныҡ
657,flach::A,cothrom,яҫы
658,flach::A,cothrom,ялпаҡ
659,glatt::A,mín,шыма
660,glatt::A,sleamhain,шыма
661,hart::A,crua,ҡаты
662,weich::A,bog,йомшаҡ
663,rund::A,cruinn,түңәрәк
664,spitz::A,gobach,осло түбәле
665,spitz::A,biorach,осло түбәле
666,scharf::A,géar,үткер
667,scharf::A,faobhrach,үткер
668,stumpf::A,maol,утмәҫ
669,schwer::A,trom,ауыр
670,schön::A,álainn,матур
671,heiß::A,te,эҫе
672,warm::A,te,йылы
673,kalt::A,fuar,һыуыҡ
674,kühl::A,fionnuar,һалҡынса
675,frisch::A,úr,һалҡынса
676,frisch::A,friseáilte,һалҡынса
677,feucht::A,tais,еүеш
678,feucht::A,tais,дымлы
679,nass::A,fliuch,еүеш
680,trocken::A,tirim,кипкән
681,voll::A,lán,тулы
682,leer::A,folamh,буш
683,offen::A,oscailte,асыҡ
684,geschlossen::A,dúnta,ябыҡ
685,geschlossen::A,druidte,ябыҡ
686,sauber::A,glan,таҙа
687,schmutzig::A,salach,бысраҡ
688,roh::A,amh,сей
689,reif::A,aibí,өлгөрғән
690,lecker::A,blasta,тәмле
691,süß::A,milis,тямле
692,süß::A,milis,тәм-том
693,bitter::A,searbh,әсе
694,sauer::A,géar,әсе
695,sauer::A,searbh,әсе
696,hell::A,geal,яҡты
697,hell::A,soilseach,яҡты
698,dunkel::A,dorcha,ҡараңғы
699,schwarz::A,dubh,ҡара
700,weiß::A,bán,аҡ
701,rot::A,dearg,матур
702,rot::A,dearg,һылыу
703,rot::A,dearg,сибәр
704,gelb::A,buí,һары
705,blau::A,gorm,күк
706,grün::A,glas,йәшел
707,grün::A,uaine,йәшел
708,grau::A,liath,буҙ
709,bunt::A,ildathach,сыбар
710,bunt::A,ildathach,ала-ҡола
711,bunt::A,dathannach,сыбар
712,bunt::A,dathannach,ала-ҡола
713,billig::A,saor,арзан
714,teuer::A,daor,ҡыйбатлы
715,teuer::A,costasach,ҡыйбатлы
716,wertvoll::A,luachmhar,ҡиммәтле
717,blind::A,dall,һуҡыр
718,blind::A,caoch,һуҡыр
719,taub::A,bodhar,һаңғырау
720,kräftig::A,cumhachtach,көслө
721,kräftig::A,cumhachtach,ҡеүәтле
722,stark::A,tréan,көслө
723,stark::A,tréan,ҡеүәтле
724,stark::A,láidir,көслө
725,stark::A,láidir,ҡеүәтле
726,schwach::A,lag,көсһөҙ
727,schwach::A,fann,көсһөҙ
728,fett::A,ramhar,һимеҙ
729,schlank::A,caol,зифа
730,schlank::A,seang,зифа
731,hübsch::A,álainn,матур
732,hübsch::A,dathúil,матур
733,böse::A,olc,асыулы
734,dumm::A,dúr,иҫәр
735,dumm::A,amaideach,иҫәр
736,faul::A,falsa,иренсәк
737,faul::A,leisciúil,иренсәк
738,fleißig::A,dícheallach,тырыш
739,geizig::A,barainneach,һаран
740,geizig::A,sprionlaithe,һаран
741,klug::A,cliste,аҡыллы
742,geschickt::A,oilte,оҫта
743,geschickt::A,ealaíonta,оҫта
744,lieb::A,dil,яғымлы
745,lieb::A,dílis,яғымлы
746,lustig::A,aerach,күңелле
747,lustig::A,meidhreach,күңелле
748,sanft::A,bog,йыуаш
749,sanft::A,séimh,йыуаш
750,hungrig::A,ocrach,ас
751,krank::A,tinn,сирле
752,krank::A,tinn,ауырыу
753,krank::A,breoite,сирле
754,krank::A,breoite,ауырыу
755,nackt::A,nocht,яланғас
756,traurig::A,brónach,яманһыу
757,lebendig::A,beo,тере
758,lebendig::A,beo,йәнле
759,gut::A,maith,яҡшы
760,schlecht::A,dona,хөрт
761,schlecht::A,dona,алама
762,schlecht::A,droch-,хөрт
763,schlecht::A,droch-,алама
764,richtig::A,ceart,дөрөҫ
