,Concept_ID,ar,os
66,Himmel::N,سماء,уӕларв
67,Sonne::N,شمس,хур
68,Mond::N,قمر,мӕй
69,Stern::N,نجم,стъалы
70,Stern::N,كوكب,стъалы
71,Luft::N,هواء,уӕлдӕф
72,Wind::N,ريح,дымгӕ
73,Welle::N,موجة,уылӕн
74,Wasser::N,ماء,дон
75,Stein::N,حجر,дур
76,Boden::N,تراب,зӕхх
77,Erde::N,أرض,сыджыт
78,Staub::N,غبار,рыг
79,Rauch::N,دخان,фӕздӕг
80,Funke::N,شرارة,цӕхӕр
81,Feuer::N,نار,зынг
82,Licht::N,نور,рухс
83,Licht::N,ضوء,рухс
84,Schatten::N,ظل,аууон
85,Schatten::N,فيء,аууон
86,Wetter::N,جو,боныхъӕд
87,Wetter::N,طقس,боныхъӕд
88,Nebel::N,ضباب,мигъ
89,Wolke::N,غيمة,ӕврагъ
90,Wolke::N,سحابة,ӕврагъ
91,Regen::N,مطر,уарын
92,Schnee::N,ثلج,мит
93,Eis::N,جليد,их
94,Frost::N,صقيع,ихæн
95,Kälte::N,برد,уазал
96,Hitze::N,حر,ӕнтӕф
97,Hitze::N,حرارة,ӕнтӕф
98,Raureif::N,صقيع,халас
99,Regenbogen::N,قوس قزح,арвырон
100,Regenbogen::N,قوس قزح,арвырдын
101,Donner::N,رعد,æрвнæрын
102,Strömung::N,تيار,цыд
103,Tropfen::N,قطرة,æртах
104,Schaum::N,زبد,фынк
105,Schaum::N,رغوة,фынк
106,Schmutz::N,وسخ,цъыф
107,See::N,بحيرة,цад
108,Sumpf::N,مستنقع,цъыфдзаст
109,Moor::N,مستنقع,цъыфдзаст
110,Wiese::N,مرج,уыгӕрдӕн
111,Wald::N,غابة,хъӕд
112,Hügel::N,تل,обау
113,Hügel::N,تل,къуыбыр
114,Anhöhe::N,تل,уæлвæз
115,Anhöhe::N,تل,уæлхох
116,Berg::N,جبل,хох
117,Gipfel::N,قمة,цъупп
118,Höhle::N,كهف,лӕгӕт
119,Abhang::N,منحدر,къул
120,Quelle::N,منبع,суадон
121,Bach::N,مجرى,мӕсчъыдон
122,Fluss::N,نهر,дон
123,Fluss::N,نهر,цӕугӕдон
124,Ufer::N,ضفة,был
125,Küste::N,ساحل,донбыл
126,Festland::N,بر,сурзæхх
127,Meer::N,بحر,денджыз
128,Bucht::N,خليج,донбакæлæн
129,Insel::N,جزيرة,сакъадах
130,Blume::N,زهرة,дидинӕг
131,Gras::N,حشيش,кӕрдӕг
132,Wurzel::N,أصل,уидаг
133,Baum::N,شجرة,бӕлас
134,Stamm::N,جذع,хӕтӕл
135,Rinde::N,قشرة,цъар
136,Ast::N,فرع,арх
137,Zweig::N,غصن,къалиу
138,Blatt::N,ورقة,сыф
139,Birke::N,قضبان,бæрз
140,Kiefer[Baum]::N,صنوبرة,нӕзы
141,Weide[Baum]::N,صفصاف,хӕрис
142,Tanne::N,شوح,наз
143,Tanne::N,تبوب,наз
144,Horn::N,قرن,сыкъа
145,Feder::N,ريشة,сис
146,Fell::N,فرو,царм
147,Flügel::N,جناح,базыр
148,Klaue::N,مخلب,ных
149,Kralle::N,مخلب,дзӕмбы
150,Schwanz::N,ذيل,къӕдзил
151,Ei::N,بيض,айк
152,Nest::N,عش,ахстон
153,Bau::N,جحر,хуынкъ
154,Tier::N,حيوان,сырд
155,Tier::N,حيوان,цӕрӕгой
156,Herde::N,قطيع,дзуг
157,Herde::N,قطيع,рӕгъау
158,Kuh::N,بقرة,хъуг
159,Bulle::N,ثور,гал
160,Pferd::N,خيل,бӕх
161,Schaf::N,شاة,фыс
162,Schwein::N,خنزير,хуы
163,Hund::N,كلب,куыдз
164,Katze::N,قطة,гӕды
165,Bär::N,دب,арс
166,Eichhörnchen::N,سنجاب,æхсæрæг
167,Elch::N,موظ,цæгатаг саг
168,Fuchs::N,ثعلب,рувас
169,Hase::N,أرنب,тæрхъус
170,Maus::N,فأرة,мыст
171,Wolf::N,ذئب,бирӕгъ
172,Vogel::N,طير,цъиу
173,Vogel::N,طير,маргъ
174,Schwarm::N,سرب,бал
175,Huhn::N,دجاجة,карк
176,Hahn::N,ديك,уасӕг
177,Gans::N,وزة,хъаз
178,Adler::N,نسر,цӕргӕс
179,Ente::N,بطة,ацц
180,Eule::N,بوم, уыг
181,Eule::N,بوم,сидахъ
182,Kranich::N,كركي,зырнæг
183,Kranich::N,كركي,хърихъупп
184,Krähe::N,غراب,халон
185,Kuckuck::N,وقواق,гаккук
186,Schwan::N,إوز عراقي,доныхъаз
187,Fisch::N,سمك,кӕсаг
188,Barsch::N,فرخ أوربي,окунь
189,Hecht::N,سمك الكراكي,хихор кӕсаг
190,Schlange[Tier]::N,حية,калм
191,Schlange[Tier]::N,ثعبان,калм
192,Wurm::N,دودة,зулкъ
193,Wurm::N,دودة,къуыдыргалм
194,Spinne::N,عنكبوت,хӕлуарӕг
195,Ameise::N,نملة,мæлдзыг
196,Laus::N,قملة,сыст
197,Mücke::N,ناموسة,къогъо
198,Fliege::N,ذبابة,бындз
199,Schmetterling::N,فراشة,гæлæбу
200,Beere::N,حبة,гагадыргъ
201,Apfel::N,تفاح,фӕткъуы
202,Pilz::N,فطر,зокъо
203,Pilz::N,فطر,къозо
204,Zwiebel::N,بصل,хъӕдындз
205,Saat::N,زرع,тауинаг
206,Saat::N,زرع,мыггаг
207,Korn::N,حبة,мыггаг
208,Korn::N,حبة,тауинаг
209,Heu::N,دريس,хос
210,Schale::N,قشرة,цъар
211,Grube::N,نقرة,урм
212,Grube::N,نقرة,къахт
213,Grube::N,نقرة,дзыхъхъ
214,Falle::N,فخ,цъысым
215,Falle::N,فخ,къӕппӕг
216,Falle::N,مصيدة,цъысым
217,Falle::N,مصيدة,къӕппӕг
218,Schlinge::N,عروة,цасм
219,Spur::N,أثر,фæд
220,Asche::N,رماد,фӕнык
221,Asche::N,رماد,ӕртхутӕг
222,Dreck::N,قذر,цъыф
223,Eisen::N,حديد,ӕфсӕйнаг
224,Gold::N,ذهب,сыгъзӕрин
225,Silber::N,فضة,ӕвзист
226,Kohle::N,فحم,ӕвзалы
227,Glas::N,زجاج,авг
228,Lehm::N,طين,ӕлыг
229,Sand::N,رمل,змис
230,Mensch::N,إنسان,лӕг
231,Mensch::N,إنسان,адӕймаг
232,Mensch::N,إنسان,удгоймаг
233,Mann::N,رجل,лӕг
234,Mann::N,رجل,нӕлгоймаг
235,Frau::N,امرأة,сылгоймаг
236,Kind::N,طفل,сывӕллон
237,Junge::N,ولد,лӕппу
238,Mädchen::N,بنت,чызг
239,Familie::N,عائلة,бинонтæ
240,Großvater::N,جد,фыдыфыд
241,Großvater::N,جد,мадыфыд
242,Großmutter::N,جدة,фыды мад
243,Großmutter::N,جدة,мады мад
244,Eltern::N,أبوان,ныййарджытæ
245,Eltern::N,والدان,ныййарджытæ
246,Vater::N,أب,фыд
247,Mutter::N,أم,мад
248,Sohn::N,إبن,фырт
249,Tochter::N,بنت,чызг
250,Tochter::N,إبنة,чызг
251,Bruder::N,أخ,ӕфсымӕр
252,Bruder::N,شقيق,ӕфсымӕр
253,Schwester::N,أخت,хо
254,Onkel::N,عم,фыдыфсымӕр
255,Tante::N,عمة,мадыхо
256,Ehemann::N,زوج,мой
257,Ehefrau::N,زوجة,ус
258,Freude::N,فرح,цин
259,Freude::N,فرح,циндзинад
260,Freude::N,سرور,цин
261,Freude::N,سرور,циндзинад
262,Gelächter::N,قهقهة,худын
263,Gelächter::N,قهقهة,худт
264,Gelächter::N,قهقهة,худæг
265,Glück::N,سعادة,амонд
266,Kummer::N,غم,хъыг
267,Wunsch::N,منية,бӕллиц
268,Lust::N,شهوة,монц
269,Geist::N,روح,уд
270,Gedanke::N,فكرة,хъуыды
271,Gedächtnis::N,ذاكرة,мысæн
272,Gedächtnis::N,ذاكرة,мысын
273,Gedächtnis::N,ذاكرة,зæрдылдарын
274,Verstand::N,عقل,зонд
275,Sinn::N,معنى,нысаниуæг
276,Grund::N,سبب,ӕфсон
277,Wahrheit::N,حقيقة,æцæг
278,Gespräch::N,محادثة,ныхас
279,Märchen::N,خرافة,аргъау
280,Erzählung::N,قصة,радзырд
281,Erzählung::N,حكاية,радзырд
282,Nachricht::N,خبر,уац
283,Neuigkeit::N,خبر جديد,хабар
284,Name::N,اسم,ном
285,Rätsel::N,لغز,уыци-уыци
286,Rätsel::N,لغز,базон-базон
287,Rede::N,خطبة,раныхас
288,Sprache::N,لغة,ӕвзаг
289,Stimme::N,صوت,хъӕлӕс
290,Wort::N,كلمة,дзырд
291,Zeichen::N,رمز,нысан
292,Zeichen::N,إشارة,нысан
293,Ruf::N,نداء,сидт
294,Lärm::N,صخب,уынæр
295,Lärm::N,ضجة,уынæр
296,Laut::N,صوت,зӕл
297,Laut::N,صوت,мыр
298,Ton::N,نغمة,мыр
299,Lied::N,أغنية,зарӕг
300,Ruhe::N,هدوء,æнцой
301,Leute::N,ناس,адӕм
302,Volk::N,شعب,адӕм
303,Arbeit::N,عمل,фӕллой
304,Gast::N,ضيف,уазӕг
305,Geschenk::N,هدية,хуын
306,Spiel::N,لعب,хъазт
307,Gesellschaft::N,صحبة,дзыллæ
308,Gesellschaft::N,صحبة,æхсæнад
309,Hilfe::N,عون,æххуыс
310,Hilfe::N,عون,ахъаз
311,Hilfe::N,مساعدة,æххуыс
312,Hilfe::N,مساعدة,ахъаз
313,Freund::N,صديق,лымӕн
314,Kamerad::N,زميل,ӕмбал
315,Angelegenheit::N,أمر,хъуыддаг
316,Angelegenheit::N,شأن,хъуыддаг
317,Anzahl::N,عدد,бӕрц
318,Art::N,نوع,хуыз
319,Art::N,نوع,хуызад
320,Stück::N,قطعة,кæрдих
321,Stück::N,قطعة,комдзаг
322,Teil::N,قسم,хай
323,Hälfte::N,نصف,æрдæг
324,Hälfte::N,نصف,æмбис
325,Kreis::N,دائرة,зиллакк
326,Kreuz::N,صليب,дзуар
327,Linie::N,خط,хахх
328,Strich::N,شرطة,хахх
329,Abstand::N,مسافة,æхсæнуат
330,Entfernung::N,بعد,дæрддзæг
331,Entfernung::N,بعد,дардцæг
332,Gegend::N,ناحية,ран
333,Platz::N,فراغ,бууат
334,Ort::N,مكان,ран
335,Ort::N,مكان,бынат
336,Seite::N,جانب,фахс
337,Mitte::N,وسط,астӕу
338,Gegenstand::N,موضوع,дзаума
339,Sache::N,شيء,дзаума
340,Rand::N,حافة,кӕрон
341,Kante::N,حافة,фӕрск
342,Ecke::N,ركن,тигъ
343,Ecke::N,ركن,фисын
344,Spitze::N,سن,бырынкъ
345,Ende::N,طرف,кӕрон
346,Loch::N,ثقب,хуынкъ
347,Winkel::N,زاوية,къуым
348,Muster::N,عينة,нывæфтыд
349,Muster::N,عينة,кæдзист
350,Größe::N,حجم,ас
351,Länge::N,طول,дӕргъ
352,Höhe::N,علو,бæрзонд
353,Höhe::N,علو,бæрзæнд
354,Höhe::N,علو,бæрзонддзинад
355,Höhe::N,ارتفاع,бæрзонд
356,Höhe::N,ارتفاع,бæрзæнд
357,Höhe::N,ارتفاع,бæрзонддзинад
358,Gewicht::N,وزن,уӕз
359,Menge::N,كمية,бӕрц
360,Haufen::N,كوم,кӕри
361,Reihe::N,صف,рӕнхъ
362,Boot::N,قارب,чема
363,Boot::N,زورق,чема
364,Ruder::N,مجذاف,къохар
365,Schlitten::N,مزلقة,дзоныгъ
366,Ski::N,زلاجة,къахдзоныгътæ
367,Ski::N,زلاجة,лыжæтæ
368,Lagerfeuer::N,نار المخيم,арт
369,Last::N,حمل,уаргъ
370,Gang::N,مشية,цыд
371,Schritt::N,خطوة,санчъех
372,Schritt::N,خطوة,къахдзӕф
373,Norden::N,شمال,цæгат
374,Süden::N,جنوب,хуссар
375,Westen::N,غرب,ныгуылæн
376,Osten::N,شرق,скæсæн
377,Holz::N,خشب,хъӕдӕрмӕг
378,Brett::N,لوح,фæйнæг
379,Platte::N,صفيحة,къӕй
380,Stütze::N,سند,быцæу
381,Stütze::N,دعامة,быцæу
382,Stange::N,عود,хъил
383,Stock::N,عصا,лӕдзӕг
384,Stab::N,قضيب,хъил
385,Rohr::N,أنبوبة,хӕтӕл
386,Haus::N,دار,хӕдзар
387,Haus::N,بيت,хӕдзар
388,Heim::N,بيت,къона
389,Heim::N,مسكن,къона
390,Ofen::N,مدفأة,пец
391,Fußboden::N,أرضية,астӕрд
392,Tisch::N,مائدة,стъол
393,Stuhl::N,كرسي,бандон
394,Wiege::N,مهد,авдæн
395,Bett::N,سرير,сынтӕг
396,Regal::N,رف,тӕрхӕг
397,Regal::N,رف,уӕлвӕйнӕг
398,Kiste::N,صندوق,асыкк
399,Fenster::N,شباك,рудзынг
400,Fenster::N,شباك,фæрссаг
401,Fenster::N,نافذة,рудзынг
402,Fenster::N,نافذة,фæрссаг
403,Tür::N,باب,дуар
404,Tor::N,بوابة,кулдуар
405,Zaun::N,سياج,æмбонд
406,Zaun::N,سياج,быру
407,Zaun::N,سياج,гæрæн
408,Dach::N,سطح,уӕлхӕдзар
409,Leiter::N,سلم,асин
410,Besen::N,مكنسة,уисой
411,Spaten::N,مسحاة,бел
412,Schaufel::N,مجرفة,æвгæнæн
413,Schaufel::N,مجرفة,кæфой
414,Gabel::N,شوكة,вилкæ
415,Löffel::N,ملعقة,уидыг
416,Messer::N,سكين,кард
417,Nagel::N,مسمار,зӕгӕл
418,Netz::N,شبكة,хыз
419,Haken::N,خطاف,хæдз
420,Haken::N,خطاف,хæбырæгъ
421,Haken::N,صنارة,хæдз
422,Haken::N,صنارة,хæбырæгъ
423,Griff::N,قبضة,фистон
424,Schloss::N,قفل,гуыдыр
425,Bild::N,صورة,ныв
426,Figur::N,تمثال,кæрдгæныв
427,Puppe::N,دمية,чындз
428,Beutel::N,كيس,дзӕкъул
429,Bündel::N,ربطة,баст
430,Tasche::N,شنطة,хызын
431,Tasche::N,شنطة,дзæкъул
432,Tasche::N,محفظة,хызын
433,Tasche::N,محفظة,дзæкъул
434,Eimer::N,سطل,къæрта
435,Eimer::N,سطل,чъыбыла
436,Eimer::N,سطل,ведра
437,Eimer::N,جردل,къæрта
438,Eimer::N,جردل,чъыбыла
439,Eimer::N,جردل,ведра
440,Deckel::N,سداد,сæр
441,Deckel::N,سداد,æмбæрзæн
442,Geschirr::N,أوان,мигæнæн
443,Geschirr::N,أوان,мигæнæнтæ
444,Sack::N,زكيبة,голлаг
445,Tasse::N,فنجان,пиала
446,Tasse::N,فنجان,къус
447,Topf::N,قدر,аг
448,Topf::N,قدر,чысыл аг
449,Topf::N,طنجرة,аг
450,Topf::N,طنجرة,чысыл аг
451,Kessel::N,قدر,аг
452,Kessel::N,غلاية,аг
453,Essen::N,طعام,хӕрд
454,Nahrung::N,غذاء,хойраг
455,Speise::N,أكل,хӕринаг
456,Fleisch::N,لحم,дзидза
457,Fleisch::N,لحم,фыдызгъӕл
458,Getreide::N,حبوب,халсар
459,Brei::N,عصيدة,кас
460,Brot::N,خبز,дзул
461,Scheibe::N,شريحة,къӕбӕр
462,Fett::N,سمن,сой
463,Butter::N,زبدة,нӕлхӕ
464,Öl::N,زيت,зети
465,Salz::N,ملح,цӕхх
466,Suppe::N,حساء,бас
467,Suppe::N,شربة,бас
468,Honig::N,عسل,мыд
469,Milch::N,حليب,ӕхсыр
470,Tee::N,شاي,цай
471,Leder::N,جلد,мæскуы
472,Wolle::N,صوف,фӕсмын
473,Stoff::N,قماش,хъуымац
474,Nadel::N,إبرة,судзин
475,Faden::N,خيط,ӕндах
476,Knopf::N,زر,цӕппӕр
477,Knoten::N,عقدة,ӕлхынцъ
478,Farbe::N,صبغة,ахорæн
479,Kleidung::N,ملابس,дарӕс
480,Hemd::N,قميص,хӕдон
481,Kragen::N,ياقة,æфцæггот
482,Ärmel::N,كم,дыс
483,Hose::N,سروال,хæлаф
484,Hose::N,سروال,æддаг хæлаф
485,Hose::N,سروال,салбар
486,Hose::N,بنطلون,хæлаф
487,Hose::N,بنطلون,æддаг хæлаф
488,Hose::N,بنطلون,салбар
489,Gürtel::N,حزام,рон
490,Mütze::N,طاقية,худ
491,Schuh::N,حذاء,басмахъ
492,Stiefel::N,جزمة,цырыхъхъ
493,Stiefel::N,حذاء طويل,цырыхъхъ
494,Ring::N,حلقة,къухдарӕн
495,Band::N,شريط,лент
496,Kamm::N,مشط,сӕрвасӕн
497,Spiegel::N,مرآة,айдæн
498,Spiegel::N,مرآة,кæсæн
499,Riemen::N,سير,гӕрз
500,Schnur::N,حبل,бӕндӕн
501,Schnur::N,دوبارة,бӕндӕн
502,Leine::N,قيد,
503,Decke::N,بطانية,хъӕццул
504,Kissen::N,وسادة,баз
505,Tuch::N,منديل,кæлмæрзæн
506,Tuch::N,منديل,кæрдæн
507,Handtuch::N,فوطة,хисæрфæн
508,Handtuch::N,منشفة,хисæрфæн
509,Kraft::N,قدرة,тых
510,Kraft::N,قدرة,хъомыс
511,Stärke::N,قوة,тых
512,Stärke::N,قوة,æхсар
513,Gesundheit::N,صحة,æнæниздзинад
514,Krankheit::N,مرض,низ
515,Krankheit::N,مرض,рын
516,Schmerz::N,ألم,рис
517,Schmerz::N,وجع,рис
518,Wunde::N,جرح,цӕф
519,Fieber::N,حمى,ризӕг
520,Fieber::N,حمى,тӕфсӕг
521,Arznei::N,دواء,хос
522,Brücke::N,جسر,хид
523,Brunnen::N,بئر,цъай
524,Weide::N,مرعى,хизæн
525,Weide::N,مرعى,хизæнуат
526,Weide::N,مرعى,сæрвæт
527,Pfad::N,درب,къахвæндаг
528,Pfad::N,درب,къахвæд
529,Weg::N,سكة,фӕндаг
530,Straße::N,طريق,фӕндаг
531,Dorf::N,قرية,хъӕу
532,Stadt::N,مدينة,сахар
533,Brief::N,خطاب,фыстӕг
534,Brief::N,مكتوب,фыстӕг
535,Buch::N,كتاب,чиныг
536,Buchstabe::N,حرف,дамгъӕ
537,Zeitung::N,جريدة,газет
538,Leben::N,عيش,цард
539,Leben::N,عيش,цӕрӕнбон
540,Leben::N,حياة,цард
541,Leben::N,حياة,цӕрӕнбон
542,Tod::N,موت,мæлæт
543,Tod::N,موت,адзал
544,Tod::N,وفاة,мæлæт
545,Tod::N,وفاة,адзал
546,Grab::N,قبر,ингӕн
547,Kirche::N,كنيسة,аргъуан
548,Sünde::N,خطيئة,тæригъæд
549,Gott::N,إله,хуыцау
550,Arbeiter::N,عامل,кусæг
551,Chef::N,رئيس,ӕмцег
552,Meister::N,أسطى,мастер
553,Meister::N,أسطى,дæсны
554,Arzt::N,طبيب,хосгæнæг
555,Arzt::N,طبيب,дохтыр
556,Lehrer::N,مدرس,ахуыргæнæг
557,Geld::N,نقود,ӕхца
558,Geschäft::N,صفقة,бизнес
559,Geschäft::N,صفقة,хъуыддаг
560,Laden::N,دكان,дукани
561,Preis::N,سعر,аргъ
562,Ware::N,بضاعة,базайраг
563,Nutzen::N,فائدة,пайда
564,Reichtum::N,غنى,хъæздыгдзинад
565,Reichtum::N,غنى,исбон
566,Reichtum::N,غنى,мулк
567,Reichtum::N,ثروة,хъæздыгдзинад
568,Reichtum::N,ثروة,исбон
569,Reichtum::N,ثروة,мулк
570,Welt::N,عالم,дуне
571,Welt::N,دنيا,дуне
572,Land::N,بلد,бӕстӕ
573,Staat::N,دولة,паддзахад
574,König::N,ملك,къарол
575,Macht::N,سلطة,хицаудзинад
576,Grenze::N,حدود,арӕн
577,Krieg::N,حرب,хӕст
578,Feind::N,عدو,знаг
579,Feind::N,عدو,фыдгул
580,Feind::N,عدو,фыдзæрдæ
581,Feind::N,عدو,сон
582,Gewalt::N,عنف,тыхми
583,Gewalt::N,عنف,тыхдзинад
584,Kampf::N,قتال,хæст
585,Kampf::N,قتال,хъæбысæйхæст
586,Kampf::N,قتال,тох
587,Bogen[Waffe]::N,قوس,ӕрдын
588,Pfeil::N,سهم,фат
589,Gewehr::N,بندقية,топп
590,Fehler::N,خطأ,рӕдыд
591,Lüge::N,كذب,мӕнг
592,Lüge::N,كذب,гӕдыдзинад
593,Schaden::N,تلف,зиан
594,Unglück::N,نحس,бæллæх
595,Schuld::N,ذنب,азым
596,Alter::N,سن,кар
597,Alter::N,عمر,кар
598,Schluss::N,ختام,кæрон
599,Schluss::N,نهاية,кæрон
600,Zeit::N,وقت,рӕстӕг
601,Tag::N,يوم,бон
602,Morgen::N,صباح,райсом
603,Mittag::N,ظهر,æмбисбон
604,Abend::N,مساء,изӕр
605,Nacht::N,ليلة,ӕхсӕв
606,Woche::N,أسبوع,къуыри
607,Monat::N,شهر,мӕй
608,Jahr::N,عام,аз
609,Jahr::N,عام,афӕдз
610,Jahr::N,سنة,аз
611,Jahr::N,سنة,афӕдз
612,Frühling::N,ربيع,уалдзæг
613,Sommer::N,صيف,сӕрд
614,Herbst::N,خريف,фæззæг
615,Winter::N,شتاء,зымӕг
616,Januar::N,يناير,январь
617,Januar::N,كانون الثاني,январь
618,Februar::N,شباط,февраль
619,Februar::N,فبراير,февраль
620,März::N,آذار,мартъи
621,März::N,مارس,мартъи
622,April::N,نيسان,апрель
623,Mai::N,مايو,май
624,Juni::N,يونيو,июнь
625,Juni::N,حزيران,июнь
626,Juli::N,تموز,июль
627,Juli::N,يوليو,июль
628,August::N,آب,август
629,August::N,أغسطس,август
630,September::N,أيلول,сентябрь
631,September::N,سبتمبر,сентябрь
632,Oktober::N,أكتوبر,октябрь
633,Oktober::N,تشرين الأول,октябрь
634,November::N,نوفمبر,ноябрь
635,November::N,تشرين الثاني,ноябрь
636,Dezember::N,ديسمبر,декабрь
637,Dezember::N,كانون الأول,декабрь
638,Montag::N,يوم الاثنين,къуырисæр
639,Dienstag::N,يوم الثلاثاء,дыццæг
640,Mittwoch::N,يوم الأربعاء,æртыццæг
641,Donnerstag::N,يوم الخميس,цыппæрæм
642,Freitag::N,يوم الجمعة,майрæмбон
643,Samstag::N,يوم السبت,сабат
644,Sonntag::N,يوم الأحد,хуыцаубон
645,groß::A,كبير,дынджыр
646,klein::A,صغير,гыццыл
647,lang::A,طويل,даргъ
648,kurz::A,قصير,цыбыр
649,breit::A,واسع,фӕтӕн
650,schmal::A,ضيق,нарӕг
651,schmal::A,ضيق,уынгӕг
652,dicht::A,كث,бæзджын
653,dicht::A,كث,тар
654,dicht::A,كثيف,бæзджын
655,dicht::A,كثيف,тар
656,dick[Gegenstand]::A,غليظ,сӕвджын
657,dünn::A,رفيع,тæнæг
658,fein::A,رقيق,лыстӕг
659,fest::A,متين,фидар
660,fest::A,متين,хъӕддых
661,flach::A,سهل,тъӕпӕн
662,flach::A,منبسط,тъӕпӕн
663,glatt::A,ناعم,лӕгъз
664,hart::A,صلب,хъӕбӕр
665,hart::A,جامد,хъӕбӕр
666,weich::A,لين,фӕлмӕн
667,rund::A,مستدير,тымбыл
668,spitz::A,مدبب,цыргъбырынкъ
669,spitz::A,مدبب,цыргъфындз
670,scharf::A,حاد,цыргъ
671,stumpf::A,ثالم,къуымых
672,schwer::A,ثقيل,уӕззау
673,schön::A,جميل,аив
674,schön::A,جميل,рӕсугъд
675,heiß::A,حار,тӕвд
676,heiß::A,ساخن,тӕвд
677,warm::A,دافئ,хъарм
678,kalt::A,بارد,уазал
679,kühl::A,قر,сатæг
680,kühl::A,قر,уазалгомау
681,frisch::A,طازج,сатæг
682,feucht::A,رطب,уымӕл
683,nass::A,مبلول,хуылыдз
684,trocken::A,جاف,хус
685,voll::A,ملء,дзаг
686,voll::A,ملء,йедзаг 
687,leer::A,خال,афтид
688,leer::A,فارغ,афтид
689,offen::A,مفتوح,гом
690,geschlossen::A,مغلق,æхгæд
691,sauber::A,نظيف,сыгъдæг
692,schmutzig::A,قذر,чъиллон
693,roh::A,نيء,хом
694,reif::A,ناضج,рӕгъӕд
695,lecker::A,لذيذ,хӕрзад
696,süß::A,حلو,адджын
697,bitter::A,مر,судзаг
698,sauer::A,حامض,туаг
699,hell::A,نير,рухс
700,dunkel::A,مظلم,талынг
701,schwarz::A,أسود,сау
702,weiß::A,أبيض,урс
703,rot::A,أحمر,сырх
704,gelb::A,أصفر,бур
705,blau::A,أزرق,цъӕх
706,grün::A,أخضر,цъӕх
707,grün::A,أخضر,кӕрдӕгхуыз
708,grau::A,رمادي,цъӕх
709,grau::A,رمادي,фӕныкхуыз
710,bunt::A,ملوب,хъулон
711,bunt::A,ملوب,гæрæм
712,billig::A,رخيص,аслам
713,teuer::A,غال,зынаргъ
714,wertvoll::A,ثمين,зынаргъ
715,blind::A,أعمى,куырм
716,taub::A,أصم,къуырма
717,taub::A,أطرش,къуырма
718,kräftig::A,قوي,домбай
719,kräftig::A,قوي,тыхджын
720,stark::A,قوي,тыхджын
721,schwach::A,ضعيف,ӕнӕбон
722,fett::A,سمين,нард
723,schlank::A,أهيف,гуырвидыц
724,schlank::A,أهيف,хæрзконд
725,schlank::A,أهيف,рæхснæг
726,schlank::A,أهيف,сагамад
727,hübsch::A,جميل,аив
728,hübsch::A,جميل,рӕсугъд
729,böse::A,رديء,фыдзӕрдӕ
730,dumm::A,أبله,ӕдылы
731,dumm::A,أحمق,ӕдылы
732,faul::A,كسلان,зивӕг
733,faul::A,كسلان,зивӕггӕнаг
734,fleißig::A,مجتهد,æнæзивæг
735,fleißig::A,مجتهد,æнувыд
736,geizig::A,بخيل,чъынды
737,geizig::A,بخيل,æлгъин
738,geizig::A,بخيل,мæрддзæст
