,Concept_ID,kn,be
53,Magen::N,ಉದರ,страўнік
54,Leber::N,ಯಕೃತ್ತು,печань
55,Atem::N,ಉಸಿರು,дыханне
56,Hunger::N,ಹಸಿವು,голад
57,Träne::N,ಕಣ್ಣೀರು,сляза
58,Geschmack::N,ರುಚಿ,смак
59,Geruch::N,ವಾಸನೆ,пах
60,Schlaf::N,ನಿದ್ರೆ,сон
61,Traum::N,ಕನಸು,сон
62,Himmel::N,ಬಾನು,неба
63,Sonne::N,ಸೂರ್ಯ,сонца
64,Mond::N,ಚಂದ್ರ,месяц
65,Stern::N,ಚುಕ್ಕಿ,зорка
66,Luft::N,ವಾಯು,паветра
67,Wind::N,ಗಾಳಿ,вецер
68,Welle::N,ಅಲೆ,хваля
69,Wasser::N,ನೀರು,вада
70,Stein::N,ಕಲ್ಲು,камень
71,Boden::N,ನೆಲ,глеба
72,Erde::N,ಭೂಮಿ,зямля
73,Staub::N,ದೂಳು,пыл
74,Rauch::N,ಹೊಗೆ,дым
75,Funke::N,ಕಿಡಿ,іскра
76,Feuer::N,ಬೆಂಕಿ,агонь
77,Licht::N,ಬೆಳಕು,святло
78,Schatten::N,ನೆರಳು,цень
79,Wetter::N,ಹವ,пагода
80,Wetter::N,ಹವ,надворʼе
81,Nebel::N,ಮಂಜು,туман
82,Wolke::N,ಮೋಡ,воблака
83,Regen::N,ಮಳೆ,дождж
84,Schnee::N,ಹಿಮ,снег
85,Eis::N,ಮಂಜುಗಡ್ಡೆ,лёд
86,Frost::N,ಮಂಜು,мароз
87,Kälte::N,ಹಿಮ,холад
88,Hitze::N,ಉಷ್ಣ,спёка
89,Raureif::N,ಇಬ್ಬನಿ,іней
90,Regenbogen::N,ಇಂದ್ರಚಾಪ,вясёлка
91,Donner::N,ಗುಡುಗು,гром
92,Strömung::N,ಪ್ರವಾಹ,цячэнне
93,Tropfen::N,ತೊಟ್ಟು,кропля
94,Schaum::N,ನೊರೆ,пена
95,Schmutz::N,ಕಸ,гразь
96,See::N,ಸರೋವರ,возера
97,Sumpf::N,ಜೌಗುಸ್ಥಳ,багна
98,Moor::N,ಬಂಜರು ಭೂಮಿ,балота
99,Wiese::N,ಹುಲ್ಲುಗಾವಲು,луг
100,Wald::N,ಕಾಡು,лес
101,Hügel::N,ಗುಡ್ಡೆ,узгорак
102,Anhöhe::N,ದಿಬ್ಬ,узвышша
103,Berg::N,ಮಲೆ,гара
104,Berg::N,ಪರ್ವತ,гара
105,Gipfel::N,ಶೃಂಗ,вяршыня
106,Höhle::N,ಗುಹೆ,пячора
107,Abhang::N,ಇಳಿಜಾರು,схіл
108,Quelle::N,ಮೂಲ,крыніца
109,Bach::N,ತೊರೆ,ручай
110,Fluss::N,ನದಿ,рака
111,Ufer::N,ತೀರ,бераг
112,Küste::N,ದಂಡೆ,узбярэжжа
113,Festland::N,ಭೂಮಿ,суша
114,Meer::N,ಕಡಲು,мора
115,Bucht::N,ಖಾರಿ,бухта
116,Insel::N,ದ್ವೀಪ,востраў
117,Blume::N,ಸುಮ,кветка
118,Gras::N,ಹುಲ್ಲು,трава
119,Wurzel::N,ಬೇರು,корань
120,Baum::N,ಮರ,дрэва
121,Stamm::N,ಕಾಂಡ,ствол
122,Rinde::N,ತೂಗಟಿ,кара
123,Ast::N,ಶಾಖೆ,сук
124,Zweig::N,ರೆಂಬೆ,галіна
125,Blatt::N,ಎಲೆ,ліст
126,Birke::N,ಬರ್ಚ್ ಮರ,бяроза
127,Kiefer[Baum]::N,ದೇವದಾರು ಮರ,хвоя
128,Kiefer[Baum]::N,ದೇವದಾರು ಮರ,сасна
129,Weide[Baum]::N,ವಿಲೋಮರ,вярба
130,Tanne::N,ಭದ್ರದಾರು,яліна
131,Horn::N,ಕೊಂಬು,рог
132,Feder::N,ಪುಕ್ಕ,пяро
133,Fell::N,ರೋಮ,шкура
134,Flügel::N,ರೆಕ್ಕೆ,крыло
135,Klaue::N,ಪಂಜ,кіпцюр
136,Kralle::N,ಉಗುರು,лапа
137,Schwanz::N,ಬಾಲ,хвост
138,Ei::N,ಮೊಟ್ಟೆ,яйка
139,Nest::N,ಗೂಡು,гняздо
140,Bau::N,ಅಡಗುದಾಣ,нара
141,Tier::N,ಪ್ರಾಣಿ,жывёла
142,Herde::N,ಗುಂಪು,статак
143,Kuh::N,ಹಸು,карова
144,Bulle::N,ಗೂಳಿ,бык
145,Pferd::N,ಕುದುರೆ,конь
146,Schaf::N,ಕುರಿ,авечка
147,Schwein::N,ಹಂದಿ,свіння
148,Hund::N,ನಾಯಿ,сабака
149,Katze::N,ಬೆಕ್ಕು,кошка
150,Bär::N,ಕರಡಿ,мядзведзь
151,Eichhörnchen::N,ಉಡುತೆ,вавёрка
152,Elch::N,ಕಡವೆ,лось
153,Fuchs::N,ನರಿ,ліса
154,Hase::N,ಮೊಲ,заяц
155,Maus::N,ಇಲಿ,мыш
156,Wolf::N,ತೋಳ,воўк
157,Vogel::N,ಪಕ್ಷಿ,птах
158,Vogel::N,ಪಕ್ಷಿ,птушка
159,Schwarm::N,ಗುಂಪು,чарада
160,Huhn::N,ಚಿಕ್,курыца
161,Hahn::N,ಹುಂಜ,певень
162,Gans::N,ವರಟೆ,гусь
163,Adler::N,ಗರುಡ,арол
164,Ente::N,ಬಾತು,качка
165,Eule::N,ಗೂಬೆ,сава
166,Kranich::N,ಕೊಕ್ಕರ,жораў
167,Kranich::N,ಕೊಕ್ಕರ,журавель
168,Krähe::N,ಕಾಗೆ,варона
169,Kuckuck::N,ಕೋಗಿಲೆ,зязюля
170,Schwan::N,ಹಂಸಪಕ್ಷಿ,лебедзь
171,Fisch::N,ಮೀನು,рыба
172,Barsch::N,ಪರ್ಚ್ ಮೀನು,акунь
173,Hecht::N,ಪೈಕ್ ಮೀನು,шчупак
174,Schlange[Tier]::N,ಹಾವು,змяя
175,Wurm::N,ಹುಳು,чарвяк
176,Spinne::N,ಊರ್ಣನಾಭ,павук
177,Ameise::N,ಇರುವೆ,мурашка
178,Laus::N,ಹೇನು,вош
179,Mücke::N,ಸೊಳ್ಳೆ,камар
180,Fliege::N,ನೊಣ,муха
181,Schmetterling::N,ಪತಂಗ,матыль
182,Beere::N,ನಯವಣ್ಣು,ягада
183,Apfel::N,ಸೇಬು,яблык
184,Pilz::N,ಅಣಬೆ,грыб
185,Zwiebel::N,ನೀರುಳ್ಳಿ,цыбуля
186,Saat::N,ಬಿತ್ತ,семя
187,Korn::N,ಬೀಜ,зерне
188,Heu::N,ಕರಡ,сена
189,Schale::N,ಹೊಟ್ಟು,шалупінне
190,Grube::N,ಗುಂಡಿ,яма
191,Falle::N,ಬೋನು,пастка
192,Schlinge::N,ಉರುಲು,сіло
193,Spur::N,ಜಾಡು,след
194,Asche::N,ಬೂದಿ,попел
195,Dreck::N,ಹೊಲಸು,бруд
196,Eisen::N,ಕಬ್ಬಿಣ,жалеза
197,Gold::N,ಚಿನ್ನ,золата
198,Silber::N,ಬೆಳ್ಳಿ,сребра
199,Kohle::N,ಕಲ್ಲಿದ್ದಲು,вугаль
200,Glas::N,ಗಾಜು,шкло
201,Lehm::N,ಜೇಡಿಮಣ್ಣು,гліна
202,Sand::N,ಮರಳು,пясок
203,Mensch::N,ಪುರುಷ,чалавек
204,Mann::N,ಆಳು,мужчына
205,Frau::N,ಹೆಣ್ಣು,жанчына
206,Kind::N,ಮಗು,дзіця
207,Junge::N,ಹುಡುಗ,хлопчык
208,Mädchen::N,ಹುಡುಗಿ,дзяўчынка
209,Familie::N,ಕುಟುಂಬ,сямʼя
210,Großvater::N,ಅಜ್ಜ,дзядуля
211,Großmutter::N,ಅಮ್ಮ,бабуля
212,Eltern::N,ಹೆತ್ತವರು,бацькі
213,Vater::N,ತಂದೆ,бацька
214,Mutter::N,ಅಮ್ಮ,маці
215,Sohn::N,ಮಗ ,сын
216,Tochter::N,ಮಗಳು,дачка
217,Bruder::N,ತಮ್ಮ,брат
218,Schwester::N,ತಂಗಿ,сястра
219,Onkel::N,ಸೋದರಮಾವ,дзядзька
220,Onkel::N,ದೊಡ್ಡಪ್ಪ,дзядзька
221,Tante::N,ಚಿಕ್ಕಮ್ಮ,цётка
222,Ehemann::N,ಗಂಡ,муж
223,Ehefrau::N,ಹೆಂಡತಿ,жонка
224,Freude::N,ನಲಿವು,радасць
225,Gelächter::N,ನಗೆ,смех
226,Glück::N,ಆನಂದ,шчасце
227,Kummer::N,ದುಃಖ,гора
228,Wunsch::N,ಬಯಕೆ,жаданне
229,Lust::N,ಇಷ್ಟ,цяга
230,Geist::N,ಆತ್ಮ,дух
231,Gedanke::N,ಯೋಚನೆ,думка
232,Gedächtnis::N,ಸ್ಮರಣೆ,памяць
233,Verstand::N,ಮನಸ್ಸು,розум
234,Sinn::N,ಅರ್ಥ,сэнс
235,Grund::N,ಕಾರಣ,зачэпка
236,Wahrheit::N,ಸತ್ಯ,праўда
237,Gespräch::N,ಸಂಭಾಷಣೆ,размова
238,Märchen::N,ಸುಳ್ಳು ಕಥೆ,казка
239,Erzählung::N,ಕಥೆ,расказ
240,Erzählung::N,ಕಥೆ,апавяданне
241,Nachricht::N,ಸಂದೇಶ,вестка
242,Nachricht::N,ಸಂದೇಶ,паведамленне
243,Neuigkeit::N,ಸುದ್ದಿ,навіна
244,Name::N,ಹೆಸರು,імя
245,Rätsel::N,ಒಗಟು,загадка
246,Rede::N,ಮಾತು,прамова
247,Sprache::N,ಭಾಷೆ,мова
248,Stimme::N,ಧ್ವನಿ,голас
249,Wort::N,ಮಾತು,слова
250,Zeichen::N,ಗುರುತು,знак
251,Ruf::N,ಕೂಗು,кліч
252,Lärm::N,ಸದ್ದು,шум
253,Laut::N,ಶಬ್ದ,гук
254,Ton::N,ನಾದ,гучанне
255,Lied::N,ಗಾನ,песня
256,Ruhe::N,ಶಾಂತಿ,спакой
257,Leute::N,ಮಂದಿ,людзі
258,Volk::N,ಜನಾಂಗ,народ
259,Arbeit::N,ಕೆಲಸ,праца
260,Arbeit::N,ಕೆಲಸ,работа
261,Gast::N,ಅತಿಥಿ,госць
262,Geschenk::N,ಕಾಣಿಕೆ,падарунак
263,Spiel::N,ಆಟ,гульня
264,Gesellschaft::N,ಸಂಗ,таварыства
265,Hilfe::N,ಸಹಾಯ,дапамога
266,Freund::N,ಸ್ನೇಹಿತ,друг
267,Freund::N,ಸ್ನೇಹಿತ,сябар
268,Kamerad::N,ಜೊತೆಗಾರ,прыяцель
269,Angelegenheit::N,ವಿಚಾರ,справа
270,Anzahl::N,ಎಣಿಕೆ,колькасць
271,Art::N,ತರ,від
272,Stück::N,ತುಂಡು,кусок
273,Stück::N,ತುಂಡು,кавалак
274,Teil::N,ಭಾಗ,частка
275,Hälfte::N,ಅರ್ಧ,палова
276,Hälfte::N,ಅರ್ಧ,палавіна
277,Kreis::N,ವೃತ್ತ,круг
278,Kreuz::N,ಶಿಲುಬೆ,крыж
279,Linie::N,ರೀಖೆ,лінія
280,Strich::N,ಗೀಟು,рыса
281,Abstand::N,ಅಂತರ,прамежак
282,Entfernung::N,ದೂರ,адлегласць
283,Gegend::N,ವಿಸ್ತೀರ್ಣ,мясцовасць
284,Platz::N,ಅಂತರ,месца
285,Ort::N,ಸ್ಥಳ,месца
286,Seite::N,ಪಕ್ಷ,бок
287,Mitte::N,ನಡು,сярэдзіна
288,Gegenstand::N,ವಸ್ತು,прадмет
289,Sache::N,ವಸ್ತು,рэч
290,Rand::N,ಅಂಚು,край
291,Kante::N,ಅಂಚು,руб
292,Kante::N,ಅಂಚು,кант
293,Ecke::N,ಮೂಲೆ,вугал
294,Spitze::N,ತುದಿ,кончык
295,Ende::N,ಕೊನೆ,канец
296,Loch::N,ತೂತು,дзірка
297,Winkel::N,ಕೋನ,вугал
298,Muster::N,ನಮೂನೆ,узор
299,Größe::N,ಪ್ರಮಾಣ,памер
300,Länge::N,ಉದ್ದ,даўжыня
301,Höhe::N,ಎತ್ತರ,вышыня
302,Gewicht::N,ತೂಕ,вага
303,Menge::N,ಮೊತ್ತ,колькасць
304,Haufen::N,ರಾಶಿ,куча
305,Reihe::N,ಸಾಲು,рад
306,Boot::N,ದೋಣಿ,лодка
307,Ruder::N,ಹುಟ್ಟು,вясло
308,Schlitten::N,ಚಕ್ರವಿಲ್ಲದ ಜಾರುಬಮ್ಡಿ,сані
309,Ski::N,ಜಾರುಪಟ್ಟಿ,лыжа
310,Lagerfeuer::N,ಶಿಬಿರಾಗ್ನಿ,вогнішча
311,Last::N,ಹೊರೆ,цяжар
312,Gang::N,ತಿರುಗಾಟ,ход
313,Schritt::N,ಹೆಜ್ಜೆ,шаг
314,Schritt::N,ಹೆಜ್ಜೆ,крок
315,Norden::N,ಉತ್ತರ,поўнач
316,Süden::N,ದಕ್ಷಿಣ,поўдзень
317,Westen::N,ಪಶ್ಚಿಮ,захад
318,Osten::N,ಮೂಡಲು,усход
319,Holz::N,ಚೌಬೀನೆ,дрэва
320,Holz::N,ಚೌಬೀನೆ,драўніна
321,Brett::N,ಹಲಗೆ,дошка
322,Platte::N,ಹಲಗೆ,пліта
323,Stütze::N,ಆಸರೆ,падпорка
324,Stange::N,ಕಂಬ,жэрдка
325,Stock::N,ಕೋಲು,палка
326,Stab::N,ದೊಣ್ಣೆ,шост
327,Rohr::N,ನಳಿಕೆ,труба
328,Haus::N,ಮನೆ,дом
329,Heim::N,ಗೃಹ,дом
330,Heim::N,ಗೃಹ,хата
331,Ofen::N,ಒಲೆ,печ
332,Fußboden::N,ನೆಲ,падлога
333,Tisch::N,ಮೇಜು,стол
334,Stuhl::N,ಕುರ್ಚಿ,стул
335,Stuhl::N,ಕುರ್ಚಿ,крэсла
336,Wiege::N,ತೊಟ್ಟಿಲು,калыска
337,Bett::N,ಹಾಸಿಗೆ,ложак
338,Bett::N,ಹಾಸಿಗೆ,пасцель
339,Regal::N,ಬೀರು,паліца
340,Kiste::N,ಪಟ್ಟಿಗೆ,скрынка
341,Fenster::N,ಕಿಟಕಿ,акно
342,Tür::N,ಬಾಗಿಲು,дзверы
343,Tor::N,ಹೆಬ್ಬಾಗಿಲು,вароты
344,Zaun::N,ಬೇಲಿ,агароджа
345,Dach::N,ಮಾಳಿಗೆ,дах
346,Leiter::N,ಏಣಿ,лесвіца
347,Besen::N,ಪೊರಕೆ,мятла
348,Spaten::N,ಗುದ್ದಲಿ,лапата
349,Spaten::N,ಗುದ್ದಲಿ,жалязняк
350,Schaufel::N,ಸನಿಕೆ,шуфлік
351,Schaufel::N,ಸನಿಕೆ,лапатка
352,Gabel::N,ಕವಲು,відэлец
353,Löffel::N,ಚಮಚ,лыжка
354,Messer::N,ಚಾಕು,нож
355,Nagel::N,ಆಣಿ,цвік
356,Netz::N,ಬಲೆ,сетка
357,Haken::N,ಕೊಂಡಿ,крук
358,Griff::N,ಹಿಡಿ,ручка
359,Schloss::N,ವೀಗ,замок
360,Bild::N,ಚಿತ್ರ,карціна
361,Figur::N,ಆಕಾರ,фігура
362,Puppe::N,ಗೊಂಬೆ,лялька
363,Beutel::N,ಸಂಚಿ,мяшок
364,Bündel::N,ಕಟ್ಟು,вязка
365,Tasche::N,ಚೀಲ,торба
366,Eimer::N,ಬಾನೆ,вядро
367,Deckel::N,ಮುಚ್ಚಳ,накрыўка
368,Geschirr::N,ಭಕ್ಷ್ಯಗಳು,пасуда
369,Sack::N,ಮೂಟೆ,мех
370,Tasse::N,ಬಟ್ಟಲು,кубак
371,Topf::N,ಮಡಕೆ,каструля
372,Kessel::N,ಕೆಟಲ್,кацёл
373,Essen::N,ಊಟ,ежа
374,Nahrung::N,ಆಹಾರ,харч
375,Speise::N,ಊಟ,страва
376,Fleisch::N,ಮಾಂಸ,мяса
377,Getreide::N,ಧಾನ್ಯ,збожжа
378,Brei::N,ಗಂಜಿ,каша
379,Brot::N,ರೊಟ್ಟಿ,хлеб
380,Scheibe::N,ಹೋಳು,луста
381,Scheibe::N,ಹೋಳು,скібка
382,Fett::N,ಕೊಬ್ಬು,тлушч
383,Butter::N,ಬೆಣ್ಣೆ,масла
384,Öl::N,ಎಣ್ಣೆ,алей
385,Salz::N,ಉಪ್ಪು,соль
386,Suppe::N,ಎಸರು,суп
387,Honig::N,ಮಧು,мёд
388,Milch::N,ಹಾಲು,малако
389,Tee::N,ಚಹ,чай
390,Tee::N,ಚಹ,гарбата
391,Leder::N,ಚಕ್ಕಳ,скура
392,Wolle::N,ಉಣ್ಣೆ,воўна
393,Stoff::N,ಬಟ್ಟೆ,тканіна
394,Nadel::N,ಸೂಜಿ,іголка
395,Faden::N,ದಾರ,нітка
396,Knopf::N,ಗುಂಡು,гузік
397,Knoten::N,ಗಂಟು,вузел
398,Farbe::N,ಬಣ್ಣ,фарба
399,Kleidung::N,ಅರಿವೆ,адзенне
400,Hemd::N,ಅಂಗಿ,кашуля
401,Kragen::N,ಕುತ್ತಿಗೆಪಟ್ಟಿ,каўнер
402,Ärmel::N,ತೋಳು,рукаў
403,Hose::N,ಇಜಾರ,штаны
404,Gürtel::N,ಬೆಲ್ಟು,пояс
405,Mütze::N,ಟೋಪಿ,шапка
406,Schuh::N,ಪಾದರಕ್ಷೆ,чаравік
407,Stiefel::N,ಬೂಟು,бот
408,Ring::N,ಉಂಗುರ,кольца
409,Band::N,ರಿಬ್ಬನ್,стужка
410,Kamm::N,ಹಣಿಗೆ,расчоска
411,Spiegel::N,ಕನ್ನಡಿ,люстра
412,Riemen::N,ಬಾರು,рэмень
413,Schnur::N,ಹುರಿ,вяроўка
414,Leine::N,ಹಗ್ಗ,павадок
415,Decke::N,ಕಂಬಳಿ,коўдра
416,Kissen::N,ದಿಂಬು,падушка
417,Tuch::N,ಕೊರಳ ಬಟ್ಟೆ,хустка
418,Handtuch::N,ಚೌಕ,ручнік
419,Kraft::N,ಬಲ,сіла
420,Stärke::N,ಶಕ್ತಿ,моц
421,Gesundheit::N,ಆರೋಗ್ಯ,здароўе
422,Krankheit::N,ರೋಗ,хвароба
423,Schmerz::N,ನೋವು,боль
424,Wunde::N,ಗಾಯ,рана
425,Fieber::N,ಜ್ವರ,гарачка
426,Fieber::N,ಜ್ವರ,ліхаманка
427,Arznei::N,ಔಷಧ,лекі
428,Brücke::N,ಸೇತುವೆ,мост
429,Brunnen::N,ಬಾವಿ,калодзеж
430,Weide::N,ಗೋಮಾಳ,паша
431,Pfad::N,ದಾರಿ,сцежка
432,Weg::N,ಹಾದಿ,шлях
433,Weg::N,ಹಾದಿ,дарога
434,Straße::N,ರಸ್ತೆ,вуліца
435,Dorf::N,ಹಳ್ಳಿ,вёска
436,Stadt::N,ಪಟ್ಟಣ,горад
437,Brief::N,ಕಾಗದ,ліст
438,Brief::N,ಕಾಗದ,пісьмо
439,Buch::N,ಪುಸ್ತಕ,кніга
440,Buchstabe::N,ಅಕ್ಷರ,літара
441,Zeitung::N,ವಾರ್ತಾಪತ್ರಿಕೆ,газета
442,Leben::N,ಜೀವನ,жыццё
443,Tod::N,ಮರಣ,смерць
444,Grab::N,ಗೋರಿ,магіла
445,Kirche::N,ಚರ್ಚು,касцёл
446,Kirche::N,ಚರ್ಚು,царква
447,Sünde::N,ಪಾಪ,грэх
448,Gott::N,ದೇವರು,бог
449,Arbeiter::N,ಕೆಲಸಗಾರ,рабочы
450,Chef::N,ದಣಿ,начальнік
451,Meister::N,ಶಿಕ್ಷಕ,майстар
452,Arzt::N,ವೈದ್ಯ,урач
453,Lehrer::N,ಉಪಾಧ್ಯಾಯ,настаўнік
454,Geld::N,ಹಣ,грошы
455,Geschäft::N,ವಾಣಿಜ್ಯ,заняцце
456,Laden::N,ಅಂಗಡಿ,крама
457,Laden::N,ಅಂಗಡಿ,магазін
458,Preis::N,ಬೆಲೆ,цана
459,Ware::N,ಸರಕು,тавар
460,Nutzen::N,ಲಾಭ,выгада
461,Reichtum::N,ಸಂಪತ್ತು,багацце
462,Welt::N,ಭೂಲೋಕ,свет
463,Land::N,ದೇಶ,краіна
464,Staat::N,ರಾಜ್ಯ,дзяржава
465,König::N,ರಾಜ,кароль
466,Macht::N,ಅಧಿಕಾರ,улада
467,Grenze::N,ಗಡಿ,граніца
468,Krieg::N,ಯುದ್ಧ,вайна
469,Feind::N,ಶತ್ರು,вораг
470,Gewalt::N,ಹಿಂಸೆ,насілле
471,Kampf::N,ಹೋರಾಟ,барацьба
472,Bogen[Waffe]::N,ಬಿಲ್ಲು,лук
473,Pfeil::N,ಅಂಬು,страла
474,Gewehr::N,ಬಂದೂಕು,ружжо
475,Fehler::N,ತಪ್ಪು,памылка
476,Lüge::N,ಸುಳ್ಳು,хлусня
477,Schaden::N,ಹಾನಿ,шкода
478,Unglück::N,ಅಪಾಯ,ліха
479,Unglück::N,ಅಪಾಯ,бядота
480,Schuld::N,ದೋಷ,віна
481,Alter::N,ಮುಪ್ಪು,узрост
482,Schluss::N,ಮುಕ್ತಾಯ,канец
483,Zeit::N,ಕಾಲ,час
484,Tag::N,ದಿನ,дзень
485,Morgen::N,ಮುಂಜಾನೆ,ранак
486,Morgen::N,ಮುಂಜಾನೆ,раніца
487,Mittag::N,ನಡುಹಗಲು,паўдня
488,Mittag::N,ನಡುಹಗಲು,поўдзень
489,Abend::N,ಸಂಜೆ,вечар
490,Nacht::N,ರಾತ್ರಿ,ноч
491,Woche::N,ವಾರ,тыдзень
492,Monat::N,ತಿಂಗಳು,месяц
493,Jahr::N,ಸಂವತ್ಸರ,год
494,Frühling::N,ವಸಂತ,вясна
495,Sommer::N,ಬಿಸಿಲುಕಾಲ,лета
496,Herbst::N,ಶರತ್ಕಾಲ,восень
497,Winter::N,ಚಳಿಗಾಲ,зіма
498,Januar::N,ನಾಲ್ಚಳಿ,студзень
499,Februar::N,ಅಯ್ಚಳಿ,люты
500,März::N,ಮೊಬ್ಬೇಸಿಗೆ,сакавік
501,April::N,ಇಬ್ಬೇಸಿಗೆ,красавік
502,Mai::N,ಮುಬ್ಬೇಸಿಗೆ,май
503,Mai::N,ಮುಬ್ಬೇಸಿಗೆ,травень
504,Juni::N,ಮೊಮ್ಮಳೆ,чэрвень
505,Juli::N,ಇಮ್ಮಳೆ,ліпень
506,August::N,ಮುಮ್ಮಳೆ,жнівень
507,September::N,ನಾಲ್ಮಳೆ,верасень
508,Oktober::N,ಮೊಚ್ಚಳಿ,кастрычнік
509,November::N,ಇಚ್ಚಳಿ,лістапад
510,Dezember::N,ಮುಚ್ಚಳಿ,снежань
511,Montag::N,ಸೋಮುವಾರ,панядзелак
512,Dienstag::N,ಮಂಗಳವಾರ,аўторак
513,Mittwoch::N,ಬುಧವಾರ,серада
514,Donnerstag::N,ಗುರುವಾರ,чацвер
515,Freitag::N,ಶುಕ್ರವಾರ,пятніца
516,Samstag::N,ಶನಿವಾರ,субота
517,Sonntag::N,ಭಾನುವಾರ,нядзеля
518,groß::A,ದೊಡ್ಡ,вялікі
519,klein::A,ಪುಟ್ಟ,маленькі
520,lang::A,ದೀರ್ಘ,доўгі
521,kurz::A,ಚಕ್ಕ,кароткі
522,breit::A,ಅಗಲವಾದ,шырокі
523,schmal::A,ಇಕ್ಕಟ್ಟಾದ,вузкі
524,dicht::A,ದಟ್ಟ,густы
525,dick[Gegenstand]::A,ದಟ್ಟ,тоўсты
526,dünn::A,ತೆಳು,тонкі
527,fein::A,ಕೋಮಲ,тонкі
528,fest::A,ಘನ,моцны
529,flach::A,ಚಪ್ಪಟೆ,плоскі
530,glatt::A,ನಯ,гладкі
531,hart::A,ಗಟ್ಟಿ,цвёрды
532,weich::A,ಮೃದುವಾದ,мяккі
533,rund::A,ವರ್ತುಳ,круглы
534,spitz::A,ಮೊನಚಾದ,спічасты
535,spitz::A,ಮೊನಚಾದ,востраканцовы
536,scharf::A,ತೀಕ್ಷ್ಣ,востры
537,stumpf::A,ಮೊಂಡು,тупы
538,schwer::A,ಭಾರಿ,цяжкі
539,schön::A,ಸುಂದರ,прыгожы
540,heiß::A,ಬಿಸಿ,гарачы
541,warm::A,ಬಿಸಿ,цёплы
542,kalt::A,ತಣ್ಣನೆಯ,холадны
543,kühl::A,ತಂಪಾದ,халаднаваты
544,frisch::A,ನಿರ್ಮಲ,свежы
545,feucht::A,ಒದ್ದೆಯಾದ,вільготны
546,nass::A,ಒದ್ದೆಯಾದ,мокры
547,trocken::A,ಶುಷ್ಕ,сухі
548,voll::A,ತುಂಬಿದ,поўны
549,leer::A,ಖಾಲಿ,пусты
550,offen::A,ಮುಚ್ಚಲ್ಲದ,адкрыты
551,offen::A,ಮುಚ್ಚಲ್ಲದ,адчынены
552,geschlossen::A,ಮುಚ್ಚಿದ,закрыты
553,geschlossen::A,ಮುಚ್ಚಿದ,зачынены
554,sauber::A,ಶುದ್ಧ,чысты
555,schmutzig::A,ಅಶುದ್ಧ,брудны
556,roh::A,ಹಸಿ,сыры
557,reif::A,ಹಣ್ಣಾದ,спелы
558,lecker::A,ಗುಚಿಕರ,смачны
559,süß::A,ಸಿಹಿ,салодкі
560,bitter::A,ಕಹಿ,горкі
561,sauer::A,ಹುಳಿಯಾದ,кіслы
562,hell::A,ಹೊಳೆಯುವ,светлы
563,dunkel::A,ಮಬ್ಬಾದ,цёмны
564,schwarz::A,ಕಪ್ಪು,чорны
565,weiß::A,ಬಿಳಿಯ,белы
