,Concept_ID,fa,tt
341,Linie::N,خط,сызык
342,Linie::N,سطر,сызык
343,Strich::N,خط,сызык
344,Abstand::N,فاصله,ара
345,Entfernung::N,مسافت,ераклык
346,Gegend::N,منطقه,урын
347,Platz::N,گنجایش,бушлык
348,Ort::N,جا,урын
349,Ort::N,محل,урын
350,Ort::N,مکان,урын
351,Seite::N,طرف,як
352,Mitte::N,وسط,урта
353,Mitte::N,میان,урта
354,Gegenstand::N,چیز,нәрсә
355,Sache::N,چیز,нәрсә
356,Rand::N,کنار,чит
357,Rand::N,حاشیه,чит
358,Kante::N,لبه,кырый
359,Ecke::N,گوشه,почмак
360,Spitze::N,سر,оч
361,Spitze::N,نوک,оч
362,Ende::N,ته,азак
363,Ende::N,آخر,азак
364,Loch::N,سوراخ,тишек
365,Winkel::N,کنج,почмак
366,Muster::N,نقش,парча
367,Größe::N,قد,зурлык
368,Größe::N,بزرگی,зурлык
369,Länge::N,طول,озынлык
370,Höhe::N,بلندی,биеклек
371,Gewicht::N,وزن,авырлык
372,Menge::N,مقدار,микъдар
373,Menge::N,اندازه,микъдар
374,Haufen::N,توده,өем
375,Reihe::N,ردیف,рәт
376,Boot::N,قایق,каек
377,Boot::N,قایق,көймә
378,Ruder::N,پارو,ишкәк
379,Schlitten::N,سورتمه,чана
380,Ski::N,اسکی,чаңгы
381,Lagerfeuer::N,آتش,костёр
382,Last::N,بار,йөк
383,Last::N,سنگینی,йөк
384,Gang::N,راه رفتن,йөреш
385,Schritt::N,قدم,адым
386,Norden::N,شمال,төньяк
387,Süden::N,جنوب,көньяк
388,Westen::N,غرب,көнбатыш
389,Osten::N,شرق,шәрык
390,Osten::N,شرق,көнчыгыш
391,Holz::N,چوب,агач
392,Brett::N,تخته,такта
393,Platte::N,صفحه,плитә
394,Stütze::N,تکیه,таяу
395,Stange::N,میله,колга
396,Stock::N,چوب,таяк
397,Stab::N,عصا,таяк
398,Rohr::N,لوله,торба
399,Haus::N,منزل,өй
400,Haus::N,منزل,йорт
401,Heim::N,خانه,гаилә
402,Heim::N,خانه,нәсел
403,Heim::N,کاشانه,гаилә
404,Heim::N,کاشانه,нәсел
405,Ofen::N,بخاری,мич
406,Fußboden::N,کف اتاق,идән
407,Tisch::N,میز,өстәл
408,Stuhl::N,صندلی,утыргыч
409,Wiege::N,گهواره,бишек
410,Bett::N,تختخواب,ятак
411,Bett::N,تختخواب,урын-җир
412,Regal::N,قفسه,киштә
413,Regal::N,قفسه,шүрлек
414,Kiste::N,صندوق,әрҗә
415,Fenster::N,پنجره,тәрәзә
416,Tür::N,در,ишек
417,Tür::N,درب,ишек
418,Tor::N,دروازه,капка
419,Zaun::N,حصار,койма
420,Dach::N,بام,түбә
421,Leiter::N,نردبان,баскыч
422,Besen::N,جارو,себерке
423,Spaten::N,بیل,көрәк
424,Schaufel::N,بیل,көрәк
425,Schaufel::N,پارو,көрәк
426,Gabel::N,چنگال,чәннечке
427,Löffel::N,قاشق,кашык
428,Messer::N,کارد,пычак
429,Nagel::N,میخ,кадак
430,Netz::N,تور,челтәр
431,Netz::N,شبکه,челтәр
432,Haken::N,قلاب,ыргак
433,Griff::N,دسته,тотка
434,Schloss::N,قفل,йозак
435,Bild::N,عکس,рәсем
436,Bild::N,عکس,картина
437,Bild::N,تصویر,рәсем
438,Bild::N,تصویر,картина
439,Figur::N,تندیس,сын
440,Figur::N,تندیس,фигура
441,Puppe::N,عروسک,курчак
442,Beutel::N,کیسه,луза
443,Bündel::N,بسته,бәйләм
444,Tasche::N,کیف,букча
445,Eimer::N,سطل,чиләк
446,Deckel::N,در,капкач
447,Geschirr::N,ظرف,савыт-саба
448,Geschirr::N,ظرف,кашык-аяк
449,Sack::N,گونی,капчык
450,Tasse::N,فنجان,чынаяк
451,Topf::N,دیگ,чүлмәк
452,Topf::N,قابلمه,чүлмәк
453,Kessel::N,دیگ,казан
454,Essen::N,خوراک,ашау
455,Nahrung::N,غذا,азык
456,Nahrung::N,غذا,тәгам
457,Nahrung::N,غذا,ашамлык
458,Speise::N,خوراک,ризык
459,Fleisch::N,گوشت,ит
460,Getreide::N,غله,ашлык
461,Brei::N,فرنی,ботка
462,Brei::N,حریره,ботка
463,Brot::N,نان,ипи
464,Brot::N,نان,икмәк
465,Scheibe::N,قاچ,телем
466,Scheibe::N,لزگه,телем
467,Fett::N,چربی,май
468,Butter::N,کره,май
469,Öl::N,روغن,май
470,Salz::N,نمک,тоз
471,Suppe::N,آش,шулпа
472,Suppe::N,سوپ,шулпа
473,Honig::N,عسل,бал
474,Milch::N,شیر,сөт
475,Tee::N,چای,чәй
476,Leder::N,چرم,күн
