,Concept_ID,ml,br
142,Schwein::N,പന്നി,pemoc'h
143,Hund::N,നായ്,ki
144,Katze::N,പൂച്ച,kazh
145,Bär::N,കരടി,arzh
146,Eichhörnchen::N,അണ്ണാൻ,gwiñver
147,Elch::N,കടമാന്,karv-dour
148,Fuchs::N,കുറുക്കൻ,louarn
149,Hase::N,മുയൽ,gad
150,Maus::N,ചുണ്ടലി,logodenn
151,Wolf::N,ചെന്നായ,bleiz
152,Vogel::N,പക്ഷി,labous
153,Schwarm::N,കൂട്ടം,nijad
154,Huhn::N,കോഴി,yar
155,Hahn::N,പൂവൻകോഴി,kilhog
156,Gans::N,അരയന്നം,gwazenn
157,Adler::N,കഴുകൻ,erer
158,Ente::N,താറാവ്,houad
159,Eule::N,മൂങ്ങ,toud
160,Kranich::N,കൊക്ക്,garan
161,Krähe::N,കാക്ക,bran
162,Kuckuck::N,കുയിൽ,koukoug
163,Schwan::N,അരയന്നം,alarc'h
164,Fisch::N,മത്സ്യം,pesk
165,Barsch::N,ഒരിനം മത്സ്യം,brell
166,Hecht::N,ഒരു മത്സ്യം,beked
167,Schlange[Tier]::N,പാമ്പ്,naer
168,Wurm::N,വിര,preñv
169,Spinne::N,ചിലന്തി,kevnidenn
170,Ameise::N,ഉറുമ്പ്,merion
171,Laus::N,പേന്,laouenn
172,Mücke::N,മശകം,moustik
173,Fliege::N,ഈച്ച,kelienenn
174,Schmetterling::N,ചിത്രശലഭം,balafenn
175,Beere::N,ബെറി,hog
176,Apfel::N,ആപ്പിൾ,aval
177,Pilz::N,കൂൺ,kabell-touseg
178,Zwiebel::N,സവാള,ognonenn
179,Saat::N,വിത്ത്,had
180,Korn::N,ധാന്യം,ed
181,Heu::N,വയ്ക്കോൽ,foenn
182,Schale::N,തൊലി,peliadur
183,Grube::N,കുഴി,
184,Falle::N,കെണി,pech
185,Schlinge::N,കുടുക്ക്,krouglas
186,Spur::N,ചുവട്,
187,Asche::N,ചാരം,ludu
188,Dreck::N,അഴുക്ക്,fank
189,Eisen::N,ഇരുമ്പ്,houarn
190,Gold::N,സ്വർണ്ണം,aour
191,Silber::N,വെള്ളി,arc'hant
192,Kohle::N,കൽക്കരി,glaou
193,Glas::N,ഗ്ലാസ്,gwer
194,Lehm::N,കളിമണ്ണ്,
195,Sand::N,മണൽ,traezh
196,Mensch::N,മനുഷ്യർ,den
197,Mann::N,പുരുഷൻ,den
198,Frau::N,സ്ത്രീ,maouez
199,Kind::N,കുഞ്ഞ്,bugel
200,Junge::N,ആൺകുട്ടി,paotr
201,Mädchen::N,പെൺകുട്ടി,plac'h
202,Familie::N,കുടുംബം,familh
203,Großvater::N,അപ്പൂപ്പൻ,tad-kozh
204,Großmutter::N,അമ്മുമ്മ,mamm-gozh
205,Eltern::N,മാതാപിതാക്കള്,kerent
206,Vater::N,അച്ഛൻ,tad
207,Mutter::N,അമ്മ,mamm
208,Sohn::N,മകൻ,mab
209,Tochter::N,മകൾ,merc'h
210,Bruder::N,ചേട്ടൻ,breur
211,Bruder::N,അനിയൻ,breur
212,Schwester::N,ചേച്ചി,c'hoar
213,Schwester::N,അനിയത്തി,c'hoar
214,Onkel::N,അമ്മാവൻ,eontr
215,Tante::N,മാമി,moereb
216,Ehemann::N,ഭർത്താവ്,gwaz
217,Ehefrau::N,ഭാര്യ,gwreg
218,Freude::N,ആഹ്ലാദം,levenez
219,Gelächter::N,ചിരിയുടെ ശബ്ദം,c'hoarzherezh
220,Glück::N,സന്തോഷം,chañs
221,Glück::N,സന്തുഷ്ടി,chañs
222,Kummer::N,ശോകം,doan
223,Wunsch::N,ആഗ്രഹം,c'hoant
224,Lust::N,ആഗ്രഹം,c'hoant
225,Geist::N,ചുറുചുറുക്ക്,spered
226,Gedanke::N,ചിന്ത,soñj
227,Gedächtnis::N,ഓർമ്മശക്തി,eñvor
228,Verstand::N,മനസ്സ്,skiant
229,Sinn::N,അർത്ഥം,ster
230,Grund::N,കാരണം,kaoz
231,Wahrheit::N,സത്യം,gwirionez
232,Gespräch::N,സല്ലാപം,kaozeadenn
233,Märchen::N,യക്ഷിക്കഥ,kaoz korriganez
234,Erzählung::N,കഥ,kontadenn
235,Nachricht::N,സന്ദേശം,keloù
236,Neuigkeit::N,വാർത്ത,kelaouenn
237,Name::N,പേര്,anv
238,Rätsel::N,പ്രഹേളിക,divinatez
239,Rede::N,സംസാരം,diskour
240,Sprache::N,ഭാഷ,yezh
241,Stimme::N,സ്വരം,mouezh
242,Wort::N,വാക്ക്,ger
243,Zeichen::N,സംജ്ഞ,sin
244,Ruf::N,വിളി,galv
245,Lärm::N,ആരവം,trouz
246,Laut::N,ശബ്ദം,
247,Ton::N,സ്വരഭേദം,ton
248,Lied::N,പാട്ട്,kanaouenn
249,Ruhe::N,നിശ്ചലത,sioulded
250,Leute::N,ജനങ്ങൾ,tud
251,Volk::N,രാഷ്ടം,pobl
252,Arbeit::N,ജോലി,labour
253,Gast::N,അതിലി,kouviad
254,Geschenk::N,സമ്മാനം,prof
255,Spiel::N,കളി,c'hoari
256,Gesellschaft::N,കൂട്ടായ്മ,kompagnunezh
257,Gesellschaft::N,കൂട്ടായ്മ,kavandad
258,Hilfe::N,സഹായം,sikour
259,Freund::N,സുഹൃത്ത്,mignon
260,Kamerad::N,കൂട്ടാളി,kamarad
261,Angelegenheit::N,കാര്യം,afer
262,Anzahl::N,എണ്ണം,niver
263,Art::N,തരം,sort
264,Stück::N,കഷണം,tamm
265,Teil::N,ഭാഗം,pezh
266,Hälfte::N,പകുതി,hanterenn
267,Kreis::N,വൃത്തം,kelc'h
268,Kreuz::N,കുരിശടയാളം,kroaz
269,Linie::N,വര,linenn
270,Linie::N,രേഖ,linenn
271,Strich::N,പക്ഷാഘാതം,tenn
272,Abstand::N,വിടവ്,distok
273,Entfernung::N,അകലം,keid
274,Entfernung::N,അകലം,kehid
275,Gegend::N,പ്രദേശം,korn-bro
276,Platz::N,ഇടം,plasenn
277,Ort::N,സ്ഥലം,lec'h
278,Seite::N,വശം,tu
279,Mitte::N,മധ്യസ്ഥാനം,kreiz
280,Gegenstand::N,സാധനം,tra
281,Sache::N,വസ്തു,tra
282,Rand::N,തൊങ്ങൽ,kantenn
283,Kante::N,അറ്റം,kantenn
284,Ecke::N,മൂല,korn
285,Spitze::N,അഗ്രം,begell
286,Ende::N,അവസാനം,dibenn
287,Loch::N,ദ്വാരം,toull
288,Winkel::N,കോൺ,
289,Muster::N,ക്രമം,tresadenn
290,Größe::N,വലുപ്പം,ment
291,Länge::N,നീളം,hirder
292,Höhe::N,ഉയരം,uhelder
293,Gewicht::N,കട്ടി,pouez
294,Menge::N,അളവ്,bern
295,Haufen::N,കൂമ്പാരം,bern
296,Reihe::N,വരി,steud
297,Boot::N,ബോട്ട്,bag
298,Ruder::N,പങ്കായം,roeñv
299,Schlitten::N,ഉരുളില്ലാവണ്ടി,trainell
300,Ski::N,ഹിമപാദുകം,ski
301,Lagerfeuer::N,തീ,
302,Last::N,ഭാരം,karg
303,Gang::N,നടത്തം,kerzh
304,Schritt::N,ചുവട്,paz
305,Norden::N,വടക്ക്,norzh
306,Norden::N,വടക്ക്,hanternoz
307,Süden::N,തെക്ക്,su
308,Süden::N,തെക്ക്,kreisteiz
309,Westen::N,പടിഞ്ഞാറ്,kuzh-heol
310,Osten::N,കിഴക്ക്,reter
311,Osten::N,കിഴക്ക്,sav-heol
312,Holz::N,തടി,koad
313,Brett::N,ബോർഡ്,plankenn
314,Platte::N,തകിട്,plakenn
315,Stütze::N,താങ്ങ്,harp
316,Stange::N,കമ്പ്,sparl
317,Stock::N,വടി,bazh
318,Stab::N,കുറുവടി,bazh
319,Rohr::N,കുഴൽ,tub
320,Rohr::N,കുഴൽ,korz
321,Haus::N,വീട്,ti
322,Heim::N,വീട്,kêr
323,Ofen::N,സ്റ്റൌ,forn
324,Fußboden::N,തറ,plañchod
325,Tisch::N,മേശ,taol
326,Stuhl::N,കസേര,kador
327,Wiege::N,തൊട്ടിൽ,kavell
328,Bett::N,കിടക്ക,gwele
329,Regal::N,ഷെൽഫ്,estajerenn
330,Kiste::N,പെട്ടി,kased
331,Fenster::N,ജനൽ,prenestr
332,Tür::N,വാതിൽ,dor
333,Tor::N,കവാടം,portal
334,Zaun::N,വേലി,sklotur
335,Dach::N,മേൽക്കുര,toenn
336,Leiter::N,ഏണി,skeul
337,Besen::N,ചൂല്,skubell
338,Spaten::N,തൂമ്പ,pal
339,Schaufel::N,തൂമ്പ,pal
340,Gabel::N,മുൾക്കത്തി,fourchetez
341,Löffel::N,സ്പൂൺ,loa
342,Messer::N,കത്തി,kontell
343,Nagel::N,ആണി,tach
344,Netz::N,വല,roued
345,Haken::N,കൊളുത്ത്,krog
346,Griff::N,കൈപ്പിടി,kemer
347,Schloss::N,പൂട്ട്,potenn
348,Bild::N,ചിത്രം,skeudenn
349,Figur::N,കണക്ക്,skeud
350,Figur::N,കണക്ക്,figur
351,Puppe::N,പാവ,merc'hodenn
352,Beutel::N,ബാഗ്,sac'h
353,Bündel::N,കെട്ട്,feskenn
354,Tasche::N,ബാഗ്,sac'h
355,Eimer::N,ബക്കറ്റ്,sailh
356,Deckel::N,ഉറ,pallenn
357,Geschirr::N,പിഞ്ഞാണം,listriaj
358,Sack::N,ചാക്ക്,sac'h
359,Tasse::N,കപ്പ്,tas
360,Topf::N,പാത്രം,pod
361,Kessel::N,കെറ്റ്ല്,chaodouron
362,Essen::N,ആഹാരസമയം,pred
363,Nahrung::N,ഭക്ഷണം,boued
364,Speise::N,ഡിഷ്,meuz
365,Fleisch::N,മാംസം,kig
366,Getreide::N,ചോളം,ed
367,Brei::N,കഞ്ഞി,yod
368,Brot::N,റോട്ടി,bara
369,Scheibe::N,തുണ്ട്,tailhenn
370,Fett::N,കൊഴുപ്പ്,lard
371,Butter::N,വെണ്ണ,amann
372,Öl::N,എണ്ണ,eoul
373,Salz::N,ഉപ്പ്,holen
374,Suppe::N,സൂപ്പ്,soubenn
375,Honig::N,തേൻ,mel
376,Milch::N,പാൽ,laezh
377,Tee::N,ചായ,te
378,Leder::N,തുകൽ,lêr
379,Wolle::N,കമ്പിളി,gloan
380,Stoff::N,തുണി,danvez
381,Nadel::N,സൂചി,nadoz
382,Faden::N,നൂല്,neudenn
383,Knopf::N,ബട്ടൺ,bouton
384,Knoten::N,കുരുക്ക്,skoulm
385,Farbe::N,പെയിൻറ്,liv
386,Kleidung::N,വസ്ത്രങ്ങൾ,dilhad
387,Hemd::N,ഷർട്ട്,roc'hed
388,Kragen::N,കുപ്പായക്കഴുത്ത്,gouzoug
389,Ärmel::N,കുപ്പായക്കൈ,milgin
390,Hose::N,ട്രൌസർ,bragoù
391,Gürtel::N,ബെൽറ്റ്,gouriz
392,Mütze::N,തൊപ്പി,boned
393,Schuh::N,ഷൂ,botez
394,Stiefel::N,ബൂട്ട്,botez
395,Ring::N,മോതിരം,gwalenn
396,Band::N,റിബൺ,bagad
397,Kamm::N,ചീപ്പ്,krib
398,Spiegel::N,കണ്ണാടി,melezour
399,Riemen::N,സ്ട്രാപ്പ്,lerenn
400,Schnur::N,ചരട്,kordenn
401,Leine::N,കെട്ടാനുള്ള തോൽവാർ,roll
402,Decke::N,പുതപ്പ്,golo
403,Kissen::N,തലയിണ,goubenner
404,Tuch::N,സ്കാർഫ്,mezher
405,Handtuch::N,തോർത്ത്,toailhon
406,Kraft::N,ശക്തി,nerzh
407,Stärke::N,ശക്തി,nerzhder
408,Gesundheit::N,ആരോഗ്യം,yec'hed
409,Krankheit::N,അസുഖം,klañved
410,Schmerz::N,വേദന,poan
411,Schmerz::N,വേദന,droug
412,Wunde::N,മുറിവ്,gloazadenn
413,Fieber::N,പനി,terzhienn
414,Arznei::N,മരുന്ന്,louzoù
415,Brücke::N,പാലം,pont
416,Brunnen::N,കിണർ,puñs
417,Weide::N,മേച്ചൽ,prad
418,Pfad::N,വഴി,gwenodenn
419,Weg::N,വഴി,hent
420,Straße::N,റോഡ്,ru
421,Straße::N,റോഡ്,hent
422,Dorf::N,ഗ്രാമം,kêr
423,Dorf::N,ഗ്രാമം,kêriadenn
424,Stadt::N,നഗരം,kêr
425,Brief::N,കത്ത്,lizher
426,Buch::N,പുസ്തകം,levr
427,Buchstabe::N,അക്ഷരം,lizherenn
428,Zeitung::N,വർത്തമാനപത്രം,kazetenn
429,Leben::N,ജീവൻ,buhez
430,Tod::N,മരണം,marv
431,Grab::N,ശവക്കുഴി,bez
432,Kirche::N,പള്ളി,iliz
433,Sünde::N,പാപം,pec'hed
434,Gott::N,ദൈവം,doue
435,Arbeiter::N,ജോലിക്കാരൻ,labourer
436,Arbeiter::N,ജോലിക്കാരൻ,micherour
437,Chef::N,മേധാവി,penn
438,Meister::N,യജമാനൻ,mestr
439,Arzt::N,ഡോക്ടർ,mezeg
440,Arzt::N,ഡോക്ടർ,medisin
441,Lehrer::N,അധ്യാപകൻ,skolaer
442,Lehrer::N,അധ്യാപകൻ,kelenner
443,Geld::N,പണം,arc'hant
444,Geschäft::N,ബിസിനസ്,stal
445,Laden::N,കട,stal
446,Preis::N,വില,priz
447,Ware::N,ചരക്ക്,marc'hadourezh
448,Nutzen::N,ലാഭം,gounidegezh
449,Nutzen::N,ലാഭം,lañs
450,Nutzen::N,ലാഭം,profit
451,Nutzen::N,ലാഭം,spleit
452,Reichtum::N,ധനം,pinvidigezh
453,Welt::N,ലോകം,douar
454,Land::N,രാജ്യം,bro
455,Staat::N,രാജ്യം,stad
456,König::N,രാജാവ്,roue
457,Macht::N,അധികാരം,galloud
458,Grenze::N,അതിർത്തി,harzoù
459,Krieg::N,യുദ്ധം,brezel
460,Feind::N,ശത്രു,eneber
461,Gewalt::N,അക്രമം,tâerder
462,Kampf::N,പോരാട്ടം,kann
463,Bogen[Waffe]::N,വില്ല്,gwareg
464,Pfeil::N,അമ്പ്,saezh
465,Gewehr::N,തോക്ക്,fuzuilh
466,Fehler::N,പിശക്,fazi
467,Lüge::N,കള്ളം,gaou
468,Schaden::N,കേടുപാട്,gwall
469,Unglück::N,ദൌർഭാഗ്യം,gwalleur
470,Schuld::N,തെറ്റ്,kablusted
471,Schuld::N,തെറ്റ്,pec'hedigezh
472,Alter::N,വയസ്സ്,oad
473,Schluss::N,നിഗമനം,diwezh
474,Zeit::N,സമയം,amzer
475,Tag::N,ദിവസം,deizh
476,Morgen::N,പ്രഭാതം,beure
477,Morgen::N,പ്രഭാതം,mintin
478,Mittag::N,ഉച്ച,kreisteiz
479,Abend::N,സായാഹ്നം,abardaez
480,Nacht::N,രാത്രി,noz
481,Woche::N,ആഴ്ച,sizhun
482,Monat::N,മാസം,miz
483,Jahr::N,വർഷം,bloaz
484,Frühling::N,വസന്തം,nevezamzer
485,Sommer::N,വേനൽ,hañv
486,Herbst::N,ശരത്കാലം,diskaramzer
487,Winter::N,ശൈത്യം,goañv
488,Januar::N,ജനുവരി,Genver
489,Februar::N,ഫെബ്രുവരി,C'hwevrer
490,März::N,മാർച്ച്,Meurzh
491,April::N,ഏപ്രിൾ മാസം,Ebrel
492,Mai::N,മെയ് മാസം,Mae
493,Juni::N,ജൂൺ,Mezheven
494,Juli::N,ജൂലൈ,Gouhere
495,August::N,ആഗസ്റ്റ്,Eost
496,September::N,സെപ്തംബർ,Gwengolo
497,Oktober::N,ഒക്ടോബർ,Here
498,November::N,നവംബർ,Du
499,Dezember::N,ഡിസംബർ,Kerzu
500,Montag::N,തിങ്കളാഴ്ച,Lun
501,Dienstag::N,ചൊവ്വ,Meurzh
502,Mittwoch::N,ബുധനാഴ്ച,Merc'her
503,Donnerstag::N,വ്യാഴാഴ്ച,Yaou
504,Freitag::N,വെള്ളിയാഴ്ച,Gwener
505,Samstag::N,ശനിയാഴ്ച,Sadorn
506,Sonntag::N,ഞായറാഴ്ച,Sul
507,groß::A,വലിയ,bras
508,klein::A,ചെറിയ,bihan
509,lang::A,നീണ്ട,hir
510,kurz::A,ഹ്രസ്വമായ,berr
511,breit::A,വിശാലമായ,ledan
512,schmal::A,ഇടുങ്ങിയ,strizh
513,dicht::A,നിബിഡമായ,stank
514,dick[Gegenstand]::A,തടിച്ച,tev
515,dünn::A,മെലിഞ്ഞ,moan
516,fein::A,നേർത്ത,munut
517,fest::A,ഉറപ്പുള്ള,start
518,flach::A,പരന്ന,plaen
519,glatt::A,മിനുസമുള്ള,lintr
520,glatt::A,മിനുസമുള്ള,levn
521,hart::A,കട്ടിയുള്ള,kalet
522,weich::A,മൃദുവായ,blot
523,rund::A,വട്ടത്തിലുള്ള,ront
524,spitz::A,മുനയുള്ള,poentet
525,scharf::A,മൂർച്ചയുള്ള,dremm
526,stumpf::A,തുറന്നടിക്കുന്ന,talsoc'h
527,schwer::A,ഭാരമുള്ള,pounner
528,schön::A,മനോഹരമായ,kaer
529,heiß::A,ചൂടുള്ള,tomm
530,warm::A,ചൂടുള്ള,tomm
531,kalt::A,തണുത്ത,yen
532,kühl::A,തണുപ്പുള്ള,yen
533,frisch::A,ശുദ്ധമായ,fresk
534,feucht::A,ഈറനുള്ള,gleb
535,nass::A,നനഞ്ഞ,gleb
536,trocken::A,വരണ്ട,sec'h
537,voll::A,നിറയെ,leun
538,leer::A,ഒഴിഞ്ഞ,goullo
539,offen::A,തുറന്ന,digor
540,geschlossen::A,അടച്ച,serr
541,sauber::A,വൃത്തിയുള്ള,naet
542,schmutzig::A,അഴുക്കുനിറഞ്ഞ,lous
543,roh::A,അസംസ്കൃതമായ,kriz
544,reif::A,പഴുത്ത,darev
545,lecker::A,രുചികരമായ,lipous
546,lecker::A,രുചികരമായ,saourus
547,süß::A,മധുരമുള്ള,dous
548,bitter::A,കടുത്ത,c'hwerv
549,sauer::A,പുളിപ്പുള്ള,trenk
550,hell::A,ജ്വലിക്കുന്ന,sklaer
551,dunkel::A,ഇരുണ്ട,teñval
552,schwarz::A,കറുത്ത,du
553,weiß::A,വെളുത്ത,gwenn
554,rot::A,ചുവന്ന,ruz
555,gelb::A,മഞ്ഞനിറമായ,melen
556,blau::A,നീലനിറമുള്ള,glas
557,grün::A,പച്ചനിറമുള്ള,gwer
558,grau::A,ചാരനിറത്തിലുള്ള,louet
559,bunt::A,വർണ്ണശബളമായ,liesliv
560,billig::A,വിലകുറഞ്ഞ,marc'had-mat
561,teuer::A,ചെലവേറിയ,ker
562,wertvoll::A,വിലപിടിപ്പുള്ള,prizius
563,blind::A,അന്ധനായ,dall
564,taub::A,കേൾവിക്കുറവുള്ള,bouzar
565,kräftig::A,ശക്തിയുള്ള,start
566,stark::A,ബലമുള്ള,kreñv
567,schwach::A,ക്ഷീണിച്ച,gwan
568,fett::A,കൊഴുപ്പുള്ള,lard
569,schlank::A,മെലിഞ്ഞ,sinkl
570,hübsch::A,മനോഹരമായ,koant
571,böse::A,പാപിയായ,gwall
572,dumm::A,വിവരംകെട്ട,glep
573,faul::A,അലസനായ,lezirek
574,fleißig::A,അദ്ധ്വാനശീലമുള്ള,studius
575,geizig::A,പിശുക്കനായ,tost
576,klug::A,ബുദ്ധിസാമർഥ്യമുള്ള,speredek
577,geschickt::A,പ്രതിഭാശാലി,dornet
578,lieb::A,പ്രിയപ്പെട്ട,koant
579,lustig::A,ആനന്ദകരമായ,laouen
580,sanft::A,സൌമ്യമായ,flour
581,hungrig::A,വിശപ്പുള്ള,marnaon
582,krank::A,അസുഖമുള്ള,klañv
583,nackt::A,നഡമായ,noazh
584,traurig::A,വിഷമമുള്ള,trist
585,lebendig::A,ഉപജീവനം,bev
586,gut::A,നല്ല,mad
587,schlecht::A,മോശമായ,fall
588,schlecht::A,മോശമായ,gwall
589,richtig::A,ശരിയായ,reizh
590,schlimm::A,വൃത്തികെട്ട,gwall
591,wahr::A,ശരിയായ,gwir
592,alt::A,പഴയ,kozh
593,neu::A,പുതിയ,nevez
594,ehemalig::A,മുൻ,kozh
595,alt[Lebewesen]::A,വയസ്സുള്ള,kozh
596,jung::A,കൌമാരമായ,yaouank
597,arm::A,പാവപ്പെട്ട,paour
598,reich::A,സമ്പന്നമായ,pinvidik
599,bekannt::A,പരിചിതമായ,anavezet
600,berühmt::A,പ്രശസ്തനായ,brudet
601,fremd::A,വൈദേശികമായ,dizanav
602,verschieden::A,വ്യത്യസ്തമായ,disheñel
603,nah::A,അരികത്തുള്ള,nes
604,fern::A,അകലെയുള്ള,diabell
605,linker::A,അവശേഷിച്ച,kleiz
606,rechter::A,വലത്തേ,dehoù
607,anderer::A,മറ്റുള്ള,all
608,erster::A,ആദ്യത്തെ,kentañ
609,zweiter::A,രണ്ടാം,eil
610,dritter::A,മൂന്നാമത്,trede
611,letzter::A,അവസാനത്തെ,diwezhañ
612,allein::ADV,തനിച്ചുള്ള,e-unan
613,auf einmal::ADV,ഉടന്,ar un dro
614,zusammen::ADV,ഒരുമിച്ച,asambles
615,lange::ADV,നീണ്ട_കാലത്തേയ്ക്ക്,pell
616,plötzlich::ADV,പെട്ടെന്ന്,en un taol
617,sofort::ADV,തത്ക്ഷണം,diouzhtu
618,später::ADV,പിന്നീട്,diwezhatoc'h
619,jetzt::ADV,ഇപ്പോൾ,bremañ
620,heute::ADV,ഇന്ന്,hiziv
621,morgen::ADV,നാളെ,arc'hoazh
622,bald::ADV,ഉടനെ,hepdale
623,dann::ADV,അപ്പോൾ,a-c'houde
624,gestern::ADV,ഇന്നലെ,dec'h
625,einst::ADV,പണ്ടൊരിക്കല്,gwechall
626,damals::ADV,അപ്പോൾ,neuze
627,danach::ADV,പിന്നീട്,goude
628,vorher::ADV,മുൻപ്,diagent
629,zuerst::ADV,ആദ്യം,da gentañ
630,einmal::ADV,ഒരിക്കൽ,ur wech
631,manchmal::ADV,ചിലപ്പോൾ,a-wechoù
632,oft::ADV,പലപ്പോഴും,alies
633,immer::ADV,എപ്പോഴും,atav
