,Concept_ID,ku,no
93,Regenbogen::N,heftreng,regnbue
94,Donner::N,gire-gir,torden
95,Strömung::N,şewl,strømning
96,Tropfen::N,dilop,dråpe
97,Schaum::N,kef,skum
98,Schmutz::N,gemar,søl
99,Schmutz::N,gemar,skitt
100,See::N,gol,sjø
101,Sumpf::N,hezek,sump
102,Sumpf::N,hezek,myrlende
103,Moor::N,mafêl,myr
104,Moor::N,mafêl,myrhei
105,Wiese::N,sûrik,eng
106,Wald::N,çiya,skog
107,Wald::N,daristan,skog
108,Hügel::N,gir,haug
109,Hügel::N,gir,bakke
110,Anhöhe::N,sere gir,haug
111,Anhöhe::N,sere gir,bakke
112,Berg::N,kaş,berg
113,Berg::N,kaş,fjell
114,Gipfel::N,sere gir,topp
115,Höhle::N,şikeft,hule
116,Abhang::N,kaş,li
117,Abhang::N,kaş,skråning
118,Quelle::N,kanî,kilde
119,Bach::N,çem,bekk
120,Fluss::N,çem,elv
121,Fluss::N,rûbar,elv
122,Ufer::N,kevî,bredd
123,Küste::N,berav,kyst
124,Festland::N,bejahî,fastland
125,Meer::N,behr,hav
126,Bucht::N,derav,bukt
127,Insel::N,girav,øy
128,Blume::N,kulînk,blomst
129,Gras::N,giha,gress
130,Wurzel::N,reh,rot
131,Baum::N,dar,tre
132,Stamm::N,bavik,stamme
133,Rinde::N,qaqil,bark
134,Ast::N,gulî,gren
135,Zweig::N,şax,kvist
136,Blatt::N,pel,blad
137,Birke::N,dara sipî,bjørk
138,Kiefer[Baum]::N,dara bî,furu
139,Weide[Baum]::N,dara belalûk,selje
140,Weide[Baum]::N,dara belalûk,piletre
141,Tanne::N,merx,gran
142,Horn::N,strô,horn
143,Feder::N,pîrtîk,fjær
144,Fell::N,heyar,skinn
145,Flügel::N,per,vinge
146,Klaue::N,napîk,klauv
147,Kralle::N,dinik,klo
148,Kralle::N,dirnax,klo
149,Schwanz::N,dûv,hale
150,Ei::N,hêk,egg
151,Nest::N,hêlîn,rede
152,Bau::N,avahî,hi
153,Tier::N,heywan,dyr
154,Herde::N,hoz,flokk
155,Kuh::N,çêlek,ku
156,Bulle::N,ga,tyr
157,Pferd::N,hesp,hest
158,Schaf::N,mîh,får
159,Schwein::N,beraz,gris
160,Hund::N,seh,hund
161,Katze::N,pişîk,katt
162,Bär::N,hirç,bjørn
163,Eichhörnchen::N,pilûr,ekorn
164,Elch::N,pazkovî,elg
165,Fuchs::N,rovî,rev
166,Hase::N,kîroşk,hare
167,Maus::N,mişk,mus
168,Wolf::N,gur,ulv
169,Wolf::N,gur,varg
170,Vogel::N,çûk,fugl
171,Schwarm::N,lufik,sverm
172,Huhn::N,mirîşk,høne
173,Hahn::N,dîk,hane
174,Gans::N,qaz,gås
175,Adler::N,eylo,ørn
176,Ente::N,werdek,and
177,Eule::N,bûm,ugle
178,Eule::N,kund,ugle
179,Kranich::N,quling,trane
180,Krähe::N,qijik,kråke
181,Kuckuck::N,pepûk,gjøk
182,Schwan::N,qû,svane
183,Fisch::N,masî,fisk
184,Barsch::N,okûn,abbor
185,Hecht::N,mesîyê lûf,gjedde
186,Schlange[Tier]::N,mar,orm
187,Schlange[Tier]::N,mar,slange
188,Wurm::N,kurm,orm
189,Wurm::N,kurm,mark
190,Spinne::N,pîrê,edderkopp
191,Ameise::N,mîro,maur
192,Ameise::N,gêrîk,maur
193,Laus::N,spi,lus
194,Mücke::N,mêş,mygg
195,Fliege::N,mêş,flue
196,Schmetterling::N,perperîk,sommerfugl
197,Beere::N,hirç,bær
198,Apfel::N,sêv,eple
199,Pilz::N,bîrov,sopp
200,Zwiebel::N,pîvaz,løk
201,Saat::N,tov,sæd
202,Korn::N,dexl,korn
203,Heu::N,sap,høy
204,Schale::N,qaşik,skall
205,Grube::N,çahl,grop
206,Falle::N,dafik,felle
207,Schlinge::N,dahf,snare
208,Spur::N,rêç,spor
209,Asche::N,xweli,aske
210,Dreck::N,gemarî,møkk
211,Dreck::N,gemarî,skitt
212,Eisen::N,hesing,jern
213,Gold::N,zêr,gull
214,Silber::N,zîv,sølv
215,Kohle::N,komir,kol
216,Kohle::N,komir,kull
217,Glas::N,qedeh,glass
218,Lehm::N,kelpîç,leire
219,Sand::N,qûm,sand
220,Mensch::N,mirov,menneske
221,Mann::N,mêr,mann
222,Frau::N,jin,kvinne
223,Kind::N,zarok,barn
224,Junge::N,kur,gutt
225,Mädchen::N,keç,pike
226,Mädchen::N,keç,jente
227,Mädchen::N,keçik,pike
228,Mädchen::N,keçik,jente
229,Familie::N,malbat,familie
230,Großvater::N,bapîr,bestefar
231,Großmutter::N,pîrik,bestemor
232,Eltern::N,bavudê,foreldre
233,Vater::N,bav,far
234,Mutter::N,dê,mor
235,Mutter::N,dayik,mor
236,Sohn::N,kur,sønn
237,Tochter::N,keç,datter
238,Bruder::N,bira,bror
239,Schwester::N,xweh,søster
240,Onkel::N,am,onkel
241,Onkel::N,xal,onkel
242,Tante::N,metik,tante
243,Tante::N,xaltîk,tante
244,Ehemann::N,mêr,ektemann
245,Ehefrau::N,kulfet,hustru
246,Freude::N,kêfxweşî,glede
247,Gelächter::N,pîrqînî,latter
248,Glück::N,bext,lykke
249,Kummer::N,derd,sorg
250,Wunsch::N,daxwaz,ønske
251,Wunsch::N,xwestek,ønske
252,Lust::N,şewq,lyst
253,Geist::N,aqil,ånd
254,Gedanke::N,fikir,tanke
255,Gedächtnis::N,aqil,minne
256,Gedächtnis::N,aqil,hukommelse
257,Verstand::N,fêm,forstand
258,Sinn::N,aqil,mening
259,Sinn::N,aqil,betydning
260,Grund::N,asas,grunn
261,Wahrheit::N,rastî,sannhet
262,Gespräch::N,guftûgo,samtale
263,Märchen::N,çirok,eventyr
264,Erzählung::N,çirok,fortelling
265,Erzählung::N,vegotin,fortelling
266,Nachricht::N,nûçe,melding
267,Neuigkeit::N,hewal,nyhet
268,Name::N,nav,navn
269,Name::N,paşnav,navn
270,Rätsel::N,tiştonek,gåte
271,Rede::N,gotar,tale
272,Rede::N,axavtin,tale
273,Sprache::N,ziman,språk
274,Stimme::N,pejn,stemme
275,Wort::N,gotin,ord
276,Zeichen::N,şanek,tegn
277,Ruf::N,hawar,rop
278,Lärm::N,xarbalix,bråk
279,Laut::N,deng,lyd
280,Laut::N,hês,lyd
281,Ton::N,awaz,tone
282,Lied::N,sitran,vise
283,Ruhe::N,rihetî,ro
284,Leute::N,xelk,folk
285,Volk::N,xelk,folk
286,Arbeit::N,xebat,arbeid
287,Gast::N,mêvan,gjest
288,Geschenk::N,diyarî,gave
289,Spiel::N,lîstik,lek
290,Spiel::N,lîstik,spill
291,Gesellschaft::N,komal,selskap
292,Hilfe::N,alîkarî,hjelp
293,Freund::N,heval,venn
294,Kamerad::N,heval,kamerat
295,Angelegenheit::N,pirsgirêk,sak
296,Angelegenheit::N,pirsgirêk,anliggende
297,Anzahl::N,çend,antall
298,Art::N,çeh,art
299,Art::N,çeh,slag
300,Stück::N,lib,stykke
301,Stück::N,parçe,stykke
302,Teil::N,parçe,del
303,Hälfte::N,nîvî,halvdel
304,Kreis::N,çemil,ring
305,Kreis::N,çemil,sirkel
306,Kreuz::N,xaç,kors
307,Kreuz::N,xaç,kryss
308,Linie::N,xezik,linje
309,Strich::N,xezik,strek
310,Abstand::N,dûrahî,avstand
311,Entfernung::N,dûrahî,avstand
312,Gegend::N,dever,strøk
313,Platz::N,çih,plass
314,Ort::N,dever,sted
315,Seite::N,rûpel,side
316,Mitte::N,nav,midte
317,Mitte::N,nabênê,midte
318,Gegenstand::N,tişt,gjenstand
319,Sache::N,tişt,sak
320,Rand::N,kevî,rand
321,Kante::N,kevî,kant
322,Ecke::N,qunç,hjørne
323,Spitze::N,derzî,spiss
324,Ende::N,talî,ende
325,Loch::N,qul,hull
326,Winkel::N,kurnîşk,vinkel
327,Muster::N,desen,mønster
328,Größe::N,mezinî,størrelse
329,Länge::N,dirêjahî,lengde
330,Höhe::N,bilindayî,høyde
331,Gewicht::N,giranî,vekt
332,Menge::N,qas,mengde
333,Haufen::N,lod,haug
334,Haufen::N,lod,bunke
335,Reihe::N,rêz,rekke
336,Boot::N,kelek,båt
337,Ruder::N,bêrik,åre
338,Schlitten::N,xîjik,slede
339,Schlitten::N,xîjik,kjelke
340,Ski::N,lakan,ski
341,Lagerfeuer::N,agir,leirbål
342,Last::N,bar,bør
343,Last::N,bar,last
344,Gang::N,fîtêz,gang
345,Schritt::N,gav,steg
346,Schritt::N,gav,skritt
347,Norden::N,bakur,nord
348,Süden::N,başur,sør
349,Westen::N,rojava,vest
350,Osten::N,rojhilat,øst
351,Holz::N,dep,tre
352,Brett::N,dep,fjøl
353,Brett::N,dep,brett
354,Platte::N,dep,plate
355,Stütze::N,destek,støtte
356,Stange::N,sing,stang
357,Stock::N,çam,pinne
358,Stab::N,qat,stav
359,Stab::N,qat,kjepp
360,Rohr::N,borî,rør
361,Haus::N,mal,hus
362,Haus::N,xanî,hus
363,Heim::N,mal,hjem
364,Ofen::N,sobe,ovn
365,Fußboden::N,binpê,gulv
366,Tisch::N,mase,bord
367,Stuhl::N,kursî,stol
368,Wiege::N,derguş,vogge
369,Bett::N,qerewêle,seng
370,Regal::N,rêbaz,reol
371,Regal::N,rêbaz,hylle
372,Kiste::N,sindoq,kasse
373,Fenster::N,çam,vindu
374,Fenster::N,şibeke,vindu
375,Tür::N,derî,dør
376,Tor::N,derge,port
377,Zaun::N,hejik,gjerde
378,Dach::N,sere xanî,tak
379,Leiter::N,pêling,stige
380,Besen::N,melkes,kost
381,Spaten::N,mer,spade
382,Schaufel::N,bêr,skuffe
383,Gabel::N,çetel,gaffel
384,Löffel::N,kevçî,skje
385,Messer::N,kêr,kniv
386,Nagel::N,bizmar,spiker
387,Netz::N,tor,nett
388,Haken::N,çenqel,krok
389,Griff::N,destî,tak
390,Griff::N,destî,håndtak
391,Schloss::N,qonax,lås
392,Bild::N,dimen,bilde
393,Figur::N,figûr,figur
394,Puppe::N,bûk,dukke
395,Beutel::N,kîsik,pose
396,Bündel::N,pêçek,bylt
397,Tasche::N,bêrîk,veske
398,Eimer::N,dewl,bøtte
399,Deckel::N,devik,lokk
400,Geschirr::N,ferax,kjøkkentøy
401,Sack::N,tûr,sekk
402,Tasse::N,kada,kopp
403,Topf::N,beroş,gryte
404,Kessel::N,şîril,kjele
405,Essen::N,xwarin,mål
406,Nahrung::N,xwarin,mat
407,Nahrung::N,xwarin,næring
408,Speise::N,xwarin,matrett
409,Fleisch::N,goşt,kjøtt
410,Getreide::N,zad,korn
411,Brei::N,hewdêl,grøt
412,Brot::N,,brød
413,Scheibe::N,parçe,skive
414,Fett::N,rûn,fett
415,Butter::N,rûn,smør
416,Öl::N,rûn,olje
417,Salz::N,xwe,salt
418,Suppe::N,şorbe,suppe
419,Honig::N,hingiv,honning
420,Milch::N,şîr,melk
421,Tee::N,çay,te
422,Leder::N,çerm,lær
423,Leder::N,çerm,skinn
424,Wolle::N,herî,ull
425,Stoff::N,paç,tøy
426,Stoff::N,paç,stoff
427,Nadel::N,derzî,nål
428,Faden::N,ta,tråd
429,Knopf::N,bişkok,knapp
430,Knoten::N,girêk,knute
431,Farbe::N,boyax,farge
432,Kleidung::N,çil,påkledning
433,Hemd::N,qutik,skjorte
434,Hemd::N,miltan,skjorte
435,Kragen::N,stûvang,krage
436,Ärmel::N,hûçik,erme
437,Hose::N,şewel,bukse
438,Gürtel::N,qayiş,belte
439,Mütze::N,fîno,lue
440,Schuh::N,şêkal,sko
441,Stiefel::N,gizme,støvel
442,Stiefel::N,çizme,støvel
443,Ring::N,xelek,ring
444,Band::N,band,band
445,Kamm::N,şeh,kam
446,Spiegel::N,eynik,speil
447,Riemen::N,qayiş,rem
448,Schnur::N,doxin,snor
449,Leine::N,şirît,line
450,Decke::N,bataniye,teppe
451,Kissen::N,balgî,pute
452,Tuch::N,şar,tøy
453,Handtuch::N,dezmal,håndkle
454,Kraft::N,hêz,kraft
455,Kraft::N,qewet,kraft
456,Stärke::N,xurtî,styrke
457,Gesundheit::N,nojdarî,helse
458,Gesundheit::N,nojdarî,sunnhet
459,Krankheit::N,nexweşî,syke
460,Krankheit::N,nexweşî,sykdom
461,Schmerz::N,êş,smerte
462,Wunde::N,kul,sår
463,Fieber::N,ta,feber
464,Arznei::N,derman,medisin
465,Arznei::N,derman,legemiddel
466,Brücke::N,kopî,bro
467,Brunnen::N,çal,brønn
468,Brunnen::N,kani,brønn
469,Weide::N,beyar,beite
470,Pfad::N,xaçirek,sti
471,Weg::N,rê,vei
472,Straße::N,rê,gate
473,Dorf::N,gund,landsby
474,Stadt::N,baçar,by
475,Brief::N,name,brev
476,Buch::N,kitêb,bok
477,Buch::N,pirtûk,bok
478,Buchstabe::N,herf,bokstav
479,Zeitung::N,rojname,avis
480,Leben::N,jiyan,liv
481,Tod::N,mirin,død
482,Grab::N,mezel,grav
483,Kirche::N,gilyas,kirke
484,Sünde::N,guneh,synd
485,Gott::N,xwedê,gud
486,Arbeiter::N,hîşçî,arbeider
487,Chef::N,bêg,sjef
488,Meister::N,hoste,mester
489,Arzt::N,doktor,lege
490,Lehrer::N,mamoste,lærer
491,Geld::N,pere,penger
492,Geschäft::N,firoşgeh,forretning
493,Laden::N,dikan,butikk
494,Preis::N,buha,pris
495,Ware::N,tişt,vare
496,Nutzen::N,fêde,nytte
497,Reichtum::N,serwet,rikdom
498,Welt::N,dinya,verden
499,Land::N,welat,land
500,Staat::N,dewlet,stat
501,König::N,şah,konge
502,König::N,qral,konge
503,Macht::N,qewet,makt
504,Macht::N,destihilat,makt
505,Grenze::N,kevî,grense
506,Krieg::N,çeng,krig
507,Krieg::N,sêwaş,krig
508,Feind::N,dijmin,fiende
509,Gewalt::N,zor,vold
510,Kampf::N,şer,kamp
511,Bogen[Waffe]::N,kêvan,bue
512,Pfeil::N,çîrik,pil
513,Gewehr::N,tifing,gevær
514,Fehler::N,şaşî,feil
515,Lüge::N,derew,løgn
516,Schaden::N,xisar,skade
517,Unglück::N,bêbextî,uhell
518,Schuld::N,suç,skyld
519,Alter::N,temen,alder
520,Schluss::N,girtin,slutt
521,Zeit::N,çax,tid
522,Tag::N,roj,dag
523,Morgen::N,sibeh,morgen
524,Mittag::N,nîro,middag
525,Abend::N,êvar,aften
526,Nacht::N,şev,natt
527,Woche::N,heftî,uke
528,Monat::N,meh,måned
529,Jahr::N,sal,år
530,Frühling::N,bihar,vår
531,Sommer::N,havîn,sommer
532,Herbst::N,payîz,høst
533,Winter::N,zistan,vinter
534,Januar::N,çile,januar
535,Februar::N,sibat,februar
536,März::N,adar,mars
537,April::N,nîsan,april
538,Mai::N,gûlan,mai
539,Juni::N,hezîran,juni
540,Juli::N,tîmeh,juli
541,August::N,tebax,august
542,September::N,îlon,september
543,Oktober::N,çotmeh,oktober
544,November::N,mijdar,november
545,Dezember::N,kanûn,desember
546,Montag::N,duşemb,mandag
547,Dienstag::N,sêşem,tirsdag
548,Mittwoch::N,çarşemb,onsdag
549,Donnerstag::N,pêşemb,torsdag
550,Freitag::N,în,fredag
551,Samstag::N,şemî,lørdag
552,Sonntag::N,yekşemb,søndag
553,groß::A,mezin,stor
554,klein::A,çûçik,liten
555,lang::A,dirêj,lang
556,kurz::A,kin,kort
557,breit::A,fireh,bred
558,schmal::A,tenik,smal
559,dicht::A,gir,tett
560,dick[Gegenstand]::A,şîşman,tykk
561,dünn::A,zirav,tynn
562,fein::A,tenik,fin
563,fest::A,saxlem,fast
564,flach::A,pahn,flat
565,glatt::A,dûz,glatt
566,glatt::A,şayîk,glatt
567,hart::A,hişk,hard
568,weich::A,nerm,myk
569,weich::A,nerm,bløt
570,rund::A,gilover,rund
571,spitz::A,pîj,spiss
572,scharf::A,tûj,kvass
573,stumpf::A,ne tûj,stubb
574,schwer::A,giran,tung
575,schön::A,xweş,pen
576,schön::A,xweş,vakker
577,schön::A,xweşik,pen
578,schön::A,xweşik,vakker
579,heiß::A,kelandî,het
580,warm::A,germ,varm
581,kalt::A,sar,kald
582,kühl::A,jemîrî,kjølig
583,frisch::A,ter,fersk
584,feucht::A,şil,fuktig
585,nass::A,şilek,våt
586,trocken::A,zuwa,tørr
587,voll::A,tijî,full
588,leer::A,vala,tom
589,offen::A,vekirî,åpen
590,geschlossen::A,asê,lukket
591,sauber::A,pakij,ren
592,schmutzig::A,lewitî,skitten
593,roh::A,xav,rå
594,reif::A,gihaştî,moden
595,lecker::A,xweş,lekker
596,süß::A,şîrîn,søt
597,bitter::A,tahl,besk
598,bitter::A,tahl,bitter
599,sauer::A,tirş,sur
600,hell::A,ronî,lys
601,dunkel::A,tarî,mørk
602,schwarz::A,reş,svart
603,weiß::A,sipî,hvit
604,rot::A,sor,rød
605,gelb::A,zer,gul
606,blau::A,şîn,blå
607,grün::A,şîn,grønn
608,grau::A,gewr,grå
609,bunt::A,rengîn,broket
610,billig::A,erzan,billig
611,teuer::A,biha,dyr
612,wertvoll::A,hêja,verdifull
613,wertvoll::A,giranbiha,verdifull
614,blind::A,kor,blind
615,taub::A,kerr,døv
616,kräftig::A,gir,kraftig
617,kräftig::A,xurt,kraftig
618,stark::A,xurt,sterk
619,schwach::A,kesad,svak
620,fett::A,qelew,fet
621,schlank::A,zirav,slank
622,hübsch::A,xweşik,pen
623,böse::A,xerab,slem
624,böse::A,aciz,slem
625,dumm::A,gêj,dum
626,faul::A,têmbêl,lat
627,faul::A,têmbêl,doven
628,fleißig::A,jêhatî,flittig
629,geizig::A,destgirtî,gjerrig
630,klug::A,baqil,klok
631,geschickt::A,zîrek,hendig
632,geschickt::A,zîrek,skikket
633,geschickt::A,ziring,hendig
634,geschickt::A,ziring,skikket
635,lieb::A,delal,kjær
636,lieb::A,delal,snill
637,lustig::A,kêfxweş,morsom
638,sanft::A,nazenîn,blid
639,hungrig::A,birçî,sulten
640,krank::A,nexweş,syk
641,nackt::A,rût,naken
642,nackt::A,tazî,naken
643,traurig::A,xemgîn,sørgmodig
644,lebendig::A,bisaxî,levende
645,gut::A,baş,god
646,schlecht::A,xerab,dårlig
647,richtig::A,rast,riktig
648,richtig::A,saxlem,riktig
649,schlimm::A,nebaş,slem
650,wahr::A,rast,sann
651,alt::A,pîr,gammel
652,alt::A,kevn,gammel
653,neu::A,nû,ny
654,ehemalig::A,kevnar,forhenværende
655,ehemalig::A,peşidar,forhenværende
656,alt[Lebewesen]::A,pîr,gammel
657,jung::A,xort,ung
658,arm::A,feqîr,fattig
659,arm::A,desteng,fattig
660,reich::A,dewlemend,rik
661,bekannt::A,naskirî,kjent
662,berühmt::A,navdar,berømt
663,fremd::A,xerîb,fremmed
664,verschieden::A,çîhê,forskjellig
665,nah::A,nêzîk,nær
666,fern::A,dûr,fjern
667,linker::A,çepê,venstre
668,rechter::A,rastê,høyre
669,anderer::A,yê din,annen
670,erster::A,yekemîn,første
671,zweiter::A,duda,annen
672,dritter::A,sisêya,tredje
673,letzter::A,paşîn,sist
674,allein::ADV,tenê,alene
675,auf einmal::ADV,jar kê,med ett
676,zusammen::ADV,tev,sammen
677,zusammen::ADV,bi hev re,sammen
678,lange::ADV,dirêj,lenge
679,plötzlich::ADV,ji nişkave,plutselig
680,sofort::ADV,yekser,straks
681,später::ADV,paşiyê,senere
682,jetzt::ADV,nuha,nå
683,heute::ADV,îro,i dag
684,morgen::ADV,sibeh,i morgen
685,bald::ADV,nêzîk,snart
686,dann::ADV,paşê,så
687,gestern::ADV,do,i går
688,einst::ADV,jar ke,engang
689,damals::ADV,hîngî,den gang
690,danach::ADV,piştra,deretter
691,vorher::ADV,pîşî,før
692,vorher::ADV,pîşî,i forveien
693,zuerst::ADV,bere,først
694,einmal::ADV,çarik,en gang
695,manchmal::ADV,çarna,somme tider
696,oft::ADV,gelek çaran,ofte
697,immer::ADV,daîm,alltid
698,niemals::ADV,tu çar,aldri
699,hier::ADV,li vir,her
700,hierhin::ADV,vir,hit
701,von hier::ADV,ji vir,herfra
702,dort::ADV,li wê derê,der
703,dorthin::ADV,wêda,dit
704,geradeaus::ADV,rastê rast,rett fram
705,vorwärts::ADV,ber bi pêş,fram
706,vorwärts::ADV,ber bi pêş,framover
707,rückwärts::ADV,paşpê,baklengs
708,zurück::ADV,paşdo,tilbake
709,zurück::ADV,paşvê,tilbake
710,unten::ADV,jêrî,nede
711,hinab::ADV,berjêr,ned
712,hinab::ADV,berjêr,nedover
713,oben::ADV,banî,oppe
714,oben::ADV,banî,ovenpå
715,hinauf::ADV,banî,opp
716,hinauf::ADV,banî,oppover
717,überall::ADV,li her derê,overalt
718,nicht::ADV,ne,ikke
719,nicht::ADV,nîn,ikke
720,nicht::ADV,tine,ikke
721,ein wenig::ADV,hebkî,litt
722,kaum::ADV,tema,neppe
723,kaum::ADV,himangi,neppe
724,sehr::ADV,gelek,svært
725,so::ADV,weha,så
726,noch::ADV,hêj,enda
727,noch::ADV,dîsa,enda
728,nur::ADV,tenê,bare
729,nur::ADV,bes,bare
730,schon::ADV,hew,alt
731,schon::ADV,hew,allerede
732,wieder::ADV,jar din,igjen
733,wieder::ADV,dîsa,igjen
734,vergebens::ADV,deya çun,forgjeves
735,vergebens::ADV,îfleh bûn,forgjeves
736,vor::PRP,li ber,foran
737,vor::PRP,li ber,utenfor
738,hinter::PRP,li pişt,bak
739,hinter::PRP,li pişt,bakom
740,unter::PRP,li bin,under
741,durch::PRP,kura,gjennom
742,durch::PRP,kura,igjennom
743,neben::PRP,li ba,ved siden av
744,zwischen::PRP,nabeyne,mellom
745,zwischen::PRP,di nav...da,mellom
746,wegen::PRP,ji bo,på grunn av
747,wegen::PRP,ji ber,på grunn av
748,dies::PRN,ev,dette
749,das::PRN,ev,det
750,alles::PRN,hemû,alt
751,ich::PRN,ez,jeg
752,du::PRN,tu,du
753,er::PRN,wî,han
754,wir::PRN,êm,vi
755,ihr::PRN,hûn,dere
756,sie::PRN,we,de
757,was::FPRN,çi,hva
758,wer::FPRN,ki,hvem
759,wo::FADV,li ku dere,hvor
760,wohin::FADV,li ku dere,hvor ... hen
761,wie::FADV,çawa,hvordan
762,warum::FADV,çima,hvorfor
763,wieviel::FNUM,çend,hvor mye
764,eins::NUM,yek,en
765,eins::NUM,yek,ett
766,zwei::NUM,didu,to
767,drei::NUM,sisê,tre
768,vier::NUM,çar,fire
769,fünf::NUM,penç,fem
770,sechs::NUM,şeş,seks
771,sieben::NUM,heft,sju
772,acht::NUM,heşt,åtte
773,neun::NUM,neh,ni
774,zehn::NUM,deh,ti
775,elf::NUM,yazdeh,elleve
776,zwölf::NUM,diwazdeh,tolv
777,zwanzig::NUM,bîst,tjue
778,dreißig::NUM,sih,tretti
779,vierzig::NUM,çil,førti
780,fünfzig::NUM,pençi,femti
781,sechzig::NUM,şêst,seksti
782,siebzig::NUM,heftê,sytti
783,achtzig::NUM,heştê,åtti
784,neunzig::NUM,nod,nitti
785,hundert::NUM,sêd,hundre
786,tausend::NUM,hezar,tusen
787,und::CNJ,û,og
788,oder::CNJ,an,eller
789,oder::CNJ,yan,eller
790,stehen::V,sekinîn,stå
791,sitzen::V,rûniştin,sitte
792,liegen::V,paldan,ligge
793,hängen::V,darve kirin,henge
794,werden::V,bûn,bli
795,passieren::V,hatin holê,skje
796,passieren::V,hatin holê,hende
797,passieren::V,hatin serê kesî,skje
798,passieren::V,hatin serê kesî,hende
799,beginnen::V,li dest pêkirin,begynne
800,enden::V,xalas bû,ende
801,enden::V,xalas bû,slutte
802,wechseln::V,guherandin,veksle
803,wechseln::V,dêgiş kirin,veksle
804,aufgehen[Sonne]::V,hilatin,stå opp
805,untergehen[Sonne]::V,çun ava,gå ned
806,scheinen[Sonne]::V,şewk de,skinne
807,donnern::V,gire-gir,tordne
808,wehen::V,ba le de,blåse
809,strömen::V,xwe girtin,strømme
810,fließen::V,herikîn,flyte
811,sich drehen::V,xwe zivirandin,dreie seg
812,schwanken::V,hejandin,svaie
813,schwingen::V,libakirin,svinge
814,fallen::V,ketin,falle
815,brennen::V,şewitîn,brenne
816,rauchen::V,kişandin,ryke
817,regnen::V,bahran tê,regne
818,gefrieren::V,qefilandin,fryse
819,tauen::V,helandin,tine
820,schmelzen::V,helandin,smelte
821,trocknen::V,zuwabûn,tørre
822,sieden::V,kelîn,koke
823,faulen::V,xerabûn,råtne
824,verfaulen::V,xerabûn,råtne
825,reißen::V,jêkirin,briste
826,versinken::V,xerq bûn,synke
827,versinken::V,xerq bûn,synke ned
828,vergehen::V,derbas bûn,forløpe
829,erscheinen::V,peyda bûn,synes
830,verschwinden::V,wendabûn,forsvinne
831,sinken::V,noq bûn,synke
832,abnehmen::V,kêm bûn,avta
833,abnehmen::V,kêm bûn,minske
834,zunehmen::V,qelew bûn,tilta
835,steigen::V,hildan,stige
836,wachsen::V,mezin bûn,gro
