,Concept_ID,uz,ba
58,Sonne::N,quyosh,ҡояш
59,Mond::N,oy,ай
60,Stern::N,yulduz,йондоҙ
61,Luft::N,havo,һауа
62,Wind::N,el,ел
63,Welle::N,to'lqin,тулҡын
64,Wasser::N,suv,һыу
65,Stein::N,tosh,таш
66,Boden::N,tuproq,тупраҡ
67,Erde::N,er,балсҡ
68,Staub::N,chang,туҙан
69,Rauch::N,tutun,төтөн
70,Funke::N,yalt,осҡон
71,Feuer::N,o't,ут
72,Licht::N,yorug',яҡтылыҡ
73,Schatten::N,soya,күләгә
74,Wetter::N,havo,һауа торошо
75,Nebel::N,tuman,төман
76,Wolke::N,bulut,болот
77,Regen::N,yomg'ir,ямғыр
78,Schnee::N,qor,ҡар
79,Eis::N,muz,боҙ
80,Frost::N,ajoz,һалҡын
81,Kälte::N,ajoz,һыуыҡ
82,Hitze::N,issiq,томра
83,Hitze::N,issiq,эҫелек
84,Raureif::N,qirov,ҡырау
85,Regenbogen::N,kamalak,йәйғор
86,Donner::N,guldur,күк күкрәү
87,Strömung::N,oqim,ағым
88,Tropfen::N,tomchi,тамсы
89,Schaum::N,ko'pik,күбек
90,Schmutz::N,gard,батҡаҡ
91,See::N,ko'l,күл
92,Sumpf::N,botqoq,һаҙлык
93,Moor::N,qir-adir,һаҙ
94,Wiese::N,o'tzor,болон
95,Wald::N,o'rmon,урман
96,Hügel::N,tepa,түбә
97,Anhöhe::N,adir,түбә
98,Anhöhe::N,adir,ҡалҡыулыҡ
99,Berg::N,tog',тау
100,Gipfel::N,cho'qqi,түбә
101,Höhle::N,kavak,мәмерйә
102,Abhang::N,to'sh,ипкен
103,Quelle::N,buloq,шишмә
104,Bach::N,o'zan,шишмә
105,Fluss::N,daryo,йылға
106,Ufer::N,sohil,яр
107,Küste::N,qirg'oq,яр буйы
108,Festland::N,materik,ҡоро ер
109,Meer::N,dengiz,диңгез
110,Bucht::N,qo'ltiq,бухта
111,Insel::N,orol,үтрау
112,Blume::N,gul,сәскә
113,Gras::N,sabza,үлән
114,Wurzel::N,tub,тамыр
115,Wurzel::N,tomir,тамыр
116,Baum::N,daraxt,ағас
117,Stamm::N,o'simta,олон
118,Stamm::N,o'simta,көбәк
119,Rinde::N,qobiq,ҡабыҡ
120,Ast::N,shox,ботаҡ
121,Zweig::N,butoq,ботаҡ
122,Zweig::N,butoq,тармаҡ
123,Blatt::N,barg,япраҡ
124,Birke::N,qayin,ҡайын
125,Kiefer[Baum]::N,qarag'ay,ҡарғай
126,Weide[Baum]::N,shum,тал
127,Tanne::N,archa,шыршы
128,Horn::N,mugiz,мөғөҙ
129,Feder::N,par,ҡауырһын
130,Fell::N,mo'yna,тире
131,Flügel::N,qanot,ҡанат
132,Klaue::N,tirnoq,тырнаҡ
133,Kralle::N,tirnoq,аяҡ
134,Schwanz::N,quyruq,ҡойроҡ
135,Ei::N,tuxum,йомортҡа
136,Nest::N,oshyon,оя
137,Bau::N,o'pqon,оң
138,Tier::N,hayvon,жайуан
139,Tier::N,hayvon,йыртҡыс
140,Herde::N,gala,көтөү
141,Kuh::N,inak,һыйыр
142,Bulle::N,ho'kiz,үгеҙ
143,Pferd::N,ot,ат
144,Schaf::N,qo'y,һарыҡ
145,Schwein::N,cho'chqa,сусҡа
146,Hund::N,it,эт
147,Katze::N,mushuk,бесәй
148,Bär::N,ayiq,айыу
149,Eichhörnchen::N,tiyin,тейен
150,Elch::N,los,мышы
151,Fuchs::N,tulki,төлкө
152,Hase::N,kuyon,ҡуян
153,Maus::N,sichqon,сысҡан
154,Wolf::N,bo'ri,бүре
155,Vogel::N,qush,ҡош
156,Schwarm::N,to'da,көтөү
157,Huhn::N,tovuq,тауыҡ
158,Hahn::N,xo'roz,әтәс
159,Gans::N,g'oz,ҡаҙ
160,Adler::N,burgut,бөркөт
161,Ente::N,o'rdak,өйрәк
162,Eule::N,boyo'g'li,өкө
163,Eule::N,boyo'g'li,ябалаҡ
164,Kranich::N,turna,торна
165,Krähe::N,qarg'a,ҡарға
166,Kuckuck::N,kakku,кәкүк
167,Schwan::N,oqkush,аҡҡош
168,Fisch::N,baliq,балыҡ
169,Barsch::N,olabug'a,алабуға
170,Hecht::N,cho'rtan,суртан
171,Schlange[Tier]::N,ilon,йылан
172,Wurm::N,qurt,селяүсен
173,Spinne::N,o'rgimchak,үрмәксе
174,Ameise::N,chumoli,ҡырмыҫҡа
175,Laus::N,bit,бет
176,Mücke::N,chivin,серәкәй
177,Fliege::N,pashsha,себен
178,Schmetterling::N,kapalak,күбәләк
179,Beere::N,meva,еләк
180,Apfel::N,olma,алма
181,Pilz::N,qo'ziqorin,бәшмәк
182,Zwiebel::N,piyoz,һуган
183,Saat::N,äkin,орлоҡ
184,Korn::N,zarra,иген
185,Heu::N,xashak,бесән
186,Schale::N,po'choq,ҡабыҡ
187,Grube::N,co'ra,соҡор
188,Falle::N,qopqon,тоҙак
189,Falle::N,qopqon,ҡапҡан
190,Schlinge::N,sirtmoq,тоҙак
191,Spur::N,iz,әҫер
192,Asche::N,kul,көл
193,Dreck::N,kir,батҡаҡ
194,Eisen::N,temir,тимер
195,Gold::N,tilla,алтын
196,Silber::N,kumush,көмөш
197,Kohle::N,ko'mir,күмер
198,Glas::N,oyna,быяла
199,Lehm::N,loy,балсыҡ
200,Sand::N,qum,ҡом
201,Mensch::N,odam,кеше
202,Mann::N,ärkak,ир
203,Frau::N,ayol,ҡатын
204,Kind::N,bola,бала
205,Kind::N,kichkintoy,бала
206,Junge::N,bola,малай
207,Mädchen::N,qiz,ҡыҙ
208,Mädchen::N,qiz,ҡыҙыҡай
209,Familie::N,oila,ғаилә
210,Großvater::N,buva,олатай
211,Großvater::N,katta ota,олатай
212,Großmutter::N,buvi,әбәй
213,Großmutter::N,katta oyi,әбәй
214,Eltern::N,ota-ona,ата-әсә
215,Vater::N,ota,атай
216,Mutter::N,ona,әсә
217,Sohn::N,o'g'il,ул
218,Tochter::N,qiz,ҡыҙ
219,Bruder::N,og'a,агай
220,Bruder::N,uka,агай
221,Schwester::N,opa,алай
222,Schwester::N,opa,һеңле
223,Schwester::N,singil,алай
224,Schwester::N,singil,һеңле
225,Onkel::N,amaki,ағай
226,Tante::N,amma,апай
227,Tante::N,xola,апай
228,Ehemann::N,är,ир
229,Ehefrau::N,rafiqa,ҡатын
230,Freude::N,ayish,шатлыҡ
231,Freude::N,ayish,ҡыуаныс
232,Gelächter::N,kulgi,көлөү
233,Glück::N,saodat,бәхет
234,Kummer::N,g'am,ҡайғы
235,Wunsch::N,orzu,теләк
236,Lust::N,rag'bat,әүәҫлек
237,Geist::N,ruh,аң
238,Geist::N,ruh,рух
239,Gedanke::N,fikr,уй
240,Gedanke::N,fikr,фекер
241,Gedächtnis::N,äs,хәтер
242,Verstand::N,aql,аҡыл
243,Sinn::N,ma'ni,мәғәня
244,Grund::N,sabab,сәбәп
245,Wahrheit::N,haq,дөрөҫлөк
246,Gespräch::N,gap,әңгәмә
247,Märchen::N,ärtak,әкиәт
248,Erzählung::N,rivoyat,хикәйә
249,Nachricht::N,xabar,хәбәр
250,Neuigkeit::N,yangilik,яңылыҡ
251,Name::N,ot,исем
252,Rätsel::N,topishmoq,йомаҡ
253,Rede::N,nutq,телмәр
254,Sprache::N,til,тел
255,Sprache::N,til,телмәр
256,Stimme::N,ovoz,тауыш
257,Wort::N,so'z,һүҙ
258,Zeichen::N,alomat,билдә
259,Ruf::N,chaqiriq,саҡырыу
260,Lärm::N,taraq,шаулау
261,Laut::N,tovush,тауыш
262,Ton::N,un,яңғырау
263,Lied::N,ashula,йыр
264,Ruhe::N,tinchlik,ял
265,Ruhe::N,tinchlik,тыныслыҡ
266,Leute::N,xaloyiq,кешеләр
267,Volk::N,xalq,халҡ
268,Arbeit::N,ish,эш
269,Gast::N,mehmon,ҡунаҡ
270,Geschenk::N,hadya,бүләк
271,Spiel::N,o'yin,уйын
272,Gesellschaft::N,jamiyat,йәмғиәт
273,Hilfe::N,yordam,ярҙам
274,Freund::N,do'st,дуҫ
275,Kamerad::N,yo'ldosh,иптәш
276,Angelegenheit::N,daxl,әш
277,Anzahl::N,son,һан
278,Art::N,tur,төр
279,Stück::N,parcha,киҫәк
280,Teil::N,bo'lak,өлөш
281,Hälfte::N,yarim,ярты
282,Kreis::N,aylana,түңәрәк
283,Kreuz::N,xoch,тәре
284,Linie::N,liniya,һыҙыҡ
285,Strich::N,chiziq,һыҙат
286,Abstand::N,oralik,ара
287,Entfernung::N,uzoqlik,алыҫлыҡ
288,Gegend::N,yer,урын
289,Platz::N,oralig,арауыҡ
290,Ort::N,joy,ерҙәр
291,Ort::N,joy,урындар
292,Ort::N,joy,эш урыны
293,Seite::N,yon,яҡ
294,Mitte::N,o'rta,урталыҡ
295,Gegenstand::N,ashyo,нәмә
296,Sache::N,buyum,нәмә
297,Sache::N,buyum,әйбер
298,Rand::N,chek,сит
299,Kante::N,tig',ҡабырға
300,Kante::N,tig',ян
301,Ecke::N,burchak,мөйөш
302,Spitze::N,uch,ос
303,Ende::N,oxir,аҙаҡ
304,Loch::N,teshik,тишек
305,Winkel::N,go'sha,мөйөш
306,Muster::N,nusha,биҙәк
307,Größe::N,kattalik,ҙурлыҡ
308,Länge::N,uzunlik,оҙонлоҡ
309,Höhe::N,yuksaklik,бейеклек
310,Gewicht::N,solmoq,үлсәү
311,Menge::N,miqdor,һан
312,Haufen::N,uyum,өйөм
313,Reihe::N,saf,рәт
314,Boot::N,qayiq,кәмә
315,Ruder::N,äshkak,ишкәк
316,Schlitten::N,chana,сана
317,Ski::N,chang'i,саңгы
318,Lagerfeuer::N,gulxan,костер
319,Last::N,yuk,ауырлыҡ
320,Gang::N,yurish,барыу
321,Schritt::N,qadam,аҙым
322,Norden::N,shimol,төньяҡ
323,Süden::N,janub,көньяҡ
324,Westen::N,g'arb,көнбайыш
325,Osten::N,sharq,көнсығыш
326,Holz::N,yog'och,үағас
327,Brett::N,taxta,таҡта
328,Platte::N,tabaqa,плита
329,Stütze::N,tayanchi,терәк
330,Stange::N,qo'noq,кәртә
331,Stock::N,tayoq,таяҡ
332,Stab::N,gavron,ҡолға
333,Rohr::N,tarnov,торба
334,Haus::N,uy,өй
335,Haus::N,uy,йорт
336,Heim::N,makon,өй
337,Ofen::N,pechka,мейес
338,Fußboden::N,pol,енес
339,Tisch::N,mosa,өҫтәл
340,Stuhl::N,o'rindiq,ултырғыс
341,Wiege::N,beshik,бишек
342,Bett::N,yotoq,карауат
343,Regal::N,tokcha,кәштә
344,Kiste::N,sandiq,йәшинк
345,Fenster::N,deraza,тәҙрә
346,Tür::N,äshik,ишек
347,Tor::N,darvoza,ҡапҡа
348,Zaun::N,panjara,ҡойма
349,Dach::N,tom,түбә
350,Dach::N,tom,ҡыйыҡ
351,Leiter::N,narvon,баҫҡыс
352,Besen::N,supurgi,һепертке
353,Spaten::N,bel,көрәк
354,Schaufel::N,kurak,көрәк
355,Gabel::N,bilka,сәнске
356,Löffel::N,qoshiq,ҡалаҡ
357,Messer::N,pichoq,бысаҡ
358,Nagel::N,mix,сөй
359,Netz::N,to'r,ау
360,Haken::N,ilgak,ыргаҡ
361,Griff::N,sop,тотҡа
362,Griff::N,tutqich,тотҡа
363,Schloss::N,qulf,йоҙаҡ
364,Bild::N,rasm,картина
365,Figur::N,shakl,һын
366,Puppe::N,ko'g'irchoq,ҡурсаҡ
367,Beutel::N,to'rva,тоҡ
368,Bündel::N,bog'lam,төргәк
369,Tasche::N,kissa,сумка
370,Eimer::N,chelak,биҙрә
371,Deckel::N,qopqoq,ҡапҡас
372,Geschirr::N,idish,һауыт-һаба
373,Sack::N,qop,тоҡ
374,Tasse::N,piyola,сынаяҡ
375,Topf::N,tuvak,кәстрүл
376,Kessel::N,qozon,ҡаҙан
377,Essen::N,tomoq,ашау
378,Nahrung::N,emak,аҙыҡ
379,Speise::N,taom,аш
380,Fleisch::N,go'sht,ит
381,Getreide::N,g'alla,иген
382,Getreide::N,g'alla,ашлыҡ
383,Brei::N,bo'tqa,бутҡа
384,Brot::N,non,икмәк
385,Scheibe::N,disk,телем
386,Fett::N,moy,май
387,Butter::N,yog',май
388,Öl::N,moy,май буяуы
389,Salz::N,tuz,тоҙ
390,Suppe::N,sho'rva,һурпа
391,Honig::N,asal,бал
392,Milch::N,sut,һөт
393,Tee::N,choy,сәй
394,Leder::N,charm,күн
395,Wolle::N,jun,йөн
396,Stoff::N,mato,туҡыма
397,Nadel::N,igna,энә
398,Faden::N,ip,еп
399,Knopf::N,tugma,төймә
400,Knoten::N,tugun,төйөн
401,Farbe::N,bo'yok,буяу
402,Kleidung::N,kiyim,кейем
403,Hemd::N,ko'ylak,күлдәк
404,Kragen::N,yoqa,яға
405,Ärmel::N,yeng,ең
406,Hose::N,shim,салбар
407,Gürtel::N,tasma,ҡайыш
408,Mütze::N,shapka,бүрк
409,Schuh::N,but,туфли
410,Stiefel::N,botinka,итек
411,Ring::N,yuzuk,йөҙөк
412,Ring::N,yuzuk,балдаҡ
413,Band::N,rishta,таҫма
414,Kamm::N,taroq,тараҡ
415,Spiegel::N,ko'zgu,көзгө
416,Riemen::N,qayish,ҡайыш
417,Schnur::N,bog'ich,бау
418,Leine::N,etak,бау
419,Decke::N,odyol,одеяд
420,Kissen::N,yostiq,мендәр
421,Tuch::N,gazlama,яулыҡ
422,Handtuch::N,sochiq,таҫтамал
423,Kraft::N,kuch,көс
424,Stärke::N,quvvat,көс
425,Gesundheit::N,sog'lik,һаулыҡ
426,Krankheit::N,kasallik,сир
427,Krankheit::N,kasallik,ауырыу
428,Schmerz::N,og'riq,һыҙлау
429,Schmerz::N,og'riq,әрнеү
430,Wunde::N,yara,йәрәхәт
431,Fieber::N,bezgak,тапма
432,Fieber::N,bezgak,биҙгәк
433,Arznei::N,dori,дарыу
434,Brücke::N,ko'prik,күпер
435,Brunnen::N,buloq,ҡоҙоҡ
436,Weide::N,yaylov,көтөүлек
437,Pfad::N,dorojka,һуҡмаҡ
438,Weg::N,yo'l,юл
439,Straße::N,ko'cha,урам
440,Dorf::N,ovul,ауыл
441,Stadt::N,shahar,ҡала
442,Brief::N,maktub,хат
443,Buch::N,kitob,китап
444,Buch::N,kitob,кенәгә
445,Buchstabe::N,harf,хәреф
446,Zeitung::N,gazet,гәзит
447,Leben::N,hayot,йәшәү
448,Tod::N,o'lim,үлем
449,Grab::N,go'r,ҡәбер
450,Kirche::N,cherkov,сиркәү
451,Sünde::N,gunoh,гөнаһ
452,Gott::N,olloh,алла
453,Gott::N,olloh,хоҙай
454,Arbeiter::N,ishchi,эшсе
455,Chef::N,rais,башлыҡ
456,Meister::N,usta,оҫта
457,Arzt::N,hakim,врач
458,Lehrer::N,muallim,уҡытыусы
459,Geld::N,pul,аҡса
460,Geschäft::N,savdo,эш
461,Laden::N,do'kon,магазин
462,Preis::N,baho,хаҡ
463,Ware::N,mol,тауар
464,Nutzen::N,foyda,файҙа
465,Reichtum::N,boylik,байлыҡ
466,Welt::N,olam,донъя
467,Land::N,o'lka,ил
468,Staat::N,davlat,дәүләт
469,König::N,qirol,король
470,Macht::N,iqtidor,власть
471,Grenze::N,chegara,сик
472,Krieg::N,harb,һуғыш
473,Feind::N,dushman,йылан
474,Gewalt::N,zo'rlik,көслөк
475,Kampf::N,kurash,көрәш
476,Bogen[Waffe]::N,yoy,йәйә
477,Pfeil::N,o'q,уҡ
478,Gewehr::N,vintovka,мылтыҡ
479,Fehler::N,xato,хата
480,Lüge::N,yolg'on,ялған
481,Schaden::N,ziyon,зыян
482,Schaden::N,ziyon,зарар
483,Unglück::N,balo,ҡаза
484,Schuld::N,ayb,ғәйеп
485,Alter::N,yosh,йәш
486,Schluss::N,tamom,һуң
487,Schluss::N,tamom,аҙаҡ
488,Zeit::N,vaqt,мәл
489,Zeit::N,vaqt,заман
490,Tag::N,kun,көн
491,Morgen::N,saboh,иртә
492,Morgen::N,saboh,иртәнсәк
493,Mittag::N,kun tushlik,төш
494,Abend::N,oqshom,кис
495,Nacht::N,tun,төн
496,Woche::N,hafta,аҙна
497,Monat::N,oy,ай
498,Jahr::N,yil,йыл
499,Frühling::N,bahor,яҙ
500,Sommer::N,yoz,йәй
501,Herbst::N,kuz,көз
502,Herbst::N,xazon,көз
503,Winter::N,qish,ҡыш
504,Januar::N,yanvar',ғинуар
505,Februar::N,fevral',февраль
506,März::N,mart,март
507,April::N,aprel',апрель
508,Mai::N,may,май
509,Juni::N,iyun',июнь
510,Juli::N,iyul',июль
511,August::N,avgust,август
512,September::N,sentyabr',сентябрь
513,Oktober::N,oktyabr',октябрь
514,November::N,noyabr',ноябрь
515,Dezember::N,dekabr',декабрь
516,Montag::N,dushanba,дүшәмбе
517,Dienstag::N,seshanba,шишәмбе
518,Mittwoch::N,chorshanba,шаршамбы
519,Donnerstag::N,payshanba,кесаҙна
520,Freitag::N,juma,йома
521,Samstag::N,shanba,шәмбе
522,Sonntag::N,yakshanba,йәкшәмбе
523,groß::A,buyuk,ҙур
524,klein::A,kichik,бәләкәс
525,lang::A,uzun,оҙон
526,kurz::A,qisqa,ҡыҫҡа
527,breit::A,keng,киң
528,schmal::A,änsiz,тар
529,dicht::A,quyuq,йыш
530,dicht::A,quyuq,ҡуйы
531,dick[Gegenstand]::A,qalin,ҡалын
532,dünn::A,ingichka,йоҡа
533,dünn::A,ingichka,нәҙек
534,fein::A,mayin,нескә
535,fest::A,qattiq,ныҡ
536,flach::A,yalpoq,яҫы
537,flach::A,yalpoq,ялпаҡ
538,glatt::A,tekis,шыма
539,hart::A,qattiq,ҡаты
540,weich::A,yumshoq,йомшаҡ
541,rund::A,yumaloq,түңәрәк
542,spitz::A,uchli,осло түбәле
543,scharf::A,keskir,үткер
544,stumpf::A,to'mtoq,утмәҫ
545,schwer::A,salmoqli,ауыр
546,schön::A,go'zal,матур
547,heiß::A,qiziq,эҫе
548,warm::A,issiq,йылы
549,kalt::A,sovuq,һыуыҡ
550,kühl::A,salqin,һалҡынса
551,frisch::A,toza,һалҡынса
552,feucht::A,namli,еүеш
553,feucht::A,namli,дымлы
554,nass::A,nam,еүеш
555,trocken::A,quruq,кипкән
556,voll::A,to'la,тулы
557,leer::A,puch,буш
558,offen::A,ochiq,асыҡ
559,geschlossen::A,berk,ябыҡ
560,sauber::A,ozoda,таҙа
561,schmutzig::A,kir,бысраҡ
562,roh::A,xom,сей
563,reif::A,pishiq,өлгөрғән
564,lecker::A,shirin,тәмле
565,süß::A,shirin,тямле
566,süß::A,shirin,тәм-том
567,bitter::A,achchiq,әсе
568,sauer::A,achchiq,әсе
569,hell::A,yorug',яҡты
570,dunkel::A,qorong'i,ҡараңғы
571,schwarz::A,qora,ҡара
572,weiß::A,oq,аҡ
573,rot::A,qizil,матур
574,rot::A,qizil,һылыу
575,rot::A,qizil,сибәр
576,gelb::A,sariq,һары
577,blau::A,zangori,күк
578,grün::A,yashil,йәшел
579,grau::A,bo'z,буҙ
580,bunt::A,ola,сыбар
581,bunt::A,ola,ала-ҡола
582,billig::A,arzon,арзан
583,teuer::A,qimmat,ҡыйбатлы
584,wertvoll::A,qimmat,ҡиммәтле
585,blind::A,ko'r,һуҡыр
586,taub::A,garang,һаңғырау
587,kräftig::A,kuchli,көслө
588,kräftig::A,kuchli,ҡеүәтле
589,stark::A,quvvatli,көслө
590,stark::A,quvvatli,ҡеүәтле
591,schwach::A,kuchsiz,көсһөҙ
592,fett::A,semiz,һимеҙ
593,schlank::A,ingichka,зифа
594,hübsch::A,ko'rkam,матур
595,böse::A,yovuz,асыулы
596,dumm::A,aqlsiz,иҫәр
597,faul::A,ärinchak,иренсәк
598,fleißig::A,ishchan,тырыш
599,geizig::A,qurumsoq,һаран
600,klug::A,oqil,аҡыллы
601,geschickt::A,äpchil,оҫта
602,lieb::A,aziz,яғымлы
603,lustig::A,chaqchaq,күңелле
604,sanft::A,asta,йыуаш
605,hungrig::A,och,ас
606,krank::A,kasal,сирле
607,krank::A,kasal,ауырыу
608,nackt::A,yalang,яланғас
609,traurig::A,xafa,яманһыу
610,lebendig::A,hayotiy,тере
611,lebendig::A,hayotiy,йәнле
612,gut::A,soz,яҡшы
613,schlecht::A,yomon,хөрт
614,schlecht::A,yomon,алама
615,richtig::A,rost,дөрөҫ
616,schlimm::A,yovuz,хөрт
617,schlimm::A,yovuz,алама
618,wahr::A,haqiqiy,дөрөҫ
619,alt::A,äski,иҫке
620,alt::A,äski,боронғо
621,neu::A,yangi,яңы
622,ehemalig::A,sobiq,элекке
623,alt[Lebewesen]::A,qari,ҡарт
624,jung::A,navqiron,йәш
625,arm::A,abgor,фәҡир
626,reich::A,boy,бай
627,bekannt::A,ma'lum,таныш
628,berühmt::A,mashhur,атаҡлы
629,berühmt::A,mashhur,данлыҡлы
630,fremd::A,yot,ят
631,fremd::A,yot,сит
632,verschieden::A,turli,төрлө
633,nah::A,yaqindagi,яҡын
634,fern::A,uzoq,алыҫ
635,fern::A,uzoq,йыраҡ
636,linker::A,so'l,һул
637,rechter::A,o'ng,уң
638,anderer::A,boshqa,бутән
639,erster::A,birinchi,тәүге
640,zweiter::A,ikkinchi,икенсе
641,dritter::A,uchinchi,өсөнсө
642,letzter::A,oxirgi,һуңғы
643,allein::ADV,o'zicha,бер үҙе
644,allein::ADV,o'zicha,яңғыҙ
645,auf einmal::ADV,varakay,бер юлы
646,zusammen::ADV,barobar,бергә
647,lange::ADV,uzoq,оҙаҡ
648,plötzlich::ADV,qo'qqisdan,ҡапыл
649,sofort::ADV,darrov,шунда уҡ
650,später::ADV,so'ngra,һуңыраҡ
651,jetzt::ADV,hozirgina,хәҙер
652,heute::ADV,bugun,бөгөн
653,morgen::ADV,ärta,иртәгә
654,bald::ADV,toz,тиҙҙән
655,dann::ADV,keyin,һуңынан
656,gestern::ADV,kecha,кисә
657,einst::ADV,avvallari,ҡасандыр
658,einst::ADV,avvallari,бер баҡыт
659,damals::ADV,ugal,ул саҡта
660,danach::ADV,so'ngra,һуңынан
661,vorher::ADV,avval,элек
662,zuerst::ADV,avval,башта
663,einmal::ADV,bir marta,бер
664,manchmal::ADV,onda-sonda,ҡайһы берҙә
665,oft::ADV,tez-tez,йыш
666,immer::ADV,har vaqt,һәр ҡасан
667,niemals::ADV,hargiz,бер ҡасан да
668,niemals::ADV,hargiz,бер ваҡытта ла
669,hier::ADV,shu erda,бында
670,hierhin::ADV,beri,бында
671,von hier::ADV,shu erdan,бынан
672,von hier::ADV,shu erdan,ошонан
673,dort::ADV,ana,шунда
674,dort::ADV,ana,тегендә
675,dorthin::ADV,u yerga,шунда
676,dorthin::ADV,u yerga,тегеләй
677,geradeaus::ADV,to'g'ri,тура
678,vorwärts::ADV,ilgari,алға
679,rückwärts::ADV,qoloq,кирегә
680,zurück::ADV,orqada,кирегә
681,unten::ADV,pastda,түбәндә
682,hinab::ADV,tubanga,түбәнгә
683,oben::ADV,ustida,юғарыла
684,hinauf::ADV,yuqorida,юғарыға
685,überall::ADV,har erda,бөтә урында
686,nicht::ADV,ämas,тугел
687,ein wenig::ADV,biroz,аҙ
688,kaum::ADV,arang,көскә
689,kaum::ADV,arang,саҡ-саҡ
690,sehr::ADV,ancha,ифат
691,so::ADV,shunday,шулай
692,noch::ADV,hali,йәнә
693,nur::ADV,yolg'iz,бары
694,schon::ADV,endi,инде
695,wieder::ADV,yana,тағы
696,vergebens::ADV,bekorga,бушҡа
697,vor::PRP,burun,алдында
698,hinter::PRP,ketida,артында
699,unter::PRP,ostida,аҫтында
700,durch::PRP,bo'ylab,үтә
701,neben::PRP,yonida,эргәһендә
702,zwischen::PRP,orada,араһында
703,wegen::PRP,sababli,өсөн
704,wegen::PRP,sababli,сәбәпле
705,dies::PRN,o'sha,был
706,dies::PRN,o'sha,ошо
707,das::PRN,narigi,ул
708,alles::PRN,har nima,бөтә
709,ich::PRN,men,мин
710,du::PRN,sen,һин
711,er::PRN,u,ул
712,wir::PRN,biz,беҙ
713,ihr::PRN,siz,һеҙ
714,sie::PRN,ular,улар
715,was::FPRN,nima,ә
716,was::FPRN,nima,ни
717,was::FPRN,nima,нәмә
718,wer::FPRN,kim,ҡем
719,wo::FADV,qaerda,ҡайҙа
720,wohin::FADV,qayerga,ҡайҙа
721,wie::FADV,qanday,инидәй
722,warum::FADV,nega,ин өсөн
723,wieviel::FNUM,qancha,күпме
724,eins::NUM,bir,бер
725,zwei::NUM,ikki,ике
726,zwei::NUM,ikki,икәү
727,drei::NUM,uch,өс
728,vier::NUM,to'rt,дүрт
729,fünf::NUM,besh,биш
730,sechs::NUM,olti,алты
731,sieben::NUM,etti,ете
732,acht::NUM,sakkiz,һигеҙ
733,neun::NUM,to'qqiz,туғыҙ
734,zehn::NUM,o'n,ун
735,elf::NUM,o'n bir,ун бер
736,zwölf::NUM,o'n ikki,ун ике
737,zwanzig::NUM,yigirma,егерме
738,dreißig::NUM,o'ttiz,утыҙ
739,vierzig::NUM,qirq,ҡырҡ
740,fünfzig::NUM,ällik,илле
741,sechzig::NUM,oltmish,алтмыш
742,siebzig::NUM,etmish,етмеш
743,achtzig::NUM,sakson,һикһән
744,neunzig::NUM,to'qson,туҡһан
745,hundert::NUM,yuz,йөҙ
746,tausend::NUM,ming,мең
747,und::CNJ,va,да
748,oder::CNJ,yo,йәки
749,stehen::V,turmoq,тороу
750,sitzen::V,o'tirmoq,ултырыу
751,liegen::V,yotmoq,ятыу
752,hängen::V,osilmoq,аҫылынып тороу
753,werden::V,bo'lmoq,булыу
754,passieren::V,bo'lib o'tmoq,булыу
