,Concept_ID,he,cv
148,Schwein::N,חזיר,сысна
149,Hund::N,כלב,йытӑ
150,Katze::N,חתול,кушак
151,Bär::N,דב,упа
152,Eichhörnchen::N,סנאי,пакша
153,Elch::N,דישון,пӑши
154,Fuchs::N,שועל,тилӗ
155,Hase::N,ארנב,куян
156,Hase::N,ארנב,мулкач
157,Maus::N,עכבר,шӑши
158,Wolf::N,זאב,кашкӑр
159,Vogel::N,צפור,кайӑк
160,Vogel::N,צפור,вӗҫен кайӑк
161,Schwarm::N,נחיל,ушкӑн
162,Schwarm::N,להקה,ушкӑн
163,Huhn::N,תרנגלת,чӑх
164,Huhn::N,תרנגלת,чӑхӑ
165,Hahn::N,תרנגול,автан
166,Gans::N,אוז,хур
167,Adler::N,עיט,ӑмӑрт кайӑк
168,Ente::N,ברוז,кӑвакал
169,Eule::N,ינשוף,тӑмана
170,Kranich::N,עגור,тӑрна
171,Kranich::N,כרוכיה,тӑрна
172,Krähe::N,עורב,ула курак
173,Kuckuck::N,קוקיה,куккук
174,Schwan::N,ברבור,акӑш
175,Fisch::N,דג,пулӑ
176,Barsch::N,אוקונוס,уланкӑ
177,Hecht::N,זאב הים,ҫӑрттан
178,Schlange[Tier]::N,נחש,ҫӗлен
179,Wurm::N,תולעת,ӑман
180,Spinne::N,עכביש,эрешмен
181,Ameise::N,נמלה,кӑткӑ
182,Laus::N,כנה,пыйтӑ
183,Mücke::N,יתוש,вӑрӑм туна
184,Fliege::N,זבוב,шӑна
185,Schmetterling::N,פרפר,лӗпӗш
186,Beere::N,ענבה,ҫырла
187,Apfel::N,תפוח,улма
188,Apfel::N,תפוח,пан улми
189,Pilz::N,פטריה,кӑмпа
190,Zwiebel::N,בצל,сухан
191,Saat::N,זרעים,вӑрӑ
192,Korn::N,גרעין,тӗшӗ
193,Korn::N,גרעין,пӗрчӗ
194,Heu::N,חציר,утӑ
195,Schale::N,קלפה,хупӑ
196,Grube::N,בור,шӑтӑк
197,Grube::N,שוחה,шӑтӑк
198,Falle::N,מלכדת,тапӑ
199,Falle::N,מלכדת,капкӑн
200,Schlinge::N,לולאה,йӑлӑ
201,Spur::N,עקבה,йӗр
202,Asche::N,אפר,кӗл
203,Dreck::N,זהמה,пылчӑк
204,Eisen::N,ברזל,тимӗр
205,Gold::N,זהב,ылтӑн
206,Silber::N,כסף,кӗмӗл
207,Kohle::N,פחם,кӑмрӑк
208,Glas::N,זכוכית,кӗленче
209,Lehm::N,חרסית,тӑм
210,Sand::N,חול,хӑйӑр
211,Mensch::N,אדם,ҫын
212,Mensch::N,אדם,этем
213,Mann::N,איש,ар
214,Mann::N,גבר,ар
215,Frau::N,אשה,хӗрарӑм
216,Frau::N,גברת,хӗрарӑм
217,Kind::N,ילד,ача
218,Junge::N,ילד,ача
219,Junge::N,ילד,ар ҫын ача
220,Mädchen::N,נערה,хӗр ача
221,Familie::N,משפחה,ҫемье
222,Familie::N,משפחה,кил-йыш
223,Großvater::N,סבא,кукаҫи
224,Großmutter::N,סבתא,кукамай
225,Eltern::N,הורים,аҫа-ама
226,Vater::N,אב,атте
227,Mutter::N,אם,анне
228,Sohn::N,בן,ывӑл
229,Tochter::N,בת,хӗр
230,Bruder::N,אח,ар тӑван
231,Schwester::N,אחות,аппа
232,Schwester::N,אחות,йӑмӑк
233,Onkel::N,דוד,мучи
234,Onkel::N,דוד,пичче
235,Tante::N,דודה,аппа
236,Ehemann::N,איש,упӑшка
237,Ehemann::N,בעל,упӑшка
238,Ehefrau::N,אשה,арӑм
239,Freude::N,שמחה,савӑнӑҫ
240,Freude::N,שמחה,хаваслӑх
241,Gelächter::N,צחוק,кулӑ
242,Glück::N,אשר,телей
243,Glück::N,אשר,ӑраскал
244,Kummer::N,יגון,хурлӑх
245,Kummer::N,עגמה,хурлӑх
246,Wunsch::N,אחול,ӗмӗт
247,Wunsch::N,אחול,кӑмӑл
248,Wunsch::N,משאלה,ӗмӗт
249,Wunsch::N,משאלה,кӑмӑл
250,Lust::N,חשק,кӑмӑл
251,Lust::N,תשוקה,кӑмӑл
252,Geist::N,רוח,чун-чӗм
253,Geist::N,רוח,ыр-усал
254,Geist::N,רוח,чун хавалӗ
255,Gedanke::N,מחשבה,шухӑш
256,Gedächtnis::N,זכרון,ас
257,Verstand::N,שכל,ӑс
258,Verstand::N,שכל,ӑс-тӑн
259,Verstand::N,שכל,ӑс-хакӑл
260,Sinn::N,מובן,тупсӑм
261,Sinn::N,מובן,пӗлтерӗш
262,Sinn::N,משמעות,тупсӑм
263,Sinn::N,משמעות,пӗлтерӗш
264,Grund::N,סבה,сӑлтав
265,Wahrheit::N,אמת,чӑнлӑх
266,Gespräch::N,דיון,калаҫу
267,Märchen::N,אגדה,юмах
268,Erzählung::N,ספור,акалав
269,Erzählung::N,ספור,каласа пани
270,Nachricht::N,ידיעה,хыпар
271,Neuigkeit::N,חדשה,ҫӗнӗ хыпар
272,Name::N,שם,ят
273,Rätsel::N,תעלומה,сутмалли юмах
274,Rede::N,נאום,сӑмах
275,Sprache::N,לשון,чӗлхе
276,Stimme::N,קול,сасӑ
277,Wort::N,מלה,сӑмах
278,Zeichen::N,סימן,паллӑ
279,Ruf::N,קריאה,йыхрав
280,Ruf::N,קריאה,чӗнӳ
281,Lärm::N,רעש,шав
282,Laut::N,הגה,сасӑ
283,Ton::N,צליל,сасӑ
284,Lied::N,שיר,юрӑ
285,Ruhe::N,שלוה,канӑҫлӑх
286,Ruhe::N,שלוה,лӑпкӑлӑх
287,Leute::N,אנשים,ҫамрӑксем
288,Leute::N,אנשים,ҫамрӑк ҫынсем
289,Volk::N,עם,халӑх
290,Arbeit::N,עבודה,ӗҫхӗл
291,Arbeit::N,עבודה,ӗҫлев
292,Gast::N,אורח,хӑна
293,Geschenk::N,מתנה,парне
294,Geschenk::N,מתנה,кучченеҫ
295,Spiel::N,משחק,вӑйӑ
296,Gesellschaft::N,חברה,общество
297,Hilfe::N,עזרה,пулӑшу
298,Freund::N,חבר,тус
299,Freund::N,ידיד,тус
300,Kamerad::N,רע,юлташ
301,Kamerad::N,רע,тус
302,Angelegenheit::N,ענין,ӗҫ
303,Anzahl::N,מספר,йыш
304,Anzahl::N,מספר,хисеп
305,Art::N,סוג,тӗс
306,Stück::N,חתיכה,татӑк
307,Teil::N,פרק,пай
308,Hälfte::N,חצי,ҫурӑ
309,Kreis::N,מעגל,ункӑ
310,Kreis::N,מעגל,ҫавракӑш
311,Kreuz::N,צלב,хӗрес
312,Linie::N,קו,йӗр
313,Strich::N,קו קצר,йӗр
314,Abstand::N,מרחק,хушӑ
315,Entfernung::N,מרחק,хушӑ
316,Gegend::N,נוף,вырӑн
317,Platz::N,שטח,хутлӑх
318,Ort::N,אתר,вырӑн
319,Ort::N,מקום,вырӑн
320,Seite::N,צד,ен
321,Seite::N,צד,аяк
322,Seite::N,צד,айӑк
323,Mitte::N,אמצע,варӑ
324,Gegenstand::N,אוביקט,япала
325,Sache::N,דבר,япала
326,Rand::N,פרור,вӗҫ
327,Rand::N,פרור,хӗрӗ
328,Rand::N,פרור,хӗрри
329,Kante::N,קצה,хайкача
330,Kante::N,קצה,хысак
331,Ecke::N,פנה,кӗтес
332,Spitze::N,קצה,вӗҫ
333,Ende::N,סוף,вӗҫ
334,Loch::N,חר,шӑтӑк
335,Winkel::N,פנה,кӗтес
336,Muster::N,תבנית,эреш
337,Größe::N,גדל,пысӑкӑш
338,Länge::N,ארך,вӑрӑмӑш
339,Höhe::N,קומה,ҫӳллӗш
340,Höhe::N,גבה,ҫӳллӗш
341,Gewicht::N,משקל,виҫе
342,Gewicht::N,משקל,йывӑрӑш
343,Menge::N,כמות,йыш
344,Haufen::N,ערמה,купа
345,Reihe::N,רצף,рет
346,Boot::N,סירה,кимӗ
347,Ruder::N,משוט,кӗсмен
348,Schlitten::N,מזחלת,ҫуна
349,Ski::N,מגלשים,йӗлтӗр
350,Lagerfeuer::N,מדורה,вут
351,Lagerfeuer::N,מדורה,кӑвайт
352,Last::N,משא,сулмаклӑх
353,Last::N,משא,йывӑр япала
354,Gang::N,הליכה,куҫӑм
355,Schritt::N,צעד,утӑм
356,Schritt::N,צעד,пусӑм
357,Norden::N,צפון,ҫурҫӗр
358,Süden::N,דרום,кӑнтӑр
359,Westen::N,מערב,анӑҫ
360,Westen::N,מערב,хӗвел анӑҫ
361,Osten::N,מזרח,хӗвел тухӑҫ
362,Holz::N,עץ,йывӑҫ
363,Brett::N,קרש,хӑма
364,Platte::N,לוח,плита
365,Stütze::N,משען,ура
366,Stange::N,מוט,шерте
367,Stock::N,מקל,патак
368,Stab::N,מוט,шӑчӑ
369,Rohr::N,צנור,пӑрӑх
370,Haus::N,בית,ҫурт
371,Heim::N,בית,кил
372,Ofen::N,תנור,кӑмака
373,Fußboden::N,רצפה,урай
374,Tisch::N,שלחן,сӗтел
375,Stuhl::N,כסא,пукан
376,Wiege::N,ערש,сӑпка
377,Bett::N,מטה,кравать
378,Regal::N,מדף,ҫӳлӗк
379,Regal::N,מדף,сентре
380,Kiste::N,תבה,ещӗк
381,Kiste::N,תבה,сунтӑх
382,Kiste::N,ארגז,ещӗк
383,Kiste::N,ארגז,сунтӑх
384,Fenster::N,חלון,чӳрече
385,Tür::N,דלת,алӑк
386,Tor::N,שער,хапха
387,Zaun::N,גדר,хӳме
388,Dach::N,גג,тӑрӑ
389,Leiter::N,סלם,пусма
390,Besen::N,מטאטא,шӑпӑр
391,Spaten::N,את,кӗреҫе
392,Schaufel::N,את,кӗреҫе
393,Gabel::N,מזלג,вилка
394,Löffel::N,כף,кашӑк
395,Messer::N,סכין,ҫӗҫӗ
396,Nagel::N,מסמר,пӑта
397,Netz::N,רשת,тетел
398,Haken::N,וו,йӑрхах
399,Haken::N,וו,ҫекӗл
400,Haken::N,קרס,йӑрхах
401,Haken::N,קרס,ҫекӗл
402,Griff::N,ידית,хӑлӑп
403,Schloss::N,מנעול,ҫӑра
404,Bild::N,תמונה,сӑн
405,Bild::N,תמונה,сӑнлӑх
406,Bild::N,תמונה,картина
407,Figur::N,פסל,кӗлетке
408,Puppe::N,בבה,пукане
409,Beutel::N,שק,михӗ
410,Bündel::N,צרור,ҫыхӑ
411,Bündel::N,צרור,тӗрке
412,Tasche::N,שקית,сумка
413,Eimer::N,דלי,витре
414,Deckel::N,מכסה,хупӑ
415,Geschirr::N,כלים,савӑт-сапа
416,Sack::N,שק,михӗ
417,Tasse::N,ספל,курка
418,Topf::N,סיר,кастрюль
419,Kessel::N,קנקן,хуран
420,Essen::N,אכל,апат
421,Essen::N,ארוחה,апат
422,Nahrung::N,הזנה,апат-ҫимӗс
423,Nahrung::N,תזונה,апат-ҫимӗс
424,Speise::N,מאכל,апат
425,Speise::N,מאכל,ҫимӗҫ
426,Speise::N,ארוחה,апат
427,Speise::N,ארוחה,ҫимӗҫ
428,Fleisch::N,בשר,аш
429,Fleisch::N,בשר,какай
430,Getreide::N,דגן,тырӑ
431,Brei::N,מחית,пӑтӑ
432,Brot::N,לחם,ҫӑкӑр
433,Scheibe::N,עגול,чӗлӗ
434,Scheibe::N,עגול,касӑк
435,Scheibe::N,פרוסה,чӗлӗ
436,Scheibe::N,פרוסה,касӑк
437,Fett::N,שמן,ҫу
438,Butter::N,חמאה,ҫу
439,Öl::N,שמן,ҫу
440,Salz::N,מלח,тӑвар
441,Suppe::N,מרק,яшка
442,Honig::N,דבש,пыл
443,Milch::N,חלב,сӗт
444,Tee::N,תה,чей
445,Leder::N,עור,сӑран
446,Wolle::N,צמר,ҫӑм
447,Stoff::N,בד,тӗртӗм
448,Stoff::N,אריג,тӗртӗм
449,Nadel::N,מחט,йӗп
450,Faden::N,חוט,ҫип
451,Knopf::N,כפתור,тӳме
452,Knoten::N,קשר,йӑлӑ
453,Farbe::N,צבע,сӑрӑ
454,Kleidung::N,בגדים,тум
455,Kleidung::N,בגדים,ҫипуҫ
456,Kleidung::N,בגדים,тум-тир
457,Hemd::N,חלצה,кӗпе
458,Kragen::N,צוארון,ҫуха
459,Ärmel::N,שרוול,ҫанӑ
460,Hose::N,מכנסים,шӑлавар
461,Gürtel::N,חגורה,пиҫиххи
462,Mütze::N,כובע,ҫӗлӗк
463,Schuh::N,נעל,пушмак
464,Schuh::N,נעל,ботинок
465,Stiefel::N,מגף,атӑ
466,Ring::N,טבעת,ҫӗрӗ
467,Band::N,סרט,хаю
468,Band::N,סרט,йӗсме
469,Kamm::N,מסרק,тура
470,Spiegel::N,מראה,тӗкӗр
471,Spiegel::N,מראה,куҫ кӗски
472,Riemen::N,רצועה,чӗн
473,Schnur::N,חבל,кантра
474,Leine::N,מושכות,касмӑк
475,Decke::N,שמיכה,утиял
476,Kissen::N,כרית,ҫытар
477,Kissen::N,כרית,минтер
478,Tuch::N,צעיף,тутӑр
479,Handtuch::N,מגבת,ал шӑлли
480,Kraft::N,כוח,вӑй
481,Kraft::N,כוח,хӑват
482,Stärke::N,און,хал
483,Stärke::N,און,хӑват
484,Gesundheit::N,בריאות,хал
485,Gesundheit::N,בריאות,сывлӑх
486,Krankheit::N,מחלה,чир
487,Schmerz::N,כאב,ырату
488,Wunde::N,פציעה,суран
489,Fieber::N,חם,сив чир
490,Arznei::N,תרופה,эмел
491,Brücke::N,גשר,кӗпер
492,Brunnen::N,באר,ҫӑл
493,Brunnen::N,באר,пусӑ
494,Weide::N,אחו,ҫаран
495,Weide::N,מרעה,ҫаран
496,Pfad::N,שביל,йӗр
497,Pfad::N,שביל,сукмак
498,Pfad::N,מדרכה,йӗр
499,Pfad::N,מדרכה,сукмак
500,Weg::N,דרך,ҫул
501,Weg::N,דרך,ҫул-йӗр
502,Straße::N,כביש,ҫӳрев
503,Straße::N,כביש,ҫул ҫӳрени
504,Dorf::N,כפר,ял
505,Stadt::N,עיר,хула
506,Brief::N,מכתב,ҫыру
507,Buch::N,ספר,кӗнеке
508,Buchstabe::N,אות,сас палли
509,Zeitung::N,עתון,хаҫат
510,Leben::N,חיים,пурнӑҫ
511,Tod::N,מות,вилӗм
512,Grab::N,קבר,масар шӑтӑкӗ
513,Kirche::N,כנסיה,чиркӳ
514,Sünde::N,חטא,ҫылӑх
515,Gott::N,אל,турӑ
516,Arbeiter::N,פועל,рабочи
517,Chef::N,ראש,пуҫлӑх
518,Chef::N,מנהל,пуҫлӑх
519,Meister::N,ממחה,ӑста
520,Meister::N,ממחה,мастер
521,Arzt::N,רופא,врач
522,Arzt::N,רופא,тухтӑр
523,Lehrer::N,מורה,учитель
524,Lehrer::N,מורה,вӗрентекен
525,Geld::N,כסף,укҫа
526,Geschäft::N,עסקה,бизнес
527,Laden::N,חנות,магазин
528,Preis::N,מחיר,хак
529,Ware::N,סחורה,тавар
530,Nutzen::N,תועלת,пайта
531,Reichtum::N,עשר,мул
532,Welt::N,עולם,тӗнче
533,Land::N,ארץ,ҫӗр-шыв
534,Staat::N,מדינה,патшàлӑх
535,König::N,מלך,король
536,Macht::N,כוח,власть
537,Grenze::N,גבול,чикӗ
538,Krieg::N,מלחמה,вӑрҫӑ
539,Feind::N,אויב,тӑшман
540,Gewalt::N,אלימות,ирӗксӗрлӳ
541,Kampf::N,קרב,кӗрешӳ
542,Kampf::N,לחימה,кӗрешӳ
543,Bogen[Waffe]::N,קשת,ухӑ
544,Pfeil::N,חץ,ҫӗмрен
545,Pfeil::N,חץ,ухӑ йӗппи
546,Gewehr::N,רובה,пӑшал
547,Fehler::N,טעות,йӑнӑш
548,Lüge::N,שקר,суя
549,Lüge::N,שקר,ултав
550,Schaden::N,נזק,сиен
551,Unglück::N,מזל רע,шар
552,Unglück::N,מזל רע,инкек
553,Schuld::N,אשמה,айӑп
554,Alter::N,גיל,ҫул шучӗ
555,Schluss::N,סיום,пӗтни
556,Schluss::N,סיום,пӗтмӗш
557,Zeit::N,זמן,вӑхӑт
558,Tag::N,יום,кун
559,Morgen::N,בקר,ир
560,Mittag::N,צהרים,кӑнтӑрла
561,Abend::N,ערב,каҫ
562,Nacht::N,לילה,каҫ
563,Woche::N,שבוע,эрне
564,Monat::N,חדש,уйӑх
565,Jahr::N,שנה,ҫулталӑк
566,Frühling::N,אביב,ҫур
567,Frühling::N,אביב,ҫуркунне
568,Sommer::N,קיץ,ҫу
569,Sommer::N,קיץ,ҫулла
570,Herbst::N,סתו,кӗр
571,Herbst::N,סתו,кӗркунне
572,Winter::N,חרף,хӗл
573,Winter::N,חרף,хӗлле
574,Januar::N,ינואר,январь
575,Februar::N,פברואר,февраль
576,Februar::N,פברואר,кӗҫӗн кӑрлач
577,März::N,מרץ,март
578,März::N,מרץ,пуш уйӑхӗ
579,April::N,אפריל,апрель
580,Mai::N,מאי,май
581,Juni::N,יוני,июнь
582,Juli::N,יולי,июль
583,August::N,אוגוסט,август
584,September::N,ספטמבר,сентябрь
585,September::N,ספטמבר,авӑн уйӑхӗ
586,Oktober::N,אוקטובר,октябрь
587,November::N,נובמבר,ноябрь
588,Dezember::N,דצמבר,раштав
589,Dezember::N,דצמבר,декабрь
590,Montag::N,יום שני,тунти кун
591,Dienstag::N,יום שלישי,ытлари кун
592,Mittwoch::N,יום רביעי,юн кун
593,Donnerstag::N,יום חמישי,кӗҫнерни кун
594,Freitag::N,יום ששי,эрне кун
595,Samstag::N,יום שבת,шӑмат кун
596,Sonntag::N,יום ראשון,вырсарни кун
597,groß::A,גדול,пысӑк
598,klein::A,קטן,пӗчӗк
599,lang::A,ארך,вӑрӑм
600,kurz::A,קצר,кӗске
601,breit::A,רחב,сарлака
602,schmal::A,צר,ансӑр
603,dicht::A,צפוף,йӑвӑ
604,dick[Gegenstand]::A,עבה,хулӑн
605,dünn::A,דק,ҫинҫе
606,dünn::A,דק,ҫӳхе
607,fein::A,מעדן,тарай
608,fein::A,מעדן,вӗлтӗрти
609,fest::A,מוצק,тӗреклӗ
610,flach::A,שטוח,лаптак
611,glatt::A,חלק,такӑр
612,hart::A,קשיח,хытӑ
613,weich::A,רך,ҫемҫе
614,rund::A,עגל,ҫавра
615,spitz::A,חד,шӗвӗр
616,scharf::A,חד,ҫивӗч
617,stumpf::A,קהה,мӑка
618,stumpf::A,קהה,пуклак
619,stumpf::A,קהה,тӗрӗнчӗк
620,stumpf::A,קהה,ӑнкарусӑр
621,schwer::A,כבד,йывӑр
622,schön::A,יפה,илемлӗ
623,heiß::A,חם,вӗри
624,warm::A,חם,ӑшӑ
625,kalt::A,קר,сивӗ
626,kühl::A,צונן,уҫӑ
627,frisch::A,טרי,уҫӑ
628,feucht::A,לח,йӗпе
629,nass::A,רטוב,нӳрӗ
630,trocken::A,יבש,типӗ
631,voll::A,מלא,тулли
632,leer::A,ריק,пушӑ
633,offen::A,פתוח,уҫӑ
634,geschlossen::A,סגור,хупӑ
635,sauber::A,נקי,таса
636,schmutzig::A,מלכלך,пылчӑклӑ
637,schmutzig::A,מלכלך,вараланчӑк
638,roh::A,חי,чӗрӗ
639,reif::A,בשל,пулнӑ
640,reif::A,בשל,пиҫӗхнӗ
641,reif::A,בשל,аталаннӑ
642,reif::A,בשל,пиҫсе ҫитнӗ
643,lecker::A,טעים,тутлӑ
644,lecker::A,טעים,техӗмлӗ
645,süß::A,מתוק,пылак
646,bitter::A,מר,йӳҫӗ
647,sauer::A,חמוץ,йӳҫӗ
648,sauer::A,חמוץ,йӳҫек
649,sauer::A,חמוץ,кӑвасак
650,hell::A,בהיר,ҫутӑ
651,dunkel::A,עמום,тӗттӗм
652,schwarz::A,שחר,хура
653,weiß::A,לבן,шурӑ
654,rot::A,אדם,хӗрлӗ
655,gelb::A,צהב,сарӑ
656,blau::A,כחל,кӑвак
657,grün::A,ירק,симӗс
658,grün::A,ירק,пиҫмен
659,grün::A,ירק,ӑс пухман
660,grau::A,אפר,кӑвак
661,bunt::A,צבעוני,чӑпар
662,billig::A,זול,йӳнӗ
663,teuer::A,יקר,хаклӑ
664,wertvoll::A,יקר ערך,паха
665,blind::A,עור,суккӑр
666,taub::A,חרש,хӑлхасӑр
667,kräftig::A,חסן,хӑватлӑ
668,stark::A,חזק,вирлӗ
669,schwach::A,חלש,халсӑр
670,fett::A,שמן,самӑр
671,fett::A,שמן,мӑнтӑр
672,schlank::A,רזה,йӑрӑс
673,schlank::A,רזה,яштака
674,hübsch::A,יפה תאר,хитре
675,böse::A,רשע,усал
676,dumm::A,טפש,ухмах
677,faul::A,עצלן,наян
678,faul::A,עצלן,юлхав
679,faul::A,עצלן,ӳркенчӗк
680,fleißig::A,חרוץ,хастар
681,geizig::A,קמצן,хытӑ
682,klug::A,נבון,ӑслӑ
683,klug::A,פקח,ӑслӑ
684,geschickt::A,מימן,ӑста
685,lieb::A,יקר,савнӑ
686,lieb::A,אהוב,савнӑ
687,lustig::A,עליז,хаваслӑ
688,sanft::A,עדין,ачаш
689,hungrig::A,רעב,выҫӑ
690,krank::A,חולה,чирлӗ
691,nackt::A,ערום,ҫара
692,traurig::A,עצוב,салхуллӑ
693,lebendig::A,חי,чӗрӗ
694,gut::A,טוב,аван
695,gut::A,טוב,лайӑх
696,schlecht::A,גרוע,япӑх
697,schlecht::A,גרוע,начар
698,richtig::A,נכון,тӗрӗс
699,schlimm::A,רע,йӗрӗнчӗк
700,wahr::A,אמתי,чӑн
701,alt::A,ישן,кивӗ
702,neu::A,חדש,ҫӗнӗ
703,ehemalig::A,לשעבר,пулнӑ
704,alt[Lebewesen]::A,זקן,ватӑ
705,jung::A,צעיר,яш
706,jung::A,צעיר,ҫамрӑк
707,arm::A,עני,чухӑн
708,reich::A,עשיר,пуян
709,bekannt::A,ידוע,пӗлӗш
710,berühmt::A,מפרסם,чаплӑ
711,fremd::A,זר,ют
712,verschieden::A,שונה,расна
713,nah::A,קרוב,ҫывӑх
714,nah::A,קרוב,ҫывӑхри
715,fern::A,רחוק,инҫе
716,fern::A,רחוק,аякри
717,linker::A,שמאלי,сулахай
718,rechter::A,ימין,сылтӑм
719,anderer::A,אחר,урӑх
720,erster::A,ראשון,пӗрремӗш
721,zweiter::A,שני,иккӗмӗш
