,Concept_ID,ru,uz
67,Wind::N,ветер,el
68,Welle::N,волна,to'lqin
69,Wasser::N,вода,suv
70,Stein::N,камень,tosh
71,Boden::N,почва,tuproq
72,Erde::N,земля,er
73,Staub::N,пыль,chang
74,Rauch::N,дым,tutun
75,Funke::N,искра,yalt
76,Feuer::N,огонь,o't
77,Licht::N,свет,yorug'
78,Schatten::N,тень,soya
79,Wetter::N,погода,havo
80,Nebel::N,туман,tuman
81,Wolke::N,облако,bulut
82,Regen::N,дождь,yomg'ir
83,Schnee::N,снег,qor
84,Eis::N,лед,muz
85,Frost::N,мороз,ajoz
86,Kälte::N,холод,ajoz
87,Hitze::N,жара,issiq
88,Raureif::N,иней,qirov
89,Regenbogen::N,радуга,kamalak
90,Donner::N,гром,guldur
91,Strömung::N,течение,oqim
92,Tropfen::N,капля,tomchi
93,Schaum::N,пена,ko'pik
94,Schmutz::N,грязь,gard
95,See::N,озеро,ko'l
96,Sumpf::N,топь,botqoq
97,Moor::N,болото,qir-adir
98,Wiese::N,луг,o'tzor
99,Wald::N,лес,o'rmon
100,Hügel::N,холм,tepa
101,Anhöhe::N,возвышенность,adir
102,Berg::N,гора,tog'
103,Gipfel::N,вершина,cho'qqi
104,Höhle::N,пещера,kavak
105,Abhang::N,склон,to'sh
106,Quelle::N,источник,buloq
107,Bach::N,ручей,o'zan
108,Fluss::N,река,daryo
109,Ufer::N,берег,sohil
110,Küste::N,побережье,qirg'oq
111,Festland::N,суша,materik
112,Meer::N,море,dengiz
113,Bucht::N,бухта,qo'ltiq
114,Insel::N,остров,orol
115,Blume::N,цветок,gul
116,Gras::N,трава,sabza
117,Wurzel::N,корень,tub
118,Wurzel::N,корень,tomir
119,Baum::N,дерево,daraxt
120,Stamm::N,ствол,o'simta
121,Rinde::N,кора,qobiq
122,Ast::N,сук,shox
123,Zweig::N,ветвь,butoq
124,Blatt::N,лист,barg
125,Birke::N,береза,qayin
126,Kiefer[Baum]::N,сосна,qarag'ay
127,Weide[Baum]::N,ива,shum
128,Tanne::N,ель,archa
129,Horn::N,рог,mugiz
130,Feder::N,перо,par
131,Fell::N,шкура,mo'yna
132,Flügel::N,крыло,qanot
133,Klaue::N,коготь,tirnoq
134,Kralle::N,лапа,tirnoq
135,Schwanz::N,хвост,quyruq
136,Ei::N,яйцо,tuxum
137,Nest::N,гнездо,oshyon
138,Bau::N,нора,o'pqon
139,Tier::N,животное,hayvon
140,Herde::N,стадо,gala
141,Kuh::N,корова,inak
142,Bulle::N,бык,ho'kiz
143,Pferd::N,лошадь,ot
144,Schaf::N,овца,qo'y
145,Schwein::N,свинья,cho'chqa
146,Hund::N,собака,it
147,Katze::N,кошка,mushuk
148,Bär::N,медведь,ayiq
149,Eichhörnchen::N,белка,tiyin
150,Elch::N,лось,los
151,Fuchs::N,лиса,tulki
152,Hase::N,заяц,kuyon
153,Maus::N,мышь,sichqon
154,Wolf::N,волк,bo'ri
155,Vogel::N,птица,qush
156,Schwarm::N,стая,to'da
157,Huhn::N,курица,tovuq
158,Hahn::N,петух,xo'roz
159,Gans::N,гусь,g'oz
160,Adler::N,орел,burgut
161,Ente::N,утка,o'rdak
162,Eule::N,сова,boyo'g'li
163,Kranich::N,журавль,turna
164,Krähe::N,ворона,qarg'a
165,Kuckuck::N,кукушка,kakku
166,Schwan::N,лебедь,oqkush
167,Fisch::N,рыба,baliq
168,Barsch::N,окунь,olabug'a
169,Hecht::N,щука,cho'rtan
170,Schlange[Tier]::N,змея,ilon
171,Wurm::N,червяк,qurt
172,Spinne::N,паук,o'rgimchak
173,Ameise::N,муравей,chumoli
174,Laus::N,вошь,bit
175,Mücke::N,комар,chivin
176,Fliege::N,муха,pashsha
177,Schmetterling::N,бабочка,kapalak
178,Beere::N,ягода,meva
179,Apfel::N,яблоко,olma
180,Pilz::N,гриб,qo'ziqorin
181,Zwiebel::N,луковица,piyoz
182,Saat::N,семя,äkin
183,Korn::N,зерно,zarra
184,Heu::N,сено,xashak
185,Schale::N,шелуха,po'choq
186,Grube::N,яма,co'ra
187,Falle::N,ловушка,qopqon
188,Schlinge::N,силок,sirtmoq
189,Spur::N,след,iz
190,Asche::N,зола,kul
191,Asche::N,пепел,kul
192,Dreck::N,грязь,kir
193,Eisen::N,железо,temir
194,Gold::N,золото,tilla
195,Silber::N,серебро,kumush
196,Kohle::N,уголь,ko'mir
197,Glas::N,стекло,oyna
198,Lehm::N,глина,loy
199,Sand::N,песок,qum
200,Mensch::N,человек,odam
201,Mann::N,мужчина,ärkak
202,Frau::N,женщина,ayol
203,Kind::N,ребенок,bola
204,Kind::N,ребенок,kichkintoy
205,Junge::N,мальчик,bola
206,Mädchen::N,девочка,qiz
207,Familie::N,семья,oila
208,Großvater::N,дедушка,buva
209,Großvater::N,дедушка,katta ota
210,Großmutter::N,бабушка,buvi
211,Großmutter::N,бабушка,katta oyi
212,Eltern::N,родители,ota-ona
213,Vater::N,отец,ota
214,Mutter::N,мать,ona
215,Sohn::N,сын,o'g'il
216,Tochter::N,дочь,qiz
217,Bruder::N,брат,og'a
218,Bruder::N,брат,uka
219,Schwester::N,сестра,opa
220,Schwester::N,сестра,singil
221,Onkel::N,дядя,amaki
222,Tante::N,тетя,amma
223,Tante::N,тетя,xola
224,Ehemann::N,муж,är
225,Ehefrau::N,жена,rafiqa
226,Freude::N,радость,ayish
227,Gelächter::N,смех,kulgi
228,Glück::N,счастье,saodat
229,Kummer::N,горе,g'am
230,Wunsch::N,желание,orzu
231,Lust::N,влечение,rag'bat
232,Geist::N,дух,ruh
233,Gedanke::N,мысль,fikr
234,Gedächtnis::N,память,äs
235,Verstand::N,ум,aql
236,Sinn::N,смысл,ma'ni
237,Grund::N,повод,sabab
238,Wahrheit::N,правда,haq
239,Gespräch::N,беседа,gap
240,Märchen::N,сказка,ärtak
241,Erzählung::N,рассказ,rivoyat
242,Nachricht::N,сообщение,xabar
243,Neuigkeit::N,новость,yangilik
244,Name::N,имя,ot
245,Rätsel::N,загадка,topishmoq
246,Rede::N,речь,nutq
247,Sprache::N,язык,til
248,Stimme::N,голос,ovoz
249,Wort::N,слово,so'z
250,Zeichen::N,знак,alomat
251,Ruf::N,зов,chaqiriq
252,Lärm::N,шум,taraq
253,Laut::N,звук,tovush
254,Ton::N,звучание,un
255,Lied::N,песня,ashula
256,Ruhe::N,покой,tinchlik
257,Leute::N,люди,xaloyiq
258,Volk::N,народ,xalq
259,Arbeit::N,работа,ish
260,Gast::N,гость,mehmon
261,Geschenk::N,подарок,hadya
262,Spiel::N,игра,o'yin
263,Gesellschaft::N,общество,jamiyat
264,Hilfe::N,помощь,yordam
265,Freund::N,друг,do'st
266,Kamerad::N,приятель,yo'ldosh
267,Angelegenheit::N,дело,daxl
268,Anzahl::N,количество,son
269,Art::N,вид,tur
270,Stück::N,кусок,parcha
271,Teil::N,часть,bo'lak
272,Hälfte::N,половина,yarim
273,Kreis::N,круг,aylana
274,Kreuz::N,крест,xoch
275,Linie::N,линия,liniya
276,Strich::N,черта,chiziq
277,Abstand::N,промежуток,oralik
278,Entfernung::N,расстояние,uzoqlik
279,Gegend::N,местность,yer
280,Platz::N,пространство,oralig
281,Ort::N,место,joy
282,Seite::N,сторона,yon
283,Mitte::N,середина,o'rta
284,Gegenstand::N,предмет,ashyo
285,Sache::N,вещь,buyum
286,Rand::N,край,chek
287,Kante::N,ребро,tig'
288,Ecke::N,угол,burchak
289,Spitze::N,кончик,uch
290,Ende::N,конец,oxir
291,Loch::N,дыра,teshik
292,Winkel::N,угол,go'sha
293,Muster::N,узор,nusha
294,Größe::N,размер,kattalik
295,Länge::N,длина,uzunlik
296,Höhe::N,высота,yuksaklik
297,Gewicht::N,вес,solmoq
298,Menge::N,количество,miqdor
299,Haufen::N,куча,uyum
300,Reihe::N,ряд,saf
301,Boot::N,лодка,qayiq
302,Ruder::N,весло,äshkak
303,Schlitten::N,сани,chana
304,Ski::N,лыжа,chang'i
305,Lagerfeuer::N,костер,gulxan
306,Last::N,тяжесть,yuk
307,Gang::N,ход,yurish
308,Schritt::N,шаг,qadam
309,Norden::N,север,shimol
310,Süden::N,юг,janub
311,Westen::N,запад,g'arb
312,Osten::N,восток,sharq
313,Holz::N,древесина,yog'och
314,Brett::N,доска,taxta
315,Platte::N,плита,tabaqa
316,Stütze::N,подпорка,tayanchi
317,Stange::N,жердь,qo'noq
318,Stock::N,палка,tayoq
319,Stab::N,шест,gavron
320,Rohr::N,труба,tarnov
321,Haus::N,дом,uy
322,Heim::N,дом,makon
323,Ofen::N,печь,pechka
324,Fußboden::N,пол,pol
325,Tisch::N,стол,mosa
326,Stuhl::N,стул,o'rindiq
327,Wiege::N,колыбель,beshik
328,Bett::N,постель,yotoq
329,Regal::N,полка,tokcha
330,Kiste::N,ящик,sandiq
331,Fenster::N,окно,deraza
332,Tür::N,дверь,äshik
333,Tor::N,ворота,darvoza
334,Zaun::N,забор,panjara
335,Dach::N,крыша,tom
336,Leiter::N,лестница,narvon
337,Besen::N,метла,supurgi
338,Spaten::N,лопата,bel
339,Schaufel::N,совок,kurak
340,Gabel::N,вилка,bilka
341,Löffel::N,ложка,qoshiq
342,Messer::N,нож,pichoq
343,Nagel::N,гвоздь,mix
344,Netz::N,сеть,to'r
345,Haken::N,крюк,ilgak
346,Griff::N,ручка,sop
347,Griff::N,ручка,tutqich
348,Schloss::N,замок,qulf
349,Bild::N,картина,rasm
350,Figur::N,фигура,shakl
351,Puppe::N,кукла,ko'g'irchoq
352,Beutel::N,мешок,to'rva
353,Bündel::N,связка,bog'lam
354,Tasche::N,сумка,kissa
355,Eimer::N,ведро,chelak
356,Deckel::N,крышка,qopqoq
357,Geschirr::N,посуда,idish
358,Sack::N,мешок,qop
359,Tasse::N,чашка,piyola
360,Topf::N,кастрюля,tuvak
361,Kessel::N,котел,qozon
362,Essen::N,еда,tomoq
363,Nahrung::N,пища,emak
364,Speise::N,блюдо,taom
365,Speise::N,кушанье,taom
366,Fleisch::N,мясо,go'sht
367,Getreide::N,хлеб,g'alla
368,Brei::N,каша,bo'tqa
369,Brot::N,хлеб,non
370,Scheibe::N,ломоть,disk
371,Fett::N,жир,moy
372,Butter::N,масло,yog'
373,Öl::N,масло,moy
374,Salz::N,соль,tuz
375,Suppe::N,суп,sho'rva
376,Honig::N,мед,asal
377,Milch::N,молоко,sut
378,Tee::N,чай,choy
379,Leder::N,кожа,charm
380,Wolle::N,шерсть,jun
381,Stoff::N,ткань,mato
382,Nadel::N,игла,igna
383,Faden::N,нитка,ip
384,Knopf::N,пуговица,tugma
385,Knoten::N,узел,tugun
386,Farbe::N,краска,bo'yok
387,Kleidung::N,одежда,kiyim
388,Hemd::N,рубашка,ko'ylak
389,Kragen::N,воротник,yoqa
390,Ärmel::N,рукав,yeng
391,Hose::N,брюки,shim
392,Gürtel::N,пояс,tasma
393,Mütze::N,шапка,shapka
394,Schuh::N,ботинок,but
395,Stiefel::N,сапог,botinka
396,Ring::N,кольцо,yuzuk
397,Band::N,лента,rishta
398,Kamm::N,расческа,taroq
399,Spiegel::N,зеркало,ko'zgu
400,Riemen::N,ремень,qayish
401,Schnur::N,веревка,bog'ich
402,Leine::N,поводок,etak
403,Decke::N,одеяло,odyol
404,Kissen::N,подушка,yostiq
405,Tuch::N,платок,gazlama
406,Handtuch::N,полотенце,sochiq
407,Kraft::N,сила,kuch
408,Stärke::N,крепость,quvvat
409,Gesundheit::N,здоровье,sog'lik
410,Krankheit::N,болезнь,kasallik
411,Schmerz::N,боль,og'riq
412,Wunde::N,рана,yara
413,Fieber::N,лихорадка,bezgak
414,Fieber::N,температура,bezgak
415,Arznei::N,лекарство,dori
416,Brücke::N,мост,ko'prik
417,Brunnen::N,колодец,buloq
418,Weide::N,пастбище,yaylov
419,Pfad::N,тропа,dorojka
420,Weg::N,путь,yo'l
421,Weg::N,дорога,yo'l
422,Straße::N,улица,ko'cha
423,Straße::N,дорога,ko'cha
424,Dorf::N,деревня,ovul
425,Stadt::N,город,shahar
426,Brief::N,письмо,maktub
427,Buch::N,книга,kitob
428,Buchstabe::N,буква,harf
429,Zeitung::N,газета,gazet
430,Leben::N,жизнь,hayot
431,Tod::N,смерть,o'lim
432,Grab::N,могила,go'r
433,Kirche::N,церковь,cherkov
434,Sünde::N,грех,gunoh
435,Gott::N,бог,olloh
436,Arbeiter::N,рабочий,ishchi
437,Chef::N,начальник,rais
438,Meister::N,мастер,usta
439,Arzt::N,врач,hakim
440,Lehrer::N,учитель,muallim
441,Geld::N,деньги,pul
442,Geschäft::N,занятие,savdo
443,Laden::N,магазин,do'kon
444,Preis::N,цена,baho
445,Ware::N,товар,mol
446,Nutzen::N,выгода,foyda
447,Reichtum::N,богатство,boylik
448,Welt::N,мир,olam
449,Land::N,страна,o'lka
450,Staat::N,государство,davlat
451,König::N,король,qirol
452,Macht::N,власть,iqtidor
453,Grenze::N,граница,chegara
454,Krieg::N,война,harb
455,Feind::N,враг,dushman
456,Gewalt::N,насилие,zo'rlik
457,Kampf::N,борьба,kurash
458,Bogen[Waffe]::N,лук,yoy
459,Pfeil::N,стрела,o'q
460,Gewehr::N,ружье,vintovka
461,Fehler::N,ошибка,xato
462,Lüge::N,ложь,yolg'on
463,Schaden::N,вред,ziyon
464,Unglück::N,беда,balo
465,Schuld::N,вина,ayb
466,Alter::N,возраст,yosh
467,Schluss::N,окончание,tamom
468,Zeit::N,время,vaqt
469,Tag::N,день,kun
470,Morgen::N,утро,saboh
471,Mittag::N,полдень,kun tushlik
472,Abend::N,вечер,oqshom
473,Nacht::N,ночь,tun
474,Woche::N,неделя,hafta
475,Monat::N,месяц,oy
476,Jahr::N,год,yil
477,Frühling::N,весна,bahor
478,Sommer::N,лето,yoz
479,Herbst::N,осень,kuz
480,Herbst::N,осень,xazon
481,Winter::N,зима,qish
482,Januar::N,январь,yanvar'
483,Februar::N,февраль,fevral'
484,März::N,март,mart
485,April::N,апрель,aprel'
486,Mai::N,май,may
487,Juni::N,июнь,iyun'
488,Juli::N,июль,iyul'
489,August::N,август,avgust
490,September::N,сентябрь,sentyabr'
491,Oktober::N,октябрь,oktyabr'
492,November::N,ноябрь,noyabr'
493,Dezember::N,декабрь,dekabr'
494,Montag::N,понедельник,dushanba
495,Dienstag::N,вторник,seshanba
496,Mittwoch::N,среда,chorshanba
497,Donnerstag::N,четверг,payshanba
498,Freitag::N,пятница,juma
499,Samstag::N,суббота,shanba
500,Sonntag::N,воскресенье,yakshanba
501,groß::A,большой,buyuk
502,klein::A,маленький,kichik
503,lang::A,длинный,uzun
504,kurz::A,короткий,qisqa
505,breit::A,широкий,keng
506,schmal::A,узкий,änsiz
507,dicht::A,густой,quyuq
508,dick[Gegenstand]::A,толстый,qalin
509,dünn::A,тонкий,ingichka
510,fein::A,тонкий,mayin
511,fest::A,крепкий,qattiq
512,flach::A,плоский,yalpoq
513,glatt::A,гладкий,tekis
514,hart::A,твердый,qattiq
515,weich::A,мягкий,yumshoq
516,rund::A,круглый,yumaloq
517,spitz::A,остроконечный,uchli
518,scharf::A,острый,keskir
519,stumpf::A,тупой,to'mtoq
520,schwer::A,тяжелый,salmoqli
521,schön::A,красивый,go'zal
522,heiß::A,жаркий,qiziq
523,warm::A,теплый,issiq
524,kalt::A,холодный,sovuq
525,kühl::A,прохладный,salqin
526,frisch::A,свежий,toza
527,feucht::A,влажный,namli
528,nass::A,мокрый,nam
529,trocken::A,сухой,quruq
530,voll::A,полный,to'la
531,voll::A,наполненный,to'la
532,leer::A,пустой,puch
533,offen::A,открытый,ochiq
534,geschlossen::A,закрытый,berk
535,sauber::A,чистый,ozoda
536,schmutzig::A,грязный,kir
537,roh::A,сырой,xom
538,reif::A,зрелый,pishiq
539,lecker::A,вкусный,shirin
540,süß::A,сладкий,shirin
541,bitter::A,горький,achchiq
542,sauer::A,кислый,achchiq
543,hell::A,светлый,yorug'
544,dunkel::A,темный,qorong'i
545,schwarz::A,черный,qora
546,weiß::A,белый,oq
547,rot::A,красный,qizil
548,gelb::A,желтый,sariq
549,blau::A,синий,zangori
550,grün::A,зеленый,yashil
551,grau::A,серый,bo'z
552,bunt::A,пестрый,ola
553,billig::A,дешевый,arzon
554,teuer::A,дорогой,qimmat
555,wertvoll::A,ценный,qimmat
556,blind::A,слепой,ko'r
557,taub::A,глухой,garang
558,kräftig::A,могучий,kuchli
559,stark::A,сильный,quvvatli
560,schwach::A,слабый,kuchsiz
561,fett::A,жирный,semiz
562,schlank::A,стройный,ingichka
563,hübsch::A,прелестный,ko'rkam
564,böse::A,злой,yovuz
565,dumm::A,глупый,aqlsiz
566,faul::A,ленивый,ärinchak
567,fleißig::A,прилежный,ishchan
568,geizig::A,жадный,qurumsoq
569,klug::A,умный,oqil
570,geschickt::A,искусный,äpchil
571,lieb::A,милый,aziz
572,lustig::A,веселый,chaqchaq
573,sanft::A,нежный,asta
574,hungrig::A,голодный,och
575,krank::A,больной,kasal
576,nackt::A,голый,yalang
577,traurig::A,грустный,xafa
578,lebendig::A,живой,hayotiy
579,gut::A,хороший,soz
580,schlecht::A,плохой,yomon
581,richtig::A,правильный,rost
582,schlimm::A,отвратительный,yovuz
583,schlimm::A,мерзкий,yovuz
584,wahr::A,настоящий,haqiqiy
585,alt::A,старый,äski
586,neu::A,новый,yangi
587,ehemalig::A,бывший,sobiq
588,alt[Lebewesen]::A,пожилой,qari
589,jung::A,молодой,navqiron
590,arm::A,бедный,abgor
591,reich::A,богатый,boy
592,bekannt::A,знакомый,ma'lum
593,berühmt::A,знаменитый,mashhur
594,fremd::A,чужой,yot
595,verschieden::A,разный,turli
596,nah::A,близкий,yaqindagi
597,fern::A,далекий,uzoq
598,linker::A,левый,so'l
599,rechter::A,правый,o'ng
600,anderer::A,другой,boshqa
601,erster::A,первый,birinchi
602,zweiter::A,второй,ikkinchi
603,dritter::A,третий,uchinchi
604,letzter::A,последний,oxirgi
605,allein::ADV,один,o'zicha
606,auf einmal::ADV,сразу,varakay
607,zusammen::ADV,вместе,barobar
608,lange::ADV,долго,uzoq
609,plötzlich::ADV,вдруг,qo'qqisdan
610,sofort::ADV,тотчас,darrov
611,später::ADV,позже,so'ngra
612,jetzt::ADV,сейчас,hozirgina
613,heute::ADV,сегодня,bugun
614,morgen::ADV,завтра,ärta
615,bald::ADV,скоро,toz
616,dann::ADV,потом,keyin
617,gestern::ADV,вчера,kecha
618,einst::ADV,однажды,avvallari
619,damals::ADV,тогда,ugal
620,danach::ADV,затем,so'ngra
621,vorher::ADV,раньше,avval
622,zuerst::ADV,сперва,avval
623,einmal::ADV,раз,bir marta
624,manchmal::ADV,иногда,onda-sonda
625,oft::ADV,часто,tez-tez
626,immer::ADV,всегда,har vaqt
627,niemals::ADV,никогда,hargiz
628,hier::ADV,здесь,shu erda
629,hierhin::ADV,сюда,beri
630,von hier::ADV,отсюда,shu erdan
631,dort::ADV,там,ana
632,dorthin::ADV,туда,u yerga
633,geradeaus::ADV,прямо,to'g'ri
634,vorwärts::ADV,вперед,ilgari
635,rückwärts::ADV,назад,qoloq
636,zurück::ADV,обратно,orqada
637,unten::ADV,внизу,pastda
638,hinab::ADV,вниз,tubanga
639,oben::ADV,наверху,ustida
640,hinauf::ADV,вверх,yuqorida
641,überall::ADV,везде,har erda
642,nicht::ADV,не,ämas
643,ein wenig::ADV,немного,biroz
644,kaum::ADV,едва,arang
645,sehr::ADV,очень,ancha
646,so::ADV,так,shunday
647,noch::ADV,еще,hali
648,nur::ADV,только,yolg'iz
649,schon::ADV,уже,endi
650,wieder::ADV,опять,yana
651,vergebens::ADV,напрасно,bekorga
652,vor::PRP,перед,burun
653,hinter::PRP,за,ketida
654,hinter::PRP,позади,ketida
655,unter::PRP,под,ostida
656,durch::PRP,сквозь,bo'ylab
657,neben::PRP,возле,yonida
658,zwischen::PRP,между,orada
659,wegen::PRP,из-за,sababli
660,dies::PRN,это,o'sha
661,das::PRN,то,narigi
662,alles::PRN,все,har nima
663,ich::PRN,я,men
664,du::PRN,ты,sen
665,er::PRN,он,u
666,wir::PRN,мы,biz
667,ihr::PRN,вы,siz
668,sie::PRN,они,ular
669,was::FPRN,что,nima
670,wer::FPRN,кто,kim
671,wo::FADV,где,qaerda
672,wohin::FADV,куда,qayerga
673,wie::FADV,как,qanday
674,warum::FADV,почему,nega
675,wieviel::FNUM,сколько,qancha
676,eins::NUM,один,bir
677,zwei::NUM,два,ikki
678,drei::NUM,три,uch
679,vier::NUM,четыре,to'rt
680,fünf::NUM,пять,besh
681,sechs::NUM,шесть,olti
682,sieben::NUM,семь,etti
683,acht::NUM,восемь,sakkiz
684,neun::NUM,девять,to'qqiz
685,zehn::NUM,десять,o'n
686,elf::NUM,одиннадцать,o'n bir
687,zwölf::NUM,двенадцать,o'n ikki
688,zwanzig::NUM,двадцать,yigirma
689,dreißig::NUM,тридцать,o'ttiz
690,vierzig::NUM,сорок,qirq
691,fünfzig::NUM,пятьдесят,ällik
692,sechzig::NUM,шестьдесят,oltmish
693,siebzig::NUM,семьдесят,etmish
694,achtzig::NUM,восемьдесят,sakson
695,neunzig::NUM,девяносто,to'qson
696,hundert::NUM,сто,yuz
697,tausend::NUM,тысяча,ming
698,und::CNJ,и,va
699,oder::CNJ,или,yo
700,oder::CNJ,либо,yo
701,stehen::V,стоять,turmoq
702,sitzen::V,сидеть,o'tirmoq
703,liegen::V,лежать,yotmoq
704,hängen::V,висеть,osilmoq
705,werden::V,стать,bo'lmoq
706,passieren::V,случиться,bo'lib o'tmoq
707,beginnen::V,начаться,boshlanmoq
708,enden::V,кончиться,bitmoq
709,wechseln::V,меняться,o'zgarmoq
710,aufgehen[Sonne]::V,взойти,chiqmoq
711,untergehen[Sonne]::V,зайти,botmoq
712,scheinen[Sonne]::V,светить,yaraqlamoq
713,donnern::V,греметь,gulduramoq
714,wehen::V,дуть,elpimoq
715,strömen::V,литься,oqmoq
716,fließen::V,течь,oqmoq
717,sich drehen::V,вращаться,aylanmoq
718,schwanken::V,колебаться,qoqilmoq
719,schwingen::V,качаться,lopillamoq
720,fallen::V,падать,tushmoq
721,brennen::V,гореть,yonmoq
722,rauchen::V,дымить,tutamoq
723,regnen::V,дождить,yomg'ir yog'moq
724,gefrieren::V,замерзнуть,muzlamoq
725,tauen::V,таять,ärimoq
726,schmelzen::V,плавиться,ärimoq
727,trocknen::V,сохнуть,qurimoq
728,sieden::V,кипеть,qaynamoq
729,faulen::V,гнить,chirimoq
730,verfaulen::V,сгнить,chirimoq
731,reißen::V,рваться,qayt qilmoq
732,versinken::V,тонуть,g'arq bo'lmoq
733,vergehen::V,проходить,o'tmoq
734,erscheinen::V,появиться,zuhur ätmoq
735,verschwinden::V,исчезнуть,yo'qolmoq
736,sinken::V,спадать,pasaymoq
737,abnehmen::V,уменьшиться,kamaymoq
738,zunehmen::V,увеличиваться,urchimoq
739,steigen::V,подниматься,oshmoq
740,wachsen::V,расти,o'smoq
741,glänzen::V,блестеть,porlamoq
742,funkeln::V,сверкать,yalt ätmoq
743,lärmen::V,шуметь,taraq ätmoq
744,läuten::V,звонить,jiringlamoq
745,klingeln::V,звонить,jiringlamoq
746,klirren::V,звякать,sharaqlamoq
747,brausen::V,бушевать,vag'illamoq
748,rauschen::V,шелестеть,shitirlamoq
749,klingen::V,звучать,yangramoq
750,bellen::V,лаять,hurmoq
751,heulen::V,выть,uvlamoq
752,blasen::V,дунуть,puflamoq
753,pfeifen::V,свистеть,xushtak chalmoq 
754,schreien::V,кричать,qiyqirmoq
755,stöhnen::V,стонать,nola qilmoq
756,zittern::V,дрожать,titramoq
757,leben::V,жить,yashamoq
758,geboren werden::V,родиться,tug'ilmoq
759,atmen::V,дышать,nafas chiqarmoq
760,trinken::V,пить,ichmoq
761,essen::V,есть,emoq
762,essen::V,кушать,emoq
763,schlucken::V,глотать,yutmoq
764,müde werden::V,устать,horimoq
765,einschlafen::V,заснуть,uxlab qolmoq
766,schlafen::V,спать,uxlamoq
767,aufwachen::V,проснуться,uyg'onmoq
768,aufstehen::V,встать,qo'pmoq
769,sich erholen::V,отдыхать,dam olmoq
770,krank werden::V,заболеть,kasallanmoq
771,krank sein::V,болеть,betob yotmoq
772,schmerzen::V,болеть,og'rimoq
773,husten::V,кашлять,yo'talmoq
774,genesen::V,поправиться,tuzalmoq
775,sterben::V,умереть,o'lmoq
776,umkommen::V,погибнуть,halok bo'lmoq
777,sich bewegen::V,двигаться,harakat qilmoq
778,sich rühren::V,шевельнуться,qimirlamoq
779,sich erheben::V,встать,qo'pmoq
780,sich setzen::V,сесть,o'tirmoq
781,hinfallen::V,упасть,yiqilmoq
782,laufen::V,ходить,yurmoq
783,schreiten::V,шагать,yurmoq
784,spazierengehen::V,гулять,sayr ätmoq
785,eilen::V,спешить,tezlamoq
786,sich beeilen::V,торопиться,shoshmoq
787,sausen::V,мчаться,chopqillamoq
788,rennen::V,бегать,yugurmoq
789,springen::V,прыгать,sakramoq
790,klettern::V,лазать,yuqorilamoq
791,schaukeln::V,раскачиваться,irg'amoq
792,kriechen::V,ползать,ämaklamoq
793,schwimmen::V,плавать,suzmoq
794,tauchen::V,нырять,chu'mmoq
795,rudern::V,грести,eshkak eshmoq
796,fahren::V,ехать,haydamoq
797,fliegen::V,летать,uchmoq
798,gehen::V,идти,bormoq
799,weggehen::V,уйти,ketoq
800,abfahren::V,отправиться,jo'namoq
801,anhalten::V,остановиться,to'xtamoq
802,hineingehen::V,входить,kirmoq
803,eintreten::V,войти,kirmoq
