,Concept_ID,cy,cv
451,Geschirr::N,llestri,савӑт-сапа
452,Sack::N,sach,михӗ
453,Tasse::N,cwpan,курка
454,Topf::N,pot,кастрюль
455,Topf::N,crochan,кастрюль
456,Kessel::N,tegell,хуран
457,Essen::N,pryd o fwyd,апат
458,Nahrung::N,bwyd,апат-ҫимӗс
459,Speise::N,saig,апат
460,Speise::N,saig,ҫимӗҫ
461,Fleisch::N,cig,аш
462,Fleisch::N,cig,какай
463,Getreide::N,ŷd,тырӑ
464,Getreide::N,llafur,тырӑ
465,Brei::N,uwd,пӑтӑ
466,Brot::N,bara,ҫӑкӑр
467,Scheibe::N,tafell,чӗлӗ
468,Scheibe::N,tafell,касӑк
469,Fett::N,saim,ҫу
470,Fett::N,braster,ҫу
471,Butter::N,ymenyn,ҫу
472,Öl::N,olew,ҫу
473,Salz::N,halen,тӑвар
474,Suppe::N,cawl,яшка
475,Honig::N,mêl,пыл
476,Milch::N,llaeth,сӗт
477,Milch::N,llefrith,сӗт
478,Tee::N,te,чей
479,Leder::N,lledr,сӑран
480,Wolle::N,gwlân,ҫӑм
481,Stoff::N,lliain,тӗртӗм
482,Stoff::N,brethyn,тӗртӗм
483,Nadel::N,nodwydd,йӗп
484,Faden::N,edau,ҫип
485,Faden::N,edefyn,ҫип
486,Knopf::N,botwm,тӳме
487,Knoten::N,cwlwm,йӑлӑ
488,Farbe::N,paent,сӑрӑ
489,Kleidung::N,dillad,тум
490,Kleidung::N,dillad,ҫипуҫ
491,Kleidung::N,dillad,тум-тир
492,Kleidung::N,gwisgoedd,тум
493,Kleidung::N,gwisgoedd,ҫипуҫ
494,Kleidung::N,gwisgoedd,тум-тир
495,Hemd::N,crys,кӗпе
496,Kragen::N,coler,ҫуха
497,Ärmel::N,llawes,ҫанӑ
498,Hose::N,trowsus,шӑлавар
499,Gürtel::N,gwregys,пиҫиххи
500,Mütze::N,cap,ҫӗлӗк
501,Schuh::N,esgid,пушмак
502,Schuh::N,esgid,ботинок
503,Stiefel::N,botasen,атӑ
504,Ring::N,modrwy,ҫӗрӗ
505,Band::N,rhuban,хаю
506,Band::N,rhuban,йӗсме
507,Kamm::N,crib,тура
508,Spiegel::N,drych,тӗкӗр
509,Spiegel::N,drych,куҫ кӗски
510,Riemen::N,strap,чӗн
511,Schnur::N,llinyn,кантра
512,Leine::N,tennyn,касмӑк
513,Decke::N,blanced,утиял
514,Decke::N,gwrthban,утиял
515,Kissen::N,clustog,ҫытар
516,Kissen::N,clustog,минтер
517,Kissen::N,gobennydd,ҫытар
518,Kissen::N,gobennydd,минтер
519,Tuch::N,sgarff,тутӑр
520,Handtuch::N,tywel,ал шӑлли
521,Handtuch::N,lliain sychu,ал шӑлли
522,Kraft::N,grym,вӑй
523,Kraft::N,grym,хӑват
524,Stärke::N,nerth,хал
525,Stärke::N,nerth,хӑват
526,Stärke::N,cryfder,хал
527,Stärke::N,cryfder,хӑват
528,Gesundheit::N,iechyd,хал
529,Gesundheit::N,iechyd,сывлӑх
530,Krankheit::N,afiechyd,чир
531,Krankheit::N,anhwylder,чир
532,Schmerz::N,poen,ырату
533,Schmerz::N,gwayw,ырату
534,Wunde::N,clwyf,суран
535,Fieber::N,twymyn,сив чир
536,Arznei::N,meddyginiaeth,эмел
537,Brücke::N,pont,кӗпер
538,Brunnen::N,ffynnon,ҫӑл
539,Brunnen::N,ffynnon,пусӑ
540,Weide::N,porfa,ҫаран
541,Pfad::N,llwybr,йӗр
542,Pfad::N,llwybr,сукмак
543,Weg::N,ffordd,ҫул
544,Weg::N,ffordd,ҫул-йӗр
545,Straße::N,heol,ҫӳрев
546,Straße::N,heol,ҫул ҫӳрени
547,Straße::N,ffordd,ҫӳрев
548,Straße::N,ffordd,ҫул ҫӳрени
549,Dorf::N,pentref,ял
550,Stadt::N,tref,хула
551,Brief::N,llythyr,ҫыру
552,Buch::N,llyfr,кӗнеке
553,Buchstabe::N,llythyren,сас палли
554,Zeitung::N,papur newydd,хаҫат
555,Leben::N,bywyd,пурнӑҫ
556,Tod::N,marwolaeth,вилӗм
557,Grab::N,bedd,масар шӑтӑкӗ
558,Kirche::N,eglwys,чиркӳ
559,Sünde::N,pechod,ҫылӑх
560,Gott::N,duw,турӑ
561,Arbeiter::N,gweithiwr,рабочи
562,Chef::N,pennaeth,пуҫлӑх
563,Meister::N,meistr,ӑста
564,Meister::N,meistr,мастер
565,Arzt::N,meddyg,врач
566,Arzt::N,meddyg,тухтӑр
567,Lehrer::N,athro,учитель
568,Lehrer::N,athro,вӗрентекен
569,Geld::N,pres,укҫа
570,Geld::N,arian,укҫа
571,Geschäft::N,busnes,бизнес
572,Laden::N,siop,магазин
573,Preis::N,pris,хак
574,Ware::N,nwydd,тавар
575,Nutzen::N,elw,пайта
576,Nutzen::N,budd,пайта
577,Reichtum::N,cyfoeth,мул
578,Welt::N,byd,тӗнче
579,Land::N,gwlad,ҫӗр-шыв
580,Staat::N,gwladwriaeth,патшàлӑх
581,König::N,brenin,король
582,Macht::N,grym,власть
583,Macht::N,awdurdod,власть
584,Grenze::N,ffin,чикӗ
585,Grenze::N,goror,чикӗ
586,Krieg::N,rhyfel,вӑрҫӑ
587,Feind::N,gelyn,тӑшман
588,Gewalt::N,ffyrnigrwydd,ирӗксӗрлӳ
589,Kampf::N,brwydr,кӗрешӳ
590,Bogen[Waffe]::N,bwa,ухӑ
591,Pfeil::N,saeth,ҫӗмрен
592,Pfeil::N,saeth,ухӑ йӗппи
593,Gewehr::N,dryll,пӑшал
594,Fehler::N,gwall,йӑнӑш
595,Fehler::N,camgymeriad,йӑнӑш
596,Lüge::N,celwydd,суя
597,Lüge::N,celwydd,ултав
598,Lüge::N,anwiredd,суя
599,Lüge::N,anwiredd,ултав
600,Schaden::N,niwed,сиен
601,Schaden::N,difrod,сиен
602,Unglück::N,anffawd,шар
603,Unglück::N,anffawd,инкек
604,Schuld::N,bai,айӑп
605,Alter::N,oed,ҫул шучӗ
606,Schluss::N,diwedd,пӗтни
607,Schluss::N,diwedd,пӗтмӗш
608,Zeit::N,amser,вӑхӑт
609,Tag::N,dydd,кун
610,Tag::N,diwrnod,кун
611,Morgen::N,bore,ир
612,Mittag::N,nawn,кӑнтӑрла
613,Abend::N,noswaith,каҫ
614,Nacht::N,nos,каҫ
615,Woche::N,wythnos,эрне
616,Monat::N,mis,уйӑх
617,Jahr::N,blwyddyn,ҫулталӑк
618,Frühling::N,gwanwyn,ҫур
619,Frühling::N,gwanwyn,ҫуркунне
620,Sommer::N,haf,ҫу
621,Sommer::N,haf,ҫулла
622,Herbst::N,hydref,кӗр
623,Herbst::N,hydref,кӗркунне
624,Winter::N,gaeaf,хӗл
625,Winter::N,gaeaf,хӗлле
626,Januar::N,Ionawr,январь
627,Februar::N,Chwefror,февраль
628,Februar::N,Chwefror,кӗҫӗн кӑрлач
629,März::N,Mawrth,март
630,März::N,Mawrth,пуш уйӑхӗ
631,April::N,Ebrill,апрель
632,Mai::N,Mai,май
633,Juni::N,Mehefin,июнь
634,Juli::N,Gorffennaf,июль
635,August::N,Awst,август
636,September::N,Medi,сентябрь
637,September::N,Medi,авӑн уйӑхӗ
638,Oktober::N,Hydref,октябрь
639,November::N,Tachwedd,ноябрь
640,Dezember::N,Rhagfyr,раштав
641,Dezember::N,Rhagfyr,декабрь
642,Montag::N,dydd Llun,тунти кун
643,Dienstag::N,dydd Mawrth,ытлари кун
644,Mittwoch::N,dydd Mercher,юн кун
645,Donnerstag::N,dydd Iau,кӗҫнерни кун
646,Freitag::N,dydd Gwener,эрне кун
647,Samstag::N,dydd Sadwrn,шӑмат кун
648,Sonntag::N,dydd Sul,вырсарни кун
649,groß::A,mawr,пысӑк
650,klein::A,bach,пӗчӗк
651,lang::A,hir,вӑрӑм
652,kurz::A,byr,кӗске
653,kurz::A,cwta,кӗске
654,breit::A,llydan,сарлака
655,schmal::A,cul,ансӑр
656,dicht::A,dwys,йӑвӑ
657,dick[Gegenstand]::A,trwchus,хулӑн
658,dünn::A,tenau,ҫинҫе
659,dünn::A,tenau,ҫӳхе
660,fein::A,main,тарай
661,fein::A,main,вӗлтӗрти
662,fest::A,cadarn,тӗреклӗ
663,flach::A,gwastad,лаптак
664,glatt::A,llyfn,такӑр
665,hart::A,caled,хытӑ
666,weich::A,meddal,ҫемҫе
667,rund::A,crwn,ҫавра
668,spitz::A,pigfain,шӗвӗр
669,scharf::A,miniog,ҫивӗч
670,stumpf::A,pŵl,мӑка
671,stumpf::A,pŵl,пуклак
672,stumpf::A,pŵl,тӗрӗнчӗк
673,stumpf::A,pŵl,ӑнкарусӑр
674,schwer::A,trwm,йывӑр
675,schön::A,teg,илемлӗ
676,schön::A,hardd,илемлӗ
677,schön::A,prydferth,илемлӗ
678,heiß::A,poeth,вӗри
679,warm::A,twym,ӑшӑ
680,warm::A,cynnes,ӑшӑ
681,kalt::A,oer,сивӗ
682,kühl::A,oeraidd,уҫӑ
683,frisch::A,iach,уҫӑ
684,feucht::A,llaith,йӗпе
685,nass::A,gwlyb,нӳрӗ
686,trocken::A,sych,типӗ
687,voll::A,llawn,тулли
688,leer::A,gwag,пушӑ
689,offen::A,agored,уҫӑ
690,geschlossen::A,caead,хупӑ
691,geschlossen::A,caeëdig,хупӑ
692,sauber::A,glân,таса
693,schmutzig::A,budr,пылчӑклӑ
694,schmutzig::A,budr,вараланчӑк
695,schmutzig::A,brwnt,пылчӑклӑ
696,schmutzig::A,brwnt,вараланчӑк
697,roh::A,amrwd,чӗрӗ
698,reif::A,aeddfed,пулнӑ
699,reif::A,aeddfed,пиҫӗхнӗ
700,reif::A,aeddfed,аталаннӑ
701,reif::A,aeddfed,пиҫсе ҫитнӗ
702,lecker::A,blasus,тутлӑ
703,lecker::A,blasus,техӗмлӗ
704,lecker::A,danteithiol,тутлӑ
705,lecker::A,danteithiol,техӗмлӗ
706,süß::A,melys,пылак
707,bitter::A,chwerw,йӳҫӗ
708,sauer::A,sur,йӳҫӗ
709,sauer::A,sur,йӳҫек
710,sauer::A,sur,кӑвасак
711,hell::A,disglair,ҫутӑ
712,dunkel::A,tywyll,тӗттӗм
713,schwarz::A,du,хура
714,weiß::A,gwyn,шурӑ
715,rot::A,coch,хӗрлӗ
