,Concept_ID,kk,da
279,Gespräch::N,әңгіме,samtale
280,Märchen::N,ертеп,eventyr
281,Märchen::N,ертек,eventyr
282,Erzählung::N,әңгіме,fortælling
283,Nachricht::N,хабар,efterretning
284,Neuigkeit::N,жаңалық,nyhed
285,Name::N,ат,navn
286,Name::N,атау,navn
287,Rätsel::N,жұмбақ,gåde
288,Rede::N,сөз,tale
289,Sprache::N,тіл,sprog
290,Stimme::N,үн,stemme
291,Stimme::N,әуен,stemme
292,Stimme::N,дауыс,stemme
293,Wort::N,сөз,ord
294,Zeichen::N,ишара,tegn
295,Ruf::N,айғай,råb
296,Lärm::N,айғай-шу,larm
297,Lärm::N,айғай-ұйғай,larm
298,Laut::N,дыбыс,lyd
299,Laut::N,дауыс,lyd
300,Ton::N,әуен,tone
301,Lied::N,ән,sang
302,Lied::N,жыр,sang
303,Lied::N,ән-жыр,sang
304,Ruhe::N,тыныштық,ro
305,Ruhe::N,тыныштық,hvile
306,Leute::N,кісілер,folk
307,Leute::N,кісілер,mennesker
308,Volk::N,халық,folk
309,Arbeit::N,еңбек,arbejde
310,Gast::N,қонақ,gæst
311,Gast::N,мейман,gæst
312,Geschenk::N,қадия,gave
313,Spiel::N,ойын,leg
314,Gesellschaft::N,қауым,selskab
315,Gesellschaft::N,жұртшылық,selskab
316,Hilfe::N,жэрдем,hjælp
317,Freund::N,дос,ven
318,Kamerad::N,дос-жар,kammerat
319,Angelegenheit::N,жұмыс,sag
320,Angelegenheit::N,жұмыс,anliggende
321,Anzahl::N,сан,antal
322,Anzahl::N,саны,antal
323,Art::N,түр,art
324,Stück::N,тілім,stykke
325,Teil::N,үлес,del
326,Teil::N,бөлшек,del
327,Hälfte::N,жарты,halvdel
328,Kreis::N,шеңбер,cirkel
329,Kreuz::N,крест,kors
330,Kreuz::N,крест,kryds
331,Linie::N,сызық,linie
332,Strich::N,сызық,streg
333,Abstand::N,ара,afstand
334,Abstand::N,аралық,afstand
335,Entfernung::N,аралық,afstand
336,Gegend::N,өңір,egn
337,Platz::N,орны,plads
338,Ort::N,орын,sted
339,Seite::N,жақ,side
340,Seite::N,бүйір,side
341,Mitte::N,ортасы,midte
342,Gegenstand::N,зат,genstand
343,Gegenstand::N,нәрсе,genstand
344,Sache::N,бұйым,sag
345,Rand::N,шет,rand
346,Rand::N,шеті,rand
347,Kante::N,қыр,kant
348,Kante::N,қыры,kant
349,Ecke::N,қыры,hjørne
350,Ecke::N,бұрыш,hjørne
351,Spitze::N,ұшы,spids
352,Ende::N,аяқ,ende
353,Ende::N,соңы,ende
354,Loch::N,тесік,hul
355,Winkel::N,мүйіс,vinkel
356,Muster::N,мәнер,mønster
357,Größe::N,ауқым,størrelse
358,Größe::N,көлемдік,størrelse
359,Länge::N,бой,længde
360,Länge::N,ұзындық,længde
361,Höhe::N,жоғарылық,højde
362,Höhe::N,биіктік,højde
363,Gewicht::N,салмақ,vægt
364,Menge::N,мөлшер,mængde
365,Haufen::N,үйме,bunke
366,Haufen::N,үйінді,bunke
367,Reihe::N,сап,række
368,Boot::N,қайық,båd
369,Ruder::N,ескек,åre
370,Schlitten::N,шана,kælk
371,Schlitten::N,шана,slæde
372,Ski::N,шаңғы,ski
373,Lagerfeuer::N,алау,lejrbål
374,Last::N,ауырлық,last
375,Last::N,ауырлық,byrde
376,Last::N,ауыр зат,last
377,Last::N,ауыр зат,byrde
378,Gang::N,жүріс,gang
379,Schritt::N,адым,skridt
380,Norden::N,солтүстік,nord
381,Norden::N,терістік,nord
382,Süden::N,оңтүстік,syd
383,Westen::N,батыс,vest
384,Osten::N,күншығыс,øst
385,Holz::N,ағаш,træ
386,Holz::N,сүрек,træ
387,Brett::N,тақта,bræt
388,Platte::N,тақта,plade
389,Stütze::N,тіреу,støtte
390,Stange::N,қада,stang
391,Stock::N,сойыл,stok
392,Stab::N,сырық,stav
393,Rohr::N,құбыр,rør
394,Haus::N,үй,hus
395,Heim::N,үйлі,hjem
396,Heim::N,шаңырақ,hjem
397,Ofen::N,ошақ,ovn
398,Ofen::N,пеш,ovn
399,Fußboden::N,еден,gulv
400,Tisch::N,үстел,bord
401,Stuhl::N,орындық,stol
402,Wiege::N,бесік,vugge
403,Bett::N,кереует,seng
404,Regal::N,сөре,reol
405,Kiste::N,жәшік,kasse
406,Fenster::N,терезе,vindue
407,Tür::N,есік,dør
408,Tor::N,дарбаза,port
409,Zaun::N,дуал,stakit
410,Dach::N,шатыр,tag
411,Leiter::N,саты,stige
412,Leiter::N,басқыш,stige
413,Besen::N,сыпырғыш,kost
414,Spaten::N,күрек,spade
415,Schaufel::N,қалақ,skovl
416,Gabel::N,аша,gaffel
417,Gabel::N,шанышқы,gaffel
418,Löffel::N,қасық,ske
419,Messer::N,пышақ,kniv
420,Nagel::N,мық,søm
421,Nagel::N,шеге,søm
422,Netz::N,керегекөз,net
423,Haken::N,ілмек,krog
424,Griff::N,сап,tag
425,Griff::N,сап,håndtag
426,Griff::N,тұтқа,tag
427,Griff::N,тұтқа,håndtag
428,Schloss::N,құлып,lås
429,Schloss::N,бекіткіш,lås
430,Bild::N,сурет,billede
431,Figur::N,тұлға,figur
432,Puppe::N,қуыршақ,dukke
433,Beutel::N,қапшық,pose
434,Bündel::N,байлам,bylt
435,Bündel::N,байлам,bundt
436,Tasche::N,дорба,taske
437,Eimer::N,шелек,spand
438,Deckel::N,жапқыш,låg
439,Geschirr::N,ыдыс,husgeråd
440,Sack::N,қап,sæk
441,Tasse::N,шыныаяқ,kop
442,Topf::N,кәстрөл,gryde
443,Kessel::N,қазан,kedel
444,Essen::N,ас,måltid
445,Nahrung::N,ас,mad
446,Nahrung::N,ас,næring
447,Nahrung::N,тамақ,mad
448,Nahrung::N,тамақ,næring
449,Speise::N,тағам,ret
450,Fleisch::N,ет,kød
451,Getreide::N,дәнді,korn
452,Brei::N,ботқа,grød
453,Brot::N,күлше,brød
454,Scheibe::N,тілім,skive
455,Fett::N,май,fedt
456,Butter::N,май,smør
457,Öl::N,май,olie
458,Salz::N,тұз,salt
459,Suppe::N,көже,suppe
460,Honig::N,бал,honning
461,Milch::N,сүт,mælk
462,Tee::N,шай,te
463,Leder::N,көн,skind
464,Wolle::N,жүн,uld
465,Stoff::N,мата,stof
466,Stoff::N,кездеме,stof
467,Nadel::N,ине,nål
468,Faden::N,жіп,tråd
469,Knopf::N,түйме,knap
470,Knoten::N,түйін,knude
471,Farbe::N,рең,farve
472,Kleidung::N,киім,påklædning
473,Hemd::N,жейде,skjorte
474,Kragen::N,жаға,krave
475,Ärmel::N,жең,ærme
476,Hose::N,шалбар,bukser
477,Gürtel::N,белбеу,bælte
478,Mütze::N,қалпақ,hue
479,Schuh::N,кебіс,sko
480,Stiefel::N,етік,støvle
481,Ring::N,жүзік,ring
482,Band::N,таспа,bånd
483,Kamm::N,тарақ,kam
484,Spiegel::N,айна,spejl
485,Riemen::N,қайыс,rem
486,Schnur::N,жіп,snor
487,Leine::N,тізгін,snor
488,Decke::N,көрпе,tæppe
489,Kissen::N,жастық,pude
490,Tuch::N,орамал,sjaltørklæde
491,Handtuch::N,сүлгі,håndklæde
492,Kraft::N,қуат,kraft
493,Kraft::N,қарқын,kraft
494,Kraft::N,әл-шама,kraft
495,Kraft::N,әл-дәрмен,kraft
496,Stärke::N,әл,styrke
497,Stärke::N,күш,styrke
498,Gesundheit::N,денсаулык,sundhed
499,Krankheit::N,ауру,sygdom
500,Schmerz::N,ауру,smerte
501,Wunde::N,зақым,sår
502,Wunde::N,жарақат,sår
503,Fieber::N,безгек,feber
504,Fieber::N,қалтырау,feber
505,Fieber::N,қызу көтерілуі,feber
506,Arznei::N,дәрі,medicin
507,Arznei::N,дәрі,lægemiddel
508,Arznei::N,дәрі-дәрмек,medicin
509,Arznei::N,дәрі-дәрмек,lægemiddel
510,Brücke::N,көпір,bro
511,Brunnen::N,құдық,brønd
512,Weide::N,өріс,græsgang
513,Weide::N,жайылым,græsgang
514,Pfad::N,жол,sti
515,Weg::N,жол,vej
516,Straße::N,жол,gade
517,Dorf::N,ауыл,landsby
518,Stadt::N,қала,by
519,Stadt::N,шаһар,by
520,Brief::N,хат,brev
521,Brief::N,жазу,brev
522,Buch::N,кітап,bog
523,Buchstabe::N,әріп,bogstav
524,Buchstabe::N,қаріп,bogstav
525,Zeitung::N,газет,avis
526,Leben::N,өмір,liv
527,Leben::N,тіршілік,liv
528,Tod::N,опат,død
529,Grab::N,мола,grav
530,Grab::N,мазар,grav
531,Kirche::N,шіркеу,kirke
532,Sünde::N,күнә,synd
533,Gott::N,алла,gud
534,Gott::N,құдай,gud
535,Gott::N,тәңірі,gud
536,Gott::N,пәруардігер,gud
537,Gott::N,жаратқан тәңірі,gud
538,Arbeiter::N,жүмысшы,arbejder
539,Chef::N,басшы,chef
540,Chef::N,жұмыс басқарушысы,chef
541,Meister::N,шебер,mester
542,Meister::N,өнерпаз,mester
543,Arzt::N,дәрігер,læge
544,Lehrer::N,мұғалім,lærer
545,Geld::N,пұл,penge
546,Geschäft::N,бизнес,forretning
547,Laden::N,дүкен,butik
548,Laden::N,дүкен,forretning
549,Preis::N,ақы,pris
550,Preis::N,құны,pris
551,Preis::N,нарық,pris
552,Ware::N,тауар,vare
553,Nutzen::N,пайда,nytte
554,Reichtum::N,бақ-дәулет,rigdom
555,Welt::N,әлем,verden
556,Welt::N,жиһан,verden
557,Land::N,аймақ,land
558,Staat::N,мемлекет,stat
559,König::N,патша,konge
560,Macht::N,өкімет,magt
561,Macht::N,қожалық,magt
562,Grenze::N,шек,grænse
563,Krieg::N,соғыс,krig
564,Feind::N,жау,fjende
565,Feind::N,дұшпан,fjende
566,Gewalt::N,зорлык,vold
567,Gewalt::N,зорлық-зомбылык,vold
568,Kampf::N,күрес,kamp
569,Kampf::N,алыспақ,kamp
570,Bogen[Waffe]::N,саржа,bue
571,Pfeil::N,жебе,pil
572,Gewehr::N,қару,gevær
573,Fehler::N,әбес,fejl
574,Fehler::N,қаталық,fejl
575,Lüge::N,өтірік,løgn
576,Schaden::N,зиян,skade
577,Schaden::N,зарар,skade
578,Unglück::N,пәле,uheld
579,Unglück::N,пәле,ulykke
580,Unglück::N,қасырет,uheld
581,Unglück::N,қасырет,ulykke
582,Unglück::N,ауыртпалық,uheld
583,Unglück::N,ауыртпалық,ulykke
584,Schuld::N,айыптылық,skyld
585,Alter::N,жас,alder
586,Alter::N,жас шамасы,alder
587,Schluss::N,ада,slut
588,Schluss::N,ада,slutning
589,Schluss::N,бітуі,slut
590,Schluss::N,бітуі,slutning
591,Zeit::N,уақыт,tid
592,Tag::N,күн,dag
593,Morgen::N,таң,morgen
594,Morgen::N,таңертең,morgen
595,Mittag::N,талтүс,middag
596,Abend::N,кеш,aften
597,Nacht::N,түн,nat
598,Woche::N,апта,uge
599,Monat::N,ай,måned
600,Jahr::N,жыл,år
601,Frühling::N,көктем,forår
602,Sommer::N,жаз,sommer
603,Herbst::N,күз,efterår
604,Winter::N,қыс,vinter
605,Januar::N,каңтар,januar
606,Februar::N,ақпан,februar
607,März::N,наурыз,marts
608,April::N,сәуір,april
609,Mai::N,мамыр,maj
610,Juni::N,маусым,juni
611,Juli::N,шілде,juli
612,August::N,сүмбіле,august
613,August::N,тамыз,august
614,September::N,қыркүйек,september
615,Oktober::N,ақырап,oktober
616,November::N,қараша,november
617,Dezember::N,желтоқсан,december
618,Montag::N,дүйсенбі,mandag
619,Dienstag::N,сейсенбі,tirsdag
620,Mittwoch::N,сәрсенбі,onsdag
621,Donnerstag::N,бейсенбі,torsdag
622,Freitag::N,жұма,fredag
623,Samstag::N,сенбі,lørdag
624,Sonntag::N,жексембі,søndag
625,groß::A,алпамсадай,stor
626,klein::A,кішкене,lille
627,klein::A,қарғадай,lille
628,lang::A,сопақ,lang
629,lang::A,сорайған,lang
630,kurz::A,кеспелтек,kort
631,breit::A,айдынды,bred
632,schmal::A,қысық,smal
633,dicht::A,жиі,tæt
634,dick[Gegenstand]::A,шомбал,tyk
635,dünn::A,жұқа,tynd
636,dünn::A,жіңішке,tynd
637,fein::A,қаңылтақ,fin
638,fest::A,берік,fast
639,fest::A,мызғымас,fast
640,flach::A,жалпак,flad
641,glatt::A,типыл,glat
642,hart::A,қатты,hård
643,weich::A,жұмсақ,blød
644,rund::A,домалақ,rund
645,spitz::A,үшкір,spids
646,scharf::A,сүйрік,skarp
647,stumpf::A,доғал,sløv
648,stumpf::A,доғал,stump
649,stumpf::A,өтпейтін,sløv
650,stumpf::A,өтпейтін,stump
651,schwer::A,салмақты,tung
652,schön::A,сұлу,skøn
653,heiß::A,ыссы,hed
654,warm::A,жылы,varm
655,kalt::A,аязды,kold
656,kühl::A,салқын,kølig
657,frisch::A,таза,frisk
658,frisch::A,жаңа,frisk
659,feucht::A,нам,fugtig
660,feucht::A,дымқылды,fugtig
661,nass::A,сулы,våd
662,trocken::A,құрғақ,tør
663,voll::A,толы,fuld
664,leer::A,бос,tom
665,offen::A,ашып қойылған,åben
666,geschlossen::A,жабулы,lukket
667,sauber::A,дақсыз,ren
668,sauber::A,мұнтаздай,ren
669,schmutzig::A,айғыз,snavset
670,schmutzig::A,сатпақ,snavset
671,schmutzig::A,сатал-сатал,snavset
672,roh::A,шикі,rå
673,reif::A,піскен,moden
674,lecker::A,дәмді,lækker
675,süß::A,тәтті,sød
676,bitter::A,ащы,bitter
677,sauer::A,қышқыл,sur
678,hell::A,жарық,lys
679,hell::A,жарқын,lys
680,dunkel::A,қараңғы,mørk
681,schwarz::A,қара,sort
682,weiß::A,ақ,hvid
683,rot::A,қызыл,rød
684,gelb::A,сары,gul
685,blau::A,көк,blå
686,grün::A,жасыл,grøn
687,grau::A,бозамық,grå
688,bunt::A,алабажак,broget
689,billig::A,арзан,billig
690,teuer::A,бағалы,dyr
691,wertvoll::A,құнды,værdifuld
692,wertvoll::A,қымбат,værdifuld
693,blind::A,көзсіз,blind
694,blind::A,көр,blind
695,blind::A,көр_соқыр,blind
696,taub::A,керең,døv
697,taub::A,саңырау,døv
698,kräftig::A,қуатты,kraftig
699,kräftig::A,қарымды,kraftig
700,stark::A,білекті,stærk
701,schwach::A,әлсіз,svag
702,schwach::A,күшсіз,svag
703,schwach::A,қайратсыз,svag
704,fett::A,семіз,fed
705,schlank::A,ашаң,slank
706,hübsch::A,ажарлы,køn
707,hübsch::A,шырайлы,køn
708,böse::A,өш,ond
709,böse::A,өш,slem
710,böse::A,сұм,ond
711,böse::A,сұм,slem
712,böse::A,жауыз,ond
713,böse::A,жауыз,slem
714,dumm::A,көкми,dum
715,dumm::A,ақымақ,dum
716,dumm::A,миы жоқ,dum
717,faul::A,жалқау,doven
718,faul::A,еріншек,doven
719,fleißig::A,ұқыпты,flittig
720,geizig::A,сараң,gerrig
721,klug::A,жетік,klog
722,klug::A,ақылды,klog
723,geschickt::A,шебер,dygtig
724,geschickt::A,шебер,behændig
725,lieb::A,абзал,rar
726,lieb::A,айналайын,rar
727,lustig::A,көңілді,lystig
728,sanft::A,жуас,blid
729,hungrig::A,аш,sulten
730,krank::A,кеселді,syg
731,nackt::A,жалаңаш,nøgen
732,traurig::A,қапа,bedrøvet
733,lebendig::A,тірі,levende
734,lebendig::A,жанды,levende
735,gut::A,жақсы,god
736,schlecht::A,жаман,dårlig
737,richtig::A,дұрыс,rigtig
738,schlimm::A,жаман,slem
739,wahr::A,нағыз,sand
740,alt::A,ескі,gammel
741,neu::A,жаңа,ny
742,ehemalig::A,өткен,forhenværende
743,ehemalig::A,бұрынғы,forhenværende
744,alt[Lebewesen]::A,кексе,gammel
745,jung::A,науша,ung
746,arm::A,кедей,fattig
747,arm::A,дәулетсіз,fattig
748,reich::A,малды,rig
749,bekannt::A,таныс,kendt
750,bekannt::A,көзтаныс,kendt
751,berühmt::A,атақты,berømt
752,fremd::A,бөтен,fremmed
753,verschieden::A,түрлі,forskellig
754,nah::A,жуық,nær
755,nah::A,етене,nær
756,fern::A,алыс,fjern
757,fern::A,алыстағы,fjern
758,linker::A,сол,venstre
759,linker::A,солшыл,venstre
760,rechter::A,оң,højre
761,anderer::A,өзге,anden
762,anderer::A,былайғы,anden
763,erster::A,алғашқы,første
764,zweiter::A,екінші,anden
765,dritter::A,үшінші,tredje
766,letzter::A,артқы,sidste
767,letzter::A,кейінгі,sidste
768,allein::ADV,серіксіз,alene
769,auf einmal::ADV,бірден,på én gang
770,zusammen::ADV,бірлесіп,sammen
771,lange::ADV,ұзақ,længe
772,plötzlich::ADV,кенет,pludselig
773,sofort::ADV,әне-міне дегенше,straks
774,später::ADV,артынан,senere
775,jetzt::ADV,енді,nu
776,jetzt::ADV,қазір,nu
777,heute::ADV,бүгін,i dag
778,morgen::ADV,ертең,i morgen
779,bald::ADV,тез,snart
780,dann::ADV,онан соң,så
781,dann::ADV,сонан соң,så
782,gestern::ADV,кеше,i går
783,einst::ADV,бірде,engang
784,einst::ADV,бір кезде,engang
785,damals::ADV,анада,dengang
786,danach::ADV,онан соң,derefter
787,danach::ADV,сонан соң,derefter
788,vorher::ADV,бұрын,før
789,vorher::ADV,бұрын,forud
790,zuerst::ADV,әуелі,først
791,zuerst::ADV,алдымен,først
792,einmal::ADV,бір жолы,en gang
793,manchmal::ADV,кейде,sommetider
794,oft::ADV,ылғи,ofte
795,immer::ADV,өнебойы,altid
796,niemals::ADV,ешуақытта,aldrig
797,hier::ADV,бұнда,her
798,hier::ADV,осында,her
799,hierhin::ADV,бермен,hid
800,hierhin::ADV,бермен,herhen
801,von hier::ADV,бер жақтан,herfra
802,dort::ADV,анда,der
803,dorthin::ADV,әрі,derhen
804,geradeaus::ADV,тура,lige ud
805,vorwärts::ADV,ілгері,fremad
806,rückwärts::ADV,артқа,baglæns
807,zurück::ADV,кейін қарай,tilbage
808,unten::ADV,төменде,nede
809,unten::ADV,төменде,forneden
810,hinab::ADV,астына,ned
811,hinab::ADV,астына,nedad
812,hinab::ADV,төмен,ned
813,hinab::ADV,төмен,nedad
814,oben::ADV,жоғарыда,oppe
815,oben::ADV,жоғарыда,ovenpå
816,hinauf::ADV,өрге,op
817,hinauf::ADV,өрге,opad
818,überall::ADV,әрқайда,overalt
819,nicht::ADV,емес,ikke
820,ein wenig::ADV,азырақ,lidt
821,ein wenig::ADV,аздаған,lidt
822,ein wenig::ADV,азғантай,lidt
