,Concept_ID,ba,el
206,Fliege::N,себен,μύγα
207,Schmetterling::N,күбәләк,πεταλούδα
208,Beere::N,еләк,ρόγα
209,Apfel::N,алма,μήλο
210,Pilz::N,бәшмәк,μανιτάρι
211,Zwiebel::N,һуган,κρεμμύδι
212,Saat::N,орлоҡ,σπόρος
213,Korn::N,иген,σπυρί
214,Heu::N,бесән,σανός
215,Schale::N,ҡабыҡ,τσόφλι
216,Grube::N,соҡор,λάκκος
217,Falle::N,тоҙак,παγίδα
218,Falle::N,ҡапҡан,παγίδα
219,Schlinge::N,тоҙак,θηλειά
220,Spur::N,әҫер,ίχνος
221,Asche::N,көл,στάχτη
222,Dreck::N,батҡаҡ,βρωμιά
223,Eisen::N,тимер,σίδερο
224,Gold::N,алтын,μάλαμα
225,Gold::N,алтын,χρυσάφι
226,Silber::N,көмөш,ασήμι
227,Silber::N,көмөш,άργυρος
228,Kohle::N,күмер,κάρβουνο
229,Glas::N,быяла,γυαλί
230,Lehm::N,балсыҡ,πηλός
231,Sand::N,ҡом,άμμος
232,Mensch::N,кеше,άνθρωπος
233,Mann::N,ир,άνδρας
234,Frau::N,ҡатын,γυναίκα
235,Kind::N,бала,παιδί
236,Junge::N,малай,αγόρι
237,Mädchen::N,ҡыҙ,κοπέλα
238,Mädchen::N,ҡыҙ,κορίτσι
239,Mädchen::N,ҡыҙыҡай,κοπέλα
240,Mädchen::N,ҡыҙыҡай,κορίτσι
241,Familie::N,ғаилә,οικογένεια
242,Großvater::N,олатай,παππούς
243,Großmutter::N,әбәй,γιαγιά
244,Eltern::N,ата-әсә,γονείς
245,Vater::N,атай,πατέρας
246,Mutter::N,әсә,μητέρα
247,Sohn::N,ул,γιος
248,Tochter::N,ҡыҙ,κόρη
249,Bruder::N,агай,αδελφός
250,Schwester::N,алай,αδελφή
251,Schwester::N,һеңле,αδελφή
252,Onkel::N,ағай,θείος
253,Tante::N,апай,θεία
254,Ehemann::N,ир,σύζυγος
255,Ehefrau::N,ҡатын,σύζυγος
256,Freude::N,шатлыҡ,χαρά
257,Freude::N,ҡыуаныс,χαρά
258,Gelächter::N,көлөү,γέλια
259,Glück::N,бәхет,ευτυχία
260,Kummer::N,ҡайғы,έγνοια
261,Wunsch::N,теләк,επιθυμία
262,Lust::N,әүәҫлек,όρεξη
263,Geist::N,аң,πνέυμα
264,Geist::N,рух,πνέυμα
265,Gedanke::N,уй,σκέψη
266,Gedanke::N,фекер,σκέψη
267,Gedächtnis::N,хәтер,μνήμη
268,Verstand::N,аҡыл,νους
269,Sinn::N,мәғәня,νόημα
270,Grund::N,сәбәп,λόγος
271,Wahrheit::N,дөрөҫлөк,αλήθεια
272,Gespräch::N,әңгәмә,συνομιλία
273,Märchen::N,әкиәт,παραμύθι
274,Erzählung::N,хикәйә,διήγημα
275,Nachricht::N,хәбәр,είδηση
276,Neuigkeit::N,яңылыҡ,νέο
277,Name::N,исем,όνομα
278,Rätsel::N,йомаҡ,αίνιγμα
279,Rede::N,телмәр,λόγος
280,Rede::N,телмәр,ομιλία
281,Sprache::N,тел,γλώσσα
282,Sprache::N,телмәр,γλώσσα
283,Stimme::N,тауыш,φωνή
284,Wort::N,һүҙ,λέξη
285,Zeichen::N,билдә,σημείο
286,Ruf::N,саҡырыу,κραυγή
287,Lärm::N,шаулау,θόρυβος
288,Laut::N,тауыш,ήχος
289,Ton::N,яңғырау,ήχος
290,Ton::N,яңғырау,τόνος
291,Lied::N,йыр,τραγούδι
292,Ruhe::N,ял,ησυχία
293,Ruhe::N,тыныслыҡ,ησυχία
294,Leute::N,кешеләр,κόσμος
295,Leute::N,кешеләр,άνθρωποι
296,Volk::N,халҡ,λαός
297,Arbeit::N,эш,εργασία
298,Gast::N,ҡунаҡ,επισκέπτης
299,Geschenk::N,бүләк,δώρο
300,Spiel::N,уйын,παιχνίδι
301,Gesellschaft::N,йәмғиәт,κοινωνία
302,Hilfe::N,ярҙам,βοήθεια
303,Freund::N,дуҫ,φίλος
304,Kamerad::N,иптәш,σύντροφος
305,Angelegenheit::N,әш,υπόθεση
306,Anzahl::N,һан,αριθμός
307,Art::N,төр,είδος
308,Stück::N,киҫәк,κομμάτι
309,Teil::N,өлөш,μέρος
310,Hälfte::N,ярты,μισό
311,Kreis::N,түңәрәк,κύκλος
312,Kreuz::N,тәре,σταυρός
313,Linie::N,һыҙыҡ,γραμμή
314,Strich::N,һыҙат,γραμμή
315,Abstand::N,ара,απόσταση
316,Entfernung::N,алыҫлыҡ,απόσταση
317,Gegend::N,урын,περιοχή
318,Gegend::N,урын,τοποθεσία
319,Platz::N,арауыҡ,χώρος
320,Ort::N,ерҙәр,τόπος
321,Ort::N,урындар,τόπος
322,Ort::N,эш урыны,τόπος
323,Seite::N,яҡ,πλευρά
324,Mitte::N,урталыҡ,μέση
325,Gegenstand::N,нәмә,αντικείμενο
326,Sache::N,нәмә,πράγμα
327,Sache::N,әйбер,πράγμα
328,Rand::N,сит,άκρη
329,Rand::N,сит,χείλος
330,Kante::N,ҡабырға,άκρη
331,Kante::N,ян,άκρη
332,Ecke::N,мөйөш,γωνιά
333,Spitze::N,ос,μύτη
334,Ende::N,аҙаҡ,άκρη
335,Loch::N,тишек,τρύπα
336,Winkel::N,мөйөш,γωνία
337,Muster::N,биҙәк,σχέδιο
338,Größe::N,ҙурлыҡ,μέγεθος
339,Länge::N,оҙонлоҡ,μήκος
340,Höhe::N,бейеклек,ύψος
341,Gewicht::N,үлсәү,βάρος
342,Menge::N,һан,ποσότητα
343,Haufen::N,өйөм,σωρός
344,Reihe::N,рәт,αράδα
345,Boot::N,кәмә,βάρκα
346,Ruder::N,ишкәк,κουπί
347,Schlitten::N,сана,έλκηθρο
348,Ski::N,саңгы,σκι
349,Lagerfeuer::N,костер,φωτιά
350,Last::N,ауырлыҡ,φορτίο
351,Gang::N,барыу,δρόμος
352,Schritt::N,аҙым,βήμα
353,Norden::N,төньяҡ,βορράς
354,Süden::N,көньяҡ,νότος
355,Westen::N,көнбайыш,δύση
356,Osten::N,көнсығыш,ανατολή
357,Holz::N,үағас,ξύλο
358,Brett::N,таҡта,σανίδι
359,Platte::N,плита,πλάκα
360,Stütze::N,терәк,στήριγμα
361,Stange::N,кәртә,ραβδί
362,Stange::N,кәртә,κοντός
363,Stock::N,таяҡ,ξύλο
364,Stock::N,таяҡ,μπαστούνι
365,Stab::N,ҡолға,ραβδί
366,Rohr::N,торба,σωλήνας
367,Haus::N,өй,σπίτι
368,Haus::N,йорт,σπίτι
369,Heim::N,өй,σπίτι
370,Ofen::N,мейес,σόμπα
371,Ofen::N,мейес,θερμάστρα
372,Fußboden::N,енес,πάτωμα
373,Tisch::N,өҫтәл,τραπέζι
374,Stuhl::N,ултырғыс,καρέκλα
375,Wiege::N,бишек,κούνια
376,Bett::N,карауат,κρεβάτι
377,Regal::N,кәштә,ράφι
378,Kiste::N,йәшинк,κιβώτιο
379,Fenster::N,тәҙрә,παράθυρο
380,Tür::N,ишек,πόρτα
381,Tor::N,ҡапҡа,πύλη
382,Zaun::N,ҡойма,φράχτης
383,Dach::N,түбә,στέγη
384,Dach::N,ҡыйыҡ,στέγη
385,Leiter::N,баҫҡыс,σκάλα
386,Leiter::N,баҫҡыс,κλίμακα
387,Besen::N,һепертке,σκούπα
388,Spaten::N,көрәк,φτυάρι
389,Schaufel::N,көрәк,φτυάρι
390,Gabel::N,сәнске,πιρούνι
391,Löffel::N,ҡалаҡ,κουτάλι
392,Messer::N,бысаҡ,μαχαίρι
393,Nagel::N,сөй,καρφί
394,Netz::N,ау,δίχτυ
395,Haken::N,ыргаҡ,γάντζος
396,Haken::N,ыргаҡ,αγκίστρι
397,Griff::N,тотҡа,λαβή
398,Schloss::N,йоҙаҡ,κλειδαριά
399,Bild::N,картина,εικόνα
400,Figur::N,һын,ανάστημα
401,Puppe::N,ҡурсаҡ,κούκλα
402,Beutel::N,тоҡ,πουγγί
403,Bündel::N,төргәк,δεμάτι
404,Tasche::N,сумка,τσάντα
405,Eimer::N,биҙрә,κουβάς
406,Deckel::N,ҡапҡас,καπάκι
407,Geschirr::N,һауыт-һаба,σκεύη
408,Sack::N,тоҡ,σάκος
409,Tasse::N,сынаяҡ,φλιτζάνι
410,Topf::N,кәстрүл,χύτρα
411,Kessel::N,ҡаҙан,καζάνι
412,Essen::N,ашау,φαγητό
413,Nahrung::N,аҙыҡ,τροφή
414,Speise::N,аш,φαγητό
415,Fleisch::N,ит,κρέας
416,Getreide::N,иген,σιτάρι
417,Getreide::N,ашлыҡ,σιτάρι
418,Brei::N,бутҡа,χυλός
419,Brot::N,икмәк,ψωμί
420,Brot::N,икмәк,άρτος
421,Scheibe::N,телем,φέτα
422,Fett::N,май,πάχος
423,Butter::N,май,βούτυρο
424,Öl::N,май буяуы,λάδι
425,Salz::N,тоҙ,αλάτι
426,Suppe::N,һурпа,σούπα
427,Honig::N,бал,μέλι
428,Milch::N,һөт,γάλα
429,Tee::N,сәй,τσάι
430,Leder::N,күн,πετσί
431,Wolle::N,йөн,μαλλί
432,Stoff::N,туҡыма,ύφασμα
433,Nadel::N,энә,βελόνα
434,Faden::N,еп,κλωστή
435,Knopf::N,төймә,κουμπί
436,Knoten::N,төйөн,κόμπος
437,Farbe::N,буяу,μπογιά
438,Kleidung::N,кейем,ρούχα
439,Kleidung::N,кейем,ενδυμασία
440,Hemd::N,күлдәк,πουκάμισο
441,Kragen::N,яға,κολάρο
442,Ärmel::N,ең,μανίκι
443,Hose::N,салбар,πανταλόνι
444,Gürtel::N,ҡайыш,ζώνη
445,Mütze::N,бүрк,σκούφος
446,Schuh::N,туфли,παπούτσι
447,Stiefel::N,итек,μπότα
448,Ring::N,йөҙөк,δαχτυλίδι
449,Ring::N,балдаҡ,δαχτυλίδι
450,Band::N,таҫма,κορδέλα
451,Kamm::N,тараҡ,χτένα
452,Spiegel::N,көзгө,καθρέφτης
453,Riemen::N,ҡайыш,λουρί
454,Schnur::N,бау,κορδόνι
455,Leine::N,бау,σχοινί
456,Decke::N,одеяд,κουβέρτα
457,Kissen::N,мендәр,μαξιλάρι
458,Tuch::N,яулыҡ,πανί
459,Tuch::N,яулыҡ,μαντήλι
460,Handtuch::N,таҫтамал,πετσέτα
461,Kraft::N,көс,δύναμη
462,Stärke::N,көс,ισχύς
463,Stärke::N,көс,δύναμη
464,Gesundheit::N,һаулыҡ,υγεία
465,Krankheit::N,сир,αρρώστια
466,Krankheit::N,ауырыу,αρρώστια
467,Schmerz::N,һыҙлау,πόνος
468,Schmerz::N,әрнеү,πόνος
469,Wunde::N,йәрәхәт,πληγή
470,Fieber::N,тапма,πυρετός
471,Fieber::N,биҙгәк,πυρετός
472,Arznei::N,дарыу,φάρμακο
473,Brücke::N,күпер,γέφυρα
474,Brunnen::N,ҡоҙоҡ,πηγάδι
475,Weide::N,көтөүлек,βοσκή
476,Pfad::N,һуҡмаҡ,μονοπάτι
477,Weg::N,юл,δρόμος
478,Straße::N,урам,οδός
479,Straße::N,урам,δρόμος
480,Dorf::N,ауыл,χωριό
481,Stadt::N,ҡала,πόλη
482,Brief::N,хат,γράμμα
483,Brief::N,хат,επιστολή
484,Buch::N,китап,βιβλίο
485,Buch::N,кенәгә,βιβλίο
486,Buchstabe::N,хәреф,γράμμα
487,Zeitung::N,гәзит,εφημερίδα
488,Leben::N,йәшәү,ζωή
489,Leben::N,йәшәү,βίος
490,Tod::N,үлем,θάνατος
491,Grab::N,ҡәбер,τάφος
492,Kirche::N,сиркәү,εκκλησία
493,Sünde::N,гөнаһ,αμαρτία
494,Gott::N,алла,θεός
495,Gott::N,хоҙай,θεός
496,Arbeiter::N,эшсе,εργάτης
497,Chef::N,башлыҡ,προϊστάμενος
498,Meister::N,оҫта,μάστορας
499,Meister::N,оҫта,αρχιτεχνίτης
500,Arzt::N,врач,γιατρός
501,Lehrer::N,уҡытыусы,δάσκαλος
502,Geld::N,аҡса,λεφτά
503,Geld::N,аҡса,χρήματα
504,Geschäft::N,эш,συναλλαγή
505,Laden::N,магазин,μαγαζί
506,Laden::N,магазин,κατάστημα
507,Preis::N,хаҡ,τιμή
508,Ware::N,тауар,εμπόρευμα
509,Nutzen::N,файҙа,όφελος
510,Reichtum::N,байлыҡ,πλούτος
511,Welt::N,донъя,κόσμος
512,Land::N,ил,χώρα
513,Staat::N,дәүләт,κράτος
514,Staat::N,дәүләт,πολιτεία
515,König::N,король,βασιλιάς
516,Macht::N,власть,εξουσία
517,Grenze::N,сик,σύνορα
518,Krieg::N,һуғыш,πόλεμος
519,Feind::N,йылан,εχθρός
520,Gewalt::N,көслөк,βία
521,Kampf::N,көрәш,αγώνας
522,Bogen[Waffe]::N,йәйә,τόξο
523,Pfeil::N,уҡ,σαΐτα
524,Gewehr::N,мылтыҡ,τουφέκι
525,Fehler::N,хата,λάθος
526,Fehler::N,хата,σφάλμα
527,Lüge::N,ялған,ψέμα
528,Lüge::N,ялған,ψεύδος
529,Schaden::N,зыян,ζημία
530,Schaden::N,зарар,ζημία
531,Unglück::N,ҡаза,δυστυχία
532,Schuld::N,ғәйеп,ενοχή
533,Schuld::N,ғәйеп,φταίξιμο
534,Alter::N,йәш,ηλικία
535,Schluss::N,һуң,τέλος
536,Schluss::N,аҙаҡ,τέλος
537,Zeit::N,мәл,χρόνος
538,Zeit::N,заман,χρόνος
539,Tag::N,көн,μέρα
540,Tag::N,көн,ημέρα
541,Morgen::N,иртә,πρωί
542,Morgen::N,иртәнсәк,πρωί
543,Mittag::N,төш,μεσημέρι
544,Abend::N,кис,βράδυ
545,Nacht::N,төн,νύχτα
546,Woche::N,аҙна,εβδομάδα
547,Monat::N,ай,μήνας
548,Jahr::N,йыл,έτος
549,Jahr::N,йыл,χρόνος
550,Frühling::N,яҙ,άνοιξη
551,Sommer::N,йәй,καλοκαίρι
552,Herbst::N,көз,φθινόπωρο
553,Winter::N,ҡыш,χειμώνας
554,Januar::N,ғинуар,Ιανουάριος
555,Februar::N,февраль,Φεβρουάριος
556,März::N,март,Μάρτιος
557,April::N,апрель,Απρίλιος
558,Mai::N,май,Μάιος
559,Juni::N,июнь,Ιούνιος
560,Juli::N,июль,Ιούλιος
561,August::N,август,Αύγουστος
562,September::N,сентябрь,Σεπτέμβριος
563,Oktober::N,октябрь,Οκτώβριος
564,November::N,ноябрь,Νοέμβριος
565,Dezember::N,декабрь,Δεκέμβριος
566,Montag::N,дүшәмбе,Δευτέρα
567,Dienstag::N,шишәмбе,Τρίτη
568,Mittwoch::N,шаршамбы,Τετάρτη
569,Donnerstag::N,кесаҙна,Πέμπτη
570,Freitag::N,йома,Παρασκευή
571,Samstag::N,шәмбе,Σάββατο
572,Sonntag::N,йәкшәмбе,Κυριακή
573,groß::A,ҙур,μεγάλος
574,klein::A,бәләкәс,μικρός
575,lang::A,оҙон,μακρύς
576,kurz::A,ҡыҫҡа,κοντός
577,breit::A,киң,φαρδύς
578,schmal::A,тар,στενός
579,dicht::A,йыш,πυκνός
580,dicht::A,ҡуйы,πυκνός
581,dick[Gegenstand]::A,ҡалын,παχύς
582,dick[Gegenstand]::A,ҡалын,χοντρός
583,dünn::A,йоҡа,ψιλός
584,dünn::A,йоҡа,λεπτός
585,dünn::A,нәҙек,ψιλός
586,dünn::A,нәҙек,λεπτός
587,fein::A,нескә,ψιλός
588,fest::A,ныҡ,στερεός
589,flach::A,яҫы,επίπεδος
590,flach::A,ялпаҡ,επίπεδος
591,glatt::A,шыма,λείος
592,glatt::A,шыма,ομαλός
593,hart::A,ҡаты,σκληρός
594,weich::A,йомшаҡ,μαλακός
595,rund::A,түңәрәк,στρογγυλός
596,spitz::A,осло түбәле,μυτερός
597,scharf::A,үткер,κοφτερός
598,stumpf::A,утмәҫ,αμβλύς
599,schwer::A,ауыр,βαρύς
600,schön::A,матур,ωραίος
601,schön::A,матур,όμορφος
602,heiß::A,эҫе,ζεστός
603,warm::A,йылы,θερμός
604,kalt::A,һыуыҡ,κρύος
605,kalt::A,һыуыҡ,ψυχρός
606,kühl::A,һалҡынса,δροσερός
607,frisch::A,һалҡынса,νωπός
608,frisch::A,һалҡынса,φρέσκος
609,feucht::A,еүеш,υγρός
610,feucht::A,дымлы,υγρός
611,nass::A,еүеш,βρεγμένος
612,trocken::A,кипкән,ξηρός
613,trocken::A,кипкән,στεγνός
614,voll::A,тулы,γεμάτος
615,leer::A,буш,άδειος
616,offen::A,асыҡ,ανοιχτός
617,geschlossen::A,ябыҡ,κλειστός
618,sauber::A,таҙа,καθαρός
619,schmutzig::A,бысраҡ,βρώμικος
620,schmutzig::A,бысраҡ,λερωμένος
621,roh::A,сей,ωμός
622,reif::A,өлгөрғән,ώριμος
623,lecker::A,тәмле,νόστιμος
624,süß::A,тямле,γλυκός
625,süß::A,тәм-том,γλυκός
626,bitter::A,әсе,πικρός
627,sauer::A,әсе,ξινός
628,hell::A,яҡты,φωτεινός
629,dunkel::A,ҡараңғы,σκοτεινός
630,schwarz::A,ҡара,μαύρος
631,schwarz::A,ҡара,μελανός
632,weiß::A,аҡ,άσπρος
633,rot::A,матур,κόκκινος
634,rot::A,һылыу,κόκκινος
635,rot::A,сибәр,κόκκινος
636,gelb::A,һары,κίτρινος
637,blau::A,күк,μπλε
638,blau::A,күк,γαλανός
639,grün::A,йәшел,πράσινος
640,grau::A,буҙ,γκρίζος
641,bunt::A,сыбар,ποικιλόχρωπος
642,bunt::A,ала-ҡола,ποικιλόχρωπος
643,billig::A,арзан,φτηνός
644,teuer::A,ҡыйбатлы,ακριβός
645,wertvoll::A,ҡиммәтле,πολύτιμος
646,blind::A,һуҡыр,τυφλός
647,taub::A,һаңғырау,κουφός
648,kräftig::A,көслө,δυνατός
649,kräftig::A,ҡеүәтле,δυνατός
650,stark::A,көслө,γερός
651,stark::A,ҡеүәтле,γερός
652,schwach::A,көсһөҙ,αδύνατος
653,fett::A,һимеҙ,παχύς
654,schlank::A,зифа,λεπτός
655,schlank::A,зифа,λυγερός
656,hübsch::A,матур,όμορφος
657,hübsch::A,матур,χαριτωμένος
658,böse::A,асыулы,κακός
659,dumm::A,иҫәр,κουτός
660,dumm::A,иҫәр,ανόητος
661,faul::A,иренсәк,τεμπέλης
662,fleißig::A,тырыш,εργατικός
663,geizig::A,һаран,τσιγγούνης
664,klug::A,аҡыллы,έξυπνος
665,geschickt::A,оҫта,επιδέξιος
666,lieb::A,яғымлы,φίλος
667,lieb::A,яғымлы,αγαπητός
668,lustig::A,күңелле,εύθυμος
669,lustig::A,күңелле,χαρούμενος
670,sanft::A,йыуаш,ήπιος
671,hungrig::A,ас,πεινασμένος
672,krank::A,сирле,άρρωστος
673,krank::A,ауырыу,άρρωστος
674,nackt::A,яланғас,γυμνός
675,traurig::A,яманһыу,λυπημένος
676,lebendig::A,тере,ζωντανός
677,lebendig::A,йәнле,ζωντανός
678,gut::A,яҡшы,καλός
679,schlecht::A,хөрт,κακός
680,schlecht::A,алама,κακός
681,richtig::A,дөрөҫ,σωστός
682,schlimm::A,хөрт,άσχημος
683,schlimm::A,алама,άσχημος
684,wahr::A,дөрөҫ,αληθής
685,wahr::A,дөрөҫ,αληθινός
686,alt::A,иҫке,παλιός
687,alt::A,боронғо,παλιός
688,neu::A,яңы,νέος
689,neu::A,яңы,καινούργιος
690,ehemalig::A,элекке,παλιός
691,alt[Lebewesen]::A,ҡарт,γέρος
692,jung::A,йәш,νέος
693,arm::A,фәҡир,φτωχός
694,reich::A,бай,πλούσιος
