,Concept_ID,la,kn
103,Anhöhe::N,specula,ದಿಬ್ಬ
104,Berg::N,mons,ಮಲೆ
105,Berg::N,mons,ಪರ್ವತ
106,Gipfel::N,vertex,ಶೃಂಗ
107,Höhle::N,caverna,ಗುಹೆ
108,Höhle::N,spelunca,ಗುಹೆ
109,Abhang::N,declivum,ಇಳಿಜಾರು
110,Quelle::N,fons,ಮೂಲ
111,Bach::N,rivus,ತೊರೆ
112,Fluss::N,flumen,ನದಿ
113,Ufer::N,ripa,ತೀರ
114,Küste::N,litus,ದಂಡೆ
115,Festland::N,continens,ಭೂಮಿ
116,Meer::N,mare,ಕಡಲು
117,Bucht::N,sinus,ಖಾರಿ
118,Insel::N,insula,ದ್ವೀಪ
119,Blume::N,flos,ಸುಮ
120,Gras::N,herba,ಹುಲ್ಲು
121,Gras::N,gramen,ಹುಲ್ಲು
122,Wurzel::N,radix,ಬೇರು
123,Baum::N,arbor,ಮರ
124,Stamm::N,truncus,ಕಾಂಡ
125,Rinde::N,cortex,ತೂಗಟಿ
126,Ast::N,ramus,ಶಾಖೆ
127,Zweig::N,ramus,ರೆಂಬೆ
128,Blatt::N,folium,ಎಲೆ
129,Birke::N,betulla,ಬರ್ಚ್ ಮರ
130,Kiefer[Baum]::N,pinus,ದೇವದಾರು ಮರ
131,Weide[Baum]::N,salix,ವಿಲೋಮರ
132,Tanne::N,abies,ಭದ್ರದಾರು
133,Horn::N,cornu,ಕೊಂಬು
134,Feder::N,penna,ಪುಕ್ಕ
135,Fell::N,pellis,ರೋಮ
136,Flügel::N,ala,ರೆಕ್ಕೆ
137,Klaue::N,unguis,ಪಂಜ
138,Kralle::N,unguis,ಉಗುರು
139,Schwanz::N,cauda,ಬಾಲ
140,Ei::N,ovum,ಮೊಟ್ಟೆ
141,Nest::N,nidus,ಗೂಡು
142,Bau::N,cavum,ಅಡಗುದಾಣ
143,Bau::N,latibulum,ಅಡಗುದಾಣ
144,Tier::N,bestia,ಪ್ರಾಣಿ
145,Herde::N,grex,ಗುಂಪು
146,Kuh::N,vacca,ಹಸು
147,Bulle::N,taurus,ಗೂಳಿ
148,Pferd::N,equus,ಕುದುರೆ
149,Schaf::N,ovis,ಕುರಿ
150,Schwein::N,sus,ಹಂದಿ
151,Schwein::N,porcus,ಹಂದಿ
152,Hund::N,canis,ನಾಯಿ
153,Katze::N,felis,ಬೆಕ್ಕು
154,Bär::N,ursus,ಕರಡಿ
155,Eichhörnchen::N,sciurus,ಉಡುತೆ
156,Elch::N,alces,ಕಡವೆ
157,Fuchs::N,vulpes,ನರಿ
158,Hase::N,lepus,ಮೊಲ
159,Maus::N,mus,ಇಲಿ
160,Wolf::N,lupus,ತೋಳ
161,Vogel::N,avis,ಪಕ್ಷಿ
162,Schwarm::N,examen,ಗುಂಪು
163,Huhn::N,gallina,ಚಿಕ್
164,Hahn::N,gallus,ಹುಂಜ
165,Gans::N,anser,ವರಟೆ
166,Adler::N,aquila,ಗರುಡ
167,Ente::N,anas,ಬಾತು
168,Eule::N,ulula,ಗೂಬೆ
169,Eule::N,noctua,ಗೂಬೆ
170,Kranich::N,grus,ಕೊಕ್ಕರ
171,Krähe::N,cornix,ಕಾಗೆ
172,Kuckuck::N,cuculus,ಕೋಗಿಲೆ
173,Schwan::N,olor,ಹಂಸಪಕ್ಷಿ
174,Schwan::N,cycnus,ಹಂಸಪಕ್ಷಿ
175,Fisch::N,piscis,ಮೀನು
176,Barsch::N,perca,ಪರ್ಚ್ ಮೀನು
177,Hecht::N,esox,ಪೈಕ್ ಮೀನು
178,Schlange[Tier]::N,serpens,ಹಾವು
179,Wurm::N,vermis,ಹುಳು
180,Spinne::N,aranea,ಊರ್ಣನಾಭ
181,Ameise::N,formica,ಇರುವೆ
182,Laus::N,pediculus,ಹೇನು
183,Mücke::N,culex,ಸೊಳ್ಳೆ
184,Fliege::N,musca,ನೊಣ
185,Schmetterling::N,papilio,ಪತಂಗ
186,Beere::N,baca,ನಯವಣ್ಣು
187,Apfel::N,malum,ಸೇಬು
188,Pilz::N,fungus,ಅಣಬೆ
189,Zwiebel::N,cepa,ನೀರುಳ್ಳಿ
190,Saat::N,seges,ಬಿತ್ತ
191,Korn::N,granum,ಬೀಜ
192,Heu::N,faenum,ಕರಡ
193,Schale::N,putamen,ಹೊಟ್ಟು
194,Grube::N,fovea,ಗುಂಡಿ
195,Falle::N,pedica,ಬೋನು
196,Schlinge::N,laqueus,ಉರುಲು
197,Spur::N,vestigium,ಜಾಡು
198,Asche::N,cinis,ಬೂದಿ
199,Dreck::N,lutum,ಹೊಲಸು
200,Eisen::N,ferrum,ಕಬ್ಬಿಣ
201,Gold::N,aurum,ಚಿನ್ನ
202,Silber::N,argentum,ಬೆಳ್ಳಿ
203,Kohle::N,carbo,ಕಲ್ಲಿದ್ದಲು
204,Glas::N,vitrum,ಗಾಜು
205,Lehm::N,lutum,ಜೇಡಿಮಣ್ಣು
206,Sand::N,arena,ಮರಳು
207,Mensch::N,homo,ಪುರುಷ
208,Mann::N,vir,ಆಳು
209,Frau::N,mulier,ಹೆಣ್ಣು
210,Kind::N,puer,ಮಗು
211,Kind::N,infans,ಮಗು
212,Junge::N,puer,ಹುಡುಗ
213,Mädchen::N,puella,ಹುಡುಗಿ
214,Familie::N,familia,ಕುಟುಂಬ
215,Großvater::N,avus,ಅಜ್ಜ
216,Großmutter::N,avia,ಅಮ್ಮ
217,Eltern::N,parentes,ಹೆತ್ತವರು
218,Vater::N,pater,ತಂದೆ
219,Mutter::N,mater,ಅಮ್ಮ
220,Sohn::N,filius,ಮಗ 
221,Tochter::N,filia,ಮಗಳು
222,Bruder::N,frater,ತಮ್ಮ
223,Schwester::N,soror,ತಂಗಿ
224,Onkel::N,patruus,ಸೋದರಮಾವ
225,Onkel::N,patruus,ದೊಡ್ಡಪ್ಪ
226,Onkel::N,avunculus,ಸೋದರಮಾವ
227,Onkel::N,avunculus,ದೊಡ್ಡಪ್ಪ
228,Tante::N,amita,ಚಿಕ್ಕಮ್ಮ
229,Ehemann::N,maritus,ಗಂಡ
230,Ehefrau::N,uxor,ಹೆಂಡತಿ
231,Freude::N,gaudium,ನಲಿವು
232,Freude::N,laetitia,ನಲಿವು
233,Gelächter::N,risus,ನಗೆ
234,Glück::N,felicitas,ಆನಂದ
235,Kummer::N,aegritudo,ದುಃಖ
236,Wunsch::N,voluntas,ಬಯಕೆ
237,Wunsch::N,desiderium,ಬಯಕೆ
238,Lust::N,libido,ಇಷ್ಟ
239,Lust::N,voluptas,ಇಷ್ಟ
240,Geist::N,mens,ಆತ್ಮ
241,Geist::N,animus,ಆತ್ಮ
242,Gedanke::N,sententia,ಯೋಚನೆ
243,Gedächtnis::N,memoria,ಸ್ಮರಣೆ
244,Verstand::N,ratio,ಮನಸ್ಸು
245,Verstand::N,ingenium,ಮನಸ್ಸು
246,Sinn::N,sensus,ಅರ್ಥ
247,Grund::N,causa,ಕಾರಣ
248,Wahrheit::N,veritas,ಸತ್ಯ
249,Gespräch::N,sermo,ಸಂಭಾಷಣೆ
250,Märchen::N,fabula,ಸುಳ್ಳು ಕಥೆ
251,Erzählung::N,fabula,ಕಥೆ
252,Erzählung::N,narratio,ಕಥೆ
253,Nachricht::N,nuntius,ಸಂದೇಶ
254,Neuigkeit::N,novitas,ಸುದ್ದಿ
255,Name::N,nomen,ಹೆಸರು
256,Rätsel::N,aenigma,ಒಗಟು
257,Rede::N,oratio,ಮಾತು
258,Sprache::N,lingua,ಭಾಷೆ
259,Stimme::N,vox,ಧ್ವನಿ
260,Wort::N,verbum,ಮಾತು
261,Wort::N,vocabulum,ಮಾತು
262,Zeichen::N,signum,ಗುರುತು
263,Ruf::N,clamor,ಕೂಗು
264,Lärm::N,strepitus,ಸದ್ದು
265,Laut::N,sonus,ಶಬ್ದ
266,Ton::N,sonus,ನಾದ
267,Lied::N,carmen,ಗಾನ
268,Ruhe::N,quies,ಶಾಂತಿ
269,Leute::N,homines,ಮಂದಿ
270,Volk::N,populus,ಜನಾಂಗ
271,Arbeit::N,labor,ಕೆಲಸ
272,Gast::N,hospes,ಅತಿಥಿ
273,Gast::N,conviva,ಅತಿಥಿ
274,Geschenk::N,munus,ಕಾಣಿಕೆ
275,Spiel::N,ludus,ಆಟ
276,Gesellschaft::N,societas,ಸಂಗ
277,Hilfe::N,auxilium,ಸಹಾಯ
278,Hilfe::N,subsidium,ಸಹಾಯ
279,Freund::N,amicus,ಸ್ನೇಹಿತ
280,Kamerad::N,socius,ಜೊತೆಗಾರ
281,Angelegenheit::N,res,ವಿಚಾರ
282,Anzahl::N,numerus,ಎಣಿಕೆ
283,Art::N,genus,ತರ
284,Stück::N,frustum,ತುಂಡು
285,Stück::N,fragmentum,ತುಂಡು
286,Teil::N,pars,ಭಾಗ
287,Hälfte::N,dimidium,ಅರ್ಧ
288,Kreis::N,orbis,ವೃತ್ತ
289,Kreis::N,circus,ವೃತ್ತ
290,Kreuz::N,crux,ಶಿಲುಬೆ
291,Linie::N,linea,ರೀಖೆ
292,Strich::N,lineamentum,ಗೀಟು
293,Abstand::N,intervallum,ಅಂತರ
294,Entfernung::N,spatium,ದೂರ
295,Gegend::N,loca,ವಿಸ್ತೀರ್ಣ
296,Gegend::N,regio,ವಿಸ್ತೀರ್ಣ
297,Platz::N,locus,ಅಂತರ
298,Ort::N,locus,ಸ್ಥಳ
299,Seite::N,latus,ಪಕ್ಷ
300,Mitte::N,medium,ನಡು
301,Gegenstand::N,res,ವಸ್ತು
302,Sache::N,res,ವಸ್ತು
303,Rand::N,margo,ಅಂಚು
304,Kante::N,angulus,ಅಂಚು
305,Ecke::N,angulus,ಮೂಲೆ
306,Spitze::N,cacumen,ತುದಿ
307,Ende::N,caput,ಕೊನೆ
308,Loch::N,foramen,ತೂತು
309,Winkel::N,angulus,ಕೋನ
310,Muster::N,exemplum,ನಮೂನೆ
311,Größe::N,magnitudo,ಪ್ರಮಾಣ
312,Länge::N,longitudo,ಉದ್ದ
313,Höhe::N,altitudo,ಎತ್ತರ
314,Gewicht::N,pondus,ತೂಕ
315,Menge::N,copia,ಮೊತ್ತ
316,Haufen::N,acervus,ರಾಶಿ
317,Reihe::N,ordo,ಸಾಲು
318,Boot::N,navicula,ದೋಣಿ
319,Ruder::N,remus,ಹುಟ್ಟು
320,Schlitten::N,sclodia,ಚಕ್ರವಿಲ್ಲದ ಜಾರುಬಮ್ಡಿ
321,Ski::N,narta,ಜಾರುಪಟ್ಟಿ
322,Lagerfeuer::N,ignis,ಶಿಬಿರಾಗ್ನಿ
323,Last::N,onus,ಹೊರೆ
324,Gang::N,cursus,ತಿರುಗಾಟ
325,Schritt::N,gradus,ಹೆಜ್ಜೆ
326,Norden::N,septentriones,ಉತ್ತರ
327,Süden::N,meridies,ದಕ್ಷಿಣ
328,Westen::N,occidens,ಪಶ್ಚಿಮ
329,Osten::N,oriens,ಮೂಡಲು
330,Holz::N,lignum,ಚೌಬೀನೆ
331,Brett::N,tabula,ಹಲಗೆ
332,Platte::N,lamina,ಹಲಗೆ
333,Stütze::N,adminiculum,ಆಸರೆ
334,Stange::N,pertica,ಕಂಬ
335,Stock::N,baculum,ಕೋಲು
336,Stab::N,scipio,ದೊಣ್ಣೆ
337,Rohr::N,tubus,ನಳಿಕೆ
338,Haus::N,aedes,ಮನೆ
339,Heim::N,domicilium,ಗೃಹ
340,Ofen::N,fornax,ಒಲೆ
341,Fußboden::N,solum,ನೆಲ
342,Tisch::N,mensa,ಮೇಜು
343,Stuhl::N,sella,ಕುರ್ಚಿ
344,Wiege::N,cunae,ತೊಟ್ಟಿಲು
345,Bett::N,lectus,ಹಾಸಿಗೆ
346,Regal::N,foruli,ಬೀರು
347,Kiste::N,cista,ಪಟ್ಟಿಗೆ
348,Fenster::N,fenestra,ಕಿಟಕಿ
349,Tür::N,ianua,ಬಾಗಿಲು
350,Tor::N,porta,ಹೆಬ್ಬಾಗಿಲು
351,Zaun::N,saepes,ಬೇಲಿ
352,Dach::N,tectum,ಮಾಳಿಗೆ
353,Leiter::N,scalae,ಏಣಿ
354,Besen::N,scopae,ಪೊರಕೆ
355,Spaten::N,pala,ಗುದ್ದಲಿ
356,Schaufel::N,pala,ಸನಿಕೆ
357,Gabel::N,fuscinula,ಕವಲು
358,Löffel::N,coclear,ಚಮಚ
359,Messer::N,culter,ಚಾಕು
360,Nagel::N,clavus,ಆಣಿ
361,Netz::N,rete,ಬಲೆ
362,Haken::N,hamus,ಕೊಂಡಿ
363,Griff::N,manubrium,ಹಿಡಿ
364,Schloss::N,claustra,ವೀಗ
365,Bild::N,tabula,ಚಿತ್ರ
366,Bild::N,pictura,ಚಿತ್ರ
367,Figur::N,statunculum,ಆಕಾರ
368,Puppe::N,pupa,ಗೊಂಬೆ
369,Beutel::N,sacculus,ಸಂಚಿ
370,Bündel::N,fascis,ಕಟ್ಟು
371,Tasche::N,sacculus,ಚೀಲ
372,Eimer::N,situla,ಬಾನೆ
373,Deckel::N,operculum,ಮುಚ್ಚಳ
374,Geschirr::N,vasa,ಭಕ್ಷ್ಯಗಳು
375,Sack::N,saccus,ಮೂಟೆ
376,Tasse::N,pocillum,ಬಟ್ಟಲು
377,Topf::N,olla,ಮಡಕೆ
378,Kessel::N,aenum,ಕೆಟಲ್
379,Essen::N,cena,ಊಟ
380,Nahrung::N,cibus,ಆಹಾರ
381,Nahrung::N,alimenta,ಆಹಾರ
382,Speise::N,cibus,ಊಟ
383,Fleisch::N,caro,ಮಾಂಸ
384,Getreide::N,frumentum,ಧಾನ್ಯ
385,Brei::N,puls,ಗಂಜಿ
386,Brot::N,panis,ರೊಟ್ಟಿ
387,Scheibe::N,frustum,ಹೋಳು
388,Fett::N,pingue,ಕೊಬ್ಬು
389,Butter::N,butȳrum,ಬೆಣ್ಣೆ
390,Öl::N,oleum,ಎಣ್ಣೆ
391,Salz::N,sal,ಉಪ್ಪು
392,Suppe::N,ius,ಎಸರು
393,Honig::N,mel,ಮಧು
394,Milch::N,lac,ಹಾಲು
395,Tee::N,thea,ಚಹ
396,Leder::N,corium,ಚಕ್ಕಳ
397,Wolle::N,lana,ಉಣ್ಣೆ
398,Stoff::N,textum,ಬಟ್ಟೆ
399,Nadel::N,acus,ಸೂಜಿ
400,Faden::N,filum,ದಾರ
401,Knopf::N,bulla,ಗುಂಡು
402,Knoten::N,nodus,ಗಂಟು
403,Farbe::N,pigmentum,ಬಣ್ಣ
404,Kleidung::N,vestimenta,ಅರಿವೆ
405,Hemd::N,tunica,ಅಂಗಿ
406,Kragen::N,collare,ಕುತ್ತಿಗೆಪಟ್ಟಿ
407,Ärmel::N,manica,ತೋಳು
408,Hose::N,bracae,ಇಜಾರ
409,Gürtel::N,cingulum,ಬೆಲ್ಟು
410,Mütze::N,pilleus,ಟೋಪಿ
411,Schuh::N,calceus,ಪಾದರಕ್ಷೆ
412,Stiefel::N,pero,ಬೂಟು
413,Stiefel::N,caliga,ಬೂಟು
414,Ring::N,anulus,ಉಂಗುರ
415,Band::N,redimiculum,ರಿಬ್ಬನ್
416,Kamm::N,pecten,ಹಣಿಗೆ
417,Spiegel::N,speculum,ಕನ್ನಡಿ
418,Riemen::N,lorum,ಬಾರು
419,Schnur::N,linum,ಹುರಿ
420,Leine::N,retinaculum,ಹಗ್ಗ
421,Decke::N,lodix,ಕಂಬಳಿ
422,Kissen::N,pulvinus,ದಿಂಬು
423,Tuch::N,velum,ಕೊರಳ ಬಟ್ಟೆ
424,Handtuch::N,mantele,ಚೌಕ
425,Kraft::N,vis,ಬಲ
426,Stärke::N,robur,ಶಕ್ತಿ
427,Gesundheit::N,valetudo,ಆರೋಗ್ಯ
428,Krankheit::N,morbus,ರೋಗ
429,Schmerz::N,dolor,ನೋವು
430,Wunde::N,vulnus,ಗಾಯ
431,Fieber::N,febris,ಜ್ವರ
432,Arznei::N,remedium,ಔಷಧ
433,Brücke::N,pons,ಸೇತುವೆ
434,Brunnen::N,puteus,ಬಾವಿ
435,Weide::N,pascua,ಗೋಮಾಳ
436,Pfad::N,semita,ದಾರಿ
437,Weg::N,iter,ಹಾದಿ
438,Straße::N,via,ರಸ್ತೆ
439,Dorf::N,vicus,ಹಳ್ಳಿ
440,Stadt::N,urbs,ಪಟ್ಟಣ
441,Stadt::N,oppidum,ಪಟ್ಟಣ
442,Brief::N,epistula,ಕಾಗದ
443,Buch::N,liber,ಪುಸ್ತಕ
444,Buchstabe::N,littera,ಅಕ್ಷರ
445,Zeitung::N,diurnum,ವಾರ್ತಾಪತ್ರಿಕೆ
446,Leben::N,vita,ಜೀವನ
447,Tod::N,mors,ಮರಣ
448,Grab::N,sepulcrum,ಗೋರಿ
449,Kirche::N,ecclesia,ಚರ್ಚು
450,Sünde::N,peccatum,ಪಾಪ
451,Gott::N,deus,ದೇವರು
452,Arbeiter::N,operarius,ಕೆಲಸಗಾರ
453,Chef::N,praefectus,ದಣಿ
454,Meister::N,magister,ಶಿಕ್ಷಕ
455,Arzt::N,medicus,ವೈದ್ಯ
456,Lehrer::N,magister,ಉಪಾಧ್ಯಾಯ
457,Geld::N,aes,ಹಣ
458,Geld::N,pecunia,ಹಣ
459,Geschäft::N,negotium,ವಾಣಿಜ್ಯ
460,Laden::N,taberna,ಅಂಗಡಿ
461,Preis::N,pretium,ಬೆಲೆ
462,Ware::N,merx,ಸರಕು
463,Nutzen::N,utilitas,ಲಾಭ
464,Reichtum::N,opes,ಸಂಪತ್ತು
465,Reichtum::N,divitiae,ಸಂಪತ್ತು
466,Welt::N,mundus,ಭೂಲೋಕ
467,Land::N,terra,ದೇಶ
468,Staat::N,res publica,ರಾಜ್ಯ
469,König::N,rex,ರಾಜ
470,Macht::N,potestas,ಅಧಿಕಾರ
471,Grenze::N,limes,ಗಡಿ
472,Krieg::N,bellum,ಯುದ್ಧ
473,Feind::N,inimicus,ಶತ್ರು
474,Gewalt::N,vis,ಹಿಂಸೆ
475,Kampf::N,pugna,ಹೋರಾಟ
476,Bogen[Waffe]::N,arcus,ಬಿಲ್ಲು
477,Pfeil::N,sagitta,ಅಂಬು
478,Gewehr::N,sclopetum,ಬಂದೂಕು
479,Fehler::N,error,ತಪ್ಪು
480,Lüge::N,mendacium,ಸುಳ್ಳು
481,Schaden::N,damnum,ಹಾನಿ
482,Schaden::N,detrimentum,ಹಾನಿ
483,Unglück::N,miseria,ಅಪಾಯ
484,Unglück::N,calamitas,ಅಪಾಯ
485,Schuld::N,culpa,ದೋಷ
486,Alter::N,aetas,ಮುಪ್ಪು
487,Schluss::N,finis,ಮುಕ್ತಾಯ
488,Zeit::N,tempus,ಕಾಲ
489,Tag::N,dies,ದಿನ
490,Morgen::N,mane,ಮುಂಜಾನೆ
491,Mittag::N,meridies,ನಡುಹಗಲು
492,Abend::N,vesper,ಸಂಜೆ
493,Nacht::N,nox,ರಾತ್ರಿ
494,Woche::N,septimana,ವಾರ
495,Monat::N,mensis,ತಿಂಗಳು
496,Jahr::N,annus,ಸಂವತ್ಸರ
497,Frühling::N,ver,ವಸಂತ
498,Sommer::N,aestas,ಬಿಸಿಲುಕಾಲ
499,Herbst::N,autumnus,ಶರತ್ಕಾಲ
500,Winter::N,hiems,ಚಳಿಗಾಲ
501,Januar::N,Ianuarius,ನಾಲ್ಚಳಿ
502,Februar::N,Februarius,ಅಯ್ಚಳಿ
503,März::N,Martius,ಮೊಬ್ಬೇಸಿಗೆ
504,April::N,Aprilis,ಇಬ್ಬೇಸಿಗೆ
505,Mai::N,Maius,ಮುಬ್ಬೇಸಿಗೆ
506,Juni::N,Iunius,ಮೊಮ್ಮಳೆ
507,Juli::N,Iulius,ಇಮ್ಮಳೆ
508,August::N,Augustus,ಮುಮ್ಮಳೆ
509,September::N,September,ನಾಲ್ಮಳೆ
510,Oktober::N,Octobris,ಮೊಚ್ಚಳಿ
511,November::N,Novembris,ಇಚ್ಚಳಿ
512,Dezember::N,December,ಮುಚ್ಚಳಿ
513,Montag::N,dies lunae,ಸೋಮುವಾರ
514,Dienstag::N,dies Martis ,ಮಂಗಳವಾರ
515,Mittwoch::N,dies Mercurii,ಬುಧವಾರ
516,Donnerstag::N,dies Iovis,ಗುರುವಾರ
517,Freitag::N,dies Veneris,ಶುಕ್ರವಾರ
518,Samstag::N,dies Saturni,ಶನಿವಾರ
519,Sonntag::N,dominicus,ಭಾನುವಾರ
520,Sonntag::N,dies solis,ಭಾನುವಾರ
521,groß::A,magnus,ದೊಡ್ಡ
522,klein::A,parvus,ಪುಟ್ಟ
523,lang::A,longus,ದೀರ್ಘ
524,kurz::A,brevis,ಚಕ್ಕ
525,breit::A,latus,ಅಗಲವಾದ
526,schmal::A,angustus,ಇಕ್ಕಟ್ಟಾದ
527,dicht::A,densus,ದಟ್ಟ
528,dick[Gegenstand]::A,crassus,ದಟ್ಟ
529,dünn::A,tenuis,ತೆಳು
530,fein::A,subtilis,ಕೋಮಲ
531,fest::A,solidus,ಘನ
532,fest::A,stabilis,ಘನ
533,flach::A,planus,ಚಪ್ಪಟೆ
534,glatt::A,levis,ನಯ
535,hart::A,durus,ಗಟ್ಟಿ
536,weich::A,mollis,ಮೃದುವಾದ
537,rund::A,rotundus,ವರ್ತುಳ
538,spitz::A,acutus,ಮೊನಚಾದ
539,scharf::A,acer,ತೀಕ್ಷ್ಣ
540,stumpf::A,hebes,ಮೊಂಡು
541,schwer::A,gravis,ಭಾರಿ
542,schön::A,pulcher,ಸುಂದರ
543,schön::A,formosus,ಸುಂದರ
544,heiß::A,fervidus,ಬಿಸಿ
545,warm::A,calidus,ಬಿಸಿ
546,kalt::A,frigidus,ತಣ್ಣನೆಯ
547,kühl::A,frigidus,ತಂಪಾದ
548,frisch::A,recens,ನಿರ್ಮಲ
549,feucht::A,umidus,ಒದ್ದೆಯಾದ
550,nass::A,madidus,ಒದ್ದೆಯಾದ
551,trocken::A,aridus,ಶುಷ್ಕ
552,voll::A,plenus,ತುಂಬಿದ
553,leer::A,vacuus,ಖಾಲಿ
554,offen::A,apertus,ಮುಚ್ಚಲ್ಲದ
555,geschlossen::A,clausus,ಮುಚ್ಚಿದ
556,sauber::A,lautus,ಶುದ್ಧ
557,schmutzig::A,sordidus,ಅಶುದ್ಧ
558,roh::A,crudus,ಹಸಿ
559,reif::A,maturus,ಹಣ್ಣಾದ
560,lecker::A,delicatus,ಗುಚಿಕರ
561,süß::A,dulcis,ಸಿಹಿ
562,bitter::A,amarus,ಕಹಿ
563,bitter::A,acerbus,ಕಹಿ
564,sauer::A,acidus,ಹುಳಿಯಾದ
565,hell::A,clarus,ಹೊಳೆಯುವ
566,dunkel::A,obscurus,ಮಬ್ಬಾದ
567,schwarz::A,niger,ಕಪ್ಪು
568,weiß::A,albus,ಬಿಳಿಯ
569,rot::A,ruber,ಕೆಂಪು
570,gelb::A,flavus,ಹಳದಯ
571,blau::A,caeruleus,ನೀಲ
572,grün::A,viridis,ಕಾಯಾದ
