,Concept_ID,sl,nl
95,Donner::N,gròm,donder
96,Strömung::N,strúja,stroming
97,Tropfen::N,káplja,druppel
98,Schaum::N,péna,schuim
99,Schmutz::N,nesnága,vuil
100,See::N,jézero,meer
101,Sumpf::N,močvírje,moeras
102,Moor::N,bárje,veen
103,Wiese::N,trávnik,wei
104,Wiese::N,trávnik,weide
105,Wald::N,lés,bos
106,Wald::N,gòzd,bos
107,Hügel::N,brég,heuvel
108,Hügel::N,goríca,heuvel
109,Anhöhe::N,gríč,hoogte
110,Anhöhe::N,višína,hoogte
111,Berg::N,gôra,berg
112,Berg::N,planína,berg
113,Gipfel::N,vŕh,top
114,Höhle::N,jáma,hol
115,Höhle::N,votlína,hol
116,Abhang::N,pobóčje,helling
117,Quelle::N,izvír,bron
118,Bach::N,pôtok,beek
119,Fluss::N,réka,stroom
120,Ufer::N,brég,wal
121,Ufer::N,brég,oever
122,Küste::N,obála,kust
123,Küste::N,obréžje,kust
124,Festland::N,celína,vasteland
125,Festland::N,kopnína,vasteland
126,Meer::N,mórje,zee
127,Bucht::N,zalív,baai
128,Bucht::N,zalív,inham
129,Insel::N,ôtok,eiland
130,Blume::N,cvetlíca,bloem
131,Gras::N,tráva,gras
132,Wurzel::N,korenína,wortel
133,Baum::N,drevó,boom
134,Stamm::N,dêblo,stam
135,Rinde::N,lúbje,schors
136,Rinde::N,skórja,schors
137,Ast::N,véja,tak
138,Zweig::N,véja,twijg
139,Blatt::N,líst,blad
140,Birke::N,bréza,berk
141,Kiefer[Baum]::N,bòr,den
142,Weide[Baum]::N,vŕba,wilg
143,Tanne::N,hója,spar
144,Horn::N,róg,hoorn
145,Feder::N,peró,veer
146,Feder::N,peró,pluim
147,Fell::N,kŕzno,vel
148,Flügel::N,krílo,vleugel
149,Klaue::N,párkelj,klauw
150,Kralle::N,krémpelj,klauw
151,Schwanz::N,rèp,staart
152,Ei::N,jájce,ei
153,Nest::N,gnézdo,nest
154,Bau::N,brlòg,hol
155,Tier::N,živál,dier
156,Herde::N,čréda,kudde
157,Kuh::N,kráva,koe
158,Bulle::N,bìk,stier
159,Pferd::N,kònj,paard
160,Schaf::N,ôvca,schaap
161,Schwein::N,svínja,varken
162,Hund::N,pès,hond
163,Katze::N,máčka,kat
164,Bär::N,mêdved,beer
165,Eichhörnchen::N,véverica,eekhoorntje
166,Elch::N,lós,eland
167,Fuchs::N,lisíca,vos
168,Hase::N,zájec,haas
169,Maus::N,mìš,muis
170,Wolf::N,vólk,wolf
171,Vogel::N,ptìč,vogel
172,Vogel::N,ptíca,vogel
173,Schwarm::N,játa,zwerm
174,Huhn::N,kokóš,kip
175,Huhn::N,kokóš,hoen
176,Hahn::N,petêlin,haan
177,Gans::N,gós,gans
178,Adler::N,ôrel,arend
179,Ente::N,ráca,eend
180,Eule::N,sôva,uil
181,Kranich::N,žerjàv,kraanvogel
182,Krähe::N,vrána,kraai
183,Kuckuck::N,kúkavica,koekoek
184,Schwan::N,labód,zwaan
185,Fisch::N,ríba,vis
186,Barsch::N,ostríž,baars
187,Hecht::N,ščúka,snoek
188,Schlange[Tier]::N,káča,slang
189,Wurm::N,čr̀v,worm
190,Wurm::N,glísta,worm
191,Spinne::N,pájek,spin
192,Ameise::N,mrávlja,mier
193,Laus::N,úš,luis
194,Mücke::N,komár,mug
195,Fliege::N,múha,vlieg
196,Schmetterling::N,metúlj,vlinder
197,Beere::N,jágoda,bes
198,Apfel::N,jábolko,appel
199,Pilz::N,góba,paddestoel
200,Zwiebel::N,čebúla,ui
201,Saat::N,séme,zaad
202,Korn::N,zŕno,graan
203,Korn::N,zŕno,korrel
204,Heu::N,senó,hooi
205,Schale::N,lupína,schil
206,Grube::N,jáma,kuil
207,Falle::N,pást,val
208,Schlinge::N,zánka,strop
209,Schlinge::N,pêtlja,strop
210,Spur::N,sléd,spoor
211,Asche::N,pepél,as
212,Dreck::N,bláto,drek
213,Eisen::N,želézo,ijzer
214,Gold::N,zlató,goud
215,Silber::N,srebró,zilver
216,Kohle::N,ógel,kool
217,Glas::N,stêklo,glas
218,Lehm::N,ílo,klei
219,Sand::N,pések,zand
220,Mensch::N,člôvek,mens
221,Mann::N,móž,man
222,Mann::N,môški,man
223,Frau::N,gospá,vrouw
224,Frau::N,žénska,vrouw
225,Kind::N,déte,kind
226,Kind::N,otròk,kind
227,Junge::N,fànt,jongen
228,Junge::N,déček,jongen
229,Mädchen::N,deklè,meisje
230,Mädchen::N,déklica,meisje
231,Familie::N,družína,gezin
232,Familie::N,družína,familie
233,Großvater::N,dèd,grootvader
234,Großvater::N,dédek,grootvader
235,Großmutter::N,bábica,grootmoeder
236,Eltern::N,stárši,ouders
237,Vater::N,ôče,vader
238,Mutter::N,máma,moeder
239,Sohn::N,sín,zoon
240,Tochter::N,hčí,dochter
241,Tochter::N,hčérka,dochter
242,Bruder::N,bràt,broer
243,Bruder::N,bràt,broeder
244,Schwester::N,sêstra,zus
245,Schwester::N,sêstra,zuster
246,Onkel::N,újec,oom
247,Onkel::N,stríc,oom
248,Tante::N,têta,tante
249,Tante::N,strína,tante
250,Ehemann::N,móž,echtgenoot
251,Ehemann::N,sopróg,echtgenoot
252,Ehefrau::N,žêna,echtgenote
253,Ehefrau::N,sopróga,echtgenote
254,Freude::N,rádost,vreugde
255,Freude::N,vesêlje,vreugde
256,Gelächter::N,sméh,gelach
257,Gelächter::N,grohòt,gelach
258,Glück::N,sréča,geluk
259,Kummer::N,gorjé,verdriet
260,Wunsch::N,žêlja,wens
261,Wunsch::N,žêlja,verlangen
262,Lust::N,poželênje,zin
263,Lust::N,poželênje,lust
264,Geist::N,dúša,geest
265,Gedanke::N,mísel,gedachte
266,Gedächtnis::N,pámet,geheugen
267,Sinn::N,pomèn,betekenis
268,Sinn::N,smísel,betekenis
269,Grund::N,vzròk,reden
270,Wahrheit::N,resníca,waarheid
271,Gespräch::N,pogóvor,gesprek
272,Märchen::N,právljica,sprookje
273,Erzählung::N,povést,verhaal
274,Nachricht::N,sporočílo,tijding
275,Neuigkeit::N,novóst,nieuws
276,Neuigkeit::N,novóst,nieuwtje
277,Name::N,imé,naam
278,Rätsel::N,ugánka,raadsel
279,Rede::N,góvor,rede
280,Sprache::N,jêzik,taal
281,Stimme::N,glás,stem
282,Wort::N,beséda,woord
283,Zeichen::N,znák,teken
284,Ruf::N,klíc,roep
285,Lärm::N,hrúp,lawaai
286,Lärm::N,trúšč,lawaai
287,Laut::N,glás,klank
288,Laut::N,glás,geluid
289,Ton::N,tón,toon
290,Ton::N,tón,klank
291,Lied::N,pésem,lied
292,Ruhe::N,pokòj,rust
293,Ruhe::N,pokòj,stilte
294,Leute::N,ljudjé,lui
295,Leute::N,ljudjé,mensen
296,Volk::N,národ,volk
297,Arbeit::N,délo,werk
298,Arbeit::N,délo,arbeid
299,Gast::N,gòst,gast
300,Geschenk::N,darílo,cadeau
301,Geschenk::N,darílo,geschenk
302,Spiel::N,ígra,spel
303,Gesellschaft::N,drúžba,gezelschap
304,Hilfe::N,pomóč,hulp
305,Freund::N,prijátelj,vriend
306,Kamerad::N,továriš,maat
307,Kamerad::N,továriš,metgezel
308,Angelegenheit::N,zadéva,zaak
309,Angelegenheit::N,zadéva,aangelegenheid
310,Anzahl::N,števílo,tal
311,Anzahl::N,števílo,aantal
312,Art::N,vŕsta,slag
313,Art::N,vŕsta,soort
314,Stück::N,kós,stuk
315,Teil::N,dél,deel
316,Hälfte::N,polovíca,helft
317,Kreis::N,króg,kring
318,Kreis::N,króg,cirkel
319,Kreis::N,kolobár,kring
320,Kreis::N,kolobár,cirkel
321,Kreuz::N,kríž,kruis
322,Linie::N,próga,lijn
323,Strich::N,čŕta,haal
324,Strich::N,čŕta,streep
325,Abstand::N,preslédek,afstand
326,Entfernung::N,oddáljenost,afstand
327,Gegend::N,kràj,streek
328,Gegend::N,dežêla,streek
329,Platz::N,prôstor,ruimte
330,Ort::N,mésto,oord
331,Ort::N,mésto,plaats
332,Seite::N,bòk,zij
333,Seite::N,bòk,kant
334,Seite::N,bòk,zijde
335,Seite::N,strán,zij
336,Seite::N,strán,kant
337,Seite::N,strán,zijde
338,Mitte::N,sredína,midden
339,Gegenstand::N,prédmet,voorwerp
340,Sache::N,réč,zaak
341,Sache::N,stvár,zaak
342,Rand::N,kràj,rand
343,Rand::N,kràj,boord
344,Kante::N,rób,kant
345,Ecke::N,vogál,hoek
346,Spitze::N,óst,punt
347,Spitze::N,óst,spits
348,Ende::N,kônec,einde
349,Ende::N,kônec,uiteinde
350,Loch::N,lúknja,gat
351,Winkel::N,kót,hoek
352,Muster::N,vzórec,dessin
353,Muster::N,vzórec,patroon
354,Größe::N,veličína,grootte
355,Länge::N,dolžína,lengte
356,Höhe::N,vršína,hoogte
357,Gewicht::N,téža,gewicht
358,Menge::N,količína,hoeveelheid
359,Haufen::N,kùp,hoop
360,Haufen::N,kopíca,hoop
361,Reihe::N,níz,rij
362,Reihe::N,níz,reeks
363,Reihe::N,vŕsta,rij
364,Reihe::N,vŕsta,reeks
365,Boot::N,čóln,boot
366,Ruder::N,vêslo,roeiriem
367,Schlitten::N,saní,slee
368,Schlitten::N,saní,slede
369,Ski::N,smučí,ski
370,Lagerfeuer::N,táborni ôgenj,kampvuur
371,Last::N,tôvor,last
372,Last::N,tôvor,vracht
373,Gang::N,hòd,wandeling
374,Schritt::N,korák,stap
375,Schritt::N,korák,schrede
376,Norden::N,séver,noorden
377,Süden::N,júg,zuiden
378,Westen::N,zapàd,westen
379,Osten::N,vzhòd,oosten
380,Holz::N,lés,hout
381,Brett::N,deskà,plank
382,Platte::N,plôča,plaat
383,Stütze::N,opóra,stut
384,Stütze::N,opóra,steun
385,Stütze::N,zaslómba,stut
386,Stütze::N,zaslómba,steun
387,Stange::N,gréd,stang
388,Stock::N,pálica,stok
389,Stab::N,pálica,staf
390,Rohr::N,cév,pijp
391,Haus::N,híša,huis
392,Heim::N,dóm,tehuis
393,Ofen::N,péč,kachel
394,Fußboden::N,pòd,vloer
395,Tisch::N,míza,tafel
396,Stuhl::N,stòl,stoel
397,Wiege::N,zíbel,wieg
398,Bett::N,póstelja,bed
399,Regal::N,políca,rek
400,Kiste::N,zabòj,kist
401,Fenster::N,ôkno,raam
402,Fenster::N,ôkno,venster
403,Tür::N,vráta,deur
404,Tor::N,velíka vráta,poort
405,Zaun::N,ográja,omheining
406,Dach::N,stréha,dak
407,Leiter::N,léstev,ladder
408,Besen::N,mêtla,bezem
409,Spaten::N,lopáta,schop
410,Schaufel::N,lopáta,schep
411,Gabel::N,vílice,vork
412,Löffel::N,žlíca,lepel
413,Messer::N,nòž,mes
414,Nagel::N,žebèlj,spijker
415,Netz::N,mréža,net
416,Haken::N,kljúka,haak
417,Griff::N,ročáj,handvat
418,Griff::N,oprijèm,handvat
419,Schloss::N,ključávnica,slot
420,Bild::N,slíka,beeld
421,Figur::N,figúra,figuur
422,Figur::N,postáva,figuur
423,Puppe::N,lútka,pop
424,Beutel::N,môšnja,zak
425,Beutel::N,môšnja,buidel
426,Bündel::N,cúla,pak
427,Bündel::N,cúla,bundel
428,Bündel::N,svéženj,pak
429,Bündel::N,svéženj,bundel
430,Tasche::N,tórba,tas
431,Tasche::N,tobôlec,tas
432,Eimer::N,vêdro,emmer
433,Deckel::N,pokròv,deksel
434,Deckel::N,poklópec,deksel
435,Geschirr::N,posóda,vaatwerk
436,Sack::N,vréča,zak
437,Tasse::N,skodélica,kop
438,Topf::N,lônec,pan
439,Kessel::N,kôtel,ketel
440,Essen::N,hrána,eten
441,Nahrung::N,živílo,voedsel
442,Speise::N,jéd,spijs
443,Fleisch::N,mesó,vlees
444,Getreide::N,žíto,graan
445,Brei::N,káša,pap
446,Brei::N,káša,brij
447,Brot::N,krùh,brood
448,Scheibe::N,réženj,plak
449,Scheibe::N,réženj,snede
450,Fett::N,mást,vet
451,Fett::N,maščôba,vet
452,Butter::N,máslo,boter
453,Öl::N,ólje,olie
454,Salz::N,sól,zout
455,Suppe::N,júha,soep
456,Honig::N,méd,honing
457,Milch::N,mléko,melk
458,Tee::N,čáj,thee
459,Leder::N,úsnje,leer
460,Leder::N,úsnje,leder
461,Wolle::N,vólna,wol
462,Stoff::N,blagó,stof
463,Nadel::N,ígla,naald
464,Faden::N,nít,draad
465,Knopf::N,gúmb,knoop
466,Knoten::N,vôzel,knoop
467,Farbe::N,bárva,verf
468,Kleidung::N,obléka,kledij
469,Kleidung::N,obléka,kleding
470,Hemd::N,srájca,hemd
471,Kragen::N,ovrátnik,kraag
472,Ärmel::N,rokáv,mouw
473,Hose::N,hláče,broek
474,Hose::N,hláče,pantalon
475,Gürtel::N,pás,riem
476,Gürtel::N,pás,gordel
477,Mütze::N,kápa,muts
478,Mütze::N,čépica,muts
479,Schuh::N,čévelj,schoen
480,Stiefel::N,škórenj,laars
481,Ring::N,pŕstan,ring
482,Band::N,trák,lint
483,Kamm::N,glavník,kam
484,Spiegel::N,zrcálo,spiegel
485,Spiegel::N,ogledálo,spiegel
486,Riemen::N,jêrmen,riem
487,Schnur::N,vŕvca,koord
488,Leine::N,konôpec,lijn
489,Decke::N,odéja,deken
490,Kissen::N,blazína,kussen
491,Tuch::N,pŕt,doek
492,Tuch::N,rúta,doek
493,Handtuch::N,brisáča,handdoek
494,Kraft::N,síla,kracht
495,Stärke::N,jákost,sterkte
496,Gesundheit::N,zdrávje,gezondheid
497,Krankheit::N,bolézen,ziekte
498,Schmerz::N,ból,pijn
499,Schmerz::N,bolečína,pijn
500,Wunde::N,rána,wond
501,Fieber::N,vročína,koorts
502,Arznei::N,lék,medicament
503,Arznei::N,lék,geneesmiddel
504,Arznei::N,zdravílo,medicament
505,Arznei::N,zdravílo,geneesmiddel
506,Brücke::N,móst,brug
507,Brunnen::N,vodnják,put
508,Brunnen::N,vodnják,bron
509,Weide::N,páša,wei
510,Weide::N,páša,weide
511,Pfad::N,stezà,pad
512,Weg::N,pót,weg
513,Straße::N,césta,baan
514,Straße::N,césta,straat
515,Dorf::N,vás,dorp
516,Stadt::N,mésto,stad
517,Brief::N,písmo,brief
518,Buch::N,knjíga,boek
519,Buchstabe::N,čŕka,letter
520,Zeitung::N,čásnik,krant
521,Zeitung::N,čásnik,dagblad
522,Leben::N,življênje,leven
523,Tod::N,smŕt,dood
524,Grab::N,gròb,graf
525,Kirche::N,cérkev,kerk
526,Sünde::N,gréh,zonde
527,Gott::N,bóg,god
528,Arbeiter::N,délavec,arbeider
529,Chef::N,šéf,chef
530,Meister::N,mójster,meester
531,Arzt::N,zdravník,arts
532,Arzt::N,zdravník,dokter
533,Lehrer::N,učítelj,leraar
534,Lehrer::N,učítelj,onderwijzer
535,Geld::N,denár,geld
536,Geschäft::N,kupčíja,zaak
537,Laden::N,trgovína,winkel
538,Preis::N,céna,prijs
539,Ware::N,róba,waar
540,Nutzen::N,príd,nut
541,Nutzen::N,príd,voordeel
542,Reichtum::N,bogástvo,rijkdom
543,Welt::N,svét,wereld
544,Land::N,dežêla,land
545,Staat::N,držáva,staat
546,König::N,králj,koning
547,Macht::N,oblást,macht
548,Grenze::N,mêja,grens
549,Krieg::N,vôjna,oorlog
550,Feind::N,sovrážnik,vijand
551,Gewalt::N,nasílje,geweld
552,Kampf::N,bòj,strijd
553,Kampf::N,bòj,gevecht
554,Kampf::N,bórba,strijd
555,Kampf::N,bórba,gevecht
556,Bogen[Waffe]::N,lók,boog
557,Pfeil::N,puščíca,pijl
558,Gewehr::N,púška,geweer
559,Fehler::N,zmóta,fout
560,Lüge::N,láž,leugen
561,Schaden::N,okvára,schade
562,Unglück::N,nesréča,tegenspoed
563,Schuld::N,krívda,schuld
564,Alter::N,dôba,leeftijd
565,Schluss::N,kônec,slot
566,Zeit::N,čàs,tijd
567,Tag::N,dán,dag
568,Morgen::N,jútro,morgen
569,Morgen::N,jútro,ochtend
570,Mittag::N,póldan,middag
571,Abend::N,večér,avond
572,Nacht::N,nóč,nacht
573,Woche::N,téden,week
574,Monat::N,mésec,maand
575,Jahr::N,léto,jaar
576,Frühling::N,pomlád,lente
577,Frühling::N,pomlád,voorjaar
578,Sommer::N,polétje,zomer
579,Herbst::N,jesén,herfst
580,Winter::N,zíma,winter
581,Januar::N,jánuar,januari
582,Februar::N,fébruar,februari
583,März::N,márec,maart
584,April::N,apríl,april
585,Mai::N,máj,mei
586,Juni::N,júnij,juni
587,Juli::N,júlij,juli
588,August::N,avgúst,augustus
589,September::N,septêmber,september
590,Oktober::N,október,oktober
591,November::N,novêmber,november
592,Dezember::N,decémber,december
593,Montag::N,ponedéljek,maandag
594,Dienstag::N,tôrek,dinsdag
595,Mittwoch::N,sréda,woensdag
596,Donnerstag::N,četŕtek,donderdag
597,Freitag::N,pétek,vrijdag
598,Samstag::N,sobóta,zaterdag
599,Sonntag::N,nedélja,zondag
600,groß::A,vêlik,groot
601,klein::A,májhen,klein
602,lang::A,dólg,lang
603,kurz::A,krátek,kort
604,breit::A,širòk,breed
605,schmal::A,ózek,smal
606,dicht::A,góst,dicht
607,dick[Gegenstand]::A,dêbel,dik
608,dünn::A,tánek,dun
609,fein::A,drôben,fijn
610,fest::A,tŕden,vast
611,flach::A,plán,plat
612,flach::A,plòsk,plat
613,glatt::A,gládek,glad
614,hart::A,tŕd,hard
615,weich::A,mehák,week
616,rund::A,okrógel,rond
617,spitz::A,šílast,spits
618,spitz::A,šílast,puntig
619,scharf::A,óster,scherp
620,stumpf::A,tóp,stomp
621,stumpf::A,skŕhan,stomp
622,schwer::A,têžek,zwaar
623,schön::A,lép,mooi
624,schön::A,lép,fraai
625,schön::A,krásen,mooi
626,schön::A,krásen,fraai
627,heiß::A,vròč,heet
628,warm::A,tôpel,warm
629,kalt::A,mŕzel,koud
630,kalt::A,hláden,koud
631,kühl::A,hláden,koel
632,frisch::A,svéž,fris
633,feucht::A,vlážen,vochtig
634,nass::A,móker,nat
635,trocken::A,súh,droog
636,voll::A,póln,vol
637,leer::A,prázen,leeg
638,offen::A,odpŕt,open
639,geschlossen::A,zapŕt,gesloten
640,sauber::A,číst,net
641,sauber::A,číst,schoon
642,sauber::A,líčen,net
643,sauber::A,líčen,schoon
644,schmutzig::A,umázan,vuil
645,roh::A,suròv,rauw
646,reif::A,zrèl,rijp
647,lecker::A,okúsen,lekker
648,süß::A,sládek,zoet
649,bitter::A,grenák,bitter
650,sauer::A,kísel,zuur
651,hell::A,svetèl,licht
652,hell::A,svetèl,helder
653,dunkel::A,temèn,donker
654,schwarz::A,čŕn,zwart
655,weiß::A,bél,wit
656,rot::A,rdèč,rood
657,gelb::A,žólt,geel
658,gelb::A,rumèn,geel
659,blau::A,móder,blauw
660,grün::A,zelèn,groen
661,grau::A,sív,grijs
662,bunt::A,písan,bont
663,billig::A,pocéni,goedkoop
664,teuer::A,drág,duur
665,wertvoll::A,dragocén,kostbaar
666,wertvoll::A,dragocén,waardevol
667,blind::A,slép,blind
668,taub::A,glúh,doof
669,kräftig::A,močán,krachtig
670,stark::A,ják,sterk
671,schwach::A,šíbek,zwak
672,fett::A,dêbel,vet
673,schlank::A,vítek,slank
674,hübsch::A,lép,leuk
675,böse::A,zèl,kwaad
676,böse::A,hudôben,kwaad
677,dumm::A,glúp,dom
678,dumm::A,bédast,dom
679,faul::A,lén,lui
680,fleißig::A,marljív,vlijtig
681,geizig::A,škŕt,gierig
682,klug::A,pámeten,slim
683,klug::A,pámeten,schrander
684,klug::A,pámeten,verstandig
685,geschickt::A,spréten,handig
686,geschickt::A,spréten,vaardig
687,lieb::A,míl,lief
688,lieb::A,ljúb,lief
689,lustig::A,vesél,vrolijk
690,sanft::A,láhek,zacht
691,hungrig::A,láčen,hongerig
692,krank::A,bolán,ziek
693,nackt::A,nág,naakt
694,traurig::A,túžen,treurig
695,traurig::A,túžen,bedroefd
696,lebendig::A,žív,levend
697,gut::A,dóber,goed
698,schlecht::A,malopríden,slecht
699,richtig::A,pravílen,juist
700,schlimm::A,húd,erg
701,schlimm::A,húd,kwaad
702,wahr::A,resníčen,waar
703,alt::A,stàr,oud
704,neu::A,nòv,nieuw
705,ehemalig::A,nekdánji,voormalig
706,alt[Lebewesen]::A,stàr,oud
707,jung::A,mlád,jong
708,arm::A,ubóg,arm
709,arm::A,réven,arm
710,reich::A,bogàt,rijk
711,bekannt::A,znán,bekend
712,berühmt::A,sláven,beroemd
713,berühmt::A,znamenít,beroemd
714,fremd::A,túj,vreemd
715,verschieden::A,razlíčen,verscheiden
716,verschieden::A,razlíčen,verschillend
717,nah::A,blížnji,nabij
718,nah::A,blížnji,nabijgelegen
719,fern::A,dáleč,ver
720,linker::A,lévi,linker
721,rechter::A,désni,rechter
722,anderer::A,drúgi,andere
723,erster::A,pŕvi,eerste
724,zweiter::A,drúgi,tweede
725,dritter::A,trétji,derde
726,letzter::A,poslédnji,laatste
727,allein::ADV,sám,alleen
728,auf einmal::ADV,obênem,ineens
729,auf einmal::ADV,obênem,tegelijk
730,zusammen::ADV,skúpaj,samen
731,zusammen::ADV,skúpaj,bijeen
732,lange::ADV,dólgo,lang
733,plötzlich::ADV,náglo,eensklaps
734,plötzlich::ADV,náglo,plotsklaps
735,plötzlich::ADV,nenádoma,eensklaps
736,plötzlich::ADV,nenádoma,plotsklaps
737,sofort::ADV,prècej,terstond
738,sofort::ADV,prècej,aanstonds
739,sofort::ADV,prècej,onmiddelijk
740,später::ADV,poznêje,later
741,jetzt::ADV,zdàj,nu
742,jetzt::ADV,zdàj,nou
743,jetzt::ADV,zdàj,thans
744,heute::ADV,dánes,heden
745,heute::ADV,dánes,vandaag
746,morgen::ADV,jútri,morgen
747,bald::ADV,kmálu,gauw
748,bald::ADV,kmálu,weldra
749,dann::ADV,nató,dan
750,dann::ADV,nató,toen
751,gestern::ADV,včéraj,gisteren
752,einst::ADV,nékdaj,eens
753,damals::ADV,tedàj,toen
754,damals::ADV,tedàj,destijds
755,damals::ADV,takràt,toen
756,damals::ADV,takràt,destijds
757,danach::ADV,potèm,daarna
758,vorher::ADV,poprèj,vooraf
759,vorher::ADV,poprèj,van tevoren
760,zuerst::ADV,spŕva,eerst
761,zuerst::ADV,spŕva,het eerst
762,einmal::ADV,ênkrat,eens
763,einmal::ADV,ênkrat,eenmaal
764,manchmal::ADV,včásih,soms
765,oft::ADV,pogósto,vaak
766,oft::ADV,pogósto,dikwijls
767,immer::ADV,védno,altijd
768,immer::ADV,zméraj,altijd
769,niemals::ADV,nikdàr,nooit
770,hier::ADV,tù,hier
771,hier::ADV,túkaj,hier
772,hierhin::ADV,sèmkaj,hierheen
773,von hier::ADV,od tú,van hier
774,von hier::ADV,od tú,hiervandaan
775,dort::ADV,tàm,daar
776,dort::ADV,tàm,ginds
777,dorthin::ADV,tjà,daarheen
778,geradeaus::ADV,rávno napréj,rechtuit
779,geradeaus::ADV,rávno napréj,rechtdoor
780,vorwärts::ADV,napréj,vooruit
781,vorwärts::ADV,napréj,voorwaarts
782,rückwärts::ADV,zádaj,achteruit
783,rückwärts::ADV,zádaj,achterwaarts
784,zurück::ADV,nazáj,terug
785,unten::ADV,dôli,beneden
786,unten::ADV,dôli,onderaan
787,unten::ADV,spôdaj,beneden
788,unten::ADV,spôdaj,onderaan
789,hinab::ADV,dôl,omlaag
790,hinab::ADV,dôl,naar beneden
791,oben::ADV,gôri,boven
792,oben::ADV,zgôraj,boven
793,hinauf::ADV,gôr,omhoog
794,hinauf::ADV,gôr,naar boven
795,überall::ADV,povsód,alom
796,überall::ADV,povsód,overal
797,nicht::ADV,ne,niet
798,ein wenig::ADV,málo,wat
799,kaum::ADV,kómaj,amper
800,kaum::ADV,kómaj,nauwelijks
801,sehr::ADV,zeló,erg
802,sehr::ADV,zeló,zeer
803,so::ADV,takó,zo
804,noch::ADV,še,nog
805,nur::ADV,samó,maar
806,nur::ADV,samó,alleen
807,schon::ADV,žè,al
808,schon::ADV,žè,reeds
809,wieder::ADV,spét,weer
810,wieder::ADV,spét,terug
811,vergebens::ADV,zamàn,vergeefs
812,vergebens::ADV,zamàn,tevergeefs
813,vergebens::ADV,zastónj,vergeefs
814,vergebens::ADV,zastónj,tevergeefs
815,vor::PRP,pred,voor
816,hinter::PRP,za,achter
817,unter::PRP,pod,onder
818,unter::PRP,pod,beneden
819,durch::PRP,skózi,door
820,neben::PRP,kràj,naast
821,neben::PRP,póleg,naast
822,zwischen::PRP,med,tussen
823,zwischen::PRP,izmed,tussen
824,wegen::PRP,zarádi,wegens
825,wegen::PRP,zarádi,vanwege
826,dies::PRN,tó,dit
827,das::PRN,tó,dat
828,alles::PRN,vsè,alles
