,Concept_ID,ka,te
54,Hunger::N,შიმშილი,ఆకలి
55,Träne::N,ცრემლი,కన్నీటిచుక్క
56,Geschmack::N,გემო,రుచి
57,Geruch::N,სუნი,వాసన
58,Schlaf::N,ძილი,నిద్ర
59,Traum::N,სიზმარი,కల
60,Himmel::N,ცა,ఆకాశము
61,Sonne::N,მზე,సూర్యుడు
62,Mond::N,მთვარე,చంద్రుడు
63,Stern::N,ვარსკვლავი,నక్షత్రము
64,Luft::N,ჰაერი,గాలి
65,Wind::N,ქარი,వీచుచున్నగాలి
66,Welle::N,ტალღა,అల
67,Wasser::N,წყალი,నీరు
68,Stein::N,ქვა,ఱాయి
69,Boden::N,მიწა,నేల
70,Erde::N,ნიადაგი,మన్ను
71,Staub::N,მტვერი,దుమ్ము
72,Rauch::N,ბოლი,పొగ
73,Rauch::N,კვამლი,పొగ
74,Funke::N,ნაკვესი,అగ్నికణము
75,Feuer::N,ცეცხლი,అగ్ని
76,Licht::N,შუქი,కాంతి
77,Licht::N,სინათლე,కాంతి
78,Schatten::N,ლანდი,నీడ
79,Schatten::N,ჩრდილი,నీడ
80,Wetter::N,ამინდი,వాతావరణ స్థితి
81,Nebel::N,ნისლი,పొగమంచు
82,Wolke::N,ღრუბელი,మేఘము
83,Regen::N,წვიმა,వాన
84,Schnee::N,თოვლი,హిమము
85,Eis::N,თოში,మంచుగడ్డ
86,Eis::N,ყინული,మంచుగడ్డ
87,Frost::N,ყინვა,పేరిన మంచు
88,Kälte::N,სიცივე,చలి
89,Hitze::N,სიცხე,వేడిమి
90,Raureif::N,ჭირხლი,మంచు
91,Raureif::N,თრთვილი,మంచు
92,Regenbogen::N,ცისარტყელა,ఇంద్రధనుస్సు
93,Donner::N,ქუხილი,ఉరుము
94,Strömung::N,დინება,ప్రవాహము
95,Tropfen::N,წვეთი,చుక్క
96,Schaum::N,ქაფი,నురుగు
97,Schaum::N,დორბლი,నురుగు
98,Schmutz::N,ჭუჭყი,మైల
99,Schmutz::N,ტალახი,మైల
100,See::N,ტბა,సరస్సు
101,Sumpf::N,ჭაობი,చిత్తడినేల
102,Moor::N,ტორფნარი,చిత్తడినేల
103,Wiese::N,ველი,పచ్చిక బయలు
104,Wiese::N,მდელო,పచ్చిక బయలు
105,Wald::N,ტყე,అడవి
106,Hügel::N,ბორცვი,చివ్నకొండ
107,Anhöhe::N,მაღლობი,కొండ
108,Berg::N,მთა,పర్వతము
109,Gipfel::N,მწვერვალი,శిఖరము
110,Höhle::N,მღვიმე,గుహ
111,Höhle::N,გამოქვებული,గుహ
112,Abhang::N,ფერდობი,ఏటవాలు
113,Quelle::N,წყარო,మూలము
114,Quelle::N,სათავე,మూలము
115,Bach::N,რუ,కాలువ
116,Bach::N,ნაკადული,కాలువ
117,Fluss::N,მდინარე,నది
118,Ufer::N,კიდე,తీరము
119,Ufer::N,ნაპირი,తీరము
120,Küste::N,ნაპირი,తీరము
121,Festland::N,ხმელეთი,భూమి
122,Meer::N,ზღვა,సముద్రము
123,Bucht::N,ყურე,మరుగు
124,Insel::N,კუნძული,దీవి
125,Blume::N,ყვავილი,పుష్పము
126,Gras::N,ბალახი,పచ్చగడ్డి
127,Wurzel::N,ძირი,వేరు
128,Wurzel::N,ფესვი,వేరు
129,Baum::N,ხე,చెట్టు
130,Stamm::N,ტანი,చెట్టుబోదె
131,Rinde::N,ქერქი,చెట్టుపట్ట
132,Ast::N,ტოტი,కొమ్మ
133,Zweig::N,შტო,చివుకు
134,Blatt::N,ფოთოლი,ఆకు
135,Birke::N,არყი,తరహా చెట్టు
136,Kiefer[Baum]::N,ფიჭვი,దేవదారు చెట్టు
137,Weide[Baum]::N,ტირიფი,జాతిచెట్టు
138,Tanne::N,ნაძვი,దేవదారుచెట్టు
139,Horn::N,რქა,కొమ్ము
140,Feder::N,ფრთა,ఈక
141,Fell::N,ტყავი,తోలు
142,Flügel::N,ფრთა,ఱెక్క
143,Klaue::N,კლანჭი,వంకరగోరు
144,Kralle::N,ტორი,వంకరగోరు
145,Schwanz::N,კუდი,తోక
146,Ei::N,კვერცხი,గ్రుడ్డు
147,Nest::N,ბუდე,పక్షిగూడు
148,Bau::N,სორო,గుహ
149,Tier::N,ნადირი,జంతువు
150,Tier::N,ცხოველი,జంతువు
151,Herde::N,ფარა,మంద
152,Kuh::N,ფური,ఆవు
153,Kuh::N,ძროხა,ఆవు
154,Bulle::N,ხარი,గిత్త
155,Pferd::N,რაში,గుఱ్ఱము
156,Pferd::N,ცხენი,గుఱ్ఱము
157,Schaf::N,ცხვარი,గొఱ్ఱె
158,Schwein::N,ღორი,పంది
159,Hund::N,ძაღლი,కుక్క
160,Katze::N,კატა,పిల్లి
161,Bär::N,დათვი,ఎలుగుబంటి
162,Eichhörnchen::N,ციყვი,ఉడుత
163,Elch::N,ცხენ-ირემი,కణంజు
164,Fuchs::N,მელა,గుంటనక్క
165,Hase::N,კურდღელი,కుందేలు
166,Maus::N,თაგვი,చిట్టెలుక
167,Wolf::N,მგელი,తోడేలు
168,Vogel::N,ჩიტი,పక్షి
169,Vogel::N,ფრინველი,పక్షి
170,Schwarm::N,გუნდი,గుంపు
171,Huhn::N,დედალი,కోడిపిల్ల
172,Hahn::N,მამალი,కోడివుంజు
173,Gans::N,ბატი,ఆడుబాతు
174,Adler::N,არწივი,గ్రద్ద
175,Ente::N,იხვი,పాట్టిబాతు
176,Eule::N,ბუ,గ్రుడ్లగూబ
177,Kranich::N,წერო,కొంగ
178,Krähe::N,ყვავი,కాకి
179,Kuckuck::N,გუგული,కోయల
180,Schwan::N,გედი,హంస
181,Fisch::N,თევზი,చేప
182,Barsch::N,ქორჭილა,ఒకచేఁప
183,Hecht::N,ქარიყლაპია,గండుమీను
184,Schlange[Tier]::N,გველი,పాము
185,Wurm::N,ჭია,పురుగు
186,Spinne::N,ობობა,సాలె పురుగు
187,Ameise::N,ჭიანჭველა,చీమ
188,Laus::N,ტილი,పేను
189,Laus::N,მკბენარი,పేను
190,Mücke::N,კოღო,చీకటీగ
191,Fliege::N,ბუზი,ఈగ
192,Schmetterling::N,პეპელა,సీతాకోకచిలుక
193,Beere::N,კენკრა,కాయ
194,Apfel::N,ვაშლი,ఆపిల్ పండు
195,Pilz::N,სოკო,కుక్కగొడుగు
196,Zwiebel::N,ხახვი,నీరుల్లి
197,Saat::N,თესლი,విత్తనము
198,Korn::N,მარცვალი,గింజ
199,Heu::N,თივა,ఎండుగడ్డి
200,Schale::N,ჩენჩო,పొట్టు
201,Grube::N,ორმო,గొయ్యి
202,Falle::N,ხაფანგი,బోను
203,Schlinge::N,მახე,ఉరి
204,Spur::N,კვალი,జాడ
205,Asche::N,ფერფლი,బూడిద
206,Dreck::N,ტალახი,ముఱికి
207,Dreck::N,სიბინძურე,ముఱికి
208,Eisen::N,რკინა,ఇనుము
209,Gold::N,ოქრო,బంగారము
210,Silber::N,ვერცხლი,వెండి
211,Kohle::N,ნახშირი,నేలబొగ్గు
212,Glas::N,მინა,గాజు
213,Lehm::N,თიხა,బంకమన్ను
214,Sand::N,ქვიშა,ఇసుక
215,Mensch::N,ადამიანი,నరుడు
216,Mann::N,კაცი,పురుమడు
217,Frau::N,ქალი,ఆడుది
218,Kind::N,ბავშვი,బిడ్డ
219,Junge::N,ვაჟი,బాలుడు
220,Mädchen::N,გოგო,బాలిక
221,Familie::N,ოჯახი,కుటుంబము
222,Großvater::N,პაპა,తాత
223,Großvater::N,ბაბუა,తాత
224,Großmutter::N,ბებია,అయ్యమ్మ
225,Großmutter::N,დიდედა,అయ్యమ్మ
226,Eltern::N,მშობლები,తల్లితండ్రులు
227,Vater::N,მამა,తండ్రి
228,Mutter::N,დედა,తల్లి
229,Sohn::N,ვაჟიშვილი,కొడుకు
230,Tochter::N,ქალიშვილი,కూతురు
231,Bruder::N,ძმა,పోదరుడు
232,Schwester::N,და,సోదరి
233,Onkel::N,ბიძა,మేనమామ
234,Tante::N,დეიდა,మేనత్త
235,Tante::N,დეიდა,పినతల్లి
236,Tante::N,მამიდა,మేనత్త
237,Tante::N,მამიდა,పినతల్లి
238,Ehemann::N,ქმარი,భర్త
239,Ehefrau::N,ცოლი,భార్య
240,Freude::N,სიხარული,సంతోషము
241,Gelächter::N,სიცილი,నవ్వు
242,Glück::N,ბედნიერება,సంతోషము
243,Kummer::N,მწუხარება,దుఃఖము
244,Wunsch::N,წადილი,కోరిక
245,Wunsch::N,სურვილი,కోరిక
246,Lust::N,წადილი,కోరిక
247,Geist::N,სული,ఆత్మ
248,Gedanke::N,ფიქრი,ఆలోచన
249,Gedächtnis::N,მეხსიერება,జ్ఞాపకము
250,Verstand::N,ჭკუა,మనస్సు
251,Verstand::N,გონება,మనస్సు
252,Sinn::N,მნიშვნელობა,అర్థము
253,Grund::N,მიზეზი,కారణము
254,Wahrheit::N,სიმართლე,సత్యము
255,Wahrheit::N,ჭეშმარიტება,సత్యము
256,Gespräch::N,ბაასი,పంభాషణ
257,Gespräch::N,საუბარი,పంభాషణ
258,Märchen::N,არაკი,అద్భుతకథ
259,Märchen::N,ზღაპარი,అద్భుతకథ
260,Erzählung::N,თქმულება,కథ
261,Nachricht::N,ცნობა,వార్త
262,Nachricht::N,ამბავი,వార్త
263,Neuigkeit::N,სიახლე,వార్త
264,Name::N,სახელი,పేరు
265,Rätsel::N,გამოცანა,చిక్కు
266,Rede::N,სიტყვა,ఉపన్యాసము
267,Sprache::N,ენა,భాష
268,Stimme::N,ხმა,కంరథ్సని
269,Wort::N,სიტყვა,మాట
270,Zeichen::N,ნიშანი,గుర్తు
271,Ruf::N,ძახილი,పిలువు
272,Lärm::N,ხმაური,సందడి
273,Laut::N,ხმა,ధ్వని
274,Laut::N,ბგერა,ధ్వని
275,Ton::N,ტონი,స్వరము
276,Lied::N,სიმღერა,పాట
277,Ruhe::N,სიწყნარე,గాలిలేమి
278,Leute::N,ადამიანები,జనులు
279,Volk::N,ერი,జాతి
280,Volk::N,ხალხი,జాతి
281,Arbeit::N,მუშაობა,పని
282,Gast::N,სტუმარი,అతిధి
283,Geschenk::N,საჩუქარი,దానము
284,Spiel::N,თამაში,ఆట
285,Gesellschaft::N,საზოგადოება,జట్టు
286,Hilfe::N,შველა,సాహాయ్యము
287,Hilfe::N,დახმარება,సాహాయ్యము
288,Freund::N,მეგობარი,స్నేహితుడు
289,Kamerad::N,ამხანაგი,చెలికాడు
290,Angelegenheit::N,საქმე,విషయము
291,Anzahl::N,ოდენობა,లెక్క
292,Art::N,სახეობა,జాతి
293,Stück::N,ნატეხი,తునుక
294,Teil::N,წილი,భాగము
295,Hälfte::N,ნახევარი,సగము
296,Kreis::N,წრე,వృత్తము
297,Kreuz::N,ჯვარი,సిలువ
298,Linie::N,ხაზი,గీత
299,Strich::N,შტრიხი,గీత
300,Abstand::N,მანძილი,సందు
301,Entfernung::N,სიშორე,దూరము
302,Gegend::N,არე,విస్తీర్ణము
303,Gegend::N,მხარე,విస్తీర్ణము
304,Platz::N,ფართობი,ఎడము
305,Ort::N,ადგილი,స్థలము
306,Seite::N,მხარე,ప్రక్క
307,Mitte::N,შუა,నడిమి
308,Gegenstand::N,საგანი,పద్దు
309,Sache::N,ნივთი,వస్తువు
310,Rand::N,კიდე,అంచు
311,Kante::N,ნაწიბული,అంచు
312,Ecke::N,კუთხე,మూల
313,Spitze::N,წვეტი,మొన
314,Ende::N,ბოლო,కొన
315,Loch::N,ხვრელი,రంధ్రము
316,Winkel::N,კუთხე,కోణము
317,Muster::N,მოხატულობა,మాదిరి
318,Größe::N,ზომა,పరిమాణము
319,Größe::N,სიდიდე,పరిమాణము
320,Länge::N,სიგრძე,పొడుగు
321,Höhe::N,სიმაღლე,పొడుగు
322,Gewicht::N,წონა,భారము
323,Menge::N,რაოდენობა,మొత్తము
324,Haufen::N,გროვა,రాశి
325,Reihe::N,რიგი,వరుస
326,Reihe::N,წყება,వరుస
327,Boot::N,გემი,పడవ
328,Ruder::N,ხოფი,అడక
329,Ruder::N,ნიჩაბი,అడక
330,Schlitten::N,მარხილი,సరవండ్లు
331,Ski::N,თხილამური,స్కీ
332,Lagerfeuer::N,კოცონი,నెగడు
333,Last::N,ტვირთი,బరువు
334,Gang::N,სვლა,నడక
335,Schritt::N,ბიჯი,అడుగు
336,Norden::N,ჩრდილოეთი,ఉత్తరదిక్కు
337,Süden::N,სამხრეთი,దక్షిణము
338,Westen::N,დასავლეთი,పడమర
339,Osten::N,აღმოსავლეთი,తూర్పు
340,Holz::N,ხე,కొయ్య
341,Brett::N,დაფა,పలక
342,Brett::N,ფიცარი,పలక
343,Platte::N,თლილი ქვა,పలక
344,Stütze::N,საყრდენი,వాల్సేడ్లు
345,Stange::N,ჭოკი,స్తంభము
346,Stock::N,კეტი,కఱ్ఱ
347,Stab::N,ლატანი,కఱ్ఱ
348,Rohr::N,მილაკი,గొట్టము
349,Haus::N,სახლი,ఇల్లు
350,Heim::N,ოჯახის კერა,స్వగృహము
351,Ofen::N,ღუმელი,పొయ్యి
352,Fußboden::N,იატაკი,నేల
353,Tisch::N,სუფრა,మేజా
354,Tisch::N,მაგიდა,మేజా
355,Stuhl::N,სკამი,కుర్చీ
356,Wiege::N,აკვანი,ఉయ్యాల
357,Bett::N,საწოლი,పడక
358,Bett::N,საწოლი,మంచం
359,Bett::N,სარეცელი,పడక
360,Bett::N,სარეცელი,మంచం
361,Regal::N,თაროები,అటక
362,Kiste::N,ყუთი,వెట్టె
363,Kiste::N,სკივრი,వెట్టె
364,Fenster::N,ფანჯარა,కిటికి
365,Fenster::N,სარკმელი,కిటికి
366,Tür::N,ბჭე,ద్వారము
367,Tür::N,კარი,ద్వారము
368,Tor::N,ჭიშკარი,ద్వారము
369,Zaun::N,ღობე,కంచె
370,Zaun::N,გალავანი,కంచె
371,Dach::N,სახურავი,ఇంటివైకప్పు
372,Leiter::N,კიბე,నిచ్చెన
373,Besen::N,ცოცხი,చీపురుకట్ట
374,Spaten::N,ნიჩაბი,పాఱ
375,Schaufel::N,ბარი,పాఱ
376,Gabel::N,ჩანგალი,ముండ్లగరిటె
377,Löffel::N,კოვზი,గరిటె
378,Messer::N,დანა,కత్తి
379,Nagel::N,ლურსმანი,మేకు
380,Netz::N,ბადე,వల
381,Haken::N,კავი,కొక్కెము
382,Haken::N,კაუჭი,కొక్కెము
383,Griff::N,ტარი,పిడి
384,Schloss::N,კლიტე,తాళము
385,Schloss::N,საკეტი,తాళము
386,Bild::N,სურათი,చిత్రము
387,Figur::N,ფიგურა,రూపము
388,Puppe::N,თოჯინა,బొమ్మ
389,Beutel::N,პარკი,సంచి
390,Bündel::N,გალა,మూట
391,Bündel::N,ასხმა,మూట
392,Tasche::N,ჩანთა,సంచి
393,Eimer::N,ჩამჩა,చేద
394,Deckel::N,ხუფი,మూత
395,Deckel::N,სარქველი,మూత
396,Geschirr::N,ჭურჭელი,వంటకాలు
397,Sack::N,ტომარა,గోనెసంచి
398,Tasse::N,ფინჯანი,గిన్నె
399,Topf::N,ქოთანი,కుండ
400,Kessel::N,ქვაბი,నీరుకాచుపాత్ర
401,Essen::N,ჭამა,ఆహారము
402,Nahrung::N,საზრდო,ఆహారము
403,Nahrung::N,საკვები,ఆహారము
404,Speise::N,საჭმელი,ఆహారము
405,Fleisch::N,ხორცი,మాంసము
406,Getreide::N,მარცვლოვანი,ధాన్యము
407,Brei::N,ფაფა,గుజ్జు
408,Brot::N,პური,రొట్టె
409,Scheibe::N,ნაჭერი,బద్ద
410,Fett::N,ქონი,క్రొవ్వు
411,Fett::N,ცხიმი,క్రొవ్వు
412,Butter::N,კარაქი,వెన్న
413,Öl::N,ზეთი,నూనె
414,Salz::N,მარილი,ఉప్పు
415,Suppe::N,სუფი,చారు
416,Honig::N,თაფლი,తెనె
417,Milch::N,რძე,పాలు
418,Tee::N,ჩაი,తేనీరు
419,Leder::N,ტყავი,బాగుచేసివతోలు
420,Wolle::N,მატყლი,ఉన్ని
421,Stoff::N,ქსოვილი,బట్ట
422,Nadel::N,ნემსი,సూది
423,Faden::N,ძაფი,దారము
424,Faden::N,მკედი,దారము
425,Knopf::N,ღილი,బొత్తాము
426,Knoten::N,ნასკვი,ముడి
427,Farbe::N,საღებავი,రంగు
428,Kleidung::N,ტანსაცმელი,బట్టలు
429,Hemd::N,ხალათი,చొక్కాయ
430,Hemd::N,პერანგი,చొక్కాయ
431,Kragen::N,საყელო,మాల
432,Ärmel::N,სახელო,చొక్కాయచెయ్యి
433,Hose::N,შარვალი,ఇజారు
434,Gürtel::N,ქამარი,పటకా
435,Mütze::N,ქუდი,టోపి
436,Schuh::N,ფეხსაცმელი,పాదరక్ష
437,Stiefel::N,ჩექმა,బూటు
438,Ring::N,ბეჭედი,ఉంగరము
439,Band::N,ბაფთი,నాడా
440,Kamm::N,სავარცხელი,దువ్వెన
441,Spiegel::N,სარკე,అద్దము
442,Riemen::N,ღვედი,వాడా
443,Schnur::N,ლარი,దారము
444,Leine::N,ჯაჭვი,వారు
445,Decke::N,საბანი,కంబళి
446,Kissen::N,ბალიში,తలగడ
447,Tuch::N,მაუდი,బట్ట
448,Tuch::N,თავშალი,బట్ట
449,Handtuch::N,ხელსახოცი,తువాలు
450,Kraft::N,ძალა,బలము
451,Stärke::N,ღონე,శక్తి
452,Gesundheit::N,ჯანმრთელობა,ఆరోగ్యము
453,Krankheit::N,სენი,రోగము
454,Krankheit::N,ავადმყოფობა,రోగము
455,Schmerz::N,ტკივილი,నొప్పి
456,Wunde::N,იარი,గాయము
457,Wunde::N,ჭრილობა,గాయము
458,Fieber::N,ციება,జ్వరము
459,Arznei::N,წამალი,మందు
460,Brücke::N,ხიდი,వంతెన
461,Brunnen::N,ჭა,బావి
462,Brunnen::N,ჭა,కూపము
463,Brunnen::N,ჭა,నుయ్యి
464,Weide::N,საძოვარი,పచ్చికబయలు
465,Pfad::N,ბილიკი,కాలిత్రోవ
466,Weg::N,გზა,మార్గము
467,Straße::N,შარაგზა,బాట
468,Dorf::N,დაბა,గ్రామము
469,Dorf::N,სოფელი,గ్రామము
470,Stadt::N,ქალაქი,పట్టణము
471,Brief::N,წერილი,జాబు
472,Buch::N,წიგნი,పుస్తకము
473,Buchstabe::N,ასო,అక్షరము
474,Zeitung::N,გაზეთი,వార్తాపత్రిక
475,Leben::N,სიცოცხლე,ప్రాణము
476,Tod::N,სიკვდილი,మరణము
477,Grab::N,სამარე,సమాధి
478,Grab::N,საფლავი,సమాధి
479,Kirche::N,ეკლესია,క్రెస్తవులగుడి
480,Sünde::N,ცოდვა,పాపము
481,Gott::N,ღმერთი,దేవుడు
482,Arbeiter::N,მუშა,పనిపాటుచేశేవాడు
483,Chef::N,გამგე,యజమానుడు
484,Meister::N,ოსტატი,కళాకారుడు
485,Arzt::N,ექიმი,వైద్యుడు
486,Arzt::N,მკურნალი,వైద్యుడు
487,Lehrer::N,მასწავლებელი,ఉపాధ్యాయుడు
488,Geld::N,ფული,ద్రవ్యము
489,Geschäft::N,საქმე,వ్యాపారము
490,Geschäft::N,ბიზნესი,వ్యాపారము
491,Laden::N,დუქანი,అంగడి
492,Laden::N,მაღაზია,అంగడి
493,Preis::N,ფასი,వెల
494,Ware::N,საქონელი,సరకులు
495,Nutzen::N,ხეირი,ప్రయోజనము
496,Reichtum::N,სიმდიდრე,ధనము
497,Welt::N,მსოფლიო,ప్రపంచము
498,Land::N,მხარე,దేశము
499,Land::N,ქვეყანა,దేశము
500,Staat::N,სახელმწიფო,రాజ్యము
501,König::N,მეფე,రాజు
502,Macht::N,ძლიერება,అధికారము
503,Grenze::N,ზღვარი,సరిహద్దు
504,Krieg::N,ომი,యుద్ధము
505,Feind::N,მტერი,శత్రువు
506,Gewalt::N,სისასტიკე,దౌర్జన్యము
507,Kampf::N,ბრძოლა,పోట్లాట
508,Bogen[Waffe]::N,მშვილდი,విల్లు
509,Pfeil::N,ისარი,బాణము
510,Pfeil::N,მახვილი,బాణము
511,Gewehr::N,თოფი,తుపాకి
512,Gewehr::N,შაშხანა,తుపాకి
513,Fehler::N,შეცდომა,తప్ప
514,Lüge::N,სიცრუე,అసత్యము
515,Schaden::N,ვნება,నష్టము
516,Unglück::N,ხიფათი,దురదృష్టము
517,Unglück::N,უბედურება,దురదృష్టము
518,Schuld::N,ბრალი,తప్పు
519,Alter::N,ასაკი,వయస్సు
520,Schluss::N,ბოლო,ముగింపు
521,Schluss::N,დასასრული,ముగింపు
522,Zeit::N,დრო,కాలము
523,Tag::N,დღე,దినము
524,Morgen::N,დილა,ఉదయము
525,Mittag::N,შუადღე,మధ్యాహ్నము
526,Abend::N,საღამო,సాయంకాలము
527,Nacht::N,ღამე,రత్రి
528,Woche::N,კვირა,వారము
529,Monat::N,თვე,నెల
530,Jahr::N,წელი,సంవత్సరము
531,Frühling::N,გაზაფხული,వసంతకాలము
532,Sommer::N,ზაფხული,వేసవికాము
533,Herbst::N,შემოდგომა,ఆకురాలుకాలము
534,Winter::N,ზამთარი,శీతకాలము
535,Januar::N,იანვარი,జనవరి
536,Februar::N,თებერვალი,ఫిబ్రవరి
537,März::N,მარტი,మార్చి
538,April::N,აპრილი,ఏప్రిలు
539,Mai::N,მაისი,మే
540,Juni::N,ივნისი,జూన్
541,Juli::N,ივლისი,జూలై
542,August::N,აგვისტო,ఆగస్టు
543,September::N,სექტემბერი,సెప్ఠెంబరు
544,Oktober::N,ოქტომბერი,అక్టోబరు
545,November::N,ნოემბერი,నవంబరు
546,Dezember::N,დეკემბერი,డిసెంబర్
547,Montag::N,ორშაბათი,సోమవారము
548,Dienstag::N,სამშაბათი,మంగళవారము
549,Mittwoch::N,ოთხშაბათი,బుధవారము
550,Donnerstag::N,ხუთშაბათი,గురువారము
551,Freitag::N,პარასკევი,శుక్రవారము
552,Samstag::N,შაბათი,శనివారము
553,Sonntag::N,კვირა,ఆదివారము
554,groß::A,დიდი,గొప్పైన
555,klein::A,მცირე,చిన్న
556,klein::A,პატარა,చిన్న
557,lang::A,გრძელი,పొడుగాటి
558,kurz::A,მოკლე,పొట్టి
559,breit::A,ფართო,వెడల్పైన
560,breit::A,განიერი,వెడల్పైన
561,schmal::A,ვიწრო,ఇఱుకైన
562,schmal::A,წვრილი,ఇఱుకైన
563,dicht::A,მჭიდრო,దట్టమైన
564,dick[Gegenstand]::A,სქელი,దట్టమైన
565,dünn::A,წვრილი,పలుచని
566,fein::A,თხელი,నాజాకైన
567,fest::A,მყარი,దృడమైవ
568,flach::A,ბრტყელი,చదువైన
569,glatt::A,გლუ,నున్నని
570,hart::A,მაგარი,కఠినమైన
571,weich::A,რბილი,మృదువైన
572,rund::A,მრგვალი,గుండ్రని
573,spitz::A,წვეტიანი,మొనగల
574,scharf::A,მჭრელი,పదనైన
575,stumpf::A,ბლაგვი,వాడిలేని
576,schwer::A,მძიმე,బరువ్తెన
577,schön::A,ლამაზი,సుందరమైన
578,heiß::A,ცხელი,వేడియైన
579,warm::A,თბილი,వెచ్చని
580,kalt::A,ცივი,చల్లని
581,kühl::A,გრილი,చల్లని
582,frisch::A,სუფთა,తాజాయైన
583,feucht::A,ნოტიო,చెమ్మగానున్న
584,nass::A,სველი,తడిగామన్న
585,trocken::A,მშრალი,ఎండిన
586,voll::A,სავსე,నిండు
587,leer::A,ცარიელი,శూన్యమైన
588,offen::A,ღია,తెఱచియున్న
589,offen::A,გაშლილი,తెఱచియున్న
590,geschlossen::A,დახურული,మూసిన
591,sauber::A,სუფთა,పరిశుద్ధమైన
592,sauber::A,წმინდა,పరిశుద్ధమైన
593,schmutzig::A,ტალახიანი,ముఱికియైన
594,roh::A,უმი,పచ్చి
595,reif::A,მწიფე,పండివ
596,lecker::A,გემრიელი,రుచి గల
597,süß::A,ტკბილი,తియ్యని
598,bitter::A,მწარე,చేదైన
599,sauer::A,მჟავე,పుల్లని
600,hell::A,ნათელი,కాంతిగల
601,dunkel::A,ბნელი,చీకటియైన
602,schwarz::A,შავი,నల్లని
603,weiß::A,თეთრი,తెలుపు
604,rot::A,წითელი,ఎఱ్ఱని
605,gelb::A,ყვითელი,పసుపు పచ్చ
606,blau::A,ლურჯი,నీలవర్ణము
607,blau::A,ცისფერი,నీలవర్ణము
608,grün::A,მწვანე,ఆకుపచ్చని
609,grau::A,რუხი,నెరిసిన
610,grau::A,ნაცრისფერი,నెరిసిన
611,bunt::A,ჭრელი,రంగేలీ
612,bunt::A,ფერადი,రంగేలీ
613,billig::A,იაფი,చౌకయైన
614,teuer::A,ძვირი,వెలపొడుగైన
615,wertvoll::A,ღირსიანი,విలుప్తెన
616,blind::A,ბრმა,గ్రుడ్డి
617,taub::A,ყრუ,చెవిటి
618,kräftig::A,ძალავანი,శక్తి గల
619,stark::A,ძლიერი,బలమైన
620,stark::A,ღონიერი,బలమైన
621,schwach::A,სუსტი,బలహీనమైన
622,fett::A,სქელი,క్రొవ్విన
623,schlank::A,გამხდარი,సన్నని
624,hübsch::A,ეშხიანი,సాగప్తెన
625,hübsch::A,მშვენიერი,సాగప్తెన
626,böse::A,ავი,చెడ్డ
627,böse::A,ბოროტი,చెడ్డ
628,dumm::A,ბოთე,తెలివిలేని
629,dumm::A,სულელი,తెలివిలేని
630,faul::A,ზანტი,సోమరియైన
631,faul::A,ზარმაცი,సోమరియైన
632,fleißig::A,ბეჯითი,శ్రద్దగల
633,fleißig::A,მუყაითი,శ్రద్దగల
634,geizig::A,ძუნწი,పిసినారియైన
635,klug::A,ჭკვიანი,తెలివిగల
