,Concept_ID,it,ady
90,Eis::N,ghiaccio,мылы
91,Frost::N,gelo,
92,Kälte::N,freddo,чъыӏэ́
93,Hitze::N,caldo,фэба́е
94,Hitze::N,calura,фэба́е
95,Raureif::N,brina,
96,Regenbogen::N,arcobaleno, лэгъупэкъо́пс
97,Donner::N,tuono,шыблэ́
98,Strömung::N,corrente,ток
99,Tropfen::N,goccia,ткӏопс
100,Tropfen::N,goccia,гъуаткӏу
101,Schaum::N,spuma,тхъурбэ
102,Schaum::N,schiuma,тхъурбэ
103,Schmutz::N,sudiciume,псынжъы
104,See::N,lago,хыку́м
105,See::N,lago,псыхъура́й
106,Sumpf::N,palude,орыжъ
107,Moor::N,torbiera,орыжъ
108,Wiese::N,prato,хъупӏэ́
109,Wiese::N,prato,мэкъупӏ
110,Wald::N,bosco,мэзы́
111,Wald::N,foresta,мэзы́
112,Hügel::N,colle,ӏуашъхь
113,Hügel::N,collina,ӏуашъхь
114,Anhöhe::N,altura,чӏыӏэтыгъ
115,Berg::N,monte,къушъхьэ́
116,Berg::N,montagna,къушъхьэ́
117,Gipfel::N,cima,шыгу
118,Höhle::N,grotta,гъочӏэгъ
119,Höhle::N,caverna,гъочӏэгъ
120,Abhang::N,pendìo,чапэ
121,Quelle::N,sorgente,псынэчэ́чъ
122,Bach::N,ruscello,псышкуашку
123,Fluss::N,fiume,псыхъо́
124,Ufer::N,riva,нэпкъы
125,Küste::N,costa,ӏушъо
126,Festland::N,terraferma,чӏл́ыгу
127,Meer::N,mare,хы
128,Bucht::N,cala,хыблыгу
129,Insel::N,ìsola,хыгъэхъу́н
130,Blume::N,fiore,къэгъа́гь
131,Gras::N,erba,уцы́
132,Wurzel::N,radice,лъапсэ́
133,Baum::N,àlbero,чъыгы́
134,Stamm::N,tronco,пкъы
135,Rinde::N,corteccia,пхъашъо́
136,Ast::N,ramo,куамэ
137,Zweig::N,ramo,къутамэ́
138,Blatt::N,foglia,тхьап
139,Birke::N,betulla,пчэн
140,Kiefer[Baum]::N,pino,сэснэй
141,Weide[Baum]::N,sàlice,пце́л
142,Tanne::N,abete,ель
143,Horn::N,corno,бжъэ
144,Feder::N,penna,къамӏы́й
145,Fell::N,manto,шъо
146,Fell::N,pelame,шъо
147,Flügel::N,ala,тамэ́
148,Klaue::N,grinfia,лъэбжъа́н
149,Kralle::N,unghia,лъакъо
150,Kralle::N,artiglio,лъакъо
151,Schwanz::N,coda,кӏэ
152,Ei::N,uovo,кӏэнкӏэ́
153,Nest::N,nido,набгъо́
154,Bau::N,covo,гъу
155,Bau::N,covo,бы
156,Tier::N,bestia,псэу́шъхь
157,Tier::N,animale,псэу́шъхь
158,Herde::N,gregge,ӏэхъогъу
159,Kuh::N,vacca,чэмы́
160,Bulle::N,toro,цу
161,Pferd::N,cavallo,шы
162,Schaf::N,pècora,мэлы́
163,Schwein::N,porco,къо
164,Schwein::N,maiale,къо
165,Hund::N,cane,бьэ
166,Katze::N,gatta,чэты́у
167,Bär::N,orso,мышъэ́
168,Eichhörnchen::N,scoiàttolo,цызэ́
169,Elch::N,alce,лось
170,Fuchs::N,volpe,баджэ́
171,Hase::N,lepre,тхьакӏумкӏы́хь
172,Maus::N,topo,цыгъо́
173,Maus::N,sorcio,цыгъо́
174,Wolf::N,lupo,тыгъу́жъ
175,Vogel::N,uccello,бзы́у
176,Schwarm::N,stormo,отэр
177,Huhn::N,gallina,чэты́
178,Hahn::N,gallo,атакъэ́
179,Gans::N,oca,къа́з
180,Adler::N,àquila,
181,Ente::N,ànatra,псычэ́т
182,Eule::N,gufo,тыгъурыгъу
183,Eule::N,civetta,тыгъурыгъу
184,Kranich::N,gru,къэрэ́у
185,Krähe::N,cornacchia,къолэ́жъ
186,Kuckuck::N,cuccù,куку́у
187,Kuckuck::N,cùculo,куку́у
188,Schwan::N,cigno,
189,Fisch::N,pesce,пцэжъы́й
190,Barsch::N,pèrsico,тхыкъэц
191,Hecht::N,luccio,лэнд
192,Schlange[Tier]::N,serpente,блэ́
193,Wurm::N,baco,хьамлыу
194,Wurm::N,verme,хьамлыу
195,Spinne::N,ragno,бэдж
196,Ameise::N,formica,къамзэ́гу
197,Laus::N,pidocchio,цӏэ
198,Mücke::N,zanzara,аргъо́й
199,Fliege::N,mosca,бадзэ́
200,Schmetterling::N,farfalla,хьампӏыра́шъу
201,Beere::N,bacca,маткӏо
202,Apfel::N,mela,мыӏэры́с
203,Pilz::N,fungo,хьаӏу
204,Zwiebel::N,cipolla,бжьыны́
205,Saat::N,semente,чылапхъ
206,Korn::N,grano,цэ
207,Heu::N,fieno,мэкъу
208,Schale::N,buccia,кӏы́шъу
209,Grube::N,cava,машэ́
210,Grube::N,fossa,машэ́
211,Falle::N,tràppola,зэраубытырэ́ ӏэмэпсы́м
212,Schlinge::N,laccio,бзыуубыт
213,Spur::N,traccia,ужы
214,Spur::N,traccia,лъэуж
215,Asche::N,cenere,яжьэ́
216,Dreck::N,fango,псынжъы
217,Eisen::N,ferro,гыучӏы́
218,Eisen::N,ferro,къэнджа́л
219,Gold::N,oro,дышъэ́
220,Silber::N,argento,тыжьы́н
221,Kohle::N,carbone,шӏомыкӏ
222,Glas::N,vetro,апч
223,Lehm::N,argilla,етӏагъо́
224,Sand::N,arena,пшахъо
225,Sand::N,sabbia,пшахъо
226,Mensch::N,uomo,цӏыфы́
227,Mensch::N,èssere umano,цӏыфы́
228,Mann::N,uomo,хъулъфы́гъ
229,Frau::N,donna,бӏылъфыгъэ́
230,Kind::N,bambino,кӏэлэцӏы́кӏу
231,Junge::N,ragazzo,кӏэлэцӏы́кӏу
232,Mädchen::N,ragazza,пшъэшъэжъый
233,Familie::N,famiglia,быны́
234,Familie::N,famiglia,уна́гъу
235,Großvater::N,nonno,тэтэ́жъ
236,Großmutter::N,nonna,нэнэ́жъ
237,Eltern::N,genitori,ны-тыхэ́р
238,Vater::N,padre,ты
239,Mutter::N,madre,ны
240,Sohn::N,figlio,къо
241,Tochter::N,figlia,пхъу
242,Bruder::N,fratello,шы
243,Schwester::N,sorella,шы́пхъу
244,Onkel::N,zio,янэ́ш
245,Tante::N,zia,атэшыпхъу
246,Ehemann::N,marito,лӏы
247,Ehefrau::N,moglie,шъу́з
248,Freude::N,gioia,гушӏуа́гъу
249,Freude::N,piacere,гушӏуа́гъу
250,Gelächter::N,risata,щхыныр
251,Glück::N,felicità,насы́п
252,Kummer::N,afflizione,тхьамыкӏагъу
253,Wunsch::N,desiderio,шӏонгъоны́гъ
254,Lust::N,voglia,шӏонгъоны́гъ
255,Geist::N,mente,гу
256,Geist::N,spìrito,гу
257,Gedanke::N,idea,гупшыс
258,Gedanke::N,pensiero,гупшыс
259,Gedächtnis::N,memoria,память
260,Verstand::N,intelletto,акъы́л
261,Sinn::N,senso,мэхьанэ
262,Sinn::N,significato,мэхьанэ
263,Grund::N,causa,ушъхьагъу
264,Grund::N,motivo,ушъхьагъу
265,Grund::N,ragione,ушъхьагъу
266,Wahrheit::N,verità,шъыпкъэ́
267,Gespräch::N,discorso,гущыӏ
268,Gespräch::N,conversazione,гущыӏ
269,Märchen::N,fiaba,пшысэ
270,Märchen::N,fàvola,пшысэ
271,Erzählung::N,racconto,къэба́р
272,Erzählung::N,narrazione,къэба́р
273,Nachricht::N,messaggio,къэба́р
274,Neuigkeit::N,notizia,къэбарыкӏ
275,Name::N,nome,цӏэ
276,Rätsel::N,indovinello,коджэхь-къоджэшх
277,Rede::N,discorso,гущыӏ
278,Sprache::N,lingua,бзэ
279,Sprache::N,linguaggio,бзэ
280,Stimme::N,voce,макъэ́
281,Wort::N,parola,гущыӏ
282,Zeichen::N,segno,тамы́гъ
283,Zeichen::N,segnale,тамы́гъ
284,Ruf::N,chiamata,джэ макъ
285,Lärm::N,chiasso,макъэ
286,Lärm::N,strèpito,макъэ
287,Laut::N,suono,макъэ
288,Ton::N,tono,
289,Lied::N,canto,орэ́д
290,Lied::N,canzone,орэ́д
291,Ruhe::N,calma,самбырыныгъ
292,Ruhe::N,tranquillità,самбырыныгъ
293,Leute::N,gente,цӏыфхэ́р
294,Volk::N,pòpolo,цӏыф лъэпкъ
295,Arbeit::N,lavoro,ӏофшӏакӏэ́н
296,Gast::N,òspite,хьакӏэ́
297,Gast::N,invitato,хьакӏэ́
298,Geschenk::N,regalo,шӏухьафтын
299,Spiel::N,gioco,еоны́р
300,Spiel::N,gioco,джэгуны́р
301,Spiel::N,gioco,къегъэӏоны́р
302,Gesellschaft::N,compagnìa,обществ
303,Hilfe::N,aiuto,ӏэпыӏэгъу
304,Hilfe::N,soccorso,ӏэпыӏэгъу
305,Freund::N,amico,ныбджэгъу
306,Kamerad::N,camerata,ныбджэгъу
307,Angelegenheit::N,affare,ӏофы́
308,Angelegenheit::N,faccenda,ӏофы́
309,Anzahl::N,nùmero,пчъагъэ́
310,Anzahl::N,quantità,пчъагъэ́
311,Art::N,tipo,изэрэщы́т
312,Art::N,tipo,лъэпкъ
313,Art::N,specie,изэрэщы́т
314,Art::N,specie,лъэпкъ
315,Stück::N,pezzo,такъы́р
316,Teil::N,parte,щыщ
317,Teil::N,parte,ӏахь
318,Hälfte::N,metà,ныкъо́
319,Kreis::N,cìrcolo,хъура́й
320,Kreuz::N,croce,къащ
321,Linie::N,lìnea,хъахъ
322,Linie::N,lìnea,итхъа́гъ
323,Strich::N,tratto,хъахъ
324,Strich::N,tratto,итхъагъ
325,Abstand::N,distanza,азыфагу
326,Entfernung::N,distanza,чӏыгууанэ
327,Entfernung::N,lontananza,чӏыгууанэ
328,Gegend::N,regione,чӏыпӏэ́
329,Platz::N,posto,азыфагу
330,Platz::N,spazio,азыфагу
331,Ort::N,luogo,чӏыпӏэ́
332,Ort::N,località,чӏыпӏэ́
333,Seite::N,lato,лъэны́къу
334,Seite::N,parte,лъэны́къу
335,Mitte::N,mezzo,гузэ́гу
336,Mitte::N,centro,гузэ́гу
337,Gegenstand::N,oggetto,пкъыгъо
338,Sache::N,cosa,
339,Rand::N,orlo,цакӏэ́
340,Rand::N,bordo,цакӏэ́
341,Kante::N,spìgolo,цэгэналъ
342,Ecke::N,canto,къогъу
343,Spitze::N,punta,пакӏэ
344,Ende::N,capo,кӏэ
345,Ende::N,estremità,кӏэ
346,Loch::N,buco,гъуа́н
347,Winkel::N,àngolo,къогъу
348,Muster::N,disegno,тхыпхъэ
349,Größe::N,taglia,иина́гъ
350,Größe::N,grandezza,иина́гъ
351,Länge::N,lunghezza,икӏыхьа́гъ
352,Höhe::N,altezza,лъэгагъ
353,Gewicht::N,peso,онтэгъугъэ́
354,Menge::N,quantità,пчъагъэ́
355,Haufen::N,cùmulo,ӏат
356,Haufen::N,mucchio,ӏат
357,Reihe::N,fila,саты́р
358,Boot::N,barca,къуашъо́
359,Boot::N,battello,къуашъо́
360,Ruder::N,remo,къошъобэ́щ
361,Schlitten::N,slitta,
362,Ski::N,sci,лыжэхэр
363,Lagerfeuer::N,falò,пхъэмашӏу
364,Lagerfeuer::N,fuoco di bivacco,пхъэмашӏу
365,Last::N,càrico,
366,Gang::N,andata,кӏоныр
367,Schritt::N,passo,лъэубэ́къу
368,Norden::N,nord,темы́р
369,Norden::N,settentrione,темы́р
370,Süden::N,sud,къыблэ́
371,Süden::N,meridione,къыблэ́
372,Westen::N,òvest,тыгъэкъохьа́пӏ
373,Westen::N,occidente,тыгъэкъохьа́пӏ
374,Osten::N,est,тыгьэкъокӏы́пӏ
375,Osten::N,oriente,тыгьэкъокӏы́пӏ
376,Holz::N,legno,чъыгы́
377,Brett::N,asse,пхъэ́мбгъу
378,Brett::N,tàvola,пхъэ́мбгъу
379,Platte::N,lastra,упсыхьагъ
380,Platte::N,piastra,упсыхьагъ
381,Stütze::N,supporto,кӏэгъэкъон
382,Stange::N,sbarra,къорэ́гъ
383,Stange::N,pèrtica,къорэ́гъ
384,Stock::N,verga,бэщ
385,Stock::N,bastone,бэщ
386,Stock::N,bacchetta,бэщ
387,Stab::N,asta,бэщ кӏы́хь
388,Rohr::N,tubo,онджэкъ
389,Haus::N,casa,унэ́
390,Heim::N,casa,унэ́
391,Ofen::N,stufa,гъэжъэн
392,Fußboden::N,pavimento,джэхашъу
393,Tisch::N,tàvolo,стол
394,Stuhl::N,sedia,пхъэнтӏэ́кӏу
395,Wiege::N,culla,кушъэ́
396,Bett::N,letto,пӏэкӏо́р
397,Regal::N,scaffale,мэкӏай
398,Kiste::N,cassa,ящык
399,Fenster::N,finestra,шъхьаныгъу́пчъ
400,Tür::N,porta,пчъэ
401,Tor::N,portone,къэла́пчъ
402,Zaun::N,recinto,шӏыхьагъэ́
403,Dach::N,tetto,шъхьэ́
404,Leiter::N,scala,лъэо́й
405,Leiter::N,scala,дэкӏояпӏэ́
406,Leiter::N,scala a pioli,лъэо́й
407,Leiter::N,scala a pioli,дэкӏояпӏэ́
408,Besen::N,scopa,пхъэнкӏы́пхъ
409,Spaten::N,vanga,къазгъы́р
410,Schaufel::N,pala,хэӏалъ
411,Gabel::N,forchetta,цацэ
412,Löffel::N,cucchiaio,джэмы́шх
413,Messer::N,coltello,шъэжъы́й
414,Nagel::N,chiodo,гъучӏыӏу́н
415,Netz::N,rete,хъытыу
416,Haken::N,uncino,хьажтӏаркъу
417,Griff::N,mànico,къопс
418,Griff::N,maniglia,къопс
419,Schloss::N,serratura,ӏункӏы́бз
420,Bild::N,quadro,сурэ́т
421,Bild::N,immàgine,сурэ́т
422,Figur::N,figura,
423,Puppe::N,bàmbola,нысхъа́п
424,Beutel::N,borsa,дзыо́
425,Beutel::N,sacchetto,дзыо́
426,Bündel::N,fascio,
427,Bündel::N,fagotto,
428,Tasche::N,borsa,ӏэлъмэ́къ
429,Eimer::N,secchio,щалъ
430,Deckel::N,coperchio,шъхьэ
431,Geschirr::N,stoviglie,хьакъу-шыкъу
432,Sack::N,sacco,дзыо́
433,Tasse::N,tazza,чашк
434,Topf::N,pèntola,кастрюль
435,Kessel::N,paiolo,шыуа́н
436,Kessel::N,calderone,шыуа́н
437,Essen::N,pasto,шхэн
438,Essen::N,mangiare,шхэн
439,Nahrung::N,cibo,шхэн
440,Nahrung::N,alimento,шхэн
441,Speise::N,piatto,шхыныгъу
442,Fleisch::N,carne,лы
443,Getreide::N,cereali,лэжьыгъацэ́
444,Brei::N,purè,пӏастэ́
445,Brei::N,pappa,пӏастэ́
446,Brot::N,pane,хьалыгъу
447,Scheibe::N,fetta,такъы́р
448,Scheibe::N,trancia,такъы́р
449,Fett::N,grasso,дагъэ́
450,Butter::N,burro,тхъу
451,Öl::N,olio,тхъу
452,Salz::N,sale,щыгъу
453,Suppe::N,zuppa,хьантхъупс
454,Suppe::N,minestra,хьантхъупс
455,Honig::N,miele,шъоу́
456,Milch::N,latte,щэ
457,Tee::N,tè,щай
458,Leder::N,pelle,кӏы́шъу
459,Wolle::N,lana,цы
460,Stoff::N,panno,шэкӏы
461,Stoff::N,tessuto,шэкӏы
462,Nadel::N,ago,бгъэ́хаӏу
463,Faden::N,filo,ӏуда́н
464,Knopf::N,bottone,занкӏэу
465,Knoten::N,nodo,зэкъодзапӏэ
466,Farbe::N,pittura,краск
467,Kleidung::N,vestiti,щыгъы́ны
468,Kleidung::N,vestiario,щыгъы́ны
469,Hemd::N,camicia,джан
470,Kragen::N,bàvero,пшъапӏ
471,Kragen::N,colletto,пшъапӏ
472,Ärmel::N,mànica,гъуап
473,Hose::N,calzoni,гъончэ́дж
474,Gürtel::N,cintura,бгыры́пх
475,Mütze::N,berretto,паӏо́
476,Schuh::N,scarpa,
477,Stiefel::N,stivale,щазым
478,Ring::N,anello,ӏэлъы́н
479,Band::N,nastro,лент
480,Band::N,fettuccia,лент
481,Kamm::N,pèttine,мажь
482,Spiegel::N,specchio,гъундж
483,Riemen::N,cinghia,бгыры́пх
484,Schnur::N,corda,кӏапсэ́
485,Leine::N,guinzaglio,шъокӏапс
486,Decke::N,coperta,чыхӏэн
487,Kissen::N,cuscino,шъхьант
488,Kissen::N,guanciale,шъхьант
489,Tuch::N,fazzoletto,шъхьэтехъу
490,Handtuch::N,asciugamano,ӏаплъэкӏ
491,Kraft::N,forza,къары́у
492,Kraft::N,forza,кӏуачӏэ́
493,Stärke::N,forza,кӏуачӏэ́
494,Stärke::N,vigore,кӏуачӏэ́
495,Stärke::N,fortezza,кӏуачӏэ́
496,Gesundheit::N,salute,псауныгъ
497,Krankheit::N,malattìa,узы
498,Schmerz::N,dolore,узы
499,Wunde::N,piaga,уӏагъэ́
500,Wunde::N,ferita,уӏагъэ́
501,Fieber::N,febbre,техьа́гъу
502,Fieber::N,febbre,жъоку
503,Arznei::N,fàrmaco,ӏэзэ́гъу
504,Arznei::N,medicina,ӏэзэ́гъу
505,Brücke::N,ponte,лъэмы́д ж
506,Brunnen::N,pozzo,псынэ́
507,Weide::N,pàscolo,хъупӏэ́
508,Pfad::N,sentiero,лъагъу
509,Weg::N,via,гъо́гу
510,Weg::N,cammino,гъо́гу
511,Straße::N,strada,гъо́гу
512,Dorf::N,paese,къуа́дж
513,Dorf::N,villaggio,къуа́дж
514,Stadt::N,città,къалэ́
515,Brief::N,lèttera,тхэн
516,Brief::N,lèttera,письмэ
517,Buch::N,libro,тхы́лъ
518,Buchstabe::N,lèttera,хьары́ф
519,Zeitung::N,giornale,газет
520,Leben::N,vita,гъашӏэ́
521,Tod::N,morte,аджал
522,Grab::N,tomba,бэны́
523,Grab::N,sepolcro,бэны́
524,Kirche::N,chiesa,чылы́с
525,Sünde::N,peccato,гунахь
526,Gott::N,dio,тхьэ
527,Arbeiter::N,operaio,рабоч
528,Arbeiter::N,lavoratore,рабоч
529,Chef::N,capo,гъэр
530,Chef::N,padrone,гъэр
531,Meister::N,mastro,ӏэпыӏа́с
532,Meister::N,maestro,ӏэпыӏа́с
533,Arzt::N,mèdico,
534,Arzt::N,dottore,
535,Lehrer::N,professore,кӏэлэегъа́дж
536,Geld::N,soldi,ахъщ
537,Geld::N,denaro,ахъщ
538,Geschäft::N,affare,ӏофшӏэн
539,Geschäft::N,negozio,ӏофшӏэн
540,Laden::N,negozio,туча́н
541,Preis::N,prezzo,уасэ́
542,Ware::N,merce,хьап-щып
543,Nutzen::N,ùtile,чар
544,Nutzen::N,ùtile,федэ́
545,Nutzen::N,profitto,чар
546,Nutzen::N,profitto,федэ́
547,Reichtum::N,ricchezza,байныгъ
548,Welt::N,mondo,дуна́й
549,Land::N,paese,хэгъэ́́гу
550,Staat::N,Stato,къэралыгъу
551,König::N,re,пачъы́хь
552,Macht::N,potere,шынэгъакзэ́
553,Grenze::N,confine,гъуна́пкъ
554,Grenze::N,frontiera,гъуна́пкъ
555,Krieg::N,guerra,зао́
556,Feind::N,nemico,пы́и
557,Gewalt::N,violenza,егъэзыгъэныгъ
558,Kampf::N,lotta,бэнэныгъ
559,Bogen[Waffe]::N,arco,щабз
560,Pfeil::N,freccia,щэбза́щ
561,Gewehr::N,fucile,шхонч
562,Fehler::N,errore,хэукъоныгъ
563,Fehler::N,sbaglio,хэукъоныгъ
564,Lüge::N,bugìa,пцӏы
565,Lüge::N,menzogna,пцӏы
566,Schaden::N,danno,зэра́р
567,Unglück::N,sfortuna,тхьамыкӏагъу
568,Schuld::N,colpa,мысагъэ́
569,Alter::N,età,ныбжь
570,Schluss::N,fine,кӏэ
571,Zeit::N,tempo,уахътэ́
572,Tag::N,giorno,мафэ́
573,Tag::N,giornata,мафэ́
574,Morgen::N,mattina,пчэды́жь
575,Mittag::N,mezzogiorno,щэджагьу́
576,Abend::N,sera,пчыхьэ́
577,Abend::N,serata,пчыхьэ́
578,Nacht::N,notte,чэщы́
579,Woche::N,settimana,тхьамафэ́
580,Monat::N,mese,мазэ́
581,Jahr::N,anno,илъэ́с
582,Frühling::N,primavera,гъатхэ́
583,Sommer::N,estate,гъэмафэ́
584,Herbst::N,autunno,бжыхьэ́
585,Winter::N,inverno,кӏыма́ф
586,Januar::N,gennaio,январь
587,Februar::N,febbraio,февраль
588,März::N,marzo,март
589,April::N,aprile,апрель
590,Mai::N,maggio,май
591,Juni::N,giugno,июнь
592,Juli::N,luglio,июль
593,August::N,agosto,август
594,September::N,settembre,сентябрь
595,Oktober::N,ottobre,октябрь
596,November::N,novembre,ноябрь
597,Dezember::N,dicembre,декабрь
598,Montag::N,lunedì,блыпэ́
599,Dienstag::N,martedì,гъубдж
600,Mittwoch::N,mercoledì,бэрэскэжъый
601,Donnerstag::N,giovedì,мэфэ́ку
602,Freitag::N,venerdì,бэрэскэшху
603,Samstag::N,sàbato,шэмбэ́т
604,Sonntag::N,domenica,тхьаума́ф
605,groß::A,grande,ины́
606,klein::A,pìccolo,цӏы́кӏу
607,lang::A,lungo,кӏыхьэ́
608,kurz::A,corto,кӏэкӏы́
609,breit::A,largo,шъуамбгъо́
610,schmal::A,stretto,бгъузэ́
611,dicht::A,denso,ӏужъу́
612,dick[Gegenstand]::A,spesso,ӏужъу́
613,dünn::A,sottile,пӏуакӏэ́
614,fein::A,fine,пӏуакӏэ́
615,fein::A,delicato,пӏуакӏэ́
616,fest::A,sodo,пытэ́
617,fest::A,fisso,пытэ́
618,flach::A,piano,тешъо́
619,flach::A,piatto,тешъо́
620,glatt::A,liscio,зэны́бжь
621,hart::A,duro,пытэ́
622,weich::A,molle,шъабэ́
623,rund::A,rotondo,хъура́й
624,spitz::A,aguzzo,папцӏэ́
625,spitz::A,appuntito,папцӏэ́
626,scharf::A,affilato,чан
627,scharf::A,tagliente,чан
628,stumpf::A,smussato,цако́
629,schwer::A,pesante,онтэ́гъу
630,schön::A,bello,дахэ́
631,heiß::A,caldo,жъо́ркъ
632,heiß::A,bollente,жъо́ркъ
633,warm::A,caldo,фабэ́у
634,kalt::A,freddo,чъыӏэ́
635,kühl::A,fresco,чъыӏэтагъ
636,frisch::A,fresco,чъыӏэтагъ
637,feucht::A,ùmido,шынагъэ зиӏэ
638,feucht::A,ùmido,шынэгъакӏэ зиӏэ
639,nass::A,bagnato,цӏынэ́
640,trocken::A,secco,гъушъ
641,trocken::A,secco,чъэпхъыгъ
642,voll::A,pieno,из
643,voll::A,pieno,изыбз
644,leer::A,vuoto,нэкӏы́
645,offen::A,aperto,зэдэхыгъэ
646,geschlossen::A,chiuso,зэфэшӏыгъ
647,sauber::A,netto,къабзэ́
648,sauber::A,pulito,къабзэ́
649,schmutzig::A,sporco,шӏо́и
650,schmutzig::A,sùdicio,шӏо́и
651,roh::A,crudo,мыжъо́
652,reif::A,maturo,чъэпхъыгъ
653,lecker::A,ghiotto,го́хьы
654,lecker::A,squisito,го́хьы
655,süß::A,dolce,ӏэшӏу
656,bitter::A,amaro,дыджы́
657,sauer::A,aspro,хафэ́
658,sauer::A,acerbo,хафэ́
659,hell::A,chiaro,нэфын
660,dunkel::A,buio,мэзэхэ
661,dunkel::A,oscuro,мэзэхэ
662,schwarz::A,nero,шӏуцӏэ
663,weiß::A,bianco,фыжьы́
664,rot::A,rosso,плъыжьы́
665,gelb::A,giallo,гъожьы́
666,blau::A,blu,шхъуантӏэ
667,blau::A,azzurro,шхъуантӏэ
668,grün::A,verde,шхъуантӏэ
669,grau::A,grigio,шхъо
670,bunt::A,variopinto,къолэны
671,billig::A,a buon prezzo,пыут
672,billig::A,a buon mercato,пыут
673,teuer::A,caro,сикӏа́с
674,teuer::A,caro,силъа́пӏ
675,wertvoll::A,prezioso,пкӏэ зиӏ
676,wertvoll::A,prezioso,уасэ́ зыфа́шӏ
677,blind::A,cieco,нэшъу́
678,taub::A,sordo,дэгу
679,kräftig::A,forte,лъэ́ш
680,kräftig::A,robusto,лъэ́ш
681,stark::A,forte,лъэ́ш
682,stark::A,vigoroso,лъэ́ш
683,schwach::A,dèbole,хъыбэй
684,fett::A,grasso,пщэры́
685,schlank::A,snello,ищыгъэ
686,schlank::A,slanciato,ищыгъэ
687,hübsch::A,bello,дахэ́
688,hübsch::A,carino,дахэ́
689,böse::A,cattivo,ябгэ
690,dumm::A,stùpido,делэ
691,faul::A,pigro,шъхьахы́нэ
692,fleißig::A,diligente,егугъурэ
693,geizig::A,avaro,тхьацэ
694,klug::A,intelligente,акъылышӏу́
