,Concept_ID,cs,tr
72,Welle::N,vlna,dalga
73,Wasser::N,voda,su
74,Stein::N,kámen,taş
75,Boden::N,půda,yer
76,Boden::N,půda,zemin
77,Erde::N,země,toprak
78,Staub::N,prach,toz
79,Rauch::N,dým,duman
80,Rauch::N,kouř,duman
81,Funke::N,jiskra,kıvılcım
82,Feuer::N,oheň,ateş
83,Licht::N,světlo,ışık
84,Schatten::N,stín,gölge
85,Wetter::N,počasí,hava
86,Nebel::N,mlha,pus
87,Wolke::N,mrak,bulut
88,Wolke::N,oblak,bulut
89,Regen::N,déšť,yağmur
90,Schnee::N,sníh,kar
91,Eis::N,led,buz
92,Frost::N,mráz,don
93,Kälte::N,chlad,soğukluk
94,Hitze::N,horko,sıcaklık
95,Raureif::N,jinovatka,kırç
96,Regenbogen::N,duha,gökkuşağı
97,Donner::N,hrom,gök gürlemesi
98,Strömung::N,proudění,akıntı
99,Strömung::N,proudění,cereyan
100,Tropfen::N,kapka,damla
101,Schaum::N,pěna,köpük
102,Schmutz::N,špína,çamur
103,Schmutz::N,špína,pislik
104,See::N,jezero,göl
105,Sumpf::N,močál,batak
106,Sumpf::N,bažina,batak
107,Moor::N,bažina,cılgıt
108,Moor::N,slatina,cılgıt
109,Wiese::N,louka,çimen
110,Wald::N,les,koru
111,Wald::N,les,orman
112,Hügel::N,kopec,tepe
113,Anhöhe::N,pahorek,tümsek
114,Anhöhe::N,pahorek,yükseklik
115,Berg::N,hora,dağ
116,Gipfel::N,vrchol,zirve
117,Höhle::N,jeskyně,in
118,Höhle::N,jeskyně,mağara
119,Abhang::N,svah,bayır
120,Abhang::N,stráň,bayır
121,Quelle::N,pramen,pınar
122,Quelle::N,pramen,kaynak
123,Bach::N,potok,çay
124,Bach::N,potok,dere
125,Fluss::N,řeka,nehir
126,Ufer::N,břeh,kıyı
127,Ufer::N,břeh,sahil
128,Küste::N,pobřeží,kıyı
129,Küste::N,pobřeží,sahil
130,Festland::N,souš,kara
131,Festland::N,pevnina,kara
132,Meer::N,moře,deniz
133,Bucht::N,záliv,koy
134,Bucht::N,záliv,körfez
135,Bucht::N,zátoka,koy
136,Bucht::N,zátoka,körfez
137,Insel::N,ostrov,ada
138,Blume::N,květina,çiçek
139,Gras::N,tráva,ot
140,Gras::N,tráva,çim
141,Wurzel::N,kořen,kök
142,Baum::N,strom,ağaç
143,Stamm::N,kmen,gövde
144,Rinde::N,kůra,kabuk
145,Ast::N,větev,dal
146,Ast::N,větev,budak
147,Zweig::N,větev,dal
148,Blatt::N,lupen,yaprak
149,Birke::N,bříza,huş
150,Kiefer[Baum]::N,sosna,çam
151,Kiefer[Baum]::N,borovice,çam
152,Weide[Baum]::N,vrba,söğüt
153,Tanne::N,jedle,çam
154,Tanne::N,jedle,köknar
155,Horn::N,roh,boynuz
156,Feder::N,pero,tüy
157,Fell::N,srst,post
158,Flügel::N,křídlo,kanat
159,Klaue::N,dráp,pençe
160,Klaue::N,pazneht,pençe
161,Kralle::N,dráp,tırnak
162,Schwanz::N,ocas,kuyruk
163,Ei::N,vejce,yumurta
164,Nest::N,hnízdo,yuva
165,Bau::N,nora,in
166,Tier::N,zvíře,hayvan
167,Herde::N,stádo,sürü
168,Kuh::N,kráva,inek
169,Bulle::N,býk,boğa
170,Pferd::N,kůň,at
171,Pferd::N,kůň,beygir
172,Schaf::N,ovce,koyun
173,Schwein::N,vepř,domuz
174,Schwein::N,prase,domuz
175,Hund::N,pes,it
176,Hund::N,pes,köpek
177,Katze::N,kočka,kedi
178,Bär::N,medvěd,ayı
179,Eichhörnchen::N,veverka,sincap
180,Elch::N,los,büyük kuzey geyiği
181,Fuchs::N,liška,tilki
182,Hase::N,zajíc,tavşan
183,Maus::N,myš,fare
184,Maus::N,myš,sıçan
185,Wolf::N,vlk,kurt
186,Vogel::N,pták,kuş
187,Schwarm::N,roj,sürü
188,Schwarm::N,hejno,sürü
189,Huhn::N,kuře,tavuk
190,Huhn::N,slepice,tavuk
191,Hahn::N,kohout,horoz
192,Gans::N,husa,kaz
193,Adler::N,orel,kartal
194,Adler::N,orel,karakuş
195,Ente::N,kachna,ördek
196,Eule::N,sova,baykuş
197,Kranich::N,jeřáb,turna
198,Krähe::N,vrána,karga
199,Kuckuck::N,kukačka,guguk
200,Schwan::N,labuť,kuğu
201,Fisch::N,ryba,balık
202,Barsch::N,okoun,hani
203,Barsch::N,okoun,levrek
204,Hecht::N,štika,turnabalığı
205,Schlange[Tier]::N,had,yılan
206,Wurm::N,červ,kurt
207,Wurm::N,červ,solucan
208,Spinne::N,pavouk,örümcek
209,Ameise::N,mravenec,karınca
210,Laus::N,veš,bit
211,Mücke::N,komár,sivrisinek
212,Fliege::N,moucha,sinek
213,Schmetterling::N,motýl,kelebek
214,Beere::N,bobule,tane
215,Apfel::N,jablko,elma
216,Pilz::N,houba,mantar
217,Zwiebel::N,cibule,soğan
218,Saat::N,osivo,ekin
219,Korn::N,zrno,tane
220,Heu::N,seno,kuru ot
221,Schale::N,slupka,kabuk
222,Schale::N,skořápka,kabuk
223,Grube::N,jáma,çukur
224,Falle::N,past,tuzak
225,Falle::N,léčka,tuzak
226,Schlinge::N,smyčka,ilmik
227,Spur::N,stopa,iz
228,Asche::N,popel,kül
229,Dreck::N,špína,pislik
230,Eisen::N,železo,demir
231,Gold::N,zlato,altın
232,Silber::N,stříbro,gümüş
233,Kohle::N,uhlí,kömür
234,Glas::N,sklo,cam
235,Lehm::N,jíl,balçık
236,Lehm::N,hlína,balçık
237,Sand::N,písek,kum
238,Mensch::N,člověk,insan
239,Mann::N,muž,adam
240,Mann::N,muž,erkek
241,Frau::N,žena,bayan
242,Kind::N,dítě,çocuk
243,Junge::N,hoch,erkek çocuk
244,Junge::N,chlapec,erkek çocuk
245,Mädchen::N,děvče,kız
246,Familie::N,rodina,aile
247,Großvater::N,děd,dede
248,Großvater::N,děd,büyükbaba
249,Großvater::N,dědeček,dede
250,Großvater::N,dědeček,büyükbaba
251,Großmutter::N,babička,nine
252,Großmutter::N,babička,büyükanne
253,Eltern::N,rodiče,ebeveyn
254,Eltern::N,rodiče,ana baba
255,Vater::N,otec,ata
256,Vater::N,otec,baba
257,Mutter::N,matka,ana
258,Mutter::N,matka,anne
259,Sohn::N,syn,oğul
260,Tochter::N,dcera,kız
261,Tochter::N,dcera,kız evlât
262,Bruder::N,bratr,abi
263,Bruder::N,bratr,erkek kardeş
264,Schwester::N,sestra,abla
265,Schwester::N,sestra,kız kardeş
266,Onkel::N,strýc,dayı
267,Tante::N,teta,hala
268,Tante::N,teta,teyze
269,Ehemann::N,choť,koca
270,Ehemann::N,manžel,koca
271,Ehefrau::N,choť,karı
272,Ehefrau::N,manželka,karı
273,Freude::N,radost,neşe
274,Freude::N,radost,sevinç
275,Gelächter::N,smích,gülme
276,Gelächter::N,smích,kahkaha
277,Glück::N,štěstí,mutluluk
278,Kummer::N,žal,dert
279,Kummer::N,žal,keder
280,Kummer::N,trápení,dert
281,Kummer::N,trápení,keder
282,Wunsch::N,přání,arzu
283,Wunsch::N,přání,istek
284,Lust::N,chuť,arzu
285,Lust::N,chuť,heves
286,Geist::N,duch,tin
287,Gedanke::N,myšlenka,fikir
288,Gedanke::N,myšlenka,düşünce
289,Gedächtnis::N,paměť,bellek
290,Verstand::N,rozum,zekâ
291,Sinn::N,smysl,anlam
292,Grund::N,důvod,sebep
293,Wahrheit::N,pravda,doğruluk
294,Wahrheit::N,pravda,gerçeklik
295,Gespräch::N,rozhovor,görüşme
296,Märchen::N,pohádka,masal
297,Erzählung::N,povídka,öykü
298,Erzählung::N,povídka,hikâye
299,Nachricht::N,zpráva,haber
300,Neuigkeit::N,novina,haber
301,Neuigkeit::N,novinka,haber
302,Name::N,jméno,ad
303,Name::N,jméno,isim
304,Rätsel::N,hádanka,bilmece
305,Rede::N,řeč,söylev
306,Rede::N,řeč,konuşma
307,Rede::N,proslov,söylev
308,Rede::N,proslov,konuşma
309,Sprache::N,řeč,dil
310,Sprache::N,řeč,lisan
311,Sprache::N,jazyk,dil
312,Sprache::N,jazyk,lisan
313,Stimme::N,hlas,ses
314,Wort::N,slovo,kelime
315,Zeichen::N,znamení,işaret
316,Ruf::N,zavolání,çağırma
317,Lärm::N,hluk,şamata
318,Lärm::N,hluk,gürültü
319,Laut::N,zvuk,ses
320,Ton::N,tón,ses
321,Lied::N,píseň,türkü
322,Ruhe::N,klid,sakinlik
323,Ruhe::N,pokoj,sakinlik
324,Leute::N,lidé,halk
325,Leute::N,lidé,insanlar
326,Volk::N,národ,ulus
327,Volk::N,národ,millet
328,Arbeit::N,práce,iş
329,Arbeit::N,práce,çalışma
330,Gast::N,host,konuk
331,Gast::N,host,misafir
332,Geschenk::N,dar,hediye
333,Geschenk::N,dar,armağan
334,Spiel::N,hra,oyun
335,Gesellschaft::N,společnost,çevre
336,Gesellschaft::N,společnost,arkadaşlık
337,Hilfe::N,pomoc,yardım
338,Freund::N,přítel,dost
339,Freund::N,přítel,arkadaş
340,Kamerad::N,kamarád,arkadaş
341,Angelegenheit::N,záležitost,iş
342,Angelegenheit::N,záležitost,husus
343,Anzahl::N,počet,sayı
344,Art::N,druh,çeşit
345,Stück::N,kus,tane
346,Stück::N,kus,parça
347,Stück::N,kousek,tane
348,Stück::N,kousek,parça
349,Teil::N,díl,kısım
350,Teil::N,část,kısım
351,Hälfte::N,půl,yarı
352,Kreis::N,kruh,daire
353,Kreuz::N,kříž,haç
354,Linie::N,linka,hat
355,Linie::N,linka,çizgi
356,Strich::N,čára,çizgi
357,Strich::N,čárka,çizgi
358,Abstand::N,vzdálenost,aralık
359,Entfernung::N,vzdálenost,mesafe
360,Entfernung::N,vzdálenost,uzaklık
361,Gegend::N,krajina,yöre
362,Platz::N,prostor,yer
363,Ort::N,místo,yer
364,Seite::N,strana,yan
365,Seite::N,strana,taraf
366,Mitte::N,střed,orta
367,Mitte::N,střed,merkez
368,Mitte::N,prostředek,orta
369,Mitte::N,prostředek,merkez
370,Gegenstand::N,předmět,şey
371,Sache::N,věc,iş
372,Sache::N,věc,şey
373,Rand::N,kraj,kenar
374,Rand::N,okraj,kenar
375,Kante::N,hrana,kenar
376,Ecke::N,roh,köşe
377,Spitze::N,hrot,uç
378,Spitze::N,hrot,baş
379,Spitze::N,špička,uç
380,Spitze::N,špička,baş
381,Ende::N,konec,uç
382,Loch::N,díra,oyuk
383,Loch::N,díra,delik
384,Winkel::N,kout,köşe
385,Muster::N,vzor,örnek
386,Größe::N,velikost,büyüklük
387,Länge::N,délka,uzunluk
388,Höhe::N,výška,yükseklik
389,Gewicht::N,váha,ağırlık
390,Menge::N,množství,miktar
391,Haufen::N,kupa,küme
392,Haufen::N,kupa,yığın
393,Haufen::N,hromada,küme
394,Haufen::N,hromada,yığın
395,Reihe::N,řada,sıra
396,Reihe::N,řádek,sıra
397,Boot::N,člun,kayık
398,Boot::N,člun,sandal
399,Ruder::N,veslo,kürek
400,Schlitten::N,sáně,kızak
401,Ski::N,lyže,kayak
402,Lagerfeuer::N,táborák,kamp ateşi
403,Last::N,náklad,yük
404,Last::N,břemeno,yük
405,Gang::N,chůze,gidiş
406,Gang::N,chůze,yürüyüş
407,Gang::N,chodba,gidiş
408,Gang::N,chodba,yürüyüş
409,Schritt::N,krok,adım
410,Norden::N,sever,kuzey
411,Süden::N,jih,güney
412,Westen::N,západ,batı
413,Osten::N,východ,doğu
414,Holz::N,dřevo,ağaç
415,Holz::N,dřevo,tahta
416,Brett::N,prkno,tahta
417,Platte::N,deska,levha
418,Stütze::N,opěra,dayak
419,Stütze::N,opěra,destek
420,Stange::N,tyč,çubuk
421,Stange::N,tyčka,çubuk
422,Stock::N,hůlka,sopa
423,Stock::N,hůlka,değnek
424,Stab::N,hůl,sırık
425,Stab::N,hůl,baston
426,Rohr::N,trubka,boru
427,Haus::N,dům,ev
428,Heim::N,domov,ev
429,Heim::N,domov,yurt
430,Ofen::N,kamna,soba
431,Fußboden::N,podlaha,taban
432,Fußboden::N,podlaha,döşeme
433,Tisch::N,stůl,masa
434,Stuhl::N,židle,iskemle
435,Stuhl::N,židle,sandalye
436,Wiege::N,kolébka,beşik
437,Bett::N,postel,yatak
438,Regal::N,regál,raf
439,Regal::N,police,raf
440,Kiste::N,bedna,sandık
441,Fenster::N,okno,pencere
442,Tür::N,dveře,kapı
443,Tor::N,vrata,kapı
444,Zaun::N,plot,çit
445,Dach::N,střecha,dam
446,Dach::N,střecha,çatı
447,Leiter::N,žebřík,merdiven
448,Besen::N,koště,süpürge
449,Besen::N,smeták,süpürge
450,Spaten::N,rýč,bel
451,Schaufel::N,lopata,kürek
452,Gabel::N,vidlička,çatal
453,Löffel::N,lžíce,kaşık
454,Messer::N,nůž,bıçak
455,Nagel::N,hřebík,çivi
456,Netz::N,síť,ağ
457,Haken::N,hák,çengel
458,Griff::N,držadlo,kulp
459,Griff::N,držadlo,tutamak
460,Schloss::N,zámek,kilit
461,Bild::N,obraz,imaj
462,Bild::N,obraz,resim
463,Figur::N,figura,şekil
464,Figur::N,figura,heykel
465,Puppe::N,panenka,kukla
466,Beutel::N,pytlík,kese
467,Beutel::N,pytlík,torba
468,Bündel::N,svazek,deste
469,Tasche::N,taška,çanta
470,Tasche::N,brašna,çanta
471,Eimer::N,kýbl,kova
472,Eimer::N,vědro,kova
473,Deckel::N,víko,kapak
474,Deckel::N,příklop,kapak
475,Geschirr::N,nádobí,kap kacak
476,Sack::N,pytel,torba
477,Tasse::N,šálek,fincan
478,Topf::N,hrnec,tencere
479,Kessel::N,kotel,kazan
480,Essen::N,jídlo,yemek
481,Nahrung::N,strava,gıda
482,Nahrung::N,strava,besin
483,Nahrung::N,potrava,gıda
484,Nahrung::N,potrava,besin
485,Speise::N,jídlo,yemek
486,Fleisch::N,maso,et
487,Getreide::N,obilí,tahıl
488,Getreide::N,obilí,hububat
489,Brei::N,kaše,ezme
490,Brot::N,chléb,ekmek
491,Scheibe::N,krajíc,dilim
492,Fett::N,tuk,yağ
493,Fett::N,omastek,yağ
494,Butter::N,máslo,tereyağı
495,Öl::N,olej,yağ
496,Öl::N,olej,akar yağ
497,Salz::N,sůl,tuz
498,Suppe::N,polévka,çorba
499,Honig::N,med,bal
500,Milch::N,mléko,süt
501,Tee::N,čaj,çay
502,Leder::N,kůže,deri
503,Leder::N,kůže,meşin
504,Wolle::N,vlna,yün
505,Stoff::N,látka,kumaş
506,Nadel::N,jehla,iğne
507,Faden::N,nit,tire
508,Faden::N,nit,iplik
509,Knopf::N,knoflík,düğme
510,Knoten::N,uzel,düğüm
511,Farbe::N,barva,boya
512,Kleidung::N,šaty,giyim
513,Kleidung::N,šatstvo,giyim
514,Hemd::N,košile,gömlek
515,Kragen::N,límec,yaka
516,Ärmel::N,rukáv,yen
517,Ärmel::N,rukáv,elbise kolu
518,Hose::N,kalhoty,pantolon
519,Gürtel::N,pás,kuşak
520,Gürtel::N,opasek,kuşak
521,Mütze::N,čepice,bere
522,Mütze::N,čepice,kasket
523,Schuh::N,bota,kundura
524,Schuh::N,bota,ayakkabı
525,Stiefel::N,holínka,çizme
526,Ring::N,prsten,yüzük
527,Band::N,pásek,bağ
528,Band::N,pásek,şerit
529,Kamm::N,hřeben,tarak
530,Spiegel::N,zrcadlo,ayna
531,Riemen::N,řemen,kayış
532,Schnur::N,šňůra,ip
533,Schnur::N,šňůra,sicim
534,Leine::N,vodítko,kayış
535,Decke::N,pokrývka,örtü
536,Decke::N,pokrývka,yorgan
537,Decke::N,přikrývka,örtü
538,Decke::N,přikrývka,yorgan
539,Kissen::N,polštář,yastık
540,Tuch::N,šátek,bez
541,Handtuch::N,ručník,havlu
542,Kraft::N,síla,güç
543,Kraft::N,síla,kuvvet
544,Stärke::N,síla,kuvvet
545,Gesundheit::N,zdraví,sağlık
546,Krankheit::N,nemoc,hastalık
547,Krankheit::N,choroba,hastalık
548,Schmerz::N,bolest,ağrı
549,Schmerz::N,bolest,sancı
550,Wunde::N,rána,yara
551,Fieber::N,horečka,ateş
552,Arznei::N,lék,ilâç
553,Brücke::N,most,köprü
554,Brunnen::N,studna,kuyu
555,Brunnen::N,studna,çeşme
556,Weide::N,pastva,otlak
557,Weide::N,pastvina,otlak
558,Pfad::N,pěšina,patika
559,Pfad::N,pěšina,keçiyolu
560,Weg::N,cesta,yol
561,Straße::N,silnice,yol
562,Straße::N,silnice,cadde
563,Dorf::N,vesnice,köy
564,Stadt::N,město,kent
565,Stadt::N,město,şehir
566,Brief::N,dopis,mektup
567,Buch::N,kniha,kitap
568,Buchstabe::N,písmeno,harf
569,Zeitung::N,noviny,gazete
570,Leben::N,život,hayat
571,Tod::N,smrt,ölüm
572,Grab::N,hrob,kabir
573,Kirche::N,kostel,kilise
574,Sünde::N,hřích,günah
575,Gott::N,bůh,tanrı
576,Arbeiter::N,dělník,işçi
577,Arbeiter::N,pracovník,işçi
578,Chef::N,šéf,şef
579,Chef::N,šéf,müdür
580,Chef::N,vedoucí,şef
581,Chef::N,vedoucí,müdür
582,Meister::N,mistr,usta
583,Arzt::N,lékař,hekim
584,Arzt::N,lékař,doktor
585,Lehrer::N,učitel,hoca
586,Lehrer::N,učitel,öğretmen
587,Geld::N,peníze,para
588,Geschäft::N,obchod,ticaret
589,Laden::N,krám,dükkân
590,Preis::N,cena,fiyat
591,Ware::N,zboží,mal
592,Nutzen::N,užitek,fayda
593,Reichtum::N,bohatství,servet
594,Reichtum::N,bohatství,zenginlik
595,Welt::N,svět,dünya
596,Land::N,země,ülke
597,Staat::N,stát,devlet
598,König::N,král,kral
599,Macht::N,moc,kudret
600,Macht::N,moc,iktidar
601,Macht::N,mocnost,kudret
602,Macht::N,mocnost,iktidar
603,Grenze::N,hranice,had
604,Grenze::N,hranice,sınır
605,Krieg::N,válka,savaş
606,Feind::N,nepřítel,düşman
607,Gewalt::N,násilí,zor
608,Gewalt::N,násilí,cebir
609,Kampf::N,boj,savaş
610,Bogen[Waffe]::N,luk,yay
611,Pfeil::N,šíp,ok
612,Gewehr::N,puška,tüfek
613,Gewehr::N,ručnice,tüfek
614,Fehler::N,chyba,hata
615,Fehler::N,chyba,yanlış
616,Lüge::N,lež,yalan
617,Schaden::N,škoda,zarar
618,Unglück::N,neštěstí,felâket
619,Unglück::N,neštěstí,talihsizlik
620,Schuld::N,vina,suç
621,Schuld::N,vina,kabahat
622,Alter::N,věk,yaş
623,Schluss::N,konec,son
624,Zeit::N,čas,zaman
625,Tag::N,den,gün
626,Morgen::N,ráno,sabah
627,Morgen::N,jitro,sabah
628,Mittag::N,poledne,öğle
629,Abend::N,večer,akşam
630,Nacht::N,noc,gece
631,Woche::N,týden,hafta
632,Monat::N,měsíc,ay
633,Jahr::N,rok,yıl
634,Jahr::N,rok,sene
635,Frühling::N,jaro,ilkbahar
636,Sommer::N,léto,yaz
637,Herbst::N,podzim,güz
638,Herbst::N,podzim,sonbahar
639,Winter::N,zima,kış
640,Januar::N,leden,ocak
641,Februar::N,únor,şubat
642,März::N,březen,mart
643,April::N,duben,nisan
644,Mai::N,květen,mayıs
645,Juni::N,červen,haziran
646,Juli::N,červenec,temmuz
647,August::N,srpen,ağustos
648,September::N,září,eylül
649,Oktober::N,říjen,ekim
650,November::N,listopad,kasım
651,Dezember::N,prosinec,aralık
652,Montag::N,pondělí,pazartesi
653,Montag::N,pondělek,pazartesi
654,Dienstag::N,úterý,salı
655,Mittwoch::N,středa,çarşamba
656,Donnerstag::N,čtvrtek,perşembe
657,Freitag::N,pátek,cuma
658,Samstag::N,sobota,cumartesi
659,Sonntag::N,neděle,pazar
660,groß::A,velký,büyük
661,klein::A,malý,ufak
662,klein::A,malý,küçük
663,lang::A,dlouhý,uzun
664,kurz::A,krátký,kısa
665,breit::A,široký,enli
666,breit::A,široký,geniş
667,schmal::A,úzký,dar
668,dicht::A,hustý,sık
669,dicht::A,hustý,yoğun
670,dick[Gegenstand]::A,tlustý,kalın
671,dick[Gegenstand]::A,tlustý,iri
672,dünn::A,tenký,ince
673,fein::A,jemný,ince
674,fein::A,jemný,narin
675,fest::A,pevný,sabit
676,fest::A,pevný,sağlam
677,flach::A,plochý,düz
678,flach::A,plochý,yassı
679,flach::A,placatý,düz
680,flach::A,placatý,yassı
681,glatt::A,hladký,düz
682,hart::A,tvrdý,katı
683,weich::A,měkký,yumuşak
684,rund::A,kulatý,yuvarlak
685,rund::A,okrouhlý,yuvarlak
686,spitz::A,špičatý,sivri
687,scharf::A,ostrý,keskin
688,stumpf::A,tupý,kör
689,schwer::A,těžký,ağır
690,schön::A,pěkný,güzel
691,schön::A,krásný,güzel
692,heiß::A,horký,kızgın
693,warm::A,teplý,sıcak
694,kalt::A,studený,soğuk
695,kühl::A,chladný,serin
696,frisch::A,svěží,taze
697,feucht::A,vlhký,nemli
698,feucht::A,vlhký,rutubetli
699,nass::A,mokrý,yaş
700,nass::A,mokrý,ıslak
701,trocken::A,suchý,kuru
702,voll::A,plný,dolu
703,voll::A,plný,dolmuş
704,leer::A,prázdný,boş
705,offen::A,otevřený,açık
706,geschlossen::A,zavřený,kapalı
707,sauber::A,čistý,pak
708,sauber::A,čistý,temiz
709,schmutzig::A,špinavý,pis
710,schmutzig::A,špinavý,kirli
711,roh::A,syrový,çiğ
712,reif::A,zralý,olgun
713,lecker::A,chutný,lezzetli
714,süß::A,sladký,tatlı
715,süß::A,sladký,şekerli
716,bitter::A,hořký,acı
717,sauer::A,kyselý,ekşi
718,hell::A,světlý,aydınlık
719,dunkel::A,temný,karanlık
720,schwarz::A,černý,kara
721,schwarz::A,černý,siyah
722,weiß::A,bílý,ak
723,weiß::A,bílý,beyaz
724,rot::A,rudý,kırmızı
725,rot::A,červený,kırmızı
726,gelb::A,žlutý,sarı
727,blau::A,modrý,mavi
728,grün::A,zelený,yeşil
729,grau::A,šedý,boz
730,grau::A,šedivý,boz
731,bunt::A,pestrý,renkli
732,billig::A,levný,ucuz
733,billig::A,laciný,ucuz
734,teuer::A,drahý,pahalı
735,wertvoll::A,cenný,değerli
736,blind::A,slepý,kör
737,taub::A,hluchý,sağır
738,kräftig::A,silný,dinç
739,kräftig::A,silný,kuvvetli
740,stark::A,silný,güçlü
741,stark::A,silný,kuvvetli
742,schwach::A,slabý,zayıf
743,schwach::A,slabý,güçsüz
744,fett::A,tučný,şişman
745,fett::A,tlustý,şişman
746,schlank::A,štíhlý,narin
747,hübsch::A,hezký,güzel
748,hübsch::A,hezký,sevimli
749,böse::A,zlý,kötü
750,dumm::A,hloupý,aptal
751,faul::A,líný,tembel
752,fleißig::A,pilný,çalışkan
753,geizig::A,lakomý,cimri
754,klug::A,chytrý,zekî
755,klug::A,chytrý,akıllı
756,geschickt::A,šikovný,becerikli
757,lieb::A,milý,sevimli
758,lustig::A,veselý,neşeli
759,sanft::A,mírný,nazik
760,hungrig::A,hladový,aç
761,krank::A,nemocný,hasta
762,krank::A,nemocný,rahatsız
763,nackt::A,nahý,çıplak
764,traurig::A,smutný,kederli
765,traurig::A,smutný,üzüntülü
766,traurig::A,truchlivý,kederli
767,traurig::A,truchlivý,üzüntülü
768,lebendig::A,živý,canlı
769,gut::A,dobrý,iyi
770,schlecht::A,špatný,kötü
771,richtig::A,pravý,doğru
772,richtig::A,správný,doğru
773,schlimm::A,zlý,kötü
774,wahr::A,pravdivý,doğru
775,wahr::A,pravdivý,gerçek
776,alt::A,starý,eski
777,neu::A,nový,yeni
778,ehemalig::A,bývalý,önceki
779,alt[Lebewesen]::A,starý,yaşlı
780,jung::A,mladý,genç
781,arm::A,chudý,fakir
782,reich::A,bohatý,zengin
783,bekannt::A,známý,bilinen
784,berühmt::A,slavný,ünlü
785,berühmt::A,slavný,meşhur
786,fremd::A,cizí,yabancı
787,verschieden::A,různý,ayrı
788,verschieden::A,různý,farklı
789,verschieden::A,rozličný,ayrı
790,verschieden::A,rozličný,farklı
791,nah::A,blízký,yakın
792,nah::A,blízký,bitişik
793,fern::A,daleký,uzak
794,linker::A,levý,sol
795,rechter::A,pravý,sağ
796,anderer::A,jiný,diğer
797,erster::A,první,ilk
798,erster::A,první,birinci
799,zweiter::A,druhý,ikinci
800,dritter::A,třetí,üçüncü
801,letzter::A,poslední,son
802,letzter::A,poslední,sonuncu
803,allein::ADV,sám,yalnız
804,allein::ADV,sám,tek başına
805,auf einmal::ADV,najednou,birden
806,zusammen::ADV,spolu,beraber
807,zusammen::ADV,spolu,birlikte
808,zusammen::ADV,dohromady,beraber
809,zusammen::ADV,dohromady,birlikte
810,lange::ADV,dlouho,çok
811,lange::ADV,dlouho,uzun
812,plötzlich::ADV,vtom,ansızın
813,plötzlich::ADV,vtom,birdenbire
814,plötzlich::ADV,náhle,ansızın
815,plötzlich::ADV,náhle,birdenbire
816,sofort::ADV,hned,hemen
817,sofort::ADV,hned,derhal
818,sofort::ADV,ihned,hemen
819,sofort::ADV,ihned,derhal
820,später::ADV,později,daha sonra
821,jetzt::ADV,teď,şimdi
822,jetzt::ADV,nyní,şimdi
823,heute::ADV,dnes,bugün
824,heute::ADV,dneska,bugün
825,morgen::ADV,zítra,yarın
826,bald::ADV,brzo,yakında
827,dann::ADV,pak,sonra
828,dann::ADV,potom,sonra
829,gestern::ADV,včera,dün
830,einst::ADV,kdysi,eskiden
831,damals::ADV,tehdy,o zamanlar
832,damals::ADV,tenkrát,o zamanlar
