,Concept_ID,he,av
154,Schwein::N,חזיר,болъон
155,Hund::N,כלב,гьой
156,Katze::N,חתול,кету
157,Bär::N,דב,ци
158,Eichhörnchen::N,סנאי,гвангва
159,Elch::N,דישון,
160,Fuchs::N,שועל,цер
161,Hase::N,ארנב,гӏанкӏ
162,Maus::N,עכבר,гӏункӏкӏ
163,Wolf::N,זאב,бацӏ
164,Vogel::N,צפור,хӏинчӏ
165,Schwarm::N,נחיל,тӏел
166,Schwarm::N,להקה,тӏел
167,Huhn::N,תרנגלת,гӏанкӏу
168,Hahn::N,תרנגול,хӏелеко
169,Gans::N,אוז,хъаз
170,Adler::N,עיט,цӏум
171,Ente::N,ברוז,ордек
172,Eule::N,ינשוף,беццаруз
173,Kranich::N,עגור,къункъра
174,Kranich::N,כרוכיה,къункъра
175,Krähe::N,עורב,гъеду
176,Kuckuck::N,קוקיה,гагу
177,Schwan::N,ברבור,хӏанкъва
178,Fisch::N,דג,ччугӏа
179,Barsch::N,אוקונוס,окунь
180,Hecht::N,זאב הים,щука
181,Schlange[Tier]::N,נחש,борохь
182,Wurm::N,תולעת,хӏапара
183,Spinne::N,עכביש,хъанхъра
184,Ameise::N,נמלה,цӏунцӏра
185,Laus::N,כנה,нацӏ
186,Mücke::N,יתוש,кӏкӏара
187,Fliege::N,זבוב,тӏутӏ
188,Schmetterling::N,פרפר,кӏалкӏучӏ
189,Beere::N,ענבה,
190,Apfel::N,תפוח,гӏеч
191,Pilz::N,פטריה,гӏурдахӏан
192,Zwiebel::N,בצל,кӏочӏопер
193,Saat::N,זרעים,хьон
194,Korn::N,גרעין,мугь
195,Heu::N,חציר,хер
196,Schale::N,קלפה,хъал
197,Grube::N,בור,гвенд
198,Grube::N,שוחה,гвенд
199,Falle::N,מלכדת,къор
200,Falle::N,מלכדת,къотен
201,Schlinge::N,לולאה,кӏичӏ
202,Spur::N,עקבה,лъалкӏ
203,Asche::N,אפר,рахъу
204,Dreck::N,זהמה,гъиз
205,Dreck::N,זהמה,хӏарщ
206,Eisen::N,ברזל,махх
207,Gold::N,זהב,месед
208,Silber::N,כסף,гӏарац
209,Kohle::N,פחם,тӏурччи
210,Glas::N,זכוכית,цӏер
211,Lehm::N,חרסית,хӏатӏ
212,Sand::N,חול,сали
213,Mensch::N,אדם,чи
214,Mann::N,איש,бихьинчи
215,Mann::N,גבר,бихьинчи
216,Frau::N,אשה,гӏадан
217,Frau::N,גברת,гӏадан
218,Kind::N,ילד,лъимер
219,Junge::N,ילד,вас
220,Mädchen::N,נערה,яс
221,Familie::N,משפחה,хъизан
222,Großvater::N,סבא,кӏудада
223,Großmutter::N,סבתא,кӏодо
224,Eltern::N,הורים,эбел-эмен
225,Vater::N,אב,эмен
226,Mutter::N,אם,эбел
227,Sohn::N,בן,вас
228,Tochter::N,בת,яс
229,Bruder::N,אח,вац
230,Schwester::N,אחות,яц
231,Onkel::N,דוד,даци
232,Tante::N,דודה,ада
233,Ehemann::N,איש,рос
234,Ehemann::N,בעל,рос
235,Ehefrau::N,אשה,чӏужу
236,Freude::N,שמחה,ракӏбохи
237,Gelächter::N,צחוק,релъи
238,Glück::N,אשר,талихӏ
239,Glück::N,אשר,талихӏ-рохел
240,Kummer::N,יגון,хӏалкъай
241,Kummer::N,עגמה,хӏалкъай
242,Wunsch::N,אחול,къасд
243,Wunsch::N,משאלה,къасд
244,Lust::N,חשק,гъира
245,Lust::N,תשוקה,гъира
246,Geist::N,רוח,чӏанкӏ
247,Geist::N,רוח,рухӏ-жан
248,Gedanke::N,מחשבה,пикру
249,Gedächtnis::N,זכרון,
250,Verstand::N,שכל,лумалъи
251,Verstand::N,שכל,цӏодорлъи
252,Sinn::N,מובן,магӏна
253,Sinn::N,משמעות,магӏна
254,Grund::N,סבה,багьана
255,Wahrheit::N,אמת,ритӏухълъи
256,Gespräch::N,דיון,накъит
257,Märchen::N,אגדה,маргьа
258,Erzählung::N,ספור,къиса
259,Nachricht::N,ידיעה,хабар
260,Neuigkeit::N,חדשה,хабар-гӏазаб
261,Name::N,שם,цӏар
262,Rätsel::N,תעלומה,бицанкӏо
263,Rede::N,נאום,речь
264,Rede::N,נאום,калам
265,Sprache::N,לשון,мацӏ
266,Stimme::N,קול,гьаракь
267,Wort::N,מלה,рагӏи
268,Zeichen::N,סימן,ишара
269,Zeichen::N,סימן,гӏаламат
270,Ruf::N,קריאה,ахӏи
271,Lärm::N,רעש,хъуй
272,Lärm::N,רעש,хъуди
273,Laut::N,הגה,гьаракь
274,Laut::N,הגה,сас
275,Ton::N,צליל,
276,Lied::N,שיר,кечӏ
277,Ruhe::N,שלוה,рахӏат
278,Leute::N,אנשים,гӏадамал
279,Volk::N,עם,халкъ
280,Arbeit::N,עבודה,хӏалтӏи
281,Gast::N,אורח,гьобол
282,Geschenk::N,מתנה,сайигъат
283,Spiel::N,משחק,хӏай
284,Spiel::N,משחק,расанди
285,Gesellschaft::N,חברה,жамагӏат
286,Hilfe::N,עזרה,кумек
287,Freund::N,חבר,гьудул
288,Freund::N,ידיד,гьудул
289,Kamerad::N,רע,гьалмагъ
290,Angelegenheit::N,ענין,къваригӏел
291,Anzahl::N,מספר,рикӏкӏен
292,Art::N,סוג,жинс
293,Stück::N,חתיכה,кесек
294,Teil::N,פרק,пай
295,Hälfte::N,חצי,бащдаб
296,Kreis::N,מעגל,гор
297,Kreuz::N,צלב,хъанч
298,Linie::N,קו,мухъ
299,Strich::N,קו קצר,хӏучч
300,Abstand::N,מרחק,манзил
301,Entfernung::N,מרחק,манзил
302,Gegend::N,נוף,рахъ
303,Platz::N,שטח,бакӏ
304,Ort::N,אתר,бакӏ
305,Ort::N,מקום,бакӏ
306,Seite::N,צד,рахъ
307,Mitte::N,אמצע,бакьулъбакӏ
308,Gegenstand::N,אוביקט,жо
309,Sache::N,דבר,жо
310,Rand::N,פרור,мицӏир
311,Kante::N,קצה,рагӏал
312,Kante::N,קצה,рагӏа-ракьан
313,Ecke::N,פנה,цили
314,Spitze::N,קצה,тӏогь
315,Ende::N,סוף,кӏал
316,Loch::N,חר,каратӏ
317,Winkel::N,פנה,
318,Muster::N,תבנית,накъиш
319,Größe::N,גדל,кӏодо́лъи
320,Länge::N,ארך,халалъи
321,Höhe::N,קומה,борхалъи
322,Höhe::N,גבה,борхалъи
323,Gewicht::N,משקל,бакӏлъи
324,Menge::N,כמות,
325,Haufen::N,ערמה,гъуни
326,Reihe::N,רצף,ирга́
327,Boot::N,סירה,раса
328,Ruder::N,משוט,раххан
329,Schlitten::N,מזחלת,чанагъ
330,Ski::N,מגלשים,лыжаби
331,Lagerfeuer::N,מדורה,цӏа
332,Last::N,משא,бакӏлъи
333,Gang::N,הליכה,хьвади
334,Gang::N,הליכה,хьвада-чӏвади
335,Schritt::N,צעד,гали
336,Norden::N,צפון,шимал
337,Süden::N,דרום,юг
338,Süden::N,דרום,къибла
339,Westen::N,מערב,гъарб
340,Westen::N,מערב,магъриб
341,Osten::N,מזרח,шаркъ
342,Osten::N,מזרח,машрикъ
343,Holz::N,עץ,цӏул
344,Brett::N,קרש,хъарщи
345,Platte::N,לוח,къоно
346,Stütze::N,משען,
347,Stange::N,מוט,гӏер
348,Stock::N,מקל,тӏил
349,Stab::N,מוט,гӏер
350,Rohr::N,צנור,турба
351,Haus::N,בית,ригь
352,Haus::N,בית,рукъзал
353,Heim::N,בית,рукъ
354,Ofen::N,תנור,печь
355,Fußboden::N,רצפה,чӏабар
356,Tisch::N,שלחן,стол
357,Stuhl::N,כסא,бакӏу
358,Wiege::N,ערש,кини
359,Bett::N,מטה,кровать
360,Regal::N,מדף,хъарщи
361,Kiste::N,תבה,ящик
362,Kiste::N,תבה,тӏалагъуд
363,Kiste::N,ארגז,ящик
364,Kiste::N,ארגז,тӏалагъуд
365,Fenster::N,חלון,гордо
366,Tür::N,דלת,нуцӏа
367,Tor::N,שער,каву
368,Zaun::N,גדר,раци
369,Dach::N,גג,тӏох
370,Leiter::N,סלם,мали
371,Besen::N,מטאטא,жул
372,Spaten::N,את,бел
373,Schaufel::N,את,раххан
374,Gabel::N,מזלג,гӏучӏ
375,Löffel::N,כף,гъуд
376,Messer::N,סכין,нус
377,Nagel::N,מסמר,магӏ
378,Netz::N,רשת,гьин
379,Haken::N,וו,гъанцӏа
380,Haken::N,קרס,гъанцӏа
381,Griff::N,ידית,гӏоркь
382,Schloss::N,מנעול,кӏулал
383,Bild::N,תמונה,сурат
384,Figur::N,פסל,
385,Puppe::N,בבה,нани
386,Beutel::N,שק,таргьа
387,Bündel::N,צרור,къай
388,Tasche::N,שקית,сумка
389,Tasche::N,שקית,къвачӏа
390,Eimer::N,דלי,ведро
391,Deckel::N,מכסה,тӏалъел
392,Deckel::N,מכסה,дадитӏалъел
393,Geschirr::N,כלים,цӏарагӏ
394,Sack::N,שק,хъап
395,Sack::N,שק,къандалъо
396,Tasse::N,ספל,чашка
397,Topf::N,סיר,хьаг
398,Kessel::N,קנקן,хьаг
399,Kessel::N,קנקן,гереги
400,Essen::N,אכל,тӏагӏам
401,Essen::N,ארוחה,тӏагӏам
402,Nahrung::N,הזנה,квен
403,Nahrung::N,תזונה,квен
404,Speise::N,מאכל,квен
405,Speise::N,ארוחה,квен
406,Fleisch::N,בשר,гьан
407,Getreide::N,דגן,бугӏа-ролъ
408,Getreide::N,דגן,могьолабл_культураби
409,Brei::N,מחית,карщ
410,Brot::N,לחם,чед
411,Scheibe::N,עגול,мочӏу
412,Scheibe::N,פרוסה,мочӏу
413,Fett::N,שמן,беэнлъи
414,Butter::N,חמאה,нах
415,Öl::N,שמן,нах
416,Salz::N,מלח,цӏам
417,Suppe::N,מרק,чурпа
418,Honig::N,דבש,гьоцӏо
419,Milch::N,חלב,рахь
420,Tee::N,תה,чай
421,Leder::N,עור,тӏом
422,Wolle::N,צמר,квас
423,Stoff::N,בד,ххам
424,Stoff::N,אריג,ххам
425,Nadel::N,מחט,рокӏкӏен
426,Faden::N,חוט,кун
427,Knopf::N,כפתור,маргъал
428,Knoten::N,קשר,гарацӏ
429,Farbe::N,צבע,релъен
430,Kleidung::N,בגדים,ретӏел
431,Hemd::N,חלצה,гурде
432,Kragen::N,צוארון,габур
433,Ärmel::N,שרוול,къвал
434,Hose::N,מכנסים,тӏажу
435,Gürtel::N,חגורה,рачел
436,Mütze::N,כובע,тӏагъур
437,Schuh::N,נעל,
438,Stiefel::N,מגף,этек
439,Stiefel::N,מגף,чакма
440,Ring::N,טבעת,баргъич
441,Band::N,סרט,лента
442,Kamm::N,מסרק,гьоркьо
443,Spiegel::N,מראה,матӏу
444,Riemen::N,רצועה,рижу
445,Schnur::N,חבל,
446,Leine::N,מושכות,
447,Decke::N,שמיכה,одея́ло
448,Kissen::N,כרית,къандалъо
449,Tuch::N,צעיף,квархьи
450,Handtuch::N,מגבת,беркӏалрацӏцӏ
451,Kraft::N,כוח,гуч
452,Kraft::N,כוח,къуват
453,Stärke::N,און,хӏалкӏвей
454,Gesundheit::N,בריאות,сахлъи́
455,Krankheit::N,מחלה,унти
456,Krankheit::N,מחלה,щокълъи
457,Schmerz::N,כאב,унти
458,Wunde::N,פציעה,ругъун
459,Fieber::N,חם,цӏа-кан
460,Arznei::N,תרופה,дару
461,Brücke::N,גשר,кьо
462,Brunnen::N,באר,гъуй
463,Weide::N,אחו,рицӏцӏ
464,Weide::N,אחו,лъичӏирма
465,Weide::N,אחו,гӏурдаллъи
466,Weide::N,אחו,ри́цӏигъветӏ
467,Weide::N,אחו,рицӏцӏигъветӏ
468,Weide::N,מרעה,рицӏцӏ
469,Weide::N,מרעה,лъичӏирма
470,Weide::N,מרעה,гӏурдаллъи
471,Weide::N,מרעה,ри́цӏигъветӏ
472,Weide::N,מרעה,рицӏцӏигъветӏ
473,Pfad::N,שביל,сухъмахъ
474,Pfad::N,מדרכה,сухъмахъ
475,Weg::N,דרך,нух
476,Straße::N,כביש,нух
477,Dorf::N,כפר,росу
478,Stadt::N,עיר,шагьар
479,Brief::N,מכתב,кагъат
480,Brief::N,מכתב,рисалат
481,Buch::N,ספר,тӏехь
482,Buchstabe::N,אות,хӏарп
483,Zeitung::N,עתון,газет
484,Leben::N,חיים,яшав
485,Tod::N,מות,хвел
486,Grab::N,קבר,хоб
487,Kirche::N,כנסיה,килиса
488,Sünde::N,חטא,хӏакъ
489,Sünde::N,חטא,мунагь
490,Gott::N,אל,бичас
491,Gott::N,אל,аллагь
492,Arbeiter::N,פועל,хӏалтӏухъан
493,Chef::N,ראש,хӏаким
494,Chef::N,ראש,начальник
495,Chef::N,מנהל,хӏаким
496,Chef::N,מנהל,начальник
497,Meister::N,ממחה,устар
498,Meister::N,ממחה,мастер
499,Meister::N,ממחה,махщалилав
500,Arzt::N,רופא,жайрахӏ
501,Lehrer::N,מורה,мугӏалим
502,Geld::N,כסף,гӏарац
503,Geschäft::N,עסקה,
504,Laden::N,חנות,тукен
505,Preis::N,מחיר,багьа
506,Ware::N,סחורה,къайи
507,Nutzen::N,תועלת,мунпагӏат
508,Reichtum::N,עשר,бечелъи
509,Welt::N,עולם,дуниял
510,Land::N,ארץ,улка
511,Land::N,ארץ,икълим
512,Staat::N,מדינה,пачалихъ
513,König::N,מלך,пача
514,König::N,מלך,малик
515,König::N,מלך,къирал
516,König::N,מלך,падишагь
517,Macht::N,כוח,кверщел
518,Grenze::N,גבול,гӏорхъи
519,Krieg::N,מלחמה,рагъ
520,Feind::N,אויב,тушман
521,Gewalt::N,אלימות,зулму
522,Kampf::N,קרב,къеркьей
523,Kampf::N,לחימה,къеркьей
524,Bogen[Waffe]::N,קשת,газаргъо
525,Pfeil::N,חץ,чӏор
526,Gewehr::N,רובה,туманкӏ
527,Fehler::N,טעות,гъалатӏ
528,Lüge::N,שקר,гьереси
529,Schaden::N,נזק,зиян
530,Schaden::N,נזק,зарал
531,Unglück::N,מזל רע,балагь
532,Schuld::N,אשמה,гӏайиб
533,Alter::N,גיל,гӏумру
534,Schluss::N,סיום,ахир
535,Zeit::N,זמן,заман
536,Tag::N,יום,къо
537,Morgen::N,בקר,радалмех
538,Mittag::N,צהרים,къадемех
539,Abend::N,ערב,релъедамех
540,Nacht::N,לילה,сордо
541,Woche::N,שבוע,анкь
542,Monat::N,חדש,моцӏ
543,Jahr::N,שנה,сон
544,Jahr::N,שנה,лъагӏел
545,Frühling::N,אביב,их
546,Sommer::N,קיץ,рии
547,Herbst::N,סתו,хасалихълъи
548,Winter::N,חרף,кьин
549,Januar::N,ינואר,январь
550,Februar::N,פברואר,февра́ль
551,März::N,מרץ,март
552,April::N,אפריל,апрель
553,Mai::N,מאי,май
554,Juni::N,יוני,июнь
555,Juli::N,יולי,июль
556,August::N,אוגוסט,август
557,September::N,ספטמבר,сентябрь
558,Oktober::N,אוקטובר,октябрь
559,November::N,נובמבר,ноябрь
560,Dezember::N,דצמבר,декабрь
561,Montag::N,יום שני,итни
562,Dienstag::N,יום שלישי,талат
563,Mittwoch::N,יום רביעי,арбагӏ
564,Donnerstag::N,יום חמישי,хамиз
565,Freitag::N,יום ששי,рузман
566,Samstag::N,יום שבת,щамат
567,Sonntag::N,יום ראשון,гьатӏан
568,groß::A,גדול,кӏудияб
569,klein::A,קטן,гьитӏинаб
570,lang::A,ארך,халатаб
571,kurz::A,קצר,къокъаб
572,breit::A,רחב,гӏебаб
573,schmal::A,צר,къваридаб
574,dicht::A,צפוף,ризаб
575,dick[Gegenstand]::A,עבה,бицатаб
576,dünn::A,דק,тӏеренаб
577,fein::A,מעדן,тӏеренаб
578,fest::A,מוצק,къвакӏараб
579,flach::A,שטוח,чӏепараб
580,glatt::A,חלק,цӏвакараб
581,hart::A,קשיח,кьварараб
582,weich::A,רך,тамахаб
583,rund::A,עגל,гургинаб
584,spitz::A,חד,бегӏераб
585,scharf::A,חד,рекӏараб
586,stumpf::A,קהה,тӏехӏараб
587,stumpf::A,קהה,рекӏинчӏеб
588,schwer::A,כבד,бакӏаб
589,schön::A,יפה,берцинаб
590,heiß::A,חם,лагьараб
591,warm::A,חם,хинаб
592,kalt::A,קר,квачараб
593,kühl::A,צונן,квачараб
594,frisch::A,טרי,цӏияб
595,feucht::A,לח,рагьараб
596,nass::A,רטוב,би́ччараб
597,trocken::A,יבש,бакъвараб
598,voll::A,מלא,
599,leer::A,ריק,чӏобогояб
600,offen::A,פתוח,рагьараб
601,geschlossen::A,סגור,рахараб-къараб
602,sauber::A,נקי,бацӏцӏадаб
603,schmutzig::A,מלכלך,гъизараб
604,roh::A,חי,хамаб
605,roh::A,חי,гӏатӏгояб
606,reif::A,בשל,барщараб
607,lecker::A,טעים,тӏагӏамаб
608,süß::A,מתוק,гьуинаб
609,bitter::A,מר,кьогӏаб
610,sauer::A,חמוץ,цӏекӏаб
611,hell::A,בהיר,канаб
612,dunkel::A,עמום,бецӏаб
613,schwarz::A,שחר,чӏегӏераб
614,weiß::A,לבן,хъахӏаб
615,rot::A,אדם,багӏараб
616,gelb::A,צהב,гӏобилаб
617,gelb::A,צהב,тӏогьилаб
618,blau::A,כחל,хъахӏилаб
619,grün::A,ירק,гӏурччинаб
620,grau::A,אפר,накӏкӏуяб
621,bunt::A,צבעוני,къвекӏаб
622,bunt::A,צבעוני,чара-гъараб
623,billig::A,זול,учузаб
624,teuer::A,יקר,хири́яб
625,wertvoll::A,יקר ערך,къиматаб
626,blind::A,עור,беццаб
627,taub::A,חרש,гъугъаб
628,kräftig::A,חסן,гучаб
629,stark::A,חזק,къуватаб
630,schwach::A,חלש,гӏажизаб
631,fett::A,שמן,кьарияб
632,schlank::A,רזה,чергесаб
633,hübsch::A,יפה תאר,гьайбатаб
634,böse::A,רשע,ракӏквешаб
635,dumm::A,טפש,гьагаб
636,dumm::A,טפש,гӏантаб
637,faul::A,עצלן,кӏохӏалаб
638,faul::A,עצלן,кӏухӏа́лаб
639,fleißig::A,חרוץ,хӏаракатаб
640,geizig::A,קמצן,къарумаб
641,klug::A,נבון,лумияб
642,klug::A,פקח,лумияб
643,geschickt::A,מימן,махщел бугев
644,lieb::A,יקר,гӏазизаб
645,lieb::A,אהוב,гӏазизаб
646,lustig::A,עליז,кепаб
647,sanft::A,עדין,хӏалимаб
648,sanft::A,עדין,хӏере́наб
649,hungrig::A,רעב,бакъараб
650,krank::A,חולה,щокъаб
651,krank::A,חולה,унтараб
652,nackt::A,ערום,гӏицӏаб
653,nackt::A,ערום,чӏанкӏараб
654,traurig::A,עצוב,пашманаб
655,lebendig::A,חי,чӏагояб
656,gut::A,טוב,лъикӏаб
657,schlecht::A,גרוע,къадараб
658,richtig::A,נכון,битӏараб
659,schlimm::A,רע,нажасаб
660,schlimm::A,רע,къабихӏаб
661,wahr::A,אמתי,хӏакъаб
662,wahr::A,אמתי,битӏараб
663,alt::A,ישן,басрияб
664,neu::A,חדש,цӏияб
665,ehemalig::A,לשעבר,цебе́госеб
666,alt[Lebewesen]::A,זקן,хераб
667,jung::A,צעיר,тӏинчӏаб
668,jung::A,צעיר,гӏолохъанаб
669,arm::A,עני,пакъираб
670,reich::A,עשיר,бечедаб
671,bekannt::A,ידוע,лъалеб
672,berühmt::A,מפרסם,машгьураб
673,fremd::A,זר,чияр
674,verschieden::A,שונה,батӏи-батӏияб
675,nah::A,קרוב,гӏагарда бугеб
676,fern::A,רחוק,рикӏкӏадаб
677,linker::A,שמאלי,квегӏаб
678,rechter::A,ימין,кваранаб
679,anderer::A,אחר,батӏияб
680,erster::A,ראשון,тӏоцебесеб
681,zweiter::A,שני,кӏиабилеб
682,dritter::A,שלישי,лъабабилеб
683,letzter::A,אחרון,ахирисеб
684,allein::ADV,לבד,ялгъузго
685,auf einmal::ADV,בו-זמנית,цихӏинтӏаго
686,zusammen::ADV,ביחד,цойида
687,lange::ADV,הרבה זמן,
688,plötzlich::ADV,לפתע,цойидасанго
689,plötzlich::ADV,פתאום,цойидасанго
690,sofort::ADV,מיד,гьебсагӏат
691,später::ADV,לאחר זמן,
692,später::ADV,יותר מאחר,
693,jetzt::ADV,עכשיו,гьанже
694,heute::ADV,היום,жакъа
695,morgen::ADV,מחר,метер
696,bald::ADV,בקרוב,гьабсагӏаталъ
697,dann::ADV,אחר-כך,цинги
698,gestern::ADV,אתמול,сон
699,einst::ADV,לפנים,цин
700,damals::ADV,אז,гьебмехалъ
701,damals::ADV,אז,гьебмехалда
702,danach::ADV,אחר-כך,цинги
703,danach::ADV,אחר-כך,хадуса
704,vorher::ADV,לפני זה,цебе
705,zuerst::ADV,קדם,тӏоцебе
706,einmal::ADV,פעם,цинцӏул
707,einmal::ADV,פעם,цихӏин
708,einmal::ADV,פעם,цоцӏул
709,manchmal::ADV,לפעמים,олоцӏул
710,oft::ADV,לעתים קרובות,гӏемерго
711,immer::ADV,תמיד,кидаго
712,niemals::ADV,אף פעם,киданиги
713,hier::ADV,כאן,аниб
714,hierhin::ADV,פה,анибехун
715,von hier::ADV,מפה,гьаниса
716,dort::ADV,שם,гьениб
717,dorthin::ADV,שם,гьадаба
718,geradeaus::ADV,ישר,битӏутӏа
719,vorwärts::ADV,קדימה,цебехун
720,rückwärts::ADV,לאחור,нахъ-нахъ
721,zurück::ADV,בחזרה,нахъе
722,zurück::ADV,אחורנית,нахъе
723,unten::ADV,למטה,ахакь
724,unten::ADV,למטה,гъоркь
725,hinab::ADV,למטה,эхебе
726,oben::ADV,מעל,тӏад
727,oben::ADV,מעל,тӏадехун
728,oben::ADV,למעלה,тӏад
729,oben::ADV,למעלה,тӏадехун
730,hinauf::ADV,למעלה,эхеде
731,überall::ADV,בכל מקום,кибго
732,nicht::ADV,לא,
733,ein wenig::ADV,קצת,дагьабго
734,kaum::ADV,בקשי,хӏалалъ
735,sehr::ADV,מאוד,кутакалда
736,so::ADV,כך,гьедин
737,so::ADV,ככה,гьедин
738,noch::ADV,עוד,жеги
739,noch::ADV,עדין,жеги
740,nur::ADV,רק,гӏӣцӏго
741,schon::ADV,כבר,
742,wieder::ADV,שוב,на́хъеги
743,vergebens::ADV,לריק,чӏалгӏаде
744,vergebens::ADV,לשוא,чӏалгӏаде
