,Concept_ID,kn,no
243,Verstand::N,ಮನಸ್ಸು,forstand
244,Sinn::N,ಅರ್ಥ,mening
245,Sinn::N,ಅರ್ಥ,betydning
246,Grund::N,ಕಾರಣ,grunn
247,Wahrheit::N,ಸತ್ಯ,sannhet
248,Gespräch::N,ಸಂಭಾಷಣೆ,samtale
249,Märchen::N,ಸುಳ್ಳು ಕಥೆ,eventyr
250,Erzählung::N,ಕಥೆ,fortelling
251,Nachricht::N,ಸಂದೇಶ,melding
252,Neuigkeit::N,ಸುದ್ದಿ,nyhet
253,Name::N,ಹೆಸರು,navn
254,Rätsel::N,ಒಗಟು,gåte
255,Rede::N,ಮಾತು,tale
256,Sprache::N,ಭಾಷೆ,språk
257,Stimme::N,ಧ್ವನಿ,stemme
258,Wort::N,ಮಾತು,ord
259,Zeichen::N,ಗುರುತು,tegn
260,Ruf::N,ಕೂಗು,rop
261,Lärm::N,ಸದ್ದು,bråk
262,Laut::N,ಶಬ್ದ,lyd
263,Ton::N,ನಾದ,tone
264,Lied::N,ಗಾನ,vise
265,Ruhe::N,ಶಾಂತಿ,ro
266,Leute::N,ಮಂದಿ,folk
267,Volk::N,ಜನಾಂಗ,folk
268,Arbeit::N,ಕೆಲಸ,arbeid
269,Gast::N,ಅತಿಥಿ,gjest
270,Geschenk::N,ಕಾಣಿಕೆ,gave
271,Spiel::N,ಆಟ,lek
272,Spiel::N,ಆಟ,spill
273,Gesellschaft::N,ಸಂಗ,selskap
274,Hilfe::N,ಸಹಾಯ,hjelp
275,Freund::N,ಸ್ನೇಹಿತ,venn
276,Kamerad::N,ಜೊತೆಗಾರ,kamerat
277,Angelegenheit::N,ವಿಚಾರ,sak
278,Angelegenheit::N,ವಿಚಾರ,anliggende
279,Anzahl::N,ಎಣಿಕೆ,antall
280,Art::N,ತರ,art
281,Art::N,ತರ,slag
282,Stück::N,ತುಂಡು,stykke
283,Teil::N,ಭಾಗ,del
284,Hälfte::N,ಅರ್ಧ,halvdel
285,Kreis::N,ವೃತ್ತ,ring
286,Kreis::N,ವೃತ್ತ,sirkel
287,Kreuz::N,ಶಿಲುಬೆ,kors
288,Kreuz::N,ಶಿಲುಬೆ,kryss
289,Linie::N,ರೀಖೆ,linje
290,Strich::N,ಗೀಟು,strek
291,Abstand::N,ಅಂತರ,avstand
292,Entfernung::N,ದೂರ,avstand
293,Gegend::N,ವಿಸ್ತೀರ್ಣ,strøk
294,Platz::N,ಅಂತರ,plass
295,Ort::N,ಸ್ಥಳ,sted
296,Seite::N,ಪಕ್ಷ,side
297,Mitte::N,ನಡು,midte
298,Gegenstand::N,ವಸ್ತು,gjenstand
299,Sache::N,ವಸ್ತು,sak
300,Rand::N,ಅಂಚು,rand
301,Kante::N,ಅಂಚು,kant
302,Ecke::N,ಮೂಲೆ,hjørne
303,Spitze::N,ತುದಿ,spiss
304,Ende::N,ಕೊನೆ,ende
305,Loch::N,ತೂತು,hull
306,Winkel::N,ಕೋನ,vinkel
307,Muster::N,ನಮೂನೆ,mønster
308,Größe::N,ಪ್ರಮಾಣ,størrelse
309,Länge::N,ಉದ್ದ,lengde
310,Höhe::N,ಎತ್ತರ,høyde
311,Gewicht::N,ತೂಕ,vekt
312,Menge::N,ಮೊತ್ತ,mengde
313,Haufen::N,ರಾಶಿ,haug
314,Haufen::N,ರಾಶಿ,bunke
315,Reihe::N,ಸಾಲು,rekke
316,Boot::N,ದೋಣಿ,båt
317,Ruder::N,ಹುಟ್ಟು,åre
318,Schlitten::N,ಚಕ್ರವಿಲ್ಲದ ಜಾರುಬಮ್ಡಿ,slede
319,Schlitten::N,ಚಕ್ರವಿಲ್ಲದ ಜಾರುಬಮ್ಡಿ,kjelke
320,Ski::N,ಜಾರುಪಟ್ಟಿ,ski
321,Lagerfeuer::N,ಶಿಬಿರಾಗ್ನಿ,leirbål
322,Last::N,ಹೊರೆ,bør
323,Last::N,ಹೊರೆ,last
324,Gang::N,ತಿರುಗಾಟ,gang
325,Schritt::N,ಹೆಜ್ಜೆ,steg
326,Schritt::N,ಹೆಜ್ಜೆ,skritt
327,Norden::N,ಉತ್ತರ,nord
328,Süden::N,ದಕ್ಷಿಣ,sør
329,Westen::N,ಪಶ್ಚಿಮ,vest
330,Osten::N,ಮೂಡಲು,øst
331,Holz::N,ಚೌಬೀನೆ,tre
332,Brett::N,ಹಲಗೆ,fjøl
333,Brett::N,ಹಲಗೆ,brett
334,Platte::N,ಹಲಗೆ,plate
335,Stütze::N,ಆಸರೆ,støtte
336,Stange::N,ಕಂಬ,stang
337,Stock::N,ಕೋಲು,pinne
338,Stab::N,ದೊಣ್ಣೆ,stav
339,Stab::N,ದೊಣ್ಣೆ,kjepp
340,Rohr::N,ನಳಿಕೆ,rør
341,Haus::N,ಮನೆ,hus
342,Heim::N,ಗೃಹ,hjem
343,Ofen::N,ಒಲೆ,ovn
344,Fußboden::N,ನೆಲ,gulv
345,Tisch::N,ಮೇಜು,bord
346,Stuhl::N,ಕುರ್ಚಿ,stol
347,Wiege::N,ತೊಟ್ಟಿಲು,vogge
348,Bett::N,ಹಾಸಿಗೆ,seng
349,Regal::N,ಬೀರು,reol
350,Regal::N,ಬೀರು,hylle
351,Kiste::N,ಪಟ್ಟಿಗೆ,kasse
352,Fenster::N,ಕಿಟಕಿ,vindu
353,Tür::N,ಬಾಗಿಲು,dør
354,Tor::N,ಹೆಬ್ಬಾಗಿಲು,port
355,Zaun::N,ಬೇಲಿ,gjerde
356,Dach::N,ಮಾಳಿಗೆ,tak
357,Leiter::N,ಏಣಿ,stige
358,Besen::N,ಪೊರಕೆ,kost
359,Spaten::N,ಗುದ್ದಲಿ,spade
360,Schaufel::N,ಸನಿಕೆ,skuffe
361,Gabel::N,ಕವಲು,gaffel
362,Löffel::N,ಚಮಚ,skje
363,Messer::N,ಚಾಕು,kniv
364,Nagel::N,ಆಣಿ,spiker
365,Netz::N,ಬಲೆ,nett
366,Haken::N,ಕೊಂಡಿ,krok
367,Griff::N,ಹಿಡಿ,tak
368,Griff::N,ಹಿಡಿ,håndtak
369,Schloss::N,ವೀಗ,lås
370,Bild::N,ಚಿತ್ರ,bilde
371,Figur::N,ಆಕಾರ,figur
372,Puppe::N,ಗೊಂಬೆ,dukke
373,Beutel::N,ಸಂಚಿ,pose
374,Bündel::N,ಕಟ್ಟು,bylt
375,Tasche::N,ಚೀಲ,veske
376,Eimer::N,ಬಾನೆ,bøtte
377,Deckel::N,ಮುಚ್ಚಳ,lokk
378,Geschirr::N,ಭಕ್ಷ್ಯಗಳು,kjøkkentøy
379,Sack::N,ಮೂಟೆ,sekk
380,Tasse::N,ಬಟ್ಟಲು,kopp
381,Topf::N,ಮಡಕೆ,gryte
382,Kessel::N,ಕೆಟಲ್,kjele
383,Essen::N,ಊಟ,mål
384,Nahrung::N,ಆಹಾರ,mat
385,Nahrung::N,ಆಹಾರ,næring
386,Speise::N,ಊಟ,matrett
387,Fleisch::N,ಮಾಂಸ,kjøtt
388,Getreide::N,ಧಾನ್ಯ,korn
389,Brei::N,ಗಂಜಿ,grøt
390,Brot::N,ರೊಟ್ಟಿ,brød
391,Scheibe::N,ಹೋಳು,skive
392,Fett::N,ಕೊಬ್ಬು,fett
393,Butter::N,ಬೆಣ್ಣೆ,smør
394,Öl::N,ಎಣ್ಣೆ,olje
395,Salz::N,ಉಪ್ಪು,salt
396,Suppe::N,ಎಸರು,suppe
397,Honig::N,ಮಧು,honning
398,Milch::N,ಹಾಲು,melk
399,Tee::N,ಚಹ,te
400,Leder::N,ಚಕ್ಕಳ,lær
401,Leder::N,ಚಕ್ಕಳ,skinn
402,Wolle::N,ಉಣ್ಣೆ,ull
403,Stoff::N,ಬಟ್ಟೆ,tøy
404,Stoff::N,ಬಟ್ಟೆ,stoff
405,Nadel::N,ಸೂಜಿ,nål
406,Faden::N,ದಾರ,tråd
407,Knopf::N,ಗುಂಡು,knapp
408,Knoten::N,ಗಂಟು,knute
409,Farbe::N,ಬಣ್ಣ,farge
410,Kleidung::N,ಅರಿವೆ,påkledning
411,Hemd::N,ಅಂಗಿ,skjorte
412,Kragen::N,ಕುತ್ತಿಗೆಪಟ್ಟಿ,krage
413,Ärmel::N,ತೋಳು,erme
414,Hose::N,ಇಜಾರ,bukse
415,Gürtel::N,ಬೆಲ್ಟು,belte
416,Mütze::N,ಟೋಪಿ,lue
417,Schuh::N,ಪಾದರಕ್ಷೆ,sko
418,Stiefel::N,ಬೂಟು,støvel
419,Ring::N,ಉಂಗುರ,ring
420,Band::N,ರಿಬ್ಬನ್,band
421,Kamm::N,ಹಣಿಗೆ,kam
422,Spiegel::N,ಕನ್ನಡಿ,speil
423,Riemen::N,ಬಾರು,rem
424,Schnur::N,ಹುರಿ,snor
425,Leine::N,ಹಗ್ಗ,line
426,Decke::N,ಕಂಬಳಿ,teppe
427,Kissen::N,ದಿಂಬು,pute
428,Tuch::N,ಕೊರಳ ಬಟ್ಟೆ,tøy
429,Handtuch::N,ಚೌಕ,håndkle
430,Kraft::N,ಬಲ,kraft
431,Stärke::N,ಶಕ್ತಿ,styrke
432,Gesundheit::N,ಆರೋಗ್ಯ,helse
433,Gesundheit::N,ಆರೋಗ್ಯ,sunnhet
434,Krankheit::N,ರೋಗ,syke
435,Krankheit::N,ರೋಗ,sykdom
436,Schmerz::N,ನೋವು,smerte
437,Wunde::N,ಗಾಯ,sår
438,Fieber::N,ಜ್ವರ,feber
439,Arznei::N,ಔಷಧ,medisin
440,Arznei::N,ಔಷಧ,legemiddel
441,Brücke::N,ಸೇತುವೆ,bro
442,Brunnen::N,ಬಾವಿ,brønn
443,Weide::N,ಗೋಮಾಳ,beite
444,Pfad::N,ದಾರಿ,sti
445,Weg::N,ಹಾದಿ,vei
446,Straße::N,ರಸ್ತೆ,gate
447,Dorf::N,ಹಳ್ಳಿ,landsby
448,Stadt::N,ಪಟ್ಟಣ,by
449,Brief::N,ಕಾಗದ,brev
450,Buch::N,ಪುಸ್ತಕ,bok
451,Buchstabe::N,ಅಕ್ಷರ,bokstav
452,Zeitung::N,ವಾರ್ತಾಪತ್ರಿಕೆ,avis
453,Leben::N,ಜೀವನ,liv
454,Tod::N,ಮರಣ,død
455,Grab::N,ಗೋರಿ,grav
456,Kirche::N,ಚರ್ಚು,kirke
457,Sünde::N,ಪಾಪ,synd
458,Gott::N,ದೇವರು,gud
459,Arbeiter::N,ಕೆಲಸಗಾರ,arbeider
460,Chef::N,ದಣಿ,sjef
461,Meister::N,ಶಿಕ್ಷಕ,mester
462,Arzt::N,ವೈದ್ಯ,lege
463,Lehrer::N,ಉಪಾಧ್ಯಾಯ,lærer
464,Geld::N,ಹಣ,penger
465,Geschäft::N,ವಾಣಿಜ್ಯ,forretning
466,Laden::N,ಅಂಗಡಿ,butikk
467,Preis::N,ಬೆಲೆ,pris
468,Ware::N,ಸರಕು,vare
469,Nutzen::N,ಲಾಭ,nytte
470,Reichtum::N,ಸಂಪತ್ತು,rikdom
471,Welt::N,ಭೂಲೋಕ,verden
472,Land::N,ದೇಶ,land
473,Staat::N,ರಾಜ್ಯ,stat
474,König::N,ರಾಜ,konge
475,Macht::N,ಅಧಿಕಾರ,makt
476,Grenze::N,ಗಡಿ,grense
477,Krieg::N,ಯುದ್ಧ,krig
478,Feind::N,ಶತ್ರು,fiende
479,Gewalt::N,ಹಿಂಸೆ,vold
480,Kampf::N,ಹೋರಾಟ,kamp
481,Bogen[Waffe]::N,ಬಿಲ್ಲು,bue
482,Pfeil::N,ಅಂಬು,pil
483,Gewehr::N,ಬಂದೂಕು,gevær
484,Fehler::N,ತಪ್ಪು,feil
485,Lüge::N,ಸುಳ್ಳು,løgn
486,Schaden::N,ಹಾನಿ,skade
487,Unglück::N,ಅಪಾಯ,uhell
488,Schuld::N,ದೋಷ,skyld
489,Alter::N,ಮುಪ್ಪು,alder
490,Schluss::N,ಮುಕ್ತಾಯ,slutt
491,Zeit::N,ಕಾಲ,tid
492,Tag::N,ದಿನ,dag
493,Morgen::N,ಮುಂಜಾನೆ,morgen
494,Mittag::N,ನಡುಹಗಲು,middag
495,Abend::N,ಸಂಜೆ,aften
496,Nacht::N,ರಾತ್ರಿ,natt
497,Woche::N,ವಾರ,uke
498,Monat::N,ತಿಂಗಳು,måned
499,Jahr::N,ಸಂವತ್ಸರ,år
500,Frühling::N,ವಸಂತ,vår
501,Sommer::N,ಬಿಸಿಲುಕಾಲ,sommer
502,Herbst::N,ಶರತ್ಕಾಲ,høst
503,Winter::N,ಚಳಿಗಾಲ,vinter
504,Januar::N,ನಾಲ್ಚಳಿ,januar
505,Februar::N,ಅಯ್ಚಳಿ,februar
506,März::N,ಮೊಬ್ಬೇಸಿಗೆ,mars
507,April::N,ಇಬ್ಬೇಸಿಗೆ,april
508,Mai::N,ಮುಬ್ಬೇಸಿಗೆ,mai
509,Juni::N,ಮೊಮ್ಮಳೆ,juni
510,Juli::N,ಇಮ್ಮಳೆ,juli
511,August::N,ಮುಮ್ಮಳೆ,august
512,September::N,ನಾಲ್ಮಳೆ,september
513,Oktober::N,ಮೊಚ್ಚಳಿ,oktober
514,November::N,ಇಚ್ಚಳಿ,november
515,Dezember::N,ಮುಚ್ಚಳಿ,desember
516,Montag::N,ಸೋಮುವಾರ,mandag
517,Dienstag::N,ಮಂಗಳವಾರ,tirsdag
518,Mittwoch::N,ಬುಧವಾರ,onsdag
519,Donnerstag::N,ಗುರುವಾರ,torsdag
520,Freitag::N,ಶುಕ್ರವಾರ,fredag
521,Samstag::N,ಶನಿವಾರ,lørdag
522,Sonntag::N,ಭಾನುವಾರ,søndag
523,groß::A,ದೊಡ್ಡ,stor
524,klein::A,ಪುಟ್ಟ,liten
525,lang::A,ದೀರ್ಘ,lang
526,kurz::A,ಚಕ್ಕ,kort
527,breit::A,ಅಗಲವಾದ,bred
528,schmal::A,ಇಕ್ಕಟ್ಟಾದ,smal
529,dicht::A,ದಟ್ಟ,tett
530,dick[Gegenstand]::A,ದಟ್ಟ,tykk
531,dünn::A,ತೆಳು,tynn
532,fein::A,ಕೋಮಲ,fin
533,fest::A,ಘನ,fast
534,flach::A,ಚಪ್ಪಟೆ,flat
535,glatt::A,ನಯ,glatt
536,hart::A,ಗಟ್ಟಿ,hard
537,weich::A,ಮೃದುವಾದ,myk
538,weich::A,ಮೃದುವಾದ,bløt
539,rund::A,ವರ್ತುಳ,rund
540,spitz::A,ಮೊನಚಾದ,spiss
541,scharf::A,ತೀಕ್ಷ್ಣ,kvass
542,stumpf::A,ಮೊಂಡು,stubb
543,schwer::A,ಭಾರಿ,tung
544,schön::A,ಸುಂದರ,pen
545,schön::A,ಸುಂದರ,vakker
546,heiß::A,ಬಿಸಿ,het
547,warm::A,ಬಿಸಿ,varm
548,kalt::A,ತಣ್ಣನೆಯ,kald
549,kühl::A,ತಂಪಾದ,kjølig
550,frisch::A,ನಿರ್ಮಲ,fersk
551,feucht::A,ಒದ್ದೆಯಾದ,fuktig
552,nass::A,ಒದ್ದೆಯಾದ,våt
553,trocken::A,ಶುಷ್ಕ,tørr
554,voll::A,ತುಂಬಿದ,full
555,leer::A,ಖಾಲಿ,tom
556,offen::A,ಮುಚ್ಚಲ್ಲದ,åpen
557,geschlossen::A,ಮುಚ್ಚಿದ,lukket
558,sauber::A,ಶುದ್ಧ,ren
559,schmutzig::A,ಅಶುದ್ಧ,skitten
560,roh::A,ಹಸಿ,rå
561,reif::A,ಹಣ್ಣಾದ,moden
562,lecker::A,ಗುಚಿಕರ,lekker
563,süß::A,ಸಿಹಿ,søt
564,bitter::A,ಕಹಿ,besk
565,bitter::A,ಕಹಿ,bitter
566,sauer::A,ಹುಳಿಯಾದ,sur
567,hell::A,ಹೊಳೆಯುವ,lys
568,dunkel::A,ಮಬ್ಬಾದ,mørk
569,schwarz::A,ಕಪ್ಪು,svart
570,weiß::A,ಬಿಳಿಯ,hvit
571,rot::A,ಕೆಂಪು,rød
572,gelb::A,ಹಳದಯ,gul
573,blau::A,ನೀಲ,blå
574,grün::A,ಕಾಯಾದ,grønn
575,grau::A,ಬೂದುಬಣ್ಣದ,grå
576,bunt::A,ವರ್ಣರಂಜಿತ,broket
577,billig::A,ಅಗ್ಗ,billig
578,teuer::A,ದುಬಾರಿಯಾದ,dyr
