,Concept_ID,sah,ab
138,Feder::N,куорсун,ахӡы
139,Fell::N,тирии,ацəа
140,Flügel::N,кынат,амҵəыжəа
141,Klaue::N,тыҥырах,ашьапхыц
142,Kralle::N,баппаҕай,
143,Schwanz::N,кутурук,аҵыхəа
144,Ei::N,сымыыт,акəтаӷь
145,Nest::N,уйа,аҭра
146,Nest::N,уйа,аҵысҭра
147,Bau::N,хороон,аҭыҩра
148,Tier::N,кыыл,аҧстəы
149,Tier::N,кыыл,агыгшəыг
150,Tier::N,харамай,аҧстəы
151,Tier::N,харамай,агыгшəыг
152,Herde::N,үөр,агəарҭа
153,Kuh::N,ынах,ажə
154,Bulle::N,оҕус,ацə
155,Pferd::N,сылгы,аҽы
156,Schaf::N,овца,ауаса
157,Schwein::N,сибиинньэ,аҳəа
158,Hund::N,ыт,ала
159,Katze::N,куоска,ацгəы
160,Bär::N,эһэ,амшə
161,Eichhörnchen::N,тииҥ,аеш
162,Elch::N,тайах,аҽаҩа
163,Fuchs::N,саһыл,абгахəыҷы
164,Hase::N,куобах,ажьа
165,Maus::N,кутуйах,аҳəынаҧ
166,Wolf::N,бөрө,абгаду
167,Vogel::N,көтөр,аҧсаатə
168,Schwarm::N,бөлөх,
169,Huhn::N,куурусса,акəты
170,Hahn::N,бөтүүк,арбаҕь
171,Gans::N,хаас,аҟыз
172,Adler::N,хотой,ауарба
173,Ente::N,кус,акəата
174,Eule::N,мэкчиргэ,аты
175,Kranich::N,туруйа,апҟа
176,Krähe::N,тураах,аҟəараан
177,Kuckuck::N,кэҕэ,акəыкəу
178,Schwan::N,куба,агьад
179,Fisch::N,балык,аҧсыӡ
180,Barsch::N,алыһар,ацəыбла
181,Hecht::N,сордон,ахиаала
182,Schlange[Tier]::N,моҕой,амаҭ
183,Schlange[Tier]::N,эриэн үөн,амаҭ
184,Wurm::N,үөн,ахəа
185,Wurm::N,үөн,ахəац
186,Spinne::N,ооҕуй,абызкаҭаҳа
187,Ameise::N,кымырдаҕас,ашышкамс
188,Laus::N,быт,аҵа
189,Mücke::N,кумаар,акəыбры
190,Fliege::N,сахсырҕа,амҵ
191,Schmetterling::N,лыах,аҧарҧалыкь
192,Schmetterling::N,үрүмэччи,аҧарҧалыкь
193,Beere::N,отон,аргуц
194,Apfel::N,яблоко,аҵəа
195,Pilz::N,тэллэй,акəкəбаа
196,Zwiebel::N,луук,аџьымшьы
197,Zwiebel::N,луук,аџьымшьхы
198,Saat::N,сиэмэ,ажəла
199,Korn::N,сиэмэ,арыц
200,Heu::N,от,аҭəа
201,Schale::N,хах,ацəа
202,Grube::N,дьаама,ажра
203,Grube::N,дьаама,атыша
204,Falle::N,сохсо,арыҧҟьа
205,Schlinge::N,уктаа,аҟəараҟəантə
206,Spur::N,суол,ашьҭа
207,Asche::N,күл,ахəа
208,Dreck::N,бадараан,аҳəынҵəа
209,Dreck::N,бадараан,аҟьамсар
210,Eisen::N,тимир,аиха
211,Gold::N,көмүс,ахьы
212,Gold::N,кыһыл көмүс,ахьы
213,Silber::N,көмүс,аразны
214,Silber::N,үрүҥ көмүс,аразны
215,Kohle::N,чох,арацəа
216,Glas::N,өстүөкүлэ,асаркьа
217,Lehm::N,туой,анышəаҧшь
218,Sand::N,кумах,аҧслымӡ
219,Mensch::N,киһи,ауаҩы
220,Mann::N,эр,ахаҵа
221,Frau::N,дьахтар,аҧҳəыс
222,Kind::N,оҕо,ахəыҷы
223,Junge::N,уол,аҷкəын
224,Junge::N,уол,ахаҵарҧыс
225,Mädchen::N,кыыс оҕо,аӡӷаб
226,Familie::N,кэргэн,аҭаацəа
227,Großvater::N,эһэ,абду
228,Großmutter::N,эбэ,анду
229,Eltern::N,аҕа-ийэ,ани аби
230,Vater::N,аҕа,аб
231,Mutter::N,ийэ,ан
232,Sohn::N,уол,аҧа
233,Tochter::N,кыыс,аҧҳа
234,Bruder::N,убай,аиашьа
235,Bruder::N,быраат,аиашьа
236,Schwester::N,аҕас,Аҳəшьа
237,Schwester::N,балыс,Аҳəшьа
238,Onkel::N,таай,абиашьа
239,Onkel::N,таай,аншьа
240,Onkel::N,абаҕа,абиашьа
241,Onkel::N,абаҕа,аншьа
242,Tante::N,эдьиий,абиаҳəшьа
243,Ehemann::N,эр,ахаҵа
244,Ehemann::N,эр,аҧшəма
245,Ehefrau::N,ойох,аҧҳəыс
246,Freude::N,үөрүү,агəырӷьара
247,Gelächter::N,күлүү,ачча
248,Gelächter::N,күлүү,аччара
249,Glück::N,дьол,аразҟы
250,Glück::N,соргу,аразҟы
251,Kummer::N,кутурҕан,агəырҩа
252,Wunsch::N,баҕарыы,агəхəтəы
253,Wunsch::N,баҕарыы,аҭахра
254,Lust::N,баҕа,агəазыҳəара
255,Geist::N,тыын,аҧсы
256,Gedanke::N,санаа,ахəыцырҭа
257,Gedächtnis::N,өй,агəынкылара
258,Verstand::N,өй,ахшыҩ
259,Sinn::N,суолта,аҵакы
260,Grund::N,төрүөт,амзыз
261,Wahrheit::N,кырдьык,аиаша
262,Gespräch::N,бэсиэдэ,аиҿцәажәара
263,Gespräch::N,кэпсэтии,аиҿцәажәара
264,Märchen::N,остуоруйа,алакə
265,Erzählung::N,кэпсээн,ажәабжь
266,Nachricht::N,биллэриллии,адырраҭара
267,Neuigkeit::N,сонун,ажәабжь ҿыц
268,Name::N,аат,ахьӡ
269,Rätsel::N,таабырын,ацуфара
270,Rede::N,этии,ажәа
271,Sprache::N,тыл,абызшəа
272,Stimme::N,куолас,абжьы
273,Wort::N,тыл,ажәа
274,Zeichen::N,бэлиэ,адырга
275,Ruf::N,ыҥырыы,аҿҭы
276,Lärm::N,айдаан,ашьҭыбжь
277,Laut::N,тыас,ашьҭыбжь
278,Ton::N,дорҕоон,атон
279,Lied::N,ырыа,ашəа
280,Ruhe::N,уу чуумпу,аҭынчра
281,Leute::N,дьон,ауаа
282,Volk::N,дьон,ажəлар
283,Volk::N,норуот,ажəлар
284,Arbeit::N,үлэ,аусура
285,Gast::N,ыалдьыт,асас
286,Geschenk::N,бэлэх,аҳамҭа
287,Geschenk::N,бэлэх,аҿанҵа
288,Spiel::N,оонньуу,ахəмарра
289,Gesellschaft::N,общество,агəыҧ
290,Hilfe::N,көмө,ацхыраара
291,Freund::N,доҕор,аҩыза
292,Kamerad::N,атас,Аҧхнагьла
293,Angelegenheit::N,дьыала,аус
294,Anzahl::N,ахсаан,ахыҧхьаӡара
295,Art::N,биис,ахкы
296,Stück::N,кырбас,аҽыҭ
297,Teil::N,ирээт,ахəҭа
298,Hälfte::N,аҥар,абжа
299,Kreis::N,төгүрүк,агьагьа
300,Kreis::N,төгүрүмтэ,агьагьа
301,Kreuz::N,кириэс,аџьар
302,Linie::N,сурааһын,аицтәар
303,Strich::N,сурааһын,ацəаҳəа
304,Abstand::N,арыт,абжьара
305,Entfernung::N,ыраах,абжьара
306,Gegend::N,сир,аҭыҧ
307,Platz::N,арыт,аҭыҧ
308,Ort::N,сир,аҭыҧ
309,Seite::N,өрүт,аган
310,Seite::N,сирэй,аган
311,Mitte::N,орто,агəҭа
312,Gegenstand::N,предмет,амаҭəар
313,Sache::N,мал,
314,Rand::N,кытыы,аҵкар
315,Rand::N,ойоҕос,аҵкар
316,Kante::N,кырыы,авардым
317,Ecke::N,муннук,акəакь
318,Spitze::N,чыпчаал,аҧынҵа
319,Ende::N,төбө,анаӡара
320,Loch::N,тэһэҕэс,акылҵəара
321,Loch::N,дьөлөҕөс,акылҵəара
322,Winkel::N,муннук,агҿаҩра
323,Winkel::N,муннук,акəындхə
324,Winkel::N,муннук,акəакь
325,Muster::N,оһуор,аҟҟа
326,Größe::N,кээмэй,изаҟароу
327,Länge::N,уста,аура
328,Höhe::N,үрдүк,агылара
329,Gewicht::N,ыйааһын,акапан
330,Menge::N,ахсаан,
331,Haufen::N,чөмчөх,ачаҟəа
332,Reihe::N,кэккэ,ацəаҳəа
333,Boot::N,оҥочо,анышь
334,Ruder::N,эрдии,ажəҩа
335,Schlitten::N,сыарҕа,ашəаҩауардын
336,Ski::N,хайыһар,ашəаҩа
337,Ski::N,хайыһар,ашьахаха
338,Lagerfeuer::N,кутаа,еиқуу амца
339,Last::N,ыарахан,ахьанҭара
340,Gang::N,хаамыы,аныҟəара
341,Schritt::N,хардыы,ашьаҿа
342,Norden::N,хоту,аҩада
343,Süden::N,соҕуруу,алада
344,Westen::N,арҕаа,амраҭашəара
345,Osten::N,илин,амрагылара
346,Holz::N,мас,амҿымаҭəахə
347,Brett::N,дуоска,аӷəы
348,Brett::N,хаптаһын,аӷəы
349,Platte::N,билиитэ,ахаҳәцәы
350,Stütze::N,тулааһын,аҵаргəа
351,Stütze::N,тулааһын,агəышьаҟа
352,Stange::N,ураҕас,акьат
353,Stock::N,мас,алаба
354,Stock::N,баалкы,алаба
355,Stab::N,ураҕас,акьат
356,Rohr::N,турба,абыкь
357,Haus::N,дьиэ,аҩны
358,Heim::N,дьиэ,аҭаацəа
359,Ofen::N,оһох,аҳақə
360,Ofen::N,оһох,ауаџьаҟ
361,Ofen::N,оһох,афрына
362,Fußboden::N,муоста,адашьма
363,Tisch::N,остуол,аишәа
364,Stuhl::N,устуул,аҟəардə
365,Wiege::N,биһик,агара
366,Bett::N,кырабаат,акаруаҭ
367,Regal::N,долбуур,акыӷəра
368,Kiste::N,дьааһык,аидчаҧала
369,Fenster::N,түннүк,аҧенџьыр
370,Tür::N,аан,ашə
371,Tor::N,аан,агəашə
372,Zaun::N,соппулуот,аанда
373,Dach::N,кырыыса,ахыб
374,Leiter::N,кирилиэс,амардуан
375,Besen::N,миинньик,аҧссага
376,Spaten::N,күрдьэх,ажыга
377,Schaufel::N,күрдьэх,аҭəарӷəы
378,Gabel::N,биилкэ,ачқьыҧ
379,Löffel::N,луоска,амҳаҵə
380,Messer::N,быһах,аҳəызба
381,Nagel::N,тоһоҕо,аҵəымӷ
382,Netz::N,илим,акаҭа
383,Haken::N,көхө,аҵəаҳə
384,Griff::N,ук,амаа
385,Griff::N,тутаах,амаа
386,Schloss::N,күлүүс,асаҧаҭ
387,Bild::N,хартыына,асахьа
388,Figur::N,фигура,афигура
389,Puppe::N,куукула,акьанџьа
390,Beutel::N,мөһөөччук,асакь
391,Bündel::N,баайыы,аҿаҳəара
392,Tasche::N,суумка,арҭмаҟ
393,Eimer::N,биэдэрэ,аведра
394,Deckel::N,хаппах,ахҩа
395,Geschirr::N,иһит,ачысмаҭəа
396,Sack::N,куул,асакь
397,Tasse::N,сэлиэнэй,аҵəца
398,Topf::N,көстүрүүҥкэ,акаструлиа
399,Kessel::N,хочуол,ачуан
400,Essen::N,аһылык,
401,Nahrung::N,ас,афатə
402,Speise::N,аһылык,афатə
403,Fleisch::N,эт,акəац
404,Getreide::N,злактар,ачакуа
405,Brei::N,хааһы,ақашь
406,Brot::N,килиэп,ача
407,Scheibe::N,куһуок,аҽыҭ
408,Scheibe::N,куһуок,аҿаҵа
409,Fett::N,сыа,ашша
410,Butter::N,арыы,ахəша
411,Öl::N,арыы,азеҭ
412,Salz::N,туус,аџьыка
413,Suppe::N,мин,асуҧ
414,Honig::N,мүөт,ацха
415,Milch::N,үүт,ахш
416,Tee::N,чэй,ачаи
417,Leder::N,тирии,ацəа
418,Wolle::N,түү,аласа
419,Stoff::N,таҥас,Аба
420,Nadel::N,иннэ,агəыр
421,Faden::N,сап,арахəыц
422,Knopf::N,тимэх,аҳəынҵəра
423,Knoten::N,түмүк,аиқəҳəала
424,Farbe::N,кырааска,ашəыга
425,Kleidung::N,таҥас,амаҭəа
426,Hemd::N,ырбаахы,акьаҿ
427,Kragen::N,саҕа,ахəда
428,Ärmel::N,сиэх,амаӷра
429,Hose::N,ыстаан,аиқəа
430,Hose::N,бүрүүкэ,аиқəа
431,Gürtel::N,кур,амаҟа
432,Mütze::N,бэргэһэ,ахылҧа
433,Schuh::N,бачыыҥка,аимаа
434,Stiefel::N,саппыкы,амагə
435,Ring::N,биһилэх,амацəаз
436,Band::N,лиэнтэ,алента
437,Kamm::N,тараах,ахҳəа
438,Spiegel::N,сиэркилэ,асаркьа
439,Riemen::N,кур,аа
440,Schnur::N,быа,ашаха
441,Leine::N,тэһиин,аҕура
442,Decke::N,суорҕан,ахыза
443,Kissen::N,сыттык,ахчы
444,Tuch::N,былаат,акасы
445,Handtuch::N,соттор,ампахьшьы
446,Kraft::N,сыра,амч
447,Stärke::N,күүс,амч
448,Gesundheit::N,доруобуйа,агəабзиара
449,Krankheit::N,ыарыы,ачымазара
450,Schmerz::N,ыарыы,ахьаа
451,Wunde::N,баас,ахəра
452,Fieber::N,түрүлгэн,ашоура
453,Fieber::N,лихорадка,ашоура
454,Fieber::N,температура,ашоура
455,Arznei::N,эмп,ахəшə
456,Brücke::N,күргэ,ацҳа
457,Brunnen::N,холуодьас,аҵыџь
458,Weide::N,мэччирэҥ,аҳəырҭа
459,Pfad::N,ыллык,амхəасҭа
460,Weg::N,суол,амҩа
461,Straße::N,суол,амҩа
462,Dorf::N,дэриэбинэ,ақыҭа
463,Stadt::N,куорат,ақалақь
464,Brief::N,сурук,ашəҟəы
465,Buch::N,кинигэ,ашəҟəы
466,Buchstabe::N,буква,анбан
467,Zeitung::N,хаһыат,агазеҭ
468,Leben::N,тыын,аҧсҭазаара
469,Tod::N,өлүү,аҧсра
470,Grab::N,иин,анышəынҭра
471,Kirche::N,таҥара дьиэтэ,ауахəама
472,Sünde::N,айыы,агəнаҳа
473,Gott::N,тангара,анцəа
474,Arbeiter::N,үлэһит,аусуҩ
475,Chef::N,баһылык,Аиҳабы
476,Chef::N,начальник,Аиҳабы
477,Meister::N,уус,аҟаза
478,Meister::N,маастар,аҟаза
479,Arzt::N,врач,аҳақьым
480,Lehrer::N,учуутал,арҵаҩы
481,Geld::N,харчы,аҧара
482,Geschäft::N,идэ,
483,Laden::N,маҕаһыын,амагазин
484,Preis::N,сыана,ахə
485,Ware::N,табаар,атауар
486,Nutzen::N,туһа,ақьар
487,Reichtum::N,баай,абеиара
488,Welt::N,аан дойду,адунеи
489,Land::N,дойду,атəыла
490,Staat::N,государство,аҳəынҭқарра
491,König::N,король,акрал
492,Macht::N,былаас,амчра
493,Grenze::N,кыраныысса,аҳəаа
494,Krieg::N,сэрии,аибашьра
495,Feind::N,өстөөх,Аҕа
496,Gewalt::N,күүһүлээһин,ақəымчра
497,Kampf::N,охсуһуу,ақəҧара
498,Bogen[Waffe]::N,ох,ахыц
499,Pfeil::N,ох,ахəымпал
500,Gewehr::N,саа,ашəақь
501,Fehler::N,сыыһа,агха
502,Lüge::N,сымыйа,амц
503,Schaden::N,хоромньу,аҧырхага
504,Unglück::N,алдьархай,арыцҳара
505,Schuld::N,буруй,ахара
506,Alter::N,саас,ақəра
507,Schluss::N,тиһэх,анҵəамҭа
508,Zeit::N,бириэмэ,аамта
509,Tag::N,күн,амш
510,Morgen::N,сарсыарда,ашара
511,Morgen::N,сарсыарда,ашьыбжь
512,Mittag::N,күн ортото,шьыбжьон
513,Abend::N,киэһэ,ахəылҧаз
514,Abend::N,киэһэ,ахəлбыҽха
515,Nacht::N,түүн,аҵх
516,Woche::N,нэдиэлэ,амчыбжь
517,Monat::N,ый,
518,Jahr::N,сыл,
519,Jahr::N,дьыл,
520,Frühling::N,саас,ааҕын
521,Sommer::N,сайын,аҧхын
522,Herbst::N,күһүн,ҭагалан
523,Herbst::N,күһүн,хкаарачан
524,Winter::N,кыһын,аӡын
525,Januar::N,тохсунньу,ианвар
526,Februar::N,олунньу,февраль
527,März::N,кулун тутар,март
528,April::N,муус устар ый,апрель
529,Mai::N,ыам ыйа,маи
530,Juni::N,бэс ыйа,иуун
531,Juli::N,от ыйа,иууль
532,August::N,атырдьах ыйа,август
533,September::N,балаҕан ыйа,сентиабр
534,Oktober::N,алтынньы,октиабр
535,November::N,сэтинньи,ноиабр
536,Dezember::N,ахсынньы,декабр
537,Montag::N,бэнидиэнньик,ашəахьа
538,Dienstag::N,оптуорунньук,аҩаша
539,Mittwoch::N,сэрэдэ,ахаша
540,Donnerstag::N,чэппиэр,аҧшьаша
541,Freitag::N,бээтинсэ,ахəаша
542,Samstag::N,субуота,асабша
543,Sonntag::N,баскыһыанньа,амҽыша
544,groß::A,бөдөҥ,аду
545,groß::A,улахан,аду
546,klein::A,кыр,амаҷ
547,lang::A,уһун,ахəхəа
548,kurz::A,кылгас,акьаҿ
549,breit::A,кэтит,аиужь
550,breit::A,кэтит,аиҵых
551,schmal::A,кыараҕас,аҭшəа
552,dicht::A,хойуу,аилач
553,dick[Gegenstand]::A,суон,ажəпа
554,dick[Gegenstand]::A,хойуу,ажəпа
555,dünn::A,чараас,
556,fein::A,бытархай,апа
557,fein::A,бытархай,аҵаӷа
558,fein::A,бытархай,аӡа
559,fein::A,синньигес,апа
560,fein::A,синньигес,аҵаӷа
561,fein::A,синньигес,аӡа
562,fest::A,бөҕө,аҟаца
563,fest::A,бөҕө,аӷəӷəаҟаца
564,fest::A,кытаанах,аҟаца
565,fest::A,кытаанах,аӷəӷəаҟаца
566,flach::A,хаптаҕай,ақəаҟьа
567,flach::A,хаптаҕай,аҧаҟьа
568,glatt::A,кылааккай,аимаҩзы
569,hart::A,хатан,акьакьа
570,hart::A,кытаанах,акьакьа
571,weich::A,сымнаҕас,атата
572,rund::A,төгүрүк,акəмпыл
573,spitz::A,сытыы,аҵар
574,spitz::A,уһуктаах,аҵар
575,scharf::A,сытыы,аҵар
576,stumpf::A,сыппах,ацагə
577,schwer::A,ыарахан,ахьанҭа
578,schön::A,кыраһыабай,аҧшӡа
579,heiß::A,итии,ашы
580,warm::A,ичигэс,аҧха
581,kalt::A,тымныы,ахьшəашəа
582,kühl::A,сөрүүн,ахьшəашəа
583,kühl::A,сөрүүн,ицәыхьшәашәоу
584,frisch::A,ыраас,цқьа
585,frisch::A,сөрүүн,цқьа
586,frisch::A,тымныы,цқьа
587,feucht::A,сииктээх,ацəаак
588,nass::A,инчэҕэй,абааӡа
589,trocken::A,кураан,Аба
590,trocken::A,кураан,аҩа
591,voll::A,толору,азна
592,leer::A,иччитэх,аҭацəы
593,offen::A,аһаҕас,аарта
594,geschlossen::A,бүтэй,ихҩоу
595,geschlossen::A,бүтэй,иаркыу
596,sauber::A,сэбэр,ацқьа
597,schmutzig::A,кирдээх,аҟьашь
598,roh::A,сиикэй,
599,reif::A,буспут,Арҭ
600,reif::A,буспут,аҟала
601,reif::A,буспут,иҟалахьоу
602,reif::A,сиппит-хоппут,Арҭ
603,reif::A,сиппит-хоппут,аҟала
604,reif::A,сиппит-хоппут,иҟалахьоу
605,lecker::A,минньигэс,ахаа
606,süß::A,минньигэс,азла
607,bitter::A,аһыы,аша
608,sauer::A,аһыы,аҵəҵəы
609,hell::A,сырдык,алаша
610,dunkel::A,хараҥа,алашьца
611,schwarz::A,хара,аиқуаҵәа
612,weiß::A,үрүҥ,ашкəакəа
613,weiß::A,маҥан,ашкəакəа
614,rot::A,кыһыл,аҟаҧшь
615,gelb::A,саһархай,аҩеижь
616,blau::A,күөх,аҽҵәа
617,grün::A,күөх,ашьацҧшҭəала
618,grün::A,күөх,аеҵəа
619,grün::A,от күөҕэ,ашьацҧшҭəала
620,grün::A,от күөҕэ,аеҵəа
621,grau::A,сиэрэй,ацəыш
622,bunt::A,эриэн,Аилыҕраа
623,bunt::A,эриэн,аҕраҷкəын
624,billig::A,чэпчэки,амариа
625,teuer::A,сыаналаах,амҩан
626,wertvoll::A,сыаналаах,кыр иаҕсоу
627,wertvoll::A,сыаналаах,акыр иаҕсоу
628,blind::A,хараҕа суох,алашə
629,taub::A,дьүлэй,адагəа
630,kräftig::A,модун,аӷəӷəа
631,stark::A,күүстээх,абаҟа
632,schwach::A,мөлтөх,акəада
633,fett::A,эмис,аҧсыла
634,schlank::A,дьылҕан,акала
635,schlank::A,дьылҕан,акьалантар
636,schlank::A,дьылҕан,аиҿартə
637,schlank::A,дьыпсаҕай,акала
638,schlank::A,дьыпсаҕай,акьалантар
639,schlank::A,дьыпсаҕай,аиҿартə
640,hübsch::A,олус кэрэ,аҧшӡа
641,hübsch::A,көрүөхтэн үчүгэй,аҧшӡа
642,böse::A,өһүөннээх,абааҧсы
643,dumm::A,акаары,агаӡа
644,faul::A,нэс,аашьа
645,fleißig::A,кыһамньылаах,иҟубҷоу
646,geizig::A,иҥсэлээх,акы
647,geizig::A,иҥсэлээх,акаҷбеи
648,geizig::A,иҥсэлээх,аҟəџьыр
649,klug::A,өйдөөх,аҟəыш
650,klug::A,өйдөөх,аҟəыӷа
651,geschickt::A,наһаа дьоҕурдаах,напҟазала
652,lieb::A,тапталлаах,алашара
653,lustig::A,көрдөөх,алах-ҿых
654,lustig::A,көрдөөх,игурҕьаччо
655,lustig::A,көрдөөх,агурҕьа
656,lustig::A,көрдөөх,агурҿыхага
657,sanft::A,намчы,атата
658,sanft::A,намчы,аҟəымшəышə
659,sanft::A,намчы,ақьыҧш
660,sanft::A,сымнаҕас,атата
661,sanft::A,сымнаҕас,аҟəымшəышə
662,sanft::A,сымнаҕас,ақьыҧш
663,hungrig::A,аччык,амлашь
664,krank::A,ыалдьар,ачымазаҩ
665,nackt::A,сыгынньах,аҟьантаз
666,traurig::A,санаарҕабыллаах,алахьеиқəҵага
667,lebendig::A,тыыннаах,абза
668,gut::A,үтүө,абзиа
669,gut::A,үчүгэй,абзиа
670,schlecht::A,куһаҕан,-хəарҭам
671,richtig::A,сөп,иашоу
672,schlimm::A,сидьиҥ,абааҧсы
673,schlimm::A,быдьар,абааҧсы
674,wahr::A,кырдьык,агəҭылса
675,wahr::A,кырдьык,абзиаҵəҟьа
676,alt::A,былыргы,Ажə
677,neu::A,саҥа,аҿыц
678,ehemalig::A,урукку,анкьатәи
679,alt[Lebewesen]::A,кырдьаҕас,абырг
680,alt[Lebewesen]::A,кырдьаҕас,ақабада
681,alt[Lebewesen]::A,кырдьаҕас,Ажə
682,jung::A,эдэр,аҟата
683,arm::A,дьадаҥы,ананамга
684,reich::A,баай,абеиа
685,bekannt::A,билэр,адыр
686,berühmt::A,аатырбыт,адыр
687,fremd::A,атын,атəым
688,verschieden::A,араас,Еиуа-еиҧшым
689,nah::A,чугас,ааигəа
690,fern::A,ыраах,ахара
