,Concept_ID,os,no
118,Höhle::N,лӕгӕт,hule
119,Abhang::N,къул,li
120,Abhang::N,къул,skråning
121,Quelle::N,суадон,kilde
122,Bach::N,мӕсчъыдон,bekk
123,Fluss::N,дон,elv
124,Fluss::N,цӕугӕдон,elv
125,Ufer::N,был,bredd
126,Küste::N,донбыл,kyst
127,Festland::N,сурзæхх,fastland
128,Meer::N,денджыз,hav
129,Bucht::N,донбакæлæн,bukt
130,Insel::N,сакъадах,øy
131,Blume::N,дидинӕг,blomst
132,Gras::N,кӕрдӕг,gress
133,Wurzel::N,уидаг,rot
134,Baum::N,бӕлас,tre
135,Stamm::N,хӕтӕл,stamme
136,Rinde::N,цъар,bark
137,Ast::N,арх,gren
138,Zweig::N,къалиу,kvist
139,Blatt::N,сыф,blad
140,Birke::N,бæрз,bjørk
141,Kiefer[Baum]::N,нӕзы,furu
142,Weide[Baum]::N,хӕрис,selje
143,Weide[Baum]::N,хӕрис,piletre
144,Tanne::N,наз,gran
145,Horn::N,сыкъа,horn
146,Feder::N,сис,fjær
147,Fell::N,царм,skinn
148,Flügel::N,базыр,vinge
149,Klaue::N,ных,klauv
150,Kralle::N,дзӕмбы,klo
151,Schwanz::N,къӕдзил,hale
152,Ei::N,айк,egg
153,Nest::N,ахстон,rede
154,Bau::N,хуынкъ,hi
155,Tier::N,сырд,dyr
156,Tier::N,цӕрӕгой,dyr
157,Herde::N,дзуг,flokk
158,Herde::N,рӕгъау,flokk
159,Kuh::N,хъуг,ku
160,Bulle::N,гал,tyr
161,Pferd::N,бӕх,hest
162,Schaf::N,фыс,får
163,Schwein::N,хуы,gris
164,Hund::N,куыдз,hund
165,Katze::N,гӕды,katt
166,Bär::N,арс,bjørn
167,Eichhörnchen::N,æхсæрæг,ekorn
168,Elch::N,цæгатаг саг,elg
169,Fuchs::N,рувас,rev
170,Hase::N,тæрхъус,hare
171,Maus::N,мыст,mus
172,Wolf::N,бирӕгъ,ulv
173,Wolf::N,бирӕгъ,varg
174,Vogel::N,цъиу,fugl
175,Vogel::N,маргъ,fugl
176,Schwarm::N,бал,sverm
177,Huhn::N,карк,høne
178,Hahn::N,уасӕг,hane
179,Gans::N,хъаз,gås
180,Adler::N,цӕргӕс,ørn
181,Ente::N,ацц,and
182,Eule::N, уыг,ugle
183,Eule::N,сидахъ,ugle
184,Kranich::N,зырнæг,trane
185,Kranich::N,хърихъупп,trane
186,Krähe::N,халон,kråke
187,Kuckuck::N,гаккук,gjøk
188,Schwan::N,доныхъаз,svane
189,Fisch::N,кӕсаг,fisk
190,Barsch::N,окунь,abbor
191,Hecht::N,хихор кӕсаг,gjedde
192,Schlange[Tier]::N,калм,orm
193,Schlange[Tier]::N,калм,slange
194,Wurm::N,зулкъ,orm
195,Wurm::N,зулкъ,mark
196,Wurm::N,къуыдыргалм,orm
197,Wurm::N,къуыдыргалм,mark
198,Spinne::N,хӕлуарӕг,edderkopp
199,Ameise::N,мæлдзыг,maur
200,Laus::N,сыст,lus
201,Mücke::N,къогъо,mygg
202,Fliege::N,бындз,flue
203,Schmetterling::N,гæлæбу,sommerfugl
204,Beere::N,гагадыргъ,bær
205,Apfel::N,фӕткъуы,eple
206,Pilz::N,зокъо,sopp
207,Pilz::N,къозо,sopp
208,Zwiebel::N,хъӕдындз,løk
209,Saat::N,тауинаг,sæd
210,Saat::N,мыггаг,sæd
211,Korn::N,мыггаг,korn
212,Korn::N,тауинаг,korn
213,Heu::N,хос,høy
214,Schale::N,цъар,skall
215,Grube::N,урм,grop
216,Grube::N,къахт,grop
217,Grube::N,дзыхъхъ,grop
218,Falle::N,цъысым,felle
219,Falle::N,къӕппӕг,felle
220,Schlinge::N,цасм,snare
221,Spur::N,фæд,spor
222,Asche::N,фӕнык,aske
223,Asche::N,ӕртхутӕг,aske
224,Dreck::N,цъыф,møkk
225,Dreck::N,цъыф,skitt
226,Eisen::N,ӕфсӕйнаг,jern
227,Gold::N,сыгъзӕрин,gull
228,Silber::N,ӕвзист,sølv
229,Kohle::N,ӕвзалы,kol
230,Kohle::N,ӕвзалы,kull
231,Glas::N,авг,glass
232,Lehm::N,ӕлыг,leire
233,Sand::N,змис,sand
234,Mensch::N,лӕг,menneske
235,Mensch::N,адӕймаг,menneske
236,Mensch::N,удгоймаг,menneske
237,Mann::N,лӕг,mann
238,Mann::N,нӕлгоймаг,mann
239,Frau::N,сылгоймаг,kvinne
240,Kind::N,сывӕллон,barn
241,Junge::N,лӕппу,gutt
242,Mädchen::N,чызг,pike
243,Mädchen::N,чызг,jente
244,Familie::N,бинонтæ,familie
245,Großvater::N,фыдыфыд,bestefar
246,Großvater::N,мадыфыд,bestefar
247,Großmutter::N,фыды мад,bestemor
248,Großmutter::N,мады мад,bestemor
249,Eltern::N,ныййарджытæ,foreldre
250,Vater::N,фыд,far
251,Mutter::N,мад,mor
252,Sohn::N,фырт,sønn
253,Tochter::N,чызг,datter
254,Bruder::N,ӕфсымӕр,bror
255,Schwester::N,хо,søster
256,Onkel::N,фыдыфсымӕр,onkel
257,Tante::N,мадыхо,tante
258,Ehemann::N,мой,ektemann
259,Ehefrau::N,ус,hustru
260,Freude::N,цин,glede
261,Freude::N,циндзинад,glede
262,Gelächter::N,худын,latter
263,Gelächter::N,худт,latter
264,Gelächter::N,худæг,latter
265,Glück::N,амонд,lykke
266,Kummer::N,хъыг,sorg
267,Wunsch::N,бӕллиц,ønske
268,Lust::N,монц,lyst
269,Geist::N,уд,ånd
270,Gedanke::N,хъуыды,tanke
271,Gedächtnis::N,мысæн,minne
272,Gedächtnis::N,мысæн,hukommelse
273,Gedächtnis::N,мысын,minne
274,Gedächtnis::N,мысын,hukommelse
275,Gedächtnis::N,зæрдылдарын,minne
276,Gedächtnis::N,зæрдылдарын,hukommelse
277,Verstand::N,зонд,forstand
278,Sinn::N,нысаниуæг,mening
279,Sinn::N,нысаниуæг,betydning
280,Grund::N,ӕфсон,grunn
281,Wahrheit::N,æцæг,sannhet
282,Gespräch::N,ныхас,samtale
283,Märchen::N,аргъау,eventyr
284,Erzählung::N,радзырд,fortelling
285,Nachricht::N,уац,melding
286,Neuigkeit::N,хабар,nyhet
287,Name::N,ном,navn
288,Rätsel::N,уыци-уыци,gåte
289,Rätsel::N,базон-базон,gåte
290,Rede::N,раныхас,tale
291,Sprache::N,ӕвзаг,språk
292,Stimme::N,хъӕлӕс,stemme
293,Wort::N,дзырд,ord
294,Zeichen::N,нысан,tegn
295,Ruf::N,сидт,rop
296,Lärm::N,уынæр,bråk
297,Laut::N,зӕл,lyd
298,Laut::N,мыр,lyd
299,Ton::N,мыр,tone
300,Lied::N,зарӕг,vise
301,Ruhe::N,æнцой,ro
302,Leute::N,адӕм,folk
303,Volk::N,адӕм,folk
304,Arbeit::N,фӕллой,arbeid
305,Gast::N,уазӕг,gjest
306,Geschenk::N,хуын,gave
307,Spiel::N,хъазт,lek
308,Spiel::N,хъазт,spill
309,Gesellschaft::N,дзыллæ,selskap
310,Gesellschaft::N,æхсæнад,selskap
311,Hilfe::N,æххуыс,hjelp
312,Hilfe::N,ахъаз,hjelp
313,Freund::N,лымӕн,venn
314,Kamerad::N,ӕмбал,kamerat
315,Angelegenheit::N,хъуыддаг,sak
316,Angelegenheit::N,хъуыддаг,anliggende
317,Anzahl::N,бӕрц,antall
318,Art::N,хуыз,art
319,Art::N,хуыз,slag
320,Art::N,хуызад,art
321,Art::N,хуызад,slag
322,Stück::N,кæрдих,stykke
323,Stück::N,комдзаг,stykke
324,Teil::N,хай,del
325,Hälfte::N,æрдæг,halvdel
326,Hälfte::N,æмбис,halvdel
327,Kreis::N,зиллакк,ring
328,Kreis::N,зиллакк,sirkel
329,Kreuz::N,дзуар,kors
330,Kreuz::N,дзуар,kryss
331,Linie::N,хахх,linje
332,Strich::N,хахх,strek
333,Abstand::N,æхсæнуат,avstand
334,Entfernung::N,дæрддзæг,avstand
335,Entfernung::N,дардцæг,avstand
336,Gegend::N,ран,strøk
337,Platz::N,бууат,plass
338,Ort::N,ран,sted
339,Ort::N,бынат,sted
340,Seite::N,фахс,side
341,Mitte::N,астӕу,midte
342,Gegenstand::N,дзаума,gjenstand
343,Sache::N,дзаума,sak
344,Rand::N,кӕрон,rand
345,Kante::N,фӕрск,kant
346,Ecke::N,тигъ,hjørne
347,Ecke::N,фисын,hjørne
348,Spitze::N,бырынкъ,spiss
349,Ende::N,кӕрон,ende
350,Loch::N,хуынкъ,hull
351,Winkel::N,къуым,vinkel
352,Muster::N,нывæфтыд,mønster
353,Muster::N,кæдзист,mønster
354,Größe::N,ас,størrelse
355,Länge::N,дӕргъ,lengde
356,Höhe::N,бæрзонд,høyde
357,Höhe::N,бæрзæнд,høyde
358,Höhe::N,бæрзонддзинад,høyde
359,Gewicht::N,уӕз,vekt
360,Menge::N,бӕрц,mengde
361,Haufen::N,кӕри,haug
362,Haufen::N,кӕри,bunke
363,Reihe::N,рӕнхъ,rekke
364,Boot::N,чема,båt
365,Ruder::N,къохар,åre
366,Schlitten::N,дзоныгъ,slede
367,Schlitten::N,дзоныгъ,kjelke
368,Ski::N,къахдзоныгътæ,ski
369,Ski::N,лыжæтæ,ski
370,Lagerfeuer::N,арт,leirbål
371,Last::N,уаргъ,bør
372,Last::N,уаргъ,last
373,Gang::N,цыд,gang
374,Schritt::N,санчъех,steg
375,Schritt::N,санчъех,skritt
376,Schritt::N,къахдзӕф,steg
377,Schritt::N,къахдзӕф,skritt
378,Norden::N,цæгат,nord
379,Süden::N,хуссар,sør
380,Westen::N,ныгуылæн,vest
381,Osten::N,скæсæн,øst
382,Holz::N,хъӕдӕрмӕг,tre
383,Brett::N,фæйнæг,fjøl
384,Brett::N,фæйнæг,brett
385,Platte::N,къӕй,plate
386,Stütze::N,быцæу,støtte
387,Stange::N,хъил,stang
388,Stock::N,лӕдзӕг,pinne
389,Stab::N,хъил,stav
390,Stab::N,хъил,kjepp
391,Rohr::N,хӕтӕл,rør
392,Haus::N,хӕдзар,hus
393,Heim::N,къона,hjem
394,Ofen::N,пец,ovn
395,Fußboden::N,астӕрд,gulv
396,Tisch::N,стъол,bord
397,Stuhl::N,бандон,stol
398,Wiege::N,авдæн,vogge
399,Bett::N,сынтӕг,seng
400,Regal::N,тӕрхӕг,reol
401,Regal::N,тӕрхӕг,hylle
402,Regal::N,уӕлвӕйнӕг,reol
403,Regal::N,уӕлвӕйнӕг,hylle
404,Kiste::N,асыкк,kasse
405,Fenster::N,рудзынг,vindu
406,Fenster::N,фæрссаг,vindu
407,Tür::N,дуар,dør
408,Tor::N,кулдуар,port
409,Zaun::N,æмбонд,gjerde
410,Zaun::N,быру,gjerde
411,Zaun::N,гæрæн,gjerde
412,Dach::N,уӕлхӕдзар,tak
413,Leiter::N,асин,stige
414,Besen::N,уисой,kost
415,Spaten::N,бел,spade
416,Schaufel::N,æвгæнæн,skuffe
417,Schaufel::N,кæфой,skuffe
418,Gabel::N,вилкæ,gaffel
419,Löffel::N,уидыг,skje
420,Messer::N,кард,kniv
421,Nagel::N,зӕгӕл,spiker
422,Netz::N,хыз,nett
423,Haken::N,хæдз,krok
424,Haken::N,хæбырæгъ,krok
425,Griff::N,фистон,tak
426,Griff::N,фистон,håndtak
427,Schloss::N,гуыдыр,lås
428,Bild::N,ныв,bilde
429,Figur::N,кæрдгæныв,figur
430,Puppe::N,чындз,dukke
431,Beutel::N,дзӕкъул,pose
432,Bündel::N,баст,bylt
433,Tasche::N,хызын,veske
434,Tasche::N,дзæкъул,veske
435,Eimer::N,къæрта,bøtte
436,Eimer::N,чъыбыла,bøtte
437,Eimer::N,ведра,bøtte
438,Deckel::N,сæр,lokk
439,Deckel::N,æмбæрзæн,lokk
440,Geschirr::N,мигæнæн,kjøkkentøy
441,Geschirr::N,мигæнæнтæ,kjøkkentøy
442,Sack::N,голлаг,sekk
443,Tasse::N,пиала,kopp
444,Tasse::N,къус,kopp
445,Topf::N,аг,gryte
446,Topf::N,чысыл аг,gryte
447,Kessel::N,аг,kjele
448,Essen::N,хӕрд,mål
449,Nahrung::N,хойраг,mat
450,Nahrung::N,хойраг,næring
451,Speise::N,хӕринаг,matrett
452,Fleisch::N,дзидза,kjøtt
453,Fleisch::N,фыдызгъӕл,kjøtt
454,Getreide::N,халсар,korn
455,Brei::N,кас,grøt
456,Brot::N,дзул,brød
457,Scheibe::N,къӕбӕр,skive
458,Fett::N,сой,fett
459,Butter::N,нӕлхӕ,smør
460,Öl::N,зети,olje
461,Salz::N,цӕхх,salt
462,Suppe::N,бас,suppe
463,Honig::N,мыд,honning
464,Milch::N,ӕхсыр,melk
465,Tee::N,цай,te
466,Leder::N,мæскуы,lær
467,Leder::N,мæскуы,skinn
468,Wolle::N,фӕсмын,ull
469,Stoff::N,хъуымац,tøy
470,Stoff::N,хъуымац,stoff
471,Nadel::N,судзин,nål
472,Faden::N,ӕндах,tråd
473,Knopf::N,цӕппӕр,knapp
474,Knoten::N,ӕлхынцъ,knute
475,Farbe::N,ахорæн,farge
476,Kleidung::N,дарӕс,påkledning
477,Hemd::N,хӕдон,skjorte
478,Kragen::N,æфцæггот,krage
479,Ärmel::N,дыс,erme
480,Hose::N,хæлаф,bukse
481,Hose::N,æддаг хæлаф,bukse
482,Hose::N,салбар,bukse
483,Gürtel::N,рон,belte
484,Mütze::N,худ,lue
485,Schuh::N,басмахъ,sko
486,Stiefel::N,цырыхъхъ,støvel
487,Ring::N,къухдарӕн,ring
488,Band::N,лент,band
489,Kamm::N,сӕрвасӕн,kam
490,Spiegel::N,айдæн,speil
491,Spiegel::N,кæсæн,speil
492,Riemen::N,гӕрз,rem
493,Schnur::N,бӕндӕн,snor
494,Decke::N,хъӕццул,teppe
495,Kissen::N,баз,pute
496,Tuch::N,кæлмæрзæн,tøy
497,Tuch::N,кæрдæн,tøy
498,Handtuch::N,хисæрфæн,håndkle
499,Kraft::N,тых,kraft
500,Kraft::N,хъомыс,kraft
501,Stärke::N,тых,styrke
502,Stärke::N,æхсар,styrke
503,Gesundheit::N,æнæниздзинад,helse
504,Gesundheit::N,æнæниздзинад,sunnhet
505,Krankheit::N,низ,syke
506,Krankheit::N,низ,sykdom
507,Krankheit::N,рын,syke
508,Krankheit::N,рын,sykdom
509,Schmerz::N,рис,smerte
510,Wunde::N,цӕф,sår
511,Fieber::N,ризӕг,feber
512,Fieber::N,тӕфсӕг,feber
513,Arznei::N,хос,medisin
514,Arznei::N,хос,legemiddel
515,Brücke::N,хид,bro
516,Brunnen::N,цъай,brønn
517,Weide::N,хизæн,beite
518,Weide::N,хизæнуат,beite
519,Weide::N,сæрвæт,beite
520,Pfad::N,къахвæндаг,sti
521,Pfad::N,къахвæд,sti
522,Weg::N,фӕндаг,vei
523,Straße::N,фӕндаг,gate
524,Dorf::N,хъӕу,landsby
525,Stadt::N,сахар,by
526,Brief::N,фыстӕг,brev
527,Buch::N,чиныг,bok
528,Buchstabe::N,дамгъӕ,bokstav
529,Zeitung::N,газет,avis
530,Leben::N,цард,liv
531,Leben::N,цӕрӕнбон,liv
532,Tod::N,мæлæт,død
533,Tod::N,адзал,død
534,Grab::N,ингӕн,grav
535,Kirche::N,аргъуан,kirke
536,Sünde::N,тæригъæд,synd
537,Gott::N,хуыцау,gud
538,Arbeiter::N,кусæг,arbeider
539,Chef::N,ӕмцег,sjef
540,Meister::N,мастер,mester
541,Meister::N,дæсны,mester
542,Arzt::N,хосгæнæг,lege
543,Arzt::N,дохтыр,lege
544,Lehrer::N,ахуыргæнæг,lærer
545,Geld::N,ӕхца,penger
546,Geschäft::N,бизнес,forretning
547,Geschäft::N,хъуыддаг,forretning
548,Laden::N,дукани,butikk
549,Preis::N,аргъ,pris
550,Ware::N,базайраг,vare
551,Nutzen::N,пайда,nytte
552,Reichtum::N,хъæздыгдзинад,rikdom
553,Reichtum::N,исбон,rikdom
554,Reichtum::N,мулк,rikdom
555,Welt::N,дуне,verden
556,Land::N,бӕстӕ,land
557,Staat::N,паддзахад,stat
558,König::N,къарол,konge
559,Macht::N,хицаудзинад,makt
560,Grenze::N,арӕн,grense
561,Krieg::N,хӕст,krig
562,Feind::N,знаг,fiende
563,Feind::N,фыдгул,fiende
564,Feind::N,фыдзæрдæ,fiende
565,Feind::N,сон,fiende
566,Gewalt::N,тыхми,vold
567,Gewalt::N,тыхдзинад,vold
568,Kampf::N,хæст,kamp
569,Kampf::N,хъæбысæйхæст,kamp
570,Kampf::N,тох,kamp
571,Bogen[Waffe]::N,ӕрдын,bue
572,Pfeil::N,фат,pil
573,Gewehr::N,топп,gevær
574,Fehler::N,рӕдыд,feil
575,Lüge::N,мӕнг,løgn
576,Lüge::N,гӕдыдзинад,løgn
577,Schaden::N,зиан,skade
578,Unglück::N,бæллæх,uhell
579,Schuld::N,азым,skyld
580,Alter::N,кар,alder
581,Schluss::N,кæрон,slutt
582,Zeit::N,рӕстӕг,tid
583,Tag::N,бон,dag
584,Morgen::N,райсом,morgen
585,Mittag::N,æмбисбон,middag
586,Abend::N,изӕр,aften
587,Nacht::N,ӕхсӕв,natt
588,Woche::N,къуыри,uke
589,Monat::N,мӕй,måned
590,Jahr::N,аз,år
591,Jahr::N,афӕдз,år
592,Frühling::N,уалдзæг,vår
593,Sommer::N,сӕрд,sommer
594,Herbst::N,фæззæг,høst
595,Winter::N,зымӕг,vinter
596,Januar::N,январь,januar
597,Februar::N,февраль,februar
598,März::N,мартъи,mars
599,April::N,апрель,april
600,Mai::N,май,mai
601,Juni::N,июнь,juni
602,Juli::N,июль,juli
603,August::N,август,august
604,September::N,сентябрь,september
605,Oktober::N,октябрь,oktober
606,November::N,ноябрь,november
607,Dezember::N,декабрь,desember
608,Montag::N,къуырисæр,mandag
609,Dienstag::N,дыццæг,tirsdag
610,Mittwoch::N,æртыццæг,onsdag
611,Donnerstag::N,цыппæрæм,torsdag
612,Freitag::N,майрæмбон,fredag
613,Samstag::N,сабат,lørdag
614,Sonntag::N,хуыцаубон,søndag
615,groß::A,дынджыр,stor
616,klein::A,гыццыл,liten
617,lang::A,даргъ,lang
618,kurz::A,цыбыр,kort
619,breit::A,фӕтӕн,bred
620,schmal::A,нарӕг,smal
621,schmal::A,уынгӕг,smal
622,dicht::A,бæзджын,tett
623,dicht::A,тар,tett
624,dick[Gegenstand]::A,сӕвджын,tykk
625,dünn::A,тæнæг,tynn
626,fein::A,лыстӕг,fin
627,fest::A,фидар,fast
628,fest::A,хъӕддых,fast
629,flach::A,тъӕпӕн,flat
630,glatt::A,лӕгъз,glatt
631,hart::A,хъӕбӕр,hard
632,weich::A,фӕлмӕн,myk
633,weich::A,фӕлмӕн,bløt
634,rund::A,тымбыл,rund
635,spitz::A,цыргъбырынкъ,spiss
636,spitz::A,цыргъфындз,spiss
637,scharf::A,цыргъ,kvass
638,stumpf::A,къуымых,stubb
639,schwer::A,уӕззау,tung
640,schön::A,аив,pen
641,schön::A,аив,vakker
642,schön::A,рӕсугъд,pen
643,schön::A,рӕсугъд,vakker
644,heiß::A,тӕвд,het
645,warm::A,хъарм,varm
646,kalt::A,уазал,kald
647,kühl::A,сатæг,kjølig
648,kühl::A,уазалгомау,kjølig
649,frisch::A,сатæг,fersk
650,feucht::A,уымӕл,fuktig
651,nass::A,хуылыдз,våt
652,trocken::A,хус,tørr
653,voll::A,дзаг,full
654,voll::A,йедзаг ,full
655,leer::A,афтид,tom
656,offen::A,гом,åpen
657,geschlossen::A,æхгæд,lukket
658,sauber::A,сыгъдæг,ren
659,schmutzig::A,чъиллон,skitten
660,roh::A,хом,rå
661,reif::A,рӕгъӕд,moden
662,lecker::A,хӕрзад,lekker
663,süß::A,адджын,søt
664,bitter::A,судзаг,besk
665,bitter::A,судзаг,bitter
666,sauer::A,туаг,sur
667,hell::A,рухс,lys
668,dunkel::A,талынг,mørk
669,schwarz::A,сау,svart
670,weiß::A,урс,hvit
671,rot::A,сырх,rød
672,gelb::A,бур,gul
673,blau::A,цъӕх,blå
674,grün::A,цъӕх,grønn
675,grün::A,кӕрдӕгхуыз,grønn
676,grau::A,цъӕх,grå
677,grau::A,фӕныкхуыз,grå
678,bunt::A,хъулон,broket
679,bunt::A,гæрæм,broket
680,billig::A,аслам,billig
681,teuer::A,зынаргъ,dyr
682,wertvoll::A,зынаргъ,verdifull
683,blind::A,куырм,blind
684,taub::A,къуырма,døv
685,kräftig::A,домбай,kraftig
686,kräftig::A,тыхджын,kraftig
687,stark::A,тыхджын,sterk
688,schwach::A,ӕнӕбон,svak
689,fett::A,нард,fet
690,schlank::A,гуырвидыц,slank
691,schlank::A,хæрзконд,slank
692,schlank::A,рæхснæг,slank
693,schlank::A,сагамад,slank
694,hübsch::A,аив,pen
695,hübsch::A,рӕсугъд,pen
696,böse::A,фыдзӕрдӕ,slem
697,dumm::A,ӕдылы,dum
698,faul::A,зивӕг,lat
699,faul::A,зивӕг,doven
700,faul::A,зивӕггӕнаг,lat
701,faul::A,зивӕггӕнаг,doven
702,fleißig::A,æнæзивæг,flittig
703,fleißig::A,æнувыд,flittig
704,geizig::A,чъынды,gjerrig
705,geizig::A,æлгъин,gjerrig
706,geizig::A,мæрддзæст,gjerrig
707,klug::A,зондджын,klok
708,geschickt::A,хӕрзарӕхст,hendig
709,geschickt::A,хӕрзарӕхст,skikket
710,lieb::A,уарзон,kjær
711,lieb::A,уарзон,snill
712,lustig::A,хъӕлдзӕг,morsom
713,sanft::A,мынчын,blid
714,hungrig::A,ӕххормаг,sulten
715,krank::A,нӕфӕразгӕ,syk
716,nackt::A,бӕгънӕг,naken
717,traurig::A,ӕрхӕндӕг,sørgmodig
718,lebendig::A,цардӕгас,levende
719,gut::A,хорз,god
720,schlecht::A,цауд,dårlig
721,richtig::A,раст,riktig
722,schlimm::A,ӕвзӕр,slem
723,wahr::A,ӕцӕг,sann
724,alt::A,зӕронд,gammel
725,neu::A,ног,ny
726,ehemalig::A,раздӕры,forhenværende
727,alt[Lebewesen]::A,ацӕргӕ,gammel
728,jung::A,ӕрыгон,ung
729,arm::A,мӕгуыр,fattig
730,reich::A,хъӕздыг,rik
731,bekannt::A,зонгӕ,kjent
732,berühmt::A,номдзыд,berømt
733,fremd::A,æцæгæлон,fremmed
734,verschieden::A,æндæр æмæ æндæр,forskjellig
735,verschieden::A,алы,forskjellig
736,verschieden::A,алыхуызон,forskjellig
737,nah::A,хӕстӕг,nær
738,fern::A,дард,fjern
739,fern::A,дӕрддаг,fjern
740,linker::A,галиу,venstre
741,rechter::A,рахиз,høyre
742,anderer::A,иннӕ,annen
743,anderer::A,ӕндӕр,annen
744,erster::A,фыццаг,første
745,erster::A,фыццӕгӕм,første
746,zweiter::A,дыккаг,annen
747,zweiter::A,дыккæгæм,annen
748,dritter::A,æртыккаг,tredje
749,dritter::A,æртыккæгæм,tredje
750,letzter::A,фӕстаг,sist
751,allein::ADV,иунæг,alene
752,auf einmal::ADV,уайтагъд,med ett
753,auf einmal::ADV,æвиппайды,med ett
754,auf einmal::ADV,æваст,med ett
755,zusammen::ADV,иумӕ,sammen
756,lange::ADV,бирæ рæстæг,lenge
757,plötzlich::ADV,æвиппайды,plutselig
758,plötzlich::ADV,æваст,plutselig
759,sofort::ADV,уыцы сахат,straks
760,sofort::ADV,уайтагъд,straks
761,später::ADV,фæстæдæр,senere
762,jetzt::ADV,ныр,nå
763,heute::ADV,абон,i dag
764,morgen::ADV,райсом,i morgen
765,bald::ADV,тагъд,snart
766,bald::ADV,рæхджы,snart
767,dann::ADV,стæй,så
768,gestern::ADV,знон,i går
769,einst::ADV,кӕддӕр,engang
