,Concept_ID,tt,be
283,Arbeit::N,эш,работа
284,Arbeit::N,хезмәт,праца
285,Arbeit::N,хезмәт,работа
286,Gast::N,кунак,госць
287,Geschenk::N,бүләк,падарунак
288,Spiel::N,уен,гульня
289,Gesellschaft::N,җәмгыять,таварыства
290,Hilfe::N,ярдәм,дапамога
291,Hilfe::N,булышлык,дапамога
292,Freund::N,дус,друг
293,Freund::N,дус,сябар
294,Kamerad::N,иптәш,прыяцель
295,Angelegenheit::N,эш,справа
296,Anzahl::N,микъдар,колькасць
297,Art::N,төр,від
298,Stück::N,кисәк,кусок
299,Stück::N,кисәк,кавалак
300,Teil::N,өлеш,частка
301,Hälfte::N,ярым,палова
302,Hälfte::N,ярым,палавіна
303,Kreis::N,түгәрәк,круг
304,Kreuz::N,хач,крыж
305,Kreuz::N,тәре,крыж
306,Linie::N,сызык,лінія
307,Strich::N,сызык,рыса
308,Abstand::N,ара,прамежак
309,Entfernung::N,ераклык,адлегласць
310,Gegend::N,урын,мясцовасць
311,Platz::N,бушлык,месца
312,Ort::N,урын,месца
313,Seite::N,як,бок
314,Mitte::N,урта,сярэдзіна
315,Gegenstand::N,нәрсә,прадмет
316,Sache::N,нәрсә,рэч
317,Rand::N,чит,край
318,Kante::N,кырый,руб
319,Kante::N,кырый,кант
320,Ecke::N,почмак,вугал
321,Spitze::N,оч,кончык
322,Ende::N,азак,канец
323,Loch::N,тишек,дзірка
324,Winkel::N,почмак,вугал
325,Muster::N,парча,узор
326,Größe::N,зурлык,памер
327,Länge::N,озынлык,даўжыня
328,Höhe::N,биеклек,вышыня
329,Gewicht::N,авырлык,вага
330,Menge::N,микъдар,колькасць
331,Haufen::N,өем,куча
332,Reihe::N,рәт,рад
333,Boot::N,каек,лодка
334,Boot::N,көймә,лодка
335,Ruder::N,ишкәк,вясло
336,Schlitten::N,чана,сані
337,Ski::N,чаңгы,лыжа
338,Lagerfeuer::N,костёр,вогнішча
339,Last::N,йөк,цяжар
340,Gang::N,йөреш,ход
341,Schritt::N,адым,шаг
342,Schritt::N,адым,крок
343,Norden::N,төньяк,поўнач
344,Süden::N,көньяк,поўдзень
345,Westen::N,көнбатыш,захад
346,Osten::N,шәрык,усход
347,Osten::N,көнчыгыш,усход
348,Holz::N,агач,дрэва
349,Holz::N,агач,драўніна
350,Brett::N,такта,дошка
351,Platte::N,плитә,пліта
352,Stütze::N,таяу,падпорка
353,Stange::N,колга,жэрдка
354,Stock::N,таяк,палка
355,Stab::N,таяк,шост
356,Rohr::N,торба,труба
357,Haus::N,өй,дом
358,Haus::N,йорт,дом
359,Heim::N,гаилә,дом
360,Heim::N,гаилә,хата
361,Heim::N,нәсел,дом
362,Heim::N,нәсел,хата
363,Ofen::N,мич,печ
364,Fußboden::N,идән,падлога
365,Tisch::N,өстәл,стол
366,Stuhl::N,утыргыч,стул
367,Stuhl::N,утыргыч,крэсла
368,Wiege::N,бишек,калыска
369,Bett::N,ятак,ложак
370,Bett::N,ятак,пасцель
371,Bett::N,урын-җир,ложак
372,Bett::N,урын-җир,пасцель
373,Regal::N,киштә,паліца
374,Regal::N,шүрлек,паліца
375,Kiste::N,әрҗә,скрынка
376,Fenster::N,тәрәзә,акно
377,Tür::N,ишек,дзверы
378,Tor::N,капка,вароты
379,Zaun::N,койма,агароджа
380,Dach::N,түбә,дах
381,Leiter::N,баскыч,лесвіца
382,Besen::N,себерке,мятла
383,Spaten::N,көрәк,лапата
384,Spaten::N,көрәк,жалязняк
385,Schaufel::N,көрәк,шуфлік
386,Schaufel::N,көрәк,лапатка
387,Gabel::N,чәннечке,відэлец
388,Löffel::N,кашык,лыжка
389,Messer::N,пычак,нож
390,Nagel::N,кадак,цвік
391,Netz::N,челтәр,сетка
392,Haken::N,ыргак,крук
393,Griff::N,тотка,ручка
394,Schloss::N,йозак,замок
395,Bild::N,рәсем,карціна
396,Bild::N,картина,карціна
397,Figur::N,сын,фігура
398,Figur::N,фигура,фігура
399,Puppe::N,курчак,лялька
400,Beutel::N,луза,мяшок
401,Bündel::N,бәйләм,вязка
402,Tasche::N,букча,торба
403,Eimer::N,чиләк,вядро
404,Deckel::N,капкач,накрыўка
405,Geschirr::N,савыт-саба,пасуда
406,Geschirr::N,кашык-аяк,пасуда
407,Sack::N,капчык,мех
408,Tasse::N,чынаяк,кубак
409,Topf::N,чүлмәк,каструля
410,Kessel::N,казан,кацёл
411,Essen::N,ашау,ежа
412,Nahrung::N,азык,харч
413,Nahrung::N,тәгам,харч
414,Nahrung::N,ашамлык,харч
415,Speise::N,ризык,страва
416,Fleisch::N,ит,мяса
417,Getreide::N,ашлык,збожжа
418,Brei::N,ботка,каша
419,Brot::N,ипи,хлеб
420,Brot::N,икмәк,хлеб
421,Scheibe::N,телем,луста
422,Scheibe::N,телем,скібка
423,Fett::N,май,тлушч
424,Butter::N,май,масла
425,Öl::N,май,алей
426,Salz::N,тоз,соль
427,Suppe::N,шулпа,суп
428,Honig::N,бал,мёд
429,Milch::N,сөт,малако
430,Tee::N,чәй,чай
431,Tee::N,чәй,гарбата
432,Leder::N,күн,скура
433,Wolle::N,йон,воўна
434,Stoff::N,тукыма,тканіна
435,Nadel::N,энә,іголка
436,Faden::N,җеп,нітка
437,Knopf::N,төймә,гузік
438,Knoten::N,төен,вузел
439,Farbe::N,буяу,фарба
440,Kleidung::N,кием,адзенне
441,Hemd::N,күлмәк,кашуля
442,Kragen::N,яка,каўнер
443,Ärmel::N,җиң,рукаў
444,Hose::N,чалбар,штаны
445,Gürtel::N,билбау,пояс
446,Mütze::N,бүрек,шапка
447,Schuh::N,башмак,чаравік
448,Stiefel::N,итек,бот
449,Ring::N,балдак,кольца
450,Band::N,тасма,стужка
451,Kamm::N,тарак,расчоска
452,Spiegel::N,көзге,люстра
453,Riemen::N,каеш,рэмень
454,Schnur::N,бау,вяроўка
455,Leine::N,тезген,павадок
456,Decke::N,юрган,коўдра
457,Kissen::N,мендәр,падушка
458,Tuch::N,яулык,хустка
459,Handtuch::N,сөлгә,ручнік
460,Kraft::N,егәр,сіла
461,Kraft::N,дәрман,сіла
462,Stärke::N,көч,моц
463,Stärke::N,дәрман,моц
464,Gesundheit::N,саулык,здароўе
465,Krankheit::N,чир,хвароба
466,Krankheit::N,хаста,хвароба
467,Krankheit::N,сырхау,хвароба
468,Schmerz::N,авырту,боль
469,Wunde::N,яра,рана
470,Wunde::N,җәрәхәт,рана
471,Fieber::N,бизгәк,гарачка
472,Fieber::N,бизгәк,ліхаманка
473,Arznei::N,дару,лекі
474,Brücke::N,күпер,мост
475,Brunnen::N,кое,калодзеж
476,Weide::N,утлавык,паша
477,Pfad::N,сукмак,сцежка
478,Weg::N,юл,шлях
479,Weg::N,юл,дарога
480,Straße::N,урам,вуліца
481,Dorf::N,авыл,вёска
482,Stadt::N,шәһәр,горад
483,Brief::N,хат,ліст
484,Brief::N,хат,пісьмо
485,Buch::N,китап,кніга
486,Buchstabe::N,хәреф,літара
487,Zeitung::N,газет,газета
488,Zeitung::N,газета,газета
489,Leben::N,гомер,жыццё
490,Leben::N,тормыш,жыццё
491,Leben::N,тереклек,жыццё
492,Tod::N,үлем,смерць
493,Grab::N,гүр,магіла
494,Grab::N,кабер,магіла
495,Kirche::N,чиркәү,касцёл
496,Kirche::N,чиркәү,царква
497,Sünde::N,язык,грэх
498,Sünde::N,гөнаһ,грэх
499,Gott::N,алла,бог
500,Gott::N,ходай,бог
501,Arbeiter::N,эшче,рабочы
502,Chef::N,башлык,начальнік
503,Meister::N,оста,майстар
504,Arzt::N,врач,урач
505,Arzt::N,табиб,урач
506,Lehrer::N,укытучы,настаўнік
507,Lehrer::N,мөгаллим,настаўнік
508,Geld::N,акча,грошы
509,Geschäft::N,эш,заняцце
510,Laden::N,кибет,крама
511,Laden::N,кибет,магазін
512,Laden::N,магазин,крама
513,Laden::N,магазин,магазін
514,Preis::N,бәя,цана
515,Preis::N,бәһа,цана
516,Ware::N,товар,тавар
517,Nutzen::N,файда,выгада
518,Reichtum::N,байлык,багацце
519,Welt::N,дөнья,свет
520,Land::N,ил,краіна
521,Staat::N,дәүләт,дзяржава
522,König::N,патша,кароль
523,Macht::N,хакимият,улада
524,Grenze::N,чик,граніца
525,Krieg::N,сугыш,вайна
526,Feind::N,дошман,вораг
527,Gewalt::N,көчләү,насілле
528,Kampf::N,көрәш,барацьба
529,Bogen[Waffe]::N,җәя,лук
530,Pfeil::N,ук,страла
531,Gewehr::N,мылтык,ружжо
532,Fehler::N,хата,памылка
533,Lüge::N,ялган,хлусня
534,Schaden::N,зыян,шкода
535,Schaden::N,зарар,шкода
536,Unglück::N,бәла,ліха
537,Unglück::N,бәла,бядота
538,Schuld::N,гаеп,віна
539,Alter::N,яшь,узрост
540,Schluss::N,ахыр,канец
541,Zeit::N,заман,час
542,Tag::N,көн,дзень
543,Morgen::N,иртә,ранак
544,Morgen::N,иртә,раніца
545,Mittag::N,өйлә,паўдня
546,Mittag::N,өйлә,поўдзень
547,Abend::N,кич,вечар
548,Nacht::N,төн,ноч
549,Woche::N,атна,тыдзень
550,Monat::N,ай,месяц
551,Jahr::N,ел,год
552,Frühling::N,яз,вясна
553,Sommer::N,җәй,лета
554,Herbst::N,көз,восень
555,Winter::N,кыш,зіма
556,Januar::N,гыйнвар,студзень
557,Februar::N,февраль,люты
558,März::N,март,сакавік
559,April::N,апрель,красавік
560,Mai::N,май,май
561,Mai::N,май,травень
562,Juni::N,июнь,чэрвень
563,Juli::N,июль,ліпень
564,August::N,август,жнівень
565,September::N,сентябрь,верасень
566,Oktober::N,октябрь,кастрычнік
567,November::N,ноябрь,лістапад
568,Dezember::N,декабрь,снежань
569,Montag::N,дүшәмбе,панядзелак
570,Dienstag::N,сишәмбе,аўторак
571,Mittwoch::N,чәршәмбе,серада
572,Donnerstag::N,атнакич,чацвер
573,Donnerstag::N,пәнҗешәмбе,чацвер
574,Freitag::N,җомга,пятніца
575,Samstag::N,шимбә,субота
576,Sonntag::N,якшәмбе,нядзеля
577,groß::A,зур,вялікі
578,klein::A,кечкенә,маленькі
579,lang::A,озын,доўгі
580,kurz::A,кыска,кароткі
581,breit::A,киң,шырокі
582,schmal::A,кысык,вузкі
583,dicht::A,куе,густы
584,dick[Gegenstand]::A,калын,тоўсты
585,dünn::A,нечкә,тонкі
586,fein::A,нәзакәтле,тонкі
587,fest::A,нык,моцны
588,flach::A,яссы,плоскі
589,flach::A,ялпак,плоскі
590,glatt::A,шома,гладкі
591,hart::A,каты,цвёрды
592,weich::A,йомшак,мяккі
593,rund::A,түгәрәк,круглы
594,spitz::A,очлы,спічасты
595,spitz::A,очлы,востраканцовы
596,scharf::A,үткен,востры
597,stumpf::A,үтмәс,тупы
598,schwer::A,салмак,цяжкі
599,schön::A,гүзәл,прыгожы
600,heiß::A,эссе,гарачы
601,warm::A,җылы,цёплы
602,kalt::A,суык,холадны
603,kalt::A,салкын,холадны
604,kühl::A,салкынча,халаднаваты
605,frisch::A,салкынча,свежы
606,feucht::A,юеш,вільготны
607,nass::A,дымлы,мокры
608,trocken::A,коры,сухі
609,voll::A,тулы,поўны
610,leer::A,буш,пусты
611,offen::A,ачык,адкрыты
612,offen::A,ачык,адчынены
613,geschlossen::A,йомык,закрыты
614,geschlossen::A,йомык,зачынены
615,sauber::A,пакь,чысты
616,sauber::A,чиста,чысты
617,schmutzig::A,керле,брудны
618,schmutzig::A,пычрак,брудны
619,roh::A,чи,сыры
620,reif::A,өлгергән,спелы
621,lecker::A,тәмле,смачны
622,süß::A,татлы,салодкі
623,bitter::A,ачы,горкі
624,sauer::A,әче,кіслы
625,hell::A,якты,светлы
626,dunkel::A,кара,цёмны
627,schwarz::A,кара,чорны
628,weiß::A,ак,белы
629,rot::A,кызыл,чырвоны
630,gelb::A,сары,жоўты
631,blau::A,күк,сіні
