,Concept_ID,ml,ta
70,Funke::N,തീപ്പൊരി,தீப்பொறி
71,Feuer::N,തീ,தீ
72,Licht::N,വിളക്ക്,வெளிச்சம்
73,Licht::N,സൂര്യപ്രകാശം,வெளிச்சம்
74,Schatten::N,തണൽ,நிழல்
75,Wetter::N,കാലാവസ്ഥ,வானிலை
76,Nebel::N,മൂടൽമഞ്ഞ്,பனிமூட்டம்
77,Wolke::N,മേഘം,மேகம்
78,Regen::N,മഴ,மழை
79,Schnee::N,മഞ്ഞ്,உறைபனி
80,Eis::N,ഐസ്,பனிக்கட்டி
81,Frost::N,മൂടൽമഞ്ഞ്,உறைபனி
82,Kälte::N,തണുപ്പ്,குளிர்ந்த
83,Hitze::N,ചൂട്,சூடு
84,Raureif::N,കോടമഞ്ഞ്,உறைபனி வெண்திரை
85,Regenbogen::N,മഴവില്ല്,வானவில்
86,Donner::N,ഇടി,இடி
87,Strömung::N,പ്രവാഹം,நீரோட்டம்
88,Tropfen::N,തുള്ളി,துளி
89,Schaum::N,നുര,நுரை
90,Schmutz::N,അഴുക്ക്,அழுக்கு
91,See::N,തടാകം,ஏரி
92,Sumpf::N,ചതുപ്പുനിലം,சதுப்பு நிலம்
93,Moor::N,പാഴ്നിലം,முட்புதற்காடு
94,Wiese::N,പുൽത്തകിടി,பசும் புல்தரை
95,Wald::N,വനം,காடு
96,Wald::N,കാട്,காடு
97,Hügel::N,കുന്ന്,குன்று
98,Anhöhe::N,ഉയർന്ന ഭൂമി,பதுக்கை
99,Berg::N,പർവ്വതം,மலை
100,Gipfel::N,ഉച്ചകോടി,உச்சி மாநாடு
101,Höhle::N,ഗുഹ,குகை
102,Abhang::N,ചരിവ്,சரிவு
103,Quelle::N,ഉറവിടം,மூலம்
104,Bach::N,അരുവി,ஓடை
105,Fluss::N,നദി,ஆறு
106,Ufer::N,തീരം,நீர்க்கரை
107,Küste::N,കടൽത്തീരം,கடற்கரை
108,Festland::N,കര,நிலம்
109,Meer::N,കടൽ,கடல்
110,Bucht::N,ഉൾക്കടല്,சிறுகுடா
111,Insel::N,ദ്വീപ്,தீவு
112,Blume::N,പൂവ്,பூ
113,Gras::N,പുല്ല്,புல்தரை
114,Wurzel::N,വേര്,வேர்
115,Baum::N,മരം,மரம்
116,Stamm::N,തായ്ത്തടി,அடிமரம்
117,Rinde::N,പട്ട,பட்டை
118,Rinde::N,പട്ട,மரப்பட்டை
119,Ast::N,ശാഖ,கினை
120,Zweig::N,ശാഖ,குச்சி
121,Blatt::N,ഇല,இலை
122,Birke::N,പൂവരശ്,பிர்ச் மரம்
123,Kiefer[Baum]::N,പൈൻമരം,தேவதாரு மரம்
124,Weide[Baum]::N,വില്ലോ,மர வகைகளுள் ஒன்று
125,Tanne::N,ദേവദാരു,சாதிக்கய்
126,Horn::N,മൃഗത്തിൻറെ കൊമ്പ്,கொம்பு
127,Feder::N,തൂവൽ,இறகு
128,Fell::N,മൃദുരോമം,மென்முடி
129,Flügel::N,ചിറക്,இறக்கை
130,Klaue::N,നഖം,நகம்
131,Kralle::N,നഖം,நகம்
132,Schwanz::N,വാൽ,வால்
133,Ei::N,മുട്ട,முட்டை
134,Nest::N,കൂട്,கூடு
135,Bau::N,മാളം,குகை
136,Tier::N,മൃഗം,விலங்கு
137,Herde::N,കൂട്ടം,கூட்டம்
138,Kuh::N,പശു,பசு
139,Bulle::N,കാള,காளை
140,Pferd::N,കുതിര,குதிரை
141,Schaf::N,ആട്,செம்மறிஆடு
142,Schwein::N,പന്നി,பன்றி
143,Hund::N,നായ്,நாய்
144,Katze::N,പൂച്ച,பூனை
145,Bär::N,കരടി,கரடி
146,Eichhörnchen::N,അണ്ണാൻ,அணில்
147,Elch::N,കടമാന്,கடம்பை
148,Fuchs::N,കുറുക്കൻ,நரி
149,Hase::N,മുയൽ,முயல்
150,Maus::N,ചുണ്ടലി,எலி
151,Wolf::N,ചെന്നായ,ஓநாய்
152,Vogel::N,പക്ഷി,பறவை
153,Schwarm::N,കൂട്ടം,தொகுதி
154,Huhn::N,കോഴി,கோழிக்குஞசு
155,Hahn::N,പൂവൻകോഴി,சேவல்
156,Gans::N,അരയന്നം,பெண் வாத்து
157,Adler::N,കഴുകൻ,பருநது
158,Ente::N,താറാവ്,வாத்து
159,Eule::N,മൂങ്ങ,ஆந்தை
160,Kranich::N,കൊക്ക്,நாரை
161,Krähe::N,കാക്ക,காகம்
162,Kuckuck::N,കുയിൽ,குயில்
163,Schwan::N,അരയന്നം,அன்னம்
164,Fisch::N,മത്സ്യം,மீன்
165,Barsch::N,ഒരിനം മത്സ്യം,பேர்ச்
166,Hecht::N,ഒരു മത്സ്യം,கோலாச்சி மீன்
167,Schlange[Tier]::N,പാമ്പ്,பாம்பு
168,Wurm::N,വിര,புழு
169,Spinne::N,ചിലന്തി,சிலந்தி
170,Ameise::N,ഉറുമ്പ്,எறும்பு
171,Laus::N,പേന്,பேன்
172,Mücke::N,മശകം,கொசுவினப்பூச்சி
173,Fliege::N,ഈച്ച,ஈ
174,Schmetterling::N,ചിത്രശലഭം,வண்ணத்துப்பூச்சி
175,Beere::N,ബെറി,சதைப்பழம்
176,Apfel::N,ആപ്പിൾ,ஆப்பிள பழம்
177,Pilz::N,കൂൺ,காளான்
178,Zwiebel::N,സവാള,வெங்காயம்
179,Saat::N,വിത്ത്,விதை
180,Korn::N,ധാന്യം,தானியம்
181,Heu::N,വയ്ക്കോൽ,வைக்கோல்
182,Schale::N,തൊലി,தோல்
183,Grube::N,കുഴി,குழி
184,Falle::N,കെണി,பொறி
185,Schlinge::N,കുടുക്ക്,கண்ணி
186,Spur::N,ചുവട്,சுவடு
187,Asche::N,ചാരം,சாம்பல்
188,Dreck::N,അഴുക്ക്,அழுக்கு
189,Eisen::N,ഇരുമ്പ്,இரும்பு
190,Gold::N,സ്വർണ്ണം,தங்கம்
191,Silber::N,വെള്ളി,வெள்ளி
192,Kohle::N,കൽക്കരി,நிலக்கரி
193,Glas::N,ഗ്ലാസ്,கண்ணாடி
194,Lehm::N,കളിമണ്ണ്,களிமண்
195,Sand::N,മണൽ,மணல்
196,Mensch::N,മനുഷ്യർ,மனிதர்கள்
197,Mann::N,പുരുഷൻ,மனிதன்
198,Frau::N,സ്ത്രീ,பெண்
199,Kind::N,കുഞ്ഞ്,குழந்தை
200,Junge::N,ആൺകുട്ടി,பையன்
201,Mädchen::N,പെൺകുട്ടി,சிறுமி
202,Familie::N,കുടുംബം,குடும்பம்
203,Großvater::N,അപ്പൂപ്പൻ,தாத்தா
204,Großmutter::N,അമ്മുമ്മ,பாட்டி
205,Eltern::N,മാതാപിതാക്കള്,பெற்றோர்
206,Vater::N,അച്ഛൻ,தந்தை
207,Mutter::N,അമ്മ,தாய்
208,Sohn::N,മകൻ,மகன்
209,Tochter::N,മകൾ,மகள்
210,Bruder::N,ചേട്ടൻ,சகோதரன்
211,Bruder::N,അനിയൻ,சகோதரன்
212,Schwester::N,ചേച്ചി,அக்கா
213,Schwester::N,അനിയത്തി,அக்கா
214,Onkel::N,അമ്മാവൻ,தாய் மாமன்
215,Tante::N,മാമി,அத்தை
216,Ehemann::N,ഭർത്താവ്,கணவன்
217,Ehefrau::N,ഭാര്യ,மனைவி
218,Freude::N,ആഹ്ലാദം,கொண்டாட்டம்
219,Gelächter::N,ചിരിയുടെ ശബ്ദം,சிரிப்பு
220,Glück::N,സന്തോഷം,மகிழ்ச்சி
221,Glück::N,സന്തുഷ്ടി,மகிழ்ச்சி
222,Kummer::N,ശോകം,துயரம்
223,Wunsch::N,ആഗ്രഹം,விருப்பம்
224,Lust::N,ആഗ്രഹം,விருப்பம்
225,Geist::N,ചുറുചുറുക്ക്,ஆன்மா
226,Gedanke::N,ചിന്ത,எண்ணம்
227,Gedächtnis::N,ഓർമ്മശക്തി,ஞாபகம்
228,Verstand::N,മനസ്സ്,மனம்
229,Sinn::N,അർത്ഥം,அர்த்தம்
230,Grund::N,കാരണം,காரணம்
231,Wahrheit::N,സത്യം,உண்நை
232,Gespräch::N,സല്ലാപം,பெசு
233,Märchen::N,യക്ഷിക്കഥ,நம்பத்தகாத கதை
234,Erzählung::N,കഥ,கதை
235,Nachricht::N,സന്ദേശം,செய்தி
236,Neuigkeit::N,വാർത്ത,செய்தி
237,Name::N,പേര്,பெயர்
238,Rätsel::N,പ്രഹേളിക,புதிர்
239,Rede::N,സംസാരം,பேச்சு
240,Sprache::N,ഭാഷ,மொழி
241,Stimme::N,സ്വരം,குரல்
242,Wort::N,വാക്ക്,வார்த்தை
243,Zeichen::N,സംജ്ഞ,குறி
244,Ruf::N,വിളി,அழைப்பு
245,Lärm::N,ആരവം,சத்தம்
246,Laut::N,ശബ്ദം,ஒலி
247,Ton::N,സ്വരഭേദം,குரல்
248,Lied::N,പാട്ട്,பாட்டு
249,Ruhe::N,നിശ്ചലത,அமைதி
250,Leute::N,ജനങ്ങൾ,மக்கள்
251,Volk::N,രാഷ്ടം,மக்கள்
252,Arbeit::N,ജോലി,வேலை
253,Gast::N,അതിലി,விருந்தாளி
254,Geschenk::N,സമ്മാനം,பரிசுப் பொருள்
255,Spiel::N,കളി,விளையாட்டு
256,Gesellschaft::N,കൂട്ടായ്മ,சமுதாயம்
257,Hilfe::N,സഹായം,உதவி
258,Freund::N,സുഹൃത്ത്,நண்பன்
259,Kamerad::N,കൂട്ടാളി,உடனிருப்பவன்
260,Angelegenheit::N,കാര്യം,செய்தி
261,Anzahl::N,എണ്ണം,எண்ணிக்கை
262,Art::N,തരം,வகை
263,Stück::N,കഷണം,துண்டம்
264,Teil::N,ഭാഗം,பகுதி
265,Hälfte::N,പകുതി,பாதி
266,Kreis::N,വൃത്തം,வட்டம்
267,Kreuz::N,കുരിശടയാളം,சிலுவை
268,Linie::N,വര,கோடு
269,Linie::N,രേഖ,கோடு
270,Strich::N,പക്ഷാഘാതം,வாத நோய்
271,Abstand::N,വിടവ്,இடைவெளி
272,Entfernung::N,അകലം,தூரம்
273,Gegend::N,പ്രദേശം,வட்டாரம்
274,Platz::N,ഇടം,வெற்றிடம்
275,Ort::N,സ്ഥലം,இடம்
276,Seite::N,വശം,பக்கம்
277,Mitte::N,മധ്യസ്ഥാനം,இடைப்பகுதி
278,Gegenstand::N,സാധനം,உருப்படி
279,Sache::N,വസ്തു,பொருள்
280,Rand::N,തൊങ്ങൽ,தொங்கு
281,Kante::N,അറ്റം,விளிம்பு
282,Ecke::N,മൂല,மூலை
283,Spitze::N,അഗ്രം,முனை
284,Ende::N,അവസാനം,முடிவு
285,Loch::N,ദ്വാരം,துளை
286,Winkel::N,കോൺ,கோணம்
287,Muster::N,ക്രമം,பாங்கு
288,Größe::N,വലുപ്പം,அளவு
289,Länge::N,നീളം,நீளம்
290,Höhe::N,ഉയരം,உயரம்
291,Gewicht::N,കട്ടി,எடை
292,Menge::N,അളവ്,தொகை
293,Haufen::N,കൂമ്പാരം,குவியல்
294,Reihe::N,വരി,வரிசை
295,Boot::N,ബോട്ട്,படகு
296,Ruder::N,പങ്കായം,துடுப்பு
297,Schlitten::N,ഉരുളില്ലാവണ്ടി,சகடையிலா வண்டி
298,Ski::N,ഹിമപാദുകം,பனிச் சறுக்கல்
299,Lagerfeuer::N,തീ,மூட்டம்
300,Last::N,ഭാരം,பாரம்
301,Gang::N,നടത്തം,நடை
302,Schritt::N,ചുവട്,காலடி
303,Norden::N,വടക്ക്,வடக்கு
304,Süden::N,തെക്ക്,தெற்கு
305,Westen::N,പടിഞ്ഞാറ്,மேற்கு திசை
306,Osten::N,കിഴക്ക്,கிழக்கு
307,Holz::N,തടി,மரக்கட்டை
308,Brett::N,ബോർഡ്,பலகை
309,Platte::N,തകിട്,பலகம்
310,Stütze::N,താങ്ങ്,அடைப்புகன்
311,Stange::N,കമ്പ്,கம்பம்
312,Stock::N,വടി,குச்சி
313,Stab::N,കുറുവടി,கம்பு
314,Rohr::N,കുഴൽ,குழாய்
315,Haus::N,വീട്,வீடு
316,Heim::N,വീട്,வீடு
317,Ofen::N,സ്റ്റൌ,அடுப்பு
318,Fußboden::N,തറ,தரை
319,Tisch::N,മേശ,மேசை
320,Stuhl::N,കസേര,நாற்காலி
321,Wiege::N,തൊട്ടിൽ,தொட்டில்
322,Bett::N,കിടക്ക,படுக்கை
323,Regal::N,ഷെൽഫ്,அலமாரி
324,Kiste::N,പെട്ടി,பெட்டி
325,Fenster::N,ജനൽ,சாளரம்
326,Tür::N,വാതിൽ,கதவு
327,Tor::N,കവാടം,வாசற்கதவு
328,Zaun::N,വേലി,வேலி
329,Dach::N,മേൽക്കുര,கூரை
330,Leiter::N,ഏണി,ஏணி
331,Besen::N,ചൂല്,விளக்குமாறு
332,Spaten::N,തൂമ്പ,மண்வெட்டி
333,Schaufel::N,തൂമ്പ,அடிதண்டா
334,Gabel::N,മുൾക്കത്തി,முட்கரண்டி
335,Löffel::N,സ്പൂൺ,கரண்டி
336,Messer::N,കത്തി,கத்தி
337,Nagel::N,ആണി,ஆணி
338,Netz::N,വല,வலை
339,Haken::N,കൊളുത്ത്,கொக்கி
340,Griff::N,കൈപ്പിടി,கைப்பிடி
341,Schloss::N,പൂട്ട്,பூட்டு
342,Bild::N,ചിത്രം,படம்
343,Figur::N,കണക്ക്,எண்ணிக்கை
344,Puppe::N,പാവ,பொம்மை
345,Beutel::N,ബാഗ്,பை
346,Bündel::N,കെട്ട്,பொதி
347,Tasche::N,ബാഗ്,பை
348,Eimer::N,ബക്കറ്റ്,வாளி
349,Deckel::N,ഉറ,உறை
350,Geschirr::N,പിഞ്ഞാണം,பாத்திரம்
351,Sack::N,ചാക്ക്,பை
352,Tasse::N,കപ്പ്,கிண்ணம்
353,Topf::N,പാത്രം,பானை
354,Kessel::N,കെറ്റ്ല്,கெண்டி
355,Essen::N,ആഹാരസമയം,உணவருந்துதல்
356,Nahrung::N,ഭക്ഷണം,உணவு
357,Speise::N,ഡിഷ്,உணவு வகை
358,Fleisch::N,മാംസം,இறைச்சி
359,Getreide::N,ചോളം,மக்காச்சோளம்
360,Brei::N,കഞ്ഞി,கஞ்சி
361,Brot::N,റോട്ടി,ரொட்டி
362,Scheibe::N,തുണ്ട്,துண்டு
363,Fett::N,കൊഴുപ്പ്,கொழுப்பு
364,Butter::N,വെണ്ണ,வெண்ணெய்
365,Öl::N,എണ്ണ,எண்ணெய்
366,Salz::N,ഉപ്പ്,உப்பு
367,Suppe::N,സൂപ്പ്,ரசம்
368,Honig::N,തേൻ,தேன்
369,Milch::N,പാൽ,பால்
370,Tee::N,ചായ,தெனீர்
371,Leder::N,തുകൽ,பதம் செய்யப்பட்ட தோல்
372,Wolle::N,കമ്പിളി,கம்பளி
373,Stoff::N,തുണി,துணி
374,Nadel::N,സൂചി,ஊசி
375,Faden::N,നൂല്,நூல்
376,Knopf::N,ബട്ടൺ,பொத்தான்
377,Knoten::N,കുരുക്ക്,முடிச்சு
378,Farbe::N,പെയിൻറ്,வண்ணக் குழம்பு
379,Kleidung::N,വസ്ത്രങ്ങൾ,ஆடைகள்
380,Hemd::N,ഷർട്ട്,சட்டை
381,Kragen::N,കുപ്പായക്കഴുത്ത്,கழுத்துப் பட்டை
382,Ärmel::N,കുപ്പായക്കൈ,சட்டைக்கை
383,Hose::N,ട്രൌസർ,கால்சட்டை
384,Gürtel::N,ബെൽറ്റ്,பெல்ட்
385,Mütze::N,തൊപ്പി,தொப்பி
386,Schuh::N,ഷൂ,காலணி
387,Stiefel::N,ബൂട്ട്,காலணி
388,Ring::N,മോതിരം,மோதிரம்
389,Band::N,റിബൺ,நாடா
390,Kamm::N,ചീപ്പ്,கீப்பு
391,Spiegel::N,കണ്ണാടി,ஆடி
392,Spiegel::N,കണ്ണാടി,கண்ணாடி
393,Riemen::N,സ്ട്രാപ്പ്,வார்
394,Schnur::N,ചരട്,கயிறு
395,Leine::N,കെട്ടാനുള്ള തോൽവാർ,தோல்வார்
396,Decke::N,പുതപ്പ്,போர்வை
397,Kissen::N,തലയിണ,தலையணை
398,Tuch::N,സ്കാർഫ്,துணி
399,Handtuch::N,തോർത്ത്,தண்டு
400,Kraft::N,ശക്തി,நிர்பந்தம்
401,Stärke::N,ശക്തി,பலம்
402,Gesundheit::N,ആരോഗ്യം,ஆரோக்கியம்
403,Krankheit::N,അസുഖം,நோய்
404,Schmerz::N,വേദന,வலி
405,Wunde::N,മുറിവ്,காயம்
406,Fieber::N,പനി,காய்ச்சல்
407,Arznei::N,മരുന്ന്,மருந்து
408,Brücke::N,പാലം,பாலம்
409,Brunnen::N,കിണർ,கேணி
410,Weide::N,മേച്ചൽ,மேய்ச்சல் நிலம்
411,Pfad::N,വഴി,நடை வழி
412,Weg::N,വഴി,வழி
413,Straße::N,റോഡ്,சாலை
414,Dorf::N,ഗ്രാമം,கிராமம்
415,Stadt::N,നഗരം,நகரம்
416,Brief::N,കത്ത്,கடிதம்
417,Buch::N,പുസ്തകം,புத்தகம்
418,Buchstabe::N,അക്ഷരം,எழத்து
419,Zeitung::N,വർത്തമാനപത്രം,செய்தித்தாள்
420,Leben::N,ജീവൻ,வாழ்க்கை
421,Tod::N,മരണം,மரணம்
422,Grab::N,ശവക്കുഴി,சமாதி
423,Kirche::N,പള്ളി,தேவாலயம்
424,Sünde::N,പാപം,பாவம்
425,Gott::N,ദൈവം,கடவுள்
426,Arbeiter::N,ജോലിക്കാരൻ,தொழிலாளி
427,Chef::N,മേധാവി,மேலாளர்
428,Meister::N,യജമാനൻ,தலைவன்
429,Arzt::N,ഡോക്ടർ,மருத்துவர்
430,Lehrer::N,അധ്യാപകൻ,ஆசிரியர்
431,Geld::N,പണം,பணம்
432,Geschäft::N,ബിസിനസ്,வாணிபம்
433,Laden::N,കട,கடை
434,Preis::N,വില,விலை
435,Ware::N,ചരക്ക്,சாமன்கள்
436,Nutzen::N,ലാഭം,இலாபம்
437,Reichtum::N,ധനം,சொத்து
438,Welt::N,ലോകം,உலகம்
439,Land::N,രാജ്യം,நாடு
440,Staat::N,രാജ്യം,நாடு
441,König::N,രാജാവ്,அரசன்
442,Macht::N,അധികാരം,அதிகாரம்
443,Grenze::N,അതിർത്തി,எல்லை
444,Krieg::N,യുദ്ധം,போர்
445,Feind::N,ശത്രു,எதிரி
446,Gewalt::N,അക്രമം,வன்முறை
447,Kampf::N,പോരാട്ടം,போராட்டம்
448,Bogen[Waffe]::N,വില്ല്,வில்
449,Pfeil::N,അമ്പ്,அம்பு
450,Gewehr::N,തോക്ക്,துப்பாக்கி
451,Fehler::N,പിശക്,தவறு
452,Lüge::N,കള്ളം,பொய்
453,Schaden::N,കേടുപാട്,சேதாரம்
454,Unglück::N,ദൌർഭാഗ്യം,இடையூறு
455,Schuld::N,തെറ്റ്,குற்றம்
456,Alter::N,വയസ്സ്,வயது
457,Schluss::N,നിഗമനം,முடிவு
458,Zeit::N,സമയം,காலம்
459,Tag::N,ദിവസം,நாள்
460,Morgen::N,പ്രഭാതം,காலை நேரம்
461,Mittag::N,ഉച്ച,மதியம்
462,Abend::N,സായാഹ്നം,மாலைப் பொழுது
463,Nacht::N,രാത്രി,இரவு
464,Woche::N,ആഴ്ച,வாரம்
465,Monat::N,മാസം,மாதம்
466,Jahr::N,വർഷം,வருடம்
467,Frühling::N,വസന്തം,வசந்தம்
468,Sommer::N,വേനൽ,கோடை
469,Herbst::N,ശരത്കാലം,இலையுதிர் காலம்
470,Winter::N,ശൈത്യം,குளிர்காலம்
471,Januar::N,ജനുവരി,ஜனவரி
472,Februar::N,ഫെബ്രുവരി,பிபரவரி மாதம்
473,März::N,മാർച്ച്,மார்ச் மாதம்
474,April::N,ഏപ്രിൾ മാസം,ஏப்ரல் மாதம்
475,Mai::N,മെയ് മാസം,மே மாதம்
476,Juni::N,ജൂൺ,ஜூன் மாதம்
477,Juli::N,ജൂലൈ,ஜூலை மாதம்
478,August::N,ആഗസ്റ്റ്,ஆகஸ்ட் மாதம்
479,September::N,സെപ്തംബർ,செப்டம்பர் மாதம்
480,Oktober::N,ഒക്ടോബർ,அக்டோபர் மாதம்
481,November::N,നവംബർ,நவம்பர் மாதம்
482,Dezember::N,ഡിസംബർ,டிசம்பர்
483,Montag::N,തിങ്കളാഴ്ച,திங்கட் கிழமை
484,Dienstag::N,ചൊവ്വ,செவ்வாய்க்கிழமை
485,Mittwoch::N,ബുധനാഴ്ച,புதன் கிழமை
486,Donnerstag::N,വ്യാഴാഴ്ച,வியாழக் கிழமை
487,Freitag::N,വെള്ളിയാഴ്ച,வெள்ளிக்கிழமை
488,Samstag::N,ശനിയാഴ്ച,சனிக்கிழமை
489,Sonntag::N,ഞായറാഴ്ച,ஞாயிறுக் கிழமை
490,groß::A,വലിയ,பெரிய
491,klein::A,ചെറിയ,சிறிய
492,lang::A,നീണ്ട,நீண்ட
493,kurz::A,ഹ്രസ്വമായ,குட்டையான
494,breit::A,വിശാലമായ,அகலமான
495,schmal::A,ഇടുങ്ങിയ,குறுகலான
496,dicht::A,നിബിഡമായ,அடர்த்தியான
497,dick[Gegenstand]::A,തടിച്ച,தடித்த
498,dünn::A,മെലിഞ്ഞ,சன்னமான
499,fein::A,നേർത്ത,மெல்லிய
500,fest::A,ഉറപ്പുള്ള,உறுதியாள
501,flach::A,പരന്ന,தட்டையான
502,glatt::A,മിനുസമുള്ള,வழுவழுப்பான
503,hart::A,കട്ടിയുള്ള,கடினமான
504,weich::A,മൃദുവായ,மென்மையான
505,rund::A,വട്ടത്തിലുള്ള,உருண்டையான
506,spitz::A,മുനയുള്ള,திகந்தமாக
507,scharf::A,മൂർച്ചയുള്ള,கூரான
508,stumpf::A,തുറന്നടിക്കുന്ന,உளம் திறந்த
509,schwer::A,ഭാരമുള്ള,கனமான
510,schön::A,മനോഹരമായ,அழகான
511,heiß::A,ചൂടുള്ള,சூடான
512,warm::A,ചൂടുള്ള,இதமான
513,kalt::A,തണുത്ത,குளிர்ச்சியான
514,kühl::A,തണുപ്പുള്ള,குளிர்ச்சியான
515,frisch::A,ശുദ്ധമായ,சுத்தமான
516,feucht::A,ഈറനുള്ള,ஈரமான
517,nass::A,നനഞ്ഞ,ஈரமான
518,trocken::A,വരണ്ട,உலர்ந்த
519,voll::A,നിറയെ,நிரம்பிய
520,leer::A,ഒഴിഞ്ഞ,காலியான
521,offen::A,തുറന്ന,திறந்த
522,geschlossen::A,അടച്ച,மூடப்பட்ட
523,sauber::A,വൃത്തിയുള്ള,சுத்தமான
524,schmutzig::A,അഴുക്കുനിറഞ്ഞ,அழக்கான
525,roh::A,അസംസ്കൃതമായ,கச்சா
526,reif::A,പഴുത്ത,பழுத்த
527,lecker::A,രുചികരമായ,சுவைமிக்க
528,süß::A,മധുരമുള്ള,இனிப்பான
529,bitter::A,കടുത്ത,கசப்பான
530,sauer::A,പുളിപ്പുള്ള,புளிப்பாக
531,hell::A,ജ്വലിക്കുന്ന,பளபளப்பான
532,dunkel::A,ഇരുണ്ട,கருமையான
533,schwarz::A,കറുത്ത,கருப்பு வண்ண
534,weiß::A,വെളുത്ത,வெண்மையன
535,rot::A,ചുവന്ന,சிவப்பு
536,gelb::A,മഞ്ഞനിറമായ,மஞ்சள் வண்ணம்
537,blau::A,നീലനിറമുള്ള,நீல வண்ண
538,grün::A,പച്ചനിറമുള്ള,பச்சை வண்ண
539,grau::A,ചാരനിറത്തിലുള്ള,சாம்பல் நிற
540,bunt::A,വർണ്ണശബളമായ,வண்ண மயமான
541,billig::A,വിലകുറഞ്ഞ,மலிவான
542,teuer::A,ചെലവേറിയ,விலை அதிகமான
543,wertvoll::A,വിലപിടിപ്പുള്ള,மதிப்புள்ள
544,blind::A,അന്ധനായ,பார்வையற்ற
545,taub::A,കേൾവിക്കുറവുള്ള,செவிடான
546,kräftig::A,ശക്തിയുള്ള,வலிமையான
547,stark::A,ബലമുള്ള,பலமான
548,schwach::A,ക്ഷീണിച്ച,பலவீனமான
549,fett::A,കൊഴുപ്പുള്ള,பருமனாக
550,schlank::A,മെലിഞ്ഞ,ஒல்லியான
551,hübsch::A,മനോഹരമായ,அழகிய
552,böse::A,പാപിയായ,கேடு விளைவிக்கும்
553,dumm::A,വിവരംകെട്ട,முட்டாள்தனமான
554,faul::A,അലസനായ,சோம்பலான
555,fleißig::A,അദ്ധ്വാനശീലമുള്ള,ஊக்கந்தளராத
556,geizig::A,പിശുക്കനായ,கஞேசத்தனமான
557,klug::A,ബുദ്ധിസാമർഥ്യമുള്ള,சாதுரியமான
558,geschickt::A,പ്രതിഭാശാലി,திறமையள்ள
559,lieb::A,പ്രിയപ്പെട്ട,அன்புக்குரிய
