,Concept_ID,ru,ku
67,Sonne::N,солнце,roj
68,Mond::N,луна,heyv
69,Stern::N,звезда,stêrk
70,Luft::N,воздух,ba
71,Wind::N,ветер,ba
72,Welle::N,волна,şewl
73,Wasser::N,вода,av
74,Stein::N,камень,kevir
75,Boden::N,почва,herd
76,Erde::N,земля,ax
77,Staub::N,пыль,toz
78,Rauch::N,дым,dû
79,Funke::N,искра,çirûşk
80,Feuer::N,огонь,agir
81,Licht::N,свет,ronahî
82,Schatten::N,тень,sî
83,Wetter::N,погода,hewa
84,Nebel::N,туман,mij
85,Wolke::N,облако,ewr
86,Regen::N,дождь,baran
87,Schnee::N,снег,berf
88,Eis::N,лед,qeşa
89,Frost::N,мороз,xûsik
90,Kälte::N,холод,serma
91,Hitze::N,жара,germayî
92,Raureif::N,иней,şext
93,Regenbogen::N,радуга,heftreng
94,Donner::N,гром,gire-gir
95,Strömung::N,течение,şewl
96,Tropfen::N,капля,dilop
97,Schaum::N,пена,kef
98,Schmutz::N,грязь,gemar
99,See::N,озеро,gol
100,Sumpf::N,топь,hezek
101,Moor::N,болото,mafêl
102,Wiese::N,луг,sûrik
103,Wald::N,лес,çiya
104,Wald::N,лес,daristan
105,Hügel::N,холм,gir
106,Anhöhe::N,возвышенность,sere gir
107,Berg::N,гора,kaş
108,Gipfel::N,вершина,sere gir
109,Höhle::N,пещера,şikeft
110,Abhang::N,склон,kaş
111,Quelle::N,источник,kanî
112,Bach::N,ручей,çem
113,Fluss::N,река,çem
114,Fluss::N,река,rûbar
115,Ufer::N,берег,kevî
116,Küste::N,побережье,berav
117,Festland::N,суша,bejahî
118,Meer::N,море,behr
119,Bucht::N,бухта,derav
120,Insel::N,остров,girav
121,Blume::N,цветок,kulînk
122,Gras::N,трава,giha
123,Wurzel::N,корень,reh
124,Baum::N,дерево,dar
125,Stamm::N,ствол,bavik
126,Rinde::N,кора,qaqil
127,Ast::N,сук,gulî
128,Zweig::N,ветвь,şax
129,Blatt::N,лист,pel
130,Birke::N,береза,dara sipî
131,Kiefer[Baum]::N,сосна,dara bî
132,Weide[Baum]::N,ива,dara belalûk
133,Tanne::N,ель,merx
134,Horn::N,рог,strô
135,Feder::N,перо,pîrtîk
136,Fell::N,шкура,heyar
137,Flügel::N,крыло,per
138,Klaue::N,коготь,napîk
139,Kralle::N,лапа,dinik
140,Kralle::N,лапа,dirnax
141,Schwanz::N,хвост,dûv
142,Ei::N,яйцо,hêk
143,Nest::N,гнездо,hêlîn
144,Bau::N,нора,avahî
145,Tier::N,животное,heywan
146,Herde::N,стадо,hoz
147,Kuh::N,корова,çêlek
148,Bulle::N,бык,ga
149,Pferd::N,лошадь,hesp
150,Schaf::N,овца,mîh
151,Schwein::N,свинья,beraz
152,Hund::N,собака,seh
153,Katze::N,кошка,pişîk
154,Bär::N,медведь,hirç
155,Eichhörnchen::N,белка,pilûr
156,Elch::N,лось,pazkovî
157,Fuchs::N,лиса,rovî
158,Hase::N,заяц,kîroşk
159,Maus::N,мышь,mişk
160,Wolf::N,волк,gur
161,Vogel::N,птица,çûk
162,Schwarm::N,стая,lufik
163,Huhn::N,курица,mirîşk
164,Hahn::N,петух,dîk
165,Gans::N,гусь,qaz
166,Adler::N,орел,eylo
167,Ente::N,утка,werdek
168,Eule::N,сова,bûm
169,Eule::N,сова,kund
170,Kranich::N,журавль,quling
171,Krähe::N,ворона,qijik
172,Kuckuck::N,кукушка,pepûk
173,Schwan::N,лебедь,qû
174,Fisch::N,рыба,masî
175,Barsch::N,окунь,okûn
176,Hecht::N,щука,mesîyê lûf
177,Schlange[Tier]::N,змея,mar
178,Wurm::N,червяк,kurm
179,Spinne::N,паук,pîrê
180,Ameise::N,муравей,mîro
181,Ameise::N,муравей,gêrîk
182,Laus::N,вошь,spi
183,Mücke::N,комар,mêş
184,Fliege::N,муха,mêş
185,Schmetterling::N,бабочка,perperîk
186,Beere::N,ягода,hirç
187,Apfel::N,яблоко,sêv
188,Pilz::N,гриб,bîrov
189,Zwiebel::N,луковица,pîvaz
190,Saat::N,семя,tov
191,Korn::N,зерно,dexl
192,Heu::N,сено,sap
193,Schale::N,шелуха,qaşik
194,Grube::N,яма,çahl
195,Falle::N,ловушка,dafik
196,Schlinge::N,силок,dahf
197,Spur::N,след,rêç
198,Asche::N,зола,xweli
199,Asche::N,пепел,xweli
200,Dreck::N,грязь,gemarî
201,Eisen::N,железо,hesing
202,Gold::N,золото,zêr
203,Silber::N,серебро,zîv
204,Kohle::N,уголь,komir
205,Glas::N,стекло,qedeh
206,Lehm::N,глина,kelpîç
207,Sand::N,песок,qûm
208,Mensch::N,человек,mirov
209,Mann::N,мужчина,mêr
210,Frau::N,женщина,jin
211,Kind::N,ребенок,zarok
212,Junge::N,мальчик,kur
213,Mädchen::N,девочка,keç
214,Mädchen::N,девочка,keçik
215,Familie::N,семья,malbat
216,Großvater::N,дедушка,bapîr
217,Großmutter::N,бабушка,pîrik
218,Eltern::N,родители,bavudê
219,Vater::N,отец,bav
220,Mutter::N,мать,dê
221,Mutter::N,мать,dayik
222,Sohn::N,сын,kur
223,Tochter::N,дочь,keç
224,Bruder::N,брат,bira
225,Schwester::N,сестра,xweh
226,Onkel::N,дядя,am
227,Onkel::N,дядя,xal
228,Tante::N,тетя,metik
229,Tante::N,тетя,xaltîk
230,Ehemann::N,муж,mêr
231,Ehefrau::N,жена,kulfet
232,Freude::N,радость,kêfxweşî
233,Gelächter::N,смех,pîrqînî
234,Glück::N,счастье,bext
235,Kummer::N,горе,derd
236,Wunsch::N,желание,daxwaz
237,Wunsch::N,желание,xwestek
238,Lust::N,влечение,şewq
239,Geist::N,дух,aqil
240,Gedanke::N,мысль,fikir
241,Gedächtnis::N,память,aqil
242,Verstand::N,ум,fêm
243,Sinn::N,смысл,aqil
244,Grund::N,повод,asas
245,Wahrheit::N,правда,rastî
246,Gespräch::N,беседа,guftûgo
247,Märchen::N,сказка,çirok
248,Erzählung::N,рассказ,çirok
249,Erzählung::N,рассказ,vegotin
250,Nachricht::N,сообщение,nûçe
251,Neuigkeit::N,новость,hewal
252,Name::N,имя,nav
253,Name::N,имя,paşnav
254,Rätsel::N,загадка,tiştonek
255,Rede::N,речь,gotar
256,Rede::N,речь,axavtin
257,Sprache::N,язык,ziman
258,Stimme::N,голос,pejn
259,Wort::N,слово,gotin
260,Zeichen::N,знак,şanek
261,Ruf::N,зов,hawar
262,Lärm::N,шум,xarbalix
263,Laut::N,звук,deng
264,Laut::N,звук,hês
265,Ton::N,звучание,awaz
266,Lied::N,песня,sitran
267,Ruhe::N,покой,rihetî
268,Leute::N,люди,xelk
269,Volk::N,народ,xelk
270,Arbeit::N,работа,xebat
271,Gast::N,гость,mêvan
272,Geschenk::N,подарок,diyarî
273,Spiel::N,игра,lîstik
274,Gesellschaft::N,общество,komal
275,Hilfe::N,помощь,alîkarî
276,Freund::N,друг,heval
277,Kamerad::N,приятель,heval
278,Angelegenheit::N,дело,pirsgirêk
279,Anzahl::N,количество,çend
280,Art::N,вид,çeh
281,Stück::N,кусок,lib
282,Stück::N,кусок,parçe
283,Teil::N,часть,parçe
284,Hälfte::N,половина,nîvî
285,Kreis::N,круг,çemil
286,Kreuz::N,крест,xaç
287,Linie::N,линия,xezik
288,Strich::N,черта,xezik
289,Abstand::N,промежуток,dûrahî
290,Entfernung::N,расстояние,dûrahî
291,Gegend::N,местность,dever
292,Platz::N,пространство,çih
293,Ort::N,место,dever
294,Seite::N,сторона,rûpel
295,Mitte::N,середина,nav
296,Mitte::N,середина,nabênê
297,Gegenstand::N,предмет,tişt
298,Sache::N,вещь,tişt
299,Rand::N,край,kevî
300,Kante::N,ребро,kevî
301,Ecke::N,угол,qunç
302,Spitze::N,кончик,derzî
303,Ende::N,конец,talî
304,Loch::N,дыра,qul
305,Winkel::N,угол,kurnîşk
306,Muster::N,узор,desen
307,Größe::N,размер,mezinî
308,Länge::N,длина,dirêjahî
309,Höhe::N,высота,bilindayî
310,Gewicht::N,вес,giranî
311,Menge::N,количество,qas
312,Haufen::N,куча,lod
313,Reihe::N,ряд,rêz
314,Boot::N,лодка,kelek
315,Ruder::N,весло,bêrik
316,Schlitten::N,сани,xîjik
317,Ski::N,лыжа,lakan
318,Lagerfeuer::N,костер,agir
319,Last::N,тяжесть,bar
320,Gang::N,ход,fîtêz
321,Schritt::N,шаг,gav
322,Norden::N,север,bakur
323,Süden::N,юг,başur
324,Westen::N,запад,rojava
325,Osten::N,восток,rojhilat
326,Holz::N,древесина,dep
327,Brett::N,доска,dep
328,Platte::N,плита,dep
329,Stütze::N,подпорка,destek
330,Stange::N,жердь,sing
331,Stock::N,палка,çam
332,Stab::N,шест,qat
333,Rohr::N,труба,borî
334,Haus::N,дом,mal
335,Haus::N,дом,xanî
336,Heim::N,дом,mal
337,Ofen::N,печь,sobe
338,Fußboden::N,пол,binpê
339,Tisch::N,стол,mase
340,Stuhl::N,стул,kursî
341,Wiege::N,колыбель,derguş
342,Bett::N,постель,qerewêle
343,Regal::N,полка,rêbaz
344,Kiste::N,ящик,sindoq
345,Fenster::N,окно,çam
346,Fenster::N,окно,şibeke
347,Tür::N,дверь,derî
348,Tor::N,ворота,derge
349,Zaun::N,забор,hejik
350,Dach::N,крыша,sere xanî
351,Leiter::N,лестница,pêling
352,Besen::N,метла,melkes
353,Spaten::N,лопата,mer
354,Schaufel::N,совок,bêr
355,Gabel::N,вилка,çetel
356,Löffel::N,ложка,kevçî
357,Messer::N,нож,kêr
358,Nagel::N,гвоздь,bizmar
359,Netz::N,сеть,tor
360,Haken::N,крюк,çenqel
361,Griff::N,ручка,destî
362,Schloss::N,замок,qonax
363,Bild::N,картина,dimen
364,Figur::N,фигура,figûr
365,Puppe::N,кукла,bûk
366,Beutel::N,мешок,kîsik
367,Bündel::N,связка,pêçek
368,Tasche::N,сумка,bêrîk
369,Eimer::N,ведро,dewl
370,Deckel::N,крышка,devik
371,Geschirr::N,посуда,ferax
372,Sack::N,мешок,tûr
373,Tasse::N,чашка,kada
374,Topf::N,кастрюля,beroş
375,Kessel::N,котел,şîril
376,Essen::N,еда,xwarin
377,Nahrung::N,пища,xwarin
378,Speise::N,блюдо,xwarin
379,Speise::N,кушанье,xwarin
380,Fleisch::N,мясо,goşt
381,Getreide::N,хлеб,zad
382,Brei::N,каша,hewdêl
383,Brot::N,хлеб,
384,Scheibe::N,ломоть,parçe
385,Fett::N,жир,rûn
386,Butter::N,масло,rûn
387,Öl::N,масло,rûn
388,Salz::N,соль,xwe
389,Suppe::N,суп,şorbe
390,Honig::N,мед,hingiv
391,Milch::N,молоко,şîr
392,Tee::N,чай,çay
393,Leder::N,кожа,çerm
394,Wolle::N,шерсть,herî
395,Stoff::N,ткань,paç
396,Nadel::N,игла,derzî
397,Faden::N,нитка,ta
398,Knopf::N,пуговица,bişkok
399,Knoten::N,узел,girêk
400,Farbe::N,краска,boyax
401,Kleidung::N,одежда,çil
402,Hemd::N,рубашка,qutik
403,Hemd::N,рубашка,miltan
404,Kragen::N,воротник,stûvang
405,Ärmel::N,рукав,hûçik
406,Hose::N,брюки,şewel
407,Gürtel::N,пояс,qayiş
408,Mütze::N,шапка,fîno
409,Schuh::N,ботинок,şêkal
410,Stiefel::N,сапог,gizme
411,Stiefel::N,сапог,çizme
412,Ring::N,кольцо,xelek
413,Band::N,лента,band
414,Kamm::N,расческа,şeh
415,Spiegel::N,зеркало,eynik
416,Riemen::N,ремень,qayiş
417,Schnur::N,веревка,doxin
418,Leine::N,поводок,şirît
419,Decke::N,одеяло,bataniye
420,Kissen::N,подушка,balgî
421,Tuch::N,платок,şar
422,Handtuch::N,полотенце,dezmal
423,Kraft::N,сила,hêz
424,Kraft::N,сила,qewet
425,Stärke::N,крепость,xurtî
426,Gesundheit::N,здоровье,nojdarî
427,Krankheit::N,болезнь,nexweşî
428,Schmerz::N,боль,êş
429,Wunde::N,рана,kul
430,Fieber::N,лихорадка,ta
431,Fieber::N,температура,ta
432,Arznei::N,лекарство,derman
433,Brücke::N,мост,kopî
434,Brunnen::N,колодец,çal
435,Brunnen::N,колодец,kani
436,Weide::N,пастбище,beyar
437,Pfad::N,тропа,xaçirek
438,Weg::N,путь,rê
439,Weg::N,дорога,rê
440,Straße::N,улица,rê
441,Straße::N,дорога,rê
442,Dorf::N,деревня,gund
443,Stadt::N,город,baçar
444,Brief::N,письмо,name
445,Buch::N,книга,kitêb
446,Buch::N,книга,pirtûk
447,Buchstabe::N,буква,herf
448,Zeitung::N,газета,rojname
449,Leben::N,жизнь,jiyan
450,Tod::N,смерть,mirin
451,Grab::N,могила,mezel
452,Kirche::N,церковь,gilyas
453,Sünde::N,грех,guneh
454,Gott::N,бог,xwedê
455,Arbeiter::N,рабочий,hîşçî
456,Chef::N,начальник,bêg
457,Meister::N,мастер,hoste
458,Arzt::N,врач,doktor
459,Lehrer::N,учитель,mamoste
460,Geld::N,деньги,pere
461,Geschäft::N,занятие,firoşgeh
462,Laden::N,магазин,dikan
463,Preis::N,цена,buha
464,Ware::N,товар,tişt
465,Nutzen::N,выгода,fêde
466,Reichtum::N,богатство,serwet
467,Welt::N,мир,dinya
468,Land::N,страна,welat
469,Staat::N,государство,dewlet
470,König::N,король,şah
471,König::N,король,qral
472,Macht::N,власть,qewet
473,Macht::N,власть,destihilat
474,Grenze::N,граница,kevî
475,Krieg::N,война,çeng
476,Krieg::N,война,sêwaş
477,Feind::N,враг,dijmin
478,Gewalt::N,насилие,zor
479,Kampf::N,борьба,şer
480,Bogen[Waffe]::N,лук,kêvan
481,Pfeil::N,стрела,çîrik
482,Gewehr::N,ружье,tifing
483,Fehler::N,ошибка,şaşî
484,Lüge::N,ложь,derew
485,Schaden::N,вред,xisar
486,Unglück::N,беда,bêbextî
487,Schuld::N,вина,suç
488,Alter::N,возраст,temen
489,Schluss::N,окончание,girtin
490,Zeit::N,время,çax
491,Tag::N,день,roj
492,Morgen::N,утро,sibeh
493,Mittag::N,полдень,nîro
494,Abend::N,вечер,êvar
495,Nacht::N,ночь,şev
496,Woche::N,неделя,heftî
497,Monat::N,месяц,meh
498,Jahr::N,год,sal
499,Frühling::N,весна,bihar
500,Sommer::N,лето,havîn
501,Herbst::N,осень,payîz
502,Winter::N,зима,zistan
503,Januar::N,январь,çile
504,Februar::N,февраль,sibat
505,März::N,март,adar
506,April::N,апрель,nîsan
507,Mai::N,май,gûlan
508,Juni::N,июнь,hezîran
509,Juli::N,июль,tîmeh
510,August::N,август,tebax
511,September::N,сентябрь,îlon
512,Oktober::N,октябрь,çotmeh
513,November::N,ноябрь,mijdar
514,Dezember::N,декабрь,kanûn
515,Montag::N,понедельник,duşemb
516,Dienstag::N,вторник,sêşem
517,Mittwoch::N,среда,çarşemb
518,Donnerstag::N,четверг,pêşemb
519,Freitag::N,пятница,în
520,Samstag::N,суббота,şemî
521,Sonntag::N,воскресенье,yekşemb
522,groß::A,большой,mezin
523,klein::A,маленький,çûçik
524,lang::A,длинный,dirêj
525,kurz::A,короткий,kin
526,breit::A,широкий,fireh
527,schmal::A,узкий,tenik
528,dicht::A,густой,gir
529,dick[Gegenstand]::A,толстый,şîşman
530,dünn::A,тонкий,zirav
531,fein::A,тонкий,tenik
532,fest::A,крепкий,saxlem
533,flach::A,плоский,pahn
534,glatt::A,гладкий,dûz
535,glatt::A,гладкий,şayîk
536,hart::A,твердый,hişk
537,weich::A,мягкий,nerm
538,rund::A,круглый,gilover
539,spitz::A,остроконечный,pîj
540,scharf::A,острый,tûj
541,stumpf::A,тупой,ne tûj
542,schwer::A,тяжелый,giran
543,schön::A,красивый,xweş
544,schön::A,красивый,xweşik
545,heiß::A,жаркий,kelandî
546,warm::A,теплый,germ
547,kalt::A,холодный,sar
548,kühl::A,прохладный,jemîrî
549,frisch::A,свежий,ter
550,feucht::A,влажный,şil
551,nass::A,мокрый,şilek
552,trocken::A,сухой,zuwa
553,voll::A,полный,tijî
554,voll::A,наполненный,tijî
555,leer::A,пустой,vala
556,offen::A,открытый,vekirî
557,geschlossen::A,закрытый,asê
558,sauber::A,чистый,pakij
559,schmutzig::A,грязный,lewitî
560,roh::A,сырой,xav
561,reif::A,зрелый,gihaştî
562,lecker::A,вкусный,xweş
563,süß::A,сладкий,şîrîn
564,bitter::A,горький,tahl
565,sauer::A,кислый,tirş
566,hell::A,светлый,ronî
567,dunkel::A,темный,tarî
568,schwarz::A,черный,reş
569,weiß::A,белый,sipî
570,rot::A,красный,sor
571,gelb::A,желтый,zer
572,blau::A,синий,şîn
573,grün::A,зеленый,şîn
574,grau::A,серый,gewr
575,bunt::A,пестрый,rengîn
576,billig::A,дешевый,erzan
577,teuer::A,дорогой,biha
578,wertvoll::A,ценный,hêja
579,wertvoll::A,ценный,giranbiha
580,blind::A,слепой,kor
581,taub::A,глухой,kerr
582,kräftig::A,могучий,gir
583,kräftig::A,могучий,xurt
584,stark::A,сильный,xurt
585,schwach::A,слабый,kesad
586,fett::A,жирный,qelew
587,schlank::A,стройный,zirav
588,hübsch::A,прелестный,xweşik
589,böse::A,злой,xerab
590,böse::A,злой,aciz
591,dumm::A,глупый,gêj
592,faul::A,ленивый,têmbêl
593,fleißig::A,прилежный,jêhatî
594,geizig::A,жадный,destgirtî
595,klug::A,умный,baqil
596,geschickt::A,искусный,zîrek
597,geschickt::A,искусный,ziring
598,lieb::A,милый,delal
599,lustig::A,веселый,kêfxweş
600,sanft::A,нежный,nazenîn
601,hungrig::A,голодный,birçî
602,krank::A,больной,nexweş
603,nackt::A,голый,rût
604,nackt::A,голый,tazî
605,traurig::A,грустный,xemgîn
606,lebendig::A,живой,bisaxî
607,gut::A,хороший,baş
608,schlecht::A,плохой,xerab
609,richtig::A,правильный,rast
610,richtig::A,правильный,saxlem
611,schlimm::A,отвратительный,nebaş
612,schlimm::A,мерзкий,nebaş
613,wahr::A,настоящий,rast
614,alt::A,старый,pîr
615,alt::A,старый,kevn
616,neu::A,новый,nû
617,ehemalig::A,бывший,kevnar
618,ehemalig::A,бывший,peşidar
619,alt[Lebewesen]::A,пожилой,pîr
620,jung::A,молодой,xort
621,arm::A,бедный,feqîr
622,arm::A,бедный,desteng
623,reich::A,богатый,dewlemend
624,bekannt::A,знакомый,naskirî
625,berühmt::A,знаменитый,navdar
626,fremd::A,чужой,xerîb
627,verschieden::A,разный,çîhê
628,nah::A,близкий,nêzîk
629,fern::A,далекий,dûr
630,linker::A,левый,çepê
631,rechter::A,правый,rastê
632,anderer::A,другой,yê din
633,erster::A,первый,yekemîn
634,zweiter::A,второй,duda
635,dritter::A,третий,sisêya
636,letzter::A,последний,paşîn
637,allein::ADV,один,tenê
638,auf einmal::ADV,сразу,jar kê
639,zusammen::ADV,вместе,tev
640,zusammen::ADV,вместе,bi hev re
641,lange::ADV,долго,dirêj
642,plötzlich::ADV,вдруг,ji nişkave
643,sofort::ADV,тотчас,yekser
644,später::ADV,позже,paşiyê
645,jetzt::ADV,сейчас,nuha
646,heute::ADV,сегодня,îro
647,morgen::ADV,завтра,sibeh
648,bald::ADV,скоро,nêzîk
649,dann::ADV,потом,paşê
650,gestern::ADV,вчера,do
651,einst::ADV,однажды,jar ke
652,damals::ADV,тогда,hîngî
653,danach::ADV,затем,piştra
654,vorher::ADV,раньше,pîşî
655,zuerst::ADV,сперва,bere
656,einmal::ADV,раз,çarik
657,manchmal::ADV,иногда,çarna
658,oft::ADV,часто,gelek çaran
659,immer::ADV,всегда,daîm
660,niemals::ADV,никогда,tu çar
661,hier::ADV,здесь,li vir
662,hierhin::ADV,сюда,vir
663,von hier::ADV,отсюда,ji vir
664,dort::ADV,там,li wê derê
665,dorthin::ADV,туда,wêda
666,geradeaus::ADV,прямо,rastê rast
667,vorwärts::ADV,вперед,ber bi pêş
668,rückwärts::ADV,назад,paşpê
669,zurück::ADV,обратно,paşdo
670,zurück::ADV,обратно,paşvê
671,unten::ADV,внизу,jêrî
672,hinab::ADV,вниз,berjêr
673,oben::ADV,наверху,banî
674,hinauf::ADV,вверх,banî
675,überall::ADV,везде,li her derê
676,nicht::ADV,не,ne
677,nicht::ADV,не,nîn
678,nicht::ADV,не,tine
679,ein wenig::ADV,немного,hebkî
680,kaum::ADV,едва,tema
681,kaum::ADV,едва,himangi
682,sehr::ADV,очень,gelek
683,so::ADV,так,weha
684,noch::ADV,еще,hêj
685,noch::ADV,еще,dîsa
686,nur::ADV,только,tenê
687,nur::ADV,только,bes
688,schon::ADV,уже,hew
689,wieder::ADV,опять,jar din
690,wieder::ADV,опять,dîsa
691,vergebens::ADV,напрасно,deya çun
692,vergebens::ADV,напрасно,îfleh bûn
693,vor::PRP,перед,li ber
694,hinter::PRP,за,li pişt
695,hinter::PRP,позади,li pişt
696,unter::PRP,под,li bin
697,durch::PRP,сквозь,kura
698,neben::PRP,возле,li ba
699,zwischen::PRP,между,nabeyne
700,zwischen::PRP,между,di nav...da
701,wegen::PRP,из-за,ji bo
702,wegen::PRP,из-за,ji ber
703,dies::PRN,это,ev
704,das::PRN,то,ev
705,alles::PRN,все,hemû
706,ich::PRN,я,ez
707,du::PRN,ты,tu
708,er::PRN,он,wî
709,wir::PRN,мы,êm
710,ihr::PRN,вы,hûn
711,sie::PRN,они,we
712,was::FPRN,что,çi
713,wer::FPRN,кто,ki
714,wo::FADV,где,li ku dere
715,wohin::FADV,куда,li ku dere
716,wie::FADV,как,çawa
717,warum::FADV,почему,çima
718,wieviel::FNUM,сколько,çend
719,eins::NUM,один,yek
720,zwei::NUM,два,didu
721,drei::NUM,три,sisê
722,vier::NUM,четыре,çar
723,fünf::NUM,пять,penç
724,sechs::NUM,шесть,şeş
725,sieben::NUM,семь,heft
726,acht::NUM,восемь,heşt
727,neun::NUM,девять,neh
728,zehn::NUM,десять,deh
729,elf::NUM,одиннадцать,yazdeh
730,zwölf::NUM,двенадцать,diwazdeh
731,zwanzig::NUM,двадцать,bîst
732,dreißig::NUM,тридцать,sih
733,vierzig::NUM,сорок,çil
734,fünfzig::NUM,пятьдесят,pençi
735,sechzig::NUM,шестьдесят,şêst
736,siebzig::NUM,семьдесят,heftê
737,achtzig::NUM,восемьдесят,heştê
738,neunzig::NUM,девяносто,nod
739,hundert::NUM,сто,sêd
740,tausend::NUM,тысяча,hezar
741,und::CNJ,и,û
742,oder::CNJ,или,an
743,oder::CNJ,или,yan
744,oder::CNJ,либо,an
745,oder::CNJ,либо,yan
746,stehen::V,стоять,sekinîn
747,sitzen::V,сидеть,rûniştin
748,liegen::V,лежать,paldan
749,hängen::V,висеть,darve kirin
750,werden::V,стать,bûn
751,passieren::V,случиться,hatin holê
752,passieren::V,случиться,hatin serê kesî
753,beginnen::V,начаться,li dest pêkirin
754,enden::V,кончиться,xalas bû
755,wechseln::V,меняться,guherandin
756,wechseln::V,меняться,dêgiş kirin
757,aufgehen[Sonne]::V,взойти,hilatin
758,untergehen[Sonne]::V,зайти,çun ava
759,scheinen[Sonne]::V,светить,şewk de
760,donnern::V,греметь,gire-gir
761,wehen::V,дуть,ba le de
762,strömen::V,литься,xwe girtin
763,fließen::V,течь,herikîn
764,sich drehen::V,вращаться,xwe zivirandin
765,schwanken::V,колебаться,hejandin
766,schwingen::V,качаться,libakirin
767,fallen::V,падать,ketin
768,brennen::V,гореть,şewitîn
769,rauchen::V,дымить,kişandin
770,regnen::V,дождить,bahran tê
771,gefrieren::V,замерзнуть,qefilandin
772,tauen::V,таять,helandin
773,schmelzen::V,плавиться,helandin
774,trocknen::V,сохнуть,zuwabûn
775,sieden::V,кипеть,kelîn
776,faulen::V,гнить,xerabûn
777,verfaulen::V,сгнить,xerabûn
778,reißen::V,рваться,jêkirin
779,versinken::V,тонуть,xerq bûn
780,vergehen::V,проходить,derbas bûn
781,erscheinen::V,появиться,peyda bûn
782,verschwinden::V,исчезнуть,wendabûn
783,sinken::V,спадать,noq bûn
784,abnehmen::V,уменьшиться,kêm bûn
785,zunehmen::V,увеличиваться,qelew bûn
786,steigen::V,подниматься,hildan
787,wachsen::V,расти,mezin bûn
788,glänzen::V,блестеть,biriqîn
789,funkeln::V,сверкать,çikisîn
790,lärmen::V,шуметь,guşîn
791,läuten::V,звонить,lê de
792,klingeln::V,звонить,sîl dan
793,klingeln::V,звонить,ringerin
794,klirren::V,звякать,zingzing hat
795,brausen::V,бушевать,guşîn
796,rauschen::V,шелестеть,guşîn
797,klingen::V,звучать,deng pe ketin
798,bellen::V,лаять,kewtîn
799,heulen::V,выть,ûrîn
800,blasen::V,дунуть,puf kirin
801,pfeifen::V,свистеть,fîkandin
802,schreien::V,кричать,qîrîn
803,stöhnen::V,стонать,nalîn
804,zittern::V,дрожать,hejîn
805,leben::V,жить,jihîn
806,geboren werden::V,родиться,hatin dinyê
807,geboren werden::V,родиться,bûn
808,atmen::V,дышать,hilmijîn
809,trinken::V,пить,vexwarin
810,essen::V,есть,xwarin
811,essen::V,кушать,xwarin
812,schlucken::V,глотать,daqulbandin
813,müde werden::V,устать,betilîln
814,müde werden::V,устать,qerimîn
815,einschlafen::V,заснуть,razan
816,schlafen::V,спать,razan
817,schlafen::V,спать,razandin
818,aufwachen::V,проснуться,şiyarbûn
819,aufstehen::V,встать,rabûn
820,sich erholen::V,отдыхать,baş bûn
821,krank werden::V,заболеть,nexweş kêt
822,krank sein::V,болеть,nexweş bû
823,schmerzen::V,болеть,êşandin
824,husten::V,кашлять,kuxin
825,genesen::V,поправиться,baş bûn
826,sterben::V,умереть,mirin
827,umkommen::V,погибнуть,mirin
828,sich bewegen::V,двигаться,leqîn
