,Concept_ID,da,sk
91,Tropfen::N,dråbe,kvapka
92,Schaum::N,skum,pena
93,Schmutz::N,snavs,špina
94,Schmutz::N,snavs,nečistota
95,See::N,sø,jazero
96,Sumpf::N,sump,bahno
97,Moor::N,mose,močiar
98,Wiese::N,eng,lúka
99,Wald::N,skov,les
100,Wald::N,skov,hora
101,Hügel::N,høj,vŕšok
102,Hügel::N,bakke,vŕšok
103,Anhöhe::N,høj,výšina
104,Anhöhe::N,høj,vyvýšenina
105,Anhöhe::N,bakke,výšina
106,Anhöhe::N,bakke,vyvýšenina
107,Berg::N,bjerg,hora
108,Gipfel::N,top,vrchol
109,Höhle::N,hule,jaskyňa
110,Abhang::N,skrænt,úbočie
111,Abhang::N,skråning,úbočie
112,Quelle::N,kilde,prameň
113,Bach::N,bæk,potok
114,Fluss::N,flod,rieka
115,Ufer::N,bred,breh
116,Küste::N,kyst,pobrežie
117,Festland::N,fastland,pevnina
118,Meer::N,hav,more
119,Bucht::N,bugt,záliv
120,Bucht::N,bugt,zátoka
121,Insel::N,ø,ostrov
122,Blume::N,blomst,kvet
123,Blume::N,blomst,kvetina
124,Gras::N,græs,tráva
125,Wurzel::N,rod,koreň
126,Baum::N,træ,strom
127,Stamm::N,stamme,kmeň
128,Rinde::N,bark,kôra
129,Ast::N,gren,konár
130,Zweig::N,kvist,vetva
131,Blatt::N,blad,list
132,Birke::N,birk,breza
133,Kiefer[Baum]::N,fyrretræ,sosna
134,Kiefer[Baum]::N,fyrretræ,borovica
135,Weide[Baum]::N,piletræ,vŕba
136,Tanne::N,gran,jedľa
137,Horn::N,horn,roh
138,Feder::N,fjer,pero
139,Fell::N,skind,koža
140,Fell::N,skind,kožušina
141,Flügel::N,vinge,krídlo
142,Klaue::N,klov,paznecht
143,Kralle::N,klo,pazúr
144,Schwanz::N,hale,chvost
145,Ei::N,æg,vajce
146,Ei::N,æg,vajíčko
147,Nest::N,rede,hniezdo
148,Bau::N,bo,nora
149,Tier::N,dyr,zviera
150,Herde::N,flok,stádo
151,Kuh::N,ko,krava
152,Bulle::N,tyr,býk
153,Pferd::N,hest,kôň
154,Schaf::N,får,ovca
155,Schwein::N,gris,sviňa
156,Hund::N,hund,pes
157,Katze::N,kat,mačka
158,Bär::N,bjørn,medveď
159,Eichhörnchen::N,egern,veverička
160,Elch::N,elg,los
161,Fuchs::N,ræv,líška
162,Hase::N,hare,zajac
163,Maus::N,mus,myš
164,Wolf::N,ulv,vlk
165,Vogel::N,fugl,vták
166,Schwarm::N,sværm,roj
167,Huhn::N,høne,kurča
168,Huhn::N,høne,sliepka
169,Hahn::N,hane,kohút
170,Gans::N,gås,hus
171,Adler::N,ørn,orol
172,Ente::N,and,kačka
173,Ente::N,and,kačica
174,Eule::N,ugle,sova
175,Kranich::N,trane,žeriav
176,Krähe::N,krage,vrana
177,Kuckuck::N,gøg,kukučka
178,Schwan::N,svane,labuť
179,Fisch::N,fisk,ryba
180,Barsch::N,aborre,ostriež
181,Hecht::N,gedde,šťuka
182,Schlange[Tier]::N,slange,had
183,Wurm::N,orm,červ
184,Spinne::N,edderkop,pavúk
185,Ameise::N,myre,mravec
186,Laus::N,lus,voš
187,Mücke::N,myg,komár
188,Fliege::N,flue,mucha
189,Schmetterling::N,sommerfugl,motýľ
190,Beere::N,bær,bobuľa
191,Apfel::N,æble,jablko
192,Pilz::N,svamp,hríb
193,Zwiebel::N,løg,cibuľa
194,Saat::N,sæd,osivo
195,Korn::N,korn,zrno
196,Heu::N,hø,seno
197,Schale::N,skræl,šupa
198,Schale::N,skræl,škrupina
199,Grube::N,grav,jama
200,Falle::N,fælde,pasca
201,Falle::N,fælde,klepec
202,Schlinge::N,snare,slučka
203,Spur::N,spor,stopa
204,Asche::N,aske,popol
205,Dreck::N,snavs,kal
206,Dreck::N,snavs,blato
207,Eisen::N,jern,železo
208,Gold::N,guld,zlato
209,Silber::N,sølv,striebro
210,Kohle::N,kul,uhlie
211,Glas::N,glas,sklo
212,Lehm::N,ler,íl
213,Lehm::N,ler,hlina
214,Sand::N,sand,piesok
215,Mensch::N,mennesge,človek
216,Mann::N,mand,muž
217,Mann::N,mand,chlap
218,Frau::N,kvinde,žena
219,Kind::N,barn,dieťa
220,Junge::N,dreng,chlapec
221,Mädchen::N,pige,dievka
222,Familie::N,familie,rodina
223,Großvater::N,bedstefar,dedo
224,Großvater::N,bedstefar,starý otec
225,Großmutter::N,bedstemor,babička
226,Großmutter::N,bedstemor,stará mať
227,Eltern::N,forældre,rodičia
228,Vater::N,far,otec
229,Mutter::N,mor,mať
230,Mutter::N,mor,matka
231,Sohn::N,søn,syn
232,Tochter::N,datter,dcéra
233,Bruder::N,bror,brat
234,Schwester::N,søster,sestra
235,Onkel::N,onkel,ujo
236,Onkel::N,onkel,strýko
237,Tante::N,tante,teta
238,Tante::N,tante,tetka
239,Ehemann::N,ægtemand,muž
240,Ehemann::N,ægtemand,manžel
241,Ehefrau::N,hustru,žena
242,Ehefrau::N,hustru,manželka
243,Freude::N,glæde,radosť
244,Gelächter::N,latter,smiech
245,Glück::N,lykke,šťastie
246,Kummer::N,sorg,žiaľ
247,Kummer::N,sorg,zármutok
248,Wunsch::N,ønske,prianie
249,Lust::N,lyst,chuť
250,Geist::N,ånd,duch
251,Gedanke::N,tanke,myšlienka
252,Gedächtnis::N,hukommelse,pamäť
253,Verstand::N,forstand,rozum
254,Sinn::N,mening,zmysel
255,Sinn::N,betydning,zmysel
256,Grund::N,grund,dôvod
257,Grund::N,grund,príčina
258,Wahrheit::N,sandhed,pravda
259,Gespräch::N,samtale,reč
260,Gespräch::N,samtale,rozhovor
261,Märchen::N,eventyr,rozprávka
262,Erzählung::N,fortælling,poviedka
263,Nachricht::N,efterretning,správa
264,Neuigkeit::N,nyhed,novinka
265,Name::N,navn,meno
266,Rätsel::N,gåde,záhada
267,Rätsel::N,gåde,hádanka
268,Rede::N,tale,reč
269,Sprache::N,sprog,reč
270,Sprache::N,sprog,jazyk
271,Stimme::N,stemme,hlas
272,Wort::N,ord,slovo
273,Zeichen::N,tegn,znak
274,Ruf::N,råb,volanie
275,Ruf::N,råb,zavolanie
276,Lärm::N,larm,hluk
277,Lärm::N,larm,hurhaj
278,Laut::N,lyd,zvuk
279,Ton::N,tone,tón
280,Ton::N,tone,zvuk
281,Lied::N,sang,pieseň
282,Ruhe::N,ro,pokoj
283,Ruhe::N,hvile,pokoj
284,Leute::N,folk,ľudia
285,Leute::N,mennesker,ľudia
286,Volk::N,folk,ľud
287,Volk::N,folk,národ
288,Arbeit::N,arbejde,práca
289,Arbeit::N,arbejde,robota
290,Gast::N,gæst,hosť
291,Geschenk::N,gave,dar
292,Spiel::N,leg,hra
293,Gesellschaft::N,selskab,spoločnosť
294,Hilfe::N,hjælp,pomoc
295,Freund::N,ven,priateľ
296,Kamerad::N,kammerat,kamarát
297,Angelegenheit::N,sag,vec
298,Angelegenheit::N,sag,záležitosť
299,Angelegenheit::N,anliggende,vec
300,Angelegenheit::N,anliggende,záležitosť
301,Anzahl::N,antal,počet
302,Anzahl::N,antal,množstvo
303,Art::N,art,druh
304,Stück::N,stykke,kus
305,Stück::N,stykke,kúsok
306,Teil::N,del,časť
307,Hälfte::N,halvdel,polka
308,Hälfte::N,halvdel,polovica
309,Kreis::N,cirkel,kruh
310,Kreuz::N,kors,kríž
311,Kreuz::N,kryds,kríž
312,Linie::N,linie,línia
313,Strich::N,streg,čiara
314,Abstand::N,afstand,vzdialenosť
315,Entfernung::N,afstand,vzdialenosť
316,Gegend::N,egn,kraj
317,Gegend::N,egn,krajina
318,Platz::N,plads,miesto
319,Ort::N,sted,miesto
320,Seite::N,side,bok
321,Seite::N,side,strana
322,Mitte::N,midte,stred
323,Gegenstand::N,genstand,predmet
324,Sache::N,sag,vec
325,Rand::N,rand,kraj
326,Rand::N,rand,okraj
327,Kante::N,kant,hrana
328,Ecke::N,hjørne,roh
329,Spitze::N,spids,hrot
330,Spitze::N,spids,špička
331,Ende::N,ende,koniec
332,Loch::N,hul,diera
333,Winkel::N,vinkel,kút
334,Muster::N,mønster,vzor
335,Muster::N,mønster,vzorka
336,Größe::N,størrelse,veľkosť
337,Länge::N,længde,dĺžka
338,Höhe::N,højde,výška
339,Gewicht::N,vægt,váha
340,Menge::N,mængde,množstvo
341,Haufen::N,bunke,hŕba
342,Reihe::N,række,rad
343,Boot::N,båd,čln
344,Ruder::N,åre,veslo
345,Schlitten::N,kælk,sane
346,Schlitten::N,slæde,sane
347,Ski::N,ski,lyža
348,Lagerfeuer::N,lejrbål,táborák
349,Last::N,last,ťarcha
350,Last::N,last,bremeno
351,Last::N,byrde,ťarcha
352,Last::N,byrde,bremeno
353,Gang::N,gang,chôdza
354,Schritt::N,skridt,krok
355,Norden::N,nord,sever
356,Süden::N,syd,juh
357,Westen::N,vest,západ
358,Osten::N,øst,východ
359,Holz::N,træ,drevo
360,Brett::N,bræt,doska
361,Platte::N,plade,doska
362,Platte::N,plade,platňa
363,Stütze::N,støtte,opora
364,Stange::N,stang,tyč
365,Stock::N,stok,palica
366,Stab::N,stav,palica
367,Rohr::N,rør,rúra
368,Haus::N,hus,dom
369,Heim::N,hjem,domov
370,Ofen::N,ovn,pec
371,Ofen::N,ovn,kachle
372,Fußboden::N,gulv,dlážka
373,Fußboden::N,gulv,podlaha
374,Tisch::N,bord,stôl
375,Stuhl::N,stol,stolička
376,Wiege::N,vugge,kolíska
377,Bett::N,seng,lôžko
378,Bett::N,seng,posteľ
379,Regal::N,reol,regál
380,Regal::N,reol,polica
381,Kiste::N,kasse,debna
382,Fenster::N,vindue,okno
383,Fenster::N,vindue,oblok
384,Tür::N,dør,dvere
385,Tor::N,port,vráta
386,Zaun::N,stakit,plot
387,Zaun::N,stakit,ohrada
388,Dach::N,tag,krov
389,Dach::N,tag,strecha
390,Leiter::N,stige,rebrík
391,Leiter::N,stige,rebrina
392,Besen::N,kost,metla
393,Spaten::N,spade,rýľ
394,Schaufel::N,skovl,lopata
395,Gabel::N,gaffel,vidlička
396,Löffel::N,ske,lyžica
397,Messer::N,kniv,nôž
398,Nagel::N,søm,klinec
399,Netz::N,net,sieť
400,Haken::N,krog,hák
401,Haken::N,krog,háčik
402,Griff::N,tag,rukoväť
403,Griff::N,håndtag,rukoväť
404,Schloss::N,lås,zámka
405,Bild::N,billede,obraz
406,Figur::N,figur,figúra
407,Puppe::N,dukke,bábka
408,Puppe::N,dukke,bábika
409,Beutel::N,pose,vrece
410,Beutel::N,pose,vrecko
411,Bündel::N,bylt,uzlík
412,Bündel::N,bylt,zväzok
413,Bündel::N,bundt,uzlík
414,Bündel::N,bundt,zväzok
415,Tasche::N,taske,taška
416,Tasche::N,taske,kabelka
417,Eimer::N,spand,vedro
418,Deckel::N,låg,vrchnák
419,Deckel::N,låg,pokrývka
420,Geschirr::N,husgeråd,nádoba
421,Sack::N,sæk,mech
422,Sack::N,sæk,vrece
423,Tasse::N,kop,šálka
424,Topf::N,gryde,hrniec
425,Kessel::N,kedel,kotol
426,Essen::N,måltid,jedlo
427,Nahrung::N,mad,strava
428,Nahrung::N,mad,potrava
429,Nahrung::N,næring,strava
430,Nahrung::N,næring,potrava
431,Speise::N,ret,jedlo
432,Fleisch::N,kød,mäso
433,Getreide::N,korn,obilie
434,Brei::N,grød,kaša
435,Brot::N,brød,chlieb
436,Scheibe::N,skive,kotúč
437,Scheibe::N,skive,krajec
438,Fett::N,fedt,tuk
439,Fett::N,fedt,masť
440,Butter::N,smør,maslo
441,Öl::N,olie,olej
442,Salz::N,salt,soľ
443,Suppe::N,suppe,polievka
444,Honig::N,honning,med
445,Milch::N,mælk,mlieko
446,Tee::N,te,čaj
447,Leder::N,skind,koža
448,Wolle::N,uld,vlna
449,Stoff::N,stof,súkno
450,Nadel::N,nål,ihla
451,Faden::N,tråd,niť
452,Faden::N,tråd,vlákno
453,Knopf::N,knap,gombík
454,Knoten::N,knude,uzol
455,Farbe::N,farve,farba
456,Kleidung::N,påklædning,šaty
457,Kleidung::N,påklædning,šatstvo
458,Hemd::N,skjorte,košeľa
459,Kragen::N,krave,golier
460,Ärmel::N,ærme,rukáv
461,Hose::N,bukser,nohavice
462,Gürtel::N,bælte,pás
463,Gürtel::N,bælte,opasok
464,Mütze::N,hue,čiapka
465,Schuh::N,sko,obuv
466,Schuh::N,sko,topánka
467,Stiefel::N,støvle,čižma
468,Ring::N,ring,prsteň
469,Band::N,bånd,stuha
470,Kamm::N,kam,hrebeň
471,Spiegel::N,spejl,zrkadlo
472,Riemen::N,rem,remeň
473,Schnur::N,snor,šnúra
474,Leine::N,snor,vodidlo
475,Decke::N,tæppe,deka
476,Decke::N,tæppe,prikrývka
477,Kissen::N,pude,poduška
478,Tuch::N,sjaltørklæde,šatka
479,Handtuch::N,håndklæde,uterák
480,Kraft::N,kraft,moc
481,Stärke::N,styrke,sila
482,Gesundheit::N,sundhed,zdravie
483,Krankheit::N,sygdom,nemoc
484,Krankheit::N,sygdom,choroba
485,Schmerz::N,smerte,bolesť
486,Wunde::N,sår,rana
487,Fieber::N,feber,horúčka
488,Arznei::N,medicin,liek
489,Arznei::N,lægemiddel,liek
490,Brücke::N,bro,most
491,Brunnen::N,brønd,studňa
492,Weide::N,græsgang,pastva
493,Pfad::N,sti,chodník
494,Weg::N,vej,cesta
495,Straße::N,gade,hradská
496,Dorf::N,landsby,dedina
497,Stadt::N,by,mesto
498,Brief::N,brev,list
499,Buch::N,bog,kniha
500,Buchstabe::N,bogstav,litera
501,Buchstabe::N,bogstav,písmeno
502,Zeitung::N,avis,noviny
503,Leben::N,liv,život
504,Tod::N,død,smrť
505,Grab::N,grav,hrob
506,Kirche::N,kirke,kostol
507,Sünde::N,synd,hriech
508,Gott::N,gud,boh
509,Arbeiter::N,arbejder,robotník
510,Arbeiter::N,arbejder,pracnovík
511,Chef::N,chef,šéf
512,Chef::N,chef,riaditeľ
513,Meister::N,mester,majster
514,Arzt::N,læge,lekár
515,Lehrer::N,lærer,učiteľ
516,Geld::N,penge,peniaze
517,Geschäft::N,forretning,obchod
518,Laden::N,butik,obchod
519,Laden::N,forretning,obchod
520,Preis::N,pris,cena
521,Ware::N,vare,tovar
522,Nutzen::N,nytte,osoh
523,Nutzen::N,nytte,úžitok
524,Reichtum::N,rigdom,bohatstvo
525,Welt::N,verden,svet
526,Land::N,land,územie
527,Land::N,land,krajina
528,Staat::N,stat,štát
529,König::N,konge,kráľ
530,Macht::N,magt,moc
531,Macht::N,magt,mocnosť
532,Grenze::N,grænse,hranica
533,Krieg::N,krig,vojna
534,Feind::N,fjende,nepriateľ
535,Gewalt::N,vold,násilie
536,Kampf::N,kamp,boj
537,Bogen[Waffe]::N,bue,luk
538,Pfeil::N,pil,šíp
539,Pfeil::N,pil,strela
540,Gewehr::N,gevær,puška
541,Fehler::N,fejl,omyl
542,Fehler::N,fejl,chyba
543,Lüge::N,løgn,lož
544,Schaden::N,skade,ujma
545,Schaden::N,skade,škoda
546,Unglück::N,uheld,nešťastie
547,Unglück::N,ulykke,nešťastie
548,Schuld::N,skyld,vina
549,Schuld::N,skyld,previnenie
550,Alter::N,alder,vek
551,Schluss::N,slut,záver
552,Schluss::N,slut,koniec
553,Schluss::N,slutning,záver
554,Schluss::N,slutning,koniec
555,Zeit::N,tid,čas
556,Tag::N,dag,deň
557,Morgen::N,morgen,ráno
558,Mittag::N,middag,poludnie
559,Abend::N,aften,večer
560,Nacht::N,nat,noc
561,Woche::N,uge,týždeň
562,Monat::N,måned,mesiac
563,Jahr::N,år,rok
564,Frühling::N,forår,jar
565,Sommer::N,sommer,leto
566,Herbst::N,efterår,jeseň
567,Winter::N,vinter,zima
568,Januar::N,januar,január
569,Februar::N,februar,február
570,März::N,marts,marec
571,April::N,april,apríl
572,Mai::N,maj,máj
573,Juni::N,juni,jún
574,Juli::N,juli,júl
575,August::N,august,august
576,September::N,september,september
577,Oktober::N,oktober,október
578,November::N,november,november
579,Dezember::N,december,december
580,Montag::N,mandag,pondelok
581,Dienstag::N,tirsdag,utorok
582,Mittwoch::N,onsdag,streda
583,Donnerstag::N,torsdag,štvrtok
584,Freitag::N,fredag,piatok
585,Samstag::N,lørdag,sobota
586,Sonntag::N,søndag,nedeľa
587,groß::A,stor,veľký
588,klein::A,lille,malý
589,lang::A,lang,dlhý
590,kurz::A,kort,krátky
591,breit::A,bred,široký
592,schmal::A,smal,úzky
593,dicht::A,tæt,hustý
594,dick[Gegenstand]::A,tyk,tlstý
595,dünn::A,tynd,tenký
596,fein::A,fin,jemný
597,fest::A,fast,pevný
598,flach::A,flad,rovný
599,flach::A,flad,plochý
600,glatt::A,glat,hladký
601,hart::A,hård,tvrdý
602,weich::A,blød,mäkký
603,rund::A,rund,guľatý
604,rund::A,rund,okrúhly
605,spitz::A,spids,končitý
606,scharf::A,skarp,ostrý
607,stumpf::A,sløv,tupý
608,stumpf::A,stump,tupý
609,schwer::A,tung,ťažký
610,schön::A,skøn,pekný
611,schön::A,skøn,krásny
612,heiß::A,hed,horúci
613,warm::A,varm,teplý
614,kalt::A,kold,studený
615,kühl::A,kølig,chladný
616,frisch::A,frisk,svieži
617,feucht::A,fugtig,vlhký
618,feucht::A,fugtig,zvlhnutý
619,nass::A,våd,mokrý
620,trocken::A,tør,suchý
621,voll::A,fuld,plný
622,leer::A,tom,prázdny
623,offen::A,åben,otvorený
624,geschlossen::A,lukket,zavretý
625,sauber::A,ren,čistý
626,schmutzig::A,snavset,špinavý
627,roh::A,rå,surový
628,reif::A,moden,zrelý
629,lecker::A,lækker,chutný
630,süß::A,sød,sladký
631,bitter::A,bitter,horký
632,sauer::A,sur,kyslý
633,hell::A,lys,jasný
634,hell::A,lys,svetlý
635,dunkel::A,mørk,temný
636,schwarz::A,sort,čierny
637,weiß::A,hvid,biely
638,rot::A,rød,červený
639,gelb::A,gul,žltý
640,blau::A,blå,modrý
641,blau::A,blå,belasý
642,grün::A,grøn,zelený
643,grau::A,grå,šedý
644,bunt::A,broget,pestrý
645,billig::A,billig,lacný
646,teuer::A,dyr,drahý
647,wertvoll::A,værdifuld,cenný
648,blind::A,blind,slepý
649,taub::A,døv,hluchý
650,kräftig::A,kraftig,silný
651,stark::A,stærk,silný
652,schwach::A,svag,slabý
653,schwach::A,svag,bezvládny
654,fett::A,fed,tučný
655,schlank::A,slank,štíhly
656,hübsch::A,køn,šumný
657,hübsch::A,køn,švárny
658,böse::A,ond,zlý
659,böse::A,slem,zlý
660,dumm::A,dum,hlúpy
661,faul::A,doven,lenivý
662,fleißig::A,flittig,snaživý
663,fleißig::A,flittig,usilovný
664,geizig::A,gerrig,skupý
665,geizig::A,gerrig,lakomý
666,klug::A,klog,múdry
667,klug::A,klog,bystrý
668,geschickt::A,dygtig,zručný
669,geschickt::A,dygtig,šikovný
670,geschickt::A,behændig,zručný
671,geschickt::A,behændig,šikovný
672,lieb::A,rar,milý
673,lustig::A,lystig,veselý
674,sanft::A,blid,nežný
675,hungrig::A,sulten,lačný
676,hungrig::A,sulten,hladný
677,krank::A,syg,chorý
678,krank::A,syg,nemocný
679,nackt::A,nøgen,nahý
680,traurig::A,bedrøvet,smutný
681,lebendig::A,levende,živý
682,gut::A,god,dobrý
683,schlecht::A,dårlig,zlý
684,richtig::A,rigtig,správny
685,schlimm::A,slem,zlý
686,schlimm::A,slem,nepríjemný
687,wahr::A,sand,pravý
688,wahr::A,sand,pravdivý
689,alt::A,gammel,starý
690,neu::A,ny,nový
691,ehemalig::A,forhenværende,bývalý
692,alt[Lebewesen]::A,gammel,starý
693,jung::A,ung,mladý
694,arm::A,fattig,chudobný
695,reich::A,rig,bohatý
696,bekannt::A,kendt,známy
697,berühmt::A,berømt,slávny
698,berühmt::A,berømt,povestný
699,fremd::A,fremmed,cudzí
700,verschieden::A,forskellig,rôzny
701,verschieden::A,forskellig,rozličný
702,nah::A,nær,blízky
703,fern::A,fjern,ďaleký
704,linker::A,venstre,ľavý
705,rechter::A,højre,pravý
706,anderer::A,anden,iný
707,anderer::A,anden,druhý
708,erster::A,første,prvý
709,zweiter::A,anden,druhý
710,dritter::A,tredje,tretí
711,letzter::A,sidste,ostatný
712,letzter::A,sidste,posledný
713,allein::ADV,alene,sám
714,auf einmal::ADV,på én gang,zároveň
715,zusammen::ADV,sammen,spolu
716,zusammen::ADV,sammen,spoločne
717,lange::ADV,længe,dlho
718,plötzlich::ADV,pludselig,náhle
719,sofort::ADV,straks,hneď
720,sofort::ADV,straks,ihneď
721,später::ADV,senere,neskoršie
722,jetzt::ADV,nu,teraz
723,heute::ADV,i dag,dnes
724,morgen::ADV,i morgen,zajtra
725,bald::ADV,snart,skoro
726,dann::ADV,så,nato
727,dann::ADV,så,potom
728,gestern::ADV,i går,včera
729,einst::ADV,engang,kedysi
730,einst::ADV,engang,niekedy
731,damals::ADV,dengang,vtedy
732,danach::ADV,derefter,potom
733,danach::ADV,derefter,podľa toho
734,vorher::ADV,før,napred
735,vorher::ADV,før,predtým
736,vorher::ADV,forud,napred
737,vorher::ADV,forud,predtým
738,zuerst::ADV,først,najprv
739,einmal::ADV,en gang,raz
740,einmal::ADV,en gang,jedenkrát
741,manchmal::ADV,sommetider,občas
742,manchmal::ADV,sommetider,niekedy
743,oft::ADV,ofte,často
744,immer::ADV,altid,vždy
745,immer::ADV,altid,ustavične
746,niemals::ADV,aldrig,nikdy
747,hier::ADV,her,tu
748,hierhin::ADV,hid,sem
749,hierhin::ADV,hid,tade
750,hierhin::ADV,herhen,sem
751,hierhin::ADV,herhen,tade
752,von hier::ADV,herfra,odtiaľto
753,dort::ADV,der,tam
754,dorthin::ADV,derhen,ta
755,dorthin::ADV,derhen,tam
756,geradeaus::ADV,lige ud,rovno
757,geradeaus::ADV,lige ud,priamo
758,vorwärts::ADV,fremad,napred
759,rückwärts::ADV,baglæns,nazad
760,zurück::ADV,tilbage,späť
761,zurück::ADV,tilbage,naspäť
762,unten::ADV,nede,dolu
763,unten::ADV,nede,naspodku
764,unten::ADV,forneden,dolu
765,unten::ADV,forneden,naspodku
766,hinab::ADV,ned,dolu
767,hinab::ADV,nedad,dolu
768,oben::ADV,oppe,hore
769,oben::ADV,oppe,navrchu
770,oben::ADV,ovenpå,hore
771,oben::ADV,ovenpå,navrchu
772,hinauf::ADV,op,hore
773,hinauf::ADV,op,navrch
774,hinauf::ADV,opad,hore
775,hinauf::ADV,opad,navrch
776,überall::ADV,overalt,všade
777,nicht::ADV,ikke,nie
778,ein wenig::ADV,lidt,trocha
779,kaum::ADV,knap,ledva
780,kaum::ADV,næppe,ledva
781,sehr::ADV,meget,veľmi
782,so::ADV,så,tak
783,so::ADV,så,takto
784,noch::ADV,endnu,ešte
785,nur::ADV,kun,len
786,nur::ADV,bare,len
787,schon::ADV,alt,už
788,schon::ADV,allerede,už
789,wieder::ADV,igen,zasa
790,vergebens::ADV,forgæves,márne
791,vergebens::ADV,forgæves,nadarmo
792,vor::PRP,foran,pred
793,vor::PRP,uden for,pred
794,hinter::PRP,bag,za
795,hinter::PRP,bagved,za
796,unter::PRP,under,pod
797,durch::PRP,gennem,cez
798,durch::PRP,igennem,cez
799,neben::PRP,ved siden af,pri
800,neben::PRP,ved siden af,vedľa
801,zwischen::PRP,mellem,medzi
802,wegen::PRP,på grund af,pre
803,wegen::PRP,på grund af,kvôli
804,dies::PRN,dette,to
805,dies::PRN,dette,táto
806,das::PRN,det,to
807,alles::PRN,alt,všetko
808,ich::PRN,jeg,ja
809,du::PRN,du,ty
810,er::PRN,han,on
811,wir::PRN,vi,my
812,ihr::PRN,I,vy
813,sie::PRN,de,oni
814,was::FPRN,hvad,čo
815,wer::FPRN,hvem,kto
816,wo::FADV,hvor,kde
817,wohin::FADV,hvorhen,kam
818,wie::FADV,hvordan,ako
819,warum::FADV,hvorfor,prečo
820,wieviel::FNUM,hvor meget,koľko
821,eins::NUM,én,jeden
822,zwei::NUM,to,dva
823,drei::NUM,tre,tri
824,vier::NUM,fire,štyri
825,fünf::NUM,fem,päť
826,sechs::NUM,seks,šesť
827,sieben::NUM,syv,sedem
828,acht::NUM,otte,osem
829,neun::NUM,ni,deväť
830,zehn::NUM,ti,desať
831,elf::NUM,elleve,jedenásť
832,zwölf::NUM,tolv,dvanásť
833,zwanzig::NUM,tyve,dvadsať
834,dreißig::NUM,tredive,tridsať
835,vierzig::NUM,fyrre,štyridsať
836,vierzig::NUM,fyrretyve,štyridsať
837,fünfzig::NUM,halvtreds,päťdesiat
838,sechzig::NUM,tres,šesťdesiat
839,siebzig::NUM,halvfjerds,sedemdesiat
840,achtzig::NUM,firs,osemdesiat
841,neunzig::NUM,halvfems,deväťdesiat
842,hundert::NUM,hundrede,sto
843,tausend::NUM,tusind,tisíc
844,und::CNJ,og,i
