,Concept_ID,be,ku
85,Nebel::N,туман,mij
86,Wolke::N,воблака,ewr
87,Regen::N,дождж,baran
88,Schnee::N,снег,berf
89,Eis::N,лёд,qeşa
90,Frost::N,мароз,xûsik
91,Kälte::N,холад,serma
92,Hitze::N,спёка,germayî
93,Raureif::N,іней,şext
94,Regenbogen::N,вясёлка,heftreng
95,Donner::N,гром,gire-gir
96,Strömung::N,цячэнне,şewl
97,Tropfen::N,кропля,dilop
98,Schaum::N,пена,kef
99,Schmutz::N,гразь,gemar
100,See::N,возера,gol
101,Sumpf::N,багна,hezek
102,Moor::N,балота,mafêl
103,Wiese::N,луг,sûrik
104,Wald::N,лес,çiya
105,Wald::N,лес,daristan
106,Hügel::N,узгорак,gir
107,Anhöhe::N,узвышша,sere gir
108,Berg::N,гара,kaş
109,Gipfel::N,вяршыня,sere gir
110,Höhle::N,пячора,şikeft
111,Abhang::N,схіл,kaş
112,Quelle::N,крыніца,kanî
113,Bach::N,ручай,çem
114,Fluss::N,рака,çem
115,Fluss::N,рака,rûbar
116,Ufer::N,бераг,kevî
117,Küste::N,узбярэжжа,berav
118,Festland::N,суша,bejahî
119,Meer::N,мора,behr
120,Bucht::N,бухта,derav
121,Insel::N,востраў,girav
122,Blume::N,кветка,kulînk
123,Gras::N,трава,giha
124,Wurzel::N,корань,reh
125,Baum::N,дрэва,dar
126,Stamm::N,ствол,bavik
127,Rinde::N,кара,qaqil
128,Ast::N,сук,gulî
129,Zweig::N,галіна,şax
130,Blatt::N,ліст,pel
131,Birke::N,бяроза,dara sipî
132,Kiefer[Baum]::N,хвоя,dara bî
133,Kiefer[Baum]::N,сасна,dara bî
134,Weide[Baum]::N,вярба,dara belalûk
135,Tanne::N,яліна,merx
136,Horn::N,рог,strô
137,Feder::N,пяро,pîrtîk
138,Fell::N,шкура,heyar
139,Flügel::N,крыло,per
140,Klaue::N,кіпцюр,napîk
141,Kralle::N,лапа,dinik
142,Kralle::N,лапа,dirnax
143,Schwanz::N,хвост,dûv
144,Ei::N,яйка,hêk
145,Nest::N,гняздо,hêlîn
146,Bau::N,нара,avahî
147,Tier::N,жывёла,heywan
148,Herde::N,статак,hoz
149,Kuh::N,карова,çêlek
150,Bulle::N,бык,ga
151,Pferd::N,конь,hesp
152,Schaf::N,авечка,mîh
153,Schwein::N,свіння,beraz
154,Hund::N,сабака,seh
155,Katze::N,кошка,pişîk
156,Bär::N,мядзведзь,hirç
157,Eichhörnchen::N,вавёрка,pilûr
158,Elch::N,лось,pazkovî
159,Fuchs::N,ліса,rovî
160,Hase::N,заяц,kîroşk
161,Maus::N,мыш,mişk
162,Wolf::N,воўк,gur
163,Vogel::N,птах,çûk
164,Vogel::N,птушка,çûk
165,Schwarm::N,чарада,lufik
166,Huhn::N,курыца,mirîşk
167,Hahn::N,певень,dîk
168,Gans::N,гусь,qaz
169,Adler::N,арол,eylo
170,Ente::N,качка,werdek
171,Eule::N,сава,bûm
172,Eule::N,сава,kund
173,Kranich::N,жораў,quling
174,Kranich::N,журавель,quling
175,Krähe::N,варона,qijik
176,Kuckuck::N,зязюля,pepûk
177,Schwan::N,лебедзь,qû
178,Fisch::N,рыба,masî
179,Barsch::N,акунь,okûn
180,Hecht::N,шчупак,mesîyê lûf
181,Schlange[Tier]::N,змяя,mar
182,Wurm::N,чарвяк,kurm
183,Spinne::N,павук,pîrê
184,Ameise::N,мурашка,mîro
185,Ameise::N,мурашка,gêrîk
186,Laus::N,вош,spi
187,Mücke::N,камар,mêş
188,Fliege::N,муха,mêş
189,Schmetterling::N,матыль,perperîk
190,Beere::N,ягада,hirç
191,Apfel::N,яблык,sêv
192,Pilz::N,грыб,bîrov
193,Zwiebel::N,цыбуля,pîvaz
194,Saat::N,семя,tov
195,Korn::N,зерне,dexl
196,Heu::N,сена,sap
197,Schale::N,шалупінне,qaşik
198,Grube::N,яма,çahl
199,Falle::N,пастка,dafik
200,Schlinge::N,сіло,dahf
201,Spur::N,след,rêç
202,Asche::N,попел,xweli
203,Dreck::N,бруд,gemarî
204,Eisen::N,жалеза,hesing
205,Gold::N,золата,zêr
206,Silber::N,сребра,zîv
207,Kohle::N,вугаль,komir
208,Glas::N,шкло,qedeh
209,Lehm::N,гліна,kelpîç
210,Sand::N,пясок,qûm
211,Mensch::N,чалавек,mirov
212,Mann::N,мужчына,mêr
213,Frau::N,жанчына,jin
214,Kind::N,дзіця,zarok
215,Junge::N,хлопчык,kur
216,Mädchen::N,дзяўчынка,keç
217,Mädchen::N,дзяўчынка,keçik
218,Familie::N,сямʼя,malbat
219,Großvater::N,дзядуля,bapîr
220,Großmutter::N,бабуля,pîrik
221,Eltern::N,бацькі,bavudê
222,Vater::N,бацька,bav
223,Mutter::N,маці,dê
224,Mutter::N,маці,dayik
225,Sohn::N,сын,kur
226,Tochter::N,дачка,keç
227,Bruder::N,брат,bira
228,Schwester::N,сястра,xweh
229,Onkel::N,дзядзька,am
230,Onkel::N,дзядзька,xal
231,Tante::N,цётка,metik
232,Tante::N,цётка,xaltîk
233,Ehemann::N,муж,mêr
234,Ehefrau::N,жонка,kulfet
235,Freude::N,радасць,kêfxweşî
236,Gelächter::N,смех,pîrqînî
237,Glück::N,шчасце,bext
238,Kummer::N,гора,derd
239,Wunsch::N,жаданне,daxwaz
240,Wunsch::N,жаданне,xwestek
241,Lust::N,цяга,şewq
242,Geist::N,дух,aqil
243,Gedanke::N,думка,fikir
244,Gedächtnis::N,памяць,aqil
245,Verstand::N,розум,fêm
246,Sinn::N,сэнс,aqil
247,Grund::N,зачэпка,asas
248,Wahrheit::N,праўда,rastî
249,Gespräch::N,размова,guftûgo
250,Märchen::N,казка,çirok
251,Erzählung::N,расказ,çirok
252,Erzählung::N,расказ,vegotin
253,Erzählung::N,апавяданне,çirok
254,Erzählung::N,апавяданне,vegotin
255,Nachricht::N,вестка,nûçe
256,Nachricht::N,паведамленне,nûçe
257,Neuigkeit::N,навіна,hewal
258,Name::N,імя,nav
259,Name::N,імя,paşnav
260,Rätsel::N,загадка,tiştonek
261,Rede::N,прамова,gotar
262,Rede::N,прамова,axavtin
263,Sprache::N,мова,ziman
264,Stimme::N,голас,pejn
265,Wort::N,слова,gotin
266,Zeichen::N,знак,şanek
267,Ruf::N,кліч,hawar
268,Lärm::N,шум,xarbalix
269,Laut::N,гук,deng
270,Laut::N,гук,hês
271,Ton::N,гучанне,awaz
272,Lied::N,песня,sitran
273,Ruhe::N,спакой,rihetî
274,Leute::N,людзі,xelk
275,Volk::N,народ,xelk
276,Arbeit::N,праца,xebat
277,Arbeit::N,работа,xebat
278,Gast::N,госць,mêvan
279,Geschenk::N,падарунак,diyarî
280,Spiel::N,гульня,lîstik
281,Gesellschaft::N,таварыства,komal
282,Hilfe::N,дапамога,alîkarî
283,Freund::N,друг,heval
284,Freund::N,сябар,heval
285,Kamerad::N,прыяцель,heval
286,Angelegenheit::N,справа,pirsgirêk
287,Anzahl::N,колькасць,çend
288,Art::N,від,çeh
289,Stück::N,кусок,lib
290,Stück::N,кусок,parçe
291,Stück::N,кавалак,lib
292,Stück::N,кавалак,parçe
293,Teil::N,частка,parçe
294,Hälfte::N,палова,nîvî
295,Hälfte::N,палавіна,nîvî
296,Kreis::N,круг,çemil
297,Kreuz::N,крыж,xaç
298,Linie::N,лінія,xezik
299,Strich::N,рыса,xezik
300,Abstand::N,прамежак,dûrahî
301,Entfernung::N,адлегласць,dûrahî
302,Gegend::N,мясцовасць,dever
303,Platz::N,месца,çih
304,Ort::N,месца,dever
305,Seite::N,бок,rûpel
306,Mitte::N,сярэдзіна,nav
307,Mitte::N,сярэдзіна,nabênê
308,Gegenstand::N,прадмет,tişt
309,Sache::N,рэч,tişt
310,Rand::N,край,kevî
311,Kante::N,руб,kevî
312,Kante::N,кант,kevî
313,Ecke::N,вугал,qunç
314,Spitze::N,кончык,derzî
315,Ende::N,канец,talî
316,Loch::N,дзірка,qul
317,Winkel::N,вугал,kurnîşk
318,Muster::N,узор,desen
319,Größe::N,памер,mezinî
320,Länge::N,даўжыня,dirêjahî
321,Höhe::N,вышыня,bilindayî
322,Gewicht::N,вага,giranî
323,Menge::N,колькасць,qas
324,Haufen::N,куча,lod
325,Reihe::N,рад,rêz
326,Boot::N,лодка,kelek
327,Ruder::N,вясло,bêrik
328,Schlitten::N,сані,xîjik
329,Ski::N,лыжа,lakan
330,Lagerfeuer::N,вогнішча,agir
331,Last::N,цяжар,bar
332,Gang::N,ход,fîtêz
333,Schritt::N,шаг,gav
334,Schritt::N,крок,gav
335,Norden::N,поўнач,bakur
336,Süden::N,поўдзень,başur
337,Westen::N,захад,rojava
338,Osten::N,усход,rojhilat
339,Holz::N,дрэва,dep
340,Holz::N,драўніна,dep
341,Brett::N,дошка,dep
342,Platte::N,пліта,dep
343,Stütze::N,падпорка,destek
344,Stange::N,жэрдка,sing
345,Stock::N,палка,çam
346,Stab::N,шост,qat
347,Rohr::N,труба,borî
348,Haus::N,дом,mal
349,Haus::N,дом,xanî
350,Heim::N,дом,mal
351,Heim::N,хата,mal
352,Ofen::N,печ,sobe
353,Fußboden::N,падлога,binpê
354,Tisch::N,стол,mase
355,Stuhl::N,стул,kursî
356,Stuhl::N,крэсла,kursî
357,Wiege::N,калыска,derguş
358,Bett::N,ложак,qerewêle
359,Bett::N,пасцель,qerewêle
360,Regal::N,паліца,rêbaz
361,Kiste::N,скрынка,sindoq
362,Fenster::N,акно,çam
363,Fenster::N,акно,şibeke
364,Tür::N,дзверы,derî
365,Tor::N,вароты,derge
366,Zaun::N,агароджа,hejik
367,Dach::N,дах,sere xanî
368,Leiter::N,лесвіца,pêling
369,Besen::N,мятла,melkes
370,Spaten::N,лапата,mer
371,Spaten::N,жалязняк,mer
372,Schaufel::N,шуфлік,bêr
373,Schaufel::N,лапатка,bêr
374,Gabel::N,відэлец,çetel
375,Löffel::N,лыжка,kevçî
376,Messer::N,нож,kêr
377,Nagel::N,цвік,bizmar
378,Netz::N,сетка,tor
379,Haken::N,крук,çenqel
380,Griff::N,ручка,destî
381,Schloss::N,замок,qonax
382,Bild::N,карціна,dimen
383,Figur::N,фігура,figûr
384,Puppe::N,лялька,bûk
385,Beutel::N,мяшок,kîsik
386,Bündel::N,вязка,pêçek
387,Tasche::N,торба,bêrîk
388,Eimer::N,вядро,dewl
389,Deckel::N,накрыўка,devik
390,Geschirr::N,пасуда,ferax
391,Sack::N,мех,tûr
392,Tasse::N,кубак,kada
393,Topf::N,каструля,beroş
394,Kessel::N,кацёл,şîril
395,Essen::N,ежа,xwarin
396,Nahrung::N,харч,xwarin
397,Speise::N,страва,xwarin
398,Fleisch::N,мяса,goşt
399,Getreide::N,збожжа,zad
400,Brei::N,каша,hewdêl
401,Brot::N,хлеб,
402,Scheibe::N,луста,parçe
403,Scheibe::N,скібка,parçe
404,Fett::N,тлушч,rûn
405,Butter::N,масла,rûn
406,Öl::N,алей,rûn
407,Salz::N,соль,xwe
408,Suppe::N,суп,şorbe
409,Honig::N,мёд,hingiv
410,Milch::N,малако,şîr
411,Tee::N,чай,çay
412,Tee::N,гарбата,çay
413,Leder::N,скура,çerm
414,Wolle::N,воўна,herî
415,Stoff::N,тканіна,paç
416,Nadel::N,іголка,derzî
417,Faden::N,нітка,ta
418,Knopf::N,гузік,bişkok
419,Knoten::N,вузел,girêk
420,Farbe::N,фарба,boyax
421,Kleidung::N,адзенне,çil
422,Hemd::N,кашуля,qutik
423,Hemd::N,кашуля,miltan
424,Kragen::N,каўнер,stûvang
425,Ärmel::N,рукаў,hûçik
426,Hose::N,штаны,şewel
427,Gürtel::N,пояс,qayiş
428,Mütze::N,шапка,fîno
429,Schuh::N,чаравік,şêkal
430,Stiefel::N,бот,gizme
431,Stiefel::N,бот,çizme
432,Ring::N,кольца,xelek
433,Band::N,стужка,band
434,Kamm::N,расчоска,şeh
435,Spiegel::N,люстра,eynik
436,Riemen::N,рэмень,qayiş
437,Schnur::N,вяроўка,doxin
438,Leine::N,павадок,şirît
439,Decke::N,коўдра,bataniye
440,Kissen::N,падушка,balgî
441,Tuch::N,хустка,şar
442,Handtuch::N,ручнік,dezmal
443,Kraft::N,сіла,hêz
444,Kraft::N,сіла,qewet
445,Stärke::N,моц,xurtî
446,Gesundheit::N,здароўе,nojdarî
447,Krankheit::N,хвароба,nexweşî
448,Schmerz::N,боль,êş
449,Wunde::N,рана,kul
450,Fieber::N,гарачка,ta
451,Fieber::N,ліхаманка,ta
452,Arznei::N,лекі,derman
453,Brücke::N,мост,kopî
454,Brunnen::N,калодзеж,çal
455,Brunnen::N,калодзеж,kani
456,Weide::N,паша,beyar
457,Pfad::N,сцежка,xaçirek
458,Weg::N,шлях,rê
459,Weg::N,дарога,rê
460,Straße::N,вуліца,rê
461,Dorf::N,вёска,gund
462,Stadt::N,горад,baçar
463,Brief::N,ліст,name
464,Brief::N,пісьмо,name
465,Buch::N,кніга,kitêb
466,Buch::N,кніга,pirtûk
467,Buchstabe::N,літара,herf
468,Zeitung::N,газета,rojname
469,Leben::N,жыццё,jiyan
470,Tod::N,смерць,mirin
471,Grab::N,магіла,mezel
472,Kirche::N,касцёл,gilyas
473,Kirche::N,царква,gilyas
474,Sünde::N,грэх,guneh
475,Gott::N,бог,xwedê
476,Arbeiter::N,рабочы,hîşçî
477,Chef::N,начальнік,bêg
478,Meister::N,майстар,hoste
479,Arzt::N,урач,doktor
480,Lehrer::N,настаўнік,mamoste
481,Geld::N,грошы,pere
482,Geschäft::N,заняцце,firoşgeh
483,Laden::N,крама,dikan
484,Laden::N,магазін,dikan
485,Preis::N,цана,buha
486,Ware::N,тавар,tişt
487,Nutzen::N,выгада,fêde
488,Reichtum::N,багацце,serwet
489,Welt::N,свет,dinya
490,Land::N,краіна,welat
491,Staat::N,дзяржава,dewlet
492,König::N,кароль,şah
493,König::N,кароль,qral
494,Macht::N,улада,qewet
495,Macht::N,улада,destihilat
496,Grenze::N,граніца,kevî
497,Krieg::N,вайна,çeng
498,Krieg::N,вайна,sêwaş
499,Feind::N,вораг,dijmin
500,Gewalt::N,насілле,zor
501,Kampf::N,барацьба,şer
502,Bogen[Waffe]::N,лук,kêvan
503,Pfeil::N,страла,çîrik
504,Gewehr::N,ружжо,tifing
505,Fehler::N,памылка,şaşî
506,Lüge::N,хлусня,derew
507,Schaden::N,шкода,xisar
508,Unglück::N,ліха,bêbextî
509,Unglück::N,бядота,bêbextî
510,Schuld::N,віна,suç
511,Alter::N,узрост,temen
512,Schluss::N,канец,girtin
513,Zeit::N,час,çax
514,Tag::N,дзень,roj
515,Morgen::N,ранак,sibeh
516,Morgen::N,раніца,sibeh
517,Mittag::N,паўдня,nîro
518,Mittag::N,поўдзень,nîro
519,Abend::N,вечар,êvar
520,Nacht::N,ноч,şev
521,Woche::N,тыдзень,heftî
522,Monat::N,месяц,meh
523,Jahr::N,год,sal
524,Frühling::N,вясна,bihar
525,Sommer::N,лета,havîn
526,Herbst::N,восень,payîz
527,Winter::N,зіма,zistan
528,Januar::N,студзень,çile
529,Februar::N,люты,sibat
530,März::N,сакавік,adar
531,April::N,красавік,nîsan
532,Mai::N,май,gûlan
533,Mai::N,травень,gûlan
534,Juni::N,чэрвень,hezîran
535,Juli::N,ліпень,tîmeh
536,August::N,жнівень,tebax
537,September::N,верасень,îlon
538,Oktober::N,кастрычнік,çotmeh
539,November::N,лістапад,mijdar
540,Dezember::N,снежань,kanûn
541,Montag::N,панядзелак,duşemb
542,Dienstag::N,аўторак,sêşem
543,Mittwoch::N,серада,çarşemb
544,Donnerstag::N,чацвер,pêşemb
545,Freitag::N,пятніца,în
546,Samstag::N,субота,şemî
547,Sonntag::N,нядзеля,yekşemb
548,groß::A,вялікі,mezin
549,klein::A,маленькі,çûçik
550,lang::A,доўгі,dirêj
551,kurz::A,кароткі,kin
552,breit::A,шырокі,fireh
553,schmal::A,вузкі,tenik
554,dicht::A,густы,gir
555,dick[Gegenstand]::A,тоўсты,şîşman
556,dünn::A,тонкі,zirav
557,fein::A,тонкі,tenik
558,fest::A,моцны,saxlem
559,flach::A,плоскі,pahn
560,glatt::A,гладкі,dûz
561,glatt::A,гладкі,şayîk
562,hart::A,цвёрды,hişk
563,weich::A,мяккі,nerm
564,rund::A,круглы,gilover
565,spitz::A,спічасты,pîj
566,spitz::A,востраканцовы,pîj
567,scharf::A,востры,tûj
568,stumpf::A,тупы,ne tûj
569,schwer::A,цяжкі,giran
570,schön::A,прыгожы,xweş
571,schön::A,прыгожы,xweşik
572,heiß::A,гарачы,kelandî
573,warm::A,цёплы,germ
574,kalt::A,холадны,sar
575,kühl::A,халаднаваты,jemîrî
576,frisch::A,свежы,ter
577,feucht::A,вільготны,şil
578,nass::A,мокры,şilek
579,trocken::A,сухі,zuwa
580,voll::A,поўны,tijî
581,leer::A,пусты,vala
582,offen::A,адкрыты,vekirî
583,offen::A,адчынены,vekirî
584,geschlossen::A,закрыты,asê
585,geschlossen::A,зачынены,asê
586,sauber::A,чысты,pakij
587,schmutzig::A,брудны,lewitî
588,roh::A,сыры,xav
589,reif::A,спелы,gihaştî
590,lecker::A,смачны,xweş
591,süß::A,салодкі,şîrîn
592,bitter::A,горкі,tahl
593,sauer::A,кіслы,tirş
594,hell::A,светлы,ronî
595,dunkel::A,цёмны,tarî
596,schwarz::A,чорны,reş
597,weiß::A,белы,sipî
598,rot::A,чырвоны,sor
599,gelb::A,жоўты,zer
600,blau::A,сіні,şîn
601,grün::A,зялёны,şîn
602,grau::A,шэры,gewr
603,bunt::A,пяресты,rengîn
604,billig::A,танны,erzan
605,teuer::A,дарагі,biha
606,wertvoll::A,цэнны,hêja
607,wertvoll::A,цэнны,giranbiha
608,wertvoll::A,каштоўны,hêja
609,wertvoll::A,каштоўны,giranbiha
610,blind::A,сляпы,kor
611,taub::A,глухі,kerr
612,kräftig::A,магутны,gir
613,kräftig::A,магутны,xurt
614,stark::A,сільны,xurt
615,schwach::A,слабы,kesad
616,fett::A,тлусты,qelew
617,schlank::A,стройны,zirav
618,hübsch::A,чароўны,xweşik
619,böse::A,злы,xerab
620,böse::A,злы,aciz
621,dumm::A,дурны,gêj
622,faul::A,лянівы,têmbêl
623,fleißig::A,руплівы,jêhatî
624,geizig::A,прагны,destgirtî
625,klug::A,разумны,baqil
626,geschickt::A,умелы,zîrek
627,geschickt::A,умелы,ziring
628,lieb::A,мілы,delal
629,lustig::A,вясёлы,kêfxweş
630,sanft::A,ласкавы,nazenîn
631,hungrig::A,галодны,birçî
632,krank::A,хворы,nexweş
633,nackt::A,голы,rût
634,nackt::A,голы,tazî
635,traurig::A,сумны,xemgîn
636,lebendig::A,жывы,bisaxî
637,gut::A,добры,baş
638,schlecht::A,кепскі,xerab
639,richtig::A,правільны,rast
640,richtig::A,правільны,saxlem
641,schlimm::A,агідны,nebaş
642,wahr::A,сапраўдны,rast
643,alt::A,стары,pîr
644,alt::A,стары,kevn
645,neu::A,новы,nû
646,ehemalig::A,былы,kevnar
647,ehemalig::A,былы,peşidar
648,alt[Lebewesen]::A,стары,pîr
649,jung::A,малады,xort
650,arm::A,бедны,feqîr
651,arm::A,бедны,desteng
652,reich::A,багаты,dewlemend
653,bekannt::A,знаёмы,naskirî
654,berühmt::A,славуты,navdar
655,fremd::A,чужы,xerîb
656,verschieden::A,розны,çîhê
657,nah::A,блізкі,nêzîk
658,fern::A,далёкі,dûr
659,linker::A,левы,çepê
660,rechter::A,правы,rastê
661,anderer::A,іншы,yê din
662,anderer::A,другі,yê din
663,erster::A,першы,yekemîn
664,zweiter::A,другі,duda
665,dritter::A,трэці,sisêya
666,letzter::A,апошні,paşîn
667,allein::ADV,сам,tenê
668,allein::ADV,адзін,tenê
669,auf einmal::ADV,адразу,jar kê
670,zusammen::ADV,разам,tev
671,zusammen::ADV,разам,bi hev re
672,lange::ADV,доўга,dirêj
673,plötzlich::ADV,раптам,ji nişkave
674,sofort::ADV,зараз,yekser
675,später::ADV,пазней,paşiyê
676,jetzt::ADV,цяпер,nuha
677,heute::ADV,сёння,îro
678,morgen::ADV,заўтра,sibeh
679,bald::ADV,хутка,nêzîk
680,bald::ADV,неўзабаве,nêzîk
681,dann::ADV,потым,paşê
682,gestern::ADV,учора,do
683,einst::ADV,аднойчы,jar ke
684,damals::ADV,тады,hîngî
685,danach::ADV,затым,piştra
686,vorher::ADV,раней,pîşî
687,zuerst::ADV,спярша,bere
688,zuerst::ADV,спачатку,bere
689,einmal::ADV,адзін раз,çarik
690,manchmal::ADV,часам,çarna
691,oft::ADV,часта,gelek çaran
692,immer::ADV,заўсёды,daîm
693,niemals::ADV,ніколі,tu çar
694,hier::ADV,тут,li vir
695,hierhin::ADV,сюды,vir
696,von hier::ADV,адсюль,ji vir
697,von hier::ADV,адгэтуль,ji vir
698,dort::ADV,там,li wê derê
699,dorthin::ADV,туды,wêda
700,geradeaus::ADV,прама,rastê rast
701,vorwärts::ADV,наперад,ber bi pêş
702,rückwärts::ADV,назад,paşpê
703,zurück::ADV,назад,paşdo
704,zurück::ADV,назад,paşvê
705,unten::ADV,унізе,jêrî
706,hinab::ADV,уніз,berjêr
707,oben::ADV,угары,banî
708,oben::ADV,наверсе,banî
709,hinauf::ADV,угару,banî
710,überall::ADV,усюды,li her derê
711,nicht::ADV,не,ne
712,nicht::ADV,не,nîn
713,nicht::ADV,не,tine
714,ein wenig::ADV,трошкі,hebkî
715,kaum::ADV,ледзьве,tema
716,kaum::ADV,ледзьве,himangi
717,sehr::ADV,вельмі,gelek
718,so::ADV,так,weha
719,noch::ADV,яшчэ,hêj
720,noch::ADV,яшчэ,dîsa
721,nur::ADV,толькі,tenê
722,nur::ADV,толькі,bes
723,schon::ADV,ужо,hew
724,wieder::ADV,зноў,jar din
725,wieder::ADV,зноў,dîsa
726,vergebens::ADV,дарма,deya çun
727,vergebens::ADV,дарма,îfleh bûn
728,vergebens::ADV,дарэмна,deya çun
729,vergebens::ADV,дарэмна,îfleh bûn
730,vor::PRP,перад,li ber
731,hinter::PRP,за,li pişt
732,hinter::PRP,ззаду,li pişt
733,unter::PRP,пад,li bin
734,durch::PRP,праз,kura
735,neben::PRP,каля,li ba
736,zwischen::PRP,між,nabeyne
737,zwischen::PRP,між,di nav...da
738,zwischen::PRP,паміж,nabeyne
739,zwischen::PRP,паміж,di nav...da
740,wegen::PRP,з-за,ji bo
741,wegen::PRP,з-за,ji ber
742,dies::PRN,гэта,ev
743,das::PRN,тое,ev
744,alles::PRN,усё,hemû
745,ich::PRN,я,ez
746,du::PRN,ты,tu
747,er::PRN,ён,wî
748,wir::PRN,мы,êm
749,ihr::PRN,вы,hûn
750,sie::PRN,яны,we
751,was::FPRN,што,çi
752,wer::FPRN,хто,ki
753,wo::FADV,дзе,li ku dere
754,wohin::FADV,куды,li ku dere
755,wie::FADV,як,çawa
756,warum::FADV,чаму,çima
757,wieviel::FNUM,колькі,çend
758,eins::NUM,адзін,yek
759,zwei::NUM,два,didu
760,drei::NUM,тры,sisê
761,vier::NUM,чатыры,çar
762,fünf::NUM,пяць,penç
763,sechs::NUM,шесць,şeş
764,sieben::NUM,сем,heft
765,acht::NUM,восем,heşt
766,neun::NUM,дзевяць,neh
767,zehn::NUM,дзесяць,deh
768,elf::NUM,адзінаццаць,yazdeh
769,zwölf::NUM,дванаццаць,diwazdeh
770,zwanzig::NUM,дваццаць,bîst
771,dreißig::NUM,трыццаць,sih
772,vierzig::NUM,сорак,çil
773,fünfzig::NUM,пядзесят,pençi
774,sechzig::NUM,шесдзесят,şêst
775,siebzig::NUM,семдзесят,heftê
776,achtzig::NUM,восемдзесят,heştê
777,neunzig::NUM,дзевяноста,nod
778,hundert::NUM,сто,sêd
779,tausend::NUM,тысяча,hezar
780,und::CNJ,і,û
781,und::CNJ,ды,û
782,oder::CNJ,або,an
783,oder::CNJ,або,yan
784,stehen::V,стаяць,sekinîn
785,sitzen::V,сядзець,rûniştin
786,liegen::V,ляжаць,paldan
787,hängen::V,вісець,darve kirin
788,werden::V,стаць,bûn
789,werden::V,зрабіцца,bûn
790,passieren::V,трапіцца,hatin holê
791,passieren::V,трапіцца,hatin serê kesî
792,beginnen::V,пачацца,li dest pêkirin
793,enden::V,кончыцца,xalas bû
794,wechseln::V,мяняцца,guherandin
795,wechseln::V,мяняцца,dêgiş kirin
796,aufgehen[Sonne]::V,узысці,hilatin
797,untergehen[Sonne]::V,зайсці,çun ava
798,scheinen[Sonne]::V,свяціць,şewk de
799,donnern::V,грымець,gire-gir
800,wehen::V,дзьмуць,ba le de
801,strömen::V,ліцца,xwe girtin
802,fließen::V,цячы,herikîn
803,sich drehen::V,круціцца,xwe zivirandin
804,sich drehen::V,варочацца,xwe zivirandin
805,schwanken::V,хістацца,hejandin
806,schwingen::V,гайдацца,libakirin
807,schwingen::V,калыхацца,libakirin
808,fallen::V,падаць,ketin
809,brennen::V,гарэць,şewitîn
810,rauchen::V,дымець,kişandin
811,regnen::V,дажджыць,bahran tê
