,Concept_ID,mrj,ba
66,Welle::N,коэ,тулҡын
67,Wasser::N,вӹд,һыу
68,Stein::N,кӱ,таш
69,Boden::N,рок,тупраҡ
70,Erde::N,свет,балсҡ
71,Staub::N,пырак,туҙан
72,Rauch::N,шӹкш,төтөн
73,Funke::N,ип,осҡон
74,Funke::N,тылип,осҡон
75,Feuer::N,тыл,ут
76,Licht::N,соты,яҡтылыҡ
77,Licht::N,валгыды,яҡтылыҡ
78,Schatten::N,ӹмӹл,күләгә
79,Wetter::N,игечӹ,һауа торошо
80,Nebel::N,тӹтӹрӓ,төман
81,Wolke::N,пӹл,болот
82,Regen::N,юр,ямғыр
83,Schnee::N,лым,ҡар
84,Eis::N,и,боҙ
85,Frost::N,ӱштӹ,һалҡын
86,Kälte::N,ӱштӹ,һыуыҡ
87,Hitze::N,шокшы,томра
88,Hitze::N,шокшы,эҫелек
89,Raureif::N,пöрш,ҡырау
90,Regenbogen::N,шанавӹл,йәйғор
91,Donner::N,хӹдӹртӹш,күк күкрәү
92,Strömung::N,йогы,ағым
93,Tropfen::N,капльы,тамсы
94,Tropfen::N,капльык,тамсы
95,Schaum::N,шонг,күбек
96,Schmutz::N,лявӹрӓ,батҡаҡ
97,See::N,йӓр,күл
98,Sumpf::N,лӱкӹ,һаҙлык
99,Moor::N,куп,һаҙ
100,Wiese::N,алык,болон
101,Wald::N,шӹргӹ,урман
102,Hügel::N,пӱгӹрикӓ,түбә
103,Anhöhe::N,кӱкшикӓ,түбә
104,Anhöhe::N,кӱкшикӓ,ҡалҡыулыҡ
105,Berg::N,кырык,тау
106,Gipfel::N,неркӓ,түбә
107,Höhle::N,ы́раж,мәмерйә
108,Abhang::N,полом,ипкен
109,Quelle::N,вӹдсӹнзӓ,шишмә
110,Bach::N,ӓнгӹр,шишмә
111,Fluss::N,вӹд,йылға
112,Ufer::N,сир,яр
113,Küste::N,сир,яр буйы
114,Festland::N,мӱлӓндӹ,ҡоро ер
115,Meer::N,тангыж,диңгез
116,Bucht::N,вӹдъял,бухта
117,Insel::N,острок,үтрау
118,Blume::N,пеледӹш,сәскә
119,Gras::N,шуды,үлән
120,Wurzel::N,важ,тамыр
121,Baum::N,пушӓнгӹ,ағас
122,Stamm::N,пушӓнгӹ тӹнг,олон
123,Stamm::N,пушӓнгӹ тӹнг,көбәк
124,Rinde::N,каргыж,ҡабыҡ
125,Ast::N,укш,ботаҡ
126,Zweig::N,укш,ботаҡ
127,Zweig::N,укш,тармаҡ
128,Blatt::N,листӹ,япраҡ
129,Birke::N,куги,ҡайын
130,Kiefer[Baum]::N,йӓктӹ,ҡарғай
131,Weide[Baum]::N,уа,тал
132,Tanne::N,кож,шыршы
133,Horn::N,шур,мөғөҙ
134,Feder::N,пын,ҡауырһын
135,Fell::N,кавашты,тире
136,Flügel::N,шылдыр,ҡанат
137,Klaue::N,кӹч,тырнаҡ
138,Kralle::N,лапа,аяҡ
139,Schwanz::N,пач,ҡойроҡ
140,Ei::N,мыны,йомортҡа
141,Nest::N,пӹжӓш,оя
142,Bau::N,ыраж,оң
143,Tier::N,во́льык,жайуан
144,Tier::N,во́льык,йыртҡыс
145,Herde::N,кӹтö,көтөү
146,Kuh::N,ышкал,һыйыр
147,Bulle::N,ӱшкӱж,үгеҙ
148,Pferd::N,имни,ат
149,Schaf::N,шарык,һарыҡ
150,Schwein::N,сасна,сусҡа
151,Hund::N,пи,эт
152,Katze::N,коти,бесәй
153,Bär::N,мöскӓ,айыу
154,Eichhörnchen::N,ур,тейен
155,Elch::N,шарды,мышы
156,Fuchs::N,рӹвӹж,төлкө
157,Hase::N,морен,ҡуян
158,Maus::N,каля,сысҡан
159,Wolf::N,пирӹ,бүре
160,Vogel::N,кек,ҡош
161,Schwarm::N,цуца,көтөү
162,Huhn::N,цӹвӹ,тауыҡ
163,Hahn::N,ӓптӓн,әтәс
164,Gans::N,комбы,ҡаҙ
165,Adler::N,кучкыж,бөркөт
166,Ente::N,лыды,өйрәк
167,Eule::N,тымана,өкө
168,Eule::N,тымана,ябалаҡ
169,Kranich::N,тырня,торна
170,Kranich::N,тыртня,торна
171,Krähe::N,лудыгарак,ҡарға
172,Kuckuck::N,куку,кәкүк
173,Schwan::N,йӱксӹ,аҡҡош
174,Fisch::N,кол,балыҡ
175,Barsch::N,алангы,алабуға
176,Hecht::N,нуж,суртан
177,Hecht::N,нужгол,суртан
178,Schlange[Tier]::N,кӹшкы,йылан
179,Wurm::N,шукш,селяүсен
180,Spinne::N,ӓнгӹремшӹ,үрмәксе
181,Ameise::N,кыткы,ҡырмыҫҡа
182,Laus::N,ти,бет
183,Mücke::N,кужнер,серәкәй
184,Mücke::N,кужынер,серәкәй
185,Fliege::N,шӹнгӓ,себен
186,Schmetterling::N,лӹпӹ,күбәләк
187,Beere::N,мöр,еләк
188,Apfel::N,олма,алма
189,Pilz::N,понгы,бәшмәк
190,Zwiebel::N,охыра,һуган
191,Saat::N,нӱшмӹ,орлоҡ
192,Saat::N,нӱшмӱ,орлоҡ
193,Korn::N,пӹрцӹ,иген
194,Heu::N,шуды,бесән
195,Schale::N,аваха,ҡабыҡ
196,Schale::N,карлангы,ҡабыҡ
197,Grube::N,йӓм,соҡор
198,Falle::N,лӱдӹ,тоҙак
199,Falle::N,лӱдӹ,ҡапҡан
200,Falle::N,лӱдӹш,тоҙак
201,Falle::N,лӱдӹш,ҡапҡан
202,Schlinge::N,онгы,тоҙак
203,Spur::N,кишӓ,әҫер
204,Asche::N,ломых,көл
205,Asche::N,ломпыж,көл
206,Dreck::N,лявӹрӓ,батҡаҡ
207,Eisen::N,кӹртни,тимер
208,Gold::N,шöртни,алтын
209,Gold::N,шöртньӹ,алтын
210,Silber::N,ши,көмөш
211,Kohle::N,шӱ,күмер
212,Glas::N,охоница,быяла
213,Lehm::N,шун,балсыҡ
214,Sand::N,ошма,ҡом
215,Mensch::N,эдем,кеше
216,Mann::N,пӱэргӹ,ир
217,Frau::N,ӹдӹрӓмӓш,ҡатын
218,Kind::N,ӓзӓ,бала
219,Kind::N,шачшы,бала
220,Junge::N,рвезӹ,малай
221,Junge::N,ӹрвезӹ,малай
222,Mädchen::N,ӹдӹрӓш,ҡыҙ
223,Mädchen::N,ӹдӹрӓш,ҡыҙыҡай
224,Familie::N,йиш,ғаилә
225,Familie::N,семня,ғаилә
226,Großvater::N,тьоти,олатай
227,Großmutter::N,папа,әбәй
228,Eltern::N,ӓтя-ӓвӓ,ата-әсә
229,Vater::N,ӓтя,атай
230,Mutter::N,ӓвӓ,әсә
231,Sohn::N,эргӹ,ул
232,Tochter::N,ӹдӹр,ҡыҙ
233,Bruder::N,ӹза,агай
234,Schwester::N,ӓкӓ,алай
235,Schwester::N,ӓкӓ,һеңле
236,Onkel::N,кугуза,ағай
237,Tante::N,куака,апай
238,Ehemann::N,мары,ир
239,Ehefrau::N,вӓтӹ,ҡатын
240,Freude::N,ӹвӹртӹмӓш,шатлыҡ
241,Freude::N,ӹвӹртӹмӓш,ҡыуаныс
242,Gelächter::N,ваштылмаш,көлөү
243,Glück::N,пиӓл,бәхет
244,Kummer::N,ясы,ҡайғы
245,Wunsch::N,охата,теләк
246,Wunsch::N,шанымаш,теләк
247,Lust::N,шӓр,әүәҫлек
248,Lust::N,охата,әүәҫлек
249,Lust::N,шанымаш,әүәҫлек
250,Geist::N,тух,аң
251,Geist::N,тух,рух
252,Gedanke::N,шанымаш,уй
253,Gedanke::N,шанымаш,фекер
254,Gedächtnis::N,ӓш,хәтер
255,Verstand::N,ыш,аҡыл
256,Sinn::N,кын,мәғәня
257,Grund::N,вир,сәбәп
258,Wahrheit::N,тöр,дөрөҫлөк
259,Gespräch::N,хытырымаш,әңгәмә
260,Märchen::N,ямак,әкиәт
261,Erzählung::N,шайыштмаш,хикәйә
262,Nachricht::N,увертӓрӹмӓш,хәбәр
263,Neuigkeit::N,увер,яңылыҡ
264,Name::N,лӹм,исем
265,Rätsel::N,тышты,йомаҡ
266,Rede::N,шая,телмәр
267,Rede::N,шамак,телмәр
268,Sprache::N,йӹлмӹ,тел
269,Sprache::N,йӹлмӹ,телмәр
270,Stimme::N,юк,тауыш
271,Wort::N,шамак,һүҙ
272,Zeichen::N,палӹ,билдә
273,Ruf::N,сӹгӹрӹмӓш,саҡырыу
274,Lärm::N,юкланымащ,шаулау
275,Laut::N,юк,тауыш
276,Ton::N,юк,яңғырау
277,Lied::N,мыры,йыр
278,Ruhe::N,тыр,ял
279,Ruhe::N,тыр,тыныслыҡ
280,Leute::N,эдемвлӓ,кешеләр
281,Volk::N,халык,халҡ
282,Arbeit::N,пӓшӓ,эш
283,Gast::N,хына,ҡунаҡ
284,Geschenk::N,подарка,бүләк
285,Spiel::N,мадыш,уйын
286,Gesellschaft::N,йӓл,йәмғиәт
287,Gesellschaft::N,йӓлвлӓ,йәмғиәт
288,Hilfe::N,палшык,ярҙам
289,Freund::N,тӓнг,дуҫ
290,Kamerad::N,тос,иптәш
291,Angelegenheit::N,дела,әш
292,Angelegenheit::N,йела,әш
293,Angelegenheit::N,йыла,әш
294,Angelegenheit::N,пӓшӓ,әш
295,Anzahl::N,шот,һан
296,Art::N,цӹре,төр
297,Stück::N,лаштык,киҫәк
298,Teil::N,пай,өлөш
299,Teil::N,часть,өлөш
300,Hälfte::N,пел,ярты
301,Kreis::N,тӹртӹш,түңәрәк
302,Kreuz::N,крестӹ,тәре
303,Abstand::N,ло,ара
304,Entfernung::N,ло,алыҫлыҡ
305,Gegend::N,вӓр,урын
306,Platz::N,вӓр,арауыҡ
307,Ort::N,вӓр,ерҙәр
308,Ort::N,вӓр,урындар
309,Ort::N,вӓр,эш урыны
310,Seite::N,öрдӹж,яҡ
311,Mitte::N,ло,урталыҡ
312,Gegenstand::N,хӓдӹр,нәмә
313,Sache::N,хӓдӹр,нәмә
314,Sache::N,хӓдӹр,әйбер
315,Rand::N,шöр,сит
316,Kante::N,шöр,ҡабырға
317,Kante::N,шöр,ян
318,Ecke::N,лык,мөйөш
319,Spitze::N,вуй,ос
320,Ende::N,вуй,аҙаҡ
321,Ende::N,мычаш,аҙаҡ
322,Loch::N,ыраж,тишек
323,Winkel::N,лык,мөйөш
324,Muster::N,тӹрлец,биҙәк
325,Größe::N,кӱкшӹц,ҙурлыҡ
326,Länge::N,кыт,оҙонлоҡ
327,Höhe::N,кӱкшӹц,бейеклек
328,Gewicht::N,нелӹц,үлсәү
329,Menge::N,шот,һан
330,Haufen::N,ара,өйөм
331,Reihe::N,ряд,рәт
332,Boot::N,пыш,кәмә
333,Ruder::N,вешлӓ,ишкәк
334,Schlitten::N,тир,сана
335,Ski::N,ечӹ,саңгы
336,Lagerfeuer::N,тыл,костер
337,Last::N,нелӹц,ауырлыҡ
338,Gang::N,ход,барыу
339,Schritt::N,ашкыл,аҙым
340,Norden::N,йыдпелвел,төньяҡ
341,Süden::N,кечӹвӓлвел,көньяҡ
342,Westen::N,кечӹ шӹцмӹ,көнбайыш
343,Osten::N,ирвел,көнсығыш
344,Osten::N,кечӹ лӱлтмӹ,көнсығыш
345,Holz::N,пушӓнгӹ,үағас
346,Brett::N,ханга,таҡта
347,Platte::N,плитӓ,плита
348,Stütze::N,цӓрӓк,терәк
349,Stange::N,равы,кәртә
350,Stange::N,намаш,кәртә
351,Stock::N,панды,таяҡ
352,Stab::N,равы,ҡолға
353,Rohr::N,пыч,торба
354,Haus::N,пöрт,өй
355,Haus::N,пöрт,йорт
356,Heim::N,пöрт,өй
357,Ofen::N,камака,мейес
358,Fußboden::N,седӹрӓ,енес
359,Tisch::N,стöл,өҫтәл
360,Stuhl::N,пöкен,ултырғыс
361,Wiege::N,шипкӓ,бишек
362,Bett::N,койка,карауат
363,Bett::N,кравать,карауат
364,Regal::N,полицӓ,кәштә
365,Kiste::N,шӱ́ндӹк,йәшинк
366,Fenster::N,окня,тәҙрә
367,Tür::N,амаса,ишек
368,Tor::N,хапка,ҡапҡа
369,Zaun::N,забор,ҡойма
370,Dach::N,левӓш,түбә
371,Dach::N,левӓш,ҡыйыҡ
372,Leiter::N,ташкалтыш,баҫҡыс
373,Besen::N,сало,һепертке
374,Besen::N,салко,һепертке
375,Spaten::N,кольмы,көрәк
376,Schaufel::N,лоток,көрәк
377,Gabel::N,ви́лка,сәнске
378,Löffel::N,савала,ҡалаҡ
379,Messer::N,кӹзӹ,бысаҡ
380,Nagel::N,пыда,сөй
381,Netz::N,вӓпш,ау
382,Haken::N,крӱк,ыргаҡ
383,Haken::N,кагак,ыргаҡ
384,Griff::N,кычем,тотҡа
385,Schloss::N,замок,йоҙаҡ
386,Schloss::N,сыравач,йоҙаҡ
387,Bild::N,картин,картина
388,Figur::N,кӓн,һын
389,Puppe::N,поханя,ҡурсаҡ
390,Beutel::N,мешӓк,тоҡ
391,Bündel::N,топ,төргәк
392,Bündel::N,пидӹш,төргәк
393,Bündel::N,кӹлдӹш,төргәк
394,Tasche::N,сумкы,сумка
395,Eimer::N,ведӹрӓ,биҙрә
396,Deckel::N,комдыш,ҡапҡас
397,Geschirr::N,ӓтӹ,һауыт-һаба
398,Sack::N,мешӓк,тоҡ
399,Tasse::N,цӓшкӓ,сынаяҡ
400,Topf::N,ми́ска,кәстрүл
401,Kessel::N,пад,ҡаҙан
402,Essen::N,качкыш,ашау
403,Essen::N,качкыш-йӱш,ашау
404,Nahrung::N,качкыш,аҙыҡ
405,Nahrung::N,качкыш-йӱш,аҙыҡ
406,Speise::N,няня,аш
407,Fleisch::N,пай,ит
408,Getreide::N,киндӹ,иген
409,Getreide::N,киндӹ,ашлыҡ
410,Brei::N,шӹрӓш,бутҡа
411,Brot::N,сыкыр,икмәк
412,Scheibe::N,ламыт,телем
413,Scheibe::N,лаштык,телем
414,Fett::N,кая,май
415,Butter::N,ӱ,май
416,Öl::N,ӱ,май буяуы
417,Salz::N,санзал,тоҙ
418,Suppe::N,лем,һурпа
419,Honig::N,мӱ,бал
420,Milch::N,шӹшер,һөт
421,Tee::N,чӓй,сәй
422,Leder::N,шарга,күн
423,Leder::N,кавашты,күн
424,Wolle::N,миж,йөн
425,Stoff::N,матер,туҡыма
426,Stoff::N,матери,туҡыма
427,Nadel::N,им,энә
428,Faden::N,шӹртӹ,еп
429,Knopf::N,полдыш,төймә
430,Knoten::N,пӱкшем,төйөн
431,Farbe::N,чиӓ,буяу
432,Farbe::N,крӓскӓ,буяу
433,Kleidung::N,выргем,кейем
434,Hemd::N,тыгыр,күлдәк
435,Kragen::N,шӱ,яға
436,Ärmel::N,шокш,ең
437,Hose::N,ялаш,салбар
438,Gürtel::N,ӹштӹ,ҡайыш
439,Mütze::N,упш,бүрк
440,Schuh::N,ту́фльы,туфли
441,Stiefel::N,кем,итек
442,Ring::N,шӓргӓш,йөҙөк
443,Ring::N,шӓргӓш,балдаҡ
444,Band::N,лемтӓ,таҫма
445,Kamm::N,шерге,тараҡ
446,Spiegel::N,тӹгӹр,көзгө
447,Riemen::N,прӓжӓ,ҡайыш
448,Schnur::N,кӓндӹра,бау
449,Leine::N,керем,бау
450,Decke::N,одеял,одеяд
451,Kissen::N,кӹпцӹк,мендәр
452,Tuch::N,савыц,яулыҡ
453,Handtuch::N,шӹргӹсавыц,таҫтамал
454,Handtuch::N,шӹргӹмсавыц,таҫтамал
455,Kraft::N,ви,көс
456,Stärke::N,ви,көс
457,Gesundheit::N,шу,һаулыҡ
458,Gesundheit::N,шулык,һаулыҡ
459,Krankheit::N,мыж,сир
460,Krankheit::N,мыж,ауырыу
461,Schmerz::N,карштыш,һыҙлау
462,Schmerz::N,карштыш,әрнеү
463,Wunde::N,шушыр,йәрәхәт
464,Fieber::N,ӱштӹмыж,тапма
465,Fieber::N,ӱштӹмыж,биҙгәк
466,Arznei::N,лекӓрцӹ,дарыу
467,Brücke::N,кӹвер,күпер
468,Brunnen::N,вӹдсӹнзӓ,ҡоҙоҡ
469,Weide::N,ныр,көтөүлек
470,Pfad::N,ялгорны,һуҡмаҡ
471,Weg::N,корны,юл
472,Straße::N,корны,урам
473,Dorf::N,сола,ауыл
474,Stadt::N,города,ҡала
475,Brief::N,сирмӓш,хат
476,Buch::N,книгӓ,китап
477,Buch::N,книгӓ,кенәгә
478,Buchstabe::N,буква́,хәреф
479,Zeitung::N,газет,гәзит
480,Zeitung::N,кайзет,гәзит
481,Leben::N,житя,йәшәү
482,Tod::N,смöрт,үлем
483,Grab::N,шӹгер,ҡәбер
484,Grab::N,мыгилӓ,ҡәбер
485,Grab::N,шӹгерлӓ,ҡәбер
486,Kirche::N,церкӹ,сиркәү
487,Sünde::N,сулык,гөнаһ
488,Gott::N,йымы,алла
489,Gott::N,йымы,хоҙай
490,Arbeiter::N,пӓшӓзӹ,эшсе
491,Chef::N,вуй,башлыҡ
492,Meister::N,мастар,оҫта
493,Arzt::N,доктор,врач
494,Lehrer::N,тымдышы,уҡытыусы
495,Geld::N,окса,аҡса
496,Geschäft::N,торге́йӹмӓш,эш
497,Laden::N,лапка,магазин
498,Laden::N,магазин,магазин
499,Preis::N,ӓк,хаҡ
500,Ware::N,товар,тауар
501,Nutzen::N,пайда,файҙа
502,Reichtum::N,перке,байлыҡ
503,Welt::N,сӓндӓлӹк,донъя
504,Welt::N,свет,донъя
505,Land::N,сӓндӓлӹк,ил
506,Staat::N,кугижӓншӹ,дәүләт
507,König::N,король,король
508,Macht::N,власть,власть
509,Grenze::N,пӹсмӓн,сик
510,Krieg::N,вырсы,һуғыш
511,Feind::N,тышман,йылан
512,Gewalt::N,ви,көслөк
513,Kampf::N,кредӓлмӓш,көрәш
514,Bogen[Waffe]::N,янгеж,йәйә
515,Pfeil::N,пикш,уҡ
516,Gewehr::N,пичӓл,мылтыҡ
517,Fehler::N,самынь,хата
518,Lüge::N,шая,ялған
519,Schaden::N,вре́дӓ,зыян
520,Schaden::N,вре́дӓ,зарар
521,Unglück::N,пёда,ҡаза
522,Unglück::N,тымаша,ҡаза
523,Schuld::N,вуйнамат,ғәйеп
524,Alter::N,иӓш,йәш
525,Alter::N,игечӹ,йәш
526,Schluss::N,пӹтӓртӹш,һуң
527,Schluss::N,пӹтӓртӹш,аҙаҡ
528,Zeit::N,веремӓ,мәл
529,Zeit::N,веремӓ,заман
530,Tag::N,кечӹ,көн
531,Morgen::N,ир,иртә
532,Morgen::N,ир,иртәнсәк
533,Morgen::N,ирок,иртә
534,Morgen::N,ирок,иртәнсәк
535,Mittag::N,кечӹвӓл,төш
536,Abend::N,вады,кис
537,Nacht::N,йыд,төн
538,Woche::N,ӓрня,аҙна
539,Monat::N,тӹ́лзӹ,ай
540,Jahr::N,год,йыл
541,Frühling::N,шошым,яҙ
542,Sommer::N,кӓнгӹж,йәй
543,Herbst::N,шӹжӹ,көз
544,Winter::N,тел,ҡыш
545,Winter::N,телӹ,ҡыш
546,Januar::N,январ,ғинуар
547,Januar::N,январь,ғинуар
548,Februar::N,февраль,февраль
549,März::N,март,март
550,April::N,апрель,апрель
551,Mai::N,май,май
552,Juni::N,июнь,июнь
553,Juli::N,июль,июль
554,August::N,август,август
555,September::N,сентябрь,сентябрь
556,Oktober::N,октябрь,октябрь
557,November::N,ноябрь,ноябрь
558,Dezember::N,декавыр,декабрь
559,Montag::N,шачмы,дүшәмбе
560,Dienstag::N,кышкыжмы,шишәмбе
561,Mittwoch::N,вӹрчегӹ,шаршамбы
562,Donnerstag::N,изӓрня,кесаҙна
563,Freitag::N,когарня,йома
564,Samstag::N,кукшыгечӹ,шәмбе
565,Sonntag::N,рушӓрня,йәкшәмбе
566,groß::A,кого,ҙур
567,klein::A,изи,бәләкәс
568,lang::A,кужы,оҙон
569,kurz::A,кӹтӹк,ҡыҫҡа
570,breit::A,кымда,киң
571,schmal::A,ӓнгӹсӹр,тар
572,dicht::A,шӹре,йыш
573,dicht::A,шӹре,ҡуйы
574,dick[Gegenstand]::A,кӹжгӹ,ҡалын
575,dünn::A,вӹцкӹж,йоҡа
576,dünn::A,вӹцкӹж,нәҙек
577,fein::A,пыльга,нескә
578,fest::A,цаткыды,ныҡ
579,flach::A,тӓлякӓ,яҫы
580,flach::A,тӓлякӓ,ялпаҡ
581,glatt::A,ягылгы,шыма
582,hart::A,пингӹдӹ,ҡаты
583,weich::A,пышкыды,йомшаҡ
584,rund::A,тӹртӹш,түңәрәк
585,spitz::A,кашар,осло түбәле
586,scharf::A,кашар,үткер
587,stumpf::A,нӹшкӹ,утмәҫ
588,schwer::A,нелӹ,ауыр
589,schön::A,цевер,матур
590,schön::A,олмыдшы,матур
591,heiß::A,шокшы,эҫе
592,warm::A,шокшы,йылы
593,kalt::A,ӱштӹ,һыуыҡ
594,kühl::A,юалгы,һалҡынса
595,kühl::A,йонгата,һалҡынса
596,frisch::A,йонгата,һалҡынса
597,feucht::A,ӹлӹкшӹ,еүеш
598,feucht::A,ӹлӹкшӹ,дымлы
599,feucht::A,вӹдӹжгӹ,еүеш
600,feucht::A,вӹдӹжгӹ,дымлы
601,nass::A,начкы,еүеш
602,trocken::A,кукшы,кипкән
603,voll::A,темшӹ,тулы
604,voll::A,темыман,тулы
605,leer::A,йӓрӓ,буш
606,offen::A,виш,асыҡ
607,geschlossen::A,чӱчмӹ,ябыҡ
608,geschlossen::A,тӹкӹлӓлтшӹ,ябыҡ
609,sauber::A,ире,таҙа
610,schmutzig::A,шоран,бысраҡ
611,schmutzig::A,лявӹрӓн,бысраҡ
612,schmutzig::A,шорангшы,бысраҡ
613,roh::A,пеле кӱшӹ,сей
614,reif::A,кӱшӹ,өлгөрғән
615,lecker::A,тотан,тәмле
616,süß::A,мӱӓн,тямле
617,süß::A,мӱӓн,тәм-том
618,bitter::A,качы,әсе
619,sauer::A,шапы,әсе
620,hell::A,соты,яҡты
621,hell::A,валгыды,яҡты
622,dunkel::A,пӹц,ҡараңғы
623,dunkel::A,пӹцкемӹш,ҡараңғы
624,schwarz::A,шим,ҡара
625,weiß::A,ош,аҡ
626,weiß::A,ошы,аҡ
627,rot::A,якшаргы,матур
628,rot::A,якшаргы,һылыу
629,rot::A,якшаргы,сибәр
630,gelb::A,сар,һары
631,gelb::A,сары,һары
632,blau::A,симсӹ,күк
633,grün::A,ыжар,йәшел
634,grau::A,луды,буҙ
635,bunt::A,ала,сыбар
636,bunt::A,ала,ала-ҡола
637,billig::A,шулдаш,арзан
638,teuer::A,шергӹ,ҡыйбатлы
639,teuer::A,шергӓкӓн,ҡыйбатлы
640,wertvoll::A,ӓкӓн,ҡиммәтле
641,blind::A,слöпöй,һуҡыр
642,blind::A,сльöпöй,һуҡыр
643,taub::A,тӱтӱк,һаңғырау
644,kräftig::A,виӓн,көслө
645,kräftig::A,виӓн,ҡеүәтле
646,stark::A,виӓн,көслө
647,stark::A,виӓн,ҡеүәтле
648,schwach::A,шава,көсһөҙ
649,schwach::A,лӹпкӓ,көсһөҙ
650,schwach::A,слабка,көсһөҙ
651,fett::A,таза,һимеҙ
652,schlank::A,яштака,зифа
653,hübsch::A,сӹлнӹ,матур
654,hübsch::A,олмыдшы,матур
655,böse::A,шӹдӓн,асыулы
656,dumm::A,окмак,иҫәр
657,faul::A,ялахай,иренсәк
658,fleißig::A,пӓшам яратышы,тырыш
659,geizig::A,шык,һаран
660,klug::A,ышан,аҡыллы
661,geschickt::A,мастар,оҫта
662,lieb::A,тыри,яғымлы
663,lustig::A,мындыр,күңелле
664,lustig::A,сусу,күңелле
665,sanft::A,йӹвӹжӓ,йыуаш
666,hungrig::A,шужышы,ас
667,krank::A,церлӹ,сирле
668,krank::A,церлӹ,ауырыу
669,krank::A,хворой,сирле
670,krank::A,хворой,ауырыу
671,nackt::A,цӓрӓ,яланғас
672,traurig::A,сы́лыкан,яманһыу
673,traurig::A,кымы́лдымы,яманһыу
674,lebendig::A,живой,тере
675,lebendig::A,живой,йәнле
676,gut::A,яжо,яҡшы
677,schlecht::A,уда,хөрт
678,schlecht::A,уда,алама
679,schlecht::A,худа,хөрт
680,schlecht::A,худа,алама
681,richtig::A,вургамла,дөрөҫ
682,schlimm::A,йӹрнык,хөрт
683,schlimm::A,йӹрнык,алама
684,wahr::A,настоящий,дөрөҫ
685,wahr::A,настояшый,дөрөҫ
686,alt::A,шонгы,иҫке
687,alt::A,шонгы,боронғо
688,neu::A,у,яңы
689,ehemalig::A,тошты,элекке
690,alt[Lebewesen]::A,ӹлалшӹ,ҡарт
691,jung::A,нöргӹ,йәш
692,jung::A,молода,йәш
693,arm::A,укеӓн,фәҡир
694,reich::A,паян,бай
695,reich::A,пурлыкан,бай
696,bekannt::A,палӹмӹ,таныш
697,berühmt::A,лӹмлы,атаҡлы
698,berühmt::A,лӹмлы,данлыҡлы
699,fremd::A,эдемӹн,ят
700,fremd::A,эдемӹн,сит
701,verschieden::A,тӹрлӹ,төрлө
702,nah::A,лишӹл,яҡын
703,fern::A,мӹндӹр,алыҫ
704,fern::A,мӹндӹр,йыраҡ
705,linker::A,шалахай,һул
706,rechter::A,вургамла,уң
707,anderer::A,вес,бутән
708,anderer::A,весӹ,бутән
709,erster::A,икшӹ,тәүге
710,erster::A,икӹмшӹ,тәүге
711,zweiter::A,кокшы,икенсе
