,Concept_ID,br,et
104,Hügel::N,torgenn,küngas
105,Anhöhe::N,run,küngas
106,Berg::N,menez,mägi
107,Gipfel::N,barr,mäetipp
108,Höhle::N,kav,koobas
109,Abhang::N,naou,nõlvak
110,Quelle::N,feunteun,allikas
111,Bach::N,gwazh,oja
112,Fluss::N,stêr,jõgi
113,Ufer::N,ribl,kallas
114,Küste::N,aod,rannik
115,Festland::N,douar,mander
116,Festland::N,douar,maismaa
117,Meer::N,mor,meri
118,Bucht::N,mor-bihan,laht
119,Insel::N,enez,saar
120,Blume::N,bleunienn,lill
121,Gras::N,geot,rohi
122,Wurzel::N,gwrizienn,juur
123,Baum::N,gwezenn,puu
124,Stamm::N,kef,tüvi
125,Rinde::N,rusk,koor
126,Ast::N,barr,oks
127,Zweig::N,bod,oks
128,Blatt::N,delienn,leht
129,Birke::N,bezvenn,kask
130,Kiefer[Baum]::N,pinenn,mänd
131,Weide[Baum]::N,halegenn,paju
132,Tanne::N,sapenn,nulg
133,Horn::N,korn,sarv
134,Feder::N,pluñv,sulg
135,Fell::N,kreoñ,karvkate
136,Fell::N,kreoñ,karusnahk
137,Flügel::N,askell,tiib
138,Flügel::N,askell,tiivik
139,Klaue::N,skilf,küüs
140,Kralle::N,skilf,küünis
141,Schwanz::N,lost,saba
142,Ei::N,vi,muna
143,Nest::N,neizh,pesa
144,Bau::N,douarenn,urg
145,Tier::N,loen,loom
146,Herde::N,tropell,kari
147,Kuh::N,buoc'h,lehm
148,Bulle::N,tarv,pull
149,Pferd::N,marc'h,hobune
150,Schaf::N,dañvad,lammas
151,Schwein::N,pemoc'h,siga
152,Hund::N,ki,koer
153,Katze::N,kazh,kass
154,Bär::N,arzh,karu
155,Eichhörnchen::N,gwiñver,orav
156,Elch::N,karv-dour,põder
157,Fuchs::N,louarn,rebane
158,Hase::N,gad,jänes
159,Maus::N,logodenn,hiir
160,Wolf::N,bleiz,hunt
161,Vogel::N,labous,lind
162,Schwarm::N,nijad,parv
163,Huhn::N,yar,kana
164,Hahn::N,kilhog,kukk
165,Gans::N,gwazenn,hani
166,Adler::N,erer,kotkas
167,Ente::N,houad,part
168,Eule::N,toud,kakk
169,Eule::N,toud,öökull
170,Kranich::N,garan,kurg
171,Krähe::N,bran,vares
172,Kuckuck::N,koukoug,kägu
173,Schwan::N,alarc'h,luik
174,Fisch::N,pesk,kala
175,Barsch::N,brell,ahven
176,Hecht::N,beked,haug
177,Schlange[Tier]::N,naer,uss
178,Wurm::N,preñv,uss
179,Wurm::N,preñv,vagel
180,Spinne::N,kevnidenn,ämblik
181,Ameise::N,merion,sipelgas
182,Laus::N,laouenn,täi
183,Mücke::N,moustik,sääsk
184,Fliege::N,kelienenn,kärbes
185,Schmetterling::N,balafenn,liblikas
186,Beere::N,hog,mari
187,Apfel::N,aval,õun
188,Pilz::N,kabell-touseg,seen
189,Zwiebel::N,ognonenn,sibul
190,Saat::N,had,seeme
191,Korn::N,ed,iva
192,Korn::N,ed,tera
193,Heu::N,foenn,hein
194,Schale::N,peliadur,koor
195,Falle::N,pech,lõks
196,Falle::N,pech,püünis
197,Schlinge::N,krouglas,aas
198,Asche::N,ludu,tuhk
199,Dreck::N,fank,saast
200,Dreck::N,fank,mustus
201,Eisen::N,houarn,raud
202,Gold::N,aour,kuld
203,Silber::N,arc'hant,hõbe
204,Kohle::N,glaou,süsi
205,Glas::N,gwer,klaas
206,Sand::N,traezh,liiv
207,Mensch::N,den,inimene
208,Mann::N,den,mees
209,Frau::N,maouez,naine
210,Kind::N,bugel,laps
211,Junge::N,paotr,poiss
212,Mädchen::N,plac'h,tüdruk
213,Familie::N,familh,perekond
214,Großvater::N,tad-kozh,vanaisa
215,Großmutter::N,mamm-gozh,vanaema
216,Eltern::N,kerent,vanemad
217,Vater::N,tad,isa
218,Mutter::N,mamm,ema
219,Sohn::N,mab,poeg
220,Tochter::N,merc'h,tütar
221,Bruder::N,breur,vend
222,Schwester::N,c'hoar,õde
223,Onkel::N,eontr,onu
224,Tante::N,moereb,tädi
225,Ehemann::N,gwaz,mees
226,Ehemann::N,gwaz,abikaasa
227,Ehefrau::N,gwreg,naine
228,Ehefrau::N,gwreg,abikaasa
229,Freude::N,levenez,rõõm
230,Gelächter::N,c'hoarzherezh,naer
231,Glück::N,chañs,õnn
232,Kummer::N,doan,mure
233,Kummer::N,doan,kurbus
234,Wunsch::N,c'hoant,soov
235,Lust::N,c'hoant,himu
236,Geist::N,spered,vaim
237,Gedanke::N,soñj,mõte
238,Gedächtnis::N,eñvor,mälu
239,Verstand::N,skiant,aru
240,Verstand::N,skiant,mõistus
241,Sinn::N,ster,tähendus
242,Grund::N,kaoz,põhjus
243,Wahrheit::N,gwirionez,tõde
244,Gespräch::N,kaozeadenn,kõne
245,Gespräch::N,kaozeadenn,vestlus
246,Märchen::N,kaoz korriganez,muinasjutt
247,Erzählung::N,kontadenn,jutustus
248,Nachricht::N,keloù,teade
249,Neuigkeit::N,kelaouenn,uudis
250,Name::N,anv,nimi
251,Rätsel::N,divinatez,mõistatus
252,Rede::N,diskour,kõne
253,Sprache::N,yezh,keel
254,Stimme::N,mouezh,hääl
255,Wort::N,ger,sõna
256,Zeichen::N,sin,märk
257,Ruf::N,galv,hüüe
258,Lärm::N,trouz,müra
259,Ton::N,ton,toon
260,Lied::N,kanaouenn,laul
261,Ruhe::N,sioulded,rahu
262,Ruhe::N,sioulded,vaikus
263,Leute::N,tud,inimesed
264,Volk::N,pobl,rahvas
265,Arbeit::N,labour,töö
266,Gast::N,kouviad,külaline
267,Geschenk::N,prof,kingitus
268,Spiel::N,c'hoari,mäng
269,Gesellschaft::N,kompagnunezh,selts
270,Gesellschaft::N,kavandad,selts
271,Hilfe::N,sikour,abi
272,Freund::N,mignon,sõber
273,Kamerad::N,kamarad,sõber
274,Angelegenheit::N,afer,asi
275,Anzahl::N,niver,arv
276,Anzahl::N,niver,hulk
277,Art::N,sort,liik
278,Stück::N,tamm,tükk
279,Teil::N,pezh,osa
280,Hälfte::N,hanterenn,pool
281,Kreis::N,kelc'h,ring
282,Kreuz::N,kroaz,rist
283,Linie::N,linenn,joon
284,Strich::N,tenn,joon
285,Abstand::N,distok,vahe
286,Entfernung::N,keid,kaugus
287,Entfernung::N,keid,vahemaa
288,Entfernung::N,kehid,kaugus
289,Entfernung::N,kehid,vahemaa
290,Gegend::N,korn-bro,ümbrus
291,Platz::N,plasenn,ruum
292,Ort::N,lec'h,paik
293,Seite::N,tu,pool
294,Mitte::N,kreiz,keskpaik
295,Gegenstand::N,tra,ese
296,Sache::N,tra,ese
297,Rand::N,kantenn,äär
298,Rand::N,kantenn,serv
299,Kante::N,kantenn,kant
300,Ecke::N,korn,nurk
301,Spitze::N,begell,teravik
302,Ende::N,dibenn,ots
303,Ende::N,dibenn,jupp
304,Loch::N,toull,auk
305,Muster::N,tresadenn,muster
306,Größe::N,ment,suurus
307,Länge::N,hirder,pikkus
308,Höhe::N,uhelder,kõrgus
309,Gewicht::N,pouez,kaal
310,Gewicht::N,pouez,raskus
311,Menge::N,bern,arv
312,Menge::N,bern,hulk
313,Haufen::N,bern,hunnik
314,Reihe::N,steud,rivi
315,Boot::N,bag,paat
316,Ruder::N,roeñv,aer
317,Schlitten::N,trainell,saan
318,Ski::N,ski,suusk
319,Last::N,karg,koorem
320,Gang::N,kerzh,käik
321,Schritt::N,paz,samm
322,Norden::N,norzh,põhi
323,Norden::N,hanternoz,põhi
324,Süden::N,su,lõuna
325,Süden::N,kreisteiz,lõuna
326,Westen::N,kuzh-heol,lääs
327,Osten::N,reter,ida
328,Osten::N,sav-heol,ida
329,Holz::N,koad,puu
330,Brett::N,plankenn,saelaud
331,Platte::N,plakenn,plaat
332,Stütze::N,harp,tugi
333,Stange::N,sparl,latt
334,Stange::N,sparl,teivas
335,Stock::N,bazh,kepp
336,Stab::N,bazh,varras
337,Rohr::N,tub,toru
338,Rohr::N,korz,toru
339,Haus::N,ti,maja
340,Heim::N,kêr,kodu
341,Ofen::N,forn,ahi
342,Fußboden::N,plañchod,põrand
343,Tisch::N,taol,laud
344,Stuhl::N,kador,tool
345,Wiege::N,kavell,häll
346,Wiege::N,kavell,kätki
347,Bett::N,gwele,voodi
348,Regal::N,estajerenn,riiul
349,Kiste::N,kased,kast
350,Fenster::N,prenestr,aken
351,Tür::N,dor,uks
352,Tor::N,portal,värav
353,Zaun::N,sklotur,aed
354,Zaun::N,sklotur,tara
355,Dach::N,toenn,katus
356,Leiter::N,skeul,redel
357,Besen::N,skubell,luud
358,Spaten::N,pal,labidas
359,Schaufel::N,pal,kühvel
360,Gabel::N,fourchetez,kahvel
361,Löffel::N,loa,lusikas
362,Messer::N,kontell,nuga
363,Nagel::N,tach,nael
364,Netz::N,roued,võrk
365,Haken::N,krog,haak
366,Haken::N,krog,konks
367,Griff::N,kemer,sang
368,Griff::N,kemer,käepide
369,Schloss::N,potenn,lukk
370,Bild::N,skeudenn,pilt
371,Figur::N,skeud,kuju
372,Figur::N,skeud,kujund
373,Figur::N,figur,kuju
374,Figur::N,figur,kujund
375,Puppe::N,merc'hodenn,nukk
376,Beutel::N,sac'h,paun
377,Bündel::N,feskenn,kimp
378,Tasche::N,sac'h,kott
379,Eimer::N,sailh,pang
380,Eimer::N,sailh,ämber
381,Deckel::N,pallenn,kaas
382,Geschirr::N,listriaj,nõud
383,Sack::N,sac'h,kott
384,Tasse::N,tas,tass
385,Topf::N,pod,pada
386,Kessel::N,chaodouron,pada
387,Essen::N,pred,söök
388,Nahrung::N,boued,toit
389,Speise::N,meuz,roog
390,Fleisch::N,kig,liha
391,Getreide::N,ed,teravili
392,Brei::N,yod,puder
393,Brot::N,bara,sai
394,Brot::N,bara,leib
395,Scheibe::N,tailhenn,viil
396,Scheibe::N,tailhenn,viilukas
397,Fett::N,lard,rasv
398,Butter::N,amann,või
399,Öl::N,eoul,õli
400,Salz::N,holen,sool
401,Suppe::N,soubenn,supp
402,Honig::N,mel,mesi
403,Milch::N,laezh,piim
404,Tee::N,te,tee
405,Leder::N,lêr,nahk
406,Wolle::N,gloan,vill
407,Stoff::N,danvez,kangas
408,Nadel::N,nadoz,nõel
409,Faden::N,neudenn,niit
410,Knopf::N,bouton,nööp
411,Knoten::N,skoulm,sõlm
412,Farbe::N,liv,värv
413,Kleidung::N,dilhad,riided
414,Kleidung::N,dilhad,riietus
415,Hemd::N,roc'hed,särk
416,Kragen::N,gouzoug,krae
417,Ärmel::N,milgin,varrukas
418,Hose::N,bragoù,püksid
419,Gürtel::N,gouriz,vöö
420,Mütze::N,boned,müts
421,Schuh::N,botez,king
422,Stiefel::N,botez,saabas
423,Ring::N,gwalenn,sõrmus
424,Band::N,bagad,lint
425,Kamm::N,krib,kamm
426,Spiegel::N,melezour,peegel
427,Riemen::N,lerenn,rihm
428,Schnur::N,kordenn,nöör
429,Leine::N,roll,jalutusrihm
430,Decke::N,golo,tekk
431,Kissen::N,goubenner,padi
432,Tuch::N,mezher,kalev
433,Handtuch::N,toailhon,käterätik
434,Kraft::N,nerzh,jõud
435,Stärke::N,nerzhder,tugevus
436,Gesundheit::N,yec'hed,tervis
437,Krankheit::N,klañved,haigus
438,Schmerz::N,poan,valu
439,Schmerz::N,droug,valu
440,Wunde::N,gloazadenn,haav
441,Fieber::N,terzhienn,palavik
442,Arznei::N,louzoù,ravim
443,Brücke::N,pont,sild
444,Brunnen::N,puñs,kaev
445,Weide::N,prad,karjamaa
446,Pfad::N,gwenodenn,rada
447,Weg::N,hent,tee
448,Straße::N,ru,tee
449,Straße::N,hent,tee
450,Dorf::N,kêr,küla
451,Dorf::N,kêriadenn,küla
452,Stadt::N,kêr,linn
453,Brief::N,lizher,kiri
454,Buch::N,levr,raamat
455,Buchstabe::N,lizherenn,täht
456,Zeitung::N,kazetenn,ajaleht
457,Leben::N,buhez,elu
458,Tod::N,marv,surm
459,Grab::N,bez,haud
460,Kirche::N,iliz,kirik
461,Sünde::N,pec'hed,patt
462,Gott::N,doue,jumal
463,Arbeiter::N,labourer,tööline
464,Arbeiter::N,micherour,tööline
465,Chef::N,penn,ülemus
466,Chef::N,penn,juhataja
467,Meister::N,mestr,meister
468,Arzt::N,mezeg,arst
469,Arzt::N,medisin,arst
470,Lehrer::N,skolaer,õpetaja
471,Lehrer::N,kelenner,õpetaja
472,Geld::N,arc'hant,raha
473,Geschäft::N,stal,äri
474,Laden::N,stal,pood
475,Laden::N,stal,kauplus
476,Preis::N,priz,hind
477,Ware::N,marc'hadourezh,kaup
478,Nutzen::N,gounidegezh,tulu
479,Nutzen::N,gounidegezh,kasulikkus
480,Nutzen::N,lañs,tulu
481,Nutzen::N,lañs,kasulikkus
482,Nutzen::N,profit,tulu
483,Nutzen::N,profit,kasulikkus
484,Nutzen::N,spleit,tulu
485,Nutzen::N,spleit,kasulikkus
486,Reichtum::N,pinvidigezh,rikkus
487,Welt::N,douar,maailm
488,Land::N,bro,maa
489,Staat::N,stad,riik
490,König::N,roue,kuningas
491,Macht::N,galloud,võim
492,Grenze::N,harzoù,piir
493,Krieg::N,brezel,sõda
494,Feind::N,eneber,vaenlane
495,Gewalt::N,tâerder,väevõim
496,Kampf::N,kann,võitlus
497,Bogen[Waffe]::N,gwareg,vibu
498,Pfeil::N,saezh,nool
499,Gewehr::N,fuzuilh,püss
500,Fehler::N,fazi,viga
501,Lüge::N,gaou,vale
502,Schaden::N,gwall,kahju
503,Unglück::N,gwalleur,häda
504,Unglück::N,gwalleur,õnnetus
505,Schuld::N,kablusted,süü
506,Schuld::N,pec'hedigezh,süü
507,Alter::N,oad,iga
508,Schluss::N,diwezh,lõpp
509,Zeit::N,amzer,aeg
510,Tag::N,deizh,päev
511,Morgen::N,beure,hommik
512,Morgen::N,mintin,hommik
513,Mittag::N,kreisteiz,lõuna
514,Mittag::N,kreisteiz,keskpäev
515,Abend::N,abardaez,õhtu
516,Nacht::N,noz,öö
517,Woche::N,sizhun,nädal
518,Monat::N,miz,kuu
519,Jahr::N,bloaz,aasta
520,Frühling::N,nevezamzer,kevad
521,Sommer::N,hañv,suvi
522,Herbst::N,diskaramzer,sügis
523,Winter::N,goañv,talv
524,Januar::N,Genver,jaanuar
525,Februar::N,C'hwevrer,veebruar
526,März::N,Meurzh,märts
527,April::N,Ebrel,aprill
528,Mai::N,Mae,mai
529,Juni::N,Mezheven,juuni
530,Juli::N,Gouhere,juuli
531,August::N,Eost,august
532,September::N,Gwengolo,september
533,Oktober::N,Here,oktoober
534,November::N,Du,november
535,Dezember::N,Kerzu,detsember
536,Montag::N,Lun,esmaspäev
537,Dienstag::N,Meurzh,teisipäev
538,Mittwoch::N,Merc'her,kesknädal
539,Donnerstag::N,Yaou,neljapäev
540,Freitag::N,Gwener,reede
541,Samstag::N,Sadorn,laupäev
542,Sonntag::N,Sul,pühapäev
543,groß::A,bras,suur
544,klein::A,bihan,väike
545,klein::A,bihan,pisike
546,lang::A,hir,pikk
547,kurz::A,berr,lühike
548,breit::A,ledan,lai
549,schmal::A,strizh,kitsas
550,dicht::A,stank,tihe
551,dick[Gegenstand]::A,tev,jäme
552,dünn::A,moan,õhuke
553,dünn::A,moan,peenike
554,fein::A,munut,peen
555,fein::A,munut,õhuke
556,fest::A,start,püsiv
557,fest::A,start,kindel
558,flach::A,plaen,lame
559,flach::A,plaen,tasane
560,glatt::A,lintr,sile
561,glatt::A,levn,sile
562,hart::A,kalet,kõva
563,weich::A,blot,pehme
564,rund::A,ront,ümar
565,spitz::A,poentet,torkav
566,scharf::A,dremm,terav
567,stumpf::A,talsoc'h,nüri
568,schwer::A,pounner,raske
569,schön::A,kaer,kena
570,heiß::A,tomm,kuum
571,heiß::A,tomm,palav
572,warm::A,tomm,soe
573,kalt::A,yen,külm
574,kühl::A,yen,jahe
575,frisch::A,fresk,värske
576,feucht::A,gleb,niiske
577,nass::A,gleb,märg
578,trocken::A,sec'h,kuiv
579,voll::A,leun,täis
580,leer::A,goullo,tühi
581,offen::A,digor,avatud
582,offen::A,digor,lahtine
583,geschlossen::A,serr,suletud
584,sauber::A,naet,puhas
585,schmutzig::A,lous,räpane
586,schmutzig::A,lous,määrdunud
587,roh::A,kriz,toores
588,reif::A,darev,küps
589,lecker::A,lipous,hõrk
590,lecker::A,lipous,maitsev
591,lecker::A,saourus,hõrk
592,lecker::A,saourus,maitsev
593,süß::A,dous,magus
594,bitter::A,c'hwerv,mõru
595,sauer::A,trenk,hapu
596,hell::A,sklaer,hele
597,dunkel::A,teñval,pime
598,schwarz::A,du,must
599,weiß::A,gwenn,valge
600,rot::A,ruz,punane
601,gelb::A,melen,kollane
602,blau::A,glas,sinine
603,grün::A,gwer,roheline
604,grau::A,louet,hall
605,bunt::A,liesliv,kirju
606,bunt::A,liesliv,värviline
607,billig::A,marc'had-mat,odav
608,teuer::A,ker,kallis
609,wertvoll::A,prizius,väärtuslik
610,blind::A,dall,pime
611,taub::A,bouzar,kurt
612,kräftig::A,start,jõuline
613,stark::A,kreñv,tugev
614,schwach::A,gwan,nõrk
615,schwach::A,gwan,jõuetu
616,fett::A,lard,rasvane
617,schlank::A,sinkl,sale
618,hübsch::A,koant,kena
619,böse::A,gwall,tige
620,dumm::A,glep,juhm
621,dumm::A,glep,rumal
622,faul::A,lezirek,laisk
623,fleißig::A,studius,virk
624,fleißig::A,studius,hoolas
625,geizig::A,tost,ihne
626,klug::A,speredek,tark
627,klug::A,speredek,arukas
628,klug::A,speredek,mõistlik
629,geschickt::A,dornet,osav
630,lieb::A,koant,armas
631,lustig::A,laouen,lõbus
632,sanft::A,flour,õrn
633,hungrig::A,marnaon,näljane
634,krank::A,klañv,haige
635,nackt::A,noazh,alasti
636,traurig::A,trist,kurb
637,lebendig::A,bev,elus
638,gut::A,mad,hea
639,schlecht::A,fall,halb
640,schlecht::A,gwall,halb
641,richtig::A,reizh,õige
642,schlimm::A,gwall,paha
643,wahr::A,gwir,tõene
644,alt::A,kozh,vana
645,neu::A,nevez,uus
646,ehemalig::A,kozh,endine
647,alt[Lebewesen]::A,kozh,vana
648,jung::A,yaouank,noor
649,arm::A,paour,vaene
650,reich::A,pinvidik,rikas
651,bekannt::A,anavezet,teada
652,bekannt::A,anavezet,tuttav
653,berühmt::A,brudet,tuntud
654,fremd::A,dizanav,võõras
655,verschieden::A,disheñel,erinev
656,nah::A,nes,lähedane
657,fern::A,diabell,kauge
658,linker::A,kleiz,vasak
659,rechter::A,dehoù,parem
660,anderer::A,all,muu
661,anderer::A,all,teine
662,erster::A,kentañ,esimene
663,zweiter::A,eil,teine
664,dritter::A,trede,kolmas
665,letzter::A,diwezhañ,viimane
666,allein::ADV,e-unan,üksi
667,auf einmal::ADV,ar un dro,korraga
668,auf einmal::ADV,ar un dro,ühekorraga
669,zusammen::ADV,asambles,koos
670,zusammen::ADV,asambles,üheskoos
671,lange::ADV,pell,kaua
672,plötzlich::ADV,en un taol,äkki
673,plötzlich::ADV,en un taol,järsku
674,sofort::ADV,diouzhtu,kohe
675,später::ADV,diwezhatoc'h,hiljem
676,jetzt::ADV,bremañ,nüüd
677,heute::ADV,hiziv,täna
678,morgen::ADV,arc'hoazh,homme
679,bald::ADV,hepdale,pea
680,bald::ADV,hepdale,varsti
681,dann::ADV,a-c'houde,siis
682,gestern::ADV,dec'h,eile
683,einst::ADV,gwechall,vanasti
684,damals::ADV,neuze,tookord
685,danach::ADV,goude,seejärel
686,vorher::ADV,diagent,enne
687,zuerst::ADV,da gentañ,enne
688,zuerst::ADV,da gentañ,esmalt
689,einmal::ADV,ur wech,kord
690,einmal::ADV,ur wech,üks kord
691,manchmal::ADV,a-wechoù,mõnikord
692,oft::ADV,alies,tihti
693,oft::ADV,alies,sageli
694,immer::ADV,atav,ikka
695,immer::ADV,atav,alati
696,immer::ADV,bepred,ikka
697,immer::ADV,bepred,alati
698,niemals::ADV,gwech ebet,mitte kunagi
699,hier::ADV,amañ,siin
700,hierhin::ADV,dre amañ,siia
701,von hier::ADV,alemañ,siit
702,dort::ADV,aze,seal
703,dort::ADV,ahont,seal
704,dorthin::ADV,di,sinna
705,dorthin::ADV,aze,sinna
706,dorthin::ADV,ahont,sinna
707,geradeaus::ADV,war-eeun,otse edasi
708,vorwärts::ADV,war-raok,edasi
709,rückwärts::ADV,war-lerc'h,tagurpidi
710,zurück::ADV,war-dreñv,tagasi
711,unten::ADV,en traoñ,all
712,unten::ADV,en traoñ,allpool
713,hinab::ADV,a-izel,alla
714,oben::ADV,en nec'h,ülal
715,hinauf::ADV,e-krec'h,üles
716,überall::ADV,dre-holl,kõikjal
717,nicht::ADV,ne ... ket,ei
718,nicht::ADV,ne ... ket,mitte
719,ein wenig::ADV,un tammig,veidi
720,ein wenig::ADV,un tammig,natuke
721,kaum::ADV,a-boan,vaevalt
722,sehr::ADV,-tre,väga
723,sehr::ADV,-kenañ,väga
724,so::ADV,evel-se,nii
725,noch::ADV,c'hoazh,veel
726,nur::ADV,hepken,ainult
727,schon::ADV,dija,juba
728,wieder::ADV,adarre,jälle
729,vor::PRP,dirak,ees
730,hinter::PRP,a-drek,taha
731,hinter::PRP,a-dreñv,taha
732,unter::PRP,dindan,all
733,durch::PRP,dre,läbi
734,durch::PRP,dre,kaudu
735,neben::PRP,e-kichen,kõrval
736,zwischen::PRP,etre,vahel
737,wegen::PRP,abalamour da,tõttu
738,wegen::PRP,abalamour da,pärast
739,dies::PRN,hemañ,see
740,das::PRN,se,see
741,das::PRN,hennezh,see
742,alles::PRN,pep tra,kõik
743,ich::PRN,me,mina
744,du::PRN,te,sina
745,er::PRN,eñ,tema
746,wir::PRN,ni,me
747,ihr::PRN,c'hwi,te
748,sie::PRN,int,nad
749,was::FPRN,petra,mis
750,wer::FPRN,piv,kes
751,wo::FADV,pelec'h,kus
752,wohin::FADV,da belec'h,kuhu
753,wie::FADV,penaos,kuidas
754,warum::FADV,perak,miks
755,wieviel::FNUM,pet,mitu
756,wieviel::FNUM,pet,kui palju
757,eins::NUM,unan,üks
758,zwei::NUM,daou,kaks
759,drei::NUM,tri,kolm
760,vier::NUM,pevar,neli
761,fünf::NUM,pemp,viis
762,sechs::NUM,c'hwec'h,kuus
763,sieben::NUM,seizh,seitse
764,acht::NUM,eizh,kaheksa
765,neun::NUM,nav,üheksa
766,zehn::NUM,dek,kümme
767,elf::NUM,unnek,üksteist
768,zwölf::NUM,daouzek,kaksteist
769,zwanzig::NUM,ugent,kakskümmend
770,dreißig::NUM,tregont,kolmkümmend
771,vierzig::NUM,daou-ugent,nelikümmend
772,fünfzig::NUM,hanter-kant,viiskümmend
773,sechzig::NUM,tri-ugent,kuuskümmend
774,siebzig::NUM,dek ha tri-ugent,seitsekümmend
775,achtzig::NUM,pevar-ugent,kaheksakümmend
776,neunzig::NUM,dek ha pevar-ugent,üheksakümmend
777,hundert::NUM,kant,sada
778,tausend::NUM,mil,tuhat
779,und::CNJ,ha,ja
780,oder::CNJ,pe,või
781,stehen::V,bezañ a-sav,seisma
782,sitzen::V,azezañ,istuma
783,sitzen::V,bezañ en e goazez,istuma
784,liegen::V,bezañ en e c'hourvez,lamama
785,hängen::V,krougañ,rippuma
786,werden::V,dazonet,saama
787,werden::V,dazonet,hakkama
788,passieren::V,c'hoarvezout,juhtuma
789,beginnen::V,stagañ,algama
790,beginnen::V,stagañ,hakkama
791,enden::V,achuiñ,lõppema
792,wechseln::V,cheñch,vahelduma
793,aufgehen[Sonne]::V,dirouzañ,tõusma
794,scheinen[Sonne]::V,lugernañ,paistma
795,donnern::V,taranal,kõmisema
796,wehen::V,c'hwezhañ,puhuma
797,strömen::V,deredek,voolama
798,fließen::V,redek,voolama
799,sich drehen::V,troiñ,pöörduma
800,schwanken::V,trantellat,kõikuma
801,schwingen::V,froumal,võnkuma
802,fallen::V,kouezhañ,langema
803,brennen::V,deviñ,põlema
804,rauchen::V,divogedañ,suitsema
805,regnen::V,glavañ,sadama
806,gefrieren::V,reviñ,kinni külmuma
807,tauen::V,diskornañ,sulama
808,schmelzen::V,teuziñ,sulama
809,trocknen::V,sec'hañ,kuivama
810,sieden::V,berviñ,keema
811,faulen::V,breinañ,mädanema
812,verfaulen::V,breinañ,mädanema
813,reißen::V,darnaouiñ,rebenema
814,versinken::V,sodellañ,uppuma
815,vergehen::V,tremen,mööduma
