,Concept_ID,cy,la
98,Tropfen::N,diferyn,gutta
99,Schaum::N,ewyn,spuma
100,Schmutz::N,baw,sordes
101,Schmutz::N,baw,squalor
102,Schmutz::N,budreddi,sordes
103,Schmutz::N,budreddi,squalor
104,See::N,llyn,lacus
105,Sumpf::N,cors,palus
106,Moor::N,rhos,palus
107,Wiese::N,dôl,pratum
108,Wald::N,coedwig,silva
109,Hügel::N,bryn,collis
110,Anhöhe::N,bryn,specula
111,Berg::N,mynydd,mons
112,Gipfel::N,copa,vertex
113,Höhle::N,ogof,caverna
114,Höhle::N,ogof,spelunca
115,Abhang::N,llethr,declivum
116,Quelle::N,tarddiad,fons
117,Quelle::N,ffynhonnell,fons
118,Bach::N,nant,rivus
119,Bach::N,afonig,rivus
120,Bach::N,cornant,rivus
121,Fluss::N,afon,flumen
122,Ufer::N,glan,ripa
123,Küste::N,traeth,litus
124,Küste::N,arfordir,litus
125,Festland::N,tir,continens
126,Meer::N,môr,mare
127,Bucht::N,bae,sinus
128,Insel::N,ynys,insula
129,Blume::N,blodyn,flos
130,Gras::N,glaswellt,herba
131,Gras::N,glaswellt,gramen
132,Wurzel::N,gwreiddyn,radix
133,Baum::N,coeden,arbor
134,Stamm::N,colfen,truncus
135,Stamm::N,boncyff,truncus
136,Rinde::N,rhisgl,cortex
137,Ast::N,cangen,ramus
138,Zweig::N,cainc,ramus
139,Zweig::N,cangen,ramus
140,Blatt::N,deilen,folium
141,Birke::N,bedwen,betulla
142,Kiefer[Baum]::N,pinwydden,pinus
143,Weide[Baum]::N,helygen,salix
144,Tanne::N,ffynidwydden,abies
145,Horn::N,corn,cornu
146,Feder::N,plufyn,penna
147,Fell::N,ffwr,pellis
148,Flügel::N,adain,ala
149,Klaue::N,crafanc,unguis
150,Kralle::N,ewin,unguis
151,Schwanz::N,cwt,cauda
152,Schwanz::N,cynffon,cauda
153,Ei::N,wy,ovum
154,Nest::N,nyth,nidus
155,Bau::N,ffau,cavum
156,Bau::N,ffau,latibulum
157,Tier::N,anifail,bestia
158,Herde::N,praidd,grex
159,Herde::N,diadell,grex
160,Kuh::N,buwch,vacca
161,Bulle::N,tarw,taurus
162,Pferd::N,ceffyl,equus
163,Schaf::N,dafad,ovis
164,Schwein::N,mochyn,sus
165,Schwein::N,mochyn,porcus
166,Hund::N,ci,canis
167,Katze::N,cath,felis
168,Bär::N,arth,ursus
169,Eichhörnchen::N,gwiwer,sciurus
170,Elch::N,elc,alces
171,Fuchs::N,cadno,vulpes
172,Hase::N,ysgyfarnog,lepus
173,Maus::N,llygoden,mus
174,Wolf::N,blaidd,lupus
175,Vogel::N,aderyn,avis
176,Schwarm::N,haid,examen
177,Huhn::N,cyw,gallina
178,Hahn::N,ceiliog,gallus
179,Gans::N,gŵydd,anser
180,Adler::N,eryr,aquila
181,Ente::N,hwyad,anas
182,Eule::N,tylluan,ulula
183,Eule::N,tylluan,noctua
184,Kranich::N,garan,grus
185,Kranich::N,crychydd,grus
186,Krähe::N,brân,cornix
187,Kuckuck::N,cog,cuculus
188,Kuckuck::N,cwcw,cuculus
189,Schwan::N,alarch,olor
190,Schwan::N,alarch,cycnus
191,Fisch::N,pysgod,piscis
192,Barsch::N,draenog,perca
193,Hecht::N,penhwyad,esox
194,Schlange[Tier]::N,neidr,serpens
195,Wurm::N,abwydyn,vermis
196,Wurm::N,pryf genwair,vermis
197,Spinne::N,cor,aranea
198,Spinne::N,pryf copyn,aranea
199,Ameise::N,morgrugyn,formica
200,Laus::N,lleuen,pediculus
201,Mücke::N,gwybedyn,culex
202,Fliege::N,cleren,musca
203,Schmetterling::N,glöyn byw,papilio
204,Schmetterling::N,iâr fach yr haf,papilio
205,Beere::N,aeronen,baca
206,Apfel::N,afal,malum
207,Pilz::N,madarch,fungus
208,Zwiebel::N,nionyn,cepa
209,Zwiebel::N,winwnsyn,cepa
210,Saat::N,had,seges
211,Korn::N,grawn,granum
212,Heu::N,gwair,faenum
213,Schale::N,croen,putamen
214,Schale::N,plisgyn,putamen
215,Grube::N,pwll,fovea
216,Grube::N,pydew,fovea
217,Falle::N,magl,pedica
218,Schlinge::N,cwlwm rhedeg,laqueus
219,Spur::N,ôl,vestigium
220,Asche::N,lludw,cinis
221,Dreck::N,baw,lutum
222,Dreck::N,budreddi,lutum
223,Eisen::N,haearn,ferrum
224,Gold::N,aur,aurum
225,Silber::N,arian,argentum
226,Kohle::N,glo,carbo
227,Glas::N,gwydr,vitrum
228,Lehm::N,clai,lutum
229,Sand::N,tywod,arena
230,Mensch::N,dyn,homo
231,Mann::N,dyn,vir
232,Frau::N,merch,mulier
233,Frau::N,gwraig,mulier
234,Kind::N,plentyn,puer
235,Kind::N,plentyn,infans
236,Junge::N,hogyn,puer
237,Junge::N,bachgen,puer
238,Mädchen::N,merch,puella
239,Mädchen::N,geneth,puella
240,Familie::N,teulu,familia
241,Familie::N,tylwyth,familia
242,Großvater::N,taid,avus
243,Großvater::N,tad-cu,avus
244,Großmutter::N,nain,avia
245,Großmutter::N,mam-gu,avia
246,Eltern::N,rhieni,parentes
247,Vater::N,tad,pater
248,Mutter::N,mam,mater
249,Sohn::N,mab,filius
250,Tochter::N,merch,filia
251,Bruder::N,brawd,frater
252,Schwester::N,chwaer,soror
253,Onkel::N,ewythr,patruus
254,Onkel::N,ewythr,avunculus
255,Tante::N,modryb,amita
256,Ehemann::N,gŵr,maritus
257,Ehefrau::N,gwraig,uxor
258,Freude::N,gorfoledd,gaudium
259,Freude::N,gorfoledd,laetitia
260,Gelächter::N,chwerthin,risus
261,Glück::N,hapusrwydd,felicitas
262,Kummer::N,galar,aegritudo
263,Wunsch::N,dymuniad,voluntas
264,Wunsch::N,dymuniad,desiderium
265,Lust::N,chwant,libido
266,Lust::N,chwant,voluptas
267,Geist::N,ysbryd,mens
268,Geist::N,ysbryd,animus
269,Gedanke::N,meddwl,sententia
270,Gedächtnis::N,cof,memoria
271,Verstand::N,meddwl,ratio
272,Verstand::N,meddwl,ingenium
273,Sinn::N,ystyr,sensus
274,Grund::N,achos,causa
275,Grund::N,rheswm,causa
276,Wahrheit::N,gwir,veritas
277,Wahrheit::N,gwirionedd,veritas
278,Gespräch::N,sgwrs,sermo
279,Märchen::N,chwedl werin,fabula
280,Erzählung::N,stori,fabula
281,Erzählung::N,stori,narratio
282,Nachricht::N,neges,nuntius
283,Neuigkeit::N,newydd,novitas
284,Name::N,enw,nomen
285,Rätsel::N,pos,aenigma
286,Rede::N,araith,oratio
287,Sprache::N,iaith,lingua
288,Stimme::N,llais,vox
289,Wort::N,gair,verbum
290,Wort::N,gair,vocabulum
291,Zeichen::N,arwydd,signum
292,Ruf::N,galwad,clamor
293,Lärm::N,trwst,strepitus
294,Laut::N,sain,sonus
295,Ton::N,tôn,sonus
296,Lied::N,cân,carmen
297,Ruhe::N,tawelwch,quies
298,Leute::N,pobl,homines
299,Volk::N,pobl,populus
300,Arbeit::N,gwaith,labor
301,Gast::N,gwestai,hospes
302,Gast::N,gwestai,conviva
303,Geschenk::N,rhodd,munus
304,Geschenk::N,anrheg,munus
305,Spiel::N,chwarae,ludus
306,Gesellschaft::N,cwmni,societas
307,Hilfe::N,cymorth,auxilium
308,Hilfe::N,cymorth,subsidium
309,Freund::N,cyfaill,amicus
310,Kamerad::N,cydymaith,socius
311,Angelegenheit::N,pwnc,res
312,Anzahl::N,cyfrif,numerus
313,Art::N,bath,genus
314,Stück::N,darn,frustum
315,Stück::N,darn,fragmentum
316,Teil::N,rhan,pars
317,Hälfte::N,hanner,dimidium
318,Kreis::N,cylch,orbis
319,Kreis::N,cylch,circus
320,Kreuz::N,croes,crux
321,Linie::N,llinell,linea
322,Strich::N,strôc,lineamentum
323,Strich::N,trawiad,lineamentum
324,Abstand::N,bwlch,intervallum
325,Abstand::N,pellter,intervallum
326,Entfernung::N,pellter,spatium
327,Gegend::N,cylch,loca
328,Gegend::N,cylch,regio
329,Platz::N,lle,locus
330,Ort::N,lle,locus
331,Seite::N,ochr,latus
332,Mitte::N,canol,medium
333,Gegenstand::N,eitem,res
334,Sache::N,peth,res
335,Rand::N,cwr,margo
336,Rand::N,ymyl,margo
337,Kante::N,min,angulus
338,Kante::N,ymyl,angulus
339,Ecke::N,cornel,angulus
340,Spitze::N,blaen,cacumen
341,Ende::N,pen,caput
342,Loch::N,twll,foramen
343,Winkel::N,congl,angulus
344,Muster::N,patrwm,exemplum
345,Größe::N,maint,magnitudo
346,Größe::N,maintioli,magnitudo
347,Länge::N,hyd,longitudo
348,Höhe::N,uchder,altitudo
349,Gewicht::N,pwysau,pondus
350,Menge::N,swm,copia
351,Menge::N,maint,copia
352,Haufen::N,pentwr,acervus
353,Reihe::N,rhes,ordo
354,Boot::N,cwch,navicula
355,Ruder::N,rhwyf,remus
356,Schlitten::N,sled,sclodia
357,Schlitten::N,car llusg,sclodia
358,Ski::N,sgi,narta
359,Lagerfeuer::N,coelcerth,ignis
360,Last::N,llwyth,onus
361,Gang::N,tro,cursus
362,Schritt::N,cam,gradus
363,Norden::N,gogledd,septentriones
364,Süden::N,de,meridies
365,Westen::N,gorllewin,occidens
366,Osten::N,dwyrain,oriens
367,Holz::N,pren,lignum
368,Brett::N,bwrdd,tabula
369,Brett::N,astell,tabula
370,Platte::N,llech,lamina
371,Stütze::N,ateg,adminiculum
372,Stütze::N,cynhalydd,adminiculum
373,Stange::N,polyn,pertica
374,Stock::N,ffon,baculum
375,Stock::N,brigyn,baculum
376,Stab::N,ffon,scipio
377,Rohr::N,pibell,tubus
378,Haus::N,tŷ,aedes
379,Heim::N,cartref,domicilium
380,Ofen::N,stof,fornax
381,Fußboden::N,llawr,solum
382,Tisch::N,bwrdd,mensa
383,Stuhl::N,cadair,sella
384,Wiege::N,crud,cunae
385,Bett::N,gwely,lectus
386,Regal::N,silff,foruli
387,Kiste::N,bocs,cista
388,Kiste::N,blwch,cista
389,Fenster::N,ffenestr,fenestra
390,Tür::N,drws,ianua
391,Tor::N,porth,porta
392,Zaun::N,ffens,saepes
393,Dach::N,to,tectum
394,Leiter::N,ysgol,scalae
395,Besen::N,ysgub,scopae
396,Spaten::N,rhaw,pala
397,Schaufel::N,rhaw,pala
398,Gabel::N,fforc,fuscinula
399,Löffel::N,llwy,coclear
400,Messer::N,cyllell,culter
401,Nagel::N,hoel,clavus
402,Netz::N,gwe,rete
403,Netz::N,rhwyd,rete
404,Haken::N,bach,hamus
405,Griff::N,carn,manubrium
406,Schloss::N,clo,claustra
407,Bild::N,llun,tabula
408,Bild::N,llun,pictura
409,Bild::N,pictiwr,tabula
410,Bild::N,pictiwr,pictura
411,Figur::N,ffigur,statunculum
412,Puppe::N,dol,pupa
413,Beutel::N,cwd,sacculus
414,Bündel::N,bwndel,fascis
415,Bündel::N,coflaid,fascis
416,Tasche::N,cod,sacculus
417,Eimer::N,bwced,situla
418,Eimer::N,cunnog,situla
419,Deckel::N,caead,operculum
420,Geschirr::N,llestri,vasa
421,Sack::N,sach,saccus
422,Tasse::N,cwpan,pocillum
423,Topf::N,pot,olla
424,Topf::N,crochan,olla
425,Kessel::N,tegell,aenum
426,Essen::N,pryd o fwyd,cena
427,Nahrung::N,bwyd,cibus
428,Nahrung::N,bwyd,alimenta
429,Speise::N,saig,cibus
430,Fleisch::N,cig,caro
431,Getreide::N,ŷd,frumentum
432,Getreide::N,llafur,frumentum
433,Brei::N,uwd,puls
434,Brot::N,bara,panis
435,Scheibe::N,tafell,frustum
436,Fett::N,saim,pingue
437,Fett::N,braster,pingue
438,Butter::N,ymenyn,butȳrum
439,Öl::N,olew,oleum
440,Salz::N,halen,sal
441,Suppe::N,cawl,ius
442,Honig::N,mêl,mel
443,Milch::N,llaeth,lac
444,Milch::N,llefrith,lac
445,Tee::N,te,thea
446,Leder::N,lledr,corium
447,Wolle::N,gwlân,lana
448,Stoff::N,lliain,textum
449,Stoff::N,brethyn,textum
450,Nadel::N,nodwydd,acus
451,Faden::N,edau,filum
452,Faden::N,edefyn,filum
453,Knopf::N,botwm,bulla
454,Knoten::N,cwlwm,nodus
455,Farbe::N,paent,pigmentum
456,Kleidung::N,dillad,vestimenta
457,Kleidung::N,gwisgoedd,vestimenta
458,Hemd::N,crys,tunica
459,Kragen::N,coler,collare
460,Ärmel::N,llawes,manica
461,Hose::N,trowsus,bracae
462,Gürtel::N,gwregys,cingulum
463,Mütze::N,cap,pilleus
464,Schuh::N,esgid,calceus
465,Stiefel::N,botasen,pero
466,Stiefel::N,botasen,caliga
467,Ring::N,modrwy,anulus
468,Band::N,rhuban,redimiculum
469,Kamm::N,crib,pecten
470,Spiegel::N,drych,speculum
471,Riemen::N,strap,lorum
472,Schnur::N,llinyn,linum
473,Leine::N,tennyn,retinaculum
474,Decke::N,blanced,lodix
475,Decke::N,gwrthban,lodix
476,Kissen::N,clustog,pulvinus
477,Kissen::N,gobennydd,pulvinus
478,Tuch::N,sgarff,velum
479,Handtuch::N,tywel,mantele
480,Handtuch::N,lliain sychu,mantele
481,Kraft::N,grym,vis
482,Stärke::N,nerth,robur
483,Stärke::N,cryfder,robur
484,Gesundheit::N,iechyd,valetudo
485,Krankheit::N,afiechyd,morbus
486,Krankheit::N,anhwylder,morbus
487,Schmerz::N,poen,dolor
488,Schmerz::N,gwayw,dolor
489,Wunde::N,clwyf,vulnus
490,Fieber::N,twymyn,febris
491,Arznei::N,meddyginiaeth,remedium
492,Brücke::N,pont,pons
493,Brunnen::N,ffynnon,puteus
494,Weide::N,porfa,pascua
495,Pfad::N,llwybr,semita
496,Weg::N,ffordd,iter
497,Straße::N,heol,via
498,Straße::N,ffordd,via
499,Dorf::N,pentref,vicus
500,Stadt::N,tref,urbs
501,Stadt::N,tref,oppidum
502,Brief::N,llythyr,epistula
503,Buch::N,llyfr,liber
504,Buchstabe::N,llythyren,littera
505,Zeitung::N,papur newydd,diurnum
506,Leben::N,bywyd,vita
507,Tod::N,marwolaeth,mors
508,Grab::N,bedd,sepulcrum
509,Kirche::N,eglwys,ecclesia
510,Sünde::N,pechod,peccatum
511,Gott::N,duw,deus
512,Arbeiter::N,gweithiwr,operarius
513,Chef::N,pennaeth,praefectus
514,Meister::N,meistr,magister
515,Arzt::N,meddyg,medicus
516,Lehrer::N,athro,magister
517,Geld::N,pres,aes
518,Geld::N,pres,pecunia
519,Geld::N,arian,aes
520,Geld::N,arian,pecunia
521,Geschäft::N,busnes,negotium
522,Laden::N,siop,taberna
523,Preis::N,pris,pretium
524,Ware::N,nwydd,merx
525,Nutzen::N,elw,utilitas
526,Nutzen::N,budd,utilitas
527,Reichtum::N,cyfoeth,opes
528,Reichtum::N,cyfoeth,divitiae
529,Welt::N,byd,mundus
530,Land::N,gwlad,terra
531,Staat::N,gwladwriaeth,res publica
532,König::N,brenin,rex
533,Macht::N,grym,potestas
534,Macht::N,awdurdod,potestas
535,Grenze::N,ffin,limes
536,Grenze::N,goror,limes
537,Krieg::N,rhyfel,bellum
538,Feind::N,gelyn,inimicus
539,Gewalt::N,ffyrnigrwydd,vis
540,Kampf::N,brwydr,pugna
541,Bogen[Waffe]::N,bwa,arcus
542,Pfeil::N,saeth,sagitta
543,Gewehr::N,dryll,sclopetum
544,Fehler::N,gwall,error
545,Fehler::N,camgymeriad,error
546,Lüge::N,celwydd,mendacium
547,Lüge::N,anwiredd,mendacium
548,Schaden::N,niwed,damnum
549,Schaden::N,niwed,detrimentum
550,Schaden::N,difrod,damnum
551,Schaden::N,difrod,detrimentum
552,Unglück::N,anffawd,miseria
553,Unglück::N,anffawd,calamitas
554,Schuld::N,bai,culpa
555,Alter::N,oed,aetas
556,Schluss::N,diwedd,finis
557,Zeit::N,amser,tempus
558,Tag::N,dydd,dies
559,Tag::N,diwrnod,dies
560,Morgen::N,bore,mane
561,Mittag::N,nawn,meridies
562,Abend::N,noswaith,vesper
563,Nacht::N,nos,nox
564,Woche::N,wythnos,septimana
565,Monat::N,mis,mensis
566,Jahr::N,blwyddyn,annus
567,Frühling::N,gwanwyn,ver
568,Sommer::N,haf,aestas
569,Herbst::N,hydref,autumnus
570,Winter::N,gaeaf,hiems
571,Januar::N,Ionawr,Ianuarius
572,Februar::N,Chwefror,Februarius
573,März::N,Mawrth,Martius
574,April::N,Ebrill,Aprilis
575,Mai::N,Mai,Maius
576,Juni::N,Mehefin,Iunius
577,Juli::N,Gorffennaf,Iulius
578,August::N,Awst,Augustus
579,September::N,Medi,September
580,Oktober::N,Hydref,Octobris
581,November::N,Tachwedd,Novembris
582,Dezember::N,Rhagfyr,December
583,Montag::N,dydd Llun,dies lunae
584,Dienstag::N,dydd Mawrth,dies Martis 
585,Mittwoch::N,dydd Mercher,dies Mercurii
586,Donnerstag::N,dydd Iau,dies Iovis
587,Freitag::N,dydd Gwener,dies Veneris
588,Samstag::N,dydd Sadwrn,dies Saturni
589,Sonntag::N,dydd Sul,dominicus
590,Sonntag::N,dydd Sul,dies solis
591,groß::A,mawr,magnus
592,klein::A,bach,parvus
593,lang::A,hir,longus
594,kurz::A,byr,brevis
595,kurz::A,cwta,brevis
596,breit::A,llydan,latus
597,schmal::A,cul,angustus
598,dicht::A,dwys,densus
599,dick[Gegenstand]::A,trwchus,crassus
600,dünn::A,tenau,tenuis
601,fein::A,main,subtilis
602,fest::A,cadarn,solidus
603,fest::A,cadarn,stabilis
604,flach::A,gwastad,planus
605,glatt::A,llyfn,levis
606,hart::A,caled,durus
607,weich::A,meddal,mollis
608,rund::A,crwn,rotundus
609,spitz::A,pigfain,acutus
610,scharf::A,miniog,acer
611,stumpf::A,pŵl,hebes
612,schwer::A,trwm,gravis
613,schön::A,teg,pulcher
614,schön::A,teg,formosus
615,schön::A,hardd,pulcher
616,schön::A,hardd,formosus
617,schön::A,prydferth,pulcher
618,schön::A,prydferth,formosus
619,heiß::A,poeth,fervidus
620,warm::A,twym,calidus
621,warm::A,cynnes,calidus
622,kalt::A,oer,frigidus
623,kühl::A,oeraidd,frigidus
624,frisch::A,iach,recens
625,feucht::A,llaith,umidus
626,nass::A,gwlyb,madidus
627,trocken::A,sych,aridus
628,voll::A,llawn,plenus
629,leer::A,gwag,vacuus
630,offen::A,agored,apertus
631,geschlossen::A,caead,clausus
632,geschlossen::A,caeëdig,clausus
633,sauber::A,glân,lautus
634,schmutzig::A,budr,sordidus
635,schmutzig::A,brwnt,sordidus
636,roh::A,amrwd,crudus
637,reif::A,aeddfed,maturus
638,lecker::A,blasus,delicatus
639,lecker::A,danteithiol,delicatus
640,süß::A,melys,dulcis
641,bitter::A,chwerw,amarus
642,bitter::A,chwerw,acerbus
643,sauer::A,sur,acidus
644,hell::A,disglair,clarus
645,dunkel::A,tywyll,obscurus
646,schwarz::A,du,niger
647,weiß::A,gwyn,albus
648,rot::A,coch,ruber
649,gelb::A,melyn,flavus
650,blau::A,glas,caeruleus
651,grün::A,gwyrdd,viridis
652,grau::A,llwyd,canus
653,bunt::A,lliwgar,varius
654,billig::A,rhad,vilis
655,teuer::A,drud,carus
656,wertvoll::A,gwerthfawr,pretiosus
657,blind::A,dall,caecus
658,taub::A,byddar,surdus
659,kräftig::A,nerthol,robustus
660,kräftig::A,grymus,robustus
661,stark::A,cryf,firmus
662,stark::A,cryf,validus
663,stark::A,cadarn,firmus
664,stark::A,cadarn,validus
665,schwach::A,gwan,debilis
666,schwach::A,gwan,infirmus
667,fett::A,tew,crassus
668,schlank::A,main,procerus
669,hübsch::A,tlws,pulcher
670,böse::A,drwg,improbus
671,dumm::A,twp,stultus
672,dumm::A,twp,stupidus
673,faul::A,diog,piger
674,fleißig::A,dyfal,sedulus
675,geizig::A,crintach,avarus
676,geizig::A,cybyddlyd,avarus
677,klug::A,deallus,prudens
678,geschickt::A,medrus,sollers
679,geschickt::A,deheuig,sollers
680,lieb::A,hoff,carus
681,lieb::A,annwyl,carus
682,lustig::A,llon,iocosus
683,sanft::A,mwyn,clemens
684,hungrig::A,newynog,impastus
685,krank::A,sâl,aeger
686,krank::A,gwael,aeger
687,nackt::A,noeth,nudus
688,traurig::A,trist,maestus
689,lebendig::A,yn fyw,vivus
690,gut::A,da,bonus
691,schlecht::A,drwg,malus
692,schlecht::A,gwael,malus
693,richtig::A,cywir,rectus
694,schlimm::A,enbyd,malus
695,wahr::A,gwir,verus
696,alt::A,hen,antiquus
697,neu::A,newydd,novus
698,ehemalig::A,blaenorol,pristinus
699,alt[Lebewesen]::A,oedrannus,vetus
700,jung::A,ifanc,iuvenis
701,arm::A,tlawd,pauper
702,reich::A,cyfoethog,dives
703,bekannt::A,cynefin,notus
704,bekannt::A,cyfarwydd,notus
705,berühmt::A,enwog,celeber
706,berühmt::A,enwog,illustris
707,fremd::A,estron,peregrinus
708,verschieden::A,gwahanol,varius
709,nah::A,agos,propinquus
710,fern::A,pell,longinquus
711,linker::A,aswy,sinister
712,linker::A,chwith,sinister
713,rechter::A,de,dexter
714,rechter::A,deau,dexter
715,anderer::A,arall,alius
716,erster::A,cyntaf,primus
717,zweiter::A,ail,secundus
718,dritter::A,trydydd,tertius
719,letzter::A,olaf,ultimus
720,allein::ADV,unig,solum
721,allein::ADV,ar ei ben ei hun,solum
722,auf einmal::ADV,ar yr un pryd,simul
723,zusammen::ADV,ynghyd,una
724,zusammen::ADV,gyda'i gilydd,una
725,lange::ADV,amser hir,diu
726,plötzlich::ADV,yn sydyn,subito
727,plötzlich::ADV,yn sydyn,repente
728,sofort::ADV,ar unwaith,statim
729,später::ADV,yn ddiweddarach,postea
730,jetzt::ADV,yn awr,nunc
731,heute::ADV,heddiw,hodie
732,morgen::ADV,yfory,cras
733,bald::ADV,yn fuan,mox
734,bald::ADV,gyda hyn,mox
735,dann::ADV,yna,deinde
736,dann::ADV,y pryd hwnnw,deinde
737,gestern::ADV,ddoe,heri
738,einst::ADV,gynt,olim
739,damals::ADV,ar y pryd,tum
740,damals::ADV,bryd hynny,tum
741,danach::ADV,wedyn,postea
742,vorher::ADV,o'r blaen,antea
743,zuerst::ADV,yn gyntaf,primo
744,einmal::ADV,unwaith,semel
745,manchmal::ADV,weithiau,interdum
746,manchmal::ADV,ar brydiau,interdum
747,oft::ADV,yn aml,saepe
748,oft::ADV,yn fynych,saepe
749,immer::ADV,bob amser,semper
750,niemals::ADV,ni ... byth,numquam
751,niemals::ADV,ni ... erioed,numquam
752,hier::ADV,yma,hic
753,hierhin::ADV,hyd yma,huc
754,von hier::ADV,oddi yma,hinc
755,dort::ADV,acw,ibi
756,dorthin::ADV,tuag yno,eo
757,geradeaus::ADV,syth ymlaen,recte
758,vorwärts::ADV,ymlaen,porro
759,rückwärts::ADV,yn ôl,retro
760,zurück::ADV,yn ôl,retro
761,unten::ADV,isod,infra
762,unten::ADV,oddi tanodd,infra
763,hinab::ADV,i lawr,pessum
764,hinab::ADV,i waered,pessum
765,oben::ADV,fry,supra
766,hinauf::ADV,i fyny,sursum
767,hinauf::ADV,i'r lan,sursum
768,überall::ADV,ym mhobman,ubique
769,nicht::ADV,ni,non
770,nicht::ADV,nid,non
771,ein wenig::ADV,tipyn,paulum
772,ein wenig::ADV,ychydig,paulum
773,kaum::ADV,prin,vix
774,kaum::ADV,prin,aegre
775,sehr::ADV,iawn,valde
776,sehr::ADV,iawn,magnopere
777,so::ADV,fel,ita
778,so::ADV,felly,ita
779,noch::ADV,eto,etiam
780,nur::ADV,yn unig,solum
781,nur::ADV,yn unig,tantum
782,schon::ADV,eisoes,iam
783,schon::ADV,yn barod,iam
784,wieder::ADV,drachefn,rursus
785,vergebens::ADV,yn ofer,frustra
786,vor::PRP,o flaen,ante
787,hinter::PRP,ar ôl,post
788,unter::PRP,islaw,sub
789,durch::PRP,trwy,per
790,neben::PRP,ar bwys,iuxta
791,zwischen::PRP,rhwng,inter
792,zwischen::PRP,cydrhwng,inter
793,wegen::PRP,o achos,propter
794,wegen::PRP,oherwydd,propter
795,dies::PRN,hyn,hoc
796,das::PRN,hynny,id
797,alles::PRN,popeth,omnia
798,ich::PRN,fi,ego
799,du::PRN,ti,tu
800,er::PRN,fe,is
801,er::PRN,fe,ille
802,wir::PRN,ni,nos
803,ihr::PRN,chi,vos
804,sie::PRN,hwy,ii
805,sie::PRN,hwy,illi
806,was::FPRN,pa beth,quid
807,wer::FPRN,pwy,quis
808,wo::FADV,ble,ubi
809,wo::FADV,ym mha le,ubi
810,wohin::FADV,i ble,quo
811,wohin::FADV,i ba le,quo
812,wie::FADV,sut,quomodo
813,warum::FADV,pam,cur
814,wieviel::FNUM,faint,quantum
