,Concept_ID,de,lbe
248,Märchen::N,Märchen,магьа
249,Erzählung::N,Erzählung,хавар
250,Nachricht::N,Nachricht,хавар
251,Neuigkeit::N,Neuigkeit,хавар
252,Name::N,Name,цӏа
253,Rätsel::N,Rätsel,ссигьа
254,Rede::N,Rede,гъалгъа
255,Sprache::N,Sprache,маз
256,Stimme::N,Stimme,чӏу
257,Stimme::N,Stimme,чӏукӏа
258,Wort::N,Wort,махъ
259,Zeichen::N,Zeichen,лишан
260,Ruf::N,Ruf,
261,Lärm::N,Lärm,чӏу
262,Laut::N,Laut,чӏу
263,Ton::N,Ton,чӏу
264,Lied::N,Lied,балай
265,Ruhe::N,Ruhe,дигьалагру
266,Leute::N,Leute,инсантал
267,Volk::N,Volk,ил
268,Volk::N,Volk,халкь
269,Arbeit::N,Arbeit,заву
270,Gast::N,Gast,хъамаличу
271,Geschenk::N,Geschenk,бухчакарши
272,Geschenk::N,Geschenk,лажинккакку
273,Spiel::N,Spiel,тӏуркӏу
274,Gesellschaft::N,Gesellschaft,жямат
275,Gesellschaft::N,Gesellschaft,ккуран
276,Hilfe::N,Hilfe,кумаг
277,Freund::N,Freund,дус
278,Kamerad::N,Kamerad,хӏаласу
279,Angelegenheit::N,Angelegenheit,иш
280,Anzahl::N,Anzahl,аьдад
281,Art::N,Art,жинс
282,Stück::N,Stück,касак
283,Teil::N,Teil,бутӏа
284,Hälfte::N,Hälfte,дачӏи
285,Kreis::N,Kreis,кюрщан
286,Kreuz::N,Kreuz,ххач
287,Linie::N,Linie,щва
288,Strich::N,Strich,щва
289,Abstand::N,Abstand,манзил
290,Entfernung::N,Entfernung,манзил
291,Gegend::N,Gegend,кӏану
292,Platz::N,Platz,
293,Ort::N,Ort,кӏану
294,Seite::N,Seite,чул
295,Seite::N,Seite,чулухалу
296,Mitte::N,Mitte,дя
297,Gegenstand::N,Gegenstand,зат
298,Sache::N,Sache,зат
299,Rand::N,Rand,зума
300,Kante::N,Kante,
301,Ecke::N,Ecke,мурцӏу
302,Spitze::N,Spitze,мицӏ
303,Ende::N,Ende,зума
304,Loch::N,Loch,ккутӏ
305,Winkel::N,Winkel,мурцӏу
306,Muster::N,Muster,накьич
307,Größe::N,Größe,
308,Länge::N,Länge,лахъишиву
309,Höhe::N,Höhe,лахъшиву
310,Gewicht::N,Gewicht,дуццин
311,Gewicht::N,Gewicht,кӏушиву
312,Menge::N,Menge,
313,Haufen::N,Haufen,бакӏу
314,Reihe::N,Reihe,кьюкьа
