,Concept_ID,ba,no
55,Atem::N,һулыш,pust
56,Hunger::N,аслыҡ,sult
57,Träne::N,күҙ иәше,tåre
58,Geschmack::N,тәм,smak
59,Geruch::N,еҫ,lukt
60,Schlaf::N,йоҡлау,søvn
61,Traum::N,төш,drøm
62,Himmel::N,күк,himmel
63,Sonne::N,ҡояш,sol
64,Mond::N,ай,måne
65,Stern::N,йондоҙ,stjerne
66,Luft::N,һауа,luft
67,Wind::N,ел,vind
68,Welle::N,тулҡын,bølge
69,Wasser::N,һыу,vann
70,Stein::N,таш,stein
71,Boden::N,тупраҡ,bakke
72,Erde::N,балсҡ,jord
73,Staub::N,туҙан,støv
74,Rauch::N,төтөн,røyk
75,Funke::N,осҡон,gnist
76,Feuer::N,ут,ild
77,Licht::N,яҡтылыҡ,lys
78,Schatten::N,күләгә,skygge
79,Wetter::N,һауа торошо,vær
80,Nebel::N,төман,tåke
81,Wolke::N,болот,sky
82,Regen::N,ямғыр,regn
83,Schnee::N,ҡар,snø
84,Eis::N,боҙ,is
85,Frost::N,һалҡын,frost
86,Kälte::N,һыуыҡ,kulde
87,Hitze::N,томра,hete
88,Hitze::N,эҫелек,hete
89,Raureif::N,ҡырау,rimfrost
90,Regenbogen::N,йәйғор,regnbue
91,Donner::N,күк күкрәү,torden
92,Strömung::N,ағым,strømning
93,Tropfen::N,тамсы,dråpe
94,Schaum::N,күбек,skum
95,Schmutz::N,батҡаҡ,søl
96,Schmutz::N,батҡаҡ,skitt
97,See::N,күл,sjø
98,Sumpf::N,һаҙлык,sump
99,Sumpf::N,һаҙлык,myrlende
100,Moor::N,һаҙ,myr
101,Moor::N,һаҙ,myrhei
102,Wiese::N,болон,eng
103,Wald::N,урман,skog
104,Hügel::N,түбә,haug
105,Hügel::N,түбә,bakke
106,Anhöhe::N,түбә,haug
107,Anhöhe::N,түбә,bakke
108,Anhöhe::N,ҡалҡыулыҡ,haug
109,Anhöhe::N,ҡалҡыулыҡ,bakke
110,Berg::N,тау,berg
111,Berg::N,тау,fjell
112,Gipfel::N,түбә,topp
113,Höhle::N,мәмерйә,hule
114,Abhang::N,ипкен,li
115,Abhang::N,ипкен,skråning
116,Quelle::N,шишмә,kilde
117,Bach::N,шишмә,bekk
118,Fluss::N,йылға,elv
119,Ufer::N,яр,bredd
120,Küste::N,яр буйы,kyst
121,Festland::N,ҡоро ер,fastland
122,Meer::N,диңгез,hav
123,Bucht::N,бухта,bukt
124,Insel::N,үтрау,øy
125,Blume::N,сәскә,blomst
126,Gras::N,үлән,gress
127,Wurzel::N,тамыр,rot
128,Baum::N,ағас,tre
129,Stamm::N,олон,stamme
130,Stamm::N,көбәк,stamme
131,Rinde::N,ҡабыҡ,bark
132,Ast::N,ботаҡ,gren
133,Zweig::N,ботаҡ,kvist
134,Zweig::N,тармаҡ,kvist
135,Blatt::N,япраҡ,blad
136,Birke::N,ҡайын,bjørk
137,Kiefer[Baum]::N,ҡарғай,furu
138,Weide[Baum]::N,тал,selje
139,Weide[Baum]::N,тал,piletre
140,Tanne::N,шыршы,gran
141,Horn::N,мөғөҙ,horn
142,Feder::N,ҡауырһын,fjær
143,Fell::N,тире,skinn
144,Flügel::N,ҡанат,vinge
145,Klaue::N,тырнаҡ,klauv
146,Kralle::N,аяҡ,klo
147,Schwanz::N,ҡойроҡ,hale
148,Ei::N,йомортҡа,egg
149,Nest::N,оя,rede
150,Bau::N,оң,hi
151,Tier::N,жайуан,dyr
152,Tier::N,йыртҡыс,dyr
153,Herde::N,көтөү,flokk
154,Kuh::N,һыйыр,ku
155,Bulle::N,үгеҙ,tyr
156,Pferd::N,ат,hest
157,Schaf::N,һарыҡ,får
158,Schwein::N,сусҡа,gris
159,Hund::N,эт,hund
160,Katze::N,бесәй,katt
161,Bär::N,айыу,bjørn
162,Eichhörnchen::N,тейен,ekorn
163,Elch::N,мышы,elg
164,Fuchs::N,төлкө,rev
165,Hase::N,ҡуян,hare
166,Maus::N,сысҡан,mus
167,Wolf::N,бүре,ulv
168,Wolf::N,бүре,varg
169,Vogel::N,ҡош,fugl
170,Schwarm::N,көтөү,sverm
171,Huhn::N,тауыҡ,høne
172,Hahn::N,әтәс,hane
173,Gans::N,ҡаҙ,gås
174,Adler::N,бөркөт,ørn
175,Ente::N,өйрәк,and
176,Eule::N,өкө,ugle
177,Eule::N,ябалаҡ,ugle
178,Kranich::N,торна,trane
179,Krähe::N,ҡарға,kråke
180,Kuckuck::N,кәкүк,gjøk
181,Schwan::N,аҡҡош,svane
182,Fisch::N,балыҡ,fisk
183,Barsch::N,алабуға,abbor
184,Hecht::N,суртан,gjedde
185,Schlange[Tier]::N,йылан,orm
186,Schlange[Tier]::N,йылан,slange
187,Wurm::N,селяүсен,orm
188,Wurm::N,селяүсен,mark
189,Spinne::N,үрмәксе,edderkopp
190,Ameise::N,ҡырмыҫҡа,maur
191,Laus::N,бет,lus
192,Mücke::N,серәкәй,mygg
193,Fliege::N,себен,flue
194,Schmetterling::N,күбәләк,sommerfugl
195,Beere::N,еләк,bær
196,Apfel::N,алма,eple
197,Pilz::N,бәшмәк,sopp
198,Zwiebel::N,һуган,løk
199,Saat::N,орлоҡ,sæd
200,Korn::N,иген,korn
201,Heu::N,бесән,høy
202,Schale::N,ҡабыҡ,skall
203,Grube::N,соҡор,grop
204,Falle::N,тоҙак,felle
205,Falle::N,ҡапҡан,felle
206,Schlinge::N,тоҙак,snare
207,Spur::N,әҫер,spor
208,Asche::N,көл,aske
209,Dreck::N,батҡаҡ,møkk
210,Dreck::N,батҡаҡ,skitt
211,Eisen::N,тимер,jern
212,Gold::N,алтын,gull
213,Silber::N,көмөш,sølv
214,Kohle::N,күмер,kol
215,Kohle::N,күмер,kull
216,Glas::N,быяла,glass
217,Lehm::N,балсыҡ,leire
218,Sand::N,ҡом,sand
219,Mensch::N,кеше,menneske
220,Mann::N,ир,mann
221,Frau::N,ҡатын,kvinne
222,Kind::N,бала,barn
223,Junge::N,малай,gutt
224,Mädchen::N,ҡыҙ,pike
225,Mädchen::N,ҡыҙ,jente
226,Mädchen::N,ҡыҙыҡай,pike
227,Mädchen::N,ҡыҙыҡай,jente
228,Familie::N,ғаилә,familie
229,Großvater::N,олатай,bestefar
230,Großmutter::N,әбәй,bestemor
231,Eltern::N,ата-әсә,foreldre
232,Vater::N,атай,far
233,Mutter::N,әсә,mor
234,Sohn::N,ул,sønn
235,Tochter::N,ҡыҙ,datter
236,Bruder::N,агай,bror
237,Schwester::N,алай,søster
238,Schwester::N,һеңле,søster
239,Onkel::N,ағай,onkel
240,Tante::N,апай,tante
241,Ehemann::N,ир,ektemann
242,Ehefrau::N,ҡатын,hustru
243,Freude::N,шатлыҡ,glede
244,Freude::N,ҡыуаныс,glede
245,Gelächter::N,көлөү,latter
246,Glück::N,бәхет,lykke
247,Kummer::N,ҡайғы,sorg
248,Wunsch::N,теләк,ønske
249,Lust::N,әүәҫлек,lyst
250,Geist::N,аң,ånd
251,Geist::N,рух,ånd
252,Gedanke::N,уй,tanke
253,Gedanke::N,фекер,tanke
254,Gedächtnis::N,хәтер,minne
255,Gedächtnis::N,хәтер,hukommelse
256,Verstand::N,аҡыл,forstand
257,Sinn::N,мәғәня,mening
258,Sinn::N,мәғәня,betydning
259,Grund::N,сәбәп,grunn
260,Wahrheit::N,дөрөҫлөк,sannhet
261,Gespräch::N,әңгәмә,samtale
262,Märchen::N,әкиәт,eventyr
263,Erzählung::N,хикәйә,fortelling
264,Nachricht::N,хәбәр,melding
265,Neuigkeit::N,яңылыҡ,nyhet
266,Name::N,исем,navn
267,Rätsel::N,йомаҡ,gåte
268,Rede::N,телмәр,tale
269,Sprache::N,тел,språk
270,Sprache::N,телмәр,språk
271,Stimme::N,тауыш,stemme
272,Wort::N,һүҙ,ord
273,Zeichen::N,билдә,tegn
274,Ruf::N,саҡырыу,rop
275,Lärm::N,шаулау,bråk
276,Laut::N,тауыш,lyd
277,Ton::N,яңғырау,tone
278,Lied::N,йыр,vise
279,Ruhe::N,ял,ro
280,Ruhe::N,тыныслыҡ,ro
281,Leute::N,кешеләр,folk
282,Volk::N,халҡ,folk
283,Arbeit::N,эш,arbeid
284,Gast::N,ҡунаҡ,gjest
285,Geschenk::N,бүләк,gave
286,Spiel::N,уйын,lek
287,Spiel::N,уйын,spill
288,Gesellschaft::N,йәмғиәт,selskap
289,Hilfe::N,ярҙам,hjelp
290,Freund::N,дуҫ,venn
291,Kamerad::N,иптәш,kamerat
292,Angelegenheit::N,әш,sak
293,Angelegenheit::N,әш,anliggende
294,Anzahl::N,һан,antall
295,Art::N,төр,art
296,Art::N,төр,slag
297,Stück::N,киҫәк,stykke
298,Teil::N,өлөш,del
299,Hälfte::N,ярты,halvdel
300,Kreis::N,түңәрәк,ring
301,Kreis::N,түңәрәк,sirkel
302,Kreuz::N,тәре,kors
303,Kreuz::N,тәре,kryss
304,Linie::N,һыҙыҡ,linje
305,Strich::N,һыҙат,strek
306,Abstand::N,ара,avstand
307,Entfernung::N,алыҫлыҡ,avstand
308,Gegend::N,урын,strøk
309,Platz::N,арауыҡ,plass
310,Ort::N,ерҙәр,sted
311,Ort::N,урындар,sted
312,Ort::N,эш урыны,sted
313,Seite::N,яҡ,side
314,Mitte::N,урталыҡ,midte
315,Gegenstand::N,нәмә,gjenstand
316,Sache::N,нәмә,sak
317,Sache::N,әйбер,sak
318,Rand::N,сит,rand
319,Kante::N,ҡабырға,kant
320,Kante::N,ян,kant
321,Ecke::N,мөйөш,hjørne
322,Spitze::N,ос,spiss
323,Ende::N,аҙаҡ,ende
324,Loch::N,тишек,hull
325,Winkel::N,мөйөш,vinkel
326,Muster::N,биҙәк,mønster
327,Größe::N,ҙурлыҡ,størrelse
328,Länge::N,оҙонлоҡ,lengde
329,Höhe::N,бейеклек,høyde
330,Gewicht::N,үлсәү,vekt
331,Menge::N,һан,mengde
332,Haufen::N,өйөм,haug
333,Haufen::N,өйөм,bunke
334,Reihe::N,рәт,rekke
335,Boot::N,кәмә,båt
336,Ruder::N,ишкәк,åre
337,Schlitten::N,сана,slede
338,Schlitten::N,сана,kjelke
339,Ski::N,саңгы,ski
340,Lagerfeuer::N,костер,leirbål
341,Last::N,ауырлыҡ,bør
342,Last::N,ауырлыҡ,last
343,Gang::N,барыу,gang
344,Schritt::N,аҙым,steg
345,Schritt::N,аҙым,skritt
346,Norden::N,төньяҡ,nord
347,Süden::N,көньяҡ,sør
348,Westen::N,көнбайыш,vest
349,Osten::N,көнсығыш,øst
350,Holz::N,үағас,tre
351,Brett::N,таҡта,fjøl
352,Brett::N,таҡта,brett
353,Platte::N,плита,plate
354,Stütze::N,терәк,støtte
355,Stange::N,кәртә,stang
356,Stock::N,таяҡ,pinne
357,Stab::N,ҡолға,stav
358,Stab::N,ҡолға,kjepp
359,Rohr::N,торба,rør
360,Haus::N,өй,hus
361,Haus::N,йорт,hus
362,Heim::N,өй,hjem
363,Ofen::N,мейес,ovn
364,Fußboden::N,енес,gulv
365,Tisch::N,өҫтәл,bord
366,Stuhl::N,ултырғыс,stol
367,Wiege::N,бишек,vogge
368,Bett::N,карауат,seng
369,Regal::N,кәштә,reol
370,Regal::N,кәштә,hylle
371,Kiste::N,йәшинк,kasse
372,Fenster::N,тәҙрә,vindu
373,Tür::N,ишек,dør
374,Tor::N,ҡапҡа,port
375,Zaun::N,ҡойма,gjerde
376,Dach::N,түбә,tak
377,Dach::N,ҡыйыҡ,tak
378,Leiter::N,баҫҡыс,stige
379,Besen::N,һепертке,kost
380,Spaten::N,көрәк,spade
381,Schaufel::N,көрәк,skuffe
382,Gabel::N,сәнске,gaffel
383,Löffel::N,ҡалаҡ,skje
384,Messer::N,бысаҡ,kniv
385,Nagel::N,сөй,spiker
386,Netz::N,ау,nett
387,Haken::N,ыргаҡ,krok
388,Griff::N,тотҡа,tak
389,Griff::N,тотҡа,håndtak
390,Schloss::N,йоҙаҡ,lås
391,Bild::N,картина,bilde
392,Figur::N,һын,figur
393,Puppe::N,ҡурсаҡ,dukke
394,Beutel::N,тоҡ,pose
395,Bündel::N,төргәк,bylt
396,Tasche::N,сумка,veske
397,Eimer::N,биҙрә,bøtte
398,Deckel::N,ҡапҡас,lokk
399,Geschirr::N,һауыт-һаба,kjøkkentøy
400,Sack::N,тоҡ,sekk
401,Tasse::N,сынаяҡ,kopp
402,Topf::N,кәстрүл,gryte
403,Kessel::N,ҡаҙан,kjele
404,Essen::N,ашау,mål
405,Nahrung::N,аҙыҡ,mat
406,Nahrung::N,аҙыҡ,næring
407,Speise::N,аш,matrett
408,Fleisch::N,ит,kjøtt
409,Getreide::N,иген,korn
410,Getreide::N,ашлыҡ,korn
411,Brei::N,бутҡа,grøt
412,Brot::N,икмәк,brød
413,Scheibe::N,телем,skive
414,Fett::N,май,fett
415,Butter::N,май,smør
416,Öl::N,май буяуы,olje
417,Salz::N,тоҙ,salt
418,Suppe::N,һурпа,suppe
419,Honig::N,бал,honning
420,Milch::N,һөт,melk
421,Tee::N,сәй,te
422,Leder::N,күн,lær
423,Leder::N,күн,skinn
424,Wolle::N,йөн,ull
425,Stoff::N,туҡыма,tøy
426,Stoff::N,туҡыма,stoff
427,Nadel::N,энә,nål
428,Faden::N,еп,tråd
429,Knopf::N,төймә,knapp
430,Knoten::N,төйөн,knute
431,Farbe::N,буяу,farge
432,Kleidung::N,кейем,påkledning
433,Hemd::N,күлдәк,skjorte
434,Kragen::N,яға,krage
435,Ärmel::N,ең,erme
436,Hose::N,салбар,bukse
437,Gürtel::N,ҡайыш,belte
438,Mütze::N,бүрк,lue
439,Schuh::N,туфли,sko
440,Stiefel::N,итек,støvel
441,Ring::N,йөҙөк,ring
442,Ring::N,балдаҡ,ring
443,Band::N,таҫма,band
444,Kamm::N,тараҡ,kam
445,Spiegel::N,көзгө,speil
446,Riemen::N,ҡайыш,rem
447,Schnur::N,бау,snor
448,Leine::N,бау,line
449,Decke::N,одеяд,teppe
450,Kissen::N,мендәр,pute
451,Tuch::N,яулыҡ,tøy
452,Handtuch::N,таҫтамал,håndkle
453,Kraft::N,көс,kraft
454,Stärke::N,көс,styrke
455,Gesundheit::N,һаулыҡ,helse
456,Gesundheit::N,һаулыҡ,sunnhet
457,Krankheit::N,сир,syke
458,Krankheit::N,сир,sykdom
459,Krankheit::N,ауырыу,syke
460,Krankheit::N,ауырыу,sykdom
461,Schmerz::N,һыҙлау,smerte
462,Schmerz::N,әрнеү,smerte
463,Wunde::N,йәрәхәт,sår
464,Fieber::N,тапма,feber
465,Fieber::N,биҙгәк,feber
466,Arznei::N,дарыу,medisin
467,Arznei::N,дарыу,legemiddel
468,Brücke::N,күпер,bro
469,Brunnen::N,ҡоҙоҡ,brønn
470,Weide::N,көтөүлек,beite
471,Pfad::N,һуҡмаҡ,sti
472,Weg::N,юл,vei
473,Straße::N,урам,gate
474,Dorf::N,ауыл,landsby
475,Stadt::N,ҡала,by
476,Brief::N,хат,brev
477,Buch::N,китап,bok
478,Buch::N,кенәгә,bok
479,Buchstabe::N,хәреф,bokstav
480,Zeitung::N,гәзит,avis
481,Leben::N,йәшәү,liv
482,Tod::N,үлем,død
483,Grab::N,ҡәбер,grav
484,Kirche::N,сиркәү,kirke
485,Sünde::N,гөнаһ,synd
486,Gott::N,алла,gud
487,Gott::N,хоҙай,gud
488,Arbeiter::N,эшсе,arbeider
489,Chef::N,башлыҡ,sjef
490,Meister::N,оҫта,mester
491,Arzt::N,врач,lege
492,Lehrer::N,уҡытыусы,lærer
493,Geld::N,аҡса,penger
494,Geschäft::N,эш,forretning
495,Laden::N,магазин,butikk
496,Preis::N,хаҡ,pris
497,Ware::N,тауар,vare
498,Nutzen::N,файҙа,nytte
499,Reichtum::N,байлыҡ,rikdom
500,Welt::N,донъя,verden
501,Land::N,ил,land
502,Staat::N,дәүләт,stat
503,König::N,король,konge
504,Macht::N,власть,makt
505,Grenze::N,сик,grense
506,Krieg::N,һуғыш,krig
507,Feind::N,йылан,fiende
508,Gewalt::N,көслөк,vold
509,Kampf::N,көрәш,kamp
510,Bogen[Waffe]::N,йәйә,bue
511,Pfeil::N,уҡ,pil
512,Gewehr::N,мылтыҡ,gevær
513,Fehler::N,хата,feil
514,Lüge::N,ялған,løgn
515,Schaden::N,зыян,skade
516,Schaden::N,зарар,skade
517,Unglück::N,ҡаза,uhell
518,Schuld::N,ғәйеп,skyld
519,Alter::N,йәш,alder
520,Schluss::N,һуң,slutt
521,Schluss::N,аҙаҡ,slutt
522,Zeit::N,мәл,tid
523,Zeit::N,заман,tid
524,Tag::N,көн,dag
525,Morgen::N,иртә,morgen
526,Morgen::N,иртәнсәк,morgen
527,Mittag::N,төш,middag
528,Abend::N,кис,aften
529,Nacht::N,төн,natt
530,Woche::N,аҙна,uke
531,Monat::N,ай,måned
532,Jahr::N,йыл,år
533,Frühling::N,яҙ,vår
534,Sommer::N,йәй,sommer
535,Herbst::N,көз,høst
536,Winter::N,ҡыш,vinter
537,Januar::N,ғинуар,januar
538,Februar::N,февраль,februar
539,März::N,март,mars
540,April::N,апрель,april
541,Mai::N,май,mai
542,Juni::N,июнь,juni
543,Juli::N,июль,juli
544,August::N,август,august
545,September::N,сентябрь,september
546,Oktober::N,октябрь,oktober
547,November::N,ноябрь,november
548,Dezember::N,декабрь,desember
549,Montag::N,дүшәмбе,mandag
550,Dienstag::N,шишәмбе,tirsdag
551,Mittwoch::N,шаршамбы,onsdag
552,Donnerstag::N,кесаҙна,torsdag
553,Freitag::N,йома,fredag
554,Samstag::N,шәмбе,lørdag
555,Sonntag::N,йәкшәмбе,søndag
556,groß::A,ҙур,stor
557,klein::A,бәләкәс,liten
558,lang::A,оҙон,lang
559,kurz::A,ҡыҫҡа,kort
560,breit::A,киң,bred
561,schmal::A,тар,smal
562,dicht::A,йыш,tett
563,dicht::A,ҡуйы,tett
564,dick[Gegenstand]::A,ҡалын,tykk
565,dünn::A,йоҡа,tynn
566,dünn::A,нәҙек,tynn
567,fein::A,нескә,fin
568,fest::A,ныҡ,fast
569,flach::A,яҫы,flat
570,flach::A,ялпаҡ,flat
571,glatt::A,шыма,glatt
572,hart::A,ҡаты,hard
573,weich::A,йомшаҡ,myk
574,weich::A,йомшаҡ,bløt
575,rund::A,түңәрәк,rund
576,spitz::A,осло түбәле,spiss
577,scharf::A,үткер,kvass
578,stumpf::A,утмәҫ,stubb
579,schwer::A,ауыр,tung
580,schön::A,матур,pen
581,schön::A,матур,vakker
582,heiß::A,эҫе,het
583,warm::A,йылы,varm
584,kalt::A,һыуыҡ,kald
585,kühl::A,һалҡынса,kjølig
586,frisch::A,һалҡынса,fersk
587,feucht::A,еүеш,fuktig
588,feucht::A,дымлы,fuktig
589,nass::A,еүеш,våt
590,trocken::A,кипкән,tørr
591,voll::A,тулы,full
592,leer::A,буш,tom
593,offen::A,асыҡ,åpen
594,geschlossen::A,ябыҡ,lukket
595,sauber::A,таҙа,ren
596,schmutzig::A,бысраҡ,skitten
597,roh::A,сей,rå
598,reif::A,өлгөрғән,moden
599,lecker::A,тәмле,lekker
600,süß::A,тямле,søt
601,süß::A,тәм-том,søt
602,bitter::A,әсе,besk
603,bitter::A,әсе,bitter
604,sauer::A,әсе,sur
605,hell::A,яҡты,lys
606,dunkel::A,ҡараңғы,mørk
607,schwarz::A,ҡара,svart
608,weiß::A,аҡ,hvit
609,rot::A,матур,rød
610,rot::A,һылыу,rød
611,rot::A,сибәр,rød
612,gelb::A,һары,gul
613,blau::A,күк,blå
614,grün::A,йәшел,grønn
615,grau::A,буҙ,grå
616,bunt::A,сыбар,broket
617,bunt::A,ала-ҡола,broket
618,billig::A,арзан,billig
619,teuer::A,ҡыйбатлы,dyr
620,wertvoll::A,ҡиммәтле,verdifull
621,blind::A,һуҡыр,blind
622,taub::A,һаңғырау,døv
623,kräftig::A,көслө,kraftig
624,kräftig::A,ҡеүәтле,kraftig
625,stark::A,көслө,sterk
626,stark::A,ҡеүәтле,sterk
627,schwach::A,көсһөҙ,svak
628,fett::A,һимеҙ,fet
629,schlank::A,зифа,slank
630,hübsch::A,матур,pen
631,böse::A,асыулы,slem
632,dumm::A,иҫәр,dum
633,faul::A,иренсәк,lat
634,faul::A,иренсәк,doven
635,fleißig::A,тырыш,flittig
636,geizig::A,һаран,gjerrig
637,klug::A,аҡыллы,klok
638,geschickt::A,оҫта,hendig
639,geschickt::A,оҫта,skikket
640,lieb::A,яғымлы,kjær
641,lieb::A,яғымлы,snill
642,lustig::A,күңелле,morsom
643,sanft::A,йыуаш,blid
644,hungrig::A,ас,sulten
645,krank::A,сирле,syk
646,krank::A,ауырыу,syk
647,nackt::A,яланғас,naken
648,traurig::A,яманһыу,sørgmodig
649,lebendig::A,тере,levende
650,lebendig::A,йәнле,levende
651,gut::A,яҡшы,god
652,schlecht::A,хөрт,dårlig
653,schlecht::A,алама,dårlig
654,richtig::A,дөрөҫ,riktig
655,schlimm::A,хөрт,slem
656,schlimm::A,алама,slem
657,wahr::A,дөрөҫ,sann
658,alt::A,иҫке,gammel
659,alt::A,боронғо,gammel
660,neu::A,яңы,ny
661,ehemalig::A,элекке,forhenværende
662,alt[Lebewesen]::A,ҡарт,gammel
663,jung::A,йәш,ung
664,arm::A,фәҡир,fattig
665,reich::A,бай,rik
666,bekannt::A,таныш,kjent
667,berühmt::A,атаҡлы,berømt
668,berühmt::A,данлыҡлы,berømt
669,fremd::A,ят,fremmed
670,fremd::A,сит,fremmed
671,verschieden::A,төрлө,forskjellig
672,nah::A,яҡын,nær
673,fern::A,алыҫ,fjern
674,fern::A,йыраҡ,fjern
675,linker::A,һул,venstre
676,rechter::A,уң,høyre
677,anderer::A,бутән,annen
678,erster::A,тәүге,første
679,zweiter::A,икенсе,annen
680,dritter::A,өсөнсө,tredje
681,letzter::A,һуңғы,sist
682,allein::ADV,бер үҙе,alene
683,allein::ADV,яңғыҙ,alene
684,auf einmal::ADV,бер юлы,med ett
685,zusammen::ADV,бергә,sammen
686,lange::ADV,оҙаҡ,lenge
687,plötzlich::ADV,ҡапыл,plutselig
688,sofort::ADV,шунда уҡ,straks
689,später::ADV,һуңыраҡ,senere
690,jetzt::ADV,хәҙер,nå
691,heute::ADV,бөгөн,i dag
692,morgen::ADV,иртәгә,i morgen
693,bald::ADV,тиҙҙән,snart
694,dann::ADV,һуңынан,så
695,gestern::ADV,кисә,i går
696,einst::ADV,ҡасандыр,engang
697,einst::ADV,бер баҡыт,engang
698,damals::ADV,ул саҡта,den gang
699,danach::ADV,һуңынан,deretter
700,vorher::ADV,элек,før
701,vorher::ADV,элек,i forveien
702,zuerst::ADV,башта,først
703,einmal::ADV,бер,en gang
704,manchmal::ADV,ҡайһы берҙә,somme tider
705,oft::ADV,йыш,ofte
706,immer::ADV,һәр ҡасан,alltid
707,niemals::ADV,бер ҡасан да,aldri
708,niemals::ADV,бер ваҡытта ла,aldri
709,hier::ADV,бында,her
710,hierhin::ADV,бында,hit
711,von hier::ADV,бынан,herfra
712,von hier::ADV,ошонан,herfra
713,dort::ADV,шунда,der
714,dort::ADV,тегендә,der
715,dorthin::ADV,шунда,dit
716,dorthin::ADV,тегеләй,dit
717,geradeaus::ADV,тура,rett fram
718,vorwärts::ADV,алға,fram
719,vorwärts::ADV,алға,framover
720,rückwärts::ADV,кирегә,baklengs
721,zurück::ADV,кирегә,tilbake
722,unten::ADV,түбәндә,nede
723,hinab::ADV,түбәнгә,ned
724,hinab::ADV,түбәнгә,nedover
725,oben::ADV,юғарыла,oppe
726,oben::ADV,юғарыла,ovenpå
727,hinauf::ADV,юғарыға,opp
728,hinauf::ADV,юғарыға,oppover
729,überall::ADV,бөтә урында,overalt
730,nicht::ADV,тугел,ikke
731,ein wenig::ADV,аҙ,litt
732,kaum::ADV,көскә,neppe
733,kaum::ADV,саҡ-саҡ,neppe
734,sehr::ADV,ифат,svært
735,so::ADV,шулай,så
736,noch::ADV,йәнә,enda
737,nur::ADV,бары,bare
738,schon::ADV,инде,alt
739,schon::ADV,инде,allerede
740,wieder::ADV,тағы,igjen
741,vergebens::ADV,бушҡа,forgjeves
742,vor::PRP,алдында,foran
743,vor::PRP,алдында,utenfor
744,hinter::PRP,артында,bak
745,hinter::PRP,артында,bakom
746,unter::PRP,аҫтында,under
747,durch::PRP,үтә,gjennom
748,durch::PRP,үтә,igjennom
749,neben::PRP,эргәһендә,ved siden av
750,zwischen::PRP,араһында,mellom
751,wegen::PRP,өсөн,på grunn av
752,wegen::PRP,сәбәпле,på grunn av
753,dies::PRN,был,dette
754,dies::PRN,ошо,dette
755,das::PRN,ул,det
756,alles::PRN,бөтә,alt
757,ich::PRN,мин,jeg
758,du::PRN,һин,du
759,er::PRN,ул,han
760,wir::PRN,беҙ,vi
761,ihr::PRN,һеҙ,dere
762,sie::PRN,улар,de
763,was::FPRN,ә,hva
764,was::FPRN,ни,hva
765,was::FPRN,нәмә,hva
766,wer::FPRN,ҡем,hvem
767,wo::FADV,ҡайҙа,hvor
768,wohin::FADV,ҡайҙа,hvor ... hen
769,wie::FADV,инидәй,hvordan
770,warum::FADV,ин өсөн,hvorfor
771,wieviel::FNUM,күпме,hvor mye
772,eins::NUM,бер,en
773,eins::NUM,бер,ett
774,zwei::NUM,ике,to
775,zwei::NUM,икәү,to
776,drei::NUM,өс,tre
777,vier::NUM,дүрт,fire
778,fünf::NUM,биш,fem
779,sechs::NUM,алты,seks
780,sieben::NUM,ете,sju
781,acht::NUM,һигеҙ,åtte
782,neun::NUM,туғыҙ,ni
783,zehn::NUM,ун,ti
784,elf::NUM,ун бер,elleve
785,zwölf::NUM,ун ике,tolv
786,zwanzig::NUM,егерме,tjue
787,dreißig::NUM,утыҙ,tretti
788,vierzig::NUM,ҡырҡ,førti
789,fünfzig::NUM,илле,femti
