,Concept_ID,ab,pt
60,Geruch::N,афҩы,odor
61,Geruch::N,афҩы,cheiro
62,Schlaf::N,ацəа,sono
63,Traum::N,аҧхыӡ,sonho
64,Himmel::N,ажəҩан,céu
65,Sonne::N,амра,sol
66,Mond::N,амза,lua
67,Stern::N,аеҵəа,estrela
68,Luft::N,аҳаир,ar
69,Wind::N,аҧша,vento
70,Welle::N,ацəқəырҧа,onda
71,Wasser::N,аӡы,água
72,Stein::N,ахаҳə,pedra
73,Boden::N,адгьыл,solo
74,Erde::N,адгьыл,terra
75,Staub::N,асаба,pó
76,Rauch::N,алҩа,fumo
77,Funke::N,акəиц,faísca
78,Funke::N,акəиц,centelha
79,Funke::N,ацҧхь,faísca
80,Funke::N,ацҧхь,centelha
81,Feuer::N,амца,fogo
82,Licht::N,алашара,luz
83,Schatten::N,ашəшьыра,sombra
84,Wetter::N,амш,tempo
85,Nebel::N,анаҟəа,nevoeiro
86,Wolke::N,аҧсҭҳəа,nuvem
87,Regen::N,ақəа,chuva
88,Schnee::N,асы,neve
89,Eis::N,аҵаа,gelo
90,Frost::N,аҵаа,gelo
91,Frost::N,аҵаа,geada
92,Kälte::N,ахьҭа,frio
93,Hitze::N,ашоура,ardor
94,Raureif::N,аҵааҧшқа,geada
95,Regenbogen::N,ацəаҟəа,arco-iris
96,Donner::N,адыд,trovão
97,Strömung::N,аиасра,corrente
98,Strömung::N,амҩасра,corrente
99,Tropfen::N,ацəыкəбар,gota
100,Schaum::N,ашəах,espuma
101,Schmutz::N,алымт,sujidade
102,Schmutz::N,алымт,imundície
103,See::N,аӡиа,lago
104,Sumpf::N,аӡмах,charco
105,Sumpf::N,аӡмах,pântano
106,Wiese::N,адəы,prado
107,Wald::N,абна,bosque
108,Wald::N,абна,floresta
109,Hügel::N,ахəы,colina
110,Anhöhe::N,аҳаракыра,alto
111,Anhöhe::N,аҳаракыра,outeiro
112,Berg::N,ашьха,monte
113,Berg::N,ашьха,montanha
114,Gipfel::N,ацəқəа,pico
115,Höhle::N,аҳаҧы,caverna
116,Abhang::N,анаара,encosta
117,Quelle::N,аҵҵырҭа,fonte
118,Bach::N,акəараҷҷа,regato
119,Bach::N,акəараҷҷа,ribeiro
120,Fluss::N,аӡиас,rio
121,Ufer::N,ахықə,beira
122,Küste::N,ахықə,costa
123,Festland::N,абарра,terra firme
124,Meer::N,амшын,mar
125,Bucht::N,аӡбжьахала,baía
126,Insel::N,адгьылбжьаха,ilha
127,Blume::N,ашəҭ,flor
128,Gras::N,аҳасакьын,erva
129,Wurzel::N,адац,raiz
130,Baum::N,аҵла,árvore
131,Stamm::N,ашьапы,tronco
132,Rinde::N,ацəа,casca
133,Ast::N,амахə,ramo
134,Ast::N,амахəҭа,ramo
135,Zweig::N,амахə,galho
136,Zweig::N,амахəҭа,galho
137,Blatt::N,абҕьы,folha
138,Birke::N,аҵааҵла,bétula
139,Kiefer[Baum]::N,амза,pinheiro
140,Weide[Baum]::N,аҧслыш,salgueiro
141,Tanne::N,аҧсаӡ,abeto
142,Horn::N,атəыҩа,corno
143,Horn::N,атəыҩа,chifre
144,Feder::N,ахӡы,pena
145,Fell::N,ацəа,pele
146,Flügel::N,амҵəыжəа,asa
147,Klaue::N,ашьапхыц,pata
148,Schwanz::N,аҵыхəа,rabo
149,Schwanz::N,аҵыхəа,cauda
150,Ei::N,акəтаӷь,ovo
151,Nest::N,аҭра,ninho
152,Nest::N,аҵысҭра,ninho
153,Bau::N,аҭыҩра,toca
154,Bau::N,аҭыҩра,covil
155,Tier::N,аҧстəы,animal
156,Tier::N,агыгшəыг,animal
157,Herde::N,агəарҭа,rebanho
158,Kuh::N,ажə,vaca
159,Bulle::N,ацə,touro
160,Pferd::N,аҽы,cavalo
161,Schaf::N,ауаса,ovelha
162,Schwein::N,аҳəа,porco
163,Hund::N,ала,cão
164,Katze::N,ацгəы,gata
165,Bär::N,амшə,urso
166,Eichhörnchen::N,аеш,esquilo
167,Elch::N,аҽаҩа,alce
168,Fuchs::N,абгахəыҷы,raposa
169,Hase::N,ажьа,lebre
170,Maus::N,аҳəынаҧ,rato
171,Wolf::N,абгаду,lobo
172,Vogel::N,аҧсаатə,ave
173,Vogel::N,аҧсаатə,pássaro
174,Huhn::N,акəты,galinha
175,Hahn::N,арбаҕь,galo
176,Gans::N,аҟыз,ganso
177,Adler::N,ауарба,águia
178,Ente::N,акəата,pata
179,Eule::N,аты,mocho
180,Eule::N,аты,coruja
181,Kranich::N,апҟа,grou
182,Krähe::N,аҟəараан,gralha
183,Kuckuck::N,акəыкəу,cuco
184,Schwan::N,агьад,cisne
185,Fisch::N,аҧсыӡ,peixe
186,Barsch::N,ацəыбла,perca
187,Hecht::N,ахиаала,lúcio
188,Schlange[Tier]::N,амаҭ,serpente
189,Wurm::N,ахəа,verme
190,Wurm::N,ахəац,verme
191,Spinne::N,абызкаҭаҳа,aranha
192,Ameise::N,ашышкамс,formiga
193,Laus::N,аҵа,piolho
194,Mücke::N,акəыбры,mosquito
195,Fliege::N,амҵ,mosca
196,Schmetterling::N,аҧарҧалыкь,borboleta
197,Beere::N,аргуц,bago
198,Apfel::N,аҵəа,maçã
199,Pilz::N,акəкəбаа,fungo
200,Pilz::N,акəкəбаа,cogumelo
201,Zwiebel::N,аџьымшьы,cebola
202,Zwiebel::N,аџьымшьхы,cebola
203,Saat::N,ажəла,sementeira
204,Korn::N,арыц,grão
205,Heu::N,аҭəа,feno
206,Schale::N,ацəа,casca
207,Grube::N,ажра,cova
208,Grube::N,ажра,fossa
209,Grube::N,атыша,cova
210,Grube::N,атыша,fossa
211,Falle::N,арыҧҟьа,armadilha
212,Schlinge::N,аҟəараҟəантə,laço
213,Spur::N,ашьҭа,pista
214,Spur::N,ашьҭа,vestígio
215,Asche::N,ахəа,cinza
216,Dreck::N,аҳəынҵəа,sujidade
217,Dreck::N,аҟьамсар,sujidade
218,Eisen::N,аиха,ferro
219,Gold::N,ахьы,ouro
220,Silber::N,аразны,prata
221,Kohle::N,арацəа,carvão
222,Glas::N,асаркьа,vidro
223,Lehm::N,анышəаҧшь,barro
224,Lehm::N,анышəаҧшь,argila
225,Sand::N,аҧслымӡ,areia
226,Mensch::N,ауаҩы,homem
227,Mensch::N,ауаҩы,pessoa
228,Mann::N,ахаҵа,homem
229,Frau::N,аҧҳəыс,mulher
230,Kind::N,ахəыҷы,filho
231,Kind::N,ахəыҷы,criança
232,Junge::N,аҷкəын,rapaz
233,Junge::N,аҷкəын,menino
234,Junge::N,ахаҵарҧыс,rapaz
235,Junge::N,ахаҵарҧыс,menino
236,Mädchen::N,аӡӷаб,menina
237,Mädchen::N,аӡӷаб,rapariga
238,Familie::N,аҭаацəа,família
239,Großvater::N,абду,avô
240,Großmutter::N,анду,avó
241,Eltern::N,ани аби,pais
242,Vater::N,аб,pai
243,Mutter::N,ан,mãe
244,Sohn::N,аҧа,filho
245,Tochter::N,аҧҳа,filha
246,Bruder::N,аиашьа,irmão
247,Schwester::N,Аҳəшьа,irmã
248,Onkel::N,абиашьа,tio
249,Onkel::N,аншьа,tio
250,Tante::N,абиаҳəшьа,tia
251,Ehemann::N,ахаҵа,esposo
252,Ehemann::N,аҧшəма,esposo
253,Ehefrau::N,аҧҳəыс,esposa
254,Freude::N,агəырӷьара,prazer
255,Freude::N,агəырӷьара,alegria
256,Gelächter::N,ачча,risada
257,Gelächter::N,ачча,gargalhada
258,Gelächter::N,аччара,risada
259,Gelächter::N,аччара,gargalhada
260,Glück::N,аразҟы,felicidade
261,Kummer::N,агəырҩа,aflição
262,Kummer::N,агəырҩа,desgosto
263,Wunsch::N,агəхəтəы,desejo
264,Wunsch::N,аҭахра,desejo
265,Lust::N,агəазыҳəара,vontade
266,Geist::N,аҧсы,mente
267,Geist::N,аҧсы,espírito
268,Gedanke::N,ахəыцырҭа,ideia
269,Gedanke::N,ахəыцырҭа,pensamento
270,Gedächtnis::N,агəынкылара,memória
271,Verstand::N,ахшыҩ,razão
272,Verstand::N,ахшыҩ,inteligência
273,Sinn::N,аҵакы,sentido
274,Sinn::N,аҵакы,significado
275,Grund::N,амзыз,causa
276,Grund::N,амзыз,motivo
277,Wahrheit::N,аиаша,verdade
278,Gespräch::N,аиҿцәажәара,conversa
279,Gespräch::N,аиҿцәажәара,conversação
280,Märchen::N,алакə,conto
281,Erzählung::N,ажәабжь,conto
282,Erzählung::N,ажәабжь,narrativa
283,Nachricht::N,адырраҭара,mensagem
284,Neuigkeit::N,ажәабжь ҿыц,notícia
285,Neuigkeit::N,ажәабжь ҿыц,novidade
286,Name::N,ахьӡ,nome
287,Rätsel::N,ацуфара,adivinha
288,Rede::N,ажәа,oração
289,Rede::N,ажәа,discurso
290,Sprache::N,абызшəа,língua
291,Stimme::N,абжьы,voz
292,Wort::N,ажәа,palavra
293,Zeichen::N,адырга,marca
294,Ruf::N,аҿҭы,grito
295,Ruf::N,аҿҭы,chamada
296,Lärm::N,ашьҭыбжь,ruído
297,Lärm::N,ашьҭыбжь,barulho
298,Laut::N,ашьҭыбжь,som
299,Ton::N,атон,tom
300,Lied::N,ашəа,canção
301,Ruhe::N,аҭынчра,calma
302,Ruhe::N,аҭынчра,silêncio
303,Leute::N,ауаа,gente
304,Leute::N,ауаа,pessoas
305,Volk::N,ажəлар,povo
306,Volk::N,ажəлар,nação
307,Arbeit::N,аусура,trabalho
308,Gast::N,асас,hóspede
309,Gast::N,асас,convidado
310,Geschenk::N,аҳамҭа,prenda
311,Geschenk::N,аҳамҭа,presente
312,Geschenk::N,аҿанҵа,prenda
313,Geschenk::N,аҿанҵа,presente
314,Spiel::N,ахəмарра,jogo
315,Gesellschaft::N,агəыҧ,companhia
316,Hilfe::N,ацхыраара,ajuda
317,Hilfe::N,ацхыраара,socorro
318,Freund::N,аҩыза,amigo
319,Kamerad::N,Аҧхнагьла,camarada
320,Angelegenheit::N,аус,assunto
321,Anzahl::N,ахыҧхьаӡара,número
322,Anzahl::N,ахыҧхьаӡара,quantidade
323,Art::N,ахкы,tipo
324,Art::N,ахкы,espécie
325,Stück::N,аҽыҭ,pedaço
326,Teil::N,ахəҭа,peça
327,Teil::N,ахəҭа,parte
328,Hälfte::N,абжа,metade
329,Kreis::N,агьагьа,círculo
330,Kreuz::N,аџьар,cruz
331,Linie::N,аицтәар,linha
332,Strich::N,ацəаҳəа,traço
333,Abstand::N,абжьара,distância
334,Entfernung::N,абжьара,distância
335,Gegend::N,аҭыҧ,área
336,Gegend::N,аҭыҧ,região
337,Platz::N,аҭыҧ,lugar
338,Ort::N,аҭыҧ,sítio
339,Seite::N,аган,lado
340,Mitte::N,агəҭа,meio
341,Gegenstand::N,амаҭəар,objecto
342,Rand::N,аҵкар,bordo
343,Rand::N,аҵкар,margem
344,Kante::N,авардым,borda
345,Kante::N,авардым,aresta
346,Ecke::N,акəакь,esquina
347,Spitze::N,аҧынҵа,ponta
348,Ende::N,анаӡара,cabo
349,Ende::N,анаӡара,extremo
350,Loch::N,акылҵəара,furo
351,Loch::N,акылҵəара,buraco
352,Winkel::N,агҿаҩра,canto
353,Winkel::N,агҿаҩра,ângulo
354,Winkel::N,акəындхə,canto
355,Winkel::N,акəындхə,ângulo
356,Winkel::N,акəакь,canto
357,Winkel::N,акəакь,ângulo
358,Muster::N,аҟҟа,padrão
359,Muster::N,аҟҟа,desenho
360,Größe::N,изаҟароу,tamanho
361,Länge::N,аура,comprimento
362,Höhe::N,агылара,altura
363,Höhe::N,агылара,altitude
364,Gewicht::N,акапан,peso
365,Haufen::N,ачаҟəа,pilha
366,Reihe::N,ацəаҳəа,fila
367,Boot::N,анышь,barco
368,Ruder::N,ажəҩа,remo
369,Schlitten::N,ашəаҩауардын,trenó
370,Ski::N,ашəаҩа,esqui
371,Ski::N,ашьахаха,esqui
372,Lagerfeuer::N,еиқуу амца,fogueira
373,Last::N,ахьанҭара,carga
374,Gang::N,аныҟəара,curso
375,Gang::N,аныҟəара,caminhada
376,Schritt::N,ашьаҿа,passo
377,Norden::N,аҩада,norte
378,Süden::N,алада,sul
379,Westen::N,амраҭашəара,oeste
380,Westen::N,амраҭашəара,ocidente
381,Osten::N,амрагылара,este
382,Osten::N,амрагылара,leste
383,Osten::N,амрагылара,oriente
384,Holz::N,амҿымаҭəахə,madeira
385,Brett::N,аӷəы,tábua
386,Brett::N,аӷəы,prancha
387,Platte::N,ахаҳәцәы,laje
388,Platte::N,ахаҳәцәы,chapa
389,Stütze::N,аҵаргəа,apoio
390,Stütze::N,аҵаргəа,suporte
391,Stütze::N,агəышьаҟа,apoio
392,Stütze::N,агəышьаҟа,suporte
393,Stange::N,акьат,vara
394,Stange::N,акьат,barra
395,Stock::N,алаба,pau
396,Stock::N,алаба,bengala
397,Stab::N,акьат,bastão
398,Rohr::N,абыкь,cano
399,Haus::N,аҩны,casa
400,Heim::N,аҭаацəа,lar
401,Heim::N,аҭаацəа,casa
402,Ofen::N,аҳақə,estufa
403,Ofen::N,аҳақə,aquecedor
404,Ofen::N,ауаџьаҟ,estufa
405,Ofen::N,ауаџьаҟ,aquecedor
406,Ofen::N,афрына,estufa
407,Ofen::N,афрына,aquecedor
408,Fußboden::N,адашьма,piso
409,Tisch::N,аишәа,mesa
410,Stuhl::N,аҟəардə,cadeira
411,Wiege::N,агара,berço
412,Bett::N,акаруаҭ,cama
413,Regal::N,акыӷəра,estante
414,Regal::N,акыӷəра,prateleira
415,Kiste::N,аидчаҧала,caixa
416,Fenster::N,аҧенџьыр,janela
417,Tür::N,ашə,porta
418,Tor::N,агəашə,portão
419,Zaun::N,аанда,cerca
420,Zaun::N,аанда,vedação
421,Dach::N,ахыб,telhado
422,Leiter::N,амардуан,escada
423,Leiter::N,амардуан,escada móvel
424,Besen::N,аҧссага,vassoura
425,Spaten::N,ажыга,pá
426,Schaufel::N,аҭəарӷəы,pá
427,Gabel::N,ачқьыҧ,garfo
428,Löffel::N,амҳаҵə,colher
429,Messer::N,аҳəызба,faca
430,Nagel::N,аҵəымӷ,cravo
431,Netz::N,акаҭа,rede
432,Haken::N,аҵəаҳə,gancho
433,Griff::N,амаа,asa
434,Griff::N,амаа,cabo
435,Schloss::N,асаҧаҭ,fechadura
436,Bild::N,асахьа,imagem
437,Figur::N,афигура,figura
438,Puppe::N,акьанџьа,boneca
439,Beutel::N,асакь,saco
440,Beutel::N,асакь,bolsa
441,Bündel::N,аҿаҳəара,fardo
442,Tasche::N,арҭмаҟ,saco
443,Tasche::N,арҭмаҟ,bolso
444,Eimer::N,аведра,balde
445,Deckel::N,ахҩа,tampa
446,Geschirr::N,ачысмаҭəа,louça
447,Sack::N,асакь,saca
448,Tasse::N,аҵəца,chávena
449,Topf::N,акаструлиа,tacho
450,Topf::N,акаструлиа,panela
451,Kessel::N,ачуан,caldeira
452,Nahrung::N,афатə,comida
453,Nahrung::N,афатə,alimento
454,Speise::N,афатə,prato
455,Fleisch::N,акəац,carne
456,Getreide::N,ачакуа,cereais
457,Brei::N,ақашь,puré
458,Brot::N,ача,pão
459,Scheibe::N,аҽыҭ,fatia
460,Scheibe::N,аҿаҵа,fatia
461,Fett::N,ашша,banha
462,Fett::N,ашша,gordura
463,Butter::N,ахəша,manteiga
464,Öl::N,азеҭ,azeite
465,Salz::N,аџьыка,sal
466,Suppe::N,асуҧ,sopa
467,Suppe::N,асуҧ,caldo
468,Honig::N,ацха,mel
469,Milch::N,ахш,leite
470,Tee::N,ачаи,chá
471,Leder::N,ацəа,couro
472,Wolle::N,аласа,lã
473,Stoff::N,Аба,pano
474,Stoff::N,Аба,tecido
475,Nadel::N,агəыр,agulha
476,Faden::N,арахəыц,fio
477,Knopf::N,аҳəынҵəра,botão
478,Knoten::N,аиқəҳəала,nó
479,Farbe::N,ашəыга,corante
480,Kleidung::N,амаҭəа,roupa
481,Kleidung::N,амаҭəа,vestuário
482,Hemd::N,акьаҿ,camisa
483,Kragen::N,ахəда,gola
484,Ärmel::N,амаӷра,manga
485,Hose::N,аиқəа,calça
486,Gürtel::N,амаҟа,cinto
487,Mütze::N,ахылҧа,boné
488,Mütze::N,ахылҧа,barrete
489,Schuh::N,аимаа,sapato
490,Stiefel::N,амагə,bota
491,Ring::N,амацəаз,anel
492,Band::N,алента,fita
493,Band::N,алента,faixa
494,Kamm::N,ахҳəа,pente
495,Spiegel::N,асаркьа,espelho
496,Riemen::N,аа,correia
497,Schnur::N,ашаха,corda
498,Schnur::N,ашаха,cordel
499,Leine::N,аҕура,trela
500,Decke::N,ахыза,cobertor
501,Kissen::N,ахчы,almofada
502,Tuch::N,акасы,pano
503,Handtuch::N,ампахьшьы,toalha
504,Kraft::N,амч,força
505,Stärke::N,амч,força
506,Gesundheit::N,агəабзиара,saúde
507,Krankheit::N,ачымазара,doença
508,Krankheit::N,ачымазара,enfermidade
509,Schmerz::N,ахьаа,dor
510,Wunde::N,ахəра,chaga
511,Wunde::N,ахəра,ferida
512,Fieber::N,ашоура,febre
513,Arznei::N,ахəшə,remédio
514,Brücke::N,ацҳа,ponte
515,Brunnen::N,аҵыџь,poço
516,Weide::N,аҳəырҭа,pastagem
517,Pfad::N,амхəасҭа,senda
518,Pfad::N,амхəасҭа,trilho
519,Weg::N,амҩа,caminho
520,Straße::N,амҩа,via
521,Straße::N,амҩа,estrada
522,Dorf::N,ақыҭа,aldeia
523,Stadt::N,ақалақь,cidade
524,Brief::N,ашəҟəы,carta
525,Buch::N,ашəҟəы,livro
526,Buchstabe::N,анбан,letra
527,Zeitung::N,агазеҭ,jornal
528,Leben::N,аҧсҭазаара,vida
529,Tod::N,аҧсра,morte
530,Grab::N,анышəынҭра,túmulo
531,Grab::N,анышəынҭра,sepultura
532,Kirche::N,ауахəама,igreja
533,Sünde::N,агəнаҳа,pecado
534,Gott::N,анцəа,deus
535,Arbeiter::N,аусуҩ,operário
536,Arbeiter::N,аусуҩ,trabalhador
537,Chef::N,Аиҳабы,chefe
538,Chef::N,Аиҳабы,patrão
539,Meister::N,аҟаза,mestre
540,Arzt::N,аҳақьым,médico
541,Lehrer::N,арҵаҩы,professor
542,Geld::N,аҧара,dinheiro
543,Laden::N,амагазин,loja
544,Preis::N,ахə,preço
545,Ware::N,атауар,mercadoria
546,Nutzen::N,ақьар,proveito
547,Reichtum::N,абеиара,riqueza
548,Welt::N,адунеи,mundo
549,Land::N,атəыла,país
550,Staat::N,аҳəынҭқарра,Estado
551,König::N,акрал,rei
552,Macht::N,амчра,poder
553,Macht::N,амчра,potência
554,Grenze::N,аҳəаа,fronteira
555,Krieg::N,аибашьра,guerra
556,Feind::N,Аҕа,inimigo
557,Gewalt::N,ақəымчра,violência
558,Kampf::N,ақəҧара,luta
559,Kampf::N,ақəҧара,combate
560,Bogen[Waffe]::N,ахыц,arco
561,Pfeil::N,ахəымпал,seta
562,Pfeil::N,ахəымпал,flecha
563,Gewehr::N,ашəақь,espingarda
564,Fehler::N,агха,erro
565,Fehler::N,агха,falha
566,Lüge::N,амц,mentira
567,Schaden::N,аҧырхага,dano
568,Schaden::N,аҧырхага,estrago
569,Unglück::N,арыцҳара,desgraça
570,Schuld::N,ахара,culpa
571,Alter::N,ақəра,idade
572,Schluss::N,анҵəамҭа,fim
573,Zeit::N,аамта,tempo
574,Tag::N,амш,dia
575,Morgen::N,ашара,manhã
576,Morgen::N,ашьыбжь,manhã
577,Mittag::N,шьыбжьон,meio-dia
578,Abend::N,ахəылҧаз,noite
579,Abend::N,ахəылҧаз,tardinha
580,Abend::N,ахəлбыҽха,noite
581,Abend::N,ахəлбыҽха,tardinha
582,Nacht::N,аҵх,noite
583,Woche::N,амчыбжь,semana
584,Frühling::N,ааҕын,primavera
585,Sommer::N,аҧхын,verão
586,Herbst::N,ҭагалан,outono
587,Herbst::N,хкаарачан,outono
588,Winter::N,аӡын,inverno
589,Januar::N,ианвар,Janeiro
590,Februar::N,февраль,Fevereiro
591,März::N,март,Março
592,April::N,апрель,Abril
593,Mai::N,маи,Maio
594,Juni::N,иуун,Junho
595,Juli::N,иууль,Julho
596,August::N,август,Agosto
597,September::N,сентиабр,Setembro
598,Oktober::N,октиабр,Outubro
599,November::N,ноиабр,Novembro
600,Dezember::N,декабр,Dezembro
601,Montag::N,ашəахьа,segunda-feira
602,Dienstag::N,аҩаша,terça-feira
603,Mittwoch::N,ахаша,quarta-feira
604,Donnerstag::N,аҧшьаша,quinta-feira
605,Freitag::N,ахəаша,sexta-feira
606,Samstag::N,асабша,sábado
607,Sonntag::N,амҽыша,domingo
608,groß::A,аду,grande
609,klein::A,амаҷ,pequeno
610,lang::A,ахəхəа,comprido
611,kurz::A,акьаҿ,curto
612,breit::A,аиужь,largo
613,breit::A,аиҵых,largo
614,schmal::A,аҭшəа,estreito
615,dicht::A,аилач,denso
616,dick[Gegenstand]::A,ажəпа,grosso
617,fein::A,апа,fino
618,fein::A,апа,subtil
619,fein::A,аҵаӷа,fino
620,fein::A,аҵаӷа,subtil
621,fein::A,аӡа,fino
622,fein::A,аӡа,subtil
623,fest::A,аҟаца,firme
624,fest::A,аҟаца,sólido
625,fest::A,аӷəӷəаҟаца,firme
626,fest::A,аӷəӷəаҟаца,sólido
627,flach::A,ақəаҟьа,plano
628,flach::A,аҧаҟьа,plano
629,glatt::A,аимаҩзы,liso
630,hart::A,акьакьа,duro
631,weich::A,атата,mole
632,rund::A,акəмпыл,redondo
633,spitz::A,аҵар,agudo
634,scharf::A,аҵар,afiado
635,stumpf::A,ацагə,rombo
636,schwer::A,ахьанҭа,pesado
637,schön::A,аҧшӡа,belo
638,schön::A,аҧшӡа,bonito
639,heiß::A,ашы,quente
640,warm::A,аҧха,quente
641,kalt::A,ахьшəашəа,frio
642,kühl::A,ахьшəашəа,fresco
643,kühl::A,ицәыхьшәашәоу,fresco
644,frisch::A,цқьа,fresco
645,feucht::A,ацəаак,húmido
646,nass::A,абааӡа,molhado
647,trocken::A,Аба,seco
648,trocken::A,аҩа,seco
649,voll::A,азна,cheio
650,leer::A,аҭацəы,vazio
651,offen::A,аарта,aberto
652,geschlossen::A,ихҩоу,fechado
653,geschlossen::A,иаркыу,fechado
654,sauber::A,ацқьа,limpo
655,schmutzig::A,аҟьашь,sujo
656,reif::A,Арҭ,maduro
657,reif::A,аҟала,maduro
658,reif::A,иҟалахьоу,maduro
659,lecker::A,ахаа,delicioso
660,süß::A,азла,doce
661,bitter::A,аша,amargo
662,sauer::A,аҵəҵəы,azedo
663,hell::A,алаша,claro
664,dunkel::A,алашьца,escuro
665,dunkel::A,алашьца,sombrio
666,schwarz::A,аиқуаҵәа,preto
667,weiß::A,ашкəакəа,branco
668,rot::A,аҟаҧшь,vermelho
669,gelb::A,аҩеижь,amarelo
670,blau::A,аҽҵәа,azul
671,grün::A,ашьацҧшҭəала,verde
672,grün::A,аеҵəа,verde
673,grau::A,ацəыш,cinzento
674,bunt::A,Аилыҕраа,colorido
675,bunt::A,аҕраҷкəын,colorido
676,billig::A,амариа,barato
677,teuer::A,амҩан,caro
678,wertvoll::A,кыр иаҕсоу,valioso
679,wertvoll::A,кыр иаҕсоу,precioso
680,wertvoll::A,акыр иаҕсоу,valioso
681,wertvoll::A,акыр иаҕсоу,precioso
682,blind::A,алашə,cego
683,taub::A,адагəа,surdo
684,kräftig::A,аӷəӷəа,forte
685,kräftig::A,аӷəӷəа,poderoso
686,stark::A,абаҟа,forte
687,stark::A,абаҟа,robusto
688,schwach::A,акəада,débil
689,fett::A,аҧсыла,gordo
690,schlank::A,акала,esbelto
691,schlank::A,акьалантар,esbelto
692,schlank::A,аиҿартə,esbelto
693,hübsch::A,аҧшӡа,giro
694,hübsch::A,аҧшӡа,bonito
695,böse::A,абааҧсы,mau
696,dumm::A,агаӡа,parvo
697,dumm::A,агаӡа,estúpido
698,faul::A,аашьа,preguiçoso
699,fleißig::A,иҟубҷоу,aplicado
700,fleißig::A,иҟубҷоу,diligente
701,geizig::A,акы,avarento
702,geizig::A,акаҷбеи,avarento
703,geizig::A,аҟəџьыр,avarento
704,klug::A,аҟəыш,prudente
705,klug::A,аҟəыш,inteligente
706,klug::A,аҟəыӷа,prudente
707,klug::A,аҟəыӷа,inteligente
708,geschickt::A,напҟазала,hábil
709,lieb::A,алашара,caro
710,lieb::A,алашара,querido
711,lustig::A,алах-ҿых,alegre
712,lustig::A,игурҕьаччо,alegre
713,lustig::A,агурҕьа,alegre
714,lustig::A,агурҿыхага,alegre
715,sanft::A,атата,suave
716,sanft::A,атата,brando
717,sanft::A,аҟəымшəышə,suave
718,sanft::A,аҟəымшəышə,brando
719,sanft::A,ақьыҧш,suave
720,sanft::A,ақьыҧш,brando
721,hungrig::A,амлашь,faminto
722,krank::A,ачымазаҩ,doente
723,krank::A,ачымазаҩ,enfermo
724,nackt::A,аҟьантаз,nu
725,nackt::A,аҟьантаз,despido
726,traurig::A,алахьеиқəҵага,triste
727,lebendig::A,абза,vivo
728,gut::A,абзиа,bom
729,schlecht::A,-хəарҭам,mau
730,schlecht::A,-хəарҭам,ruim
731,richtig::A,иашоу,justo
732,richtig::A,иашоу,correcto
733,schlimm::A,абааҧсы,mau
734,schlimm::A,абааҧсы,grave
735,wahr::A,агəҭылса,verdadeiro
736,wahr::A,абзиаҵəҟьа,verdadeiro
737,alt::A,Ажə,velho
738,alt::A,Ажə,antigo
739,neu::A,аҿыц,novo
740,ehemalig::A,анкьатәи,antigo
741,alt[Lebewesen]::A,абырг,velho
