,Concept_ID,da,lbe
183,Laus::N,lus,
184,Mücke::N,myg,мичӏак
185,Fliege::N,flue,зимиз
186,Schmetterling::N,sommerfugl,чӏимучӏали
187,Beere::N,bær,хӏаллил ахъулсса
188,Apfel::N,æble,гьивч
189,Pilz::N,svamp,ттуккул иис
190,Zwiebel::N,løg,лаччул чсмусул бакӏ
191,Saat::N,sæd,гьанна
192,Korn::N,korn,къама
193,Heu::N,hø,ххулув
194,Schale::N,skræl,ккиртту
195,Grube::N,grav,кӏаланг
196,Falle::N,fælde,къатӏа
197,Schlinge::N,snare,хӏатӏ
198,Spur::N,spor,ша
199,Asche::N,aske,лах
200,Dreck::N,snavs,кьяркьи
201,Dreck::N,snavs,венп
202,Eisen::N,jern,мах
203,Gold::N,guld,муси
204,Silber::N,sølv,арцу
205,Kohle::N,kul,кӏалаш
206,Kohle::N,kul,хъуручӏ
207,Glas::N,glas,пюрун
208,Lehm::N,ler,сина аьрщи
209,Sand::N,sand,къун
210,Mensch::N,mennesge,инсан
211,Mann::N,mand,чув
212,Mann::N,mand,адимина
213,Frau::N,kvinde,щарсса
214,Frau::N,kvinde,хъамитайпа
215,Kind::N,barn,чӏиви оьрчӏ
216,Junge::N,dreng,оьрчӏ
217,Junge::N,dreng,бурхьин оьрчӏ
218,Mädchen::N,pige,душ
219,Familie::N,familie,кулпат
220,Großvater::N,bedstefar,ттатта
221,Großvater::N,bedstefar,ниттил ппу
222,Großmutter::N,bedstemor,буттал нину
223,Eltern::N,forældre,нину-ппу
224,Vater::N,far,ппу
225,Mutter::N,mor,нину
226,Sohn::N,søn,арс
227,Tochter::N,datter,душ
228,Bruder::N,bror,уссу
229,Schwester::N,søster,ссу
230,Onkel::N,onkel,буттауссу
231,Tante::N,tante,буттал ссу
232,Ehemann::N,ægtemand,лас
233,Ehefrau::N,hustru,щар
234,Ehefrau::N,hustru,щарсса
235,Freude::N,glæde,шадшиву
236,Freude::N,glæde,ххаришиву
237,Gelächter::N,latter,хъяхъаву
238,Glück::N,lykke,талихӏ
239,Kummer::N,sorg,дард
240,Wunsch::N,ønske,мурад
241,Lust::N,lyst,гьавас
242,Lust::N,lyst,ччаву
243,Geist::N,ånd,рухӏ
244,Gedanke::N,tanke,пикри
245,Gedächtnis::N,hukommelse,дакӏний личӏаву
246,Verstand::N,forstand,аькьлу
247,Sinn::N,mening,мяъна
248,Sinn::N,betydning,мяъна
249,Grund::N,grund,багьана
250,Wahrheit::N,sandhed,тӏайламур
251,Wahrheit::N,sandhed,хӏакьмур
252,Gespräch::N,samtale,ихтилат
253,Märchen::N,eventyr,магьа
254,Erzählung::N,fortælling,хавар
255,Nachricht::N,efterretning,хавар
256,Neuigkeit::N,nyhed,хавар
257,Name::N,navn,цӏа
258,Rätsel::N,gåde,ссигьа
259,Rede::N,tale,гъалгъа
260,Sprache::N,sprog,маз
261,Stimme::N,stemme,чӏу
262,Stimme::N,stemme,чӏукӏа
263,Wort::N,ord,махъ
264,Zeichen::N,tegn,лишан
265,Ruf::N,råb,
266,Lärm::N,larm,чӏу
267,Laut::N,lyd,чӏу
268,Ton::N,tone,чӏу
269,Lied::N,sang,балай
270,Ruhe::N,ro,дигьалагру
271,Ruhe::N,hvile,дигьалагру
272,Leute::N,folk,инсантал
273,Leute::N,mennesker,инсантал
274,Volk::N,folk,ил
275,Volk::N,folk,халкь
276,Arbeit::N,arbejde,заву
277,Gast::N,gæst,хъамаличу
278,Geschenk::N,gave,бухчакарши
279,Geschenk::N,gave,лажинккакку
280,Spiel::N,leg,тӏуркӏу
281,Gesellschaft::N,selskab,жямат
282,Gesellschaft::N,selskab,ккуран
283,Hilfe::N,hjælp,кумаг
284,Freund::N,ven,дус
285,Kamerad::N,kammerat,хӏаласу
286,Angelegenheit::N,sag,иш
287,Angelegenheit::N,anliggende,иш
288,Anzahl::N,antal,аьдад
289,Art::N,art,жинс
290,Stück::N,stykke,касак
291,Teil::N,del,бутӏа
292,Hälfte::N,halvdel,дачӏи
293,Kreis::N,cirkel,кюрщан
294,Kreuz::N,kors,ххач
295,Kreuz::N,kryds,ххач
296,Linie::N,linie,щва
297,Strich::N,streg,щва
298,Abstand::N,afstand,манзил
299,Entfernung::N,afstand,манзил
300,Gegend::N,egn,кӏану
301,Platz::N,plads,
302,Ort::N,sted,кӏану
303,Seite::N,side,чул
304,Seite::N,side,чулухалу
305,Mitte::N,midte,дя
306,Gegenstand::N,genstand,зат
307,Sache::N,sag,зат
308,Rand::N,rand,зума
309,Kante::N,kant,
310,Ecke::N,hjørne,мурцӏу
311,Spitze::N,spids,мицӏ
312,Ende::N,ende,зума
313,Loch::N,hul,ккутӏ
314,Winkel::N,vinkel,мурцӏу
315,Muster::N,mønster,накьич
316,Größe::N,størrelse,
317,Länge::N,længde,лахъишиву
318,Höhe::N,højde,лахъшиву
319,Gewicht::N,vægt,дуццин
320,Gewicht::N,vægt,кӏушиву
321,Menge::N,mængde,
322,Haufen::N,bunke,бакӏу
323,Reihe::N,række,кьюкьа
324,Boot::N,båd,луткка
325,Ruder::N,åre,весло
326,Ruder::N,åre,чӏатӏа
327,Schlitten::N,kælk,чана
328,Schlitten::N,kælk,санкка
329,Schlitten::N,slæde,чана
330,Schlitten::N,slæde,санкка
331,Ski::N,ski,лижарду
332,Lagerfeuer::N,lejrbål,къавтӏн
333,Last::N,last,гьиву
334,Last::N,byrde,гьиву
335,Gang::N,gang,нанаву
336,Schritt::N,skridt,ша
337,Norden::N,nord,ухссав
338,Norden::N,nord,ухссавнил чулухалу
339,Süden::N,syd,кьилва
340,Westen::N,vest,баргълагавал
341,Westen::N,vest,баргълагавал чул
342,Osten::N,øst,баргъбуккай чулухалу
343,Holz::N,træ,тӏама
344,Brett::N,bræt,тахта
345,Platte::N,plade,гъуни
346,Stütze::N,støtte,гьалакӏу
347,Stange::N,stang,къазихъ
348,Stock::N,stok,ттархь
349,Stab::N,stav,ччантӏакъу
350,Rohr::N,rør,бургъу
351,Haus::N,hus,къатта
352,Heim::N,hjem,къатта
353,Ofen::N,ovn,пач
354,Fußboden::N,gulv,чӏанкъатта
355,Tisch::N,bord,усттул
356,Stuhl::N,stol,кӏану
357,Wiege::N,vugge,оьрчӏал кӏану
358,Bett::N,seng,тах
359,Regal::N,reol,чӏаму
360,Kiste::N,kasse,яшикӏ
361,Kiste::N,kasse,къурши
362,Fenster::N,vindue,чӏавахьулу
363,Tür::N,dør,нуз
364,Tür::N,dør,нузкьун
365,Tor::N,port,къапу
366,Tor::N,port,дарваза
367,Zaun::N,stakit,дайгьузанну
368,Dach::N,tag,магъи
369,Dach::N,tag,цӏиялу
370,Leiter::N,stige,чуртту
371,Besen::N,kost,чӏатлу
372,Spaten::N,spade,бил
373,Schaufel::N,skovl,чӏатӏа
374,Gabel::N,gaffel,гьиссилу
375,Löffel::N,ske,къуса
376,Messer::N,kniv,чӏила
377,Nagel::N,søm,мяр
378,Netz::N,net,къери
379,Haken::N,krog,къича
380,Griff::N,tag,куяму
381,Griff::N,håndtag,куяму
382,Schloss::N,lås,кьункьула
383,Bild::N,billede,сурат
384,Figur::N,figur,
385,Puppe::N,dukke,ссихьу
386,Beutel::N,pose,чантай
387,Bündel::N,bylt,гьи
388,Bündel::N,bylt,къар
389,Bündel::N,bundt,гьи
390,Bündel::N,bundt,къар
391,Tasche::N,taske,
392,Eimer::N,spand,бадра
393,Deckel::N,låg,къапаза
394,Geschirr::N,husgeråd,пюрунчӏул
395,Geschirr::N,husgeråd,тӏахӏникӏичӏу
396,Sack::N,sæk,къап
397,Sack::N,sæk,дарваг
398,Tasse::N,kop,пижан
399,Tasse::N,kop,пинжан
400,Tasse::N,kop,инкираччатӏи
401,Tasse::N,kop,цинцилттал бушкъап
402,Topf::N,gryde,кӏункӏур
403,Kessel::N,kedel,чаг
404,Kessel::N,kedel,кӏункӏур
405,Essen::N,måltid,дукия
406,Essen::N,måltid,дукин
407,Nahrung::N,mad,дукра
408,Nahrung::N,næring,дукра
409,Speise::N,ret,дукра
410,Fleisch::N,kød,дикӏ
411,Getreide::N,korn,къама
412,Brei::N,grød,ккурч
413,Brot::N,brød,ччатӏ
414,Scheibe::N,skive,парча
415,Fett::N,fedt,аьгъушиву
416,Butter::N,smør,нагь
417,Butter::N,smør,лагаву
418,Öl::N,olie,
419,Salz::N,salt,цӏву
420,Suppe::N,suppe,накь
421,Honig::N,honning,ницӏ
422,Milch::N,mælk,накӏ
423,Tee::N,te,чяй
424,Leder::N,skind,бурчу
425,Wolle::N,uld,ппал
426,Stoff::N,stof,янна
427,Nadel::N,nål,ххалаххи
428,Faden::N,tråd,ххал
429,Knopf::N,knap,банд
430,Knoten::N,knude,къурхъ
431,Farbe::N,farve,сир
432,Kleidung::N,påklædning,янна
433,Kleidung::N,påklædning,лаххия
434,Hemd::N,skjorte,гьухъа
435,Kragen::N,krave,дарвач
436,Ärmel::N,ærme,кахха
437,Hose::N,bukser,хӏажак
438,Gürtel::N,bælte,мухӏлу
439,Mütze::N,hue,кьяпа
440,Schuh::N,sko,
441,Stiefel::N,støvle,чакма
442,Ring::N,ring,кӏисса
443,Band::N,bånd,линт
444,Kamm::N,kam,ттарал
445,Spiegel::N,spejl,дагьани
446,Riemen::N,rem,эн
447,Schnur::N,snor,хьхьа
448,Leine::N,snor,
449,Decke::N,tæppe,виргъан
450,Kissen::N,pude,кӏаралу
451,Tuch::N,sjaltørklæde,карщи
452,Handtuch::N,håndklæde,калихьу
453,Handtuch::N,håndklæde,лажинлихьу
454,Kraft::N,kraft,эллаж
455,Stärke::N,styrke,гуж
456,Gesundheit::N,sundhed,цӏуллу-сагъшиву
457,Krankheit::N,sygdom,къашайшиву
458,Schmerz::N,smerte,къюву
459,Wunde::N,sår,щаву
460,Fieber::N,feber,кӏиришиву
461,Arznei::N,medicin,дару
462,Arznei::N,lægemiddel,дару
463,Brücke::N,bro,ламу
464,Brunnen::N,brønd,къуй
465,Weide::N,græsgang,бизантту
466,Pfad::N,sti,жегъир ххуллу
467,Weg::N,vej,ххуллу
468,Straße::N,gade,ххуллу
469,Dorf::N,landsby,щар
470,Dorf::N,landsby,шяравалу
471,Stadt::N,by,шагьру
472,Brief::N,brev,чагъар
473,Buch::N,bog,лу
474,Buchstabe::N,bogstav,хӏарп
475,Zeitung::N,avis,кказит
476,Leben::N,liv,оьрму
477,Tod::N,død,ажал
478,Tod::N,død,бивкӏу
479,Tod::N,død,ивчӏаву
480,Grab::N,grav,гьав
481,Kirche::N,kirke,килиса
482,Sünde::N,synd,бунагъ
483,Gott::N,gud,зал
484,Arbeiter::N,arbejder,зузала
485,Chef::N,chef,ялувма
486,Meister::N,mester,усттар
487,Arzt::N,læge,хӏакин
488,Lehrer::N,lærer,учитель
489,Geld::N,penge,арцу
490,Geschäft::N,forretning,даву
491,Laden::N,butik,ттучан
492,Laden::N,forretning,ттучан
493,Preis::N,pris,багъа
494,Ware::N,vare,хъус
495,Nutzen::N,nytte,хайр
496,Nutzen::N,nytte,мюнпат
497,Reichtum::N,rigdom,давлат
498,Reichtum::N,rigdom,аваданшиву
499,Welt::N,verden,дуниял
500,Land::N,land,билаят
501,Staat::N,stat,паччахӏлугъ
502,König::N,konge,
503,Macht::N,magt,власть
504,Grenze::N,grænse,дазу
505,Krieg::N,krig,дяъви
506,Feind::N,fjende,душман
507,Gewalt::N,vold,къия
508,Kampf::N,kamp,лачӏуи уккаву
509,Bogen[Waffe]::N,bue,ккуртта
510,Pfeil::N,pil,чӏатӏаракӏ
511,Gewehr::N,gevær,ттупанг
512,Fehler::N,fejl,гъалатӏ
513,Lüge::N,løgn,щялмахъ
514,Schaden::N,skade,зарал
515,Unglück::N,uheld,бала
516,Unglück::N,ulykke,бала
517,Schuld::N,skyld,тахсир
518,Alter::N,alder,оьрму
519,Schluss::N,slut,ахир
520,Schluss::N,slutning,ахир
521,Zeit::N,tid,чӏун
522,Tag::N,dag,кьини
523,Morgen::N,morgen,кӏюрх
524,Mittag::N,middag,ахттайн
525,Mittag::N,middag,дяахттайн
526,Mittag::N,middag,ахттайн чӏун
527,Abend::N,aften,маркӏачӏан
528,Nacht::N,nat,хьхьу
529,Woche::N,uge,нюжмар
530,Monat::N,måned,барз
531,Jahr::N,år,шин
532,Frühling::N,forår,инт
533,Sommer::N,sommer,гъи
534,Herbst::N,efterår,ссут
535,Winter::N,vinter,кӏи
536,Januar::N,januar,цалчинмур барз
537,Februar::N,februar,кӏилчинмур барз
538,März::N,marts,шамилчинмур барз
539,April::N,april,апрель
540,April::N,april,мукьилчинмур барз
541,Mai::N,maj,май
542,Mai::N,maj,ххюлчинмур барз
543,Juni::N,juni,июнь
544,Juni::N,juni,ряххилчинмур барз
545,Juli::N,juli,июль
546,Juli::N,juli,Арулчинмур барз
547,August::N,august,мяйлчинмур барз
548,September::N,september,урчӏилчинмур барз
549,Oktober::N,oktober,ацӏилчинмур барз
550,November::N,november,ацӏния цалчинмур барз
551,Dezember::N,december,ацӏния кӏилчинмур барз
552,Montag::N,mandag,итин
553,Montag::N,mandag,итин кьини
554,Dienstag::N,tirsdag,тталат
555,Dienstag::N,tirsdag,тталат кьини
556,Mittwoch::N,onsdag,арвахӏ
557,Donnerstag::N,torsdag,хамис
558,Freitag::N,fredag,нюжмар
559,Freitag::N,fredag,нюжмар кьини
560,Samstag::N,lørdag,ххуллун
561,Samstag::N,lørdag,ххуллун кьини
562,Sonntag::N,søndag,алхӏат
563,Sonntag::N,søndag,алхӏат кьини
564,groß::A,stor,бугъарасса
565,klein::A,lille,чӏивисса
566,lang::A,lang,лахъисса
567,kurz::A,kort,кутӏасса
568,breit::A,bred,уттасса
569,schmal::A,smal,уттакӏюласса
570,dicht::A,tæt,ццунсса
571,dick[Gegenstand]::A,tyk,ганзсса
572,dünn::A,tynd,кӏюласса
573,fein::A,fin,
574,fest::A,fast,цӏакьсса
575,fest::A,fast,кьянкьасса
576,flach::A,flad,баягъисса
577,flach::A,flad,цӏубакъасса
578,flach::A,flad,куртӏ дакъасса
579,glatt::A,glat,дюрчӏусса
580,hart::A,hård,кьянкьасса
581,weich::A,blød,кӏукӏлусса
582,rund::A,rund,ккурккисса
583,spitz::A,spids,ярксса
584,spitz::A,spids,дайлсса
585,spitz::A,spids,мицӏ бусса
586,scharf::A,skarp,ярксса
587,scharf::A,skarp,дайлсса
588,scharf::A,skarp,мицӏ бусса
589,stumpf::A,sløv,къуркъасса
590,stumpf::A,stump,къуркъасса
591,schwer::A,tung,кӏусса
592,schön::A,skøn,аьнтӏикӏасса
593,heiß::A,hed,кӏирисса
594,warm::A,varm,гъелисса
595,kalt::A,kold,дяркъусса
596,kühl::A,kølig,дюхлулсса
597,frisch::A,frisk,цӏусса
598,feucht::A,fugtig,атилсса
599,feucht::A,fugtig,хъавтусса
600,nass::A,våd,атилсса
601,nass::A,våd,хъавтусса
602,trocken::A,tør,кьавкьсса
603,trocken::A,tør,кьакьан бувсса
604,voll::A,fuld,бувцӏусса
605,leer::A,tom,бачӏвасса
606,offen::A,åben,тӏивтӏусса
607,geschlossen::A,lukket,лавкьусса
608,sauber::A,ren,марцӏсса
609,schmutzig::A,snavset,чапалсса
610,roh::A,rå,шакъавхьсса
611,reif::A,moden,дирсса
612,lecker::A,lækker,нахӏусса
613,lecker::A,lækker,тӏааьнсса
614,süß::A,sød,нацӏусса
615,bitter::A,bitter,кьурчӏисса
616,sauer::A,sur,туршсса
617,hell::A,lys,чаннасса
618,dunkel::A,mørk,цӏансса
619,schwarz::A,sort,лухӏисса
620,weiß::A,hvid,кӏяласса
621,rot::A,rød,ятӏулсса
622,gelb::A,gul,хъахъисса
623,blau::A,blå,някӏсса
624,grün::A,grøn,щюлисса
625,grau::A,grå,оьрусса
626,bunt::A,broget,оьрчӏикӏурисса
627,billig::A,billig,кьювкьусса
628,teuer::A,dyr,ххирасса
629,wertvoll::A,værdifuld,багьасса
630,blind::A,blind,мурчӏисса
631,taub::A,døv,къюкӏсса
632,kräftig::A,kraftig,гужсса
633,stark::A,stærk,кьянкьасса
634,schwach::A,svag,заэвсса
635,fett::A,fed,бучсса
636,schlank::A,slank,бювхъусса
637,hübsch::A,køn,янусса
638,böse::A,ond,оьсса
639,böse::A,slem,оьсса
640,dumm::A,dum,ахӏмакьсса
641,faul::A,doven,танмалсса
642,faul::A,doven,курчӏилсса
643,fleißig::A,flittig,хӏарачат бусса
644,geizig::A,gerrig,янттарцӏансса
645,klug::A,klog,аькьлу бусса
646,geschickt::A,dygtig,паргалсса
647,geschickt::A,behændig,паргалсса
648,lieb::A,rar,аьзизсса
649,lustig::A,lystig,тяхъасса
650,sanft::A,blid,иминсса
651,hungrig::A,sulten,ккашилсса
652,krank::A,syg,къашавайсса
653,nackt::A,nøgen,кӏачӏасса
654,traurig::A,bedrøvet,пашмансса
655,lebendig::A,levende,уттавасса
656,gut::A,god,ххуйсса
657,schlecht::A,dårlig,оьккисса
658,richtig::A,rigtig,саргъунсса
659,schlimm::A,slem,оьккисса
660,wahr::A,sand,хӏакьсса
661,alt::A,gammel,кугьнасса
662,neu::A,ny,цӏусса
663,ehemalig::A,forhenværende,хъхъичӏвасса
664,alt[Lebewesen]::A,gammel,агьилсса
665,jung::A,ung,чӏавасса
666,jung::A,ung,жагьилсса
667,arm::A,fattig,мискинсса
668,reich::A,rig,авадансса
669,bekannt::A,kendt,дусъсса
670,berühmt::A,berømt,машгьурсса
671,fremd::A,fremmed,чил
672,verschieden::A,forskellig,личӏи-личӏисса
673,nah::A,nær,гъансса
674,fern::A,fjern,архсса
675,linker::A,venstre,кияхсса
676,linker::A,venstre,кюччахсса
677,rechter::A,højre,урчӏахсса
678,anderer::A,anden,цамур
679,erster::A,første,цалчинмур
680,erster::A,første,цалчиннсса
681,zweiter::A,anden,кӏилчиимур
682,dritter::A,tredje,шамулчинмур
683,letzter::A,sidste,махъва-махъмур
684,allein::ADV,alene,ялгъузну
685,auf einmal::ADV,på én gang,
686,zusammen::ADV,sammen,цачӏу
687,zusammen::ADV,sammen,архӏал
688,lange::ADV,længe,батӏи къабуклай
689,lange::ADV,længe,хъунмасса хӏаллай
690,plötzlich::ADV,pludselig,цакуну
691,sofort::ADV,straks,мугьлат бакъа
692,später::ADV,senere,махъ
693,jetzt::ADV,nu,утти
694,jetzt::ADV,nu,цӏана
695,heute::ADV,i dag,хӏакьину
696,morgen::ADV,i morgen,гьуит
697,morgen::ADV,i morgen,гьунттий
698,bald::ADV,snart,
699,dann::ADV,så,яла
700,gestern::ADV,i går,лахьхьу
701,einst::ADV,engang,
702,damals::ADV,dengang,та чӏумал
703,danach::ADV,derefter,яла
704,vorher::ADV,før,хьхьнчӏ
705,vorher::ADV,før,хьхьичӏва
706,vorher::ADV,forud,хьхьнчӏ
707,vorher::ADV,forud,хьхьичӏва
708,zuerst::ADV,først,бакӏрай
709,zuerst::ADV,først,цӏу бутӏуй
710,einmal::ADV,en gang,цал
711,manchmal::ADV,sommetider,ваксса-таксса
712,oft::ADV,ofte,чӏявуну
713,immer::ADV,altid,мудан
714,immer::ADV,altid,даиман
715,niemals::ADV,aldrig,тачӏав
716,hier::ADV,her,шикку
717,hierhin::ADV,hid,шиккун
718,hierhin::ADV,herhen,шиккун
719,von hier::ADV,herfra,шичча
720,dort::ADV,der,гикку
721,dorthin::ADV,derhen,тиккун
722,geradeaus::ADV,lige ud,тӏайланм
723,vorwärts::ADV,fremad,хьхьичӏунмай
724,rückwärts::ADV,baglæns,махъа-хьхьичӏунмай
725,zurück::ADV,tilbage,махъунмай
726,unten::ADV,nede,лув
727,unten::ADV,forneden,лув
728,hinab::ADV,ned,бакӏ-ялавай
729,hinab::ADV,ned,бакӏъялавай
730,hinab::ADV,nedad,бакӏ-ялавай
731,hinab::ADV,nedad,бакӏъялавай
732,oben::ADV,oppe,ялув
733,oben::ADV,ovenpå,ялув
734,hinauf::ADV,op,лавай
735,hinauf::ADV,opad,лавай
736,überall::ADV,overalt,гьариий
737,überall::ADV,overalt,хьу-хьуний
738,überall::ADV,overalt,гьарца кӏанай
739,nicht::ADV,ikke,къа-
740,ein wenig::ADV,lidt,чанни
741,ein wenig::ADV,lidt,ца чансса
742,kaum::ADV,knap,дахьа
743,kaum::ADV,næppe,дахьа
744,sehr::ADV,meget,оьну
745,sehr::ADV,meget,гужну
746,sehr::ADV,meget,хъинну
747,so::ADV,så,укукн
748,noch::ADV,endnu,гьала
749,noch::ADV,endnu,уттигу
750,noch::ADV,endnu,цакьинва
751,noch::ADV,endnu,ттигу-шилагу
752,nur::ADV,kun,анжагь
753,nur::ADV,bare,анжагь
754,schon::ADV,alt,
755,schon::ADV,allerede,
756,wieder::ADV,igen,цӏуницӏа
757,vergebens::ADV,forgæves,аьдада
758,vergebens::ADV,forgæves,нахӏакь
759,vor::PRP,foran,хьхьичӏ
760,vor::PRP,uden for,хьхьичӏ
761,hinter::PRP,bag,махъ
762,hinter::PRP,bagved,махъ
763,unter::PRP,under,лув
764,durch::PRP,gennem,-х
765,durch::PRP,igennem,-х
766,neben::PRP,ved siden af,чӏарав
767,zwischen::PRP,mellem,дянив
768,wegen::PRP,på grund af,цӏаний
769,dies::PRN,dette,ва
770,das::PRN,det,та
