,Concept_ID,cv,ka
73,Boden::N,тӑпра,მიწა
74,Erde::N,ҫӗр,ნიადაგი
75,Staub::N,тусан,მტვერი
76,Rauch::N,тӗтӗм,ბოლი
77,Rauch::N,тӗтӗм,კვამლი
78,Funke::N,хӗм,ნაკვესი
79,Feuer::N,вут,ცეცხლი
80,Feuer::N,ҫулӑм,ცეცხლი
81,Licht::N,ҫутӑ,შუქი
82,Licht::N,ҫутӑ,სინათლე
83,Schatten::N,сулхӑн,ლანდი
84,Schatten::N,сулхӑн,ჩრდილი
85,Wetter::N,ҫанталӑк,ამინდი
86,Nebel::N,тӗтре,ნისლი
87,Wolke::N,пӗлӗт,ღრუბელი
88,Regen::N,ҫумӑр,წვიმა
89,Schnee::N,юр,თოვლი
90,Eis::N,пӑр,თოში
91,Eis::N,пӑр,ყინული
92,Frost::N,сивӗ,ყინვა
93,Kälte::N,сивӗ,სიცივე
94,Hitze::N,вӗри,სიცხე
95,Hitze::N,шӑрӑх,სიცხე
96,Raureif::N,пас,ჭირხლი
97,Raureif::N,пас,თრთვილი
98,Regenbogen::N,асамат кӗперӗ,ცისარტყელა
99,Donner::N,аслати,ქუხილი
100,Strömung::N,юхӑ,დინება
101,Tropfen::N,тумлам,წვეთი
102,Schaum::N,кӑпӑк,ქაფი
103,Schaum::N,кӑпӑк,დორბლი
104,Schmutz::N,пылчӑк,ჭუჭყი
105,Schmutz::N,пылчӑк,ტალახი
106,See::N,кӳлӗ,ტბა
107,Sumpf::N,шур,ჭაობი
108,Sumpf::N,шурлӑх,ჭაობი
109,Moor::N,торфлӑ шурлӑх,ტორფნარი
110,Wiese::N,улӑх,ველი
111,Wiese::N,улӑх,მდელო
112,Wiese::N,ҫаран,ველი
113,Wiese::N,ҫаран,მდელო
114,Wald::N,вӑрман,ტყე
115,Hügel::N,сӑрт,ბორცვი
116,Hügel::N,тӗмеске,ბორცვი
117,Anhöhe::N,сӑрт,მაღლობი
118,Berg::N,ту,მთა
119,Gipfel::N,тӳпе,მწვერვალი
120,Höhle::N,ҫӗр хӑвӑлӗ,მღვიმე
121,Höhle::N,ҫӗр хӑвӑлӗ,გამოქვებული
122,Abhang::N,тӑвайкки,ფერდობი
123,Quelle::N,ҫӑл куҫ,წყარო
124,Quelle::N,ҫӑл куҫ,სათავე
125,Bach::N,пӗчӗк шыв,რუ
126,Bach::N,пӗчӗк шыв,ნაკადული
127,Fluss::N,юхан шыв,მდინარე
128,Ufer::N,ҫыран,კიდე
129,Ufer::N,ҫыран,ნაპირი
130,Küste::N,тинӗс ҫыранӗ,ნაპირი
131,Festland::N,тип ҫӗр,ხმელეთი
132,Meer::N,тинӗс,ზღვა
133,Bucht::N,тинӗс кукӑрӗ,ყურე
134,Insel::N,утрав,კუნძული
135,Blume::N,чечек,ყვავილი
136,Gras::N,курӑк,ბალახი
137,Wurzel::N,тымар,ძირი
138,Wurzel::N,тымар,ფესვი
139,Baum::N,йывӑҫ,ხე
140,Stamm::N,вулӑ,ტანი
141,Rinde::N,хуйӑр,ქერქი
142,Ast::N,турат,ტოტი
143,Zweig::N,турат,შტო
144,Blatt::N,ҫулҫӑ,ფოთოლი
145,Birke::N,хурӑн,არყი
146,Kiefer[Baum]::N,хыр,ფიჭვი
147,Weide[Baum]::N,хӑва,ტირიფი
148,Tanne::N,чӑрӑш,ნაძვი
149,Horn::N,мӑйрака,რქა
150,Feder::N,тӗк,ფრთა
151,Fell::N,ҫӑм,ტყავი
152,Flügel::N,ҫунат,ფრთა
153,Klaue::N,чӗрне,კლანჭი
154,Kralle::N,ура,ტორი
155,Schwanz::N,хӳре,კუდი
156,Ei::N,ҫӑмарта,კვერცხი
157,Nest::N,йӑва,ბუდე
158,Bau::N,йӗнӗ,სორო
159,Tier::N,выльӑх,ნადირი
160,Tier::N,выльӑх,ცხოველი
161,Herde::N,кӗтӳ,ფარა
162,Kuh::N,ӗне,ფური
163,Kuh::N,ӗне,ძროხა
164,Bulle::N,вӑкӑр,ხარი
165,Pferd::N,лаша,რაში
166,Pferd::N,лаша,ცხენი
167,Schaf::N,сурӑх,ცხვარი
168,Schwein::N,сысна,ღორი
169,Hund::N,йытӑ,ძაღლი
170,Katze::N,кушак,კატა
171,Bär::N,упа,დათვი
172,Eichhörnchen::N,пакша,ციყვი
173,Elch::N,пӑши,ცხენ-ირემი
174,Fuchs::N,тилӗ,მელა
175,Hase::N,куян,კურდღელი
176,Hase::N,мулкач,კურდღელი
177,Maus::N,шӑши,თაგვი
178,Wolf::N,кашкӑр,მგელი
179,Vogel::N,кайӑк,ჩიტი
180,Vogel::N,кайӑк,ფრინველი
181,Vogel::N,вӗҫен кайӑк,ჩიტი
182,Vogel::N,вӗҫен кайӑк,ფრინველი
183,Schwarm::N,ушкӑн,გუნდი
184,Huhn::N,чӑх,დედალი
185,Huhn::N,чӑхӑ,დედალი
186,Hahn::N,автан,მამალი
187,Gans::N,хур,ბატი
188,Adler::N,ӑмӑрт кайӑк,არწივი
189,Ente::N,кӑвакал,იხვი
190,Eule::N,тӑмана,ბუ
191,Kranich::N,тӑрна,წერო
192,Krähe::N,ула курак,ყვავი
193,Kuckuck::N,куккук,გუგული
194,Schwan::N,акӑш,გედი
195,Fisch::N,пулӑ,თევზი
196,Barsch::N,уланкӑ,ქორჭილა
197,Hecht::N,ҫӑрттан,ქარიყლაპია
198,Schlange[Tier]::N,ҫӗлен,გველი
199,Wurm::N,ӑман,ჭია
200,Spinne::N,эрешмен,ობობა
201,Ameise::N,кӑткӑ,ჭიანჭველა
202,Laus::N,пыйтӑ,ტილი
203,Laus::N,пыйтӑ,მკბენარი
204,Mücke::N,вӑрӑм туна,კოღო
205,Fliege::N,шӑна,ბუზი
206,Schmetterling::N,лӗпӗш,პეპელა
207,Beere::N,ҫырла,კენკრა
208,Apfel::N,улма,ვაშლი
209,Apfel::N,пан улми,ვაშლი
210,Pilz::N,кӑмпа,სოკო
211,Zwiebel::N,сухан,ხახვი
212,Saat::N,вӑрӑ,თესლი
213,Korn::N,тӗшӗ,მარცვალი
214,Korn::N,пӗрчӗ,მარცვალი
215,Heu::N,утӑ,თივა
216,Schale::N,хупӑ,ჩენჩო
217,Grube::N,шӑтӑк,ორმო
218,Falle::N,тапӑ,ხაფანგი
219,Falle::N,капкӑн,ხაფანგი
220,Schlinge::N,йӑлӑ,მახე
221,Spur::N,йӗр,კვალი
222,Asche::N,кӗл,ფერფლი
223,Dreck::N,пылчӑк,ტალახი
224,Dreck::N,пылчӑк,სიბინძურე
225,Eisen::N,тимӗр,რკინა
226,Gold::N,ылтӑн,ოქრო
227,Silber::N,кӗмӗл,ვერცხლი
228,Kohle::N,кӑмрӑк,ნახშირი
229,Glas::N,кӗленче,მინა
230,Lehm::N,тӑм,თიხა
231,Sand::N,хӑйӑр,ქვიშა
232,Mensch::N,ҫын,ადამიანი
233,Mensch::N,этем,ადამიანი
234,Mann::N,ар,კაცი
235,Frau::N,хӗрарӑм,ქალი
236,Kind::N,ача,ბავშვი
237,Junge::N,ача,ვაჟი
238,Junge::N,ар ҫын ача,ვაჟი
239,Mädchen::N,хӗр ача,გოგო
240,Familie::N,ҫемье,ოჯახი
241,Familie::N,кил-йыш,ოჯახი
242,Großvater::N,кукаҫи,პაპა
243,Großvater::N,кукаҫи,ბაბუა
244,Großmutter::N,кукамай,ბებია
245,Großmutter::N,кукамай,დიდედა
246,Eltern::N,аҫа-ама,მშობლები
247,Vater::N,атте,მამა
248,Mutter::N,анне,დედა
249,Sohn::N,ывӑл,ვაჟიშვილი
250,Tochter::N,хӗр,ქალიშვილი
251,Bruder::N,ар тӑван,ძმა
252,Schwester::N,аппа,და
253,Schwester::N,йӑмӑк,და
254,Onkel::N,мучи,ბიძა
255,Onkel::N,пичче,ბიძა
256,Tante::N,аппа,დეიდა
257,Tante::N,аппа,მამიდა
258,Ehemann::N,упӑшка,ქმარი
259,Ehefrau::N,арӑм,ცოლი
260,Freude::N,савӑнӑҫ,სიხარული
261,Freude::N,хаваслӑх,სიხარული
262,Gelächter::N,кулӑ,სიცილი
263,Glück::N,телей,ბედნიერება
264,Glück::N,ӑраскал,ბედნიერება
265,Kummer::N,хурлӑх,მწუხარება
266,Wunsch::N,ӗмӗт,წადილი
267,Wunsch::N,ӗмӗт,სურვილი
268,Wunsch::N,кӑмӑл,წადილი
269,Wunsch::N,кӑмӑл,სურვილი
270,Lust::N,кӑмӑл,წადილი
271,Geist::N,чун-чӗм,სული
272,Geist::N,ыр-усал,სული
273,Geist::N,чун хавалӗ,სული
274,Gedanke::N,шухӑш,ფიქრი
275,Gedächtnis::N,ас,მეხსიერება
276,Verstand::N,ӑс,ჭკუა
277,Verstand::N,ӑс,გონება
278,Verstand::N,ӑс-тӑн,ჭკუა
279,Verstand::N,ӑс-тӑн,გონება
280,Verstand::N,ӑс-хакӑл,ჭკუა
281,Verstand::N,ӑс-хакӑл,გონება
282,Sinn::N,тупсӑм,მნიშვნელობა
283,Sinn::N,пӗлтерӗш,მნიშვნელობა
284,Grund::N,сӑлтав,მიზეზი
285,Wahrheit::N,чӑнлӑх,სიმართლე
286,Wahrheit::N,чӑнлӑх,ჭეშმარიტება
287,Gespräch::N,калаҫу,ბაასი
288,Gespräch::N,калаҫу,საუბარი
289,Märchen::N,юмах,არაკი
290,Märchen::N,юмах,ზღაპარი
291,Erzählung::N,акалав,თქმულება
292,Erzählung::N,каласа пани,თქმულება
293,Nachricht::N,хыпар,ცნობა
294,Nachricht::N,хыпар,ამბავი
295,Neuigkeit::N,ҫӗнӗ хыпар,სიახლე
296,Name::N,ят,სახელი
297,Rätsel::N,сутмалли юмах,გამოცანა
298,Rede::N,сӑмах,სიტყვა
299,Sprache::N,чӗлхе,ენა
300,Stimme::N,сасӑ,ხმა
301,Wort::N,сӑмах,სიტყვა
302,Zeichen::N,паллӑ,ნიშანი
303,Ruf::N,йыхрав,ძახილი
304,Ruf::N,чӗнӳ,ძახილი
305,Lärm::N,шав,ხმაური
306,Laut::N,сасӑ,ხმა
307,Laut::N,сасӑ,ბგერა
308,Ton::N,сасӑ,ტონი
309,Lied::N,юрӑ,სიმღერა
310,Ruhe::N,канӑҫлӑх,სიწყნარე
311,Ruhe::N,лӑпкӑлӑх,სიწყნარე
312,Leute::N,ҫамрӑксем,ადამიანები
313,Leute::N,ҫамрӑк ҫынсем,ადამიანები
314,Volk::N,халӑх,ერი
315,Volk::N,халӑх,ხალხი
316,Arbeit::N,ӗҫхӗл,მუშაობა
317,Arbeit::N,ӗҫлев,მუშაობა
318,Gast::N,хӑна,სტუმარი
319,Geschenk::N,парне,საჩუქარი
320,Geschenk::N,кучченеҫ,საჩუქარი
321,Spiel::N,вӑйӑ,თამაში
322,Gesellschaft::N,общество,საზოგადოება
323,Hilfe::N,пулӑшу,შველა
324,Hilfe::N,пулӑшу,დახმარება
325,Freund::N,тус,მეგობარი
326,Kamerad::N,юлташ,ამხანაგი
327,Kamerad::N,тус,ამხანაგი
328,Angelegenheit::N,ӗҫ,საქმე
329,Anzahl::N,йыш,ოდენობა
330,Anzahl::N,хисеп,ოდენობა
331,Art::N,тӗс,სახეობა
332,Stück::N,татӑк,ნატეხი
333,Teil::N,пай,წილი
334,Hälfte::N,ҫурӑ,ნახევარი
335,Kreis::N,ункӑ,წრე
336,Kreis::N,ҫавракӑш,წრე
337,Kreuz::N,хӗрес,ჯვარი
338,Linie::N,йӗр,ხაზი
339,Strich::N,йӗр,შტრიხი
340,Abstand::N,хушӑ,მანძილი
341,Entfernung::N,хушӑ,სიშორე
342,Gegend::N,вырӑн,არე
343,Gegend::N,вырӑн,მხარე
344,Platz::N,хутлӑх,ფართობი
345,Ort::N,вырӑн,ადგილი
346,Seite::N,ен,მხარე
347,Seite::N,аяк,მხარე
348,Seite::N,айӑк,მხარე
349,Mitte::N,варӑ,შუა
350,Gegenstand::N,япала,საგანი
351,Sache::N,япала,ნივთი
352,Rand::N,вӗҫ,კიდე
353,Rand::N,хӗрӗ,კიდე
354,Rand::N,хӗрри,კიდე
355,Kante::N,хайкача,ნაწიბული
356,Kante::N,хысак,ნაწიბული
357,Ecke::N,кӗтес,კუთხე
358,Spitze::N,вӗҫ,წვეტი
359,Ende::N,вӗҫ,ბოლო
360,Loch::N,шӑтӑк,ხვრელი
361,Winkel::N,кӗтес,კუთხე
362,Muster::N,эреш,მოხატულობა
363,Größe::N,пысӑкӑш,ზომა
364,Größe::N,пысӑкӑш,სიდიდე
365,Länge::N,вӑрӑмӑш,სიგრძე
366,Höhe::N,ҫӳллӗш,სიმაღლე
367,Gewicht::N,виҫе,წონა
368,Gewicht::N,йывӑрӑш,წონა
369,Menge::N,йыш,რაოდენობა
370,Haufen::N,купа,გროვა
371,Reihe::N,рет,რიგი
372,Reihe::N,рет,წყება
373,Boot::N,кимӗ,გემი
374,Ruder::N,кӗсмен,ხოფი
375,Ruder::N,кӗсмен,ნიჩაბი
376,Schlitten::N,ҫуна,მარხილი
377,Ski::N,йӗлтӗр,თხილამური
378,Lagerfeuer::N,вут,კოცონი
379,Lagerfeuer::N,кӑвайт,კოცონი
380,Last::N,сулмаклӑх,ტვირთი
381,Last::N,йывӑр япала,ტვირთი
382,Gang::N,куҫӑм,სვლა
383,Schritt::N,утӑм,ბიჯი
384,Schritt::N,пусӑм,ბიჯი
385,Norden::N,ҫурҫӗр,ჩრდილოეთი
386,Süden::N,кӑнтӑр,სამხრეთი
387,Westen::N,анӑҫ,დასავლეთი
388,Westen::N,хӗвел анӑҫ,დასავლეთი
389,Osten::N,хӗвел тухӑҫ,აღმოსავლეთი
390,Holz::N,йывӑҫ,ხე
391,Brett::N,хӑма,დაფა
392,Brett::N,хӑма,ფიცარი
393,Platte::N,плита,თლილი ქვა
394,Stütze::N,ура,საყრდენი
395,Stange::N,шерте,ჭოკი
396,Stock::N,патак,კეტი
397,Stab::N,шӑчӑ,ლატანი
398,Rohr::N,пӑрӑх,მილაკი
399,Haus::N,ҫурт,სახლი
400,Heim::N,кил,ოჯახის კერა
401,Ofen::N,кӑмака,ღუმელი
402,Fußboden::N,урай,იატაკი
403,Tisch::N,сӗтел,სუფრა
404,Tisch::N,сӗтел,მაგიდა
405,Stuhl::N,пукан,სკამი
406,Wiege::N,сӑпка,აკვანი
407,Bett::N,кравать,საწოლი
408,Bett::N,кравать,სარეცელი
409,Regal::N,ҫӳлӗк,თაროები
410,Regal::N,сентре,თაროები
411,Kiste::N,ещӗк,ყუთი
412,Kiste::N,ещӗк,სკივრი
413,Kiste::N,сунтӑх,ყუთი
414,Kiste::N,сунтӑх,სკივრი
415,Fenster::N,чӳрече,ფანჯარა
416,Fenster::N,чӳрече,სარკმელი
417,Tür::N,алӑк,ბჭე
418,Tür::N,алӑк,კარი
419,Tor::N,хапха,ჭიშკარი
420,Zaun::N,хӳме,ღობე
421,Zaun::N,хӳме,გალავანი
422,Dach::N,тӑрӑ,სახურავი
423,Leiter::N,пусма,კიბე
424,Besen::N,шӑпӑр,ცოცხი
425,Spaten::N,кӗреҫе,ნიჩაბი
426,Schaufel::N,кӗреҫе,ბარი
427,Gabel::N,вилка,ჩანგალი
428,Löffel::N,кашӑк,კოვზი
429,Messer::N,ҫӗҫӗ,დანა
430,Nagel::N,пӑта,ლურსმანი
431,Netz::N,тетел,ბადე
432,Haken::N,йӑрхах,კავი
433,Haken::N,йӑрхах,კაუჭი
434,Haken::N,ҫекӗл,კავი
435,Haken::N,ҫекӗл,კაუჭი
436,Griff::N,хӑлӑп,ტარი
437,Schloss::N,ҫӑра,კლიტე
438,Schloss::N,ҫӑра,საკეტი
439,Bild::N,сӑн,სურათი
440,Bild::N,сӑнлӑх,სურათი
441,Bild::N,картина,სურათი
442,Figur::N,кӗлетке,ფიგურა
443,Puppe::N,пукане,თოჯინა
444,Beutel::N,михӗ,პარკი
445,Bündel::N,ҫыхӑ,გალა
446,Bündel::N,ҫыхӑ,ასხმა
447,Bündel::N,тӗрке,გალა
448,Bündel::N,тӗрке,ასხმა
449,Tasche::N,сумка,ჩანთა
450,Eimer::N,витре,ჩამჩა
451,Deckel::N,хупӑ,ხუფი
452,Deckel::N,хупӑ,სარქველი
453,Geschirr::N,савӑт-сапа,ჭურჭელი
454,Sack::N,михӗ,ტომარა
455,Tasse::N,курка,ფინჯანი
456,Topf::N,кастрюль,ქოთანი
457,Kessel::N,хуран,ქვაბი
458,Essen::N,апат,ჭამა
459,Nahrung::N,апат-ҫимӗс,საზრდო
460,Nahrung::N,апат-ҫимӗс,საკვები
461,Speise::N,апат,საჭმელი
462,Speise::N,ҫимӗҫ,საჭმელი
463,Fleisch::N,аш,ხორცი
464,Fleisch::N,какай,ხორცი
465,Getreide::N,тырӑ,მარცვლოვანი
466,Brei::N,пӑтӑ,ფაფა
467,Brot::N,ҫӑкӑр,პური
468,Scheibe::N,чӗлӗ,ნაჭერი
469,Scheibe::N,касӑк,ნაჭერი
470,Fett::N,ҫу,ქონი
471,Fett::N,ҫу,ცხიმი
472,Butter::N,ҫу,კარაქი
473,Öl::N,ҫу,ზეთი
474,Salz::N,тӑвар,მარილი
475,Suppe::N,яшка,სუფი
476,Honig::N,пыл,თაფლი
477,Milch::N,сӗт,რძე
478,Tee::N,чей,ჩაი
479,Leder::N,сӑран,ტყავი
480,Wolle::N,ҫӑм,მატყლი
481,Stoff::N,тӗртӗм,ქსოვილი
482,Nadel::N,йӗп,ნემსი
483,Faden::N,ҫип,ძაფი
484,Faden::N,ҫип,მკედი
485,Knopf::N,тӳме,ღილი
486,Knoten::N,йӑлӑ,ნასკვი
487,Farbe::N,сӑрӑ,საღებავი
488,Kleidung::N,тум,ტანსაცმელი
489,Kleidung::N,ҫипуҫ,ტანსაცმელი
490,Kleidung::N,тум-тир,ტანსაცმელი
491,Hemd::N,кӗпе,ხალათი
492,Hemd::N,кӗпе,პერანგი
493,Kragen::N,ҫуха,საყელო
494,Ärmel::N,ҫанӑ,სახელო
495,Hose::N,шӑлавар,შარვალი
496,Gürtel::N,пиҫиххи,ქამარი
497,Mütze::N,ҫӗлӗк,ქუდი
498,Schuh::N,пушмак,ფეხსაცმელი
499,Schuh::N,ботинок,ფეხსაცმელი
500,Stiefel::N,атӑ,ჩექმა
501,Ring::N,ҫӗрӗ,ბეჭედი
502,Band::N,хаю,ბაფთი
503,Band::N,йӗсме,ბაფთი
504,Kamm::N,тура,სავარცხელი
505,Spiegel::N,тӗкӗр,სარკე
506,Spiegel::N,куҫ кӗски,სარკე
507,Riemen::N,чӗн,ღვედი
508,Schnur::N,кантра,ლარი
509,Leine::N,касмӑк,ჯაჭვი
510,Decke::N,утиял,საბანი
511,Kissen::N,ҫытар,ბალიში
512,Kissen::N,минтер,ბალიში
513,Tuch::N,тутӑр,მაუდი
514,Tuch::N,тутӑр,თავშალი
515,Handtuch::N,ал шӑлли,ხელსახოცი
516,Kraft::N,вӑй,ძალა
517,Kraft::N,хӑват,ძალა
518,Stärke::N,хал,ღონე
519,Stärke::N,хӑват,ღონე
520,Gesundheit::N,хал,ჯანმრთელობა
521,Gesundheit::N,сывлӑх,ჯანმრთელობა
522,Krankheit::N,чир,სენი
523,Krankheit::N,чир,ავადმყოფობა
524,Schmerz::N,ырату,ტკივილი
525,Wunde::N,суран,იარი
526,Wunde::N,суран,ჭრილობა
527,Fieber::N,сив чир,ციება
528,Arznei::N,эмел,წამალი
529,Brücke::N,кӗпер,ხიდი
530,Brunnen::N,ҫӑл,ჭა
531,Brunnen::N,пусӑ,ჭა
532,Weide::N,ҫаран,საძოვარი
533,Pfad::N,йӗр,ბილიკი
534,Pfad::N,сукмак,ბილიკი
535,Weg::N,ҫул,გზა
536,Weg::N,ҫул-йӗр,გზა
537,Straße::N,ҫӳрев,შარაგზა
538,Straße::N,ҫул ҫӳрени,შარაგზა
539,Dorf::N,ял,დაბა
540,Dorf::N,ял,სოფელი
541,Stadt::N,хула,ქალაქი
542,Brief::N,ҫыру,წერილი
543,Buch::N,кӗнеке,წიგნი
544,Buchstabe::N,сас палли,ასო
545,Zeitung::N,хаҫат,გაზეთი
546,Leben::N,пурнӑҫ,სიცოცხლე
547,Tod::N,вилӗм,სიკვდილი
548,Grab::N,масар шӑтӑкӗ,სამარე
549,Grab::N,масар шӑтӑкӗ,საფლავი
550,Kirche::N,чиркӳ,ეკლესია
551,Sünde::N,ҫылӑх,ცოდვა
552,Gott::N,турӑ,ღმერთი
553,Arbeiter::N,рабочи,მუშა
554,Chef::N,пуҫлӑх,გამგე
555,Meister::N,ӑста,ოსტატი
556,Meister::N,мастер,ოსტატი
557,Arzt::N,врач,ექიმი
558,Arzt::N,врач,მკურნალი
559,Arzt::N,тухтӑр,ექიმი
560,Arzt::N,тухтӑр,მკურნალი
561,Lehrer::N,учитель,მასწავლებელი
562,Lehrer::N,вӗрентекен,მასწავლებელი
563,Geld::N,укҫа,ფული
564,Geschäft::N,бизнес,საქმე
565,Geschäft::N,бизнес,ბიზნესი
566,Laden::N,магазин,დუქანი
567,Laden::N,магазин,მაღაზია
568,Preis::N,хак,ფასი
569,Ware::N,тавар,საქონელი
570,Nutzen::N,пайта,ხეირი
571,Reichtum::N,мул,სიმდიდრე
572,Welt::N,тӗнче,მსოფლიო
573,Land::N,ҫӗр-шыв,მხარე
574,Land::N,ҫӗр-шыв,ქვეყანა
575,Staat::N,патшàлӑх,სახელმწიფო
576,König::N,король,მეფე
577,Macht::N,власть,ძლიერება
578,Grenze::N,чикӗ,ზღვარი
579,Krieg::N,вӑрҫӑ,ომი
580,Feind::N,тӑшман,მტერი
581,Gewalt::N,ирӗксӗрлӳ,სისასტიკე
582,Kampf::N,кӗрешӳ,ბრძოლა
583,Bogen[Waffe]::N,ухӑ,მშვილდი
584,Pfeil::N,ҫӗмрен,ისარი
585,Pfeil::N,ҫӗмрен,მახვილი
586,Pfeil::N,ухӑ йӗппи,ისარი
587,Pfeil::N,ухӑ йӗппи,მახვილი
588,Gewehr::N,пӑшал,თოფი
589,Gewehr::N,пӑшал,შაშხანა
590,Fehler::N,йӑнӑш,შეცდომა
591,Lüge::N,суя,სიცრუე
592,Lüge::N,ултав,სიცრუე
593,Schaden::N,сиен,ვნება
594,Unglück::N,шар,ხიფათი
595,Unglück::N,шар,უბედურება
596,Unglück::N,инкек,ხიფათი
597,Unglück::N,инкек,უბედურება
598,Schuld::N,айӑп,ბრალი
599,Alter::N,ҫул шучӗ,ასაკი
600,Schluss::N,пӗтни,ბოლო
601,Schluss::N,пӗтни,დასასრული
602,Schluss::N,пӗтмӗш,ბოლო
603,Schluss::N,пӗтмӗш,დასასრული
604,Zeit::N,вӑхӑт,დრო
605,Tag::N,кун,დღე
606,Morgen::N,ир,დილა
607,Mittag::N,кӑнтӑрла,შუადღე
608,Abend::N,каҫ,საღამო
609,Nacht::N,каҫ,ღამე
610,Woche::N,эрне,კვირა
611,Monat::N,уйӑх,თვე
612,Jahr::N,ҫулталӑк,წელი
613,Frühling::N,ҫур,გაზაფხული
614,Frühling::N,ҫуркунне,გაზაფხული
615,Sommer::N,ҫу,ზაფხული
616,Sommer::N,ҫулла,ზაფხული
617,Herbst::N,кӗр,შემოდგომა
618,Herbst::N,кӗркунне,შემოდგომა
619,Winter::N,хӗл,ზამთარი
620,Winter::N,хӗлле,ზამთარი
621,Januar::N,январь,იანვარი
622,Februar::N,февраль,თებერვალი
623,Februar::N,кӗҫӗн кӑрлач,თებერვალი
624,März::N,март,მარტი
625,März::N,пуш уйӑхӗ,მარტი
626,April::N,апрель,აპრილი
627,Mai::N,май,მაისი
628,Juni::N,июнь,ივნისი
629,Juli::N,июль,ივლისი
630,August::N,август,აგვისტო
631,September::N,сентябрь,სექტემბერი
632,September::N,авӑн уйӑхӗ,სექტემბერი
633,Oktober::N,октябрь,ოქტომბერი
634,November::N,ноябрь,ნოემბერი
635,Dezember::N,раштав,დეკემბერი
636,Dezember::N,декабрь,დეკემბერი
637,Montag::N,тунти кун,ორშაბათი
638,Dienstag::N,ытлари кун,სამშაბათი
639,Mittwoch::N,юн кун,ოთხშაბათი
640,Donnerstag::N,кӗҫнерни кун,ხუთშაბათი
641,Freitag::N,эрне кун,პარასკევი
642,Samstag::N,шӑмат кун,შაბათი
643,Sonntag::N,вырсарни кун,კვირა
644,groß::A,пысӑк,დიდი
645,klein::A,пӗчӗк,მცირე
646,klein::A,пӗчӗк,პატარა
647,lang::A,вӑрӑм,გრძელი
648,kurz::A,кӗске,მოკლე
649,breit::A,сарлака,ფართო
650,breit::A,сарлака,განიერი
651,schmal::A,ансӑр,ვიწრო
652,schmal::A,ансӑр,წვრილი
653,dicht::A,йӑвӑ,მჭიდრო
654,dick[Gegenstand]::A,хулӑн,სქელი
