,Concept_ID,da,lt
264,Rätsel::N,gåde,mįslė
265,Rede::N,tale,kalba
266,Sprache::N,sprog,kalba
267,Stimme::N,stemme,balsas
268,Wort::N,ord,žodis
269,Zeichen::N,tegn,žymė
270,Zeichen::N,tegn,ženklas
271,Ruf::N,råb,šauksmas
272,Lärm::N,larm,triukšmas
273,Laut::N,lyd,garsas
274,Ton::N,tone,tonas
275,Ton::N,tone,garsas
276,Lied::N,sang,daina
277,Lied::N,sang,giesmė
278,Ruhe::N,ro,ramybė
279,Ruhe::N,ro,ramumas
280,Ruhe::N,hvile,ramybė
281,Ruhe::N,hvile,ramumas
282,Leute::N,folk,žmonės
283,Leute::N,mennesker,žmonės
284,Volk::N,folk,tauta
285,Arbeit::N,arbejde,darbas
286,Arbeit::N,arbejde,triūsas
287,Gast::N,gæst,svečias
288,Geschenk::N,gave,dovana
289,Spiel::N,leg,žaismas
290,Spiel::N,leg,žaidimas
291,Gesellschaft::N,selskab,draugija
292,Gesellschaft::N,selskab,kompanija
293,Hilfe::N,hjælp,pagalba
294,Freund::N,ven,draugas
295,Freund::N,ven,bičiulis
296,Kamerad::N,kammerat,draugas
297,Angelegenheit::N,sag,dalykas
298,Angelegenheit::N,sag,reikalas
299,Angelegenheit::N,anliggende,dalykas
300,Angelegenheit::N,anliggende,reikalas
301,Anzahl::N,antal,kiekis
302,Anzahl::N,antal,skaičius
303,Art::N,art,rūšis
304,Stück::N,stykke,gabalas
305,Teil::N,del,dalis
306,Hälfte::N,halvdel,pusė
307,Kreis::N,cirkel,ratas
308,Kreis::N,cirkel,apskritis
309,Kreis::N,cirkel,apskritimas
310,Kreuz::N,kors,kryžius
311,Kreuz::N,kryds,kryžius
312,Linie::N,linie,linija
313,Strich::N,streg,brėžis
314,Strich::N,streg,brūkšnys
315,Abstand::N,afstand,atstumas
316,Entfernung::N,afstand,atstumas
317,Gegend::N,egn,vietovė
318,Platz::N,plads,vieta
319,Ort::N,sted,vieta
320,Ort::N,sted,vietovė
321,Seite::N,side,pusė
322,Seite::N,side,šonas
323,Mitte::N,midte,vidurys
324,Gegenstand::N,genstand,dalykas
325,Sache::N,sag,daiktas
326,Rand::N,rand,kraštas
327,Rand::N,rand,pakraštys
328,Kante::N,kant,kraštas
329,Ecke::N,hjørne,kertė
330,Ecke::N,hjørne,kampas
331,Spitze::N,spids,priekis
332,Spitze::N,spids,priešakys
333,Ende::N,ende,galas
334,Loch::N,hul,skylė
335,Winkel::N,vinkel,kampas
336,Winkel::N,vinkel,kampelis
337,Muster::N,mønster,raštas
338,Größe::N,størrelse,dydis
339,Größe::N,størrelse,didumas
340,Länge::N,længde,ilgis
341,Länge::N,længde,ilgumas
342,Höhe::N,højde,aukštis
343,Höhe::N,højde,aukštuma
344,Gewicht::N,vægt,svoris
345,Gewicht::N,vægt,svarstis
346,Menge::N,mængde,kiekis
347,Menge::N,mængde,daugybė
348,Haufen::N,bunke,krūva
349,Haufen::N,bunke,šūsnis
350,Reihe::N,række,greta
351,Boot::N,båd,valtis
352,Boot::N,båd,laivelis
353,Ruder::N,åre,irklas
354,Schlitten::N,kælk,rogės
355,Schlitten::N,kælk,rogutės
356,Schlitten::N,slæde,rogės
357,Schlitten::N,slæde,rogutės
358,Ski::N,ski,slidė
359,Lagerfeuer::N,lejrbål,laužas
360,Last::N,last,našta
361,Last::N,last,nešulys
362,Last::N,byrde,našta
363,Last::N,byrde,nešulys
364,Gang::N,gang,eisena
365,Schritt::N,skridt,žingsnis
366,Norden::N,nord,šiaurė
367,Norden::N,nord,žiemiai
368,Süden::N,syd,pietūs
369,Westen::N,vest,vakarai
370,Osten::N,øst,rytai
371,Holz::N,træ,mediena
372,Brett::N,bræt,lenta
373,Platte::N,plade,plokštė
374,Stütze::N,støtte,atrama
375,Stütze::N,støtte,atspara
376,Stange::N,stang,lazda
377,Stange::N,stang,kartis
378,Stock::N,stok,lazda
379,Stab::N,stav,kartis
380,Rohr::N,rør,vamzdis
381,Haus::N,hus,namas
382,Heim::N,hjem,namai
383,Ofen::N,ovn,krosnis
384,Fußboden::N,gulv,grindys
385,Tisch::N,bord,stalas
386,Stuhl::N,stol,kėdė
387,Wiege::N,vugge,lopšys
388,Bett::N,seng,lova
389,Bett::N,seng,patalai
390,Regal::N,reol,lentyna
391,Kiste::N,kasse,dėžė
392,Fenster::N,vindue,langas
393,Tür::N,dør,durys
394,Tor::N,port,vartai
395,Zaun::N,stakit,tvora
396,Dach::N,tag,stogas
397,Leiter::N,stige,kopėčios
398,Besen::N,kost,šluota
399,Spaten::N,spade,lopeta
400,Spaten::N,spade,kastuvas
401,Schaufel::N,skovl,semtuvas
402,Gabel::N,gaffel,šakutė
403,Löffel::N,ske,šaukštas
404,Messer::N,kniv,peilis
405,Nagel::N,søm,vinis
406,Netz::N,net,tinklas
407,Haken::N,krog,vagis
408,Haken::N,krog,kablys
409,Griff::N,tag,kotas
410,Griff::N,tag,rankena
411,Griff::N,håndtag,kotas
412,Griff::N,håndtag,rankena
413,Schloss::N,lås,spyna
414,Schloss::N,lås,užraktas
415,Bild::N,billede,paveikslas
416,Figur::N,figur,figūra
417,Puppe::N,dukke,lėlė
418,Beutel::N,pose,krepšys
419,Beutel::N,pose,maišelis
420,Bündel::N,bylt,ryšulys
421,Bündel::N,bundt,ryšulys
422,Tasche::N,taske,krepšelis
423,Eimer::N,spand,kibiras
424,Deckel::N,låg,dangtis
425,Geschirr::N,husgeråd,indai
426,Sack::N,sæk,maišas
427,Tasse::N,kop,puodukas
428,Topf::N,gryde,puodas
429,Kessel::N,kedel,katilas
430,Essen::N,måltid,valgis
431,Nahrung::N,mad,penas
432,Nahrung::N,mad,maistas
433,Nahrung::N,næring,penas
434,Nahrung::N,næring,maistas
435,Speise::N,ret,patiekalas
436,Fleisch::N,kød,mėsa
437,Getreide::N,korn,javai
438,Brei::N,grød,košė
439,Brot::N,brød,duona
440,Scheibe::N,skive,riekė
441,Fett::N,fedt,taukai
442,Fett::N,fedt,riebalai
443,Butter::N,smør,sviestas
444,Öl::N,olie,aliejus
445,Salz::N,salt,druska
446,Suppe::N,suppe,sriuba
447,Honig::N,honning,medus
448,Milch::N,mælk,pienas
449,Tee::N,te,arbata
450,Leder::N,skind,oda
451,Wolle::N,uld,vilna
452,Stoff::N,stof,audeklas
453,Nadel::N,nål,adata
454,Faden::N,tråd,gija
455,Faden::N,tråd,siūlas
456,Knopf::N,knap,saga
457,Knoten::N,knude,mazgas
458,Farbe::N,farve,dažai
459,Kleidung::N,påklædning,rūbai
460,Kleidung::N,påklædning,drabužiai
461,Hemd::N,skjorte,marškiniai
462,Kragen::N,krave,apykaklė
463,Ärmel::N,ærme,rankovė
464,Hose::N,bukser,kelnės
465,Gürtel::N,bælte,juosta
466,Gürtel::N,bælte,diržas
467,Mütze::N,hue,kepurė
468,Schuh::N,sko,batas
469,Stiefel::N,støvle,auliniai batai
470,Ring::N,ring,žiedas
471,Band::N,bånd,kaspinas
472,Kamm::N,kam,šukos
473,Spiegel::N,spejl,veidrodis
474,Riemen::N,rem,diržas
475,Schnur::N,snor,virvė
476,Leine::N,snor,pavadėlis
477,Decke::N,tæppe,antklodė
478,Kissen::N,pude,pagalvė
479,Kissen::N,pude,priegalvis
480,Tuch::N,sjaltørklæde,skarelė
481,Handtuch::N,håndklæde,rankšluostis
482,Kraft::N,kraft,jėga
483,Stärke::N,styrke,stiprumas
484,Gesundheit::N,sundhed,sveikata
485,Krankheit::N,sygdom,liga
486,Schmerz::N,smerte,skausmas
487,Wunde::N,sår,žaizda
488,Fieber::N,feber,karštis
489,Arznei::N,medicin,vaistas
490,Arznei::N,lægemiddel,vaistas
491,Brücke::N,bro,tiltas
492,Brunnen::N,brønd,šulinys
493,Weide::N,græsgang,ganykla
494,Weide::N,græsgang,gluosnis
495,Pfad::N,sti,takas
496,Weg::N,vej,kelias
497,Straße::N,gade,gatvė
498,Dorf::N,landsby,kaimas
499,Dorf::N,landsby,sodžius
500,Stadt::N,by,miestas
501,Brief::N,brev,laiškas
502,Buch::N,bog,knyga
503,Buchstabe::N,bogstav,raidė
504,Zeitung::N,avis,laikraštis
505,Leben::N,liv,gyvybė
506,Leben::N,liv,gyvenimas
507,Tod::N,død,mirtis
508,Grab::N,grav,kapas
509,Kirche::N,kirke,bažnyčia
510,Sünde::N,synd,nuodėmė
511,Sünde::N,synd,nusidėjimas
512,Gott::N,gud,dievas
513,Arbeiter::N,arbejder,darbininkas
514,Chef::N,chef,šefas
515,Chef::N,chef,vadovas
516,Chef::N,chef,viršininkas
517,Meister::N,mester,meistras
518,Arzt::N,læge,gydytojas
519,Lehrer::N,lærer,mokytojas
520,Geld::N,penge,pinigai
521,Geschäft::N,forretning,biznis
522,Laden::N,butik,krautuvė
523,Laden::N,butik,parduotuvė
524,Laden::N,forretning,krautuvė
525,Laden::N,forretning,parduotuvė
526,Preis::N,pris,kaina
527,Ware::N,vare,prekė
528,Nutzen::N,nytte,nauda
529,Nutzen::N,nytte,pelnas
530,Reichtum::N,rigdom,turtas
531,Welt::N,verden,pasaulis
532,Land::N,land,žemė
533,Land::N,land,šalis
534,Staat::N,stat,valstija
535,König::N,konge,karalius
536,Macht::N,magt,galia
537,Macht::N,magt,valdžia
538,Grenze::N,grænse,riba
539,Grenze::N,grænse,siena
540,Krieg::N,krig,karas
541,Feind::N,fjende,priešas
542,Gewalt::N,vold,jėga
543,Gewalt::N,vold,smurtas
544,Gewalt::N,vold,prievarta
545,Kampf::N,kamp,kova
546,Bogen[Waffe]::N,bue,lankas
547,Pfeil::N,pil,strėlė
548,Gewehr::N,gevær,šautuvas
549,Fehler::N,fejl,klaida
550,Lüge::N,løgn,melas
551,Schaden::N,skade,nuostolis
552,Schaden::N,skade,apgadinimas
553,Unglück::N,uheld,nelaimė
554,Unglück::N,ulykke,nelaimė
555,Schuld::N,skyld,kaltė
556,Alter::N,alder,amžius
557,Schluss::N,slut,pabaiga
558,Schluss::N,slutning,pabaiga
559,Zeit::N,tid,laikas
560,Tag::N,dag,diena
561,Morgen::N,morgen,rytas
562,Mittag::N,middag,vidurdienis
563,Abend::N,aften,vakaras
564,Nacht::N,nat,naktis
565,Woche::N,uge,savaitė
566,Monat::N,måned,mėnuo
567,Jahr::N,år,metai
568,Frühling::N,forår,pavasaris
569,Sommer::N,sommer,vasara
570,Herbst::N,efterår,ruduo
571,Winter::N,vinter,žiema
572,Januar::N,januar,sausis
573,Februar::N,februar,vasaris
574,März::N,marts,kovas
575,April::N,april,balandis
576,Mai::N,maj,gegužė
577,Juni::N,juni,birželis
578,Juli::N,juli,liepa
579,August::N,august,rugpjūtis
580,September::N,september,rugsėjis
581,Oktober::N,oktober,spalis
582,November::N,november,lapkritis
583,Dezember::N,december,gruodis
584,Montag::N,mandag,pirmadienis
585,Dienstag::N,tirsdag,antradienis
586,Mittwoch::N,onsdag,trečiadienis
587,Donnerstag::N,torsdag,ketvirtadienis
588,Freitag::N,fredag,penktadienis
589,Samstag::N,lørdag,šeštadienis
590,Sonntag::N,søndag,sekmadienis
591,groß::A,stor,didis
592,groß::A,stor,didelis
593,klein::A,lille,mažas
594,lang::A,lang,ilgas
595,kurz::A,kort,trumpas
596,breit::A,bred,platus
597,schmal::A,smal,smulkus
598,dicht::A,tæt,tankus
599,dick[Gegenstand]::A,tyk,storas
600,dünn::A,tynd,plonas
601,fein::A,fin,smulkus
602,fest::A,fast,kietas
603,fest::A,fast,tvirtas
604,flach::A,flad,lėkštas
605,flach::A,flad,plokščias
606,glatt::A,glat,slidus
607,hart::A,hård,kietas
608,weich::A,blød,minkštas
609,rund::A,rund,apvalus
610,rund::A,rund,apskritas
611,spitz::A,spids,aštrus
612,spitz::A,spids,smailus
613,scharf::A,skarp,aštrus
614,stumpf::A,sløv,bukas
615,stumpf::A,sløv,atšipęs
616,stumpf::A,stump,bukas
617,stumpf::A,stump,atšipęs
618,schwer::A,tung,sunkus
619,schön::A,skøn,gražus
620,heiß::A,hed,karštas
621,warm::A,varm,šiltas
622,kalt::A,kold,šaltas
623,kühl::A,kølig,vėsus
624,kühl::A,kølig,bejausmis
625,frisch::A,frisk,šviežias
626,feucht::A,fugtig,drėgnas
627,nass::A,våd,šlapias
628,trocken::A,tør,sausas
629,voll::A,fuld,pilnas
630,leer::A,tom,tuščias
631,offen::A,åben,atviras
632,geschlossen::A,lukket,uždaras
633,geschlossen::A,lukket,uždarytas
634,sauber::A,ren,švarus
635,schmutzig::A,snavset,nešvarus
636,schmutzig::A,snavset,purvinas
637,roh::A,rå,žalias
638,reif::A,moden,prinokęs
639,reif::A,moden,pribrendęs
640,lecker::A,lækker,gardus
641,süß::A,sød,saldus
642,bitter::A,bitter,kartus
643,sauer::A,sur,gižus
644,sauer::A,sur,rūgštus
645,hell::A,lys,šviesus
646,hell::A,lys,skaistus
647,dunkel::A,mørk,tamsus
648,schwarz::A,sort,juodas
649,weiß::A,hvid,baltas
650,rot::A,rød,raudonas
651,gelb::A,gul,geltonas
652,blau::A,blå,mėlynas
653,grün::A,grøn,žalias
654,grau::A,grå,pilkas
655,bunt::A,broget,margas
656,bunt::A,broget,spalvotas
657,billig::A,billig,pigus
658,teuer::A,dyr,brangus
659,wertvoll::A,værdifuld,vertingas
660,blind::A,blind,aklas
661,taub::A,døv,kurčias
662,kräftig::A,kraftig,stiprus
663,stark::A,stærk,stiprus
664,schwach::A,svag,silpnas
665,fett::A,fed,riebus
666,schlank::A,slank,laibas
667,schlank::A,slank,lieknas
668,hübsch::A,køn,gražus
669,böse::A,ond,blogas
670,böse::A,slem,blogas
671,dumm::A,dum,paikas
672,dumm::A,dum,kvailas
673,faul::A,doven,tingus
674,fleißig::A,flittig,stropus
675,fleißig::A,flittig,kruopštus
676,geizig::A,gerrig,šykštus
677,klug::A,klog,sumanus
678,klug::A,klog,protingas
679,geschickt::A,dygtig,apsukrus
680,geschickt::A,behændig,apsukrus
681,lieb::A,rar,mielas
682,lustig::A,lystig,smagus
683,lustig::A,lystig,linksmas
684,sanft::A,blid,švelnus
685,sanft::A,blid,minkštas
686,hungrig::A,sulten,alkanas
687,krank::A,syg,ligotas
688,krank::A,syg,sergantis
689,nackt::A,nøgen,nuogas
690,traurig::A,bedrøvet,liūdnas
691,lebendig::A,levende,gyvas
692,gut::A,god,geras
693,schlecht::A,dårlig,blogas
694,schlecht::A,dårlig,prastas
695,richtig::A,rigtig,tikras
696,richtig::A,rigtig,teisingas
697,schlimm::A,slem,blogas
698,schlimm::A,slem,prastas
699,wahr::A,sand,tikras
700,alt::A,gammel,senas
701,neu::A,ny,naujas
702,ehemalig::A,forhenværende,buvęs
703,alt[Lebewesen]::A,gammel,pagyvenęs
704,jung::A,ung,jaunas
705,arm::A,fattig,neturtingas
706,reich::A,rig,turtingas
707,bekannt::A,kendt,žinomas
708,bekannt::A,kendt,pažįstamas
709,berühmt::A,berømt,žymus
710,berühmt::A,berømt,garsus
711,fremd::A,fremmed,svetimas
712,verschieden::A,forskellig,įvairus
713,nah::A,nær,artimas
714,fern::A,fjern,tolimas
715,linker::A,venstre,kairys
716,rechter::A,højre,dešinys
717,anderer::A,anden,kitas
718,erster::A,første,pirmas
719,zweiter::A,anden,antras
720,dritter::A,tredje,trečias
721,letzter::A,sidste,paskutinis
722,allein::ADV,alene,vienas
723,auf einmal::ADV,på én gang,iš karto
724,zusammen::ADV,sammen,kartu
725,zusammen::ADV,sammen,drauge
726,lange::ADV,længe,ilgai
727,plötzlich::ADV,pludselig,staiga
728,sofort::ADV,straks,tuojau
729,später::ADV,senere,vėliau
730,später::ADV,senere,paskiau
731,jetzt::ADV,nu,dabãr
732,heute::ADV,i dag,šiandien
733,morgen::ADV,i morgen,rytoj
734,bald::ADV,snart,greitai
735,bald::ADV,snart,netrukus
736,dann::ADV,så,po to
737,gestern::ADV,i går,vakar
738,einst::ADV,engang,kadaise
739,einst::ADV,engang,kitą kartą
740,damals::ADV,dengang,anuomet
741,damals::ADV,dengang,anuokart
742,danach::ADV,derefter,po to
743,danach::ADV,derefter,paskui
744,vorher::ADV,før,anksčiau
745,vorher::ADV,forud,anksčiau
746,zuerst::ADV,først,pirma
747,zuerst::ADV,først,iš pradžių̃
748,einmal::ADV,en gang,kartą
749,einmal::ADV,en gang,vieną kartą
750,manchmal::ADV,sommetider,kai kada
751,oft::ADV,ofte,dažnai
752,immer::ADV,altid,visada
753,immer::ADV,altid,visuomet
754,niemals::ADV,aldrig,niekada
755,niemals::ADV,aldrig,niekuomet
756,hier::ADV,her,čia
757,hierhin::ADV,hid,šen
758,hierhin::ADV,hid,čionai
759,hierhin::ADV,herhen,šen
760,hierhin::ADV,herhen,čionai
761,von hier::ADV,herfra,iš čia
762,dort::ADV,der,ten
763,dort::ADV,der,tenai
764,dorthin::ADV,derhen,ten
765,dorthin::ADV,derhen,ten link
766,geradeaus::ADV,lige ud,tiesiai
767,vorwärts::ADV,fremad,pirmyn
768,rückwärts::ADV,baglæns,atbulai
769,zurück::ADV,tilbage,atgal
770,unten::ADV,nede,žemai
771,unten::ADV,nede,apačioje
772,unten::ADV,forneden,žemai
773,unten::ADV,forneden,apačioje
774,hinab::ADV,ned,žemyn
775,hinab::ADV,nedad,žemyn
776,oben::ADV,oppe,viršuj
777,oben::ADV,ovenpå,viršuj
778,hinauf::ADV,op,aukštyn
779,hinauf::ADV,op,į viršų
780,hinauf::ADV,opad,aukštyn
781,hinauf::ADV,opad,į viršų
782,überall::ADV,overalt,visur
783,nicht::ADV,ikke,ne
784,ein wenig::ADV,lidt,truputį
785,kaum::ADV,knap,vos
786,kaum::ADV,næppe,vos
787,sehr::ADV,meget,labai
788,sehr::ADV,meget,baisiai
789,so::ADV,så,taip
790,noch::ADV,endnu,dar
791,nur::ADV,kun,tik
792,nur::ADV,kun,vien
793,nur::ADV,bare,tik
794,nur::ADV,bare,vien
795,schon::ADV,alt,jau
796,schon::ADV,allerede,jau
797,wieder::ADV,igen,vėl
798,wieder::ADV,igen,iš naujo
799,vergebens::ADV,forgæves,veltui
800,vergebens::ADV,forgæves,bergždžiai
801,vor::PRP,foran,prieš
802,vor::PRP,uden for,prieš
803,hinter::PRP,bag,už
804,hinter::PRP,bagved,už
805,unter::PRP,under,po
806,durch::PRP,gennem,pro
807,durch::PRP,gennem,per
808,durch::PRP,igennem,pro
809,durch::PRP,igennem,per
810,neben::PRP,ved siden af,prie
811,neben::PRP,ved siden af,šalia
812,zwischen::PRP,mellem,tarp
813,wegen::PRP,på grund af,dėl
814,wegen::PRP,på grund af,dėlei
815,dies::PRN,dette,šis
816,dies::PRN,dette,šitas
817,das::PRN,det,tat
818,alles::PRN,alt,visas
819,ich::PRN,jeg,aš
820,du::PRN,du,tu
