,Concept_ID,la,fa
644,rund::A,rotundus,گرد
645,spitz::A,acutus,تیز
646,spitz::A,acutus,نوک‌تیز
647,scharf::A,acer,تیز
648,scharf::A,acer,برنده
649,stumpf::A,hebes,کند
650,schwer::A,gravis,سنگین
651,schön::A,pulcher,زیبا
652,schön::A,formosus,زیبا
653,heiß::A,fervidus,داغ
654,warm::A,calidus,گرم
655,kalt::A,frigidus,سرد
656,kühl::A,frigidus,خنک
657,frisch::A,recens,تازه
658,feucht::A,umidus,مرطوب
659,nass::A,madidus,تر
660,nass::A,madidus,خیش
661,trocken::A,aridus,خشک
662,voll::A,plenus,پر
663,leer::A,vacuus,خالی
664,offen::A,apertus,باز
665,geschlossen::A,clausus,بسته
666,sauber::A,lautus,پاک
667,sauber::A,lautus,تمیز
668,schmutzig::A,sordidus,کثیف
669,schmutzig::A,sordidus,آلوده
670,roh::A,crudus,خام
671,reif::A,maturus,رسیده
672,lecker::A,delicatus,لذیذ
673,lecker::A,delicatus,خوشمزه
674,süß::A,dulcis,شیرین
675,bitter::A,amarus,تلخ
676,bitter::A,acerbus,تلخ
677,sauer::A,acidus,ترش
678,hell::A,clarus,روشن
679,dunkel::A,obscurus,تاریک
680,schwarz::A,niger,سیاه
681,weiß::A,albus,سفید
682,rot::A,ruber,سرخ
683,rot::A,ruber,قرمز
684,gelb::A,flavus,زرد
685,blau::A,caeruleus,آبی
686,grün::A,viridis,سبز
687,grau::A,canus,طوسی
688,grau::A,canus,خاکستری
689,bunt::A,varius,رنگارنگ
690,billig::A,vilis,ارزان
691,teuer::A,carus,گران
692,wertvoll::A,pretiosus,قیمتی
693,wertvoll::A,pretiosus,گرانبها
694,blind::A,caecus,کور
695,blind::A,caecus,نابینا
696,taub::A,surdus,کر
697,taub::A,surdus,ناشنوا
698,kräftig::A,robustus,قوی
699,stark::A,firmus,قوی
700,stark::A,firmus,نیرومند
701,stark::A,validus,قوی
702,stark::A,validus,نیرومند
703,schwach::A,debilis,ضعیف
704,schwach::A,infirmus,ضعیف
705,fett::A,crassus,چرب
706,schlank::A,procerus,باریک‌اندام
707,hübsch::A,pulcher,قشنگ
708,hübsch::A,pulcher,خوشگل
709,böse::A,improbus,بد
710,dumm::A,stultus,احمق
711,dumm::A,stupidus,احمق
712,faul::A,piger,لش
713,faul::A,piger,تنبل
714,fleißig::A,sedulus,زرنگ
715,geizig::A,avarus,خسیس
716,klug::A,prudens,عاقل
717,klug::A,prudens,باهوش
718,geschickt::A,sollers,ماهر
719,lieb::A,carus,عزیز
720,lustig::A,iocosus,شاد
721,lustig::A,iocosus,خوشحال
722,sanft::A,clemens,لطیف
723,hungrig::A,impastus,گرسنه
724,krank::A,aeger,مریض
725,krank::A,aeger,بیمار
726,nackt::A,nudus,لخت
727,nackt::A,nudus,برهنه
728,traurig::A,maestus,غمگین
729,lebendig::A,vivus,زنده
730,gut::A,bonus,خوب
731,schlecht::A,malus,بد
732,richtig::A,rectus,درست
733,schlimm::A,malus,وخيم
734,wahr::A,verus,درست
735,wahr::A,verus,حقیقی
736,alt::A,antiquus,کهنه
737,neu::A,novus,نو
738,ehemalig::A,pristinus,قبلی
739,alt[Lebewesen]::A,vetus,پیر
740,jung::A,iuvenis,جوان
741,arm::A,pauper,فقیر
742,reich::A,dives,پولدار
743,reich::A,dives,ثروتمند
744,bekannt::A,notus,آشنا
745,bekannt::A,notus,معلوم
746,berühmt::A,celeber,مشهور
747,berühmt::A,illustris,مشهور
748,fremd::A,peregrinus,خارجی
749,fremd::A,peregrinus,بیگانه
750,verschieden::A,varius,مختلف
751,verschieden::A,varius,متفاوت
752,nah::A,propinquus,نزدیک
753,fern::A,longinquus,دور
754,linker::A,sinister,چپ
755,rechter::A,dexter,راست
756,anderer::A,alius,دیگر
757,erster::A,primus,اول
758,zweiter::A,secundus,دوم
759,dritter::A,tertius,سوم
760,letzter::A,ultimus,آخر
761,allein::ADV,solum,تنها
762,auf einmal::ADV,simul,همزمان
763,zusammen::ADV,una,باهم
764,lange::ADV,diu,مدت‌ها
765,lange::ADV,diu,مدت زیادی
766,plötzlich::ADV,subito,ناگهان
767,plötzlich::ADV,repente,ناگهان
768,sofort::ADV,statim,فوراً
769,später::ADV,postea,بعدها
770,jetzt::ADV,nunc,حالا
771,jetzt::ADV,nunc,اکنون
772,heute::ADV,hodie,امروز
773,morgen::ADV,cras,فردا
774,bald::ADV,mox,زود
775,bald::ADV,mox,بزودی
776,dann::ADV,deinde,سپس
777,dann::ADV,deinde,آنوقت
778,gestern::ADV,heri,دیروز
779,einst::ADV,olim,وقتی
780,einst::ADV,olim,زمانی
781,damals::ADV,tum,آنوقت
782,damals::ADV,tum,آنزمان
783,danach::ADV,postea,بعد
784,vorher::ADV,antea,قبلاً
785,zuerst::ADV,primo,اول
786,zuerst::ADV,primo,ابتداء
787,einmal::ADV,semel,یکدفعه
788,manchmal::ADV,interdum,گاهی
789,manchmal::ADV,interdum,بعضی اوقات
790,oft::ADV,saepe,اغلب
791,immer::ADV,semper,همیشه
792,niemals::ADV,numquam,هرگز
793,hier::ADV,hic,اینجا
794,hierhin::ADV,huc,به اینجا
795,von hier::ADV,hinc,از اینجا
796,dort::ADV,ibi,آنجا
797,dorthin::ADV,eo,به آنجا
798,geradeaus::ADV,recte,راست
799,vorwärts::ADV,porro,جلو
800,vorwärts::ADV,porro,به پیش
801,rückwärts::ADV,retro,عقب
802,zurück::ADV,retro,پس
803,zurück::ADV,retro,عقب
804,zurück::ADV,retro,بالعکس
805,unten::ADV,infra,زیر
806,unten::ADV,infra,پایین
807,hinab::ADV,pessum,به پایین
808,oben::ADV,supra,بالا
809,hinauf::ADV,sursum,به بالا
810,überall::ADV,ubique,همه‌جا
811,nicht::ADV,non,نه
812,ein wenig::ADV,paulum,کمی
813,kaum::ADV,vix,به سختی
