,Concept_ID,ga,ku
81,Erde::N,cré,ax
82,Erde::N,ithir,ax
83,Staub::N,dusta,toz
84,Staub::N,deannach,toz
85,Rauch::N,toit,dû
86,Rauch::N,deatach,dû
87,Funke::N,drithle,çirûşk
88,Feuer::N,tine,agir
89,Licht::N,solas,ronahî
90,Schatten::N,scáth,sî
91,Wetter::N,aimsir,hewa
92,Nebel::N,ceo,mij
93,Wolke::N,néal,ewr
94,Wolke::N,scamall,ewr
95,Regen::N,báisteach,baran
96,Regen::N,fearthainn,baran
97,Schnee::N,sneachta,berf
98,Eis::N,oighear,qeşa
99,Frost::N,sioc,xûsik
100,Kälte::N,fuacht,serma
101,Hitze::N,teas,germayî
102,Hitze::N,teocht,germayî
103,Raureif::N,sioc bán,şext
104,Regenbogen::N,stua ceatha,heftreng
105,Regenbogen::N,bogha báistí,heftreng
106,Donner::N,toirneach,gire-gir
107,Strömung::N,sruth,şewl
108,Tropfen::N,deoir,dilop
109,Schaum::N,cúr,kef
110,Schmutz::N,salachar,gemar
111,See::N,loch,gol
112,Sumpf::N,portach,hezek
113,Moor::N,caorán,mafêl
114,Moor::N,móinteán,mafêl
115,Wiese::N,cluain,sûrik
116,Wiese::N,móinéar,sûrik
117,Wald::N,coill,çiya
118,Wald::N,coill,daristan
119,Wald::N,foraois,çiya
120,Wald::N,foraois,daristan
121,Hügel::N,ard,gir
122,Anhöhe::N,ard,sere gir
123,Anhöhe::N,ardán,sere gir
124,Berg::N,sliabh,kaş
125,Gipfel::N,barr,sere gir
126,Gipfel::N,mullach,sere gir
127,Höhle::N,uaimh,şikeft
128,Höhle::N,pluais,şikeft
129,Abhang::N,fána,kaş
130,Quelle::N,foinse,kanî
131,Bach::N,sruthán,çem
132,Fluss::N,abhainn,çem
133,Fluss::N,abhainn,rûbar
134,Ufer::N,bruach,kevî
135,Küste::N,cósta,berav
136,Küste::N,cladach,berav
137,Festland::N,míntír,bejahî
138,Meer::N,muir,behr
139,Meer::N,farraige,behr
140,Bucht::N,bá,derav
141,Bucht::N,cuan,derav
142,Insel::N,inis,girav
143,Insel::N,oileán,girav
144,Blume::N,bláth,kulînk
145,Gras::N,féar,giha
146,Wurzel::N,rúta,reh
147,Wurzel::N,fréamh,reh
148,Baum::N,crann,dar
149,Stamm::N,stoc,bavik
150,Stamm::N,tamhan,bavik
151,Rinde::N,coirt,qaqil
152,Rinde::N,craiceann,qaqil
153,Ast::N,géag,gulî
154,Zweig::N,géag,şax
155,Zweig::N,craobh,şax
156,Blatt::N,duille,pel
157,Blatt::N,duilleog,pel
158,Birke::N,beith,dara sipî
159,Birke::N,crann beithe,dara sipî
160,Kiefer[Baum]::N,péine,dara bî
161,Weide[Baum]::N,saileach,dara belalûk
162,Tanne::N,giúis,merx
163,Horn::N,adharc,strô
164,Feder::N,cleite,pîrtîk
165,Fell::N,clúmh,heyar
166,Flügel::N,eite,per
167,Flügel::N,sciathán,per
168,Klaue::N,crúb,napîk
169,Klaue::N,crobh,napîk
170,Kralle::N,crobh,dinik
171,Kralle::N,crobh,dirnax
172,Schwanz::N,eireaball,dûv
173,Ei::N,ubh,hêk
174,Nest::N,nead,hêlîn
175,Bau::N,brocais,avahî
176,Tier::N,ainmhí,heywan
177,Tier::N,beithíoch,heywan
178,Herde::N,tréad,hoz
179,Kuh::N,bó,çêlek
180,Bulle::N,tarbh,ga
181,Pferd::N,each,hesp
182,Pferd::N,capall,hesp
183,Schaf::N,caora,mîh
184,Schwein::N,muc,beraz
185,Hund::N,madra,seh
186,Katze::N,cat,pişîk
187,Bär::N,béar,hirç
188,Eichhörnchen::N,iora,pilûr
189,Elch::N,eilc,pazkovî
190,Fuchs::N,sionnach,rovî
191,Fuchs::N,madra rua,rovî
192,Hase::N,giorria,kîroşk
193,Maus::N,luch,mişk
194,Wolf::N,mac tíre,gur
195,Vogel::N,éan,çûk
196,Schwarm::N,saithe,lufik
197,Huhn::N,cearc,mirîşk
198,Hahn::N,coileach,dîk
199,Gans::N,gé,qaz
200,Adler::N,iolar,eylo
201,Ente::N,lacha,werdek
202,Eule::N,ulchabhán,bûm
203,Eule::N,ulchabhán,kund
204,Kranich::N,grús,quling
205,Krähe::N,caróg,qijik
206,Krähe::N,préachán,qijik
207,Kuckuck::N,cuach,pepûk
208,Schwan::N,eala,qû
209,Fisch::N,iasc,masî
210,Barsch::N,péirse,okûn
211,Hecht::N,liús,mesîyê lûf
212,Schlange[Tier]::N,nathair,mar
213,Wurm::N,péist,kurm
214,Spinne::N,damhán alla,pîrê
215,Ameise::N,seangán,mîro
216,Ameise::N,seangán,gêrîk
217,Laus::N,míol,spi
218,Mücke::N,muiscít,mêş
219,Mücke::N,corrmhíol,mêş
220,Fliege::N,cuil,mêş
221,Fliege::N,cuileog,mêş
222,Schmetterling::N,féileacán,perperîk
223,Beere::N,caor,hirç
224,Apfel::N,úll,sêv
225,Pilz::N,beacán,bîrov
226,Pilz::N,muisiriún,bîrov
227,Zwiebel::N,oinniún,pîvaz
228,Saat::N,síol,tov
229,Korn::N,gráinne,dexl
230,Heu::N,féar,sap
231,Schale::N,scaimh,qaşik
232,Grube::N,poll,çahl
233,Falle::N,gaiste,dafik
234,Schlinge::N,sealán,dahf
235,Spur::N,rian,rêç
236,Asche::N,luaith,xweli
237,Dreck::N,salachar,gemarî
238,Eisen::N,iarann,hesing
239,Gold::N,ór,zêr
240,Silber::N,airgead,zîv
241,Kohle::N,gual,komir
242,Glas::N,gloine,qedeh
243,Lehm::N,cré,kelpîç
244,Sand::N,gaineamh,qûm
245,Mensch::N,duine,mirov
246,Mann::N,fear,mêr
247,Frau::N,bean,jin
248,Kind::N,gasúr,zarok
249,Kind::N,páiste,zarok
250,Junge::N,buachaill,kur
251,Mädchen::N,cailín,keç
252,Mädchen::N,cailín,keçik
253,Familie::N,teaghlach,malbat
254,Familie::N,comhluadar,malbat
255,Großvater::N,seanathair,bapîr
256,Großmutter::N,seanmháthair,pîrik
257,Eltern::N,tuismitheoirí,bavudê
258,Vater::N,athair,bav
259,Mutter::N,máthair,dê
260,Mutter::N,máthair,dayik
261,Sohn::N,mac,kur
262,Tochter::N,iníon,keç
263,Bruder::N,deartháir,bira
264,Schwester::N,deirfiúr,xweh
265,Onkel::N,uncail,am
266,Onkel::N,uncail,xal
267,Tante::N,aintín,metik
268,Tante::N,aintín,xaltîk
269,Ehemann::N,fear céile,mêr
270,Ehefrau::N,bean chéile,kulfet
271,Freude::N,áthas,kêfxweşî
272,Gelächter::N,gáire,pîrqînî
273,Glück::N,séan,bext
274,Glück::N,sonas,bext
275,Kummer::N,brón,derd
276,Kummer::N,buairt,derd
277,Wunsch::N,guí,daxwaz
278,Wunsch::N,guí,xwestek
279,Wunsch::N,achainí,daxwaz
280,Wunsch::N,achainí,xwestek
281,Lust::N,fonn,şewq
282,Geist::N,meon,aqil
283,Geist::N,spiorad,aqil
284,Gedanke::N,smaoineamh,fikir
285,Gedächtnis::N,cuimhne,aqil
286,Verstand::N,ciall,fêm
287,Verstand::N,intinn,fêm
288,Sinn::N,brí,aqil
289,Sinn::N,ciall,aqil
290,Grund::N,fáth,asas
291,Wahrheit::N,fírinne,rastî
292,Gespräch::N,comhrá,guftûgo
293,Märchen::N,scéal,çirok
294,Erzählung::N,scéal,çirok
295,Erzählung::N,scéal,vegotin
296,Nachricht::N,teachtaireacht,nûçe
297,Neuigkeit::N,scéala,hewal
298,Name::N,ainm,nav
299,Name::N,ainm,paşnav
300,Rätsel::N,tomhas,tiştonek
301,Rede::N,óráid,gotar
302,Rede::N,óráid,axavtin
303,Rede::N,aitheasc,gotar
304,Rede::N,aitheasc,axavtin
305,Sprache::N,teanga,ziman
306,Stimme::N,guth,pejn
307,Wort::N,focal,gotin
308,Zeichen::N,comhartha,şanek
309,Ruf::N,glaoch,hawar
310,Lärm::N,torann,xarbalix
311,Laut::N,fuaim,deng
312,Laut::N,fuaim,hês
313,Ton::N,ton,awaz
314,Lied::N,amhrán,sitran
315,Ruhe::N,suaimhneas,rihetî
316,Leute::N,muintir,xelk
317,Volk::N,pobal,xelk
318,Arbeit::N,obair,xebat
319,Gast::N,aoi,mêvan
320,Geschenk::N,féirín,diyarî
321,Geschenk::N,bronntanas,diyarî
322,Spiel::N,cluiche,lîstik
323,Gesellschaft::N,comhluadar,komal
324,Hilfe::N,cúnamh,alîkarî
325,Hilfe::N,cabhair,alîkarî
326,Freund::N,cara,heval
327,Kamerad::N,comrádaí,heval
328,Angelegenheit::N,ábhar,pirsgirêk
329,Anzahl::N,líon,çend
330,Art::N,sórt,çeh
331,Art::N,saghas,çeh
332,Stück::N,píosa,lib
333,Stück::N,píosa,parçe
334,Teil::N,cuid,parçe
335,Teil::N,páirt,parçe
336,Hälfte::N,leath,nîvî
337,Kreis::N,ciorcal,çemil
338,Kreuz::N,cros,xaç
339,Linie::N,líne,xezik
340,Strich::N,stríoc,xezik
341,Abstand::N,achar,dûrahî
342,Entfernung::N,fad,dûrahî
343,Gegend::N,ceantar,dever
344,Platz::N,áit,çih
345,Platz::N,spás,çih
346,Ort::N,áit,dever
347,Seite::N,taobh,rûpel
348,Mitte::N,lár,nav
349,Mitte::N,lár,nabênê
350,Gegenstand::N,ball,tişt
351,Gegenstand::N,ábhar,tişt
352,Sache::N,ní,tişt
353,Sache::N,rud,tişt
354,Rand::N,imeall,kevî
355,Rand::N,ciumhais,kevî
356,Kante::N,corr,kevî
357,Kante::N,colbha,kevî
358,Ecke::N,coirnéal,qunç
359,Spitze::N,gob,derzî
360,Spitze::N,barr,derzî
361,Ende::N,ceann,talî
362,Ende::N,foirceann,talî
363,Loch::N,poll,qul
364,Winkel::N,cúinne,kurnîşk
365,Winkel::N,uillinn,kurnîşk
366,Muster::N,patrún,desen
367,Größe::N,méid,mezinî
368,Größe::N,toise,mezinî
369,Länge::N,fad,dirêjahî
370,Höhe::N,airde,bilindayî
371,Gewicht::N,meáchan,giranî
372,Menge::N,méid,qas
373,Haufen::N,cnap,lod
374,Reihe::N,líne,rêz
375,Reihe::N,sraith,rêz
376,Boot::N,bád,kelek
377,Ruder::N,rámh,bêrik
378,Ruder::N,maide rámha,bêrik
379,Schlitten::N,carr sleamhnáin,xîjik
380,Ski::N,scí,lakan
381,Lagerfeuer::N,tine champa,agir
382,Last::N,ualach,bar
383,Gang::N,siúlóid,fîtêz
384,Schritt::N,céim,gav
385,Schritt::N,coiscéim,gav
386,Norden::N,tuaisceart,bakur
387,Süden::N,deisceart,başur
388,Westen::N,iarthar,rojava
389,Osten::N,oirthear,rojhilat
390,Holz::N,adhmad,dep
391,Brett::N,clár,dep
392,Platte::N,leac,dep
393,Stütze::N,taca,destek
394,Stange::N,polla,sing
395,Stange::N,cuaille,sing
396,Stock::N,bata,çam
397,Stock::N,maide,çam
398,Stab::N,maide,qat
399,Stab::N,bachall,qat
400,Rohr::N,píopa,borî
401,Haus::N,teach,mal
402,Haus::N,teach,xanî
403,Heim::N,baile,mal
404,Ofen::N,sornóg,sobe
405,Fußboden::N,urlár,binpê
406,Tisch::N,bord,mase
407,Tisch::N,tábla,mase
408,Stuhl::N,cathaoir,kursî
409,Wiege::N,cliabhán,derguş
410,Bett::N,leaba,qerewêle
411,Regal::N,seilf,rêbaz
412,Kiste::N,bosca,sindoq
413,Fenster::N,fuinneoig,çam
414,Fenster::N,fuinneoig,şibeke
415,Tür::N,doras,derî
416,Tor::N,geata,derge
417,Zaun::N,fál,hejik
418,Zaun::N,claí,hejik
419,Dach::N,díon,sere xanî
420,Leiter::N,dréimire,pêling
421,Besen::N,scuab,melkes
422,Spaten::N,spád,mer
423,Spaten::N,rámhainn,mer
424,Schaufel::N,sluasaid,bêr
425,Gabel::N,forc,çetel
426,Gabel::N,gabhlóg,çetel
427,Löffel::N,spúnóg,kevçî
428,Messer::N,scian,kêr
429,Nagel::N,tairne,bizmar
430,Netz::N,líon,tor
431,Netz::N,eangach,tor
432,Haken::N,croch,çenqel
433,Griff::N,cos,destî
434,Griff::N,hanla,destî
435,Schloss::N,glas,qonax
436,Bild::N,pictiúr,dimen
437,Figur::N,fíor,figûr
438,Puppe::N,bábóg,bûk
439,Beutel::N,mála,kîsik
440,Beutel::N,mealbhóg,kîsik
441,Bündel::N,beart,pêçek
442,Tasche::N,mála,bêrîk
443,Eimer::N,buicéad,dewl
444,Deckel::N,clár,devik
445,Deckel::N,claibín,devik
446,Geschirr::N,soithí,ferax
447,Geschirr::N,gréithe,ferax
448,Sack::N,sac,tûr
449,Sack::N,mála,tûr
450,Tasse::N,cupán,kada
451,Topf::N,pota,beroş
452,Kessel::N,citeal,şîril
453,Essen::N,béile,xwarin
454,Nahrung::N,bia,xwarin
455,Speise::N,mias,xwarin
456,Fleisch::N,feoil,goşt
457,Getreide::N,grán,zad
458,Getreide::N,arbhar,zad
459,Brei::N,brúitín,hewdêl
460,Brot::N,arán,
461,Scheibe::N,píosa,parçe
462,Scheibe::N,slisne,parçe
463,Fett::N,saill,rûn
464,Fett::N,méathras,rûn
465,Butter::N,im,rûn
466,Öl::N,ola,rûn
467,Salz::N,salann,xwe
468,Suppe::N,sú,şorbe
469,Suppe::N,anraith,şorbe
470,Honig::N,mil,hingiv
471,Milch::N,bainne,şîr
472,Tee::N,tae,çay
473,Leder::N,leathar,çerm
474,Wolle::N,olann,herî
475,Stoff::N,éadach,paç
476,Nadel::N,snáthaid,derzî
477,Faden::N,snáth,ta
478,Knopf::N,cnaipe,bişkok
479,Knoten::N,snaidhm,girêk
480,Farbe::N,péint,boyax
481,Kleidung::N,éadaí,çil
482,Hemd::N,léine,qutik
483,Hemd::N,léine,miltan
484,Kragen::N,bóna,stûvang
485,Ärmel::N,muinchille,hûçik
486,Hose::N,bríste,şewel
487,Hose::N,treabhsar,şewel
488,Gürtel::N,crios,qayiş
489,Mütze::N,caipín,fîno
490,Schuh::N,bróg,şêkal
491,Stiefel::N,buatais,gizme
492,Stiefel::N,buatais,çizme
493,Ring::N,fáinne,xelek
494,Band::N,ribín,band
495,Kamm::N,cíor,şeh
496,Spiegel::N,scáthán,eynik
497,Riemen::N,iall,qayiş
498,Riemen::N,strapa,qayiş
499,Schnur::N,téad,doxin
500,Schnur::N,sreangán,doxin
501,Leine::N,iall,şirît
502,Decke::N,pluid,bataniye
503,Decke::N,blaincéad,bataniye
504,Kissen::N,piliúr,balgî
505,Kissen::N,adhartán,balgî
506,Tuch::N,scaif,şar
507,Handtuch::N,tuáille,dezmal
508,Kraft::N,fórsa,hêz
509,Kraft::N,fórsa,qewet
510,Stärke::N,neart,xurtî
511,Gesundheit::N,sláinte,nojdarî
512,Krankheit::N,tinneas,nexweşî
513,Krankheit::N,breoiteacht,nexweşî
514,Schmerz::N,pian,êş
515,Wunde::N,goin,kul
516,Fieber::N,fiabhras,ta
517,Arznei::N,cógas,derman
518,Brücke::N,droichead,kopî
519,Brunnen::N,tobar,çal
520,Brunnen::N,tobar,kani
521,Weide::N,féarach,beyar
522,Pfad::N,cosán,xaçirek
523,Pfad::N,conair,xaçirek
524,Weg::N,slí,rê
525,Weg::N,bealach,rê
526,Straße::N,bóthar,rê
527,Dorf::N,sráidbhaile,gund
528,Stadt::N,baile,baçar
529,Stadt::N,cathair,baçar
530,Brief::N,litir,name
531,Buch::N,cín,kitêb
532,Buch::N,cín,pirtûk
533,Buch::N,leabhar,kitêb
534,Buch::N,leabhar,pirtûk
535,Buchstabe::N,litir,herf
536,Zeitung::N,nuachtán,rojname
537,Leben::N,saol,jiyan
538,Leben::N,beatha,jiyan
539,Tod::N,bás,mirin
540,Grab::N,uaigh,mezel
541,Kirche::N,eaglais,gilyas
542,Sünde::N,peaca,guneh
543,Gott::N,dia,xwedê
544,Arbeiter::N,oibrí,hîşçî
545,Chef::N,saoiste,bêg
546,Chef::N,ceannasaí,bêg
547,Meister::N,máistir,hoste
548,Arzt::N,lia,doktor
549,Arzt::N,dochtúir,doktor
550,Lehrer::N,oide,mamoste
551,Lehrer::N,múinteoir,mamoste
552,Geld::N,airgead,pere
553,Geschäft::N,gnó,firoşgeh
554,Laden::N,siopa,dikan
555,Preis::N,praghas,buha
556,Ware::N,earra,tişt
557,Nutzen::N,tairbhe,fêde
558,Reichtum::N,rachmas,serwet
559,Reichtum::N,saibhreas,serwet
560,Welt::N,domhan,dinya
561,Land::N,tír,welat
562,Staat::N,stát,dewlet
563,König::N,rí,şah
564,König::N,rí,qral
565,Macht::N,cumhacht,qewet
566,Macht::N,cumhacht,destihilat
567,Grenze::N,críoch,kevî
568,Grenze::N,teorainn,kevî
569,Krieg::N,cogadh,çeng
570,Krieg::N,cogadh,sêwaş
571,Feind::N,namhaid,dijmin
572,Gewalt::N,foréigean,zor
573,Kampf::N,troid,şer
574,Bogen[Waffe]::N,bogha,kêvan
575,Pfeil::N,saighead,çîrik
576,Gewehr::N,gunna,tifing
577,Fehler::N,botún,şaşî
578,Fehler::N,meancóg,şaşî
579,Lüge::N,bréag,derew
580,Lüge::N,éitheach,derew
581,Schaden::N,dochar,xisar
582,Schaden::N,damáiste,xisar
583,Unglück::N,drochrath,bêbextî
584,Schuld::N,locht,suç
585,Schuld::N,milleán,suç
586,Alter::N,aois,temen
587,Schluss::N,deireadh,girtin
588,Zeit::N,am,çax
589,Zeit::N,aimsir,çax
590,Tag::N,lá,roj
591,Morgen::N,maidin,sibeh
592,Mittag::N,nóin,nîro
593,Abend::N,tráthnóna,êvar
594,Nacht::N,oíche,şev
595,Woche::N,seachtain,heftî
596,Monat::N,mí,meh
597,Jahr::N,bliain,sal
598,Frühling::N,earrach,bihar
599,Sommer::N,samhradh,havîn
600,Herbst::N,fómhar,payîz
601,Winter::N,geimhreadh,zistan
602,Januar::N,Eanáir,çile
603,Februar::N,Feabhra,sibat
604,März::N,Márta,adar
605,April::N,Aibreán,nîsan
606,Mai::N,Bealtaine,gûlan
607,Juni::N,Meitheamh,hezîran
608,Juli::N,Iúil,tîmeh
609,August::N,Lúnasa,tebax
610,September::N,Meán Fómhair,îlon
611,Oktober::N,Deireadh Fómhair,çotmeh
612,November::N,Samhain,mijdar
613,November::N,Mí na Samhna,mijdar
614,Dezember::N,Mí na Nollag,kanûn
615,Montag::N,Luan,duşemb
616,Montag::N,Dé Luain,duşemb
617,Dienstag::N,Máirt,sêşem
618,Dienstag::N,Dé Máirt,sêşem
619,Mittwoch::N,Céadaoin,çarşemb
620,Mittwoch::N,Dé Céadaoin,çarşemb
621,Donnerstag::N,Déardaoin,pêşemb
622,Freitag::N,Aoine,în
623,Freitag::N,Dé hAoine,în
624,Samstag::N,Satharn,şemî
625,Samstag::N,Dé Sathairn,şemî
626,Sonntag::N,Domhnach,yekşemb
627,Sonntag::N,Dé Domhnaigh,yekşemb
628,groß::A,mór,mezin
629,klein::A,beag,çûçik
630,lang::A,fada,dirêj
631,kurz::A,gearr,kin
632,kurz::A,gairid,kin
633,breit::A,leathan,fireh
634,breit::A,fairsing,fireh
635,schmal::A,cúng,tenik
636,dicht::A,dlúth,gir
637,dick[Gegenstand]::A,tiubh,şîşman
638,dünn::A,caol,zirav
639,dünn::A,tanaí,zirav
640,fein::A,scáinte,tenik
641,fein::A,fíneálta,tenik
642,fest::A,daingean,saxlem
643,flach::A,cothrom,pahn
644,glatt::A,mín,dûz
645,glatt::A,mín,şayîk
646,glatt::A,sleamhain,dûz
647,glatt::A,sleamhain,şayîk
648,hart::A,crua,hişk
649,weich::A,bog,nerm
650,rund::A,cruinn,gilover
651,spitz::A,gobach,pîj
652,spitz::A,biorach,pîj
653,scharf::A,géar,tûj
654,scharf::A,faobhrach,tûj
655,stumpf::A,maol,ne tûj
656,schwer::A,trom,giran
657,schön::A,álainn,xweş
658,schön::A,álainn,xweşik
659,heiß::A,te,kelandî
660,warm::A,te,germ
661,kalt::A,fuar,sar
662,kühl::A,fionnuar,jemîrî
663,frisch::A,úr,ter
664,frisch::A,friseáilte,ter
665,feucht::A,tais,şil
666,nass::A,fliuch,şilek
667,trocken::A,tirim,zuwa
668,voll::A,lán,tijî
669,leer::A,folamh,vala
670,offen::A,oscailte,vekirî
671,geschlossen::A,dúnta,asê
672,geschlossen::A,druidte,asê
673,sauber::A,glan,pakij
674,schmutzig::A,salach,lewitî
675,roh::A,amh,xav
676,reif::A,aibí,gihaştî
677,lecker::A,blasta,xweş
678,süß::A,milis,şîrîn
679,bitter::A,searbh,tahl
680,sauer::A,géar,tirş
681,sauer::A,searbh,tirş
682,hell::A,geal,ronî
683,hell::A,soilseach,ronî
684,dunkel::A,dorcha,tarî
685,schwarz::A,dubh,reş
686,weiß::A,bán,sipî
687,rot::A,dearg,sor
688,gelb::A,buí,zer
689,blau::A,gorm,şîn
690,grün::A,glas,şîn
691,grün::A,uaine,şîn
692,grau::A,liath,gewr
693,bunt::A,ildathach,rengîn
694,bunt::A,dathannach,rengîn
695,billig::A,saor,erzan
696,teuer::A,daor,biha
697,teuer::A,costasach,biha
698,wertvoll::A,luachmhar,hêja
699,wertvoll::A,luachmhar,giranbiha
700,blind::A,dall,kor
701,blind::A,caoch,kor
702,taub::A,bodhar,kerr
703,kräftig::A,cumhachtach,gir
704,kräftig::A,cumhachtach,xurt
705,stark::A,tréan,xurt
706,stark::A,láidir,xurt
707,schwach::A,lag,kesad
708,schwach::A,fann,kesad
709,fett::A,ramhar,qelew
710,schlank::A,caol,zirav
711,schlank::A,seang,zirav
712,hübsch::A,álainn,xweşik
713,hübsch::A,dathúil,xweşik
714,böse::A,olc,xerab
715,böse::A,olc,aciz
716,dumm::A,dúr,gêj
717,dumm::A,amaideach,gêj
718,faul::A,falsa,têmbêl
719,faul::A,leisciúil,têmbêl
720,fleißig::A,dícheallach,jêhatî
721,geizig::A,barainneach,destgirtî
722,geizig::A,sprionlaithe,destgirtî
723,klug::A,cliste,baqil
724,geschickt::A,oilte,zîrek
725,geschickt::A,oilte,ziring
726,geschickt::A,ealaíonta,zîrek
727,geschickt::A,ealaíonta,ziring
728,lieb::A,dil,delal
729,lieb::A,dílis,delal
730,lustig::A,aerach,kêfxweş
731,lustig::A,meidhreach,kêfxweş
732,sanft::A,bog,nazenîn
733,sanft::A,séimh,nazenîn
734,hungrig::A,ocrach,birçî
735,krank::A,tinn,nexweş
736,krank::A,breoite,nexweş
737,nackt::A,nocht,rût
738,nackt::A,nocht,tazî
739,traurig::A,brónach,xemgîn
740,lebendig::A,beo,bisaxî
741,gut::A,maith,baş
742,schlecht::A,dona,xerab
743,schlecht::A,droch-,xerab
744,richtig::A,ceart,rast
745,richtig::A,ceart,saxlem
746,schlimm::A,gránna,nebaş
747,schlimm::A,tubaisteach,nebaş
748,wahr::A,fíor,rast
749,alt::A,sean,pîr
750,alt::A,sean,kevn
751,neu::A,úr,nû
752,neu::A,nua,nû
753,ehemalig::A,iar-,kevnar
754,ehemalig::A,iar-,peşidar
755,ehemalig::A,sean-,kevnar
756,ehemalig::A,sean-,peşidar
757,alt[Lebewesen]::A,sean,pîr
758,alt[Lebewesen]::A,aosta,pîr
759,jung::A,óg,xort
760,arm::A,bocht,feqîr
761,arm::A,bocht,desteng
762,reich::A,saibhir,dewlemend
763,reich::A,rachmasach,dewlemend
764,bekannt::A,atá eolas air,naskirî
765,berühmt::A,cailiúil,navdar
766,berühmt::A,clúiteach,navdar
767,fremd::A,coimhthíoch,xerîb
768,verschieden::A,éagsúil,çîhê
769,verschieden::A,difriúil,çîhê
770,nah::A,gar,nêzîk
771,nah::A,deas,nêzîk
772,fern::A,i bhfad uainn,dûr
773,fern::A,i bhfad i gcéin,dûr
774,linker::A,clé,çepê
775,rechter::A,deas,rastê
776,anderer::A,eile,yê din
777,erster::A,céad,yekemîn
778,zweiter::A,dóú,duda
779,zweiter::A,dara,duda
780,dritter::A,tríú,sisêya
781,dritter::A,treas,sisêya
782,letzter::A,déanach,paşîn
783,letzter::A,deireanach,paşîn
784,allein::ADV,i d'aonar,tenê
785,auf einmal::ADV,ag an am céanna,jar kê
786,zusammen::ADV,le chéile,tev
787,zusammen::ADV,le chéile,bi hev re
788,zusammen::ADV,in eineacht,tev
789,zusammen::ADV,in eineacht,bi hev re
790,lange::ADV,fada,dirêj
791,plötzlich::ADV,go tobann,ji nişkave
792,plötzlich::ADV,i dtobainne,ji nişkave
793,sofort::ADV,ar an toirt,yekser
794,sofort::ADV,ar an bpointe,yekser
795,später::ADV,níos déanaí,paşiyê
796,jetzt::ADV,anois,nuha
797,heute::ADV,inniu,îro
798,morgen::ADV,amárach,sibeh
799,bald::ADV,go luath,nêzîk
800,bald::ADV,gan mhoill,nêzîk
801,dann::ADV,ansin,paşê
802,gestern::ADV,inné,do
803,einst::ADV,tráth,jar ke
804,einst::ADV,uair amháin,jar ke
805,damals::ADV,ag an am,hîngî
806,damals::ADV,an t-am sin,hîngî
807,danach::ADV,ina dhiaidh sin,piştra
808,vorher::ADV,cheana,pîşî
809,vorher::ADV,roimhe sin,pîşî
810,zuerst::ADV,ar dtús,bere
811,einmal::ADV,uair amháin,çarik
812,manchmal::ADV,uaireanta,çarna
813,oft::ADV,minic,gelek çaran
