,Concept_ID,zh,ba
141,Bulle::N,公牛,үгеҙ
142,Pferd::N,马,ат
143,Schaf::N,羊,һарыҡ
144,Schwein::N,猪,сусҡа
145,Hund::N,狗,эт
146,Katze::N,猫,бесәй
147,Bär::N,熊,айыу
148,Eichhörnchen::N,松鼠,тейен
149,Elch::N,麋鹿,мышы
150,Fuchs::N,狐狸,төлкө
151,Hase::N,兔子,ҡуян
152,Maus::N,老鼠,сысҡан
153,Wolf::N,狼,бүре
154,Vogel::N,鸟,ҡош
155,Schwarm::N,群,көтөү
156,Huhn::N,鸡,тауыҡ
157,Hahn::N,公鸡,әтәс
158,Gans::N,鹅,ҡаҙ
159,Adler::N,鹰,бөркөт
160,Ente::N,鸭,өйрәк
161,Eule::N,猫头鹰,өкө
162,Eule::N,猫头鹰,ябалаҡ
163,Kranich::N,鹤,торна
164,Krähe::N,乌鸦,ҡарға
165,Kuckuck::N,布谷鸟,кәкүк
166,Schwan::N,天鹅,аҡҡош
167,Fisch::N,鱼,балыҡ
168,Barsch::N,鲈鱼,алабуға
169,Hecht::N,狗鱼,суртан
170,Schlange[Tier]::N,蛇,йылан
171,Wurm::N,蠕虫,селяүсен
172,Spinne::N,蜘蛛,үрмәксе
173,Ameise::N,蚂蚁,ҡырмыҫҡа
174,Laus::N,虱子,бет
175,Mücke::N,蚊子,серәкәй
176,Fliege::N,苍蝇,себен
177,Schmetterling::N,蝴蝶,күбәләк
178,Beere::N,将果,еләк
179,Apfel::N,苹果,алма
180,Pilz::N,蘑菇,бәшмәк
181,Zwiebel::N,洋葱,һуган
182,Saat::N,种子,орлоҡ
183,Korn::N,谷粒,иген
184,Heu::N,干草,бесән
185,Schale::N,壳,ҡабыҡ
186,Grube::N,坑,соҡор
187,Falle::N,圈套,тоҙак
188,Falle::N,圈套,ҡапҡан
189,Schlinge::N,活扣,тоҙак
190,Spur::N,踪迹,әҫер
191,Asche::N,灰烬,көл
192,Dreck::N,污垢,батҡаҡ
193,Eisen::N,铁,тимер
194,Gold::N,金子,алтын
195,Silber::N,银,көмөш
196,Kohle::N,煤,күмер
197,Glas::N,玻璃,быяла
198,Lehm::N,粘土,балсыҡ
199,Sand::N,沙,ҡом
200,Mensch::N,人,кеше
201,Mann::N,男子,ир
202,Frau::N,妇女,ҡатын
203,Kind::N,小孩,бала
204,Junge::N,男孩,малай
205,Mädchen::N,女孩,ҡыҙ
206,Mädchen::N,女孩,ҡыҙыҡай
207,Familie::N,家庭,ғаилә
208,Großvater::N,祖父,олатай
209,Großmutter::N,祖母,әбәй
210,Eltern::N,父母,ата-әсә
211,Vater::N,父亲,атай
212,Mutter::N,母亲,әсә
213,Sohn::N,儿子,ул
214,Tochter::N,女儿,ҡыҙ
215,Bruder::N,兄弟,агай
216,Schwester::N,姐妹,алай
217,Schwester::N,姐妹,һеңле
218,Onkel::N,伯父,ағай
219,Tante::N,阿姨,апай
220,Ehemann::N,丈夫,ир
221,Ehefrau::N,妻子,ҡатын
222,Freude::N,愉快,шатлыҡ
223,Freude::N,愉快,ҡыуаныс
224,Gelächter::N,大笑,көлөү
225,Glück::N,运气,бәхет
226,Kummer::N,苦恼,ҡайғы
227,Wunsch::N,愿望,теләк
228,Lust::N,乐趣,әүәҫлек
229,Geist::N,精神,аң
230,Geist::N,精神,рух
231,Gedanke::N,思想,уй
232,Gedanke::N,思想,фекер
233,Gedächtnis::N,记性,хәтер
234,Verstand::N,理智,аҡыл
235,Sinn::N,感觉,мәғәня
236,Grund::N,理由,сәбәп
237,Wahrheit::N,真理,дөрөҫлөк
238,Gespräch::N,谈话,әңгәмә
239,Märchen::N,童话,әкиәт
240,Erzählung::N,故事,хикәйә
241,Nachricht::N,消息,хәбәр
242,Neuigkeit::N,新闻,яңылыҡ
243,Name::N,名字,исем
244,Rätsel::N,谜语,йомаҡ
245,Rede::N,讲话,телмәр
246,Sprache::N,语言,тел
247,Sprache::N,语言,телмәр
248,Stimme::N,声音,тауыш
249,Wort::N,词,һүҙ
250,Zeichen::N,标记,билдә
251,Ruf::N,呼喊,саҡырыу
252,Lärm::N,噪音,шаулау
253,Laut::N,响声,тауыш
254,Ton::N,声音,яңғырау
255,Lied::N,歌曲,йыр
256,Ruhe::N,安静,ял
257,Ruhe::N,安静,тыныслыҡ
258,Leute::N,人们,кешеләр
259,Volk::N,人民,халҡ
260,Arbeit::N,劳动,эш
261,Gast::N,客人,ҡунаҡ
262,Geschenk::N,礼物,бүләк
263,Spiel::N,游戏,уйын
264,Gesellschaft::N,陪同,йәмғиәт
265,Hilfe::N,帮助,ярҙам
266,Freund::N,朋友,дуҫ
267,Kamerad::N,同志,иптәш
268,Angelegenheit::N,事情,әш
269,Anzahl::N,数目,һан
270,Art::N,种类,төр
271,Stück::N,块,киҫәк
272,Teil::N,部分,өлөш
273,Hälfte::N,一半,ярты
274,Kreis::N,圆,түңәрәк
275,Kreuz::N,十字架,тәре
276,Linie::N,线条,һыҙыҡ
277,Strich::N,划,һыҙат
278,Abstand::N,距离,ара
279,Entfernung::N,距离,алыҫлыҡ
280,Gegend::N,地区,урын
281,Platz::N,场所,арауыҡ
282,Ort::N,地点,ерҙәр
283,Ort::N,地点,урындар
284,Ort::N,地点,эш урыны
285,Seite::N,面,яҡ
286,Mitte::N,中间,урталыҡ
287,Gegenstand::N,物品,нәмә
288,Sache::N,物,нәмә
289,Sache::N,物,әйбер
290,Rand::N,边,сит
291,Kante::N,棱,ҡабырға
292,Kante::N,棱,ян
293,Ecke::N,角,мөйөш
294,Spitze::N,尖,ос
295,Ende::N,结尾,аҙаҡ
296,Loch::N,洞,тишек
297,Winkel::N,角度,мөйөш
298,Muster::N,模型,биҙәк
299,Größe::N,大小,ҙурлыҡ
300,Länge::N,长度,оҙонлоҡ
301,Höhe::N,高度,бейеклек
302,Gewicht::N,重量,үлсәү
303,Menge::N,数量,һан
304,Haufen::N,堆,өйөм
305,Reihe::N,行,рәт
306,Boot::N,小船,кәмә
307,Ruder::N,奖,ишкәк
308,Schlitten::N,雪橇,сана
309,Ski::N,雪板,саңгы
310,Lagerfeuer::N,营火,костер
311,Last::N,负担,ауырлыҡ
312,Gang::N,行走,барыу
313,Schritt::N,步伐,аҙым
314,Norden::N,北,төньяҡ
315,Süden::N,南,көньяҡ
316,Westen::N,西,көнбайыш
317,Osten::N,东,көнсығыш
318,Holz::N,木材,үағас
319,Brett::N,木板,таҡта
320,Platte::N,平板,плита
321,Stütze::N,支架,терәк
322,Stange::N,杆,кәртә
323,Stock::N,棒,таяҡ
324,Stab::N,棍,ҡолға
325,Rohr::N,管子,торба
326,Haus::N,房屋,өй
327,Haus::N,房屋,йорт
328,Heim::N,家,өй
329,Ofen::N,炉子,мейес
330,Fußboden::N,地板,енес
331,Tisch::N,桌子,өҫтәл
332,Stuhl::N,椅子,ултырғыс
333,Wiege::N,摇蓝,бишек
334,Bett::N,床,карауат
335,Regal::N,架子,кәштә
336,Kiste::N,箱子,йәшинк
337,Fenster::N,窗户,тәҙрә
338,Tür::N,门,ишек
339,Tor::N,大门,ҡапҡа
340,Zaun::N,篱笆,ҡойма
341,Dach::N,屋顶,түбә
342,Dach::N,屋顶,ҡыйыҡ
343,Leiter::N,梯子,баҫҡыс
344,Besen::N,扫帚,һепертке
345,Spaten::N,铁锹,көрәк
346,Schaufel::N,铁锹,көрәк
347,Gabel::N,叉,сәнске
348,Löffel::N,食匙,ҡалаҡ
349,Messer::N,刀,бысаҡ
350,Nagel::N,钉子,сөй
351,Netz::N,网,ау
352,Haken::N,钩子,ыргаҡ
353,Griff::N,把柄,тотҡа
354,Schloss::N,锁,йоҙаҡ
355,Bild::N,图画,картина
356,Figur::N,人像,һын
357,Puppe::N,娃娃,ҡурсаҡ
358,Beutel::N,袋子,тоҡ
359,Bündel::N,捆,төргәк
360,Tasche::N,手提包,сумка
361,Eimer::N,桶,биҙрә
362,Deckel::N,盖子,ҡапҡас
363,Geschirr::N,餐具,һауыт-һаба
364,Sack::N,袋子,тоҡ
365,Tasse::N,杯子,сынаяҡ
366,Topf::N,锅,кәстрүл
367,Kessel::N,水壶,ҡаҙан
368,Essen::N,进餐,ашау
369,Nahrung::N,食物,аҙыҡ
370,Speise::N,菜肴,аш
371,Fleisch::N,肉,ит
372,Getreide::N,谷物,иген
373,Getreide::N,谷物,ашлыҡ
374,Brei::N,粥,бутҡа
375,Brot::N,面包,икмәк
376,Scheibe::N,片,телем
377,Fett::N,脂肪,май
378,Butter::N,黄油,май
379,Öl::N,油,май буяуы
380,Salz::N,盐,тоҙ
381,Suppe::N,汤,һурпа
382,Honig::N,蜂蜜,бал
383,Milch::N,奶,һөт
384,Tee::N,茶,сәй
385,Leder::N,皮革,күн
386,Wolle::N,毛线,йөн
387,Stoff::N,织物,туҡыма
388,Nadel::N,针,энә
389,Faden::N,线,еп
390,Knopf::N,纽扣,төймә
391,Knoten::N,结,төйөн
392,Farbe::N,颜色,буяу
393,Kleidung::N,衣服,кейем
394,Hemd::N,衬衫,күлдәк
395,Kragen::N,领子,яға
396,Ärmel::N,袖子,ең
397,Hose::N,裤子,салбар
398,Gürtel::N,腰带,ҡайыш
399,Mütze::N,帽子,бүрк
400,Schuh::N,鞋,туфли
401,Stiefel::N,靴子,итек
402,Ring::N,戒指,йөҙөк
403,Ring::N,戒指,балдаҡ
404,Band::N,带子,таҫма
405,Kamm::N,梳子,тараҡ
406,Spiegel::N,镜子,көзгө
407,Riemen::N,皮带,ҡайыш
408,Schnur::N,绳子,бау
409,Leine::N,皮带,бау
410,Decke::N,被子,одеяд
411,Kissen::N,软垫,мендәр
412,Tuch::N,巾,яулыҡ
413,Handtuch::N,手巾,таҫтамал
414,Kraft::N,力,көс
415,Stärke::N,力量,көс
416,Gesundheit::N,健康,һаулыҡ
417,Krankheit::N,病,сир
418,Krankheit::N,病,ауырыу
419,Schmerz::N,痛,һыҙлау
420,Schmerz::N,痛,әрнеү
421,Wunde::N,伤口,йәрәхәт
422,Fieber::N,发烧,тапма
423,Fieber::N,发烧,биҙгәк
424,Arznei::N,药,дарыу
425,Brücke::N,桥,күпер
426,Brunnen::N,井,ҡоҙоҡ
427,Weide::N,牧场,көтөүлек
428,Pfad::N,小路,һуҡмаҡ
429,Weg::N,路,юл
430,Straße::N,街,урам
431,Dorf::N,村庄,ауыл
432,Stadt::N,城市,ҡала
433,Brief::N,信,хат
434,Buch::N,书,китап
435,Buch::N,书,кенәгә
436,Buchstabe::N,字母,хәреф
437,Zeitung::N,报纸,гәзит
438,Leben::N,生命,йәшәү
439,Tod::N,死亡,үлем
440,Grab::N,坟墓,ҡәбер
441,Kirche::N,教堂,сиркәү
442,Sünde::N,罪,гөнаһ
443,Gott::N,上帝,алла
444,Gott::N,上帝,хоҙай
445,Arbeiter::N,工人,эшсе
446,Chef::N,上司,башлыҡ
447,Meister::N,师傅,оҫта
448,Arzt::N,医生,врач
449,Lehrer::N,教师,уҡытыусы
450,Geld::N,钱,аҡса
451,Geschäft::N,交易,эш
452,Laden::N,商店,магазин
453,Preis::N,价格,хаҡ
454,Ware::N,商品,тауар
455,Nutzen::N,好处,файҙа
456,Reichtum::N,财富,байлыҡ
457,Welt::N,世界,донъя
458,Land::N,国家,ил
459,Staat::N,国家,дәүләт
460,König::N,国王,король
461,Macht::N,权力,власть
462,Grenze::N,边界,сик
463,Krieg::N,战争,һуғыш
464,Feind::N,敌人,йылан
465,Gewalt::N,暴力,көслөк
466,Kampf::N,战斗,көрәш
467,Bogen[Waffe]::N,弓,йәйә
468,Pfeil::N,箭,уҡ
469,Gewehr::N,枪,мылтыҡ
470,Fehler::N,错误,хата
471,Lüge::N,谎话,ялған
472,Schaden::N,损失,зыян
473,Schaden::N,损失,зарар
474,Unglück::N,不幸,ҡаза
475,Schuld::N,过错,ғәйеп
476,Alter::N,年龄,йәш
477,Schluss::N,结束,һуң
478,Schluss::N,结束,аҙаҡ
479,Zeit::N,时间,мәл
480,Zeit::N,时间,заман
481,Tag::N,天,көн
482,Morgen::N,早晨,иртә
483,Morgen::N,早晨,иртәнсәк
484,Mittag::N,中午,төш
485,Abend::N,晚上,кис
486,Nacht::N,夜,төн
487,Woche::N,星期,аҙна
488,Monat::N,月,ай
489,Jahr::N,年,йыл
490,Frühling::N,春天,яҙ
491,Sommer::N,夏天,йәй
492,Herbst::N,秋天,көз
493,Winter::N,冬天,ҡыш
494,Januar::N,一月,ғинуар
495,Februar::N,二月,февраль
496,März::N,三月,март
497,April::N,四月,апрель
498,Mai::N,五月,май
499,Juni::N,六月,июнь
500,Juli::N,七月,июль
501,August::N,八月,август
502,September::N,九月,сентябрь
503,Oktober::N,十月,октябрь
504,November::N,十一月,ноябрь
505,Dezember::N,十二月,декабрь
506,Montag::N,星期一,дүшәмбе
507,Dienstag::N,星期二,шишәмбе
508,Mittwoch::N,星期三,шаршамбы
509,Donnerstag::N,星期四,кесаҙна
510,Freitag::N,星期五,йома
511,Samstag::N,星期六,шәмбе
512,Sonntag::N,星期日,йәкшәмбе
513,groß::A,大,ҙур
514,klein::A,小,бәләкәс
515,lang::A,长,оҙон
516,kurz::A,短,ҡыҫҡа
517,breit::A,宽,киң
518,schmal::A,细长的,тар
519,dicht::A,密,йыш
520,dicht::A,密,ҡуйы
521,dick[Gegenstand]::A,厚,ҡалын
522,dünn::A,薄,йоҡа
523,dünn::A,薄,нәҙек
524,fein::A,细小,нескә
525,fest::A,固体,ныҡ
526,flach::A,平坦,яҫы
527,flach::A,平坦,ялпаҡ
528,glatt::A,光滑,шыма
529,hart::A,硬,ҡаты
530,weich::A,软,йомшаҡ
531,rund::A,圆,түңәрәк
532,spitz::A,尖,осло түбәле
533,scharf::A,锋利,үткер
534,stumpf::A,钝,утмәҫ
535,schwer::A,重,ауыр
536,schön::A,美丽,матур
537,heiß::A,烫,эҫе
538,warm::A,暖和,йылы
539,kalt::A,冷,һыуыҡ
540,kühl::A,凉,һалҡынса
541,frisch::A,新鲜,һалҡынса
542,feucht::A,潮湿,еүеш
543,feucht::A,潮湿,дымлы
544,nass::A,湿,еүеш
545,trocken::A,干,кипкән
546,voll::A,满,тулы
547,leer::A,空,буш
548,offen::A,敞开,асыҡ
549,geschlossen::A,关闭,ябыҡ
550,sauber::A,干净,таҙа
551,schmutzig::A,肮脏,бысраҡ
552,roh::A,生,сей
553,reif::A,成熟,өлгөрғән
554,lecker::A,好吃,тәмле
555,süß::A,甜,тямле
556,süß::A,甜,тәм-том
557,bitter::A,苦,әсе
558,sauer::A,酸,әсе
559,hell::A,亮,яҡты
560,dunkel::A,阴暗,ҡараңғы
561,schwarz::A,黑,ҡара
562,weiß::A,白,аҡ
563,rot::A,红,матур
564,rot::A,红,һылыу
565,rot::A,红,сибәр
566,gelb::A,黄,һары
567,blau::A,蓝,күк
568,grün::A,绿,йәшел
569,grau::A,灰色,буҙ
570,bunt::A,五彩,сыбар
571,bunt::A,五彩,ала-ҡола
572,billig::A,便宜,арзан
573,teuer::A,贵,ҡыйбатлы
574,wertvoll::A,贵重,ҡиммәтле
575,blind::A,瞎,һуҡыр
576,taub::A,聋,һаңғырау
577,kräftig::A,强壮,көслө
578,kräftig::A,强壮,ҡеүәтле
579,stark::A,强壮,көслө
580,stark::A,强壮,ҡеүәтле
581,schwach::A,弱,көсһөҙ
582,fett::A,胖,һимеҙ
583,schlank::A,苗条,зифа
584,hübsch::A,漂亮,матур
585,böse::A,邪恶,асыулы
586,dumm::A,笨,иҫәр
587,faul::A,懒惰,иренсәк
588,fleißig::A,勤奋,тырыш
589,geizig::A,吝啬,һаран
590,klug::A,聪明,аҡыллы
591,geschickt::A,灵巧,оҫта
592,lieb::A,可爱,яғымлы
593,lustig::A,快乐,күңелле
594,sanft::A,柔和,йыуаш
595,hungrig::A,饥饿,ас
596,krank::A,患病,сирле
597,krank::A,患病,ауырыу
598,nackt::A,裸体,яланғас
599,traurig::A,悲哀,яманһыу
600,lebendig::A,活,тере
601,lebendig::A,活,йәнле
602,gut::A,好,яҡшы
603,schlecht::A,坏,хөрт
604,schlecht::A,坏,алама
605,richtig::A,正确,дөрөҫ
606,schlimm::A,糟糕,хөрт
607,schlimm::A,糟糕,алама
608,wahr::A,真,дөрөҫ
609,alt::A,旧,иҫке
610,alt::A,旧,боронғо
611,neu::A,新,яңы
612,ehemalig::A,以前,элекке
613,alt[Lebewesen]::A,老,ҡарт
614,jung::A,年轻,йәш
615,arm::A,贫穷,фәҡир
616,reich::A,富裕,бай
617,bekannt::A,出名,таныш
618,berühmt::A,著名,атаҡлы
619,berühmt::A,著名,данлыҡлы
620,fremd::A,陌生,ят
621,fremd::A,陌生,сит
622,verschieden::A,不同,төрлө
623,nah::A,近,яҡын
624,fern::A,遥远,алыҫ
625,fern::A,遥远,йыраҡ
626,linker::A,左,һул
627,rechter::A,右,уң
628,anderer::A,别的,бутән
629,erster::A,第一,тәүге
630,zweiter::A,第二,икенсе
631,dritter::A,第三,өсөнсө
632,letzter::A,最后,һуңғы
633,allein::ADV,单独,бер үҙе
634,allein::ADV,单独,яңғыҙ
635,auf einmal::ADV,同时,бер юлы
636,zusammen::ADV,一起,бергә
637,lange::ADV,许久,оҙаҡ
638,plötzlich::ADV,忽然,ҡапыл
639,sofort::ADV,立刻,шунда уҡ
640,später::ADV,以后,һуңыраҡ
641,jetzt::ADV,现在,хәҙер
642,heute::ADV,今天,бөгөн
643,morgen::ADV,明天,иртәгә
644,bald::ADV,即将,тиҙҙән
645,dann::ADV,然后,һуңынан
646,gestern::ADV,昨天,кисә
647,einst::ADV,曾经,ҡасандыр
648,einst::ADV,曾经,бер баҡыт
649,damals::ADV,当时,ул саҡта
650,danach::ADV,随后,һуңынан
651,vorher::ADV,事先,элек
652,zuerst::ADV,首先,башта
653,einmal::ADV,一次,бер
654,manchmal::ADV,有时,ҡайһы берҙә
655,oft::ADV,时常,йыш
656,immer::ADV,总是,һәр ҡасан
657,niemals::ADV,从未,бер ҡасан да
658,niemals::ADV,从未,бер ваҡытта ла
659,hier::ADV,这里,бында
660,hierhin::ADV,到这里,бында
661,von hier::ADV,由此,бынан
662,von hier::ADV,由此,ошонан
663,dort::ADV,那里,шунда
664,dort::ADV,那里,тегендә
665,dorthin::ADV,到那里,шунда
666,dorthin::ADV,到那里,тегеләй
667,geradeaus::ADV,一直往前,тура
668,vorwärts::ADV,向前,алға
669,rückwärts::ADV,向后,кирегә
670,zurück::ADV,退后,кирегә
671,unten::ADV,下面,түбәндә
672,hinab::ADV,向下,түбәнгә
673,oben::ADV,上面,юғарыла
674,hinauf::ADV,向上,юғарыға
675,überall::ADV,到处,бөтә урында
676,nicht::ADV,不,тугел
677,ein wenig::ADV,一点儿,аҙ
678,kaum::ADV,几乎不,көскә
679,kaum::ADV,几乎不,саҡ-саҡ
680,sehr::ADV,很,ифат
681,so::ADV,如此,шулай
682,noch::ADV,还,йәнә
683,nur::ADV,只,бары
684,schon::ADV,已经,инде
685,wieder::ADV,又,тағы
686,vor::PRP,在...面前,алдында
687,hinter::PRP,在...背后,артында
688,unter::PRP,在...下面,аҫтында
689,durch::PRP,穿过,үтә
690,neben::PRP,在...旁,эргәһендә
691,zwischen::PRP,在...之间,араһында
692,wegen::PRP,由于,өсөн
693,wegen::PRP,由于,сәбәпле
694,dies::PRN,这,был
695,dies::PRN,这,ошо
696,das::PRN,那,ул
697,alles::PRN,一切,бөтә
698,ich::PRN,我,мин
699,du::PRN,你,һин
700,er::PRN,他,ул
701,wir::PRN,我们,беҙ
702,ihr::PRN,你们,һеҙ
703,sie::PRN,她,улар
704,was::FPRN,什么,ә
705,was::FPRN,什么,ни
706,was::FPRN,什么,нәмә
707,wer::FPRN,谁,ҡем
708,wo::FADV,哪里,ҡайҙа
709,wohin::FADV,去哪里,ҡайҙа
710,wie::FADV,怎么,инидәй
711,warum::FADV,为什么,ин өсөн
712,wieviel::FNUM,多少,күпме
713,eins::NUM,一,бер
714,zwei::NUM,二,ике
715,zwei::NUM,二,икәү
716,drei::NUM,三,өс
717,vier::NUM,四,дүрт
718,fünf::NUM,五,биш
719,sechs::NUM,六,алты
720,sieben::NUM,七,ете
721,acht::NUM,八,һигеҙ
722,neun::NUM,九,туғыҙ
723,zehn::NUM,十,ун
724,elf::NUM,十一,ун бер
725,zwölf::NUM,十二,ун ике
726,zwanzig::NUM,二十,егерме
727,dreißig::NUM,三十,утыҙ
728,vierzig::NUM,四十,ҡырҡ
729,fünfzig::NUM,五十,илле
730,sechzig::NUM,六十,алтмыш
731,siebzig::NUM,七十,етмеш
732,achtzig::NUM,八十,һикһән
733,neunzig::NUM,九十,туҡһан
734,hundert::NUM,百,йөҙ
735,tausend::NUM,千,мең
736,und::CNJ,和,да
737,oder::CNJ,或者,йәки
738,stehen::V,站,тороу
739,sitzen::V,坐,ултырыу
740,liegen::V,躺着,ятыу
741,hängen::V,挂着,аҫылынып тороу
742,werden::V,成为,булыу
743,passieren::V,发生,булыу
744,beginnen::V,开始,башлау
745,enden::V,终止,бөтөү
746,enden::V,终止,тамамланыү
747,wechseln::V,变迁,үҙгәреү
748,aufgehen[Sonne]::V,升起,ҡалҡыу
749,untergehen[Sonne]::V,下落,байыу
750,scheinen[Sonne]::V,照射,яҡтыртып тороу
751,donnern::V,打雷,күкрәү
752,wehen::V,飘扬,иҫеү
753,strömen::V,流,ташыу
754,fließen::V,流动,ағыу
755,sich drehen::V,转动,әйләнеү
756,schwanken::V,摇摆,тирбәлеү
757,schwingen::V,摇,бәүетеү
758,fallen::V,坠落,йығылыу
759,brennen::V,燃烧,яныу
760,rauchen::V,冒烟,төтәү
761,regnen::V,下雨,ямғыр яуа
762,gefrieren::V,结冰,туңыү
763,tauen::V,融化,иреү
764,schmelzen::V,溶化,иреү
765,trocknen::V,变干,кибеү
766,sieden::V,煮,ҡайнау
767,faulen::V,腐烂,сереу
768,verfaulen::V,腐烂,сереу
769,reißen::V,撕,өҙөү
770,reißen::V,撕,йыртылыу
771,versinken::V,下沉,батыу
772,vergehen::V,流逝,үтеү
773,erscheinen::V,出现,килеп сығыу
774,verschwinden::V,消失,юғалыу
775,sinken::V,下降,түбәнәйеү
776,abnehmen::V,减少,кәметеү
777,zunehmen::V,增加,артыу
778,steigen::V,上升,күтәрелеү
779,wachsen::V,生长,үҫеү
780,glänzen::V,发光,ялтырау
781,funkeln::V,闪烁,баҙлау
782,lärmen::V,吵闹,шаулау
783,läuten::V,响,ҡағыу
784,klingeln::V,按铃,ҡағыу
785,klingeln::V,按铃,шылтыратыу
786,brausen::V,疾驶,ҡотороноу
787,klingen::V,听起来,яңғырау
788,bellen::V,吠,өрөү
789,heulen::V,嗥,олоу
790,blasen::V,吹,өрөү
791,pfeifen::V,吹口哨,һызғырып ебәреү
