,Concept_ID,fi,te
86,Eis::N,jää,మంచుగడ్డ
87,Frost::N,halla,పేరిన మంచు
88,Frost::N,pakkanen,పేరిన మంచు
89,Kälte::N,vilu,చలి
90,Kälte::N,kylmyys,చలి
91,Hitze::N,helle,వేడిమి
92,Hitze::N,kuumuus,వేడిమి
93,Raureif::N,huurre,మంచు
94,Regenbogen::N,sateenkaari,ఇంద్రధనుస్సు
95,Donner::N,jyrinä,ఉరుము
96,Strömung::N,virtaus,ప్రవాహము
97,Tropfen::N,tippa,చుక్క
98,Tropfen::N,pisara,చుక్క
99,Schaum::N,vaahto,నురుగు
100,Schmutz::N,loka,మైల
101,See::N,järvi,సరస్సు
102,Sumpf::N,suo,చిత్తడినేల
103,Moor::N,räme,చిత్తడినేల
104,Wiese::N,niitty,పచ్చిక బయలు
105,Wald::N,metsä,అడవి
106,Hügel::N,mäki,చివ్నకొండ
107,Hügel::N,kumpu,చివ్నకొండ
108,Hügel::N,kukkula,చివ్నకొండ
109,Anhöhe::N,mäki,కొండ
110,Anhöhe::N,kumpare,కొండ
111,Berg::N,mäki,పర్వతము
112,Berg::N,vuori,పర్వతము
113,Gipfel::N,laki,శిఖరము
114,Gipfel::N,huippu,శిఖరము
115,Höhle::N,luola,గుహ
116,Abhang::N,rinne,ఏటవాలు
117,Quelle::N,lähde,మూలము
118,Bach::N,puro,కాలువ
119,Fluss::N,joki,నది
120,Ufer::N,ranta,తీరము
121,Küste::N,rannikko,తీరము
122,Festland::N,manner,భూమి
123,Meer::N,meri,సముద్రము
124,Bucht::N,lahti,మరుగు
125,Insel::N,saari,దీవి
126,Blume::N,kukka,పుష్పము
127,Gras::N,ruoho,పచ్చగడ్డి
128,Wurzel::N,juuri,వేరు
129,Baum::N,puu,చెట్టు
130,Stamm::N,runko,చెట్టుబోదె
131,Rinde::N,kuori,చెట్టుపట్ట
132,Rinde::N,parkki,చెట్టుపట్ట
133,Ast::N,oksa,కొమ్మ
134,Zweig::N,haara,చివుకు
135,Blatt::N,lehti,ఆకు
136,Birke::N,koivu,తరహా చెట్టు
137,Kiefer[Baum]::N,mänty,దేవదారు చెట్టు
138,Kiefer[Baum]::N,petäjä,దేవదారు చెట్టు
139,Weide[Baum]::N,paju,జాతిచెట్టు
140,Tanne::N,kuusi,దేవదారుచెట్టు
141,Horn::N,sarvi,కొమ్ము
142,Feder::N,sulka,ఈక
143,Feder::N,höyhen,ఈక
144,Fell::N,talja,తోలు
145,Flügel::N,siipi,ఱెక్క
146,Klaue::N,kynsi,వంకరగోరు
147,Kralle::N,kynsi,వంకరగోరు
148,Schwanz::N,häntä,తోక
149,Schwanz::N,pyrstö,తోక
150,Ei::N,muna,గ్రుడ్డు
151,Nest::N,pesä,పక్షిగూడు
152,Bau::N,pesä,గుహ
153,Tier::N,eläin,జంతువు
154,Herde::N,lauma,మంద
155,Kuh::N,lehmä,ఆవు
156,Bulle::N,sonni,గిత్త
157,Pferd::N,hevonen,గుఱ్ఱము
158,Schaf::N,lammas,గొఱ్ఱె
159,Schwein::N,sika,పంది
160,Hund::N,koira,కుక్క
161,Katze::N,kissa,పిల్లి
162,Bär::N,karhu,ఎలుగుబంటి
163,Eichhörnchen::N,orava,ఉడుత
164,Elch::N,hirvi,కణంజు
165,Fuchs::N,kettu,గుంటనక్క
166,Hase::N,jänis,కుందేలు
167,Maus::N,hiiri,చిట్టెలుక
168,Wolf::N,susi,తోడేలు
169,Vogel::N,lintu,పక్షి
170,Schwarm::N,parvi,గుంపు
171,Huhn::N,kana,కోడిపిల్ల
172,Hahn::N,kukko,కోడివుంజు
173,Gans::N,hanhi,ఆడుబాతు
174,Adler::N,kotka,గ్రద్ద
175,Ente::N,ankka,పాట్టిబాతు
176,Eule::N,pöllö,గ్రుడ్లగూబ
177,Kranich::N,kurki,కొంగ
178,Krähe::N,varis,కాకి
179,Kuckuck::N,käki,కోయల
180,Schwan::N,joutsen,హంస
181,Fisch::N,kala,చేప
182,Barsch::N,ahven,ఒకచేఁప
183,Hecht::N,hauki,గండుమీను
184,Schlange[Tier]::N,käärme,పాము
185,Wurm::N,mato,పురుగు
186,Spinne::N,hämähäkki,సాలె పురుగు
187,Ameise::N,muurahainen,చీమ
188,Laus::N,täi,పేను
189,Mücke::N,sääski,చీకటీగ
190,Mücke::N,hyttynen,చీకటీగ
191,Fliege::N,kärpänen,ఈగ
192,Schmetterling::N,perhonen,సీతాకోకచిలుక
193,Beere::N,marja,కాయ
194,Apfel::N,omena,ఆపిల్ పండు
195,Pilz::N,sieni,కుక్కగొడుగు
196,Zwiebel::N,sipuli,నీరుల్లి
197,Saat::N,siemenet,విత్తనము
198,Korn::N,jyvä,గింజ
199,Korn::N,vilja,గింజ
200,Heu::N,heinä,ఎండుగడ్డి
201,Schale::N,kuori,పొట్టు
202,Grube::N,kuoppa,గొయ్యి
203,Falle::N,loukku,బోను
204,Schlinge::N,ansa,ఉరి
205,Spur::N,jälki,జాడ
206,Asche::N,tuhka,బూడిద
207,Dreck::N,lika,ముఱికి
208,Eisen::N,rauta,ఇనుము
209,Gold::N,kulta,బంగారము
210,Silber::N,hopea,వెండి
211,Kohle::N,hiili,నేలబొగ్గు
212,Glas::N,lasi,గాజు
213,Lehm::N,savi,బంకమన్ను
214,Sand::N,hiekka,ఇసుక
215,Mensch::N,ihminen,నరుడు
216,Mann::N,mies,పురుమడు
217,Frau::N,nainen,ఆడుది
218,Kind::N,lapsi,బిడ్డ
219,Junge::N,poika,బాలుడు
220,Mädchen::N,tyttö,బాలిక
221,Familie::N,perhe,కుటుంబము
222,Großvater::N,isoisä,తాత
223,Großmutter::N,isoäiti,అయ్యమ్మ
224,Eltern::N,vanhemmat,తల్లితండ్రులు
225,Vater::N,isä,తండ్రి
226,Mutter::N,äiti,తల్లి
227,Sohn::N,poika,కొడుకు
228,Tochter::N,tytär,కూతురు
229,Bruder::N,veli,పోదరుడు
230,Schwester::N,sisko,సోదరి
231,Onkel::N,eno,మేనమామ
232,Onkel::N,setä,మేనమామ
233,Tante::N,täti,మేనత్త
234,Tante::N,täti,పినతల్లి
235,Ehemann::N,mies,భర్త
236,Ehemann::N,aviomies,భర్త
237,Ehefrau::N,vaimo,భార్య
238,Ehefrau::N,aviovaimo,భార్య
239,Freude::N,ilo,సంతోషము
240,Freude::N,riemu,సంతోషము
241,Gelächter::N,nauru,నవ్వు
242,Glück::N,onni,సంతోషము
243,Kummer::N,suru,దుఃఖము
244,Kummer::N,murhe,దుఃఖము
245,Wunsch::N,toive,కోరిక
246,Wunsch::N,toivomus,కోరిక
247,Lust::N,himo,కోరిక
248,Geist::N,henki,ఆత్మ
249,Gedanke::N,aate,ఆలోచన
250,Gedanke::N,ajatus,ఆలోచన
251,Gedächtnis::N,muisti,జ్ఞాపకము
252,Verstand::N,äly,మనస్సు
253,Verstand::N,järki,మనస్సు
254,Verstand::N,ymmärrys,మనస్సు
255,Sinn::N,merkitys,అర్థము
256,Grund::N,syy,కారణము
257,Grund::N,peruste,కారణము
258,Wahrheit::N,tosi,సత్యము
259,Wahrheit::N,totuus,సత్యము
260,Gespräch::N,puhelu,పంభాషణ
261,Gespräch::N,keskustelu,పంభాషణ
262,Märchen::N,satu,అద్భుతకథ
263,Erzählung::N,tarina,కథ
264,Erzählung::N,kertomus,కథ
265,Nachricht::N,tieto,వార్త
266,Nachricht::N,ilmoitus,వార్త
267,Neuigkeit::N,uutinen,వార్త
268,Name::N,nimi,పేరు
269,Rätsel::N,arvoitus,చిక్కు
270,Rede::N,puhe,ఉపన్యాసము
271,Sprache::N,kieli,భాష
272,Stimme::N,ääni,కంరథ్సని
273,Wort::N,sana,మాట
274,Zeichen::N,merkki,గుర్తు
275,Ruf::N,kutsu,పిలువు
276,Lärm::N,melu,సందడి
277,Lärm::N,hälinä,సందడి
278,Laut::N,ääni,ధ్వని
279,Ton::N,sävel,స్వరము
280,Lied::N,laulu,పాట
281,Ruhe::N,lepo,గాలిలేమి
282,Ruhe::N,rauha,గాలిలేమి
283,Leute::N,väki,జనులు
284,Leute::N,ihmiset,జనులు
285,Volk::N,kansa,జాతి
286,Arbeit::N,työ,పని
287,Gast::N,vieras,అతిధి
288,Geschenk::N,lahja,దానము
289,Spiel::N,peli,ఆట
290,Spiel::N,leikki,ఆట
291,Gesellschaft::N,seura,జట్టు
292,Hilfe::N,apu,సాహాయ్యము
293,Freund::N,ystävä,స్నేహితుడు
294,Kamerad::N,toveri,చెలికాడు
295,Angelegenheit::N,asia,విషయము
296,Anzahl::N,lukumäärä,లెక్క
297,Art::N,laji,జాతి
298,Stück::N,pala,తునుక
299,Stück::N,kappale,తునుక
300,Teil::N,osa,భాగము
301,Hälfte::N,puoli,సగము
302,Kreis::N,ympyrä,వృత్తము
303,Kreuz::N,risti,సిలువ
304,Linie::N,viiva,గీత
305,Strich::N,piirto,గీత
306,Abstand::N,väli,సందు
307,Abstand::N,väljyys,సందు
308,Entfernung::N,etäisyys,దూరము
309,Gegend::N,seutu,విస్తీర్ణము
310,Platz::N,tila,ఎడము
311,Ort::N,kohta,స్థలము
312,Ort::N,paikka,స్థలము
313,Seite::N,sivu,ప్రక్క
314,Seite::N,kylki,ప్రక్క
315,Mitte::N,keskus,నడిమి
316,Mitte::N,puoliväli,నడిమి
317,Gegenstand::N,kalu,పద్దు
318,Gegenstand::N,esine,పద్దు
319,Sache::N,asia,వస్తువు
320,Rand::N,ääri,అంచు
321,Rand::N,syrjä,అంచు
322,Kante::N,särmä,అంచు
323,Ecke::N,nurkka,మూల
324,Spitze::N,terä,మొన
325,Spitze::N,kärki,మొన
326,Ende::N,pää,కొన
327,Ende::N,perä,కొన
328,Loch::N,kolo,రంధ్రము
329,Loch::N,reikä,రంధ్రము
330,Winkel::N,kulma,కోణము
331,Muster::N,kuvio,మాదిరి
332,Größe::N,koko,పరిమాణము
333,Größe::N,suuruus,పరిమాణము
334,Länge::N,pituus,పొడుగు
335,Höhe::N,korkeus,పొడుగు
336,Gewicht::N,paino,భారము
337,Menge::N,määrä,మొత్తము
338,Haufen::N,kasa,రాశి
339,Reihe::N,rivi,వరుస
340,Boot::N,vene,పడవ
341,Ruder::N,airo,అడక
342,Schlitten::N,reki,సరవండ్లు
343,Schlitten::N,kelkka,సరవండ్లు
344,Ski::N,suksi,స్కీ
345,Lagerfeuer::N,nuotio,నెగడు
346,Last::N,kuorma,బరువు
347,Gang::N,kulku,నడక
348,Gang::N,käynti,నడక
349,Schritt::N,askel,అడుగు
350,Norden::N,pohjoinen,ఉత్తరదిక్కు
351,Süden::N,etelä,దక్షిణము
352,Westen::N,länsi,పడమర
353,Osten::N,itä,తూర్పు
354,Holz::N,puu,కొయ్య
355,Brett::N,lauta,పలక
356,Platte::N,levy,పలక
357,Stütze::N,noja,వాల్సేడ్లు
358,Stange::N,tanko,స్తంభము
359,Stock::N,keppi,కఱ్ఱ
360,Stab::N,sauva,కఱ్ఱ
361,Stab::N,seiväs,కఱ్ఱ
362,Rohr::N,putki,గొట్టము
363,Haus::N,talo,ఇల్లు
364,Heim::N,koti,స్వగృహము
365,Ofen::N,uuni,పొయ్యి
366,Fußboden::N,lattia,నేల
367,Tisch::N,pöytä,మేజా
368,Stuhl::N,tuoli,కుర్చీ
369,Wiege::N,kehto,ఉయ్యాల
370,Bett::N,sänky,పడక
371,Bett::N,sänky,మంచం
372,Regal::N,hylly,అటక
373,Kiste::N,arkku,వెట్టె
374,Kiste::N,kirstu,వెట్టె
375,Kiste::N,laatikko,వెట్టె
376,Fenster::N,ikkuna,కిటికి
377,Tür::N,ovi,ద్వారము
378,Tor::N,portti,ద్వారము
379,Zaun::N,aita,కంచె
380,Dach::N,katto,ఇంటివైకప్పు
381,Leiter::N,tikkaat,నిచ్చెన
382,Leiter::N,tikapuut,నిచ్చెన
383,Besen::N,luuta,చీపురుకట్ట
384,Spaten::N,lapio,పాఱ
385,Schaufel::N,lapio,పాఱ
386,Gabel::N,haarukka,ముండ్లగరిటె
387,Löffel::N,lusikka,గరిటె
388,Messer::N,veitsi,కత్తి
389,Nagel::N,naula,మేకు
390,Netz::N,verkko,వల
391,Haken::N,haka,కొక్కెము
392,Haken::N,koukku,కొక్కెము
393,Griff::N,ripa,పిడి
394,Griff::N,kahva,పిడి
395,Schloss::N,lukko,తాళము
396,Bild::N,kuva,చిత్రము
397,Figur::N,kuvio,రూపము
398,Puppe::N,nukke,బొమ్మ
399,Beutel::N,pussi,సంచి
400,Bündel::N,nippu,మూట
401,Bündel::N,kimppu,మూట
402,Tasche::N,laukku,సంచి
403,Eimer::N,sanko,చేద
404,Eimer::N,ämpäri,చేద
405,Deckel::N,kansi,మూత
406,Geschirr::N,astia,వంటకాలు
407,Sack::N,säkki,గోనెసంచి
408,Tasse::N,kuppi,గిన్నె
409,Topf::N,pata,కుండ
410,Kessel::N,kattila,నీరుకాచుపాత్ర
411,Essen::N,syönti,ఆహారము
412,Nahrung::N,ruoka,ఆహారము
413,Nahrung::N,ravinto,ఆహారము
414,Speise::N,ruoka,ఆహారము
415,Fleisch::N,liha,మాంసము
416,Getreide::N,vilja,ధాన్యము
417,Brei::N,puuro,గుజ్జు
418,Brot::N,leipä,రొట్టె
419,Scheibe::N,viipale,బద్ద
420,Fett::N,rasva,క్రొవ్వు
421,Butter::N,voi,వెన్న
422,Öl::N,öljy,నూనె
423,Salz::N,suola,ఉప్పు
424,Suppe::N,keitto,చారు
425,Honig::N,hunaja,తెనె
426,Milch::N,maito,పాలు
427,Tee::N,tee,తేనీరు
428,Leder::N,nahka,బాగుచేసివతోలు
429,Wolle::N,villa,ఉన్ని
430,Stoff::N,kangas,బట్ట
431,Nadel::N,neula,సూది
432,Faden::N,lanka,దారము
433,Knopf::N,nappi,బొత్తాము
434,Knoten::N,solmu,ముడి
435,Farbe::N,maali,రంగు
436,Kleidung::N,vaatteet,బట్టలు
437,Hemd::N,paita,చొక్కాయ
438,Kragen::N,kaulus,మాల
439,Ärmel::N,hiha,చొక్కాయచెయ్యి
440,Hose::N,housut,ఇజారు
441,Gürtel::N,vyö,పటకా
442,Mütze::N,lakki,టోపి
443,Schuh::N,kenkä,పాదరక్ష
444,Stiefel::N,saapas,బూటు
445,Ring::N,sormus,ఉంగరము
446,Band::N,nauha,నాడా
447,Kamm::N,kampa,దువ్వెన
448,Spiegel::N,peili,అద్దము
449,Riemen::N,hihna,వాడా
450,Schnur::N,naru,దారము
451,Schnur::N,nuora,దారము
452,Leine::N,talutushihna,వారు
453,Decke::N,peite,కంబళి
454,Kissen::N,tyyny,తలగడ
455,Kissen::N,pielus,తలగడ
456,Tuch::N,huivi,బట్ట
457,Handtuch::N,pyyheliina,తువాలు
458,Kraft::N,väki,బలము
459,Kraft::N,voima,బలము
460,Stärke::N,vahvuus,శక్తి
461,Gesundheit::N,terveys,ఆరోగ్యము
462,Krankheit::N,tauti,రోగము
463,Krankheit::N,sairaus,రోగము
464,Schmerz::N,kipu,నొప్పి
465,Schmerz::N,särky,నొప్పి
466,Wunde::N,haava,గాయము
467,Fieber::N,kuume,జ్వరము
468,Arznei::N,lääke,మందు
469,Brücke::N,silta,వంతెన
470,Brunnen::N,kaivo,బావి
471,Brunnen::N,kaivo,కూపము
472,Brunnen::N,kaivo,నుయ్యి
473,Weide::N,laidun,పచ్చికబయలు
474,Pfad::N,polku,కాలిత్రోవ
475,Weg::N,tie,మార్గము
476,Straße::N,katu,బాట
477,Dorf::N,kylä,గ్రామము
478,Stadt::N,kaupunki,పట్టణము
479,Brief::N,kirje,జాబు
480,Buch::N,kirja,పుస్తకము
481,Buchstabe::N,kirjain,అక్షరము
482,Zeitung::N,lehti,వార్తాపత్రిక
483,Zeitung::N,sanomalehti,వార్తాపత్రిక
484,Leben::N,elo,ప్రాణము
485,Leben::N,elämä,ప్రాణము
486,Tod::N,kuolema,మరణము
487,Grab::N,hauta,సమాధి
488,Kirche::N,kirkko,క్రెస్తవులగుడి
489,Sünde::N,synti,పాపము
490,Gott::N,jumala,దేవుడు
491,Arbeiter::N,työläinen,పనిపాటుచేశేవాడు
492,Chef::N,päällikkö,యజమానుడు
493,Meister::N,mestari,కళాకారుడు
494,Arzt::N,lääkäri,వైద్యుడు
495,Lehrer::N,opettaja,ఉపాధ్యాయుడు
496,Geld::N,raha,ద్రవ్యము
497,Geschäft::N,liike,వ్యాపారము
498,Laden::N,puoti,అంగడి
499,Laden::N,kauppa,అంగడి
500,Preis::N,hinta,వెల
501,Ware::N,tavara,సరకులు
502,Nutzen::N,hyöty,ప్రయోజనము
503,Reichtum::N,rikkaus,ధనము
504,Welt::N,maailma,ప్రపంచము
505,Land::N,maa,దేశము
506,Staat::N,valtio,రాజ్యము
507,König::N,kuningas,రాజు
508,Macht::N,mahti,అధికారము
509,Grenze::N,raja,సరిహద్దు
510,Krieg::N,sota,యుద్ధము
511,Feind::N,vihollinen,శత్రువు
512,Gewalt::N,väkivalta,దౌర్జన్యము
513,Kampf::N,taistelu,పోట్లాట
514,Bogen[Waffe]::N,jousi,విల్లు
515,Pfeil::N,nuoli,బాణము
516,Gewehr::N,kivääri,తుపాకి
517,Fehler::N,vika,తప్ప
518,Fehler::N,virhe,తప్ప
519,Lüge::N,valhe,అసత్యము
520,Schaden::N,vaurio,నష్టము
521,Schaden::N,vahinko,నష్టము
522,Unglück::N,vahinko,దురదృష్టము
523,Unglück::N,onnettomuus,దురదృష్టము
524,Schuld::N,syy,తప్పు
525,Alter::N,ikä,వయస్సు
526,Schluss::N,loppu,ముగింపు
527,Zeit::N,aika,కాలము
528,Tag::N,päivä,దినము
529,Morgen::N,aamu,ఉదయము
530,Morgen::N,huomen,ఉదయము
531,Mittag::N,keskipäivä,మధ్యాహ్నము
532,Abend::N,ilta,సాయంకాలము
533,Nacht::N,yö,రత్రి
534,Woche::N,viikko,వారము
535,Monat::N,kuukausi,నెల
536,Jahr::N,vuosi,సంవత్సరము
537,Frühling::N,kevät,వసంతకాలము
538,Sommer::N,kesä,వేసవికాము
539,Herbst::N,syksy,ఆకురాలుకాలము
540,Winter::N,talvi,శీతకాలము
541,Januar::N,tammikuu,జనవరి
542,Februar::N,helmikuu,ఫిబ్రవరి
543,März::N,maaliskuu,మార్చి
544,April::N,huhtikuu,ఏప్రిలు
545,Mai::N,toukokuu,మే
546,Juni::N,kesäkuu,జూన్
547,Juli::N,heinäkuu,జూలై
548,August::N,elokuu,ఆగస్టు
549,September::N,syyskuu,సెప్ఠెంబరు
550,Oktober::N,lokakuu,అక్టోబరు
551,November::N,marraskuu,నవంబరు
552,Dezember::N,joulukuu,డిసెంబర్
553,Montag::N,maanantai,సోమవారము
554,Dienstag::N,tiistai,మంగళవారము
555,Mittwoch::N,keskiviikko,బుధవారము
556,Donnerstag::N,torstai,గురువారము
557,Freitag::N,perjantai,శుక్రవారము
558,Samstag::N,lauantai,శనివారము
559,Sonntag::N,sunnuntai,ఆదివారము
560,groß::A,iso,గొప్పైన
561,groß::A,suuri,గొప్పైన
562,klein::A,pieni,చిన్న
563,lang::A,pitkä,పొడుగాటి
564,kurz::A,lyhyt,పొట్టి
565,breit::A,leveä,వెడల్పైన
566,schmal::A,kapea,ఇఱుకైన
567,dicht::A,taaja,దట్టమైన
568,dick[Gegenstand]::A,paksu,దట్టమైన
569,dünn::A,ohut,పలుచని
570,fein::A,hieno,నాజాకైన
571,fest::A,luja,దృడమైవ
572,flach::A,litteä,చదువైన
573,flach::A,tasainen,చదువైన
574,glatt::A,sileä,నున్నని
575,glatt::A,siloinen,నున్నని
576,hart::A,kova,కఠినమైన
577,weich::A,pehmeä,మృదువైన
578,rund::A,pyöreä,గుండ్రని
579,spitz::A,terävä,మొనగల
580,scharf::A,terävä,పదనైన
581,stumpf::A,tylsä,వాడిలేని
582,schwer::A,raskas,బరువ్తెన
583,schwer::A,painava,బరువ్తెన
584,schön::A,kaunis,సుందరమైన
585,heiß::A,kuuma,వేడియైన
586,warm::A,lämmin,వెచ్చని
587,kalt::A,kylmä,చల్లని
588,kalt::A,viluinen,చల్లని
589,kühl::A,viileä,చల్లని
590,frisch::A,tuore,తాజాయైన
591,feucht::A,kostea,చెమ్మగానున్న
592,nass::A,märkä,తడిగామన్న
593,trocken::A,kuiva,ఎండిన
594,voll::A,täysi,నిండు
595,leer::A,tyhjä,శూన్యమైన
596,offen::A,avonainen,తెఱచియున్న
597,geschlossen::A,suljettu,మూసిన
598,sauber::A,puhdas,పరిశుద్ధమైన
599,schmutzig::A,likainen,ముఱికియైన
600,roh::A,raaka,పచ్చి
601,reif::A,kypsä,పండివ
602,lecker::A,herkullinen,రుచి గల
603,süß::A,makea,తియ్యని
604,bitter::A,karvas,చేదైన
605,bitter::A,kitkerä,చేదైన
606,sauer::A,hapan,పుల్లని
607,hell::A,kirkas,కాంతిగల
608,hell::A,valoisa,కాంతిగల
609,dunkel::A,pimeä,చీకటియైన
610,schwarz::A,musta,నల్లని
611,weiß::A,valkea,తెలుపు
612,rot::A,punainen,ఎఱ్ఱని
613,gelb::A,keltainen,పసుపు పచ్చ
614,blau::A,sininen,నీలవర్ణము
615,grün::A,vihreä,ఆకుపచ్చని
616,grau::A,harmaa,నెరిసిన
617,bunt::A,kirjava,రంగేలీ
618,billig::A,halpa,చౌకయైన
619,billig::A,huokea,చౌకయైన
620,teuer::A,kallis,వెలపొడుగైన
621,wertvoll::A,arvokas,విలుప్తెన
622,blind::A,sokea,గ్రుడ్డి
623,taub::A,kuuro,చెవిటి
624,kräftig::A,väkevä,శక్తి గల
625,kräftig::A,voimakas,శక్తి గల
626,stark::A,vahva,బలమైన
627,schwach::A,heikko,బలహీనమైన
628,fett::A,lihava,క్రొవ్విన
629,schlank::A,hoikka,సన్నని
630,schlank::A,solakka,సన్నని
631,hübsch::A,soma,సాగప్తెన
632,hübsch::A,sievä,సాగప్తెన
633,böse::A,paha,చెడ్డ
634,böse::A,häijy,చెడ్డ
635,dumm::A,tyhmä,తెలివిలేని
636,dumm::A,typerä,తెలివిలేని
637,faul::A,laiska,సోమరియైన
638,fleißig::A,ahkera,శ్రద్దగల
639,geizig::A,saita,పిసినారియైన
640,klug::A,älykäs,తెలివిగల
641,geschickt::A,taitava,నిపుణతగల
642,lieb::A,rakas,ప్రియమైన
643,lustig::A,hauska,ఉల్లాసము గల
644,lustig::A,iloinen,ఉల్లాసము గల
645,sanft::A,lauha,సాధువైన
646,sanft::A,lempeä,సాధువైన
647,hungrig::A,nälkäinen,ఆకలిగొనిన
648,krank::A,sairas,వ్యాధిగల
649,nackt::A,alaston,దిగంబరమైన
650,traurig::A,surullinen,విచారముగల
651,traurig::A,murheellinen,విచారముగల
652,lebendig::A,elävä,ప్రాణముతో నున్న
653,gut::A,hyvä,మంచి
654,schlecht::A,paha,చెడ్డ
655,schlecht::A,huono,చెడ్డ
656,richtig::A,oikea,సరియైన
657,schlimm::A,paha,అసహ్యమైన
658,wahr::A,tosi,నిజమైన
659,alt::A,vanha,ముసలి
660,neu::A,uusi,క్రొత్త
661,ehemalig::A,entinen,పూర్వపు
662,ehemalig::A,muinainen,పూర్వపు
663,alt[Lebewesen]::A,vanha,ముసలి
664,jung::A,nuori,పసి
665,arm::A,köyhä,బీద
666,reich::A,rikas,ధనవంతుడైన
667,bekannt::A,tuttu,తెలిసిన
668,bekannt::A,tunnettu,తెలిసిన
669,berühmt::A,kuuluisa,ప్రపిద్దికెక్కివ
670,fremd::A,vieras,అన్యమైన
671,verschieden::A,eri,భేదమైన
672,verschieden::A,erilainen,భేదమైన
673,nah::A,läheinen,దగ్గఱనున్న
674,fern::A,etäinen,దూరమందున్న
675,linker::A,vasen,ఎడమప్రక్కగ
676,rechter::A,oikea,కుడి
677,anderer::A,muu,వేఱ్తెన
678,anderer::A,toinen,వేఱ్తెన
679,erster::A,ensimmäinen,మొదటి
680,zweiter::A,toinen,రెండన
681,dritter::A,kolmas,మూడో
682,letzter::A,viimeinen,కడపటి
683,allein::ADV,yksin,ఒంటిగా
684,auf einmal::ADV,yhdellä kertaa,హరాత్తుగ
685,zusammen::ADV,yhdessä,కలిసి
686,lange::ADV,kauan,బహుకాలము
687,lange::ADV,pitkään,బహుకాలము
688,plötzlich::ADV,äkkiä,హరాత్తుగ
689,sofort::ADV,heti,తక్షణము
690,später::ADV,myöhemmin,ఇటీవలి
691,jetzt::ADV,nyt,ఇప్పుడు
692,heute::ADV,tänään,నేడు
693,morgen::ADV,huomenna,ఱేపు
694,bald::ADV,pian,శీఘ్రముగ
