,Concept_ID,kv,da
90,Sumpf::N,арай,sump
91,Moor::N,нюр,mose
92,Wiese::N,видз,eng
93,Wald::N,вӧр,skov
94,Hügel::N,мыльк,høj
95,Hügel::N,мыльк,bakke
96,Anhöhe::N,вывтас,høj
97,Anhöhe::N,вывтас,bakke
98,Anhöhe::N,вылынін,høj
99,Anhöhe::N,вылынін,bakke
100,Berg::N,керӧс,bjerg
101,Gipfel::N,йыв,top
102,Höhle::N,нора,hule
103,Abhang::N,покат,skrænt
104,Abhang::N,покат,skråning
105,Quelle::N,больган,kilde
106,Bach::N,шор,bæk
107,Fluss::N,ю,flod
108,Ufer::N,берег,bred
109,Küste::N,берег,kyst
110,Festland::N,му,fastland
111,Meer::N,море,hav
112,Bucht::N,курья,bugt
113,Blume::N,цветок,blomst
114,Gras::N,турун,græs
115,Wurzel::N,вуж,rod
116,Baum::N,пу,træ
117,Stamm::N,мыр,stamme
118,Stamm::N,кер,stamme
119,Rinde::N,кач,bark
120,Ast::N,ув,gren
121,Zweig::N,ув,kvist
122,Blatt::N,лист,blad
123,Birke::N,кыдз,birk
124,Kiefer[Baum]::N,пожум,fyrretræ
125,Weide[Baum]::N,бадь,piletræ
126,Tanne::N,кӧз,gran
127,Horn::N,сюр,horn
128,Feder::N,гӧн,fjer
129,Fell::N,кучик,skind
130,Flügel::N,борд,vinge
131,Klaue::N,гыж,klov
132,Kralle::N,кабыр,klo
133,Schwanz::N,бӧж,hale
134,Ei::N,кольть,æg
135,Nest::N,поз,rede
136,Bau::N,осьта,bo
137,Bau::N,нора,bo
138,Tier::N,зверь,dyr
139,Herde::N,гурт,flok
140,Kuh::N,мӧс,ko
141,Bulle::N,ӧшка,tyr
142,Pferd::N,вӧв,hest
143,Schaf::N,баля,får
144,Schwein::N,порсь,gris
145,Hund::N,пон,hund
146,Katze::N,кань,kat
147,Bär::N,ош,bjørn
148,Eichhörnchen::N,ур,egern
149,Elch::N,вӧр мӧс,elg
150,Fuchs::N,руч,ræv
151,Hase::N,кӧч,hare
152,Maus::N,шыр,mus
153,Wolf::N,кӧин,ulv
154,Vogel::N,кай,fugl
155,Schwarm::N,стая,sværm
156,Schwarm::N,чукӧр,sværm
157,Huhn::N,курӧг,høne
158,Hahn::N,петух,hane
159,Hahn::N,ай курӧг,hane
160,Gans::N,дзодзог,gås
161,Adler::N,куч,ørn
162,Adler::N,кутш,ørn
163,Ente::N,утка,and
164,Eule::N,тупка,ugle
165,Kranich::N,тури,trane
166,Krähe::N,рака,krage
167,Kuckuck::N,кӧк,gøg
168,Schwan::N,юсь,svane
169,Fisch::N,чери,fisk
170,Barsch::N,ёкыш,aborre
171,Hecht::N,сирпинь,gedde
172,Schlange[Tier]::N,змей,slange
173,Wurm::N,номыр,orm
174,Spinne::N,черань,edderkop
175,Ameise::N,кӧдзывкар,myre
176,Laus::N,ляпа той,lus
177,Mücke::N,ном,myg
178,Fliege::N,гут,flue
179,Schmetterling::N,бабыв,sommerfugl
180,Beere::N,ягӧд,bær
181,Apfel::N,яблоко,æble
182,Pilz::N,тшак,svamp
183,Zwiebel::N,грез,løg
184,Saat::N,кӧдзыс,sæd
185,Korn::N,сю,korn
186,Heu::N,турун,hø
187,Schale::N,кыш,skræl
188,Schale::N,киль,skræl
189,Grube::N,яма,grav
190,Falle::N,нальк,fælde
191,Falle::N,кляпча,fælde
192,Schlinge::N,лӧч,snare
193,Spur::N,туй,spor
194,Asche::N,пӧим,aske
195,Dreck::N,нять,snavs
196,Eisen::N,кӧрт,jern
197,Gold::N,зарни,guld
198,Silber::N,язісь,sølv
199,Kohle::N,шом,kul
200,Kohle::N,уголь,kul
201,Glas::N,стекло,glas
202,Lehm::N,сёй,ler
203,Sand::N,лыа,sand
204,Mensch::N,морт,mennesge
205,Mann::N,мужик,mand
206,Frau::N,инька,kvinde
207,Kind::N,кага,barn
208,Junge::N,зонка,dreng
209,Mädchen::N,нывкаок,pige
210,Familie::N,семья,familie
211,Großvater::N,дед,bedstefar
212,Großmutter::N,баб,bedstemor
213,Eltern::N,ай-мам,forældre
214,Vater::N,ай,far
215,Mutter::N,мам,mor
216,Sohn::N,зон,søn
217,Tochter::N,ныв,datter
218,Bruder::N,вон,bror
219,Schwester::N,сой,søster
220,Onkel::N,дядь,onkel
221,Tante::N,айӧлӧн сой,tante
222,Tante::N,ичинь,tante
223,Ehemann::N,жӧник,ægtemand
224,Ehefrau::N,инь,hustru
225,Freude::N,гаж,glæde
226,Freude::N,радъялӧм,glæde
227,Gelächter::N,сералӧм,latter
228,Glück::N,мичлун,lykke
229,Kummer::N,шог,sorg
230,Wunsch::N,мӧдӧм,ønske
231,Wunsch::N,охотитӧм,ønske
232,Lust::N,охота,lyst
233,Geist::N,лов,ånd
234,Gedanke::N,дума,tanke
235,Gedächtnis::N,тӧдвыв,hukommelse
236,Verstand::N,вежӧр,forstand
237,Sinn::N,ылӧс,mening
238,Sinn::N,ылӧс,betydning
239,Grund::N,мог,grund
240,Wahrheit::N,правда,sandhed
241,Gespräch::N,сёрни,samtale
242,Märchen::N,сказка,eventyr
243,Erzählung::N,висьт,fortælling
244,Nachricht::N,юӧр,efterretning
245,Nachricht::N,висьталӧм,efterretning
246,Neuigkeit::N,новость,nyhed
247,Name::N,ним,navn
248,Rätsel::N,загадка,gåde
249,Rede::N,сёрни,tale
250,Sprache::N,кыв,sprog
251,Stimme::N,голос,stemme
252,Wort::N,кыв,ord
253,Zeichen::N,пас,tegn
254,Ruf::N,чуксӧм,råb
255,Ruf::N,чукӧстӧм,råb
256,Lärm::N,шум,larm
257,Laut::N,шы,lyd
258,Ton::N,гор,tone
259,Lied::N,сьыланкыв,sang
260,Ruhe::N,спокой,ro
261,Ruhe::N,спокой,hvile
262,Leute::N,йӧз,folk
263,Leute::N,йӧз,mennesker
264,Volk::N,йӧз,folk
265,Volk::N,народ,folk
266,Arbeit::N,удж,arbejde
267,Gast::N,гӧсь,gæst
268,Geschenk::N,гӧснеч,gave
269,Geschenk::N,подарок,gave
270,Spiel::N,орсӧм,leg
271,Gesellschaft::N,компания,selskab
272,Hilfe::N,отсӧт,hjælp
273,Freund::N,модз,ven
274,Freund::N,дружок,ven
275,Kamerad::N,тӧдса,kammerat
276,Angelegenheit::N,дело,sag
277,Angelegenheit::N,дело,anliggende
278,Anzahl::N,лыд,antal
279,Art::N,пӧлӧс,art
280,Stück::N,тор,stykke
281,Teil::N,юкӧм,del
282,Hälfte::N,джын,halvdel
283,Kreis::N,круг,cirkel
284,Kreuz::N,перна,kors
285,Kreuz::N,перна,kryds
286,Linie::N,визь,linie
287,Strich::N,кырӧв,streg
288,Abstand::N,колас,afstand
289,Entfernung::N,ылына,afstand
290,Gegend::N,места,egn
291,Platz::N,места,plads
292,Ort::N,места,sted
293,Seite::N,ладор,side
294,Mitte::N,шӧр,midte
295,Gegenstand::N,тор,genstand
296,Sache::N,тор,sag
297,Rand::N,дор,rand
298,Kante::N,ордлы,kant
299,Ecke::N,пельӧс,hjørne
300,Spitze::N,йыв,spids
301,Ende::N,йыв,ende
302,Loch::N,осьта,hul
303,Winkel::N,пельӧс,vinkel
304,Muster::N,сер,mønster
305,Größe::N,ыжда,størrelse
306,Länge::N,кузя,længde
307,Höhe::N,сувда,højde
308,Höhe::N,вылына,højde
309,Gewicht::N,сьӧкта,vægt
310,Haufen::N,куча,bunke
311,Reihe::N,лёдз,række
312,Boot::N,пыж,båd
313,Ruder::N,пелыс,åre
314,Schlitten::N,додь,kælk
315,Schlitten::N,додь,slæde
316,Ski::N,лямпа,ski
317,Lagerfeuer::N,бипур,lejrbål
318,Last::N,тягота,last
319,Last::N,тягота,byrde
320,Gang::N,мунӧм,gang
321,Schritt::N,вожмӧв,skridt
322,Norden::N,ой,nord
323,Süden::N,лун,syd
324,Westen::N,рытвыв,vest
325,Osten::N,асыв,øst
326,Holz::N,пу,træ
327,Brett::N,пӧв,bræt
328,Platte::N,плита,plade
329,Stütze::N,пика,støtte
330,Stange::N,зор,stang
331,Stange::N,потш,stang
332,Stock::N,бедь,stok
333,Stab::N,шест,stav
334,Rohr::N,труба,rør
335,Haus::N,керку,hus
336,Heim::N,керку,hjem
337,Ofen::N,пӧжавны,ovn
338,Fußboden::N,джодж,gulv
339,Tisch::N,пызан,bord
340,Stuhl::N,стул,stol
341,Wiege::N,зыбка,vugge
342,Bett::N,кровать,seng
343,Regal::N,джадж,reol
344,Kiste::N,ящик,kasse
345,Fenster::N,ӧшын,vindue
346,Tür::N,ыбӧс,dør
347,Tor::N,ворота,port
348,Zaun::N,забор,stakit
349,Dach::N,крыша,tag
350,Leiter::N,лиснич,stige
351,Besen::N,рос,kost
352,Spaten::N,зыр,spade
353,Schaufel::N,зыр,skovl
354,Gabel::N,вила,gaffel
355,Löffel::N,пань,ske
356,Messer::N,пурт,kniv
357,Nagel::N,кӧрттув,søm
358,Netz::N,кыйӧт,net
359,Haken::N,ем,krog
360,Griff::N,пу,tag
361,Griff::N,пу,håndtag
362,Schloss::N,замок,lås
363,Bild::N,картина,billede
364,Figur::N,мыгӧр,figur
365,Puppe::N,акань,dukke
366,Beutel::N,мешӧк,pose
367,Bündel::N,нин,bylt
368,Bündel::N,нин,bundt
369,Tasche::N,сумка,taske
370,Eimer::N,ведра,spand
371,Deckel::N,вевт,låg
372,Geschirr::N,доз,husgeråd
373,Geschirr::N,бекӧрпань,husgeråd
374,Sack::N,мешӧк,sæk
375,Tasse::N,бекӧр,kop
376,Topf::N,кастрюля,gryde
377,Kessel::N,пӧрт,kedel
378,Essen::N,сёйӧм,måltid
379,Nahrung::N,вердан,mad
380,Nahrung::N,вердан,næring
381,Speise::N,сёян,ret
382,Fleisch::N,яй,kød
383,Getreide::N,сю,korn
384,Brei::N,каша,grød
385,Brot::N,нянь,brød
386,Scheibe::N,шӧрӧм,skive
387,Fett::N,гос,fedt
388,Butter::N,ви,smør
389,Öl::N,ви,olie
390,Salz::N,сов,salt
391,Suppe::N,шыд,suppe
392,Honig::N,ма,honning
393,Milch::N,йӧв,mælk
394,Tee::N,чай,te
395,Leder::N,кучик,skind
396,Wolle::N,гӧн,uld
397,Stoff::N,дӧра,stof
398,Nadel::N,ем,nål
399,Faden::N,сунис,tråd
400,Knopf::N,кизь,knap
401,Knoten::N,узӧв,knude
402,Knoten::N,гӧрӧд,knude
403,Farbe::N,краска,farve
404,Kleidung::N,паськӧм,påklædning
405,Hemd::N,йӧрнӧс,skjorte
406,Kragen::N,воротник,krave
407,Ärmel::N,сос,ærme
408,Hose::N,вешьян,bukser
409,Gürtel::N,йи,bælte
410,Mütze::N,шапка,hue
411,Schuh::N,ботинки,sko
412,Stiefel::N,сапог,støvle
413,Ring::N,чунькытш,ring
414,Band::N,ленточка,bånd
415,Kamm::N,сынан,kam
416,Spiegel::N,зеркало,spejl
417,Riemen::N,ремень,rem
418,Schnur::N,гез,snor
419,Leine::N,повод,snor
420,Decke::N,одеяло,tæppe
421,Kissen::N,подушка,pude
422,Tuch::N,чышьян,sjaltørklæde
423,Handtuch::N,чышкӧт,håndklæde
424,Kraft::N,прак,kraft
425,Stärke::N,вын,styrke
426,Gesundheit::N,здоровье,sundhed
427,Krankheit::N,шог,sygdom
428,Schmerz::N,зубыт,smerte
429,Wunde::N,рана,sår
430,Fieber::N,лёк тресся,feber
431,Fieber::N,кынтан шогӧт,feber
432,Arznei::N,лекарство,medicin
433,Arznei::N,лекарство,lægemiddel
434,Brücke::N,пос,bro
435,Brunnen::N,колодец ,brønd
436,Weide::N,пода йирсян,græsgang
437,Pfad::N,туй,sti
438,Weg::N,туй,vej
439,Straße::N,туй,gade
440,Dorf::N,деревня,landsby
441,Stadt::N,город,by
442,Brief::N,гижӧт,brev
443,Buch::N,книга,bog
444,Buchstabe::N,буква,bogstav
445,Zeitung::N,газета,avis
446,Leben::N,олан,liv
447,Tod::N,кулӧм,død
448,Grab::N,гу,grav
449,Kirche::N,вичку,kirke
450,Sünde::N,грек,synd
451,Gott::N,ен,gud
452,Arbeiter::N,уджалiсь,arbejder
453,Chef::N,начальник,chef
454,Meister::N,мастер,mester
455,Arzt::N,врач,læge
456,Lehrer::N,велӧтісь,lærer
457,Geld::N,деньга,penge
458,Geschäft::N,удж,forretning
459,Laden::N,магазин,butik
460,Laden::N,магазин,forretning
461,Preis::N,дон,pris
462,Ware::N,товар,vare
463,Nutzen::N,путь,nytte
464,Reichtum::N,богатство,rigdom
465,Welt::N,му,verden
466,Land::N,страна,land
467,Staat::N,государство,stat
468,König::N,кан,konge
469,Macht::N,власть,magt
470,Grenze::N,граница,grænse
471,Krieg::N,война,krig
472,Feind::N,враг,fjende
473,Kampf::N,нярасьӧм,kamp
474,Kampf::N,вермасьӧм,kamp
475,Bogen[Waffe]::N,лук,bue
476,Pfeil::N,ньӧв,pil
477,Gewehr::N,ружьё,gevær
478,Fehler::N,ошибка,fejl
479,Lüge::N,ылӧтӧм,løgn
480,Lüge::N,пӧрьялӧм,løgn
481,Schaden::N,лёк,skade
482,Unglück::N,пик,uheld
483,Unglück::N,пик,ulykke
484,Unglück::N,оказзё,uheld
485,Unglück::N,оказзё,ulykke
486,Schuld::N,вина,skyld
487,Schluss::N,ком,slut
488,Schluss::N,ком,slutning
489,Zeit::N,кад,tid
490,Tag::N,лун,dag
491,Morgen::N,асыв,morgen
492,Mittag::N,луншӧр кад,middag
493,Abend::N,рыт,aften
494,Nacht::N,ой,nat
495,Woche::N,неделя,uge
496,Monat::N,тӧлicь,måned
497,Jahr::N,год,år
498,Frühling::N,тулыс,forår
499,Sommer::N,гожум,sommer
500,Herbst::N,ар,efterår
501,Winter::N,тӧв,vinter
502,Januar::N,январ,januar
503,Februar::N,февраль,februar
504,März::N,март,marts
505,April::N,апрель,april
506,Mai::N,май,maj
507,Juni::N,юнь,juni
508,Juli::N,юль,juli
509,August::N,август,august
510,September::N,сентяб,september
511,Oktober::N,октяб,oktober
512,November::N,нояб,november
513,Dezember::N,декаб,december
514,Montag::N,вильлун,mandag
515,Dienstag::N,мӧдӧдзлун,tirsdag
516,Mittwoch::N,шӧрлун,onsdag
517,Donnerstag::N,нёльӧдзлун,torsdag
518,Freitag::N,витӧдзлун,fredag
519,Samstag::N,пывсянлун,lørdag
520,Sonntag::N,кресення,søndag
521,groß::A,ыджыт,stor
522,klein::A,учӧтик,lille
523,lang::A,кузь,lang
524,kurz::A,дженыт,kort
525,breit::A,ота,bred
526,schmal::A,векнит,smal
527,dicht::A,тшӧк,tæt
528,dick[Gegenstand]::A,кыз,tyk
529,dünn::A,вӧснит,tynd
530,fein::A,вӧснит,fin
531,fest::A,крепыт,fast
532,flach::A,лапкӧса,flad
533,glatt::A,волькыт,glat
534,hart::A,чӧрыт,hård
535,weich::A,небыт,blød
536,rund::A,гӧгрӧса,rund
537,spitz::A,ёся,spids
538,scharf::A,лэчыт,skarp
539,stumpf::A,ныж,sløv
540,stumpf::A,ныж,stump
541,schwer::A,сьӧкыт,tung
542,schön::A,басӧк,skøn
543,heiß::A,жар,hed
544,warm::A,шоныт,varm
545,kalt::A,кӧдзыт,kold
546,kühl::A,сайкыт,kølig
547,frisch::A,виль,frisk
548,feucht::A,вакодь,fugtig
549,nass::A,ва,våd
550,trocken::A,кӧс,tør
551,voll::A,тыра,fuld
552,leer::A,тыртӧм,tom
553,offen::A,оссьӧм,åben
554,geschlossen::A,игана,lukket
555,geschlossen::A,пӧдана,lukket
556,sauber::A,сӧдз,ren
557,sauber::A,сӧстӧм,ren
558,schmutzig::A,нятьӧсь,snavset
559,roh::A,путӧм,rå
560,reif::A,кисьмалӧм,moden
561,lecker::A,кӧра ,lækker
562,süß::A,чӧскыт,sød
563,bitter::A,курыт,bitter
564,sauer::A,шӧма ,sur
565,hell::A,югыт,lys
566,dunkel::A,пемыт,mørk
567,schwarz::A,сьӧд,sort
568,weiß::A,чочком,hvid
569,rot::A,гӧрд,rød
570,gelb::A,веж,gul
571,blau::A,лӧз,blå
572,grün::A,веж,grøn
573,grau::A,руд,grå
574,grau::A,бусӧй,grå
575,bunt::A,быдрӧма,broget
576,billig::A,донтӧм,billig
577,teuer::A,дона,dyr
578,wertvoll::A,дона,værdifuld
579,blind::A,синтӧм,blind
580,taub::A,пельтӧм,døv
581,kräftig::A,вына,kraftig
582,stark::A,вына,stærk
583,schwach::A,некодя,svag
584,fett::A,госа,fed
585,schlank::A,статя,slank
586,hübsch::A,басӧк,køn
587,böse::A,лёк,ond
588,böse::A,лёк,slem
589,dumm::A,бӧбӧв,dum
590,dumm::A,вежӧртӧм,dum
591,faul::A,дыш,doven
592,fleißig::A,уджалicь,flittig
593,geizig::A,жикмӧра,gerrig
594,geizig::A,горшаліcь,gerrig
595,klug::A,авья,klog
596,klug::A,вежӧра,klog
597,geschickt::A,кипода,dygtig
598,geschickt::A,кипода,behændig
599,lieb::A,муса,rar
600,lieb::A,дзулиньӧй,rar
601,lustig::A,гажа,lystig
602,sanft::A,лебезнӧй,blid
603,hungrig::A,тшыг,sulten
604,krank::A,шогалiсь,syg
605,nackt::A,куш,nøgen
606,traurig::A,жугыль,bedrøvet
607,lebendig::A,ловья,levende
608,gut::A,бур,god
609,schlecht::A,умӧль,dårlig
610,schlimm::A,нештӧм,slem
611,alt::A,важ,gammel
612,neu::A,виль,ny
613,ehemalig::A,вӧвлӧм,forhenværende
614,alt[Lebewesen]::A,года,gammel
615,alt[Lebewesen]::A,годдэза,gammel
616,jung::A,том,ung
617,arm::A,гов,fattig
618,arm::A,беднӧй,fattig
619,reich::A,эма,rig
620,bekannt::A,тӧдса,kendt
621,fremd::A,чужӧй,fremmed
622,verschieden::A,быдкодь,forskellig
623,nah::A,матiсь,nær
624,fern::A,ылicь,fjern
625,linker::A,шульга,venstre
626,rechter::A,веськытланись,højre
627,anderer::A,мукӧд,anden
628,erster::A,медодзза,første
629,zweiter::A,кыкӧт,anden
630,dritter::A,куимӧт,tredje
631,dritter::A,куимӧдз,tredje
632,letzter::A,бӧрья,sidste
633,letzter::A,мёдбӧрья,sidste
634,auf einmal::ADV,тшӧтш,på én gang
635,zusammen::ADV,ӧтлаын,sammen
636,lange::ADV,дыр,længe
637,plötzlich::ADV,друг,pludselig
638,sofort::ADV,тшӧтш,straks
639,später::ADV,медбӧрын,senere
640,jetzt::ADV,ӧні,nu
641,heute::ADV,талун,i dag
642,morgen::ADV,ашын,i morgen
643,bald::ADV,чожа,snart
644,dann::ADV,сыбӧрын,så
645,gestern::ADV,тӧн,i går
646,einst::ADV,ӧтпыр,engang
647,damals::ADV,сэк,dengang
648,damals::ADV,сэки,dengang
649,danach::ADV,сэсся,derefter
650,vorher::ADV,одзжык,før
651,vorher::ADV,одзжык,forud
652,zuerst::ADV,наперво,først
653,einmal::ADV,ӧтпыр,en gang
654,manchmal::ADV,мукӧдпыр,sommetider
655,oft::ADV,-лы-,ofte
656,immer::ADV,быдпыр,altid
657,immer::ADV,быдпырся,altid
658,niemals::ADV,некӧр,aldrig
659,hier::ADV,татӧн,her
660,hierhin::ADV,татчӧ,hid
661,hierhin::ADV,татчӧ,herhen
662,von hier::ADV,тасянь,herfra
663,dort::ADV,сэтӧн,der
664,dorthin::ADV,сэтчин,derhen
665,geradeaus::ADV,веськыта,lige ud
666,vorwärts::ADV,одзӧ,fremad
667,rückwärts::ADV,бӧр,baglæns
668,zurück::ADV,бӧр,tilbage
669,unten::ADV,увтын,nede
670,unten::ADV,увтын,forneden
671,hinab::ADV,увтас,ned
672,hinab::ADV,увтас,nedad
673,oben::ADV,вевдӧрас,oppe
674,oben::ADV,вевдӧрас,ovenpå
675,hinauf::ADV,вывлань,op
676,hinauf::ADV,вывлань,opad
677,hinauf::ADV,вывланьӧ,op
678,hinauf::ADV,вывланьӧ,opad
679,überall::ADV,быдлан,overalt
680,nicht::ADV,ог,ikke
681,ein wenig::ADV,-ышт,lidt
682,ein wenig::ADV,невна,lidt
683,kaum::ADV,ӧдва,knap
684,kaum::ADV,ӧдва,næppe
685,sehr::ADV,вывтi,meget
686,so::ADV,сiдз,så
687,noch::ADV,эшӧ,endnu
688,nur::ADV,только,kun
689,nur::ADV,только,bare
690,schon::ADV,ни,alt
691,schon::ADV,ни,allerede
692,wieder::ADV,бӧра,igen
693,vergebens::ADV,весись,forgæves
694,vor::PRP,одзас,foran
695,vor::PRP,одзас,uden for
696,hinter::PRP,бӧрӧ,bag
697,hinter::PRP,бӧрӧ,bagved
698,unter::PRP,увтын,under
699,durch::PRP,пыр,gennem
700,durch::PRP,пыр,igennem
701,neben::PRP,бокам,ved siden af
702,neben::PRP,боксиным,ved siden af
703,zwischen::PRP,коласас,mellem
704,wegen::PRP,понда,på grund af
705,dies::PRN,эта,dette
706,das::PRN,сiя,det
707,alles::PRN,быдӧс,alt
708,ich::PRN,ме,jeg
709,du::PRN,тэ,du
710,er::PRN,сiя,han
711,wir::PRN,мийӧ,vi
712,ihr::PRN,ті,I
713,sie::PRN,нія,de
714,was::FPRN,мый,hvad
715,wer::FPRN,кин,hvem
716,wo::FADV,кытӧн,hvor
717,wohin::FADV,кытчӧ,hvorhen
718,wie::FADV,дзик,hvordan
719,warum::FADV,мыля,hvorfor
720,warum::FADV,мыйсянь,hvorfor
721,wieviel::FNUM,мымда,hvor meget
722,eins::NUM,ӧт,én
723,zwei::NUM,кык,to
724,drei::NUM,куим,tre
725,vier::NUM,нёль,fire
726,fünf::NUM,вит,fem
727,sechs::NUM,квать,seks
728,sieben::NUM,сизим,syv
729,acht::NUM,кыкьямыс,otte
730,neun::NUM,ӧкмыс,ni
731,zehn::NUM,дас,ti
732,elf::NUM,дасотік,elleve
733,zwölf::NUM,даскык,tolv
734,zwanzig::NUM,кыкдас,tyve
735,dreißig::NUM,куимдас,tredive
736,vierzig::NUM,нёльдас,fyrre
737,vierzig::NUM,нёльдас,fyrretyve
738,fünfzig::NUM,витдас,halvtreds
739,sechzig::NUM,кватьдас,tres
740,siebzig::NUM,сизимдас,halvfjerds
741,achtzig::NUM,кыкьямысдас,firs
742,neunzig::NUM,ӧкмысдас,halvfems
743,hundert::NUM,сто,hundrede
744,tausend::NUM,тысяча,tusind
745,und::CNJ,и,og
746,und::CNJ,да,og
747,oder::CNJ,или,eller
748,stehen::V,сулавны,stå
749,sitzen::V,пукавны,sidde
750,liegen::V,куйлыны,ligge
751,hängen::V,ӧшавны,hænge
752,werden::V,лоны,blive
753,passieren::V,аркмыны,ske
754,passieren::V,аркмыны,hænde
755,beginnen::V,петны,begynde
756,enden::V,-сь,ende
757,enden::V,бырны,ende
758,wechseln::V,вежсьыны,veksle
759,aufgehen[Sonne]::V,петавны,gå op
760,aufgehen[Sonne]::V,петавны,stå op
761,untergehen[Sonne]::V,пуксьыны,gå ned
762,scheinen[Sonne]::V,югьявны,skinne
763,donnern::V,гымавны,tordne
764,wehen::V,пӧлявны,blæse
765,strömen::V,киссьыны,strømme
766,fließen::V,визывтны,flyde
767,sich drehen::V,бергавны,dreje sig
768,schwanken::V,кӧвьясьны,vakle
769,schwingen::V,дюттясьны,svinge
770,fallen::V,усьны,falde
771,brennen::V,сотчыны,brænde
772,rauchen::V,тшынасьны,ryge
773,regnen::V,зэрны,regne
774,gefrieren::V,гегдыны,fryse
775,tauen::V,сывны,tø
776,schmelzen::V,сывны,smelte
777,trocknen::V,косьмыны,tørre
778,sieden::V,пизьны,koge
779,faulen::V,нёльзьыны,rådne
780,verfaulen::V,тӧрмыны,rådne
781,verfaulen::V,сiсьмыны,rådne
782,reißen::V,косясьны,briste
783,versinken::V,вӧйны,synke
784,versinken::V,вӧйны,synke ned
785,vergehen::V,мунны,forløbe
786,erscheinen::V,мыччисьны,vise sig
787,verschwinden::V,ӧшны,forsvinde
788,sinken::V,ямны,synke
789,abnehmen::V,ямны,aftage
790,zunehmen::V,паськавны,tiltage
791,steigen::V,лэбтiсьны,stige
792,wachsen::V,быдмыны,gro
793,wachsen::V,быдмыны,vokse
794,glänzen::V,свиттявны,glinse
795,funkeln::V,югйовтлыны,tindre
796,funkeln::V,югйӧв-керны,tindre
797,lärmen::V,чавзыны,larme
798,läuten::V,диньгыны,ringe
799,klingeln::V,силькӧтны,ringe
800,klirren::V,жольӧтны,klirre
801,brausen::V,гуасьны,bruse
802,rauschen::V,кышӧтны,suse
803,klingen::V,горавны,lyde
804,klingen::V,горавны,klinge
805,bellen::V,увтны,gø
806,bellen::V,вувтны,gø
807,heulen::V,уннявны,hyle
808,blasen::V,пӧлявны,blæse
809,pfeifen::V,пиксыны,fløjte
810,schreien::V,айзыны,skrige
811,stöhnen::V,ойзыны,stønne
812,stöhnen::V,ружтыны,stønne
813,zittern::V,легьявны,dirre
814,zittern::V,легьявны,skælve
815,leben::V,овны,leve
816,geboren werden::V,шогмыны,fødes
