,Concept_ID,da,sq
106,Hügel::N,bakke,kodër
107,Anhöhe::N,høj,bregore
108,Anhöhe::N,bakke,bregore
109,Berg::N,bjerg,mal
110,Gipfel::N,top,kulm
111,Höhle::N,hule,shpellë
112,Höhle::N,hule,zgafelle
113,Abhang::N,skrænt,shpat
114,Abhang::N,skrænt,tatëpjetë
115,Abhang::N,skråning,shpat
116,Abhang::N,skråning,tatëpjetë
117,Quelle::N,kilde,krua
118,Quelle::N,kilde,burim
119,Bach::N,bæk,virua
120,Fluss::N,flod,lumë
121,Ufer::N,bred,breg
122,Küste::N,kyst,anëdet
123,Küste::N,kyst,bregdet
124,Festland::N,fastland,kontinent
125,Meer::N,hav,det
126,Bucht::N,bugt,gji deti
127,Insel::N,ø,ishull
128,Insel::N,ø,ujdhesë
129,Blume::N,blomst,lule
130,Gras::N,græs,bar
131,Wurzel::N,rod,rrënjë
132,Baum::N,træ,pemë
133,Stamm::N,stamme,trung
134,Rinde::N,bark,lëvore
135,Ast::N,gren,degë
136,Zweig::N,kvist,bisk
137,Blatt::N,blad,fletë
138,Blatt::N,blad,gjethe
139,Birke::N,birk,mështekën
140,Kiefer[Baum]::N,fyrretræ,pishë
141,Weide[Baum]::N,piletræ,shelg
142,Tanne::N,gran,bredh
143,Horn::N,horn,bri
144,Feder::N,fjer,pupël
145,Fell::N,skind,lëkurë
146,Flügel::N,vinge,krah
147,Flügel::N,vinge,fletë
148,Klaue::N,klov,kthetër
149,Kralle::N,klo,thua
150,Kralle::N,klo,kthetër
151,Schwanz::N,hale,bisht
152,Ei::N,æg,vezë
153,Nest::N,rede,fole
154,Bau::N,bo,strofkë
155,Tier::N,dyr,kafshë
156,Herde::N,flok,kope
157,Herde::N,flok,grigjë
158,Kuh::N,ko,lopë
159,Bulle::N,tyr,dem
160,Pferd::N,hest,kalë
161,Schaf::N,får,dele
162,Schwein::N,gris,derr
163,Hund::N,hund,qen
164,Katze::N,kat,mace
165,Bär::N,bjørn,ari
166,Eichhörnchen::N,egern,ketër
167,Elch::N,elg,dre brilopatë
168,Fuchs::N,ræv,dhelpër
169,Hase::N,hare,lepur
170,Maus::N,mus,mi
171,Wolf::N,ulv,ujk
172,Vogel::N,fugl,zog
173,Vogel::N,fugl,shpend
174,Schwarm::N,sværm,luzmë
175,Huhn::N,høne,pulë
176,Hahn::N,hane,gjel
177,Hahn::N,hane,këndes
178,Gans::N,gås,patë
179,Adler::N,ørn,shqiponjë
180,Ente::N,and,rosë
181,Eule::N,ugle,buf
182,Kranich::N,trane,lejlek
183,Kranich::N,trane,kurrillë
184,Krähe::N,krage,sorrë
185,Kuckuck::N,gøg,qyqe
186,Schwan::N,svane,mjellmë
187,Fisch::N,fisk,peshk
188,Barsch::N,aborre,purtekë
189,Hecht::N,gedde,mlysh
190,Schlange[Tier]::N,slange,gjarpër
191,Wurm::N,orm,krimb
192,Spinne::N,edderkop,marimangë
193,Ameise::N,myre,thnegël
194,Ameise::N,myre,milingonë
195,Laus::N,lus,morr
196,Mücke::N,myg,kunup
197,Mücke::N,myg,mushkonjë
198,Fliege::N,flue,mizë
199,Schmetterling::N,sommerfugl,flutur
200,Beere::N,bær,frutë
201,Beere::N,bær,manaferrë
202,Apfel::N,æble,mollë
203,Pilz::N,svamp,kërpudhë
204,Zwiebel::N,løg,qepë
205,Saat::N,sæd,farë
206,Korn::N,korn,grurë
207,Korn::N,korn,kokërr
208,Heu::N,hø,sanë
209,Schale::N,skræl,lëkurë
210,Grube::N,grav,gropë
211,Falle::N,fælde,kurth
212,Falle::N,fælde,grackë
213,Schlinge::N,snare,nyjë
214,Spur::N,spor,gjurmë
215,Asche::N,aske,hi
216,Dreck::N,snavs,baltë
217,Eisen::N,jern,hekur
218,Gold::N,guld,ar
219,Gold::N,guld,flori
220,Silber::N,sølv,argjend
221,Kohle::N,kul,qymyr
222,Glas::N,glas,qelq
223,Lehm::N,ler,argjilë
224,Sand::N,sand,rërë
225,Mensch::N,mennesge,njeri
226,Mann::N,mand,burrë
227,Mann::N,mand,mashkull
228,Frau::N,kvinde,grua
229,Frau::N,kvinde,femër
230,Kind::N,barn,kalama
231,Junge::N,dreng,djalë
232,Mädchen::N,pige,gocë
233,Mädchen::N,pige,vajzë
234,Familie::N,familie,familje
235,Großvater::N,bedstefar,gjysh
236,Großmutter::N,bedstemor,gjyshe
237,Eltern::N,forældre,prindër
238,Vater::N,far,atë
239,Mutter::N,mor,nënë
240,Sohn::N,søn,bir
241,Tochter::N,datter,bijë
242,Bruder::N,bror,vëlla
243,Schwester::N,søster,motër
244,Onkel::N,onkel,dajë
245,Onkel::N,onkel,xhaxha
246,Tante::N,tante,teze
247,Tante::N,tante,hallë
248,Ehemann::N,ægtemand,burrë
249,Ehemann::N,ægtemand,bashkëshort
250,Ehefrau::N,hustru,grua
251,Ehefrau::N,hustru,bashkëshorte
252,Freude::N,glæde,gaz
253,Freude::N,glæde,gëzim
254,Gelächter::N,latter,qeshje
255,Glück::N,lykke,lumturi
256,Kummer::N,sorg,brengë
257,Kummer::N,sorg,pikëllim
258,Wunsch::N,ønske,dëshirë
259,Lust::N,lyst,epsh
260,Lust::N,lyst,dashuri
261,Geist::N,ånd,frymë
262,Geist::N,ånd,shpirt
263,Gedanke::N,tanke,ide
264,Gedanke::N,tanke,mendim
265,Gedächtnis::N,hukommelse,kujtesë
266,Verstand::N,forstand,mend
267,Sinn::N,mening,kuptim
268,Sinn::N,betydning,kuptim
269,Grund::N,grund,arsye
270,Wahrheit::N,sandhed,vërtetë
271,Gespräch::N,samtale,bisedim
272,Märchen::N,eventyr,përrallë
273,Erzählung::N,fortælling,tregim
274,Nachricht::N,efterretning,lajm
275,Neuigkeit::N,nyhed,risi
276,Name::N,navn,emër
277,Rätsel::N,gåde,gjëzë
278,Rätsel::N,gåde,gjëegjëzë
279,Rede::N,tale,fjalim
280,Sprache::N,sprog,gjuhë
281,Stimme::N,stemme,zë
282,Wort::N,ord,fjalë
283,Zeichen::N,tegn,shenjë
284,Ruf::N,råb,thirrmë
285,Lärm::N,larm,zhurmë
286,Laut::N,lyd,tingull
287,Ton::N,tone,ton
288,Lied::N,sang,këngë
289,Ruhe::N,ro,qetësi
290,Ruhe::N,hvile,qetësi
291,Leute::N,folk,botë
292,Leute::N,folk,njerëz
293,Leute::N,mennesker,botë
294,Leute::N,mennesker,njerëz
295,Volk::N,folk,popull
296,Arbeit::N,arbejde,punë
297,Gast::N,gæst,mik
298,Gast::N,gæst,mysafir
299,Geschenk::N,gave,dhuratë
300,Geschenk::N,gave,peshqesh
301,Spiel::N,leg,lojë
302,Gesellschaft::N,selskab,shoqëri
303,Hilfe::N,hjælp,ndihmë
304,Freund::N,ven,mik
305,Kamerad::N,kammerat,shok
306,Angelegenheit::N,sag,punë
307,Angelegenheit::N,anliggende,punë
308,Anzahl::N,antal,sasi
309,Art::N,art,lloj
310,Stück::N,stykke,copë
311,Teil::N,del,pjesë
312,Hälfte::N,halvdel,gjysmë
313,Kreis::N,cirkel,qark
314,Kreis::N,cirkel,rreth
315,Kreuz::N,kors,kryq
316,Kreuz::N,kryds,kryq
317,Linie::N,linie,vijë
318,Strich::N,streg,vizë
319,Abstand::N,afstand,distancë
320,Entfernung::N,afstand,largim
321,Gegend::N,egn,vise
322,Gegend::N,egn,krahinë
323,Platz::N,plads,shesh
324,Ort::N,sted,vend
325,Seite::N,side,anë
326,Mitte::N,midte,mes
327,Gegenstand::N,genstand,send
328,Sache::N,sag,gjë
329,Sache::N,sag,send
330,Rand::N,rand,qoshe
331,Kante::N,kant,teh
332,Ecke::N,hjørne,qoshe
333,Spitze::N,spids,majë
334,Ende::N,ende,skaj
335,Ende::N,ende,bisht
336,Loch::N,hul,vrimë
337,Winkel::N,vinkel,kënd
338,Muster::N,mønster,mostër
339,Größe::N,størrelse,madhësi
340,Länge::N,længde,gjatësi
341,Höhe::N,højde,lartësi
342,Gewicht::N,vægt,peshë
343,Menge::N,mængde,sasi
344,Haufen::N,bunke,grumbull
345,Reihe::N,række,radhë
346,Reihe::N,række,rresht
347,Boot::N,båd,barkë
348,Boot::N,båd,lundër
349,Ruder::N,åre,rrem
350,Schlitten::N,kælk,sajë
351,Schlitten::N,slæde,sajë
352,Ski::N,ski,ski
353,Lagerfeuer::N,lejrbål,flakadan
354,Lagerfeuer::N,lejrbål,zjarr i madh
355,Last::N,last,barrë
356,Last::N,byrde,barrë
357,Gang::N,gang,ecje
358,Schritt::N,skridt,hap
359,Norden::N,nord,veri
360,Süden::N,syd,jug
361,Westen::N,vest,perëndim
362,Osten::N,øst,lindje
363,Holz::N,træ,dru
364,Brett::N,bræt,dërrasë
365,Platte::N,plade,pllakë
366,Stütze::N,støtte,shtyllë
367,Stütze::N,støtte,mbështetesë
368,Stange::N,stang,shufër
369,Stock::N,stok,dajak
370,Stab::N,stav,shkop
371,Rohr::N,rør,tub
372,Haus::N,hus,shtëpi
373,Heim::N,hjem,konak
374,Heim::N,hjem,shtëpi
375,Ofen::N,ovn,sobë
376,Ofen::N,ovn,stufë
377,Fußboden::N,gulv,dysheme
378,Tisch::N,bord,tryezë
379,Stuhl::N,stol,karrige
380,Wiege::N,vugge,djep
381,Bett::N,seng,shtrat
382,Regal::N,reol,raft
383,Kiste::N,kasse,kuti
384,Fenster::N,vindue,dritare
385,Tür::N,dør,derë
386,Tor::N,port,portë
387,Zaun::N,stakit,gardh
388,Dach::N,tag,çati
389,Leiter::N,stige,shkallë
390,Besen::N,kost,fshesë
391,Spaten::N,spade,lopatë
392,Schaufel::N,skovl,qyrek
393,Gabel::N,gaffel,pirun
394,Löffel::N,ske,lugë
395,Messer::N,kniv,thikë
396,Nagel::N,søm,gozhdë
397,Netz::N,net,rrjetë
398,Haken::N,krog,grep
399,Haken::N,krog,grremç
400,Griff::N,tag,dorak
401,Griff::N,tag,dorezë
402,Griff::N,håndtag,dorak
403,Griff::N,håndtag,dorezë
404,Schloss::N,lås,bravë
405,Bild::N,billede,tablo
406,Bild::N,billede,pikturë
407,Figur::N,figur,figurë
408,Puppe::N,dukke,kukull
409,Beutel::N,pose,qese
410,Beutel::N,pose,trastë
411,Bündel::N,bylt,deng
412,Bündel::N,bundt,deng
413,Tasche::N,taske,çantë
414,Eimer::N,spand,kovë
415,Deckel::N,låg,kapak
416,Deckel::N,låg,mbulesë
417,Geschirr::N,husgeråd,enë
418,Sack::N,sæk,thes
419,Sack::N,sæk,torbë
420,Tasse::N,kop,filxhan
421,Topf::N,gryde,kusi
422,Topf::N,gryde,tenxhere
423,Kessel::N,kedel,kazan
424,Essen::N,måltid,ngrënie
425,Nahrung::N,mad,ushqim
426,Nahrung::N,næring,ushqim
427,Speise::N,ret,gatesë
428,Fleisch::N,kød,mish
429,Getreide::N,korn,drithë
430,Brei::N,grød,qull
431,Brot::N,brød,bukë
432,Scheibe::N,skive,fetë
433,Fett::N,fedt,lyrë
434,Fett::N,fedt,yndyrë
435,Butter::N,smør,gjalpë
436,Öl::N,olie,vaj
437,Salz::N,salt,kripë
438,Suppe::N,suppe,supë
439,Suppe::N,suppe,çorbë
440,Honig::N,honning,mjaltë
441,Milch::N,mælk,qumësht
442,Tee::N,te,çaj
443,Leder::N,skind,lëkurë
444,Wolle::N,uld,lesh
445,Stoff::N,stof,pëlhurë
446,Nadel::N,nål,gjilpërë
447,Faden::N,tråd,pe
448,Faden::N,tråd,fije
449,Knopf::N,knap,kopsë
450,Knoten::N,knude,komb
451,Farbe::N,farve,bojë
452,Kleidung::N,påklædning,veshje
453,Hemd::N,skjorte,këmishë
454,Kragen::N,krave,jakë
455,Ärmel::N,ærme,mëngë
456,Hose::N,bukser,brekë
457,Gürtel::N,bælte,rrip
458,Mütze::N,hue,kësulë
459,Schuh::N,sko,këpucë
460,Stiefel::N,støvle,çizme
461,Ring::N,ring,unazë
462,Band::N,bånd,shirit
463,Kamm::N,kam,krehër
464,Spiegel::N,spejl,pasqyrë
465,Riemen::N,rem,rrip
466,Schnur::N,snor,litar
467,Schnur::N,snor,cikomë
468,Leine::N,snor,rrip
469,Decke::N,tæppe,batanije
470,Kissen::N,pude,jastëk
471,Tuch::N,sjaltørklæde,shami
472,Handtuch::N,håndklæde,peshqir
473,Kraft::N,kraft,forcë
474,Stärke::N,styrke,koll
475,Gesundheit::N,sundhed,shëndet
476,Krankheit::N,sygdom,sëmundje
477,Schmerz::N,smerte,dhimbje
478,Wunde::N,sår,plagë
479,Fieber::N,feber,ethe
480,Arznei::N,medicin,ilaç
481,Arznei::N,lægemiddel,ilaç
482,Brücke::N,bro,urë
483,Brunnen::N,brønd,pus
484,Weide::N,græsgang,kullotë
485,Pfad::N,sti,ravë
486,Pfad::N,sti,shteg
487,Weg::N,vej,udhë
488,Weg::N,vej,shteg
489,Straße::N,gade,rrugë
490,Dorf::N,landsby,fshat
491,Dorf::N,landsby,katund
492,Stadt::N,by,qytet
493,Brief::N,brev,letër
494,Buch::N,bog,libër
495,Buchstabe::N,bogstav,shkronjë
496,Zeitung::N,avis,gazetë
497,Leben::N,liv,jetë
498,Tod::N,død,mortje
499,Grab::N,grav,varr
500,Kirche::N,kirke,kishë
501,Sünde::N,synd,mëkat
502,Sünde::N,synd,gjynah
503,Gott::N,gud,hy
504,Gott::N,gud,zot
505,Arbeiter::N,arbejder,punëtor
506,Chef::N,chef,shef
507,Chef::N,chef,drejtues
508,Meister::N,mester,mjeshtër
509,Arzt::N,læge,mjek
510,Arzt::N,læge,doktor
511,Lehrer::N,lærer,mësues
512,Lehrer::N,lærer,arsimtar
513,Geld::N,penge,para
514,Geld::N,penge,holla
515,Geschäft::N,forretning,ujdi
516,Geschäft::N,forretning,biznes
517,Laden::N,butik,dyqan
518,Laden::N,forretning,dyqan
519,Preis::N,pris,çmim
520,Ware::N,vare,mall
521,Nutzen::N,nytte,dobi
522,Nutzen::N,nytte,leverdi
523,Reichtum::N,rigdom,kamje
524,Reichtum::N,rigdom,pasuri
525,Welt::N,verden,botë
526,Land::N,land,vend
527,Staat::N,stat,shtet
528,König::N,konge,mbret
529,Macht::N,magt,fuqi
530,Macht::N,magt,pushtet
531,Grenze::N,grænse,kufi
532,Krieg::N,krig,luftë
533,Feind::N,fjende,armik
534,Gewalt::N,vold,dhunë
535,Kampf::N,kamp,luftim
536,Bogen[Waffe]::N,bue,hark
537,Pfeil::N,pil,shigjetë
538,Gewehr::N,gevær,pushkë
539,Fehler::N,fejl,gafë
540,Fehler::N,fejl,gabim
541,Lüge::N,løgn,gënjeshtër
542,Schaden::N,skade,dëm
543,Schaden::N,skade,zarar
544,Unglück::N,uheld,fatkeqësi
545,Unglück::N,ulykke,fatkeqësi
546,Schuld::N,skyld,faj
547,Alter::N,alder,moshë
548,Schluss::N,slut,fund
549,Schluss::N,slutning,fund
550,Zeit::N,tid,kohë
551,Tag::N,dag,ditë
552,Morgen::N,morgen,mëngjes
553,Mittag::N,middag,mesditë
554,Abend::N,aften,mbrëmje
555,Nacht::N,nat,natë
556,Woche::N,uge,javë
557,Monat::N,måned,muaj
558,Jahr::N,år,vit
559,Frühling::N,forår,pranverë
560,Sommer::N,sommer,verë
561,Herbst::N,efterår,vjeshtë
562,Winter::N,vinter,dimër
563,Januar::N,januar,janar
564,Februar::N,februar,shkurt
565,März::N,marts,mars
566,April::N,april,prill
567,Mai::N,maj,maj
568,Juni::N,juni,qershor
569,Juli::N,juli,korrik
570,August::N,august,gusht
571,September::N,september,shtator
572,Oktober::N,oktober,tetor
573,November::N,november,nëntor
574,Dezember::N,december,dhjetor
575,Montag::N,mandag,hënë
576,Dienstag::N,tirsdag,martë
577,Mittwoch::N,onsdag,mërkurë
578,Donnerstag::N,torsdag,enjte
579,Freitag::N,fredag,premte
580,Samstag::N,lørdag,shtunë
581,Sonntag::N,søndag,diel
582,groß::A,stor,madh
583,klein::A,lille,vogël
584,lang::A,lang,gjatë
585,kurz::A,kort,shkurtër
586,breit::A,bred,gjerë
587,schmal::A,smal,ngushtë
588,dicht::A,tæt,dendur
589,dick[Gegenstand]::A,tyk,trashë
590,dünn::A,tynd,hollë
591,fein::A,fin,imët
592,fest::A,fast,fortë
593,flach::A,flad,sheshtë
594,glatt::A,glat,rrafshët
595,hart::A,hård,fortë
596,weich::A,blød,butë
597,rund::A,rund,rrumbullakët
598,spitz::A,spids,majëmprehtë
599,scharf::A,skarp,mprehtë
600,stumpf::A,sløv,topitur
601,stumpf::A,stump,topitur
602,schwer::A,tung,rëndë
603,schön::A,skøn,bukur
604,heiß::A,hed,nxehtë
605,warm::A,varm,ngrohtë
606,kalt::A,kold,ftohtë
607,kühl::A,kølig,freskët
608,frisch::A,frisk,pastër
609,feucht::A,fugtig,lagësht
610,nass::A,våd,lagur
611,trocken::A,tør,thatë
612,voll::A,fuld,plotë
613,leer::A,tom,bosh
614,leer::A,tom,zbrazët
615,offen::A,åben,hapur
616,geschlossen::A,lukket,mbyllur
617,sauber::A,ren,dëlirë
618,schmutzig::A,snavset,ndyrë
619,roh::A,rå,gjallë
620,reif::A,moden,arrirë
621,lecker::A,lækker,shijshëm
622,süß::A,sød,ëmbël
623,bitter::A,bitter,hidhur
624,sauer::A,sur,thartë
625,hell::A,lys,me dritë
626,dunkel::A,mørk,errët
627,schwarz::A,sort,i zi
628,weiß::A,hvid,bardhë
629,rot::A,rød,kuq
630,gelb::A,gul,verdhë
631,blau::A,blå,blu
632,blau::A,blå,kaltër
633,grün::A,grøn,blertë
634,grün::A,grøn,gjelbër
635,grau::A,grå,hirtë
636,grau::A,grå,bojë hiri
637,bunt::A,broget,shumëngjyrëshëm
638,billig::A,billig,lirë
639,teuer::A,dyr,shtrenjtë
640,wertvoll::A,værdifuld,çmuar
641,wertvoll::A,værdifuld,vlershëm
642,blind::A,blind,qorr
643,blind::A,blind,verbër
644,taub::A,døv,shurdhër
645,kräftig::A,kraftig,fuqishëm
646,stark::A,stærk,fortë
647,schwach::A,svag,dobët
648,fett::A,fed,dhjamur
649,schlank::A,slank,hollë
650,hübsch::A,køn,bukur
651,hübsch::A,køn,hijshëm
652,böse::A,ond,keq
653,böse::A,slem,keq
654,dumm::A,dum,teveqel
655,faul::A,doven,dembel
656,fleißig::A,flittig,zellshëm
657,geizig::A,gerrig,kurnac
658,geizig::A,gerrig,dorështrënguar
659,klug::A,klog,mençur
660,geschickt::A,dygtig,aftë
661,geschickt::A,behændig,aftë
662,lieb::A,rar,dashur
663,lustig::A,lystig,gëzuar
664,sanft::A,blid,butë
665,hungrig::A,sulten,uritur
666,krank::A,syg,sëmurë
667,nackt::A,nøgen,lakuriq
668,nackt::A,nøgen,zhveshur
669,traurig::A,bedrøvet,trishtuar
670,lebendig::A,levende,gjallë
671,gut::A,god,mirë
672,schlecht::A,dårlig,keq
673,richtig::A,rigtig,drejtë
674,schlimm::A,slem,keq
675,wahr::A,sand,vërtetë
676,alt::A,gammel,vjetër
677,neu::A,ny,i ri
678,ehemalig::A,forhenværende,dikurshëm
679,alt[Lebewesen]::A,gammel,plak
680,jung::A,ung,i ri
681,arm::A,fattig,varfër
682,arm::A,fattig,vobektë
683,reich::A,rig,pasur
684,bekannt::A,kendt,njohur
685,berühmt::A,berømt,famshëm
686,fremd::A,fremmed,huaj
687,verschieden::A,forskellig,ndryshëm
688,nah::A,nær,afërt
689,fern::A,fjern,largët
690,linker::A,venstre,majtë
691,rechter::A,højre,djathtë
692,anderer::A,anden,tjetër
693,erster::A,første,parë
694,zweiter::A,anden,dytë
695,dritter::A,tredje,i tretë
696,letzter::A,sidste,fundit
697,allein::ADV,alene,vetëm
698,auf einmal::ADV,på én gang,njëkohësisht
699,zusammen::ADV,sammen,bashkë
700,zusammen::ADV,sammen,së bashku
701,lange::ADV,længe,për një kohë të gjatë
702,plötzlich::ADV,pludselig,befas
703,sofort::ADV,straks,menjëherë
704,sofort::ADV,straks,aty për aty
705,später::ADV,senere,më vonë
706,jetzt::ADV,nu,tash
707,heute::ADV,i dag,sot
708,morgen::ADV,i morgen,nesër
709,bald::ADV,snart,shpejt
710,bald::ADV,snart,së shpejti
711,dann::ADV,så,pastaj
712,gestern::ADV,i går,dje
713,einst::ADV,engang,dikur
714,damals::ADV,dengang,atëherë
715,danach::ADV,derefter,mandej
716,vorher::ADV,før,më parë
717,vorher::ADV,forud,më parë
718,zuerst::ADV,først,së pari
719,einmal::ADV,en gang,njëherë
720,manchmal::ADV,sommetider,nganjëherë
721,oft::ADV,ofte,shpesh
722,immer::ADV,altid,përherë
723,immer::ADV,altid,gjithnjë
724,niemals::ADV,aldrig,kurrë
725,niemals::ADV,aldrig,asnjëherë
726,hier::ADV,her,këtu
727,hierhin::ADV,hid,knej
728,hierhin::ADV,herhen,knej
729,von hier::ADV,herfra,që këtej
730,von hier::ADV,herfra,prej këtej
731,dort::ADV,der,aty
732,dort::ADV,der,atje
733,dorthin::ADV,derhen,anej
734,geradeaus::ADV,lige ud,drejt
735,vorwärts::ADV,fremad,mbroth
736,vorwärts::ADV,fremad,përpara
737,rückwärts::ADV,baglæns,mbrapsht
738,zurück::ADV,tilbage,prapa
739,zurück::ADV,tilbage,mbrapsht
740,unten::ADV,nede,poshtë
741,unten::ADV,forneden,poshtë
742,hinab::ADV,ned,përposh
743,hinab::ADV,nedad,përposh
744,oben::ADV,oppe,lart
745,oben::ADV,oppe,sipër
746,oben::ADV,ovenpå,lart
747,oben::ADV,ovenpå,sipër
748,hinauf::ADV,op,lart
749,hinauf::ADV,op,përpjetë
750,hinauf::ADV,opad,lart
751,hinauf::ADV,opad,përpjetë
752,überall::ADV,overalt,kudo
753,nicht::ADV,ikke,s'
754,nicht::ADV,ikke,nuk
755,ein wenig::ADV,lidt,një tis
756,kaum::ADV,knap,mezi
757,kaum::ADV,næppe,mezi
758,sehr::ADV,meget,fort
759,sehr::ADV,meget,shumë
760,so::ADV,så,ashtu
761,so::ADV,så,kështu
762,noch::ADV,endnu,ende
763,noch::ADV,endnu,akoma
764,nur::ADV,kun,vetëm
765,nur::ADV,bare,vetëm
766,schon::ADV,alt,tashmë
767,schon::ADV,allerede,tashmë
768,wieder::ADV,igen,përsëri
769,vergebens::ADV,forgæves,kot
770,vor::PRP,foran,para
771,vor::PRP,uden for,para
772,hinter::PRP,bag,prapa
773,hinter::PRP,bag,mbrapa
774,hinter::PRP,bagved,prapa
775,hinter::PRP,bagved,mbrapa
776,unter::PRP,under,nën
777,durch::PRP,gennem,nëpër
778,durch::PRP,igennem,nëpër
779,neben::PRP,ved siden af,pranë
780,neben::PRP,ved siden af,përbri
781,zwischen::PRP,mellem,midis
782,zwischen::PRP,mellem,ndërmjet
783,wegen::PRP,på grund af,për
784,dies::PRN,dette,ky
785,das::PRN,det,ky
786,alles::PRN,alt,gjithçka
787,ich::PRN,jeg,unë
788,du::PRN,du,ti
789,er::PRN,han,ai
790,wir::PRN,vi,ne
791,ihr::PRN,I,ju
792,sie::PRN,de,ata
793,was::FPRN,hvad,ç'
794,was::FPRN,hvad,çfarë
795,wer::FPRN,hvem,kush
796,wo::FADV,hvor,ku
797,wohin::FADV,hvorhen,për ku
798,wie::FADV,hvordan,si
799,warum::FADV,hvorfor,pse
800,warum::FADV,hvorfor,përse
801,wieviel::FNUM,hvor meget,sa
802,eins::NUM,én,një
803,zwei::NUM,to,dy
804,drei::NUM,tre,tre
805,vier::NUM,fire,katër
806,fünf::NUM,fem,pesë
807,sechs::NUM,seks,gjashtë
808,sieben::NUM,syv,shtatë
809,acht::NUM,otte,tetë
810,neun::NUM,ni,nëntë
811,zehn::NUM,ti,dhjetë
812,elf::NUM,elleve,njëmbëdhjetë
813,zwölf::NUM,tolv,dymbëdhjetë
814,zwanzig::NUM,tyve,njëzet
815,dreißig::NUM,tredive,tridhjetë
816,vierzig::NUM,fyrre,dyzet
817,vierzig::NUM,fyrretyve,dyzet
818,fünfzig::NUM,halvtreds,pesëdhjetë
819,sechzig::NUM,tres,gjashtëdhjetë
820,siebzig::NUM,halvfjerds,shtatëdhjetë
821,achtzig::NUM,firs,tetëdhjetë
822,neunzig::NUM,halvfems,nëntëdhjetë
823,hundert::NUM,hundrede,qind
824,tausend::NUM,tusind,mijë
825,und::CNJ,og,e
826,und::CNJ,og,dhe
827,oder::CNJ,eller,a
828,oder::CNJ,eller,apo
