,Concept_ID,te,ml
223,Wunsch::N,కోరిక,ആഗ്രഹം
224,Lust::N,కోరిక,ആഗ്രഹം
225,Geist::N,ఆత్మ,ചുറുചുറുക്ക്
226,Gedanke::N,ఆలోచన,ചിന്ത
227,Gedächtnis::N,జ్ఞాపకము,ഓർമ്മശക്തി
228,Verstand::N,మనస్సు,മനസ്സ്
229,Sinn::N,అర్థము,അർത്ഥം
230,Grund::N,కారణము,കാരണം
231,Wahrheit::N,సత్యము,സത്യം
232,Gespräch::N,పంభాషణ,സല്ലാപം
233,Märchen::N,అద్భుతకథ,യക്ഷിക്കഥ
234,Erzählung::N,కథ,കഥ
235,Nachricht::N,వార్త,സന്ദേശം
236,Neuigkeit::N,వార్త,വാർത്ത
237,Name::N,పేరు,പേര്
238,Rätsel::N,చిక్కు,പ്രഹേളിക
239,Rede::N,ఉపన్యాసము,സംസാരം
240,Sprache::N,భాష,ഭാഷ
241,Stimme::N,కంరథ్సని,സ്വരം
242,Wort::N,మాట,വാക്ക്
243,Zeichen::N,గుర్తు,സംജ്ഞ
244,Ruf::N,పిలువు,വിളി
245,Lärm::N,సందడి,ആരവം
246,Laut::N,ధ్వని,ശബ്ദം
247,Ton::N,స్వరము,സ്വരഭേദം
248,Lied::N,పాట,പാട്ട്
249,Ruhe::N,గాలిలేమి,നിശ്ചലത
250,Leute::N,జనులు,ജനങ്ങൾ
251,Volk::N,జాతి,രാഷ്ടം
252,Arbeit::N,పని,ജോലി
253,Gast::N,అతిధి,അതിലി
254,Geschenk::N,దానము,സമ്മാനം
255,Spiel::N,ఆట,കളി
256,Gesellschaft::N,జట్టు,കൂട്ടായ്മ
257,Hilfe::N,సాహాయ్యము,സഹായം
258,Freund::N,స్నేహితుడు,സുഹൃത്ത്
259,Kamerad::N,చెలికాడు,കൂട്ടാളി
260,Angelegenheit::N,విషయము,കാര്യം
261,Anzahl::N,లెక్క,എണ്ണം
262,Art::N,జాతి,തരം
263,Stück::N,తునుక,കഷണം
264,Teil::N,భాగము,ഭാഗം
265,Hälfte::N,సగము,പകുതി
266,Kreis::N,వృత్తము,വൃത്തം
267,Kreuz::N,సిలువ,കുരിശടയാളം
268,Linie::N,గీత,വര
269,Linie::N,గీత,രേഖ
270,Strich::N,గీత,പക്ഷാഘാതം
271,Abstand::N,సందు,വിടവ്
272,Entfernung::N,దూరము,അകലം
273,Gegend::N,విస్తీర్ణము,പ്രദേശം
274,Platz::N,ఎడము,ഇടം
275,Ort::N,స్థలము,സ്ഥലം
276,Seite::N,ప్రక్క,വശം
277,Mitte::N,నడిమి,മധ്യസ്ഥാനം
278,Gegenstand::N,పద్దు,സാധനം
279,Sache::N,వస్తువు,വസ്തു
280,Rand::N,అంచు,തൊങ്ങൽ
281,Kante::N,అంచు,അറ്റം
282,Ecke::N,మూల,മൂല
283,Spitze::N,మొన,അഗ്രം
284,Ende::N,కొన,അവസാനം
285,Loch::N,రంధ్రము,ദ്വാരം
286,Winkel::N,కోణము,കോൺ
287,Muster::N,మాదిరి,ക്രമം
288,Größe::N,పరిమాణము,വലുപ്പം
289,Länge::N,పొడుగు,നീളം
290,Höhe::N,పొడుగు,ഉയരം
291,Gewicht::N,భారము,കട്ടി
292,Menge::N,మొత్తము,അളവ്
293,Haufen::N,రాశి,കൂമ്പാരം
294,Reihe::N,వరుస,വരി
295,Boot::N,పడవ,ബോട്ട്
296,Ruder::N,అడక,പങ്കായം
297,Schlitten::N,సరవండ్లు,ഉരുളില്ലാവണ്ടി
298,Ski::N,స్కీ,ഹിമപാദുകം
299,Lagerfeuer::N,నెగడు,തീ
300,Last::N,బరువు,ഭാരം
301,Gang::N,నడక,നടത്തം
302,Schritt::N,అడుగు,ചുവട്
303,Norden::N,ఉత్తరదిక్కు,വടക്ക്
304,Süden::N,దక్షిణము,തെക്ക്
305,Westen::N,పడమర,പടിഞ്ഞാറ്
306,Osten::N,తూర్పు,കിഴക്ക്
307,Holz::N,కొయ్య,തടി
308,Brett::N,పలక,ബോർഡ്
309,Platte::N,పలక,തകിട്
310,Stütze::N,వాల్సేడ్లు,താങ്ങ്
311,Stange::N,స్తంభము,കമ്പ്
312,Stock::N,కఱ్ఱ,വടി
313,Stab::N,కఱ్ఱ,കുറുവടി
314,Rohr::N,గొట్టము,കുഴൽ
315,Haus::N,ఇల్లు,വീട്
316,Heim::N,స్వగృహము,വീട്
317,Ofen::N,పొయ్యి,സ്റ്റൌ
318,Fußboden::N,నేల,തറ
319,Tisch::N,మేజా,മേശ
320,Stuhl::N,కుర్చీ,കസേര
321,Wiege::N,ఉయ్యాల,തൊട്ടിൽ
322,Bett::N,పడక,കിടക്ക
323,Bett::N,మంచం,കിടക്ക
324,Regal::N,అటక,ഷെൽഫ്
325,Kiste::N,వెట్టె,പെട്ടി
326,Fenster::N,కిటికి,ജനൽ
327,Tür::N,ద్వారము,വാതിൽ
328,Tor::N,ద్వారము,കവാടം
329,Zaun::N,కంచె,വേലി
330,Dach::N,ఇంటివైకప్పు,മേൽക്കുര
331,Leiter::N,నిచ్చెన,ഏണി
332,Besen::N,చీపురుకట్ట,ചൂല്
333,Spaten::N,పాఱ,തൂമ്പ
334,Schaufel::N,పాఱ,തൂമ്പ
335,Gabel::N,ముండ్లగరిటె,മുൾക്കത്തി
336,Löffel::N,గరిటె,സ്പൂൺ
337,Messer::N,కత్తి,കത്തി
338,Nagel::N,మేకు,ആണി
339,Netz::N,వల,വല
340,Haken::N,కొక్కెము,കൊളുത്ത്
341,Griff::N,పిడి,കൈപ്പിടി
342,Schloss::N,తాళము,പൂട്ട്
343,Bild::N,చిత్రము,ചിത്രം
344,Figur::N,రూపము,കണക്ക്
345,Puppe::N,బొమ్మ,പാവ
346,Beutel::N,సంచి,ബാഗ്
347,Bündel::N,మూట,കെട്ട്
348,Tasche::N,సంచి,ബാഗ്
349,Eimer::N,చేద,ബക്കറ്റ്
350,Deckel::N,మూత,ഉറ
351,Geschirr::N,వంటకాలు,പിഞ്ഞാണം
352,Sack::N,గోనెసంచి,ചാക്ക്
353,Tasse::N,గిన్నె,കപ്പ്
354,Topf::N,కుండ,പാത്രം
355,Kessel::N,నీరుకాచుపాత్ర,കെറ്റ്ല്
356,Essen::N,ఆహారము,ആഹാരസമയം
357,Nahrung::N,ఆహారము,ഭക്ഷണം
358,Speise::N,ఆహారము,ഡിഷ്
359,Fleisch::N,మాంసము,മാംസം
360,Getreide::N,ధాన్యము,ചോളം
361,Brei::N,గుజ్జు,കഞ്ഞി
362,Brot::N,రొట్టె,റോട്ടി
363,Scheibe::N,బద్ద,തുണ്ട്
364,Fett::N,క్రొవ్వు,കൊഴുപ്പ്
365,Butter::N,వెన్న,വെണ്ണ
366,Öl::N,నూనె,എണ്ണ
367,Salz::N,ఉప్పు,ഉപ്പ്
368,Suppe::N,చారు,സൂപ്പ്
369,Honig::N,తెనె,തേൻ
370,Milch::N,పాలు,പാൽ
371,Tee::N,తేనీరు,ചായ
372,Leder::N,బాగుచేసివతోలు,തുകൽ
373,Wolle::N,ఉన్ని,കമ്പിളി
374,Stoff::N,బట్ట,തുണി
375,Nadel::N,సూది,സൂചി
376,Faden::N,దారము,നൂല്
377,Knopf::N,బొత్తాము,ബട്ടൺ
378,Knoten::N,ముడి,കുരുക്ക്
379,Farbe::N,రంగు,പെയിൻറ്
380,Kleidung::N,బట్టలు,വസ്ത്രങ്ങൾ
381,Hemd::N,చొక్కాయ,ഷർട്ട്
382,Kragen::N,మాల,കുപ്പായക്കഴുത്ത്
383,Ärmel::N,చొక్కాయచెయ్యి,കുപ്പായക്കൈ
384,Hose::N,ఇజారు,ട്രൌസർ
385,Gürtel::N,పటకా,ബെൽറ്റ്
386,Mütze::N,టోపి,തൊപ്പി
387,Schuh::N,పాదరక్ష,ഷൂ
388,Stiefel::N,బూటు,ബൂട്ട്
389,Ring::N,ఉంగరము,മോതിരം
390,Band::N,నాడా,റിബൺ
391,Kamm::N,దువ్వెన,ചീപ്പ്
392,Spiegel::N,అద్దము,കണ്ണാടി
393,Riemen::N,వాడా,സ്ട്രാപ്പ്
394,Schnur::N,దారము,ചരട്
395,Leine::N,వారు,കെട്ടാനുള്ള തോൽവാർ
396,Decke::N,కంబళి,പുതപ്പ്
397,Kissen::N,తలగడ,തലയിണ
398,Tuch::N,బట్ట,സ്കാർഫ്
399,Handtuch::N,తువాలు,തോർത്ത്
400,Kraft::N,బలము,ശക്തി
401,Stärke::N,శక్తి,ശക്തി
402,Gesundheit::N,ఆరోగ్యము,ആരോഗ്യം
403,Krankheit::N,రోగము,അസുഖം
404,Schmerz::N,నొప్పి,വേദന
405,Wunde::N,గాయము,മുറിവ്
406,Fieber::N,జ్వరము,പനി
407,Arznei::N,మందు,മരുന്ന്
408,Brücke::N,వంతెన,പാലം
409,Brunnen::N,బావి,കിണർ
410,Brunnen::N,కూపము,കിണർ
411,Brunnen::N,నుయ్యి,കിണർ
412,Weide::N,పచ్చికబయలు,മേച്ചൽ
413,Pfad::N,కాలిత్రోవ,വഴി
414,Weg::N,మార్గము,വഴി
415,Straße::N,బాట,റോഡ്
416,Dorf::N,గ్రామము,ഗ്രാമം
417,Stadt::N,పట్టణము,നഗരം
418,Brief::N,జాబు,കത്ത്
419,Buch::N,పుస్తకము,പുസ്തകം
420,Buchstabe::N,అక్షరము,അക്ഷരം
421,Zeitung::N,వార్తాపత్రిక,വർത്തമാനപത്രം
422,Leben::N,ప్రాణము,ജീവൻ
423,Tod::N,మరణము,മരണം
424,Grab::N,సమాధి,ശവക്കുഴി
425,Kirche::N,క్రెస్తవులగుడి,പള്ളി
426,Sünde::N,పాపము,പാപം
427,Gott::N,దేవుడు,ദൈവം
428,Arbeiter::N,పనిపాటుచేశేవాడు,ജോലിക്കാരൻ
429,Chef::N,యజమానుడు,മേധാവി
430,Meister::N,కళాకారుడు,യജമാനൻ
431,Arzt::N,వైద్యుడు,ഡോക്ടർ
432,Lehrer::N,ఉపాధ్యాయుడు,അധ്യാപകൻ
433,Geld::N,ద్రవ్యము,പണം
434,Geschäft::N,వ్యాపారము,ബിസിനസ്
435,Laden::N,అంగడి,കട
436,Preis::N,వెల,വില
437,Ware::N,సరకులు,ചരക്ക്
438,Nutzen::N,ప్రయోజనము,ലാഭം
439,Reichtum::N,ధనము,ധനം
440,Welt::N,ప్రపంచము,ലോകം
441,Land::N,దేశము,രാജ്യം
442,Staat::N,రాజ్యము,രാജ്യം
443,König::N,రాజు,രാജാവ്
444,Macht::N,అధికారము,അധികാരം
445,Grenze::N,సరిహద్దు,അതിർത്തി
446,Krieg::N,యుద్ధము,യുദ്ധം
447,Feind::N,శత్రువు,ശത്രു
448,Gewalt::N,దౌర్జన్యము,അക്രമം
449,Kampf::N,పోట్లాట,പോരാട്ടം
450,Bogen[Waffe]::N,విల్లు,വില്ല്
451,Pfeil::N,బాణము,അമ്പ്
452,Gewehr::N,తుపాకి,തോക്ക്
453,Fehler::N,తప్ప,പിശക്
454,Lüge::N,అసత్యము,കള്ളം
455,Schaden::N,నష్టము,കേടുപാട്
456,Unglück::N,దురదృష్టము,ദൌർഭാഗ്യം
457,Schuld::N,తప్పు,തെറ്റ്
458,Alter::N,వయస్సు,വയസ്സ്
459,Schluss::N,ముగింపు,നിഗമനം
460,Zeit::N,కాలము,സമയം
461,Tag::N,దినము,ദിവസം
462,Morgen::N,ఉదయము,പ്രഭാതം
463,Mittag::N,మధ్యాహ్నము,ഉച്ച
464,Abend::N,సాయంకాలము,സായാഹ്നം
465,Nacht::N,రత్రి,രാത്രി
466,Woche::N,వారము,ആഴ്ച
467,Monat::N,నెల,മാസം
468,Jahr::N,సంవత్సరము,വർഷം
469,Frühling::N,వసంతకాలము,വസന്തം
470,Sommer::N,వేసవికాము,വേനൽ
471,Herbst::N,ఆకురాలుకాలము,ശരത്കാലം
472,Winter::N,శీతకాలము,ശൈത്യം
473,Januar::N,జనవరి,ജനുവരി
474,Februar::N,ఫిబ్రవరి,ഫെബ്രുവരി
475,März::N,మార్చి,മാർച്ച്
476,April::N,ఏప్రిలు,ഏപ്രിൾ മാസം
477,Mai::N,మే,മെയ് മാസം
478,Juni::N,జూన్,ജൂൺ
479,Juli::N,జూలై,ജൂലൈ
480,August::N,ఆగస్టు,ആഗസ്റ്റ്
481,September::N,సెప్ఠెంబరు,സെപ്തംബർ
482,Oktober::N,అక్టోబరు,ഒക്ടോബർ
483,November::N,నవంబరు,നവംബർ
484,Dezember::N,డిసెంబర్,ഡിസംബർ
485,Montag::N,సోమవారము,തിങ്കളാഴ്ച
486,Dienstag::N,మంగళవారము,ചൊവ്വ
487,Mittwoch::N,బుధవారము,ബുധനാഴ്ച
488,Donnerstag::N,గురువారము,വ്യാഴാഴ്ച
489,Freitag::N,శుక్రవారము,വെള്ളിയാഴ്ച
490,Samstag::N,శనివారము,ശനിയാഴ്ച
491,Sonntag::N,ఆదివారము,ഞായറാഴ്ച
492,groß::A,గొప్పైన,വലിയ
493,klein::A,చిన్న,ചെറിയ
494,lang::A,పొడుగాటి,നീണ്ട
495,kurz::A,పొట్టి,ഹ്രസ്വമായ
496,breit::A,వెడల్పైన,വിശാലമായ
497,schmal::A,ఇఱుకైన,ഇടുങ്ങിയ
498,dicht::A,దట్టమైన,നിബിഡമായ
499,dick[Gegenstand]::A,దట్టమైన,തടിച്ച
500,dünn::A,పలుచని,മെലിഞ്ഞ
501,fein::A,నాజాకైన,നേർത്ത
502,fest::A,దృడమైవ,ഉറപ്പുള്ള
503,flach::A,చదువైన,പരന്ന
504,glatt::A,నున్నని,മിനുസമുള്ള
505,hart::A,కఠినమైన,കട്ടിയുള്ള
506,weich::A,మృదువైన,മൃദുവായ
507,rund::A,గుండ్రని,വട്ടത്തിലുള്ള
508,spitz::A,మొనగల,മുനയുള്ള
509,scharf::A,పదనైన,മൂർച്ചയുള്ള
510,stumpf::A,వాడిలేని,തുറന്നടിക്കുന്ന
511,schwer::A,బరువ్తెన,ഭാരമുള്ള
512,schön::A,సుందరమైన,മനോഹരമായ
513,heiß::A,వేడియైన,ചൂടുള്ള
514,warm::A,వెచ్చని,ചൂടുള്ള
515,kalt::A,చల్లని,തണുത്ത
516,kühl::A,చల్లని,തണുപ്പുള്ള
517,frisch::A,తాజాయైన,ശുദ്ധമായ
518,feucht::A,చెమ్మగానున్న,ഈറനുള്ള
519,nass::A,తడిగామన్న,നനഞ്ഞ
520,trocken::A,ఎండిన,വരണ്ട
521,voll::A,నిండు,നിറയെ
522,leer::A,శూన్యమైన,ഒഴിഞ്ഞ
523,offen::A,తెఱచియున్న,തുറന്ന
524,geschlossen::A,మూసిన,അടച്ച
525,sauber::A,పరిశుద్ధమైన,വൃത്തിയുള്ള
526,schmutzig::A,ముఱికియైన,അഴുക്കുനിറഞ്ഞ
527,roh::A,పచ్చి,അസംസ്കൃതമായ
528,reif::A,పండివ,പഴുത്ത
529,lecker::A,రుచి గల,രുചികരമായ
530,süß::A,తియ్యని,മധുരമുള്ള
531,bitter::A,చేదైన,കടുത്ത
532,sauer::A,పుల్లని,പുളിപ്പുള്ള
533,hell::A,కాంతిగల,ജ്വലിക്കുന്ന
534,dunkel::A,చీకటియైన,ഇരുണ്ട
535,schwarz::A,నల్లని,കറുത്ത
536,weiß::A,తెలుపు,വെളുത്ത
537,rot::A,ఎఱ్ఱని,ചുവന്ന
538,gelb::A,పసుపు పచ్చ,മഞ്ഞനിറമായ
539,blau::A,నీలవర్ణము,നീലനിറമുള്ള
540,grün::A,ఆకుపచ్చని,പച്ചനിറമുള്ള
541,grau::A,నెరిసిన,ചാരനിറത്തിലുള്ള
542,bunt::A,రంగేలీ,വർണ്ണശബളമായ
543,billig::A,చౌకయైన,വിലകുറഞ്ഞ
544,teuer::A,వెలపొడుగైన,ചെലവേറിയ
545,wertvoll::A,విలుప్తెన,വിലപിടിപ്പുള്ള
546,blind::A,గ్రుడ్డి,അന്ധനായ
547,taub::A,చెవిటి,കേൾവിക്കുറവുള്ള
548,kräftig::A,శక్తి గల,ശക്തിയുള്ള
549,stark::A,బలమైన,ബലമുള്ള
550,schwach::A,బలహీనమైన,ക്ഷീണിച്ച
551,fett::A,క్రొవ్విన,കൊഴുപ്പുള്ള
552,schlank::A,సన్నని,മെലിഞ്ഞ
553,hübsch::A,సాగప్తెన,മനോഹരമായ
554,böse::A,చెడ్డ,പാപിയായ
555,dumm::A,తెలివిలేని,വിവരംകെട്ട
556,faul::A,సోమరియైన,അലസനായ
557,fleißig::A,శ్రద్దగల,അദ്ധ്വാനശീലമുള്ള
558,geizig::A,పిసినారియైన,പിശുക്കനായ
559,klug::A,తెలివిగల,ബുദ്ധിസാമർഥ്യമുള്ള
560,geschickt::A,నిపుణతగల,പ്രതിഭാശാലി
561,lieb::A,ప్రియమైన,പ്രിയപ്പെട്ട
562,lustig::A,ఉల్లాసము గల,ആനന്ദകരമായ
563,sanft::A,సాధువైన,സൌമ്യമായ
