,Concept_ID,os,pt
63,Geruch::N,смаг,cheiro
64,Schlaf::N,хуыссӕг,sono
65,Traum::N,фын,sonho
66,Himmel::N,арв,céu
67,Himmel::N,уӕларв,céu
68,Sonne::N,хур,sol
69,Mond::N,мӕй,lua
70,Stern::N,стъалы,estrela
71,Luft::N,уӕлдӕф,ar
72,Wind::N,дымгӕ,vento
73,Welle::N,уылӕн,onda
74,Wasser::N,дон,água
75,Stein::N,дур,pedra
76,Boden::N,зӕхх,solo
77,Erde::N,сыджыт,terra
78,Staub::N,рыг,pó
79,Rauch::N,фӕздӕг,fumo
80,Funke::N,цӕхӕр,faísca
81,Funke::N,цӕхӕр,centelha
82,Feuer::N,зынг,fogo
83,Licht::N,рухс,luz
84,Schatten::N,аууон,sombra
85,Wetter::N,боныхъӕд,tempo
86,Nebel::N,мигъ,nevoeiro
87,Wolke::N,ӕврагъ,nuvem
88,Regen::N,уарын,chuva
89,Schnee::N,мит,neve
90,Eis::N,их,gelo
91,Frost::N,ихæн,gelo
92,Frost::N,ихæн,geada
93,Kälte::N,уазал,frio
94,Hitze::N,ӕнтӕф,ardor
95,Raureif::N,халас,geada
96,Regenbogen::N,арвырон,arco-iris
97,Regenbogen::N,арвырдын,arco-iris
98,Donner::N,æрвнæрын,trovão
99,Strömung::N,цыд,corrente
100,Tropfen::N,æртах,gota
101,Schaum::N,фынк,espuma
102,Schmutz::N,цъыф,sujidade
103,Schmutz::N,цъыф,imundície
104,See::N,цад,lago
105,Sumpf::N,цъыфдзаст,charco
106,Sumpf::N,цъыфдзаст,pântano
107,Moor::N,цъыфдзаст,pântano
108,Wiese::N,уыгӕрдӕн,prado
109,Wald::N,хъӕд,bosque
110,Wald::N,хъӕд,floresta
111,Hügel::N,обау,colina
112,Hügel::N,къуыбыр,colina
113,Anhöhe::N,уæлвæз,alto
114,Anhöhe::N,уæлвæз,outeiro
115,Anhöhe::N,уæлхох,alto
116,Anhöhe::N,уæлхох,outeiro
117,Berg::N,хох,monte
118,Berg::N,хох,montanha
119,Gipfel::N,цъупп,pico
120,Höhle::N,лӕгӕт,caverna
121,Abhang::N,къул,encosta
122,Quelle::N,суадон,fonte
123,Bach::N,мӕсчъыдон,regato
124,Bach::N,мӕсчъыдон,ribeiro
125,Fluss::N,дон,rio
126,Fluss::N,цӕугӕдон,rio
127,Ufer::N,был,beira
128,Küste::N,донбыл,costa
129,Festland::N,сурзæхх,terra firme
130,Meer::N,денджыз,mar
131,Bucht::N,донбакæлæн,baía
132,Insel::N,сакъадах,ilha
133,Blume::N,дидинӕг,flor
134,Gras::N,кӕрдӕг,erva
135,Wurzel::N,уидаг,raiz
136,Baum::N,бӕлас,árvore
137,Stamm::N,хӕтӕл,tronco
138,Rinde::N,цъар,casca
139,Ast::N,арх,ramo
140,Zweig::N,къалиу,galho
141,Blatt::N,сыф,folha
142,Birke::N,бæрз,bétula
143,Kiefer[Baum]::N,нӕзы,pinheiro
144,Weide[Baum]::N,хӕрис,salgueiro
145,Tanne::N,наз,abeto
146,Horn::N,сыкъа,corno
147,Horn::N,сыкъа,chifre
148,Feder::N,сис,pena
149,Fell::N,царм,pele
150,Flügel::N,базыр,asa
151,Klaue::N,ных,pata
152,Kralle::N,дзӕмбы,unha
153,Kralle::N,дзӕмбы,garra
154,Schwanz::N,къӕдзил,rabo
155,Schwanz::N,къӕдзил,cauda
156,Ei::N,айк,ovo
157,Nest::N,ахстон,ninho
158,Bau::N,хуынкъ,toca
159,Bau::N,хуынкъ,covil
160,Tier::N,сырд,animal
161,Tier::N,цӕрӕгой,animal
162,Herde::N,дзуг,rebanho
163,Herde::N,рӕгъау,rebanho
164,Kuh::N,хъуг,vaca
165,Bulle::N,гал,touro
166,Pferd::N,бӕх,cavalo
167,Schaf::N,фыс,ovelha
168,Schwein::N,хуы,porco
169,Hund::N,куыдз,cão
170,Katze::N,гӕды,gata
171,Bär::N,арс,urso
172,Eichhörnchen::N,æхсæрæг,esquilo
173,Elch::N,цæгатаг саг,alce
174,Fuchs::N,рувас,raposa
175,Hase::N,тæрхъус,lebre
176,Maus::N,мыст,rato
177,Wolf::N,бирӕгъ,lobo
178,Vogel::N,цъиу,ave
179,Vogel::N,цъиу,pássaro
180,Vogel::N,маргъ,ave
181,Vogel::N,маргъ,pássaro
182,Schwarm::N,бал,bando
183,Schwarm::N,бал,enxame
184,Huhn::N,карк,galinha
185,Hahn::N,уасӕг,galo
186,Gans::N,хъаз,ganso
187,Adler::N,цӕргӕс,águia
188,Ente::N,ацц,pata
189,Eule::N, уыг,mocho
190,Eule::N, уыг,coruja
191,Eule::N,сидахъ,mocho
192,Eule::N,сидахъ,coruja
193,Kranich::N,зырнæг,grou
194,Kranich::N,хърихъупп,grou
195,Krähe::N,халон,gralha
196,Kuckuck::N,гаккук,cuco
197,Schwan::N,доныхъаз,cisne
198,Fisch::N,кӕсаг,peixe
199,Barsch::N,окунь,perca
200,Hecht::N,хихор кӕсаг,lúcio
201,Schlange[Tier]::N,калм,serpente
202,Wurm::N,зулкъ,verme
203,Wurm::N,къуыдыргалм,verme
204,Spinne::N,хӕлуарӕг,aranha
205,Ameise::N,мæлдзыг,formiga
206,Laus::N,сыст,piolho
207,Mücke::N,къогъо,mosquito
208,Fliege::N,бындз,mosca
209,Schmetterling::N,гæлæбу,borboleta
210,Beere::N,гагадыргъ,bago
211,Apfel::N,фӕткъуы,maçã
212,Pilz::N,зокъо,fungo
213,Pilz::N,зокъо,cogumelo
214,Pilz::N,къозо,fungo
215,Pilz::N,къозо,cogumelo
216,Zwiebel::N,хъӕдындз,cebola
217,Saat::N,тауинаг,sementeira
218,Saat::N,мыггаг,sementeira
219,Korn::N,мыггаг,grão
220,Korn::N,тауинаг,grão
221,Heu::N,хос,feno
222,Schale::N,цъар,casca
223,Grube::N,урм,cova
224,Grube::N,урм,fossa
225,Grube::N,къахт,cova
226,Grube::N,къахт,fossa
227,Grube::N,дзыхъхъ,cova
228,Grube::N,дзыхъхъ,fossa
229,Falle::N,цъысым,armadilha
230,Falle::N,къӕппӕг,armadilha
231,Schlinge::N,цасм,laço
232,Spur::N,фæд,pista
233,Spur::N,фæд,vestígio
234,Asche::N,фӕнык,cinza
235,Asche::N,ӕртхутӕг,cinza
236,Dreck::N,цъыф,sujidade
237,Eisen::N,ӕфсӕйнаг,ferro
238,Gold::N,сыгъзӕрин,ouro
239,Silber::N,ӕвзист,prata
240,Kohle::N,ӕвзалы,carvão
241,Glas::N,авг,vidro
242,Lehm::N,ӕлыг,barro
243,Lehm::N,ӕлыг,argila
244,Sand::N,змис,areia
245,Mensch::N,лӕг,homem
246,Mensch::N,лӕг,pessoa
247,Mensch::N,адӕймаг,homem
248,Mensch::N,адӕймаг,pessoa
249,Mensch::N,удгоймаг,homem
250,Mensch::N,удгоймаг,pessoa
251,Mann::N,лӕг,homem
252,Mann::N,нӕлгоймаг,homem
253,Frau::N,сылгоймаг,mulher
254,Kind::N,сывӕллон,filho
255,Kind::N,сывӕллон,criança
256,Junge::N,лӕппу,rapaz
257,Junge::N,лӕппу,menino
258,Mädchen::N,чызг,menina
259,Mädchen::N,чызг,rapariga
260,Familie::N,бинонтæ,família
261,Großvater::N,фыдыфыд,avô
262,Großvater::N,мадыфыд,avô
263,Großmutter::N,фыды мад,avó
264,Großmutter::N,мады мад,avó
265,Eltern::N,ныййарджытæ,pais
266,Vater::N,фыд,pai
267,Mutter::N,мад,mãe
268,Sohn::N,фырт,filho
269,Tochter::N,чызг,filha
270,Bruder::N,ӕфсымӕр,irmão
271,Schwester::N,хо,irmã
272,Onkel::N,фыдыфсымӕр,tio
273,Tante::N,мадыхо,tia
274,Ehemann::N,мой,esposo
275,Ehefrau::N,ус,esposa
276,Freude::N,цин,prazer
277,Freude::N,цин,alegria
278,Freude::N,циндзинад,prazer
279,Freude::N,циндзинад,alegria
280,Gelächter::N,худын,risada
281,Gelächter::N,худын,gargalhada
282,Gelächter::N,худт,risada
283,Gelächter::N,худт,gargalhada
284,Gelächter::N,худæг,risada
285,Gelächter::N,худæг,gargalhada
286,Glück::N,амонд,felicidade
287,Kummer::N,хъыг,aflição
288,Kummer::N,хъыг,desgosto
289,Wunsch::N,бӕллиц,desejo
290,Lust::N,монц,vontade
291,Geist::N,уд,mente
292,Geist::N,уд,espírito
293,Gedanke::N,хъуыды,ideia
294,Gedanke::N,хъуыды,pensamento
295,Gedächtnis::N,мысæн,memória
296,Gedächtnis::N,мысын,memória
297,Gedächtnis::N,зæрдылдарын,memória
298,Verstand::N,зонд,razão
299,Verstand::N,зонд,inteligência
300,Sinn::N,нысаниуæг,sentido
301,Sinn::N,нысаниуæг,significado
302,Grund::N,ӕфсон,causa
303,Grund::N,ӕфсон,motivo
304,Wahrheit::N,æцæг,verdade
305,Gespräch::N,ныхас,conversa
306,Gespräch::N,ныхас,conversação
307,Märchen::N,аргъау,conto
308,Erzählung::N,радзырд,conto
309,Erzählung::N,радзырд,narrativa
310,Nachricht::N,уац,mensagem
311,Neuigkeit::N,хабар,notícia
312,Neuigkeit::N,хабар,novidade
313,Name::N,ном,nome
314,Rätsel::N,уыци-уыци,adivinha
315,Rätsel::N,базон-базон,adivinha
316,Rede::N,раныхас,oração
317,Rede::N,раныхас,discurso
318,Sprache::N,ӕвзаг,língua
319,Stimme::N,хъӕлӕс,voz
320,Wort::N,дзырд,palavra
321,Zeichen::N,нысан,marca
322,Ruf::N,сидт,grito
323,Ruf::N,сидт,chamada
324,Lärm::N,уынæр,ruído
325,Lärm::N,уынæр,barulho
326,Laut::N,зӕл,som
327,Laut::N,мыр,som
328,Ton::N,мыр,tom
329,Lied::N,зарӕг,canção
330,Ruhe::N,æнцой,calma
331,Ruhe::N,æнцой,silêncio
332,Leute::N,адӕм,gente
333,Leute::N,адӕм,pessoas
334,Volk::N,адӕм,povo
335,Volk::N,адӕм,nação
336,Arbeit::N,фӕллой,trabalho
337,Gast::N,уазӕг,hóspede
338,Gast::N,уазӕг,convidado
339,Geschenk::N,хуын,prenda
340,Geschenk::N,хуын,presente
341,Spiel::N,хъазт,jogo
342,Gesellschaft::N,дзыллæ,companhia
343,Gesellschaft::N,æхсæнад,companhia
344,Hilfe::N,æххуыс,ajuda
345,Hilfe::N,æххуыс,socorro
346,Hilfe::N,ахъаз,ajuda
347,Hilfe::N,ахъаз,socorro
348,Freund::N,лымӕн,amigo
349,Kamerad::N,ӕмбал,camarada
350,Angelegenheit::N,хъуыддаг,assunto
351,Anzahl::N,бӕрц,número
352,Anzahl::N,бӕрц,quantidade
353,Art::N,хуыз,tipo
354,Art::N,хуыз,espécie
355,Art::N,хуызад,tipo
356,Art::N,хуызад,espécie
357,Stück::N,кæрдих,pedaço
358,Stück::N,комдзаг,pedaço
359,Teil::N,хай,peça
360,Teil::N,хай,parte
361,Hälfte::N,æрдæг,metade
362,Hälfte::N,æмбис,metade
363,Kreis::N,зиллакк,círculo
364,Kreuz::N,дзуар,cruz
365,Linie::N,хахх,linha
366,Strich::N,хахх,traço
367,Abstand::N,æхсæнуат,distância
368,Entfernung::N,дæрддзæг,distância
369,Entfernung::N,дардцæг,distância
370,Gegend::N,ран,área
371,Gegend::N,ран,região
372,Platz::N,бууат,lugar
373,Ort::N,ран,sítio
374,Ort::N,бынат,sítio
375,Seite::N,фахс,lado
376,Mitte::N,астӕу,meio
377,Gegenstand::N,дзаума,objecto
378,Sache::N,дзаума,coisa
379,Rand::N,кӕрон,bordo
380,Rand::N,кӕрон,margem
381,Kante::N,фӕрск,borda
382,Kante::N,фӕрск,aresta
383,Ecke::N,тигъ,esquina
384,Ecke::N,фисын,esquina
385,Spitze::N,бырынкъ,ponta
386,Ende::N,кӕрон,cabo
387,Ende::N,кӕрон,extremo
388,Loch::N,хуынкъ,furo
389,Loch::N,хуынкъ,buraco
390,Winkel::N,къуым,canto
391,Winkel::N,къуым,ângulo
392,Muster::N,нывæфтыд,padrão
393,Muster::N,нывæфтыд,desenho
394,Muster::N,кæдзист,padrão
395,Muster::N,кæдзист,desenho
396,Größe::N,ас,tamanho
397,Länge::N,дӕргъ,comprimento
398,Höhe::N,бæрзонд,altura
399,Höhe::N,бæрзонд,altitude
400,Höhe::N,бæрзæнд,altura
401,Höhe::N,бæрзæнд,altitude
402,Höhe::N,бæрзонддзинад,altura
403,Höhe::N,бæрзонддзинад,altitude
404,Gewicht::N,уӕз,peso
405,Menge::N,бӕрц,quantidade
406,Haufen::N,кӕри,pilha
407,Reihe::N,рӕнхъ,fila
408,Boot::N,чема,barco
409,Ruder::N,къохар,remo
410,Schlitten::N,дзоныгъ,trenó
411,Ski::N,къахдзоныгътæ,esqui
412,Ski::N,лыжæтæ,esqui
413,Lagerfeuer::N,арт,fogueira
414,Last::N,уаргъ,carga
415,Gang::N,цыд,curso
416,Gang::N,цыд,caminhada
417,Schritt::N,санчъех,passo
418,Schritt::N,къахдзӕф,passo
419,Norden::N,цæгат,norte
420,Süden::N,хуссар,sul
421,Westen::N,ныгуылæн,oeste
422,Westen::N,ныгуылæн,ocidente
423,Osten::N,скæсæн,este
424,Osten::N,скæсæн,leste
425,Osten::N,скæсæн,oriente
426,Holz::N,хъӕдӕрмӕг,madeira
427,Brett::N,фæйнæг,tábua
428,Brett::N,фæйнæг,prancha
429,Platte::N,къӕй,laje
430,Platte::N,къӕй,chapa
431,Stütze::N,быцæу,apoio
432,Stütze::N,быцæу,suporte
433,Stange::N,хъил,vara
434,Stange::N,хъил,barra
435,Stock::N,лӕдзӕг,pau
436,Stock::N,лӕдзӕг,bengala
437,Stab::N,хъил,bastão
438,Rohr::N,хӕтӕл,cano
439,Haus::N,хӕдзар,casa
440,Heim::N,къона,lar
441,Heim::N,къона,casa
442,Ofen::N,пец,estufa
443,Ofen::N,пец,aquecedor
444,Fußboden::N,астӕрд,piso
445,Tisch::N,стъол,mesa
446,Stuhl::N,бандон,cadeira
447,Wiege::N,авдæн,berço
448,Bett::N,сынтӕг,cama
449,Regal::N,тӕрхӕг,estante
450,Regal::N,тӕрхӕг,prateleira
451,Regal::N,уӕлвӕйнӕг,estante
452,Regal::N,уӕлвӕйнӕг,prateleira
453,Kiste::N,асыкк,caixa
454,Fenster::N,рудзынг,janela
455,Fenster::N,фæрссаг,janela
456,Tür::N,дуар,porta
457,Tor::N,кулдуар,portão
458,Zaun::N,æмбонд,cerca
459,Zaun::N,æмбонд,vedação
460,Zaun::N,быру,cerca
461,Zaun::N,быру,vedação
462,Zaun::N,гæрæн,cerca
463,Zaun::N,гæрæн,vedação
464,Dach::N,уӕлхӕдзар,telhado
465,Leiter::N,асин,escada
466,Leiter::N,асин,escada móvel
467,Besen::N,уисой,vassoura
468,Spaten::N,бел,pá
469,Schaufel::N,æвгæнæн,pá
470,Schaufel::N,кæфой,pá
471,Gabel::N,вилкæ,garfo
472,Löffel::N,уидыг,colher
473,Messer::N,кард,faca
474,Nagel::N,зӕгӕл,cravo
475,Netz::N,хыз,rede
476,Haken::N,хæдз,gancho
477,Haken::N,хæбырæгъ,gancho
478,Griff::N,фистон,asa
479,Griff::N,фистон,cabo
480,Schloss::N,гуыдыр,fechadura
481,Bild::N,ныв,imagem
482,Figur::N,кæрдгæныв,figura
483,Puppe::N,чындз,boneca
484,Beutel::N,дзӕкъул,saco
485,Beutel::N,дзӕкъул,bolsa
486,Bündel::N,баст,fardo
487,Tasche::N,хызын,saco
488,Tasche::N,хызын,bolso
489,Tasche::N,дзæкъул,saco
490,Tasche::N,дзæкъул,bolso
491,Eimer::N,къæрта,balde
492,Eimer::N,чъыбыла,balde
493,Eimer::N,ведра,balde
494,Deckel::N,сæр,tampa
495,Deckel::N,æмбæрзæн,tampa
496,Geschirr::N,мигæнæн,louça
497,Geschirr::N,мигæнæнтæ,louça
498,Sack::N,голлаг,saca
499,Tasse::N,пиала,chávena
500,Tasse::N,къус,chávena
501,Topf::N,аг,tacho
502,Topf::N,аг,panela
503,Topf::N,чысыл аг,tacho
504,Topf::N,чысыл аг,panela
505,Kessel::N,аг,caldeira
506,Essen::N,хӕрд,refeição
507,Nahrung::N,хойраг,comida
508,Nahrung::N,хойраг,alimento
509,Speise::N,хӕринаг,prato
510,Fleisch::N,дзидза,carne
511,Fleisch::N,фыдызгъӕл,carne
512,Getreide::N,халсар,cereais
513,Brei::N,кас,puré
514,Brot::N,дзул,pão
515,Scheibe::N,къӕбӕр,fatia
516,Fett::N,сой,banha
517,Fett::N,сой,gordura
518,Butter::N,нӕлхӕ,manteiga
519,Öl::N,зети,azeite
520,Salz::N,цӕхх,sal
521,Suppe::N,бас,sopa
522,Suppe::N,бас,caldo
523,Honig::N,мыд,mel
524,Milch::N,ӕхсыр,leite
525,Tee::N,цай,chá
526,Leder::N,мæскуы,couro
527,Wolle::N,фӕсмын,lã
528,Stoff::N,хъуымац,pano
529,Stoff::N,хъуымац,tecido
530,Nadel::N,судзин,agulha
531,Faden::N,ӕндах,fio
532,Knopf::N,цӕппӕр,botão
533,Knoten::N,ӕлхынцъ,nó
534,Farbe::N,ахорæн,corante
535,Kleidung::N,дарӕс,roupa
536,Kleidung::N,дарӕс,vestuário
537,Hemd::N,хӕдон,camisa
538,Kragen::N,æфцæггот,gola
539,Ärmel::N,дыс,manga
540,Hose::N,хæлаф,calça
541,Hose::N,æддаг хæлаф,calça
542,Hose::N,салбар,calça
543,Gürtel::N,рон,cinto
544,Mütze::N,худ,boné
545,Mütze::N,худ,barrete
546,Schuh::N,басмахъ,sapato
547,Stiefel::N,цырыхъхъ,bota
548,Ring::N,къухдарӕн,anel
549,Band::N,лент,fita
550,Band::N,лент,faixa
551,Kamm::N,сӕрвасӕн,pente
552,Spiegel::N,айдæн,espelho
553,Spiegel::N,кæсæн,espelho
554,Riemen::N,гӕрз,correia
555,Schnur::N,бӕндӕн,corda
556,Schnur::N,бӕндӕн,cordel
557,Decke::N,хъӕццул,cobertor
558,Kissen::N,баз,almofada
559,Tuch::N,кæлмæрзæн,pano
560,Tuch::N,кæрдæн,pano
561,Handtuch::N,хисæрфæн,toalha
562,Kraft::N,тых,força
563,Kraft::N,хъомыс,força
564,Stärke::N,тых,força
565,Stärke::N,æхсар,força
566,Gesundheit::N,æнæниздзинад,saúde
567,Krankheit::N,низ,doença
568,Krankheit::N,низ,enfermidade
569,Krankheit::N,рын,doença
570,Krankheit::N,рын,enfermidade
571,Schmerz::N,рис,dor
572,Wunde::N,цӕф,chaga
573,Wunde::N,цӕф,ferida
574,Fieber::N,ризӕг,febre
575,Fieber::N,тӕфсӕг,febre
576,Arznei::N,хос,remédio
577,Brücke::N,хид,ponte
578,Brunnen::N,цъай,poço
579,Weide::N,хизæн,pastagem
580,Weide::N,хизæнуат,pastagem
581,Weide::N,сæрвæт,pastagem
582,Pfad::N,къахвæндаг,senda
583,Pfad::N,къахвæндаг,trilho
584,Pfad::N,къахвæд,senda
585,Pfad::N,къахвæд,trilho
586,Weg::N,фӕндаг,caminho
587,Straße::N,фӕндаг,via
588,Straße::N,фӕндаг,estrada
589,Dorf::N,хъӕу,aldeia
590,Stadt::N,сахар,cidade
591,Brief::N,фыстӕг,carta
592,Buch::N,чиныг,livro
593,Buchstabe::N,дамгъӕ,letra
594,Zeitung::N,газет,jornal
595,Leben::N,цард,vida
596,Leben::N,цӕрӕнбон,vida
597,Tod::N,мæлæт,morte
598,Tod::N,адзал,morte
599,Grab::N,ингӕн,túmulo
600,Grab::N,ингӕн,sepultura
601,Kirche::N,аргъуан,igreja
602,Sünde::N,тæригъæд,pecado
603,Gott::N,хуыцау,deus
604,Arbeiter::N,кусæг,operário
605,Arbeiter::N,кусæг,trabalhador
606,Chef::N,ӕмцег,chefe
607,Chef::N,ӕмцег,patrão
608,Meister::N,мастер,mestre
609,Meister::N,дæсны,mestre
610,Arzt::N,хосгæнæг,médico
611,Arzt::N,дохтыр,médico
612,Lehrer::N,ахуыргæнæг,professor
613,Geld::N,ӕхца,dinheiro
614,Geschäft::N,бизнес,negócio
615,Geschäft::N,хъуыддаг,negócio
616,Laden::N,дукани,loja
617,Preis::N,аргъ,preço
618,Ware::N,базайраг,mercadoria
619,Nutzen::N,пайда,proveito
620,Reichtum::N,хъæздыгдзинад,riqueza
621,Reichtum::N,исбон,riqueza
622,Reichtum::N,мулк,riqueza
623,Welt::N,дуне,mundo
624,Land::N,бӕстӕ,país
625,Staat::N,паддзахад,Estado
626,König::N,къарол,rei
627,Macht::N,хицаудзинад,poder
628,Macht::N,хицаудзинад,potência
629,Grenze::N,арӕн,fronteira
630,Krieg::N,хӕст,guerra
631,Feind::N,знаг,inimigo
632,Feind::N,фыдгул,inimigo
633,Feind::N,фыдзæрдæ,inimigo
634,Feind::N,сон,inimigo
635,Gewalt::N,тыхми,violência
636,Gewalt::N,тыхдзинад,violência
637,Kampf::N,хæст,luta
638,Kampf::N,хæст,combate
639,Kampf::N,хъæбысæйхæст,luta
640,Kampf::N,хъæбысæйхæст,combate
641,Kampf::N,тох,luta
642,Kampf::N,тох,combate
643,Bogen[Waffe]::N,ӕрдын,arco
644,Pfeil::N,фат,seta
645,Pfeil::N,фат,flecha
646,Gewehr::N,топп,espingarda
647,Fehler::N,рӕдыд,erro
648,Fehler::N,рӕдыд,falha
649,Lüge::N,мӕнг,mentira
650,Lüge::N,гӕдыдзинад,mentira
651,Schaden::N,зиан,dano
652,Schaden::N,зиан,estrago
653,Unglück::N,бæллæх,desgraça
654,Schuld::N,азым,culpa
655,Alter::N,кар,idade
656,Schluss::N,кæрон,fim
657,Zeit::N,рӕстӕг,tempo
658,Tag::N,бон,dia
659,Morgen::N,райсом,manhã
660,Mittag::N,æмбисбон,meio-dia
661,Abend::N,изӕр,noite
662,Abend::N,изӕр,tardinha
663,Nacht::N,ӕхсӕв,noite
664,Woche::N,къуыри,semana
665,Monat::N,мӕй,mês
666,Jahr::N,аз,ano
667,Jahr::N,афӕдз,ano
668,Frühling::N,уалдзæг,primavera
669,Sommer::N,сӕрд,verão
670,Herbst::N,фæззæг,outono
671,Winter::N,зымӕг,inverno
672,Januar::N,январь,Janeiro
673,Februar::N,февраль,Fevereiro
674,März::N,мартъи,Março
675,April::N,апрель,Abril
676,Mai::N,май,Maio
677,Juni::N,июнь,Junho
678,Juli::N,июль,Julho
679,August::N,август,Agosto
680,September::N,сентябрь,Setembro
681,Oktober::N,октябрь,Outubro
682,November::N,ноябрь,Novembro
683,Dezember::N,декабрь,Dezembro
684,Montag::N,къуырисæр,segunda-feira
685,Dienstag::N,дыццæг,terça-feira
686,Mittwoch::N,æртыццæг,quarta-feira
687,Donnerstag::N,цыппæрæм,quinta-feira
688,Freitag::N,майрæмбон,sexta-feira
689,Samstag::N,сабат,sábado
690,Sonntag::N,хуыцаубон,domingo
691,groß::A,дынджыр,grande
692,klein::A,гыццыл,pequeno
693,lang::A,даргъ,comprido
694,kurz::A,цыбыр,curto
695,breit::A,фӕтӕн,largo
696,schmal::A,нарӕг,estreito
697,schmal::A,уынгӕг,estreito
698,dicht::A,бæзджын,denso
699,dicht::A,тар,denso
700,dick[Gegenstand]::A,сӕвджын,grosso
701,dünn::A,тæнæг,delgado
702,fein::A,лыстӕг,fino
703,fein::A,лыстӕг,subtil
704,fest::A,фидар,firme
705,fest::A,фидар,sólido
706,fest::A,хъӕддых,firme
707,fest::A,хъӕддых,sólido
708,flach::A,тъӕпӕн,plano
709,glatt::A,лӕгъз,liso
710,hart::A,хъӕбӕр,duro
711,weich::A,фӕлмӕн,mole
712,rund::A,тымбыл,redondo
713,spitz::A,цыргъбырынкъ,agudo
714,spitz::A,цыргъфындз,agudo
715,scharf::A,цыргъ,afiado
716,stumpf::A,къуымых,rombo
717,schwer::A,уӕззау,pesado
718,schön::A,аив,belo
719,schön::A,аив,bonito
720,schön::A,рӕсугъд,belo
721,schön::A,рӕсугъд,bonito
722,heiß::A,тӕвд,quente
723,warm::A,хъарм,quente
724,kalt::A,уазал,frio
725,kühl::A,сатæг,fresco
726,kühl::A,уазалгомау,fresco
727,frisch::A,сатæг,fresco
728,feucht::A,уымӕл,húmido
729,nass::A,хуылыдз,molhado
730,trocken::A,хус,seco
731,voll::A,дзаг,cheio
732,voll::A,йедзаг ,cheio
733,leer::A,афтид,vazio
734,offen::A,гом,aberto
735,geschlossen::A,æхгæд,fechado
736,sauber::A,сыгъдæг,limpo
737,schmutzig::A,чъиллон,sujo
738,roh::A,хом,cru
739,reif::A,рӕгъӕд,maduro
740,lecker::A,хӕрзад,delicioso
741,süß::A,адджын,doce
742,bitter::A,судзаг,amargo
743,sauer::A,туаг,azedo
744,hell::A,рухс,claro
745,dunkel::A,талынг,escuro
746,dunkel::A,талынг,sombrio
747,schwarz::A,сау,preto
748,weiß::A,урс,branco
749,rot::A,сырх,vermelho
750,gelb::A,бур,amarelo
751,blau::A,цъӕх,azul
752,grün::A,цъӕх,verde
753,grün::A,кӕрдӕгхуыз,verde
754,grau::A,цъӕх,cinzento
755,grau::A,фӕныкхуыз,cinzento
756,bunt::A,хъулон,colorido
757,bunt::A,гæрæм,colorido
758,billig::A,аслам,barato
759,teuer::A,зынаргъ,caro
760,wertvoll::A,зынаргъ,valioso
761,wertvoll::A,зынаргъ,precioso
762,blind::A,куырм,cego
763,taub::A,къуырма,surdo
764,kräftig::A,домбай,forte
765,kräftig::A,домбай,poderoso
766,kräftig::A,тыхджын,forte
767,kräftig::A,тыхджын,poderoso
768,stark::A,тыхджын,forte
769,stark::A,тыхджын,robusto
