,Concept_ID,et,mrj
215,Dreck::N,mustus,лявӹрӓ
216,Eisen::N,raud,кӹртни
217,Gold::N,kuld,шöртни
218,Gold::N,kuld,шöртньӹ
219,Silber::N,hõbe,ши
220,Kohle::N,süsi,шӱ
221,Glas::N,klaas,охоница
222,Lehm::N,savi,шун
223,Sand::N,liiv,ошма
224,Mensch::N,inimene,эдем
225,Mann::N,mees,пӱэргӹ
226,Frau::N,naine,ӹдӹрӓмӓш
227,Kind::N,laps,ӓзӓ
228,Kind::N,laps,шачшы
229,Junge::N,poiss,рвезӹ
230,Junge::N,poiss,ӹрвезӹ
231,Mädchen::N,tüdruk,ӹдӹрӓш
232,Familie::N,perekond,йиш
233,Familie::N,perekond,семня
234,Großvater::N,vanaisa,тьоти
235,Großmutter::N,vanaema,папа
236,Eltern::N,vanemad,ӓтя-ӓвӓ
237,Vater::N,isa,ӓтя
238,Mutter::N,ema,ӓвӓ
239,Sohn::N,poeg,эргӹ
240,Tochter::N,tütar,ӹдӹр
241,Bruder::N,vend,ӹза
242,Schwester::N,õde,ӓкӓ
243,Onkel::N,onu,кугуза
244,Tante::N,tädi,куака
245,Ehemann::N,mees,мары
246,Ehemann::N,abikaasa,мары
247,Ehefrau::N,naine,вӓтӹ
248,Ehefrau::N,abikaasa,вӓтӹ
249,Freude::N,rõõm,ӹвӹртӹмӓш
250,Gelächter::N,naer,ваштылмаш
251,Glück::N,õnn,пиӓл
252,Kummer::N,mure,ясы
253,Kummer::N,kurbus,ясы
254,Wunsch::N,soov,охата
255,Wunsch::N,soov,шанымаш
256,Lust::N,himu,шӓр
257,Lust::N,himu,охата
258,Lust::N,himu,шанымаш
259,Geist::N,vaim,тух
260,Gedanke::N,mõte,шанымаш
261,Gedächtnis::N,mälu,ӓш
262,Verstand::N,aru,ыш
263,Verstand::N,mõistus,ыш
264,Sinn::N,tähendus,кын
265,Grund::N,põhjus,вир
266,Wahrheit::N,tõde,тöр
267,Gespräch::N,kõne,хытырымаш
268,Gespräch::N,vestlus,хытырымаш
269,Märchen::N,muinasjutt,ямак
270,Erzählung::N,jutustus,шайыштмаш
271,Nachricht::N,teade,увертӓрӹмӓш
272,Neuigkeit::N,uudis,увер
273,Name::N,nimi,лӹм
274,Rätsel::N,mõistatus,тышты
275,Rede::N,kõne,шая
276,Rede::N,kõne,шамак
277,Sprache::N,keel,йӹлмӹ
278,Stimme::N,hääl,юк
279,Wort::N,sõna,шамак
280,Zeichen::N,märk,палӹ
281,Ruf::N,hüüe,сӹгӹрӹмӓш
282,Lärm::N,müra,юкланымащ
283,Laut::N,hääl,юк
284,Ton::N,toon,юк
285,Lied::N,laul,мыры
286,Ruhe::N,rahu,тыр
287,Ruhe::N,vaikus,тыр
288,Leute::N,inimesed,эдемвлӓ
289,Volk::N,rahvas,халык
290,Arbeit::N,töö,пӓшӓ
291,Gast::N,külaline,хына
292,Geschenk::N,kingitus,подарка
293,Spiel::N,mäng,мадыш
294,Gesellschaft::N,selts,йӓл
295,Gesellschaft::N,selts,йӓлвлӓ
296,Hilfe::N,abi,палшык
297,Freund::N,sõber,тӓнг
298,Kamerad::N,sõber,тос
299,Angelegenheit::N,asi,дела
300,Angelegenheit::N,asi,йела
301,Angelegenheit::N,asi,йыла
302,Angelegenheit::N,asi,пӓшӓ
303,Anzahl::N,arv,шот
304,Anzahl::N,hulk,шот
305,Art::N,liik,цӹре
306,Stück::N,tükk,лаштык
307,Teil::N,osa,пай
308,Teil::N,osa,часть
309,Hälfte::N,pool,пел
310,Kreis::N,ring,тӹртӹш
311,Kreuz::N,rist,крестӹ
312,Linie::N,joon,
313,Strich::N,joon,
314,Abstand::N,vahe,ло
315,Entfernung::N,kaugus,ло
316,Entfernung::N,vahemaa,ло
317,Gegend::N,ümbrus,вӓр
318,Platz::N,ruum,вӓр
319,Ort::N,paik,вӓр
320,Seite::N,pool,öрдӹж
321,Mitte::N,keskpaik,ло
322,Gegenstand::N,ese,хӓдӹр
323,Sache::N,ese,хӓдӹр
324,Rand::N,äär,шöр
325,Rand::N,serv,шöр
326,Kante::N,kant,шöр
327,Ecke::N,nurk,лык
328,Spitze::N,teravik,вуй
329,Ende::N,ots,вуй
330,Ende::N,ots,мычаш
331,Ende::N,jupp,вуй
332,Ende::N,jupp,мычаш
333,Loch::N,auk,ыраж
334,Winkel::N,nurk,лык
335,Muster::N,muster,тӹрлец
336,Größe::N,suurus,кӱкшӹц
337,Länge::N,pikkus,кыт
338,Höhe::N,kõrgus,кӱкшӹц
339,Gewicht::N,kaal,нелӹц
340,Gewicht::N,raskus,нелӹц
341,Menge::N,arv,шот
342,Menge::N,hulk,шот
343,Haufen::N,hunnik,ара
344,Reihe::N,rivi,ряд
345,Boot::N,paat,пыш
346,Ruder::N,aer,вешлӓ
347,Schlitten::N,saan,тир
348,Ski::N,suusk,ечӹ
349,Lagerfeuer::N,lõke,тыл
350,Last::N,koorem,нелӹц
351,Gang::N,käik,ход
352,Schritt::N,samm,ашкыл
353,Norden::N,põhi,йыдпелвел
354,Süden::N,lõuna,кечӹвӓлвел
355,Westen::N,lääs,кечӹ шӹцмӹ
356,Osten::N,ida,ирвел
357,Osten::N,ida,кечӹ лӱлтмӹ
358,Holz::N,puu,пушӓнгӹ
359,Brett::N,saelaud,ханга
360,Platte::N,plaat,плитӓ
361,Stütze::N,tugi,цӓрӓк
362,Stange::N,latt,равы
363,Stange::N,latt,намаш
364,Stange::N,teivas,равы
365,Stange::N,teivas,намаш
366,Stock::N,kepp,панды
367,Stab::N,varras,равы
368,Rohr::N,toru,пыч
369,Haus::N,maja,пöрт
370,Heim::N,kodu,пöрт
371,Ofen::N,ahi,камака
372,Fußboden::N,põrand,седӹрӓ
373,Tisch::N,laud,стöл
374,Stuhl::N,tool,пöкен
375,Wiege::N,häll,шипкӓ
376,Wiege::N,kätki,шипкӓ
377,Bett::N,voodi,койка
378,Bett::N,voodi,кравать
379,Regal::N,riiul,полицӓ
380,Kiste::N,kast,шӱ́ндӹк
381,Fenster::N,aken,окня
382,Tür::N,uks,амаса
383,Tor::N,värav,хапка
384,Zaun::N,aed,забор
385,Zaun::N,tara,забор
386,Dach::N,katus,левӓш
387,Leiter::N,redel,ташкалтыш
388,Besen::N,luud,сало
389,Besen::N,luud,салко
390,Spaten::N,labidas,кольмы
391,Schaufel::N,kühvel,лоток
392,Gabel::N,kahvel,ви́лка
393,Löffel::N,lusikas,савала
394,Messer::N,nuga,кӹзӹ
395,Nagel::N,nael,пыда
396,Netz::N,võrk,вӓпш
397,Haken::N,haak,крӱк
398,Haken::N,haak,кагак
399,Haken::N,konks,крӱк
400,Haken::N,konks,кагак
401,Griff::N,sang,кычем
402,Griff::N,käepide,кычем
403,Schloss::N,lukk,замок
404,Schloss::N,lukk,сыравач
405,Bild::N,pilt,картин
406,Figur::N,kuju,кӓн
407,Figur::N,kujund,кӓн
408,Puppe::N,nukk,поханя
409,Beutel::N,paun,мешӓк
410,Bündel::N,kimp,топ
411,Bündel::N,kimp,пидӹш
412,Bündel::N,kimp,кӹлдӹш
413,Tasche::N,kott,сумкы
414,Eimer::N,pang,ведӹрӓ
415,Eimer::N,ämber,ведӹрӓ
416,Deckel::N,kaas,комдыш
417,Geschirr::N,nõud,ӓтӹ
418,Sack::N,kott,мешӓк
419,Tasse::N,tass,цӓшкӓ
420,Topf::N,pada,ми́ска
421,Kessel::N,pada,пад
422,Essen::N,söök,качкыш
423,Essen::N,söök,качкыш-йӱш
424,Nahrung::N,toit,качкыш
425,Nahrung::N,toit,качкыш-йӱш
426,Speise::N,roog,няня
427,Fleisch::N,liha,пай
428,Getreide::N,teravili,киндӹ
429,Brei::N,puder,шӹрӓш
430,Brot::N,sai,сыкыр
431,Brot::N,leib,сыкыр
432,Scheibe::N,viil,ламыт
433,Scheibe::N,viil,лаштык
434,Scheibe::N,viilukas,ламыт
435,Scheibe::N,viilukas,лаштык
436,Fett::N,rasv,кая
437,Butter::N,või,ӱ
438,Öl::N,õli,ӱ
439,Salz::N,sool,санзал
440,Suppe::N,supp,лем
441,Honig::N,mesi,мӱ
442,Milch::N,piim,шӹшер
443,Tee::N,tee,чӓй
444,Leder::N,nahk,шарга
445,Leder::N,nahk,кавашты
446,Wolle::N,vill,миж
447,Stoff::N,kangas,матер
448,Stoff::N,kangas,матери
449,Nadel::N,nõel,им
450,Faden::N,niit,шӹртӹ
451,Knopf::N,nööp,полдыш
452,Knoten::N,sõlm,пӱкшем
453,Farbe::N,värv,чиӓ
454,Farbe::N,värv,крӓскӓ
455,Kleidung::N,riided,выргем
456,Kleidung::N,riietus,выргем
457,Hemd::N,särk,тыгыр
458,Kragen::N,krae,шӱ
459,Ärmel::N,varrukas,шокш
460,Hose::N,püksid,ялаш
461,Gürtel::N,vöö,ӹштӹ
462,Mütze::N,müts,упш
463,Schuh::N,king,ту́фльы
464,Stiefel::N,saabas,кем
465,Ring::N,sõrmus,шӓргӓш
466,Band::N,lint,лемтӓ
467,Kamm::N,kamm,шерге
468,Spiegel::N,peegel,тӹгӹр
469,Riemen::N,rihm,прӓжӓ
470,Schnur::N,nöör,кӓндӹра
471,Leine::N,jalutusrihm,керем
472,Decke::N,tekk,одеял
473,Kissen::N,padi,кӹпцӹк
474,Tuch::N,kalev,савыц
475,Handtuch::N,käterätik,шӹргӹсавыц
476,Handtuch::N,käterätik,шӹргӹмсавыц
477,Kraft::N,jõud,ви
478,Stärke::N,tugevus,ви
479,Gesundheit::N,tervis,шу
480,Gesundheit::N,tervis,шулык
481,Krankheit::N,haigus,мыж
482,Schmerz::N,valu,карштыш
483,Wunde::N,haav,шушыр
484,Fieber::N,palavik,ӱштӹмыж
485,Arznei::N,ravim,лекӓрцӹ
486,Brücke::N,sild,кӹвер
487,Brunnen::N,kaev,вӹдсӹнзӓ
488,Weide::N,karjamaa,ныр
489,Pfad::N,rada,ялгорны
490,Weg::N,tee,корны
491,Straße::N,tee,корны
492,Dorf::N,küla,сола
493,Stadt::N,linn,города
494,Brief::N,kiri,сирмӓш
495,Buch::N,raamat,книгӓ
496,Buchstabe::N,täht,буква́
497,Zeitung::N,ajaleht,газет
498,Zeitung::N,ajaleht,кайзет
499,Leben::N,elu,житя
500,Tod::N,surm,смöрт
501,Grab::N,haud,шӹгер
502,Grab::N,haud,мыгилӓ
503,Grab::N,haud,шӹгерлӓ
504,Kirche::N,kirik,церкӹ
505,Sünde::N,patt,сулык
506,Gott::N,jumal,йымы
507,Arbeiter::N,tööline,пӓшӓзӹ
508,Chef::N,ülemus,вуй
509,Chef::N,juhataja,вуй
510,Meister::N,meister,мастар
511,Arzt::N,arst,доктор
512,Lehrer::N,õpetaja,тымдышы
513,Geld::N,raha,окса
514,Geschäft::N,äri,торге́йӹмӓш
515,Laden::N,pood,лапка
516,Laden::N,pood,магазин
517,Laden::N,kauplus,лапка
518,Laden::N,kauplus,магазин
519,Preis::N,hind,ӓк
520,Ware::N,kaup,товар
521,Nutzen::N,tulu,пайда
522,Nutzen::N,kasulikkus,пайда
523,Reichtum::N,rikkus,перке
524,Welt::N,maailm,сӓндӓлӹк
525,Welt::N,maailm,свет
526,Land::N,maa,сӓндӓлӹк
527,Staat::N,riik,кугижӓншӹ
528,König::N,kuningas,король
529,Macht::N,võim,власть
530,Grenze::N,piir,пӹсмӓн
531,Krieg::N,sõda,вырсы
532,Feind::N,vaenlane,тышман
533,Gewalt::N,väevõim,ви
534,Kampf::N,võitlus,кредӓлмӓш
535,Bogen[Waffe]::N,vibu,янгеж
536,Pfeil::N,nool,пикш
537,Gewehr::N,püss,пичӓл
538,Fehler::N,viga,самынь
539,Lüge::N,vale,шая
540,Schaden::N,kahju,вре́дӓ
541,Unglück::N,häda,пёда
542,Unglück::N,häda,тымаша
543,Unglück::N,õnnetus,пёда
544,Unglück::N,õnnetus,тымаша
545,Schuld::N,süü,вуйнамат
546,Alter::N,iga,иӓш
547,Alter::N,iga,игечӹ
548,Schluss::N,lõpp,пӹтӓртӹш
549,Zeit::N,aeg,веремӓ
550,Tag::N,päev,кечӹ
551,Morgen::N,hommik,ир
552,Morgen::N,hommik,ирок
553,Mittag::N,lõuna,кечӹвӓл
554,Mittag::N,keskpäev,кечӹвӓл
555,Abend::N,õhtu,вады
556,Nacht::N,öö,йыд
557,Woche::N,nädal,ӓрня
558,Monat::N,kuu,тӹ́лзӹ
559,Jahr::N,aasta,год
560,Frühling::N,kevad,шошым
561,Sommer::N,suvi,кӓнгӹж
562,Herbst::N,sügis,шӹжӹ
563,Winter::N,talv,тел
564,Winter::N,talv,телӹ
565,Januar::N,jaanuar,январ
566,Januar::N,jaanuar,январь
567,Februar::N,veebruar,февраль
568,März::N,märts,март
569,April::N,aprill,апрель
570,Mai::N,mai,май
571,Juni::N,juuni,июнь
572,Juli::N,juuli,июль
573,August::N,august,август
574,September::N,september,сентябрь
575,Oktober::N,oktoober,октябрь
576,November::N,november,ноябрь
577,Dezember::N,detsember,декавыр
578,Montag::N,esmaspäev,шачмы
579,Dienstag::N,teisipäev,кышкыжмы
580,Mittwoch::N,kesknädal,вӹрчегӹ
581,Donnerstag::N,neljapäev,изӓрня
582,Freitag::N,reede,когарня
583,Samstag::N,laupäev,кукшыгечӹ
584,Sonntag::N,pühapäev,рушӓрня
585,groß::A,suur,кого
586,klein::A,väike,изи
587,klein::A,pisike,изи
588,lang::A,pikk,кужы
589,kurz::A,lühike,кӹтӹк
590,breit::A,lai,кымда
591,schmal::A,kitsas,ӓнгӹсӹр
592,dicht::A,tihe,шӹре
593,dick[Gegenstand]::A,jäme,кӹжгӹ
594,dünn::A,õhuke,вӹцкӹж
595,dünn::A,peenike,вӹцкӹж
596,fein::A,peen,пыльга
597,fein::A,õhuke,пыльга
598,fest::A,püsiv,цаткыды
599,fest::A,kindel,цаткыды
600,flach::A,lame,тӓлякӓ
601,flach::A,tasane,тӓлякӓ
602,glatt::A,sile,ягылгы
603,hart::A,kõva,пингӹдӹ
604,weich::A,pehme,пышкыды
605,rund::A,ümar,тӹртӹш
606,spitz::A,torkav,кашар
607,scharf::A,terav,кашар
608,stumpf::A,nüri,нӹшкӹ
609,schwer::A,raske,нелӹ
610,schön::A,kena,цевер
611,schön::A,kena,олмыдшы
612,heiß::A,kuum,шокшы
613,heiß::A,palav,шокшы
614,warm::A,soe,шокшы
615,kalt::A,külm,ӱштӹ
616,kühl::A,jahe,юалгы
617,kühl::A,jahe,йонгата
618,frisch::A,värske,йонгата
619,feucht::A,niiske,ӹлӹкшӹ
620,feucht::A,niiske,вӹдӹжгӹ
621,nass::A,märg,начкы
622,trocken::A,kuiv,кукшы
623,voll::A,täis,темшӹ
624,voll::A,täis,темыман
625,leer::A,tühi,йӓрӓ
626,offen::A,avatud,виш
627,offen::A,lahtine,виш
628,geschlossen::A,suletud,чӱчмӹ
629,geschlossen::A,suletud,тӹкӹлӓлтшӹ
630,sauber::A,puhas,ире
631,schmutzig::A,räpane,шоран
632,schmutzig::A,räpane,лявӹрӓн
633,schmutzig::A,räpane,шорангшы
634,schmutzig::A,määrdunud,шоран
635,schmutzig::A,määrdunud,лявӹрӓн
636,schmutzig::A,määrdunud,шорангшы
637,roh::A,toores,пеле кӱшӹ
638,reif::A,küps,кӱшӹ
639,lecker::A,hõrk,тотан
640,lecker::A,maitsev,тотан
641,süß::A,magus,мӱӓн
642,bitter::A,mõru,качы
643,sauer::A,hapu,шапы
644,hell::A,hele,соты
645,hell::A,hele,валгыды
646,dunkel::A,pime,пӹц
647,dunkel::A,pime,пӹцкемӹш
648,schwarz::A,must,шим
649,weiß::A,valge,ош
650,weiß::A,valge,ошы
651,rot::A,punane,якшаргы
652,gelb::A,kollane,сар
653,gelb::A,kollane,сары
654,blau::A,sinine,симсӹ
655,grün::A,roheline,ыжар
656,grau::A,hall,луды
657,bunt::A,kirju,ала
658,bunt::A,värviline,ала
659,billig::A,odav,шулдаш
660,teuer::A,kallis,шергӹ
661,teuer::A,kallis,шергӓкӓн
662,wertvoll::A,väärtuslik,ӓкӓн
663,blind::A,pime,слöпöй
664,blind::A,pime,сльöпöй
665,taub::A,kurt,тӱтӱк
666,kräftig::A,jõuline,виӓн
667,stark::A,tugev,виӓн
668,schwach::A,nõrk,шава
669,schwach::A,nõrk,лӹпкӓ
670,schwach::A,nõrk,слабка
671,schwach::A,jõuetu,шава
672,schwach::A,jõuetu,лӹпкӓ
673,schwach::A,jõuetu,слабка
674,fett::A,rasvane,таза
675,schlank::A,sale,яштака
676,hübsch::A,kena,сӹлнӹ
677,hübsch::A,kena,олмыдшы
678,böse::A,tige,шӹдӓн
679,dumm::A,juhm,окмак
680,dumm::A,rumal,окмак
681,faul::A,laisk,ялахай
682,fleißig::A,virk,пӓшам яратышы
683,fleißig::A,hoolas,пӓшам яратышы
684,geizig::A,ihne,шык
685,klug::A,tark,ышан
686,klug::A,arukas,ышан
687,klug::A,mõistlik,ышан
688,geschickt::A,osav,мастар
689,lieb::A,armas,тыри
690,lustig::A,lõbus,мындыр
691,lustig::A,lõbus,сусу
692,sanft::A,õrn,йӹвӹжӓ
693,hungrig::A,näljane,шужышы
694,krank::A,haige,церлӹ
695,krank::A,haige,хворой
696,nackt::A,alasti,цӓрӓ
697,traurig::A,kurb,сы́лыкан
698,traurig::A,kurb,кымы́лдымы
699,lebendig::A,elus,живой
700,gut::A,hea,яжо
701,schlecht::A,halb,уда
702,schlecht::A,halb,худа
703,richtig::A,õige,вургамла
704,schlimm::A,paha,йӹрнык
705,wahr::A,tõene,настоящий
706,wahr::A,tõene,настояшый
707,alt::A,vana,шонгы
708,neu::A,uus,у
709,ehemalig::A,endine,тошты
710,alt[Lebewesen]::A,vana,ӹлалшӹ
711,jung::A,noor,нöргӹ
712,jung::A,noor,молода
713,arm::A,vaene,укеӓн
714,reich::A,rikas,паян
715,reich::A,rikas,пурлыкан
716,bekannt::A,teada,палӹмӹ
717,bekannt::A,tuttav,палӹмӹ
718,berühmt::A,tuntud,лӹмлы
719,fremd::A,võõras,эдемӹн
720,verschieden::A,erinev,тӹрлӹ
721,nah::A,lähedane,лишӹл
722,fern::A,kauge,мӹндӹр
723,linker::A,vasak,шалахай
724,rechter::A,parem,вургамла
725,anderer::A,muu,вес
726,anderer::A,muu,весӹ
727,anderer::A,teine,вес
728,anderer::A,teine,весӹ
729,erster::A,esimene,икшӹ
730,erster::A,esimene,икӹмшӹ
731,zweiter::A,teine,кокшы
732,dritter::A,kolmas,кымшы
733,letzter::A,viimane,остатка
734,allein::ADV,üksi,иктӹ
735,allein::ADV,üksi,иктӹт
736,auf einmal::ADV,korraga,тöрöк
737,auf einmal::ADV,ühekorraga,тöрöк
738,zusammen::ADV,koos,икараш
739,zusammen::ADV,koos,цымырын
740,zusammen::ADV,üheskoos,икараш
741,zusammen::ADV,üheskoos,цымырын
742,lange::ADV,kaua,кужын
743,plötzlich::ADV,äkki,трӱк
744,plötzlich::ADV,järsku,трӱк
745,sofort::ADV,kohe,полт
746,sofort::ADV,kohe,тöрöк
747,sofort::ADV,kohe,тӹшӓкок
748,später::ADV,hiljem,вара
749,jetzt::ADV,nüüd,
750,heute::ADV,täna,тагачы
751,morgen::ADV,homme,иргод
752,morgen::ADV,homme,иргодым
753,bald::ADV,pea,чӹнь
754,bald::ADV,pea,вӓшке
755,bald::ADV,pea,выртышты
756,bald::ADV,varsti,чӹнь
757,bald::ADV,varsti,вӓшке
758,bald::ADV,varsti,выртышты
759,dann::ADV,siis,пакыла
760,gestern::ADV,eile,тенгечӹ
761,einst::ADV,vanasti,икӓнӓ
762,damals::ADV,tookord,тӹнӓм
763,danach::ADV,seejärel,пакыла
764,vorher::ADV,enne,перви
765,zuerst::ADV,enne,андак
766,zuerst::ADV,esmalt,андак
767,einmal::ADV,kord,гӓнӓк
768,einmal::ADV,kord,гӓнӓ
769,einmal::ADV,üks kord,гӓнӓк
770,einmal::ADV,üks kord,гӓнӓ
771,manchmal::ADV,mõnikord,кынамжы
