,Concept_ID,cy,ja
301,Hilfe::N,cymorth,援助
302,Freund::N,cyfaill,友達
303,Kamerad::N,cydymaith,同志
304,Angelegenheit::N,pwnc,件
305,Anzahl::N,cyfrif,数
306,Art::N,bath,種類
307,Stück::N,darn,部分
308,Teil::N,rhan,部分
309,Hälfte::N,hanner,半分
310,Kreis::N,cylch,円
311,Kreuz::N,croes,十字
312,Linie::N,llinell,線
313,Strich::N,strôc,線
314,Strich::N,trawiad,線
315,Abstand::N,bwlch,距離
316,Abstand::N,pellter,距離
317,Entfernung::N,pellter,距離
318,Gegend::N,cylch,辺
319,Gegend::N,cylch,地域
320,Platz::N,lle,ゆとり
321,Ort::N,lle,所
322,Ort::N,lle,場所
323,Seite::N,ochr,横
324,Mitte::N,canol,真ん中
325,Gegenstand::N,eitem,物件
326,Sache::N,peth,物
327,Rand::N,cwr,端
328,Rand::N,ymyl,端
329,Kante::N,min,縁
330,Kante::N,ymyl,縁
331,Ecke::N,cornel,角
332,Spitze::N,blaen,先頭
333,Ende::N,pen,端
334,Loch::N,twll,穴
335,Winkel::N,congl,片隅
336,Muster::N,patrwm,模様
337,Größe::N,maint,大きさ
338,Größe::N,maintioli,大きさ
339,Länge::N,hyd,長さ
340,Höhe::N,uchder,高さ
341,Gewicht::N,pwysau,重さ
342,Menge::N,swm,量
343,Menge::N,maint,量
344,Haufen::N,pentwr,堆積
345,Reihe::N,rhes,並び
346,Boot::N,cwch,ボート
347,Ruder::N,rhwyf,オール
348,Schlitten::N,sled,そり
349,Schlitten::N,car llusg,そり
350,Ski::N,sgi,スキー
351,Lagerfeuer::N,coelcerth,篝火
352,Last::N,llwyth,荷物
353,Gang::N,tro,歩み
354,Schritt::N,cam,歩
355,Norden::N,gogledd,北
356,Süden::N,de,南
357,Westen::N,gorllewin,西
358,Osten::N,dwyrain,東
359,Holz::N,pren,木
360,Holz::N,pren,木材
361,Brett::N,bwrdd,板
362,Brett::N,astell,板
363,Platte::N,llech,盤
364,Stütze::N,ateg,支柱
365,Stütze::N,cynhalydd,支柱
366,Stange::N,polyn,棒
367,Stock::N,ffon,杖
368,Stock::N,brigyn,杖
369,Stab::N,ffon,棒
370,Rohr::N,pibell,管
371,Haus::N,tŷ,家
372,Heim::N,cartref,家
373,Ofen::N,stof,ストーブ
374,Fußboden::N,llawr,床
375,Tisch::N,bwrdd,机
376,Stuhl::N,cadair,椅子
377,Wiege::N,crud,揺籃
378,Bett::N,gwely,ベッド
379,Regal::N,silff,棚
380,Kiste::N,bocs,箱
381,Kiste::N,blwch,箱
382,Fenster::N,ffenestr,窓
383,Tür::N,drws,戸
384,Tür::N,drws,ドア
385,Tor::N,porth,門
386,Zaun::N,ffens,垣根
387,Dach::N,to,屋根
388,Leiter::N,ysgol,梯子
389,Besen::N,ysgub,ほうき
390,Spaten::N,rhaw,スコップ
391,Schaufel::N,rhaw,シャベル
392,Gabel::N,fforc,フォーク
393,Löffel::N,llwy,スプーン
394,Messer::N,cyllell,ナイフ
395,Nagel::N,hoel,釘
396,Netz::N,gwe,網
397,Netz::N,rhwyd,網
398,Haken::N,bach,鉤
399,Haken::N,bach,フック
400,Griff::N,carn,取っ手
401,Schloss::N,clo,錠
402,Bild::N,llun,絵
403,Bild::N,pictiwr,絵
404,Figur::N,ffigur,像
405,Puppe::N,dol,人形
406,Beutel::N,cwd,袋
407,Bündel::N,bwndel,束
408,Bündel::N,bwndel,包み
409,Bündel::N,coflaid,束
410,Bündel::N,coflaid,包み
411,Tasche::N,cod,かばん
412,Eimer::N,bwced,バケツ
413,Eimer::N,cunnog,バケツ
414,Deckel::N,caead,蓋
415,Geschirr::N,llestri,食器
416,Sack::N,sach,袋
417,Tasse::N,cwpan,カップ
418,Topf::N,pot,鍋
419,Topf::N,crochan,鍋
420,Kessel::N,tegell,釜
421,Essen::N,pryd o fwyd,食事
422,Nahrung::N,bwyd,食物
423,Speise::N,saig,料理
424,Fleisch::N,cig,肉
425,Getreide::N,ŷd,麦
426,Getreide::N,ŷd,穀物
427,Getreide::N,llafur,麦
428,Getreide::N,llafur,穀物
429,Brei::N,uwd,粥
430,Brot::N,bara,パン
431,Scheibe::N,tafell,枚
432,Scheibe::N,tafell,切れ
433,Fett::N,saim,脂肪
434,Fett::N,braster,脂肪
435,Butter::N,ymenyn,バター
436,Öl::N,olew,油
437,Salz::N,halen,塩
438,Suppe::N,cawl,スープ
439,Honig::N,mêl,蜂蜜
440,Milch::N,llaeth,牛乳
441,Milch::N,llefrith,牛乳
442,Tee::N,te,茶
443,Tee::N,te,お茶
444,Leder::N,lledr,革
445,Wolle::N,gwlân,毛糸
446,Stoff::N,lliain,布
447,Stoff::N,brethyn,布
448,Nadel::N,nodwydd,針
449,Faden::N,edau,糸
450,Faden::N,edefyn,糸
451,Knopf::N,botwm,ボタン
452,Knoten::N,cwlwm,結び目
453,Farbe::N,paent,ペンキ
454,Kleidung::N,dillad,衣服
455,Kleidung::N,gwisgoedd,衣服
456,Hemd::N,crys,シャツ
457,Kragen::N,coler,襟
458,Ärmel::N,llawes,袖
459,Hose::N,trowsus,ズボン
460,Gürtel::N,gwregys,帯
461,Gürtel::N,gwregys,ベルト
462,Mütze::N,cap,帽子
463,Schuh::N,esgid,靴
464,Stiefel::N,botasen,ブーツ
465,Ring::N,modrwy,輪
466,Band::N,rhuban,リボン
467,Kamm::N,crib,櫛
468,Spiegel::N,drych,鏡
469,Riemen::N,strap,緒
470,Schnur::N,llinyn,紐
471,Leine::N,tennyn,綱
472,Decke::N,blanced,掛け布団
473,Decke::N,gwrthban,掛け布団
474,Kissen::N,clustog,枕
475,Kissen::N,gobennydd,枕
476,Tuch::N,sgarff,スカーフ
477,Handtuch::N,tywel,タオル
478,Handtuch::N,lliain sychu,タオル
479,Kraft::N,grym,力
480,Stärke::N,nerth,強さ
481,Stärke::N,cryfder,強さ
482,Gesundheit::N,iechyd,健康
483,Krankheit::N,afiechyd,病気
484,Krankheit::N,anhwylder,病気
485,Schmerz::N,poen,痛み
486,Schmerz::N,gwayw,痛み
487,Wunde::N,clwyf,傷
488,Fieber::N,twymyn,熱
489,Arznei::N,meddyginiaeth,薬
490,Brücke::N,pont,橋
491,Brunnen::N,ffynnon,井戸
492,Weide::N,porfa,牧場
493,Pfad::N,llwybr,小路
494,Weg::N,ffordd,道
495,Straße::N,heol,街道
496,Straße::N,ffordd,街道
497,Dorf::N,pentref,村
498,Stadt::N,tref,町
499,Stadt::N,tref,都市
500,Brief::N,llythyr,手紙
501,Buch::N,llyfr,本
502,Buchstabe::N,llythyren,文字
503,Zeitung::N,papur newydd,新聞
504,Leben::N,bywyd,生活
505,Tod::N,marwolaeth,死
506,Grab::N,bedd,墓
507,Kirche::N,eglwys,教会
508,Sünde::N,pechod,罪
509,Gott::N,duw,神
510,Arbeiter::N,gweithiwr,労働者
511,Chef::N,pennaeth,上司
512,Meister::N,meistr,達人
513,Meister::N,meistr,マイスター
514,Arzt::N,meddyg,医者
515,Lehrer::N,athro,先生
516,Geld::N,pres,金
517,Geld::N,arian,金
518,Geschäft::N,busnes,取り引き
519,Laden::N,siop,店
520,Preis::N,pris,値段
521,Ware::N,nwydd,商品
522,Nutzen::N,elw,利益
523,Nutzen::N,budd,利益
524,Reichtum::N,cyfoeth,豊かさ
525,Welt::N,byd,世界
526,Land::N,gwlad,国
527,Staat::N,gwladwriaeth,国家
528,König::N,brenin,国王
529,Macht::N,grym,権力
530,Macht::N,awdurdod,権力
531,Grenze::N,ffin,国境
532,Grenze::N,goror,国境
533,Krieg::N,rhyfel,戦争
534,Feind::N,gelyn,敵
535,Gewalt::N,ffyrnigrwydd,暴力
536,Kampf::N,brwydr,戦い
537,Bogen[Waffe]::N,bwa,弓
538,Pfeil::N,saeth,矢
539,Gewehr::N,dryll,銃
540,Fehler::N,gwall,間違い
541,Fehler::N,camgymeriad,間違い
542,Lüge::N,celwydd,嘘
543,Lüge::N,anwiredd,嘘
544,Schaden::N,niwed,損害
545,Schaden::N,difrod,損害
546,Unglück::N,anffawd,不幸
547,Schuld::N,bai,罪
548,Alter::N,oed,年
549,Alter::N,oed,年齢
550,Schluss::N,diwedd,終わり
551,Zeit::N,amser,時
552,Zeit::N,amser,時間
553,Tag::N,dydd,日
554,Tag::N,diwrnod,日
555,Morgen::N,bore,朝
556,Mittag::N,nawn,昼
557,Abend::N,noswaith,晩
558,Abend::N,noswaith,夕方
559,Nacht::N,nos,夜
560,Woche::N,wythnos,週
561,Monat::N,mis,月
562,Jahr::N,blwyddyn,年
563,Frühling::N,gwanwyn,春
564,Sommer::N,haf,夏
565,Herbst::N,hydref,秋
566,Winter::N,gaeaf,冬
567,Januar::N,Ionawr,一月
568,Februar::N,Chwefror,二月
569,März::N,Mawrth,三月
570,April::N,Ebrill,四月
571,Mai::N,Mai,五月
572,Juni::N,Mehefin,六月
573,Juli::N,Gorffennaf,七月
574,August::N,Awst,八月
575,September::N,Medi,九月
576,Oktober::N,Hydref,十月
577,November::N,Tachwedd,十一月
578,Dezember::N,Rhagfyr,十二月
579,Montag::N,dydd Llun,月曜日
580,Dienstag::N,dydd Mawrth,火曜日
581,Mittwoch::N,dydd Mercher,水曜日
582,Donnerstag::N,dydd Iau,木曜日
583,Freitag::N,dydd Gwener,金曜日
584,Samstag::N,dydd Sadwrn,土曜日
585,Sonntag::N,dydd Sul,日曜日
586,groß::A,mawr,大きい
587,klein::A,bach,小さい
588,lang::A,hir,長い
589,kurz::A,byr,短い
590,kurz::A,cwta,短い
591,breit::A,llydan,広い
592,schmal::A,cul,狭い
593,dicht::A,dwys,密な
594,dick[Gegenstand]::A,trwchus,厚い
595,dünn::A,tenau,薄い
596,fein::A,main,細い
597,fest::A,cadarn,硬い
598,flach::A,gwastad,平らな
599,glatt::A,llyfn,滑らかな
600,hart::A,caled,堅い
601,weich::A,meddal,柔らかい
602,rund::A,crwn,丸い
603,spitz::A,pigfain,尖った
604,scharf::A,miniog,鋭い
605,stumpf::A,pŵl,鈍い
606,schwer::A,trwm,重い
607,schön::A,teg,綺麗な
608,schön::A,hardd,綺麗な
609,schön::A,prydferth,綺麗な
610,heiß::A,poeth,熱い
611,warm::A,twym,温かい
612,warm::A,cynnes,温かい
613,kalt::A,oer,寒い
614,kalt::A,oer,冷たい
615,kühl::A,oeraidd,涼しい
616,frisch::A,iach,ひんやりした
617,feucht::A,llaith,湿った
618,nass::A,gwlyb,濡れた
619,trocken::A,sych,乾いた
620,voll::A,llawn,いっぱいの
621,leer::A,gwag,空の
622,offen::A,agored,開いた
623,geschlossen::A,caead,閉まった
624,geschlossen::A,caeëdig,閉まった
625,sauber::A,glân,清潔な
626,schmutzig::A,budr,汚い
627,schmutzig::A,brwnt,汚い
628,roh::A,amrwd,生の
629,reif::A,aeddfed,熟した
630,lecker::A,blasus,美味しい
631,lecker::A,danteithiol,美味しい
632,süß::A,melys,甘い
633,bitter::A,chwerw,苦い
634,sauer::A,sur,酸っぱい
635,hell::A,disglair,明るい
636,dunkel::A,tywyll,暗い
637,schwarz::A,du,黒い
638,weiß::A,gwyn,白い
639,rot::A,coch,赤い
640,gelb::A,melyn,黄色い
641,blau::A,glas,青い
642,grün::A,gwyrdd,緑の
643,grau::A,llwyd,灰色の
644,bunt::A,lliwgar,色取り取りの
645,billig::A,rhad,安い
646,teuer::A,drud,高い
647,wertvoll::A,gwerthfawr,貴重な
648,blind::A,dall,盲目の
649,taub::A,byddar,耳が聞こえない
650,kräftig::A,nerthol,強力な
651,kräftig::A,grymus,強力な
652,stark::A,cryf,強い
653,stark::A,cadarn,強い
654,schwach::A,gwan,弱い
655,fett::A,tew,太った
656,schlank::A,main,ほっそりした
657,hübsch::A,tlws,素敵な
658,böse::A,drwg,悪い
659,dumm::A,twp,馬鹿な
660,faul::A,diog,怠惰な
661,fleißig::A,dyfal,勤勉な
662,geizig::A,crintach,けちな
663,geizig::A,cybyddlyd,けちな
664,klug::A,deallus,賢い
665,klug::A,deallus,頭のいい
666,geschickt::A,medrus,器用な
667,geschickt::A,deheuig,器用な
668,lieb::A,hoff,愛らしい
669,lieb::A,annwyl,愛らしい
670,lustig::A,llon,楽しい
671,sanft::A,mwyn,温和な
672,hungrig::A,newynog,空腹の
673,krank::A,sâl,病気の
