,Concept_ID,br,ja
450,Arbeiter::N,micherour,労働者
451,Chef::N,penn,上司
452,Meister::N,mestr,達人
453,Meister::N,mestr,マイスター
454,Arzt::N,mezeg,医者
455,Arzt::N,medisin,医者
456,Lehrer::N,skolaer,先生
457,Lehrer::N,kelenner,先生
458,Geld::N,arc'hant,金
459,Geschäft::N,stal,取り引き
460,Laden::N,stal,店
461,Preis::N,priz,値段
462,Ware::N,marc'hadourezh,商品
463,Nutzen::N,gounidegezh,利益
464,Nutzen::N,lañs,利益
465,Nutzen::N,profit,利益
466,Nutzen::N,spleit,利益
467,Reichtum::N,pinvidigezh,豊かさ
468,Welt::N,douar,世界
469,Land::N,bro,国
470,Staat::N,stad,国家
471,König::N,roue,国王
472,Macht::N,galloud,権力
473,Grenze::N,harzoù,国境
474,Krieg::N,brezel,戦争
475,Feind::N,eneber,敵
476,Gewalt::N,tâerder,暴力
477,Kampf::N,kann,戦い
478,Bogen[Waffe]::N,gwareg,弓
479,Pfeil::N,saezh,矢
480,Gewehr::N,fuzuilh,銃
481,Fehler::N,fazi,間違い
482,Lüge::N,gaou,嘘
483,Schaden::N,gwall,損害
484,Unglück::N,gwalleur,不幸
485,Schuld::N,kablusted,罪
486,Schuld::N,pec'hedigezh,罪
487,Alter::N,oad,年
488,Alter::N,oad,年齢
489,Schluss::N,diwezh,終わり
490,Zeit::N,amzer,時
491,Zeit::N,amzer,時間
492,Tag::N,deizh,日
493,Morgen::N,beure,朝
494,Morgen::N,mintin,朝
495,Mittag::N,kreisteiz,昼
496,Abend::N,abardaez,晩
497,Abend::N,abardaez,夕方
498,Nacht::N,noz,夜
499,Woche::N,sizhun,週
500,Monat::N,miz,月
501,Jahr::N,bloaz,年
502,Frühling::N,nevezamzer,春
503,Sommer::N,hañv,夏
504,Herbst::N,diskaramzer,秋
505,Winter::N,goañv,冬
506,Januar::N,Genver,一月
507,Februar::N,C'hwevrer,二月
508,März::N,Meurzh,三月
509,April::N,Ebrel,四月
510,Mai::N,Mae,五月
511,Juni::N,Mezheven,六月
512,Juli::N,Gouhere,七月
513,August::N,Eost,八月
514,September::N,Gwengolo,九月
515,Oktober::N,Here,十月
516,November::N,Du,十一月
517,Dezember::N,Kerzu,十二月
518,Montag::N,Lun,月曜日
519,Dienstag::N,Meurzh,火曜日
520,Mittwoch::N,Merc'her,水曜日
521,Donnerstag::N,Yaou,木曜日
522,Freitag::N,Gwener,金曜日
523,Samstag::N,Sadorn,土曜日
524,Sonntag::N,Sul,日曜日
525,groß::A,bras,大きい
526,klein::A,bihan,小さい
527,lang::A,hir,長い
528,kurz::A,berr,短い
529,breit::A,ledan,広い
530,schmal::A,strizh,狭い
531,dicht::A,stank,密な
532,dick[Gegenstand]::A,tev,厚い
533,dünn::A,moan,薄い
534,fein::A,munut,細い
535,fest::A,start,硬い
536,flach::A,plaen,平らな
537,glatt::A,lintr,滑らかな
538,glatt::A,levn,滑らかな
539,hart::A,kalet,堅い
540,weich::A,blot,柔らかい
541,rund::A,ront,丸い
542,spitz::A,poentet,尖った
543,scharf::A,dremm,鋭い
544,stumpf::A,talsoc'h,鈍い
545,schwer::A,pounner,重い
546,schön::A,kaer,綺麗な
547,heiß::A,tomm,熱い
548,warm::A,tomm,温かい
549,kalt::A,yen,寒い
550,kalt::A,yen,冷たい
551,kühl::A,yen,涼しい
552,frisch::A,fresk,ひんやりした
553,feucht::A,gleb,湿った
554,nass::A,gleb,濡れた
555,trocken::A,sec'h,乾いた
556,voll::A,leun,いっぱいの
557,leer::A,goullo,空の
558,offen::A,digor,開いた
559,geschlossen::A,serr,閉まった
560,sauber::A,naet,清潔な
561,schmutzig::A,lous,汚い
562,roh::A,kriz,生の
563,reif::A,darev,熟した
564,lecker::A,lipous,美味しい
565,lecker::A,saourus,美味しい
566,süß::A,dous,甘い
567,bitter::A,c'hwerv,苦い
568,sauer::A,trenk,酸っぱい
569,hell::A,sklaer,明るい
570,dunkel::A,teñval,暗い
571,schwarz::A,du,黒い
572,weiß::A,gwenn,白い
573,rot::A,ruz,赤い
574,gelb::A,melen,黄色い
575,blau::A,glas,青い
576,grün::A,gwer,緑の
577,grau::A,louet,灰色の
578,bunt::A,liesliv,色取り取りの
579,billig::A,marc'had-mat,安い
580,teuer::A,ker,高い
581,wertvoll::A,prizius,貴重な
582,blind::A,dall,盲目の
583,taub::A,bouzar,耳が聞こえない
584,kräftig::A,start,強力な
585,stark::A,kreñv,強い
586,schwach::A,gwan,弱い
587,fett::A,lard,太った
588,schlank::A,sinkl,ほっそりした
589,hübsch::A,koant,素敵な
590,böse::A,gwall,悪い
591,dumm::A,glep,馬鹿な
592,faul::A,lezirek,怠惰な
593,fleißig::A,studius,勤勉な
594,geizig::A,tost,けちな
595,klug::A,speredek,賢い
596,klug::A,speredek,頭のいい
597,geschickt::A,dornet,器用な
598,lieb::A,koant,愛らしい
599,lustig::A,laouen,楽しい
600,sanft::A,flour,温和な
601,hungrig::A,marnaon,空腹の
602,krank::A,klañv,病気の
603,nackt::A,noazh,裸の
604,traurig::A,trist,悲しい
605,lebendig::A,bev,生きた
606,gut::A,mad,良い
607,schlecht::A,fall,悪い
608,schlecht::A,fall,駄目な
609,schlecht::A,gwall,悪い
610,schlecht::A,gwall,駄目な
611,richtig::A,reizh,正しい
612,schlimm::A,gwall,ひどい
613,wahr::A,gwir,本当の
614,alt::A,kozh,古い
615,neu::A,nevez,新しい
616,ehemalig::A,kozh,以前の
617,alt[Lebewesen]::A,kozh,年を取った
618,jung::A,yaouank,若い
619,arm::A,paour,貧乏な
620,reich::A,pinvidik,裕福な
621,bekannt::A,anavezet,有名な
622,berühmt::A,brudet,有名な
623,fremd::A,dizanav,見知らぬ
624,verschieden::A,disheñel,色々な
625,nah::A,nes,近い
626,fern::A,diabell,遠い
627,linker::A,kleiz,左の
628,rechter::A,dehoù,右の
629,anderer::A,all,別の
630,erster::A,kentañ,一番目
631,zweiter::A,eil,二番目
632,dritter::A,trede,三番目
633,letzter::A,diwezhañ,最後の
634,allein::ADV,e-unan,一人で
635,auf einmal::ADV,ar un dro,同時に
636,zusammen::ADV,asambles,一緒に
637,lange::ADV,pell,長い間
638,plötzlich::ADV,en un taol,急に
639,sofort::ADV,diouzhtu,すぐに
640,später::ADV,diwezhatoc'h,後で
641,jetzt::ADV,bremañ,今
642,heute::ADV,hiziv,今日
643,morgen::ADV,arc'hoazh,明日
644,bald::ADV,hepdale,間もなく
645,dann::ADV,a-c'houde,それから
646,gestern::ADV,dec'h,昨日
647,einst::ADV,gwechall,過去に
648,damals::ADV,neuze,あの時
649,danach::ADV,goude,その後で
650,vorher::ADV,diagent,以前に
651,zuerst::ADV,da gentañ,まず
652,zuerst::ADV,da gentañ,最初に
653,einmal::ADV,ur wech,一回
654,manchmal::ADV,a-wechoù,時々
655,oft::ADV,alies,よく
656,immer::ADV,atav,いつも
657,immer::ADV,bepred,いつも
658,niemals::ADV,gwech ebet,一度も...ない
659,hier::ADV,amañ,こちら
660,hierhin::ADV,dre amañ,ここへ
661,hierhin::ADV,dre amañ,こちらへ
662,von hier::ADV,alemañ,ここから
663,dort::ADV,aze,そちら
664,dort::ADV,ahont,そちら
665,dorthin::ADV,di,そこへ
666,dorthin::ADV,di,そちらへ
667,dorthin::ADV,aze,そこへ
668,dorthin::ADV,aze,そちらへ
669,dorthin::ADV,ahont,そこへ
670,dorthin::ADV,ahont,そちらへ
671,geradeaus::ADV,war-eeun,真っ直ぐに
672,vorwärts::ADV,war-raok,前へ
673,rückwärts::ADV,war-lerc'h,後ろへ
674,zurück::ADV,war-dreñv,後ろへ
675,unten::ADV,en traoñ,下に
676,hinab::ADV,a-izel,下へ
677,oben::ADV,en nec'h,上に
678,hinauf::ADV,e-krec'h,上へ
679,überall::ADV,dre-holl,どこでも
680,nicht::ADV,ne ... ket,ない
681,ein wenig::ADV,un tammig,少し
682,ein wenig::ADV,un tammig,ちょっと
683,kaum::ADV,a-boan,ほとんど～ない
684,sehr::ADV,-tre,とても
685,sehr::ADV,-kenañ,とても
686,so::ADV,evel-se,こう
687,noch::ADV,c'hoazh,まだ
688,nur::ADV,hepken,～だけ
689,schon::ADV,dija,もう
690,wieder::ADV,adarre,再び
691,vor::PRP,dirak,前に
692,hinter::PRP,a-drek,後ろに
693,hinter::PRP,a-dreñv,後ろに
694,unter::PRP,dindan,下に
695,durch::PRP,dre,通して
696,neben::PRP,e-kichen,横に
697,zwischen::PRP,etre,間に
698,wegen::PRP,abalamour da,為に
699,wegen::PRP,abalamour da,せいで
700,dies::PRN,hemañ,これ
701,das::PRN,se,それ
702,das::PRN,hennezh,それ
703,alles::PRN,pep tra,全部
704,ich::PRN,me,私
705,du::PRN,te,あなた
706,er::PRN,eñ,彼
707,wir::PRN,ni,私達
708,ihr::PRN,c'hwi,あなた達
709,sie::PRN,int,彼ら
710,was::FPRN,petra,何
711,wer::FPRN,piv,誰
712,wer::FPRN,piv,どなた
713,wo::FADV,pelec'h,どこ
714,wo::FADV,pelec'h,どこに
715,wohin::FADV,da belec'h,どこへ
716,wie::FADV,penaos,どう
717,warum::FADV,perak,何故
718,warum::FADV,perak,どうして
719,wieviel::FNUM,pet,どのくらい
720,eins::NUM,unan,一
721,zwei::NUM,daou,二
722,zwei::NUM,daou,二つ
723,drei::NUM,tri,三
724,drei::NUM,tri,三つ
725,vier::NUM,pevar,四
726,vier::NUM,pevar,四つ
727,fünf::NUM,pemp,五
728,fünf::NUM,pemp,五つ
729,sechs::NUM,c'hwec'h,六
730,sechs::NUM,c'hwec'h,六つ
731,sieben::NUM,seizh,七
732,sieben::NUM,seizh,七つ
733,acht::NUM,eizh,八
734,acht::NUM,eizh,八つ
735,neun::NUM,nav,九
736,neun::NUM,nav,九つ
737,zehn::NUM,dek,十
738,elf::NUM,unnek,十一
739,zwölf::NUM,daouzek,十二
740,zwanzig::NUM,ugent,二十
741,dreißig::NUM,tregont,三十
742,vierzig::NUM,daou-ugent,四十
743,fünfzig::NUM,hanter-kant,五十
744,sechzig::NUM,tri-ugent,六十
745,siebzig::NUM,dek ha tri-ugent,七十
746,achtzig::NUM,pevar-ugent,八十
747,neunzig::NUM,dek ha pevar-ugent,九十
748,hundert::NUM,kant,百
749,tausend::NUM,mil,千
750,und::CNJ,ha,-と
751,und::CNJ,ha,そして
752,oder::CNJ,pe,或いは
753,stehen::V,bezañ a-sav,立っている
754,sitzen::V,azezañ,座っている
755,sitzen::V,bezañ en e goazez,座っている
756,liegen::V,bezañ en e c'hourvez,横になっている
757,hängen::V,krougañ,掛かっている
758,werden::V,dazonet,なる
759,passieren::V,c'hoarvezout,起こる
760,beginnen::V,stagañ,始まる
761,enden::V,achuiñ,終わる
762,wechseln::V,cheñch,変わる
763,aufgehen[Sonne]::V,dirouzañ,出る
764,scheinen[Sonne]::V,lugernañ,輝く
765,donnern::V,taranal,雷が鳴る
766,wehen::V,c'hwezhañ,吹く
767,strömen::V,deredek,流れる
768,fließen::V,redek,流れる
769,sich drehen::V,troiñ,回転する
770,schwanken::V,trantellat,揺れる
771,schwingen::V,froumal,振動する
772,fallen::V,kouezhañ,落ちる
773,brennen::V,deviñ,燃える
774,rauchen::V,divogedañ,煙を出す
775,regnen::V,glavañ,雨が降る
776,gefrieren::V,reviñ,凍る
777,tauen::V,diskornañ,溶ける
778,schmelzen::V,teuziñ,溶ける
779,trocknen::V,sec'hañ,乾く
780,sieden::V,berviñ,沸く
781,faulen::V,breinañ,腐る
782,verfaulen::V,breinañ,朽ちる
783,reißen::V,darnaouiñ,切れる
784,versinken::V,sodellañ,沈む
785,vergehen::V,tremen,経つ
786,erscheinen::V,donet war-wel,現れる
787,verschwinden::V,monet diwar wel,消える
788,sinken::V,en em izelat,下がる
789,abnehmen::V,nebeutaat,減る
790,zunehmen::V,kreskiñ,増える
791,steigen::V,sevel,上がる
792,wachsen::V,kreskiñ,伸びる
793,glänzen::V,lugernañ,輝く
794,funkeln::V,elieniñ,ぴかぴか光る
795,lärmen::V,rabotat,騒ぐ
796,klirren::V,diridignat,がらんがらんと鳴る
797,klirren::V,sterlinkañ,がらんがらんと鳴る
798,brausen::V,gwegal,逆巻く
799,rauschen::V,trouzal,戦ぐ
800,klingen::V,seniñ,鳴る
801,bellen::V,harzhal,吠える
802,heulen::V,yudal,きゃんきゃん鳴く
803,blasen::V,c'hwezhañ,吹く
804,pfeifen::V,c'hwitellat,口笛を吹く
805,schreien::V,huchal,叫ぶ
806,stöhnen::V,hirvoudiñ,うめく
807,zittern::V,krenañ,震える
808,leben::V,bevañ,生きている
809,geboren werden::V,genel,生まれる
810,atmen::V,tennañ e anal,呼吸する
811,trinken::V,evañ,飲む
812,essen::V,debriñ,食べる
813,schlucken::V,lonkañ,飲み込む
814,müde werden::V,skuizhañ,眠くなる
815,einschlafen::V,menel kousket,寝付く
816,schlafen::V,kousket,眠る
817,aufwachen::V,dihuniñ,目が覚める
818,aufstehen::V,sevel,起きる
819,sich erholen::V,diskuizhañ,休養する
820,krank werden::V,klañviñ,病気になる
821,krank sein::V,bezañ klañv,病気である
822,schmerzen::V,skourjezañ,痛む
