,Concept_ID,da,hy
69,Welle::N,bølge,ալիք
70,Wasser::N,vand,ջուր
71,Stein::N,sten,քար
72,Boden::N,jord,գետին
73,Erde::N,jord,հող
74,Staub::N,støv,փոշի
75,Rauch::N,røg,ծուխ
76,Funke::N,gnist,կայծ
77,Feuer::N,ild,կրակ
78,Feuer::N,ild,հրդեհ
79,Licht::N,lys,լույս
80,Schatten::N,skygge,ստվեր
81,Wetter::N,vejr,եղանակ
82,Nebel::N,tåge,մեգ
83,Nebel::N,tåge,մառախուղ
84,Wolke::N,sky,ամպ
85,Regen::N,regn,անձրև
86,Schnee::N,sne,ձյուն
87,Eis::N,is,սառույց
88,Frost::N,frost,սառնամանիք
89,Kälte::N,kulde,դող
90,Hitze::N,hede,շոգ
91,Raureif::N,rimfrost,ցօղեղեամ
92,Regenbogen::N,regnbue,ծիածան
93,Donner::N,torden,որոտ
94,Strömung::N,strømning,հոսանք
95,Tropfen::N,dråbe,կաթիլ
96,Schaum::N,skum,փրփուր
97,Schmutz::N,snavs,կեղտ
98,See::N,sø,լիճ
99,Sumpf::N,sump,ճահիճ
100,Moor::N,mose,ճահիճ
101,Wiese::N,eng,մարգագետին
102,Wald::N,skov,անտառ
103,Hügel::N,høj,բլուր
104,Hügel::N,bakke,բլուր
105,Anhöhe::N,høj,բարձունք
106,Anhöhe::N,bakke,բարձունք
107,Berg::N,bjerg,լեռ
108,Gipfel::N,top,գագաթ
109,Gipfel::N,top,կատար
110,Höhle::N,hule,քարայր
111,Abhang::N,skrænt,լանջ
112,Abhang::N,skrænt,զառիվայր
113,Abhang::N,skråning,լանջ
114,Abhang::N,skråning,զառիվայր
115,Quelle::N,kilde,աղբյուր
116,Bach::N,bæk,վտակ
117,Fluss::N,flod,գետ
118,Ufer::N,bred,ծովափ
119,Küste::N,kyst,ափ
120,Küste::N,kyst,ծովափ
121,Festland::N,fastland,ցամաք
122,Meer::N,hav,ծով
123,Bucht::N,bugt,հաչիւն
124,Insel::N,ø,վղզի
125,Blume::N,blomst,ծաղիկ
126,Gras::N,græs,խոտ
127,Wurzel::N,rod,արմատ
128,Baum::N,træ,ծառ
129,Stamm::N,stamme,իրան
130,Rinde::N,bark,կեղեւ
131,Rinde::N,bark,հաչոց
132,Ast::N,gren,ճյուղ
133,Zweig::N,kvist,ճյուղ
134,Blatt::N,blad,տերեւ
135,Birke::N,birk,ցարասի
136,Kiefer[Baum]::N,fyrretræ,սոճի
137,Weide[Baum]::N,piletræ,ուռենի
138,Tanne::N,gran,եղեւին
139,Horn::N,horn,
140,Feder::N,fjer,փետուր
141,Fell::N,skind,մորթի
142,Flügel::N,vinge,թեւ
143,Klaue::N,klov,չանչ
144,Kralle::N,klo,ճանկ
145,Schwanz::N,hale,պոչ
146,Ei::N,æg,ձու
147,Nest::N,rede,բույն
148,Bau::N,bo,որջ
149,Bau::N,bo,բայոց
150,Tier::N,dyr,կենդանի
151,Herde::N,flok,հոտ
152,Kuh::N,ko,կով
153,Bulle::N,tyr,ցուլ
154,Pferd::N,hest,ձի
155,Schaf::N,får,ոչխար
156,Schwein::N,gris,խոզ
157,Hund::N,hund,շուն
158,Katze::N,kat,կատու
159,Bär::N,bjørn,արջ
160,Eichhörnchen::N,egern,սկյուռ
161,Elch::N,elg,հիւսիսային եղջերու
162,Fuchs::N,ræv,աղվես
163,Hase::N,hare,նապաստակ
164,Maus::N,mus,մուկ
165,Wolf::N,ulv,գայլ
166,Vogel::N,fugl,թռչուն
167,Schwarm::N,sværm,երամ
168,Huhn::N,høne,հավ
169,Hahn::N,hane,աքաղաղ
170,Gans::N,gås,սագ
171,Adler::N,ørn,արծիվ
172,Ente::N,and,բադ
173,Eule::N,ugle,բու
174,Kranich::N,trane,կռունկ
175,Krähe::N,krage,ագռավ
176,Kuckuck::N,gøg,կուկու
177,Schwan::N,svane,կարապ
178,Fisch::N,fisk,ձուկ
179,Barsch::N,aborre,պերկես
180,Hecht::N,gedde,գայլաձուկ
181,Schlange[Tier]::N,slange,օձ
182,Wurm::N,orm,որդ
183,Wurm::N,orm,ճիճու
184,Spinne::N,edderkop,սարդ
185,Ameise::N,myre,միջյուն
186,Laus::N,lus,ոջիլ
187,Mücke::N,myg,մժղուկ
188,Fliege::N,flue,ճանճ
189,Schmetterling::N,sommerfugl,թիթեռ
190,Beere::N,bær,հատապտուղ
191,Apfel::N,æble,խնձոր
192,Pilz::N,svamp,սունկ
193,Zwiebel::N,løg,սոխ
194,Saat::N,sæd,սերմ
195,Korn::N,korn,հատիկ
196,Heu::N,hø,խոտ
197,Schale::N,skræl,կեղեւ
198,Grube::N,grav,փոս
199,Falle::N,fælde,ծուղակ
200,Schlinge::N,snare,խեղդան
201,Spur::N,spor,հետք
202,Asche::N,aske,մոխիր
203,Dreck::N,snavs,աղտ
204,Eisen::N,jern,երկաթ
205,Gold::N,guld,ոսկի
206,Silber::N,sølv,արծաթ
207,Kohle::N,kul,քարածուխ
208,Glas::N,glas,ապակի
209,Lehm::N,ler,կավ
210,Sand::N,sand,ավազ
211,Mensch::N,mennesge,մարդ
212,Mann::N,mand,մարդ
213,Mann::N,mand,տղամարդ
214,Frau::N,kvinde,կին
215,Kind::N,barn,զավակ
216,Junge::N,dreng,տղա
217,Mädchen::N,pige,աղջիկ
218,Familie::N,familie,ընտանիք
219,Großvater::N,bedstefar,պապ
220,Großmutter::N,bedstemor,տատ
221,Eltern::N,forældre,ծնողներ
222,Vater::N,far,հայր
223,Mutter::N,mor,մայր
224,Sohn::N,søn,որդի
225,Tochter::N,datter,աղջիկ
226,Tochter::N,datter,դուստր
227,Bruder::N,bror,եղբայր
228,Schwester::N,søster,քույր
229,Onkel::N,onkel,քեռի
230,Onkel::N,onkel,հորեղբայր
231,Tante::N,tante,մորաքույր
232,Ehemann::N,ægtemand,մարդ
233,Ehemann::N,ægtemand,ամուսին
234,Ehefrau::N,hustru,կին ամուսին
235,Freude::N,glæde,ուրախություն
236,Gelächter::N,latter,ծիծաղ
237,Glück::N,lykke,երջանկություն
238,Kummer::N,sorg,վիշտ
239,Wunsch::N,ønske,ցանկություն
240,Lust::N,lyst,փափագ
241,Lust::N,lyst,իղձ
242,Geist::N,ånd,ոգի
243,Gedanke::N,tanke,միտք
244,Gedächtnis::N,hukommelse,հիշողություն
245,Verstand::N,forstand,խելք
246,Sinn::N,mening,իմաստ
247,Sinn::N,betydning,իմաստ
248,Grund::N,grund,պատճառ
249,Wahrheit::N,sandhed,ճշմարտություն
250,Gespräch::N,samtale,զրույց
251,Märchen::N,eventyr,պայիկի պատմություն
252,Erzählung::N,fortælling,պատմվածք
253,Erzählung::N,fortælling,պատմություն
254,Nachricht::N,efterretning,հաղորդագրություն
255,Neuigkeit::N,nyhed,լուր
256,Neuigkeit::N,nyhed,նորություն
257,Name::N,navn,անուն
258,Rätsel::N,gåde,բարդ խնդիր
259,Rede::N,tale,ճառ
260,Rede::N,tale,ելույթ
261,Sprache::N,sprog,լեզու
262,Stimme::N,stemme,ձայն
263,Wort::N,ord,բառ
264,Zeichen::N,tegn,նշան
265,Ruf::N,råb,կոչ
266,Ruf::N,råb,կանչ
267,Lärm::N,larm,աղմուկ
268,Laut::N,lyd,հնչյուն
269,Laut::N,lyd,ձայն
270,Ton::N,tone,տոն
271,Lied::N,sang,երգ
272,Ruhe::N,ro,անդորրություն
273,Ruhe::N,hvile,անդորրություն
274,Leute::N,folk,մարդիկ
275,Leute::N,mennesker,մարդիկ
276,Volk::N,folk,ազգ
277,Arbeit::N,arbejde,գործ
278,Arbeit::N,arbejde,աշխատանք
279,Gast::N,gæst,հյուր
280,Geschenk::N,gave,նվեր
281,Spiel::N,leg,խաղ
282,Gesellschaft::N,selskab,ընկերություն
283,Hilfe::N,hjælp,օգնությթուն
284,Freund::N,ven,ընկեր
285,Freund::N,ven,բարեկամ
286,Kamerad::N,kammerat,ուղեկից
287,Angelegenheit::N,sag,բան
288,Angelegenheit::N,sag,գործ
289,Angelegenheit::N,anliggende,բան
290,Angelegenheit::N,anliggende,գործ
291,Anzahl::N,antal,քանակ
292,Anzahl::N,antal,գումար
293,Art::N,art,տեսակ
294,Stück::N,stykke,կտոր
295,Teil::N,del,մաս
296,Hälfte::N,halvdel,կես
297,Kreis::N,cirkel,շիջանակ
298,Kreuz::N,kors,խաչ
299,Kreuz::N,kryds,խաչ
300,Linie::N,linie,գիծ
301,Strich::N,streg,գիծ
302,Abstand::N,afstand,անջրպետ
303,Entfernung::N,afstand,հեռավորություն
304,Gegend::N,egn,շրջան
305,Platz::N,plads,տարածություն
306,Ort::N,sted,տեղ
307,Ort::N,sted,վայր
308,Seite::N,side,կողմ
309,Mitte::N,midte,մեջտեղ
310,Gegenstand::N,genstand,առարկա
311,Sache::N,sag,բան
312,Rand::N,rand,վերջք
313,Kante::N,kant,եզր
314,Ecke::N,hjørne,անկյուն
315,Spitze::N,spids,ծայր
316,Ende::N,ende,ծայր
317,Loch::N,hul,անցք
318,Winkel::N,vinkel,անկյուն
319,Muster::N,mønster,օրինակ
320,Größe::N,størrelse,մեծություն
321,Länge::N,længde,երկարություն
322,Höhe::N,højde,բարձրություն
323,Gewicht::N,vægt,կշիռ
324,Menge::N,mængde,քանակ
325,Haufen::N,bunke,դեզ
326,Haufen::N,bunke,կույտ
327,Reihe::N,række,շարք
328,Reihe::N,række,կարգ
329,Boot::N,båd,նավակ
330,Ruder::N,åre,թի
331,Ruder::N,åre,թիակ
332,Schlitten::N,kælk,բալխիր
333,Schlitten::N,slæde,բալխիր
334,Ski::N,ski,դահուկ
335,Lagerfeuer::N,lejrbål,բացօդեայ կրակ
336,Last::N,last,բեռ
337,Last::N,byrde,բեռ
338,Gang::N,gang,զբոսանք
339,Schritt::N,skridt,քայլ
340,Norden::N,nord,հյուսիս
341,Süden::N,syd,հարավ
342,Westen::N,vest,արեւմուտք
343,Osten::N,øst,արեւելք
344,Holz::N,træ,փայտ
345,Brett::N,bræt,տախտակ
346,Platte::N,plade,թիթեղ
347,Stütze::N,støtte,նեցուկ
348,Stange::N,stang,ձող
349,Stock::N,stok,փայտ
350,Stab::N,stav,ցուպ
351,Stab::N,stav,գավազան
352,Rohr::N,rør,խողովակ
353,Haus::N,hus,տուն
354,Heim::N,hjem,տուն
355,Ofen::N,ovn,վառարան
356,Fußboden::N,gulv,հատակ
357,Tisch::N,bord,սեղան
358,Stuhl::N,stol,աթոռ
359,Wiege::N,vugge,օրորոց
360,Bett::N,seng,անկողին
361,Regal::N,reol,դարակ
362,Kiste::N,kasse,տուփ
363,Fenster::N,vindue,պատուհան
364,Tür::N,dør,դուռ
365,Tor::N,port,դարպաս
366,Zaun::N,stakit,ցանկապատ
367,Dach::N,tag,տանիք
368,Dach::N,tag,կտուր
369,Leiter::N,stige,սանդուղք
370,Besen::N,kost,ավել
371,Spaten::N,spade,բահ
372,Schaufel::N,skovl,թի
373,Gabel::N,gaffel,պատառաքաղ
374,Löffel::N,ske,գդալ
375,Messer::N,kniv,դանակ
376,Nagel::N,søm,մեխ
377,Netz::N,net,ցանց
378,Haken::N,krog,կարթ
379,Griff::N,tag,կոթ
380,Griff::N,tag,բռնակ
381,Griff::N,håndtag,կոթ
382,Griff::N,håndtag,բռնակ
383,Schloss::N,lås,կողպեք
384,Bild::N,billede,նկար
385,Bild::N,billede,պատկեր
386,Figur::N,figur,քանդակ
387,Figur::N,figur,պատկեր
388,Puppe::N,dukke,տիկնիկ
389,Beutel::N,pose,տոպրակ
390,Bündel::N,bylt,կապոց
391,Bündel::N,bundt,կապոց
392,Tasche::N,taske,պայուսակ
393,Eimer::N,spand,դույլ
394,Deckel::N,låg,կափարիչ
395,Geschirr::N,husgeråd,ամանեղեն
396,Sack::N,sæk,պարկ
397,Sack::N,sæk,տոպրակ
398,Tasse::N,kop,թաս
399,Tasse::N,kop,գավաթ
400,Topf::N,gryde,անոթ
401,Kessel::N,kedel,կաթսա
402,Essen::N,måltid,կերակուր
403,Nahrung::N,mad,ուտելիք
404,Nahrung::N,næring,ուտելիք
405,Speise::N,ret,խորտիկ
406,Speise::N,ret,կերակուր
407,Fleisch::N,kød,միս
408,Getreide::N,korn,հացահատիկ
409,Brei::N,grød,լանդակ
410,Brot::N,brød,հաց
411,Scheibe::N,skive,կտոր
412,Scheibe::N,skive,պատառ
413,Fett::N,fedt,ճարպ
414,Butter::N,smør,կարագ
415,Öl::N,olie,ձեթ
416,Salz::N,salt,աղ
417,Suppe::N,suppe,սուպ
418,Suppe::N,suppe,ապուր
419,Honig::N,honning,մեղր
420,Milch::N,mælk,կաթ
421,Tee::N,te,թեյ
422,Leder::N,skind,կաշի
423,Wolle::N,uld,բուրդ
424,Stoff::N,stof,գործվածք
425,Nadel::N,nål,ասեղ
426,Faden::N,tråd,թել
427,Knopf::N,knap,կոճակ
428,Knoten::N,knude,հանգույց
429,Farbe::N,farve,ներկ
430,Kleidung::N,påklædning,հագուստ
431,Hemd::N,skjorte,վերնաշապիկ
432,Kragen::N,krave,օձիք
433,Ärmel::N,ærme,թեւք
434,Hose::N,bukser,շալվար
435,Gürtel::N,bælte,գոտի
436,Mütze::N,hue,կեպի
437,Schuh::N,sko,կոշիկ
438,Stiefel::N,støvle,երկարաճիթ կոշիկ
439,Ring::N,ring,զնգալ
440,Band::N,bånd,ժապավեն
441,Kamm::N,kam,սանր
442,Spiegel::N,spejl,հայելի
443,Riemen::N,rem,փոկ
444,Schnur::N,snor,լար
445,Leine::N,snor,փոկ
446,Decke::N,tæppe,վերմակ
447,Kissen::N,pude,բարձ
448,Tuch::N,sjaltørklæde,թաշկինակ
449,Handtuch::N,håndklæde,սրբիչ
450,Kraft::N,kraft,ուժ
451,Stärke::N,styrke,պնդություն
452,Stärke::N,styrke,ամրություն
453,Gesundheit::N,sundhed,առողջություն
454,Krankheit::N,sygdom,ախտ
455,Krankheit::N,sygdom,հիվանդություն
456,Schmerz::N,smerte,ցավ
457,Schmerz::N,smerte,տանջանք
458,Wunde::N,sår,վերք
459,Fieber::N,feber,տենդ
460,Arznei::N,medicin,դեղ
461,Arznei::N,lægemiddel,դեղ
462,Brücke::N,bro,կամուրջ
463,Brunnen::N,brønd,հոր
464,Brunnen::N,brønd,ջրհոր
465,Weide::N,græsgang,արոտավայր
466,Pfad::N,sti,արահետ
467,Weg::N,vej,ուղի
468,Straße::N,gade,ճանապարհ
469,Dorf::N,landsby,գյուղ
470,Stadt::N,by,քաղաք
471,Brief::N,brev,նամակ
472,Buch::N,bog,գիրք
473,Buchstabe::N,bogstav,տառ
474,Buchstabe::N,bogstav,գիր
475,Zeitung::N,avis,լրագիր
476,Leben::N,liv,կյանք
477,Tod::N,død,մահ
478,Grab::N,grav,գերեզման
479,Kirche::N,kirke,եկեղեցի
480,Sünde::N,synd,մեղք
481,Gott::N,gud,աստված
482,Arbeiter::N,arbejder,բանվոր
483,Arbeiter::N,arbejder,աշխատող
484,Chef::N,chef,տեր
485,Meister::N,mester,վարպետ
486,Arzt::N,læge,բժիշկ
487,Lehrer::N,lærer,ուսուցիչ
488,Geld::N,penge,փող
489,Geschäft::N,forretning,գործ
490,Geschäft::N,forretning,աշխատանք
491,Laden::N,butik,կրպակ
492,Laden::N,butik,խանութ
493,Laden::N,forretning,կրպակ
494,Laden::N,forretning,խանութ
495,Preis::N,pris,գին
496,Ware::N,vare,ապրանք
497,Nutzen::N,nytte,օգուտ
498,Reichtum::N,rigdom,հարստություն
499,Welt::N,verden,աշխարհ
500,Land::N,land,երկիր
501,Staat::N,stat,պետություն
502,König::N,konge,արքա
503,König::N,konge,թագավոր
504,Macht::N,magt,իշխանություն
505,Grenze::N,grænse,սահման
506,Krieg::N,krig,պատերազմ
507,Feind::N,fjende,թշնամի
508,Gewalt::N,vold,բռնություն
509,Gewalt::N,vold,սաստկություն
510,Kampf::N,kamp,մարտ
511,Bogen[Waffe]::N,bue,աղեղ
512,Pfeil::N,pil,նետ
513,Gewehr::N,gevær,հրացան
514,Fehler::N,fejl,սխալ
515,Lüge::N,løgn,սուտ
516,Schaden::N,skade,վնաս
517,Unglück::N,uheld,դժբախտություն
518,Unglück::N,ulykke,դժբախտություն
519,Schuld::N,skyld,պակասություն
520,Alter::N,alder,հասակ
521,Schluss::N,slut,վերջ
522,Schluss::N,slut,վախճան
523,Schluss::N,slutning,վերջ
524,Schluss::N,slutning,վախճան
525,Zeit::N,tid,ժամանակ
526,Tag::N,dag,օր
527,Morgen::N,morgen,առավոտ
528,Mittag::N,middag,կեսօր
529,Abend::N,aften,երեկո
530,Nacht::N,nat,գիշեր
531,Woche::N,uge,շաբաթ
532,Monat::N,måned,ամիս
533,Jahr::N,år,տարի
534,Frühling::N,forår,գարուն
535,Sommer::N,sommer,ամառ
536,Herbst::N,efterår,աշուն
537,Winter::N,vinter,ձմեռ
538,Januar::N,januar,հունվար
539,Februar::N,februar,փետրվար
540,März::N,marts,մարտ
541,April::N,april,ապրիլ
542,Mai::N,maj,մայիս
543,Juni::N,juni,հունիս
544,Juli::N,juli,հուլիս
545,August::N,august,օգոստոս
546,September::N,september,սեպտեմբեր
547,Oktober::N,oktober,հոկտեմբեր
548,November::N,november,նոյեմբեր
549,Dezember::N,december,դեկտեմբեր
550,Montag::N,mandag,երկուշաբթի
551,Dienstag::N,tirsdag,երեքշաբթի
552,Mittwoch::N,onsdag,չորեքշաբթի
553,Donnerstag::N,torsdag,հինգշաբթի
554,Freitag::N,fredag,ուրբաթ
555,Samstag::N,lørdag,շաբաթ
556,Sonntag::N,søndag,կիրակի
557,groß::A,stor,մեծ
558,groß::A,stor,խոշոր
559,klein::A,lille,պստիկ
560,klein::A,lille,փոքրիկ
561,lang::A,lang,երկար
562,kurz::A,kort,կարճ
563,breit::A,bred,լայն
564,schmal::A,smal,նեղ
565,dicht::A,tæt,խիտ
566,dick[Gegenstand]::A,tyk,հաստ
567,dünn::A,tynd,բարակ
568,fein::A,fin,նուրբ
569,fest::A,fast,ամուր
570,fest::A,fast,պինդ
571,flach::A,flad,տափակ
572,glatt::A,glat,հարթ
573,hart::A,hård,կարծր
574,weich::A,blød,մեղմ
575,weich::A,blød,փափուկ
576,rund::A,rund,կլոր
577,spitz::A,spids,սրածայր
578,scharf::A,skarp,սուր
579,stumpf::A,sløv,գուլ
580,stumpf::A,stump,գուլ
581,schwer::A,tung,ծանր
582,schön::A,skøn,սիրուն
583,schön::A,skøn,գեղեցիկ
584,heiß::A,hed,թեժ
585,warm::A,varm,տաք
586,warm::A,varm,ջերմ
587,kalt::A,kold,ցուրտ
588,kühl::A,kølig,զով
589,frisch::A,frisk,թարմ
590,feucht::A,fugtig,ղոնավ
591,nass::A,våd,թաց
592,trocken::A,tør,ցամաք
593,voll::A,fuld,լի
594,voll::A,fuld,լիքը
595,leer::A,tom,դատարկ
596,offen::A,åben,բաց
597,geschlossen::A,lukket,գոց
598,sauber::A,ren,մաքուր
599,schmutzig::A,snavset,կեղտոտ
600,roh::A,rå,հում
601,reif::A,moden,հասած
602,reif::A,moden,հասուն
603,lecker::A,lækker,համեղ
604,süß::A,sød,անուշ
605,bitter::A,bitter,կծու
606,sauer::A,sur,թթու
607,sauer::A,sur,թթված
608,hell::A,lys,պայծառ
609,hell::A,lys,խելամիտ
610,dunkel::A,mørk,մութ
611,schwarz::A,sort,սեւ
612,weiß::A,hvid,սպիտակ
613,rot::A,rød,կարմիր
614,gelb::A,gul,դեղին
615,blau::A,blå,կապույտ
616,grün::A,grøn,կանաչ
617,grau::A,grå,գորշ
618,bunt::A,broget,գոյնզգոյն
619,billig::A,billig,էժան
620,teuer::A,dyr,թանկ
621,wertvoll::A,værdifuld,թանկարժեք
622,blind::A,blind,կույր
623,taub::A,døv,խուլ
624,kräftig::A,kraftig,հզոր
625,stark::A,stærk,ուժեղ
626,schwach::A,svag,տկար
627,schwach::A,svag,թույլ
628,fett::A,fed,գեր
629,schlank::A,slank,նիհար
630,hübsch::A,køn,գրավիչ
631,hübsch::A,køn,սիրունիկ
632,böse::A,ond,չար
633,böse::A,slem,չար
634,dumm::A,dum,հիմար
635,faul::A,doven,ծույլ
636,fleißig::A,flittig,ջանասեր
637,fleißig::A,flittig,փութաջան
638,geizig::A,gerrig,ագահ
639,geizig::A,gerrig,կծծի
640,klug::A,klog,խելոք
641,klug::A,klog,ընդունակ
642,geschickt::A,dygtig,ճարտար
643,geschickt::A,behændig,ճարտար
644,lieb::A,rar,սիրելի
645,lustig::A,lystig,զվարթ
646,sanft::A,blid,հեզ
647,hungrig::A,sulten,քաղցած
648,krank::A,syg,հիվանդ
649,nackt::A,nøgen,մերկ
650,traurig::A,bedrøvet,տխուր
651,lebendig::A,levende,կենդանի
652,gut::A,god,լավ
653,schlecht::A,dårlig,վատ
654,richtig::A,rigtig,ձիշտ
655,schlimm::A,slem,լղրճուկ
656,wahr::A,sand,ճիշտ
657,wahr::A,sand,իրական
658,alt::A,gammel,հին
659,neu::A,ny,նոր
660,ehemalig::A,forhenværende,նախկին
661,alt[Lebewesen]::A,gammel,ծեր
662,alt[Lebewesen]::A,gammel,պառավ
663,jung::A,ung,մատաղ
664,arm::A,fattig,աղքատ
665,reich::A,rig,հարուստ
666,bekannt::A,kendt,ծանոթ
667,berühmt::A,berømt,հայտնի
668,berühmt::A,berømt,հռչակավոր
669,fremd::A,fremmed,օտար
670,verschieden::A,forskellig,տարբեր
671,nah::A,nær,մոտ
672,nah::A,nær,մերձ
673,fern::A,fjern,հեռավոր
674,linker::A,venstre,ձախ
675,rechter::A,højre,աջ
676,anderer::A,anden,այլ
677,anderer::A,anden,ուրիշ
678,erster::A,første,առաջին
679,zweiter::A,anden,երկրորդ
680,dritter::A,tredje,երրորդ
681,letzter::A,sidste,վերջին
682,allein::ADV,alene,միայնակ
683,auf einmal::ADV,på én gang,միասնաբար
684,zusammen::ADV,sammen,միասին
685,zusammen::ADV,sammen,իրար հետ
686,lange::ADV,længe,երկար ժամանակ
687,plötzlich::ADV,pludselig,հանկարծ
688,sofort::ADV,straks,իսկույն
689,später::ADV,senere,ավելի ուշ
690,später::ADV,senere,հետո
691,jetzt::ADV,nu,այժմ
692,heute::ADV,i dag,այսօր
693,morgen::ADV,i morgen,վաղը
694,bald::ADV,snart,շուտով
695,dann::ADV,så,ապա
696,dann::ADV,så,հետո
697,gestern::ADV,i går,երեկ
698,einst::ADV,engang,հին ատեն
699,damals::ADV,dengang,ատէնին
700,danach::ADV,derefter,ապա
701,danach::ADV,derefter,այն ժամանակ
702,vorher::ADV,før,առաջ
703,vorher::ADV,forud,առաջ
704,zuerst::ADV,først,նախ
705,einmal::ADV,en gang,մի անգամ
706,manchmal::ADV,sommetider,երբեմն
707,oft::ADV,ofte,հաճախ
708,immer::ADV,altid,միշտ
709,niemals::ADV,aldrig,երբեք
710,hier::ADV,her,այստեղ
711,hierhin::ADV,hid,այստեղ
712,hierhin::ADV,herhen,այստեղ
713,von hier::ADV,herfra,այդտեղից
714,dort::ADV,der,այնտեղ
715,dorthin::ADV,derhen,այնտեղ
716,geradeaus::ADV,lige ud,ուղիղ
717,vorwärts::ADV,fremad,առաջ
718,rückwärts::ADV,baglæns,դեպի ետ
719,zurück::ADV,tilbage,ետ
720,unten::ADV,nede,ներքեւում
721,unten::ADV,forneden,ներքեւում
722,hinab::ADV,ned,ներքեւ
723,hinab::ADV,nedad,ներքեւ
724,oben::ADV,oppe,վերեւում
725,oben::ADV,ovenpå,վերեւում
726,hinauf::ADV,op,վերեւ
727,hinauf::ADV,opad,վերեւ
728,überall::ADV,overalt,ամենուր
729,nicht::ADV,ikke,չէ
730,ein wenig::ADV,lidt,մի քիչ
731,kaum::ADV,knap,հազիվ
732,kaum::ADV,næppe,հազիվ
733,sehr::ADV,meget,շատ
734,so::ADV,så,այդպես
735,noch::ADV,endnu,դեռ
736,nur::ADV,kun,միայն
737,nur::ADV,bare,միայն
738,schon::ADV,alt,արդեն
739,schon::ADV,allerede,արդեն
740,wieder::ADV,igen,նորից
741,wieder::ADV,igen,դարձյալ
742,vergebens::ADV,forgæves,իզուր
743,vor::PRP,foran,դիմացը
744,vor::PRP,uden for,դիմացը
745,hinter::PRP,bag,ետեւը
746,hinter::PRP,bagved,ետեւը
747,unter::PRP,under,տակ
748,durch::PRP,gennem,միջով
749,durch::PRP,igennem,միջով
750,neben::PRP,ved siden af,քովը
751,zwischen::PRP,mellem,միջեւ
752,wegen::PRP,på grund af,պատճառով
753,wegen::PRP,på grund af,շնորհից
754,dies::PRN,dette,սա
755,dies::PRN,dette,այս
756,das::PRN,det,դա
757,das::PRN,det,այդ
758,alles::PRN,alt,ամեն ինչ
759,ich::PRN,jeg,ես
760,du::PRN,du,դու
761,er::PRN,han,նա
762,wir::PRN,vi,մենք
763,ihr::PRN,I,դուք
764,sie::PRN,de,նրանք
765,was::FPRN,hvad,ինչ
766,wer::FPRN,hvem,ով
767,wo::FADV,hvor,ուր
768,wo::FADV,hvor,որտեղ
769,wohin::FADV,hvorhen,դեպի ուր
770,wie::FADV,hvordan,ինչպես
771,warum::FADV,hvorfor,ինչու
772,wieviel::FNUM,hvor meget,որչափ
773,eins::NUM,én,մեկ
774,zwei::NUM,to,երկու
775,drei::NUM,tre,երեք
776,vier::NUM,fire,չորս
777,fünf::NUM,fem,հինգ
778,sechs::NUM,seks,վեց
