,Concept_ID,hu,ba
193,Wurm::N,kukac,селяүсен
194,Spinne::N,pók,үрмәксе
195,Ameise::N,hangya,ҡырмыҫҡа
196,Laus::N,tetű,бет
197,Mücke::N,szúnyog,серәкәй
198,Fliege::N,légy,себен
199,Schmetterling::N,lepke,күбәләк
200,Schmetterling::N,pillangó,күбәләк
201,Beere::N,bogyó,еләк
202,Apfel::N,alma,алма
203,Pilz::N,gomba,бәшмәк
204,Zwiebel::N,hagyma,һуган
205,Saat::N,vetőmag,орлоҡ
206,Korn::N,mag,иген
207,Korn::N,szem,иген
208,Heu::N,széna,бесән
209,Schale::N,héj,ҡабыҡ
210,Grube::N,verem,соҡор
211,Falle::N,csapda,тоҙак
212,Falle::N,csapda,ҡапҡан
213,Schlinge::N,tőr,тоҙак
214,Spur::N,nyom,әҫер
215,Asche::N,hamu,көл
216,Dreck::N,sár,батҡаҡ
217,Dreck::N,piszok,батҡаҡ
218,Eisen::N,vas,тимер
219,Gold::N,arany,алтын
220,Silber::N,ezüst,көмөш
221,Kohle::N,szén,күмер
222,Glas::N,üveg,быяла
223,Lehm::N,agyag,балсыҡ
224,Lehm::N,vályog,балсыҡ
225,Sand::N,homok,ҡом
226,Mensch::N,ember,кеше
227,Mann::N,úr,ир
228,Mann::N,férfi,ир
229,Frau::N,nő,ҡатын
230,Frau::N,asszony,ҡатын
231,Kind::N,gyerek,бала
232,Kind::N,gyermek,бала
233,Junge::N,fiú,малай
234,Mädchen::N,lány,ҡыҙ
235,Mädchen::N,lány,ҡыҙыҡай
236,Familie::N,család,ғаилә
237,Großvater::N,nagyapa,олатай
238,Großmutter::N,nagyanya,әбәй
239,Eltern::N,szülők,ата-әсә
240,Vater::N,apa,атай
241,Vater::N,atya,атай
242,Mutter::N,anya,әсә
243,Sohn::N,fiú,ул
244,Tochter::N,lány,ҡыҙ
245,Bruder::N,fivér,агай
246,Bruder::N,testvér,агай
247,Schwester::N,nővér,алай
248,Schwester::N,nővér,һеңле
249,Schwester::N,lánytestvér,алай
250,Schwester::N,lánytestvér,һеңле
251,Onkel::N,nagybácsi,ағай
252,Tante::N,nagynéni,апай
253,Ehemann::N,férj,ир
254,Ehefrau::N,feleség,ҡатын
255,Freude::N,öröm,шатлыҡ
256,Freude::N,öröm,ҡыуаныс
257,Gelächter::N,nevetés,көлөү
258,Gelächter::N,hahotázás,көлөү
259,Glück::N,boldogság,бәхет
260,Kummer::N,bánat,ҡайғы
261,Wunsch::N,óhaj,теләк
262,Lust::N,kedv,әүәҫлек
263,Geist::N,elme,аң
264,Geist::N,elme,рух
265,Geist::N,szellem,аң
266,Geist::N,szellem,рух
267,Gedanke::N,gondolat,уй
268,Gedanke::N,gondolat,фекер
269,Gedächtnis::N,emlékezet,хәтер
270,Verstand::N,ész,аҡыл
271,Verstand::N,értelem,аҡыл
272,Sinn::N,értelem,мәғәня
273,Grund::N,ok,сәбәп
