,Concept_ID,zh,ca
88,Frost::N,霜冻,glaçada
89,Kälte::N,寒冷,fred
90,Hitze::N,炎热,calor
91,Raureif::N,霜,gebre
92,Regenbogen::N,虹,arc iris
93,Donner::N,雷,tro
94,Strömung::N,水流,corrent
95,Tropfen::N,滴,gota
96,Schaum::N,泡沫,escuma
97,Schmutz::N,赃物,brutícia
98,See::N,湖,llac
99,Sumpf::N,沼泽,pantà
100,Moor::N,沼泽,pantà
101,Wiese::N,草地,prat
102,Wiese::N,草地,prada
103,Wald::N,森林,bosc
104,Hügel::N,丘陵,puig
105,Hügel::N,丘陵,pujol
106,Anhöhe::N,山丘,turó
107,Berg::N,山,muntanya
108,Gipfel::N,峰,cim
109,Höhle::N,洞穴,cova
110,Abhang::N,斜坡,coster
111,Quelle::N,泉,font
112,Bach::N,溪,riera
113,Fluss::N,河流,riu
114,Ufer::N,岸,riba
115,Küste::N,海岸,costa
116,Festland::N,大陆,terra ferma
117,Meer::N,海,mar
118,Bucht::N,海湾,cala
119,Bucht::N,海湾,badia
120,Insel::N,岛,illa
121,Blume::N,花,flor
122,Gras::N,草,herba
123,Wurzel::N,根,rel
124,Wurzel::N,根,arrel
125,Baum::N,树,arbre
126,Stamm::N,树干,tronc
127,Rinde::N,树皮,escorça
128,Ast::N,树枝,branca
129,Zweig::N,树枝,ram
130,Blatt::N,叶子,fulla
131,Birke::N,桦木,bedoll
132,Kiefer[Baum]::N,松树,pi
133,Weide[Baum]::N,柳树,salze
134,Tanne::N,冷杉,avet
135,Horn::N,角,corn
136,Horn::N,角,banya
137,Feder::N,羽毛,ploma
138,Fell::N,皮毛,pell
139,Flügel::N,翅膀,ala
140,Klaue::N,爪子,urpa
141,Kralle::N,爪子,grapa
142,Schwanz::N,尾巴,cua
143,Ei::N,蛋,ou
144,Nest::N,巢,niu
145,Bau::N,穴,cau
146,Tier::N,动物,animāl
147,Herde::N,群,ramat
148,Kuh::N,母牛,vaca
149,Bulle::N,公牛,toro
150,Pferd::N,马,cavāll
151,Schaf::N,羊,be
152,Schaf::N,羊,ovella
153,Schwein::N,猪,bacó
154,Hund::N,狗,ca
155,Hund::N,狗,gos
156,Katze::N,猫,gat
157,Bär::N,熊,ós
158,Eichhörnchen::N,松鼠,esquirol
159,Elch::N,麋鹿,ant
160,Fuchs::N,狐狸,guilla
161,Hase::N,兔子,llebre
162,Maus::N,老鼠,ratolí
163,Wolf::N,狼,llop
164,Vogel::N,鸟,au
165,Vogel::N,鸟,ocēll
166,Schwarm::N,群,bandada
167,Huhn::N,鸡,gallina
168,Hahn::N,公鸡,gall
169,Gans::N,鹅,oca
170,Adler::N,鹰,àguila
171,Ente::N,鸭,ànec
172,Eule::N,猫头鹰,òliba
173,Eule::N,猫头鹰,mussol
174,Kranich::N,鹤,grua
175,Krähe::N,乌鸦,cornella
176,Kuckuck::N,布谷鸟,cucut
177,Schwan::N,天鹅,cigne
178,Fisch::N,鱼,peix
179,Barsch::N,鲈鱼,perca
180,Hecht::N,狗鱼,lluç
181,Schlange[Tier]::N,蛇,serp
182,Wurm::N,蠕虫,cuc
183,Spinne::N,蜘蛛,aranya
184,Ameise::N,蚂蚁,formiga
185,Laus::N,虱子,poll
186,Mücke::N,蚊子,mosquit
187,Fliege::N,苍蝇,mosca
188,Schmetterling::N,蝴蝶,papallona
189,Beere::N,将果,baia
190,Apfel::N,苹果,poma
191,Pilz::N,蘑菇,bolet
192,Zwiebel::N,洋葱,ceba
193,Saat::N,种子,sembra
194,Korn::N,谷粒,gra
195,Heu::N,干草,fenc
196,Schale::N,壳,closca
197,Grube::N,坑,sot
198,Grube::N,坑,clot
199,Falle::N,圈套,trampa
200,Schlinge::N,活扣,baga
201,Spur::N,踪迹,traça
202,Asche::N,灰烬,cendra
203,Dreck::N,污垢,llot
204,Eisen::N,铁,ferro
205,Gold::N,金子,or
206,Silber::N,银,plata
207,Kohle::N,煤,carbó
208,Glas::N,玻璃,vidre
209,Lehm::N,粘土,fang
210,Lehm::N,粘土,argila
211,Sand::N,沙,arena
212,Mensch::N,人,humà
213,Mensch::N,人,persona
214,Mann::N,男子,home
215,Frau::N,妇女,dona
216,Kind::N,小孩,nen
217,Junge::N,男孩,noi
218,Mädchen::N,女孩,noia
219,Familie::N,家庭,família
220,Großvater::N,祖父,avi
221,Großmutter::N,祖母,àvia
222,Eltern::N,父母,pares
223,Vater::N,父亲,pare
224,Mutter::N,母亲,mare
225,Sohn::N,儿子,fill
226,Tochter::N,女儿,filla
227,Bruder::N,兄弟,germà
228,Schwester::N,姐妹,germana
229,Onkel::N,伯父,oncle
230,Tante::N,阿姨,tia
231,Ehemann::N,丈夫,espòs
232,Ehefrau::N,妻子,muller
233,Freude::N,愉快,goig
234,Freude::N,愉快,alegria
235,Gelächter::N,大笑,riallada
236,Glück::N,运气,felicitat
237,Kummer::N,苦恼,pena
238,Wunsch::N,愿望,desig
239,Lust::N,乐趣,ganes
240,Geist::N,精神,ment
241,Geist::N,精神,esperit
242,Gedanke::N,思想,pensament
243,Gedächtnis::N,记性,memòria
244,Verstand::N,理智,raó
245,Verstand::N,理智,seny
246,Sinn::N,感觉,solta
247,Sinn::N,感觉,sentit
248,Grund::N,理由,raó
249,Grund::N,理由,causa
250,Wahrheit::N,真理,veritāt
251,Gespräch::N,谈话,conversa
252,Märchen::N,童话,conte
253,Erzählung::N,故事,narració
254,Nachricht::N,消息,missatge
255,Neuigkeit::N,新闻,novetat
256,Name::N,名字,nom
257,Rätsel::N,谜语,endevinalla
258,Rede::N,讲话,discurs
259,Sprache::N,语言,llēngua
260,Stimme::N,声音,veu
261,Wort::N,词,mot
262,Wort::N,词,paraula
263,Zeichen::N,标记,signe
264,Zeichen::N,标记,senyal
265,Ruf::N,呼喊,crida
266,Lärm::N,噪音,sorōll
267,Laut::N,响声,so
268,Ton::N,声音,to
269,Lied::N,歌曲,cançó
270,Ruhe::N,安静,calma
271,Ruhe::N,安静,silenci
272,Leute::N,人们,gent
273,Volk::N,人民,poble
274,Arbeit::N,劳动,labor
275,Arbeit::N,劳动,treball
276,Gast::N,客人,hoste
277,Geschenk::N,礼物,regal
278,Geschenk::N,礼物,obsequi
279,Spiel::N,游戏,joc
280,Gesellschaft::N,陪同,companyia
281,Hilfe::N,帮助,ajut
282,Freund::N,朋友,amīc
283,Kamerad::N,同志,company
284,Kamerad::N,同志,camarada
285,Angelegenheit::N,事情,afer
286,Angelegenheit::N,事情,assumpte
287,Anzahl::N,数目,nombre
288,Anzahl::N,数目,quantitat
289,Art::N,种类,tipus
290,Art::N,种类,classe
291,Stück::N,块,peça
292,Teil::N,部分,part
293,Hälfte::N,一半,meitat
294,Kreis::N,圆,cercle
295,Kreuz::N,十字架,creu
296,Linie::N,线条,línia
297,Strich::N,划,traç
298,Strich::N,划,ratlla
299,Abstand::N,距离,distància
300,Entfernung::N,距离,distància
301,Gegend::N,地区,regió
302,Gegend::N,地区,contrada
303,Platz::N,场所,cabuda
304,Ort::N,地点,lloc
305,Seite::N,面,banda
306,Seite::N,面,costāt
307,Mitte::N,中间,mig
308,Mitte::N,中间,centre
309,Gegenstand::N,物品,objecte
310,Sache::N,物,cosa
311,Rand::N,边,vora
312,Rand::N,边,marge
313,Kante::N,棱,caire
314,Kante::N,棱,cantell
315,Ecke::N,角,cantonada
316,Spitze::N,尖,punta
317,Ende::N,结尾,cap
318,Loch::N,洞,forāt
319,Winkel::N,角度,racó
320,Muster::N,模型,dibuix
321,Muster::N,模型,disseny
322,Größe::N,大小,grandària
323,Länge::N,长度,longitud
324,Höhe::N,高度,altura
325,Höhe::N,高度,altitud
326,Gewicht::N,重量,pes
327,Menge::N,数量,quantitat
328,Haufen::N,堆,pila
329,Reihe::N,行,fila
330,Boot::N,小船,bot
331,Boot::N,小船,barca
332,Ruder::N,奖,rem
333,Schlitten::N,雪橇,trineu
334,Ski::N,雪板,esquí
335,Lagerfeuer::N,营火,foc de campament
336,Last::N,负担,càrrega
337,Gang::N,行走,marxa
338,Schritt::N,步伐,pas
339,Norden::N,北,nord
340,Süden::N,南,sud
341,Westen::N,西,oest
342,Westen::N,西,occident
343,Osten::N,东,est
344,Osten::N,东,orient
345,Holz::N,木材,fusta
346,Brett::N,木板,taula
347,Platte::N,平板,placa
348,Stütze::N,支架,suport
349,Stange::N,杆,vara
350,Stock::N,棒,pal
351,Stab::N,棍,bastó
352,Rohr::N,管子,tub
353,Haus::N,房屋,casa
354,Heim::N,家,llar
355,Ofen::N,炉子,estufa
356,Fußboden::N,地板,terra
357,Tisch::N,桌子,taula
358,Stuhl::N,椅子,cadira
359,Wiege::N,摇蓝,bressol
360,Bett::N,床,llit
361,Regal::N,架子,prestatgeria
362,Kiste::N,箱子,caixa
363,Fenster::N,窗户,finestra
364,Tür::N,门,porta
365,Tor::N,大门,portal
366,Zaun::N,篱笆,tanca
367,Dach::N,屋顶,teulada
368,Leiter::N,梯子,escala
369,Leiter::N,梯子,escala de mà
370,Besen::N,扫帚,escombra
371,Spaten::N,铁锹,pala
372,Schaufel::N,铁锹,pala
373,Gabel::N,叉,forquilla
374,Löffel::N,食匙,cullera
375,Messer::N,刀,coltell
376,Nagel::N,钉子,clau
377,Netz::N,网,filat
378,Haken::N,钩子,ganxo
379,Griff::N,把柄,puny
380,Griff::N,把柄,mànec
381,Schloss::N,锁,pany
382,Bild::N,图画,imatge
383,Figur::N,人像,figura
384,Puppe::N,娃娃,nina
385,Beutel::N,袋子,bossa
386,Bündel::N,捆,feix
387,Bündel::N,捆,paquet
388,Tasche::N,手提包,bossa
389,Eimer::N,桶,galleda
390,Deckel::N,盖子,tapa
391,Deckel::N,盖子,tapadora
392,Geschirr::N,餐具,vaixella
393,Sack::N,袋子,sac
394,Sack::N,袋子,saca
395,Tasse::N,杯子,tassa
396,Topf::N,锅,pot
397,Topf::N,锅,olla
398,Kessel::N,水壶,caldera
399,Essen::N,进餐,àpat
400,Essen::N,进餐,menjada
401,Nahrung::N,食物,aliment
402,Speise::N,菜肴,plat
403,Fleisch::N,肉,carn
404,Getreide::N,谷物,cereals
405,Brei::N,粥,puré
406,Brot::N,面包,pa
407,Scheibe::N,片,tall
408,Scheibe::N,片,llesca
409,Fett::N,脂肪,greix
410,Butter::N,黄油,mantega
411,Öl::N,油,oli
412,Salz::N,盐,sal
413,Suppe::N,汤,sopa
414,Honig::N,蜂蜜,mel
415,Milch::N,奶,llet
416,Tee::N,茶,te
417,Leder::N,皮革,cuir
418,Wolle::N,毛线,llana
419,Stoff::N,织物,tela
420,Nadel::N,针,agulla
421,Faden::N,线,fil
422,Knopf::N,纽扣,botó
423,Knoten::N,结,nus
424,Farbe::N,颜色,pintura
425,Kleidung::N,衣服,roba
426,Kleidung::N,衣服,vestits
427,Hemd::N,衬衫,camisa
428,Kragen::N,领子,coll
429,Ärmel::N,袖子,màniga
430,Hose::N,裤子,pantalōns
431,Gürtel::N,腰带,cinturó
432,Mütze::N,帽子,gorra
433,Schuh::N,鞋,sabata
434,Stiefel::N,靴子,bota
435,Ring::N,戒指,anell
436,Band::N,带子,veta
437,Band::N,带子,cinta
438,Kamm::N,梳子,pinta
439,Spiegel::N,镜子,mirāll
440,Riemen::N,皮带,corretja
441,Schnur::N,绳子,corda
442,Leine::N,皮带,corretja
443,Decke::N,被子,manta
444,Decke::N,被子,flassada
445,Kissen::N,软垫,coixí
446,Tuch::N,巾,mocador
447,Handtuch::N,手巾,tovallola
448,Kraft::N,力,força
449,Stärke::N,力量,vigor
450,Gesundheit::N,健康,salut
451,Krankheit::N,病,malaltia
452,Schmerz::N,痛,dolor
453,Wunde::N,伤口,ferida
454,Fieber::N,发烧,febre
455,Arznei::N,药,medicament
456,Brücke::N,桥,pont
457,Brunnen::N,井,pou
458,Weide::N,牧场,pastura
459,Pfad::N,小路,senda
460,Pfad::N,小路,sender
461,Weg::N,路,camí
462,Straße::N,街,carretera
463,Dorf::N,村庄,poble
464,Stadt::N,城市,ciutāt
465,Brief::N,信,carta
466,Buch::N,书,llibre
467,Buchstabe::N,字母,lletra
468,Zeitung::N,报纸,diāri
469,Leben::N,生命,vida
470,Tod::N,死亡,mort
471,Grab::N,坟墓,tomba
472,Kirche::N,教堂,església
473,Sünde::N,罪,pecat
474,Gott::N,上帝,déu
475,Arbeiter::N,工人,obrer
476,Chef::N,上司,cap
477,Meister::N,师傅,mestre
478,Arzt::N,医生,metge
479,Lehrer::N,教师,mestre
480,Geld::N,钱,dinērs
481,Geschäft::N,交易,negoci
482,Laden::N,商店,tenda
483,Laden::N,商店,botiga
484,Preis::N,价格,preu
485,Ware::N,商品,mercaderia
486,Nutzen::N,好处,profit
487,Reichtum::N,财富,riquesa
488,Welt::N,世界,món
489,Land::N,国家,país
490,Staat::N,国家,estat
491,König::N,国王,rei
492,Macht::N,权力,poder
493,Macht::N,权力,potència
494,Grenze::N,边界,frontera
495,Krieg::N,战争,guerra
496,Feind::N,敌人,enemic
497,Gewalt::N,暴力,violència
498,Kampf::N,战斗,lluita
499,Bogen[Waffe]::N,弓,arc
500,Pfeil::N,箭,fletxa
501,Gewehr::N,枪,fusell
502,Gewehr::N,枪,escopeta
503,Fehler::N,错误,falta
504,Lüge::N,谎话,mentida
505,Schaden::N,损失,dany
506,Unglück::N,不幸,desgràcia
507,Schuld::N,过错,culpa
508,Alter::N,年龄,edat
509,Schluss::N,结束,fi
510,Schluss::N,结束,final
511,Zeit::N,时间,temps
512,Tag::N,天,dia
513,Morgen::N,早晨,matí
514,Mittag::N,中午,migdia
515,Abend::N,晚上,vespre
516,Nacht::N,夜,nit
517,Woche::N,星期,setmana
518,Monat::N,月,mes
519,Jahr::N,年,any
520,Frühling::N,春天,primavera
521,Sommer::N,夏天,estīu
522,Herbst::N,秋天,tardor
523,Winter::N,冬天,hivērn
524,Januar::N,一月,gener
525,Februar::N,二月,febrer
526,März::N,三月,març
527,April::N,四月,abril
528,Mai::N,五月,maig
529,Juni::N,六月,juny
530,Juli::N,七月,juliol
531,August::N,八月,agost
532,September::N,九月,setembre
533,Oktober::N,十月,octubre
534,November::N,十一月,novembre
535,Dezember::N,十二月,desembre
536,Montag::N,星期一,dilluns
537,Dienstag::N,星期二,dimarts
538,Mittwoch::N,星期三,dimecres
539,Donnerstag::N,星期四,dijous
540,Freitag::N,星期五,divendres
541,Samstag::N,星期六,dissabte
542,Sonntag::N,星期日,diumenge
543,groß::A,大,gros
544,klein::A,小,petīt
545,lang::A,长,llarg
546,kurz::A,短,curt
547,breit::A,宽,ample
548,schmal::A,细长的,estret
549,dicht::A,密,dens
550,dick[Gegenstand]::A,厚,gruixūt
551,dünn::A,薄,prim
552,fein::A,细小,fi
553,fest::A,固体,ferm
554,fest::A,固体,sòlid
555,flach::A,平坦,pla
556,glatt::A,光滑,llis
557,hart::A,硬,dur
558,weich::A,软,tou
559,rund::A,圆,rodó
560,spitz::A,尖,punxegut
561,scharf::A,锋利,agut
562,stumpf::A,钝,rom
563,stumpf::A,钝,esmussat
564,schwer::A,重,pesāt
565,schön::A,美丽,bonīc
566,heiß::A,烫,calēnt
567,warm::A,暖和,càlid
568,kalt::A,冷,fred
569,kühl::A,凉,fresc
570,frisch::A,新鲜,fresc
571,feucht::A,潮湿,humit
572,nass::A,湿,mullat
573,trocken::A,干,sec
574,voll::A,满,ple
575,leer::A,空,buit
576,offen::A,敞开,obert
577,geschlossen::A,关闭,tancat
578,sauber::A,干净,net
579,schmutzig::A,肮脏,brut
580,roh::A,生,cru
581,reif::A,成熟,madur
582,lecker::A,好吃,deliciós
583,süß::A,甜,dolç
584,bitter::A,苦,amarg
585,sauer::A,酸,agre
586,hell::A,亮,clar
587,dunkel::A,阴暗,fosc
588,schwarz::A,黑,negre
589,weiß::A,白,blanc
590,rot::A,红,vermēll
591,gelb::A,黄,groc
592,blau::A,蓝,blau
593,grün::A,绿,verd
594,grau::A,灰色,gris
595,bunt::A,五彩,multicolor
596,billig::A,便宜,barat
597,teuer::A,贵,car
598,wertvoll::A,贵重,preciós
599,blind::A,瞎,cec
600,taub::A,聋,sord
601,kräftig::A,强壮,fort
602,kräftig::A,强壮,vigorós
603,stark::A,强壮,fort
604,schwach::A,弱,feble
605,fett::A,胖,gras
606,schlank::A,苗条,esvelt
607,hübsch::A,漂亮,maco
608,böse::A,邪恶,dolent
609,dumm::A,笨,ximple
610,dumm::A,笨,estúpid
611,faul::A,懒惰,gandūl
612,faul::A,懒惰,mandrós
613,fleißig::A,勤奋,diligēnt
614,geizig::A,吝啬,avar
615,klug::A,聪明,intel·ligent
616,geschickt::A,灵巧,hàbil
617,lieb::A,可爱,amat
618,lieb::A,可爱,estimat
619,lustig::A,快乐,alegre
620,sanft::A,柔和,suau
621,hungrig::A,饥饿,afamat
622,krank::A,患病,malālt
623,nackt::A,裸体,nu
624,traurig::A,悲哀,trist
625,lebendig::A,活,viu
626,gut::A,好,bo
627,schlecht::A,坏,dolēnt
628,richtig::A,正确,just
629,richtig::A,正确,correcte
630,schlimm::A,糟糕,greu
631,wahr::A,真,vertader
632,wahr::A,真,veritable
633,alt::A,旧,vell
634,neu::A,新,nou
635,ehemalig::A,以前,antic
636,alt[Lebewesen]::A,老,vell
637,jung::A,年轻,jove
638,arm::A,贫穷,pobre
639,reich::A,富裕,ric
640,bekannt::A,出名,conegut
641,berühmt::A,著名,famós
642,fremd::A,陌生,estrany
643,verschieden::A,不同,diferent
644,nah::A,近,pròxim
645,fern::A,遥远,llunyà
646,fern::A,遥远,distant
647,linker::A,左,esquerre
648,rechter::A,右,dret
649,anderer::A,别的,altre
650,erster::A,第一,primer
651,zweiter::A,第二,segon
652,dritter::A,第三,tercer
653,letzter::A,最后,últim
654,allein::ADV,单独,sol
655,auf einmal::ADV,同时,d'una vegada
656,zusammen::ADV,一起,junt
657,lange::ADV,许久,molt de temps
658,plötzlich::ADV,忽然,de cop
659,plötzlich::ADV,忽然,de sobte
660,sofort::ADV,立刻,de seguida
661,später::ADV,以后,més tard
662,jetzt::ADV,现在,ara
663,heute::ADV,今天,avūi
664,morgen::ADV,明天,demà
665,bald::ADV,即将,aviāt
666,dann::ADV,然后,després
667,gestern::ADV,昨天,ahir
668,einst::ADV,曾经,anteriorment
669,damals::ADV,当时,llavōrs
670,damals::ADV,当时,aleshores
671,danach::ADV,随后,després
672,vorher::ADV,事先,abāns
673,zuerst::ADV,首先,primer
674,einmal::ADV,一次,una vegada
675,manchmal::ADV,有时,de vegades
676,oft::ADV,时常,sovint
677,immer::ADV,总是,sempre
678,niemals::ADV,从未,no ... mai
679,hier::ADV,这里,aquí
680,hierhin::ADV,到这里,per aquí
681,von hier::ADV,由此,des d'aquí
682,dort::ADV,那里,allí
683,dorthin::ADV,到那里,hi
684,geradeaus::ADV,一直往前,tot dret
685,vorwärts::ADV,向前,endavānt
686,rückwärts::ADV,向后,endarrera
687,zurück::ADV,退后,darrere
688,unten::ADV,下面,a baix
689,hinab::ADV,向下,cap avall
690,oben::ADV,上面,dalt
691,hinauf::ADV,向上,cap amunt
692,überall::ADV,到处,pertot
693,überall::ADV,到处,per tot arreu
694,nicht::ADV,不,no
695,ein wenig::ADV,一点儿,una mica
696,kaum::ADV,几乎不,a penes
697,sehr::ADV,很,molt
698,so::ADV,如此,així
699,noch::ADV,还,encara
700,nur::ADV,只,només
701,schon::ADV,已经,ja
702,wieder::ADV,又,de nou
703,vor::PRP,在...面前,davānt
704,vor::PRP,在...面前,enfront de
705,hinter::PRP,在...背后,darrera
706,unter::PRP,在...下面,sota
707,durch::PRP,穿过,per
708,neben::PRP,在...旁,al costāt de
709,zwischen::PRP,在...之间,entre
710,wegen::PRP,由于,a causa de
711,dies::PRN,这,aquest
712,das::PRN,那,això
713,alles::PRN,一切,tot
714,ich::PRN,我,jo
715,du::PRN,你,tu
716,er::PRN,他,ell
717,wir::PRN,我们,nosaltres
718,ihr::PRN,你们,vosaltres
719,sie::PRN,她,ells
720,sie::PRN,她,elles
721,was::FPRN,什么,què
722,wer::FPRN,谁,qui
723,wo::FADV,哪里,on
724,wohin::FADV,去哪里,cap a on
725,wie::FADV,怎么,com
726,warum::FADV,为什么,per què
727,wieviel::FNUM,多少,quant
728,eins::NUM,一,u
729,zwei::NUM,二,dos
730,drei::NUM,三,tres
731,vier::NUM,四,quatre
732,fünf::NUM,五,cinc
733,sechs::NUM,六,sis
734,sieben::NUM,七,set
735,acht::NUM,八,vuit
736,neun::NUM,九,nou
737,zehn::NUM,十,deu
738,elf::NUM,十一,onze
739,zwölf::NUM,十二,dotze
740,zwanzig::NUM,二十,vint
741,dreißig::NUM,三十,trenta
742,vierzig::NUM,四十,quaranta
743,fünfzig::NUM,五十,cinquanta
744,sechzig::NUM,六十,seixanta
745,siebzig::NUM,七十,setanta
746,achtzig::NUM,八十,vuitanta
747,neunzig::NUM,九十,noranta
748,hundert::NUM,百,cent
749,tausend::NUM,千,mil
750,und::CNJ,和,i
751,oder::CNJ,或者,o
752,stehen::V,站,estar de peu
753,sitzen::V,坐,seure
754,liegen::V,躺着,jeure
755,hängen::V,挂着,penjar
756,werden::V,成为,fer-se
757,werden::V,成为,posar-se
758,passieren::V,发生,succeir
759,beginnen::V,开始,iniciar-se
760,enden::V,终止,acabar-se
761,enden::V,终止,terminar-se
762,wechseln::V,变迁,canviar
763,aufgehen[Sonne]::V,升起,sortir
764,untergehen[Sonne]::V,下落,posar-se
765,scheinen[Sonne]::V,照射,brillar
766,donnern::V,打雷,tronar
767,wehen::V,飘扬,bufar
768,strömen::V,流,afluir
769,fließen::V,流动,fluir
770,sich drehen::V,转动,girar
771,schwanken::V,摇摆,vacil·lar
772,schwingen::V,摇,oscil·lar
773,fallen::V,坠落,caure
774,fallen::V,坠落,tombar
775,brennen::V,燃烧,cremar
776,rauchen::V,冒烟,fumejar
777,regnen::V,下雨,ploure
778,gefrieren::V,结冰,gelar-se
779,tauen::V,融化,fondre's
780,schmelzen::V,溶化,fondre's
781,trocknen::V,变干,assecar-se
782,sieden::V,煮,bullir
783,faulen::V,腐烂,podrir-se
784,verfaulen::V,腐烂,podrir-se
785,reißen::V,撕,trencar-se
786,versinken::V,下沉,enfonsar-se
787,vergehen::V,流逝,passar
788,erscheinen::V,出现,aparèixer
789,verschwinden::V,消失,desaparèixer
790,sinken::V,下降,baixar
791,sinken::V,下降,descendir
792,abnehmen::V,减少,decréixer
793,zunehmen::V,增加,augmentar
794,steigen::V,上升,pujar
795,wachsen::V,生长,créixer
796,glänzen::V,发光,brillar
797,glänzen::V,发光,resplendir
798,funkeln::V,闪烁,espurnejar
799,lärmen::V,吵闹,fer soroll
800,läuten::V,响,sonar
801,klingeln::V,按铃,trucar
802,brausen::V,疾驶,rugir
803,klingen::V,听起来,sonar
804,bellen::V,吠,lladrar
805,heulen::V,嗥,udolar
806,blasen::V,吹,bufar
807,pfeifen::V,吹口哨,xiular
808,schreien::V,叫喊,cridar
809,stöhnen::V,呻吟,gemegar
810,zittern::V,颤抖,tremolar
811,leben::V,生存,vīure
812,geboren werden::V,出生,néixer
813,atmen::V,呼吸,respirar
814,trinken::V,喝,beure
815,essen::V,吃,menjar
816,schlucken::V,咽,empassar-se
817,müde werden::V,疲倦,cansar-se
818,einschlafen::V,入睡,adormir-se
819,schlafen::V,睡觉,dormir
820,aufwachen::V,睡醒,despertar-se
821,aufstehen::V,起床,llevar-se
822,sich erholen::V,休养,descansar
823,krank werden::V,生病,posar-se malalt
824,krank sein::V,生病,estar malalt
825,schmerzen::V,疼痛,doldre
826,husten::V,咳,tossir
827,genesen::V,痊愈,recuperar-se
828,sterben::V,死,morir
829,umkommen::V,丧命,perir
830,sich bewegen::V,移动,moure's
831,sich rühren::V,动弹,moure's
832,sich erheben::V,站起,aixecar-se
833,sich setzen::V,坐,asseure's
834,hinfallen::V,跌倒,caure's
835,laufen::V,步行,caminar
836,schreiten::V,迈步,procedir
837,spazierengehen::V,散步,passejar
838,eilen::V,急忙,anar corrent
839,sich beeilen::V,赶快,afanyar-se
840,sausen::V,疾驰,córrer
841,rennen::V,奔跑,córrer
842,springen::V,跳,saltar
843,klettern::V,攀缘,escalar
844,schaukeln::V,荡秋千,gronxar-se
845,schaukeln::V,荡秋千,balancejar-se
846,kriechen::V,爬行,reptar
847,kriechen::V,爬行,arrossegar-se
848,schwimmen::V,游泳,nadar
849,tauchen::V,潜水,bussejar
850,tauchen::V,潜水,submergir-se
851,rudern::V,划船,remar
852,fahren::V,行驶,anar
853,fliegen::V,飞,volar
854,gehen::V,走,caminar
855,weggehen::V,离去,anar-se'n
856,abfahren::V,出发,partir
857,anhalten::V,停住,aturar-se
858,hineingehen::V,进去,entrar
859,eintreten::V,进入,entrar
860,kommen::V,来,venir
861,ankommen::V,到达,arribar
862,zurückkommen::V,回来,tornar
863,bleiben::V,停留,quedar-se
864,warten::V,等,esperar
865,erwarten::V,等候,esperar
866,suchen::V,找,buscar
867,finden::V,找到,trobar
868,versuchen::V,尝试,intentar
