,Concept_ID,kv,sl
309,Kreis::N,круг,kolobár
310,Kreuz::N,перна,kríž
311,Linie::N,визь,próga
312,Strich::N,кырӧв,čŕta
313,Abstand::N,колас,preslédek
314,Entfernung::N,ылына,oddáljenost
315,Gegend::N,места,kràj
316,Gegend::N,места,dežêla
317,Platz::N,места,prôstor
318,Ort::N,места,mésto
319,Seite::N,ладор,bòk
320,Seite::N,ладор,strán
321,Mitte::N,шӧр,sredína
322,Gegenstand::N,тор,prédmet
323,Sache::N,тор,réč
324,Sache::N,тор,stvár
325,Rand::N,дор,kràj
326,Kante::N,ордлы,rób
327,Ecke::N,пельӧс,vogál
328,Spitze::N,йыв,óst
329,Ende::N,йыв,kônec
330,Loch::N,осьта,lúknja
331,Winkel::N,пельӧс,kót
332,Muster::N,сер,vzórec
333,Größe::N,ыжда,veličína
334,Länge::N,кузя,dolžína
335,Höhe::N,сувда,vršína
336,Höhe::N,вылына,vršína
337,Gewicht::N,сьӧкта,téža
338,Haufen::N,куча,kùp
339,Haufen::N,куча,kopíca
340,Reihe::N,лёдз,níz
341,Reihe::N,лёдз,vŕsta
342,Boot::N,пыж,čóln
343,Ruder::N,пелыс,vêslo
344,Schlitten::N,додь,saní
345,Ski::N,лямпа,smučí
346,Lagerfeuer::N,бипур,táborni ôgenj
347,Last::N,тягота,tôvor
348,Gang::N,мунӧм,hòd
349,Schritt::N,вожмӧв,korák
350,Norden::N,ой,séver
351,Süden::N,лун,júg
352,Westen::N,рытвыв,zapàd
353,Osten::N,асыв,vzhòd
354,Holz::N,пу,lés
355,Brett::N,пӧв,deskà
356,Platte::N,плита,plôča
357,Stütze::N,пика,opóra
358,Stütze::N,пика,zaslómba
359,Stange::N,зор,gréd
360,Stange::N,потш,gréd
361,Stock::N,бедь,pálica
362,Stab::N,шест,pálica
363,Rohr::N,труба,cév
364,Haus::N,керку,híša
365,Heim::N,керку,dóm
366,Ofen::N,пӧжавны,péč
367,Fußboden::N,джодж,pòd
368,Tisch::N,пызан,míza
369,Stuhl::N,стул,stòl
370,Wiege::N,зыбка,zíbel
371,Bett::N,кровать,póstelja
372,Regal::N,джадж,políca
373,Kiste::N,ящик,zabòj
374,Fenster::N,ӧшын,ôkno
375,Tür::N,ыбӧс,vráta
376,Tor::N,ворота,velíka vráta
377,Zaun::N,забор,ográja
378,Dach::N,крыша,stréha
379,Leiter::N,лиснич,léstev
380,Besen::N,рос,mêtla
381,Spaten::N,зыр,lopáta
382,Schaufel::N,зыр,lopáta
383,Gabel::N,вила,vílice
384,Löffel::N,пань,žlíca
385,Messer::N,пурт,nòž
386,Nagel::N,кӧрттув,žebèlj
387,Netz::N,кыйӧт,mréža
388,Haken::N,ем,kljúka
389,Griff::N,пу,ročáj
390,Griff::N,пу,oprijèm
391,Schloss::N,замок,ključávnica
392,Bild::N,картина,slíka
393,Figur::N,мыгӧр,figúra
394,Figur::N,мыгӧр,postáva
395,Puppe::N,акань,lútka
396,Beutel::N,мешӧк,môšnja
397,Bündel::N,нин,cúla
398,Bündel::N,нин,svéženj
399,Tasche::N,сумка,tórba
400,Tasche::N,сумка,tobôlec
401,Eimer::N,ведра,vêdro
402,Deckel::N,вевт,pokròv
403,Deckel::N,вевт,poklópec
404,Geschirr::N,доз,posóda
405,Geschirr::N,бекӧрпань,posóda
406,Sack::N,мешӧк,vréča
407,Tasse::N,бекӧр,skodélica
408,Topf::N,кастрюля,lônec
409,Kessel::N,пӧрт,kôtel
410,Essen::N,сёйӧм,hrána
411,Nahrung::N,вердан,živílo
412,Speise::N,сёян,jéd
413,Fleisch::N,яй,mesó
414,Getreide::N,сю,žíto
415,Brei::N,каша,káša
416,Brot::N,нянь,krùh
417,Scheibe::N,шӧрӧм,réženj
418,Fett::N,гос,mást
