,Concept_ID,zh,udm
253,Grund::N,理由,ньӧм
254,Wahrheit::N,真理,зэм
255,Wahrheit::N,真理,шонер
256,Gespräch::N,谈话,вераськон
257,Märchen::N,童话,выжыкыл
258,Erzählung::N,故事,верос
259,Nachricht::N,消息,ивор
260,Neuigkeit::N,新闻,выльивор
261,Name::N,名字,ним
262,Rätsel::N,谜语,мадькыл
263,Rede::N,讲话,верам
264,Sprache::N,语言,кыл
265,Stimme::N,声音,куара
266,Wort::N,词,кыл
267,Zeichen::N,标记,пус
268,Zeichen::N,标记,тодмет
269,Ruf::N,呼喊,ӧтён
270,Ruf::N,呼喊,чортон
271,Lärm::N,噪音,ӵашетон
272,Laut::N,响声,куара
273,Ton::N,声音,куара
274,Lied::N,歌曲,кырӟан
275,Ruhe::N,安静,чалмыт улон
276,Leute::N,人们,адямиос
277,Volk::N,人民,калык
278,Arbeit::N,劳动,уж
279,Gast::N,客人,куно
280,Geschenk::N,礼物,салам
281,Geschenk::N,礼物,кузьым
282,Spiel::N,游戏,шудон
283,Gesellschaft::N,陪同,калык
284,Hilfe::N,帮助,юрттон
285,Freund::N,朋友,эш
286,Freund::N,朋友,юлтош
287,Kamerad::N,同志,тодмо
288,Angelegenheit::N,事情,уж
289,Anzahl::N,数目,лыд
290,Art::N,种类,тус
291,Stück::N,块,юдэс
292,Teil::N,部分,люкет
293,Hälfte::N,一半,ӝыны
294,Kreis::N,圆,котырес
295,Kreuz::N,十字架,крест
296,Linie::N,线条,гож
297,Strich::N,划,гож
298,Abstand::N,距离,вис
299,Abstand::N,距离,кусып
300,Entfernung::N,距离,кусып
301,Gegend::N,地区,инты
302,Platz::N,场所,инты
303,Ort::N,地点,инты
304,Ort::N,地点,места
305,Seite::N,面,пал
306,Mitte::N,中间,шор
307,Gegenstand::N,物品,арбери
308,Sache::N,物,котыр
309,Rand::N,边,дур
310,Rand::N,边,шаер
311,Kante::N,棱,дур
312,Ecke::N,角,сэрег
313,Spitze::N,尖,йыл
314,Ende::N,结尾,пум
315,Loch::N,洞,пась
316,Winkel::N,角度,сэрег
317,Muster::N,模型,пужы
318,Größe::N,大小,быдӟала
319,Länge::N,长度,кузьдала
320,Höhe::N,高度,ӝуждала
321,Gewicht::N,重量,сектала
322,Gewicht::N,重量,секытлык
323,Menge::N,数量,лыд
324,Menge::N,数量,лыдпус
325,Haufen::N,堆,люк
326,Reihe::N,行,чур
327,Boot::N,小船,пыж
328,Boot::N,小船,лодка
329,Ruder::N,奖,полыс
330,Schlitten::N,雪橇,додьы
331,Ski::N,雪板,куас
332,Lagerfeuer::N,营火,тылскем
333,Last::N,负担,секыт
334,Gang::N,行走,ветлон
335,Schritt::N,步伐,вамыш
336,Norden::N,北,уйпал
337,Süden::N,南,лымшор
338,Westen::N,西,шунды пуксён
339,Osten::N,东,шунды ӝужан
340,Holz::N,木材,пу
341,Brett::N,木板,пул
342,Platte::N,平板,плита
343,Stütze::N,支架,пыкет
344,Stange::N,杆,пуӵ
345,Stock::N,棒,боды
346,Stab::N,棍,пуӵ
347,Stab::N,棍,боды
348,Rohr::N,管子,труба
349,Haus::N,房屋,юрт
350,Heim::N,家,корка
351,Ofen::N,炉子,гур
352,Fußboden::N,地板,выж
353,Tisch::N,桌子,ӝӧк
354,Stuhl::N,椅子,пукон
355,Wiege::N,摇蓝,кӧкы
356,Wiege::N,摇蓝,зыбка
357,Bett::N,床,валес
358,Regal::N,架子,ӝажы
359,Kiste::N,箱子,ящик
360,Fenster::N,窗户,укно
361,Fenster::N,窗户,косяк
362,Tür::N,门,ӧс
363,Tor::N,大门,ӟезьы
364,Zaun::N,篱笆,забор
365,Dach::N,屋顶,липет
366,Leiter::N,梯子,падӟа
367,Besen::N,扫帚,ӵужон
368,Besen::N,扫帚,исьнер
369,Spaten::N,铁锹,лопатка
370,Schaufel::N,铁锹,ютырон
371,Gabel::N,叉,тэчы
372,Gabel::N,叉,вилка
373,Löffel::N,食匙,пуньы
374,Messer::N,刀,пурт
375,Nagel::N,钉子,кортӵог
376,Netz::N,网,сеть
377,Haken::N,钩子,курик
378,Griff::N,把柄,ныд
379,Schloss::N,锁,тунгон
380,Bild::N,图画,суред
381,Figur::N,人像,фигура
382,Puppe::N,娃娃,мунё
383,Beutel::N,袋子,пуйы
384,Bündel::N,捆,керттэт
385,Tasche::N,手提包,пуйы
386,Tasche::N,手提包,сумка
387,Eimer::N,桶,ведра
388,Deckel::N,盖子,ӵоксэт
389,Geschirr::N,餐具,тусьты-пуньы
390,Sack::N,袋子,пуйы
391,Tasse::N,杯子,ӵаша
392,Topf::N,锅,миска
393,Kessel::N,水壶,пурты
394,Essen::N,进餐,сиськон
395,Nahrung::N,食物,сион
396,Speise::N,菜肴,сиён
397,Fleisch::N,肉,сӥль
398,Getreide::N,谷物,ю тысь
399,Brei::N,粥,ӝук
400,Brot::N,面包,нянь
401,Scheibe::N,片,шорем
402,Fett::N,脂肪,кӧй
403,Butter::N,黄油,вӧй
404,Öl::N,油,вӧй
405,Salz::N,盐,сылал
406,Suppe::N,汤,шыд
407,Honig::N,蜂蜜,чечы
408,Milch::N,奶,йӧл
409,Tee::N,茶,чай
410,Leder::N,皮革,сурон
411,Wolle::N,毛线,гон
412,Wolle::N,毛线,ыжгон
413,Stoff::N,织物,куэм
414,Nadel::N,针,вень
415,Faden::N,线,сӥньыс
416,Knopf::N,纽扣,бирды
417,Knoten::N,结,герд
418,Farbe::N,颜色,буёл
419,Kleidung::N,衣服,дӥсь
420,Hemd::N,衬衫,дэрем
421,Kragen::N,领子,сирес
422,Ärmel::N,袖子,саес
423,Hose::N,裤子,брюки
424,Hose::N,裤子,штань
425,Gürtel::N,腰带,кускерттон
426,Mütze::N,帽子,ызьы
427,Schuh::N,鞋,ботинка
428,Stiefel::N,靴子,сапег
429,Ring::N,戒指,зундэс
430,Band::N,带子,лента
431,Kamm::N,梳子,сын
432,Spiegel::N,镜子,синучкон
433,Riemen::N,皮带,е
434,Schnur::N,绳子,гозы
435,Leine::N,皮带,думет
436,Decke::N,被子,шобрет
437,Kissen::N,软垫,миндэр
438,Tuch::N,巾,кышет
439,Handtuch::N,手巾,ӵушкон
440,Kraft::N,力,кать
441,Kraft::N,力,ӟигар
442,Stärke::N,力量,юнлык
443,Gesundheit::N,健康,тазалык
444,Krankheit::N,病,висён
445,Schmerz::N,痛,висён
446,Wunde::N,伤口,яра
