,Concept_ID,ko,et
95,Regenbogen::N,무지개,vikerkaar
96,Donner::N,뇌명,kõu
97,Donner::N,뇌명,müristamine
98,Strömung::N,유동,voolus
99,Strömung::N,유동,jõevool
100,Tropfen::N,물방울,tilk
101,Schaum::N,포말,vaht
102,Schmutz::N,때,pori
103,Schmutz::N,때,mustus
104,See::N,호수,järv
105,Sumpf::N,습지,soo
106,Moor::N,저습지,raba
107,Wiese::N,목초지,aas
108,Wiese::N,목초지,nurm
109,Wald::N,숲,mets
110,Hügel::N,언덕,küngas
111,Anhöhe::N,언덕,küngas
112,Berg::N,산,mägi
113,Gipfel::N,졀졍,mäetipp
114,Höhle::N,공동,koobas
115,Abhang::N,몰매,nõlvak
116,Quelle::N,근원,allikas
117,Bach::N,내,oja
118,Fluss::N,강,jõgi
119,Ufer::N,강변,kallas
120,Ufer::N,바닷가,kallas
121,Küste::N,해변,rannik
122,Küste::N,해변가,rannik
123,Festland::N,본토,mander
124,Festland::N,본토,maismaa
125,Meer::N,바다,meri
126,Bucht::N,협만,laht
127,Insel::N,섬,saar
128,Blume::N,꽃,lill
129,Gras::N,풀,rohi
130,Wurzel::N,뿌리,juur
131,Baum::N,나무,puu
132,Stamm::N,대,tüvi
133,Rinde::N,나무껍질,koor
134,Ast::N,가지,oks
135,Zweig::N,가지,oks
136,Blatt::N,잎,leht
137,Birke::N,자작나무,kask
138,Kiefer[Baum]::N,소나무,mänd
139,Weide[Baum]::N,쉬양버들,paju
140,Tanne::N,전나무,nulg
141,Horn::N,뿔,sarv
142,Feder::N,깃털,sulg
143,Fell::N,피혁모피,karvkate
144,Fell::N,피혁모피,karusnahk
145,Flügel::N,날개,tiib
146,Flügel::N,날개,tiivik
147,Klaue::N,갈고리 발톺,küüs
148,Kralle::N,발툭,küünis
149,Schwanz::N,꼬리,saba
150,Ei::N,알,muna
151,Nest::N,보금자리,pesa
152,Bau::N,굴,urg
153,Tier::N,짐승,loom
154,Herde::N,가축의떼,kari
155,Kuh::N,암소,lehm
156,Bulle::N,황소,pull
157,Pferd::N,말,hobune
158,Schaf::N,양,lammas
159,Schwein::N,돼지,siga
160,Hund::N,개,koer
161,Katze::N,고양이,kass
162,Bär::N,콤,karu
163,Eichhörnchen::N,다람쥐,orav
164,Elch::N,고라니,põder
165,Fuchs::N,여우,rebane
166,Hase::N,토끼,jänes
167,Maus::N,쥐,hiir
168,Wolf::N,늑대,hunt
169,Vogel::N,새,lind
170,Schwarm::N,뗴,parv
171,Huhn::N,암탉,kana
172,Hahn::N,수탉,kukk
173,Gans::N,거위,hani
174,Adler::N,수리,kotkas
175,Ente::N,오리,part
176,Eule::N,부엉이,kakk
177,Eule::N,부엉이,öökull
178,Kranich::N,두루미,kurg
179,Krähe::N,까마귀,vares
180,Kuckuck::N,뻐꾸기,kägu
181,Schwan::N,배조,luik
182,Fisch::N,물고기,kala
183,Barsch::N,농어,ahven
184,Hecht::N,에속스,haug
185,Schlange[Tier]::N,뱀,uss
186,Wurm::N,벌레,uss
187,Wurm::N,벌레,vagel
188,Spinne::N,거미,ämblik
189,Ameise::N,개미,sipelgas
190,Laus::N,이,täi
191,Mücke::N,모기,sääsk
192,Fliege::N,날기,kärbes
193,Schmetterling::N,나비,liblikas
194,Beere::N,장과,mari
195,Apfel::N,사과,õun
196,Pilz::N,고방이,seen
197,Zwiebel::N,양파,sibul
198,Saat::N,씨,seeme
199,Korn::N,알맹이,iva
200,Korn::N,알맹이,tera
201,Heu::N,건초,hein
202,Schale::N,피상,koor
203,Falle::N,함정,lõks
204,Falle::N,함정,püünis
205,Schlinge::N,올가미,aas
206,Schlinge::N,멜빵붕대,aas
207,Spur::N,발지국,jälg
208,Asche::N,재,tuhk
209,Dreck::N,똥,saast
210,Dreck::N,똥,mustus
211,Dreck::N,오물,saast
212,Dreck::N,오물,mustus
213,Eisen::N,쇠,raud
214,Eisen::N,철,raud
215,Gold::N,항금,kuld
216,Silber::N,은,hõbe
217,Kohle::N,슻,süsi
218,Glas::N,유리,klaas
219,Lehm::N,찰흙,savi
220,Sand::N,모래,liiv
221,Mensch::N,사람,inimene
222,Mann::N,남자,mees
223,Frau::N,여자,naine
224,Kind::N,아이,laps
225,Junge::N,소녁,poiss
226,Mädchen::N,소녀,tüdruk
227,Familie::N,가족,perekond
228,Großvater::N,할아버지,vanaisa
229,Großmutter::N,할머니,vanaema
230,Eltern::N,어버오,vanemad
231,Vater::N,아버지,isa
232,Mutter::N,어머니,ema
233,Sohn::N,아들,poeg
234,Tochter::N,딸기,tütar
235,Bruder::N,형제,vend
236,Schwester::N,누이,õde
237,Onkel::N,백부,onu
238,Tante::N,아주머니,tädi
239,Ehemann::N,남편,mees
240,Ehemann::N,남편,abikaasa
241,Ehefrau::N,아내,naine
242,Ehefrau::N,아내,abikaasa
243,Freude::N,기쁨,rõõm
244,Gelächter::N,웃음,naer
245,Glück::N,즐거움,õnn
246,Kummer::N,슬픔,mure
247,Kummer::N,슬픔,kurbus
248,Wunsch::N,소망,soov
249,Geist::N,할기,vaim
250,Gedanke::N,상념,mõte
251,Gedächtnis::N,기억,mälu
252,Verstand::N,분별,aru
253,Verstand::N,분별,mõistus
254,Verstand::N,지능,aru
255,Verstand::N,지능,mõistus
256,Sinn::N,센스,tähendus
257,Grund::N,까닭,põhjus
258,Wahrheit::N,참,tõde
259,Wahrheit::N,진실,tõde
260,Gespräch::N,대화,kõne
261,Gespräch::N,대화,vestlus
262,Märchen::N,동화,muinasjutt
263,Erzählung::N,이야기,jutustus
264,Neuigkeit::N,뉴스,uudis
265,Name::N,이름,nimi
266,Rätsel::N,수수께끼,mõistatus
267,Rede::N,연설,kõne
268,Sprache::N,말,keel
269,Stimme::N,목소리,hääl
270,Wort::N,낱말,sõna
271,Zeichen::N,신호,märk
272,Ruf::N,부름,hüüe
273,Lärm::N,소동,müra
274,Laut::N,음성,hääl
275,Ton::N,목소리,toon
276,Lied::N,노래,laul
277,Ruhe::N,쉼,rahu
278,Ruhe::N,쉼,vaikus
279,Leute::N,사람들,inimesed
280,Volk::N,국중,rahvas
281,Arbeit::N,근로,töö
282,Arbeit::N,너무,töö
283,Gast::N,손님,külaline
284,Geschenk::N,행하,kingitus
285,Spiel::N,무리,mäng
286,Gesellschaft::N,교제,selts
287,Hilfe::N,거들음,abi
288,Hilfe::N,보좌,abi
289,Freund::N,친구,sõber
290,Kamerad::N,동실자,sõber
291,Angelegenheit::N,용무,asi
292,Anzahl::N,어떤,arv
293,Anzahl::N,어떤,hulk
294,Anzahl::N,수,arv
295,Anzahl::N,수,hulk
296,Art::N,정류,liik
297,Stück::N,일부분,tükk
298,Teil::N,몱,osa
299,Teil::N,구훠,osa
300,Hälfte::N,2분의,pool
301,Kreis::N,고리,ring
302,Kreuz::N,열십자,rist
303,Linie::N,선,joon
304,Strich::N,스침,joon
305,Abstand::N,거리,vahe
306,Entfernung::N,거리,kaugus
307,Entfernung::N,거리,vahemaa
308,Gegend::N,곳,ümbrus
309,Gegend::N,부금,ümbrus
310,Platz::N,장소,ruum
311,Ort::N,장소,paik
312,Seite::N,옆면,pool
313,Mitte::N,궁간,keskpaik
314,Gegenstand::N,항목,ese
315,Sache::N,뭉에,ese
316,Rand::N,가,äär
317,Rand::N,가,serv
318,Kante::N,귀퉁,kant
319,Ecke::N,구석,nurk
320,Spitze::N,끝,teravik
321,Spitze::N,참단,teravik
322,Ende::N,말당,ots
323,Ende::N,말당,jupp
324,Loch::N,빙옷,auk
325,Winkel::N,각도,nurk
326,Muster::N,본,muster
327,Muster::N,견복,muster
328,Größe::N,신장,suurus
329,Länge::N,길이긺,pikkus
330,Höhe::N,높이,kõrgus
331,Gewicht::N,추,kaal
332,Gewicht::N,추,raskus
333,Menge::N,수양,arv
334,Menge::N,수양,hulk
335,Haufen::N,퇴적,hunnik
336,Reihe::N,열,rivi
337,Boot::N,보트,paat
338,Ruder::N,노,aer
339,Schlitten::N,썰매,saan
340,Ski::N,스키,suusk
341,Lagerfeuer::N,캠프의 모닥불,lõke
342,Last::N,무거운짐,koorem
343,Gang::N,걸음,käik
344,Schritt::N,보조,samm
345,Norden::N,북쪽 ,põhi
346,Süden::N,남쪽,lõuna
347,Westen::N,서쪽,lääs
348,Osten::N,동쪽,ida
349,Holz::N,목재,puu
350,Brett::N,마루널,saelaud
351,Platte::N,탤,plaat
352,Platte::N,금속판,plaat
353,Stütze::N,버팀목,tugi
354,Stange::N,장대,latt
355,Stange::N,장대,teivas
356,Stock::N,막대기,kepp
357,Stab::N,작대기,varras
358,Rohr::N,갈대,toru
359,Haus::N,집,maja
360,Heim::N,집,kodu
361,Ofen::N,아궁이,ahi
362,Fußboden::N,마루,põrand
363,Tisch::N,탁자,laud
364,Stuhl::N,의자,tool
365,Wiege::N,발상지,häll
366,Wiege::N,발상지,kätki
367,Bett::N,침대,voodi
368,Regal::N,서가,riiul
369,Kiste::N,짐궤,kast
370,Fenster::N,눔,aken
371,Tür::N,문,uks
372,Tor::N,대문,värav
373,Zaun::N,담장,aed
374,Zaun::N,담장,tara
375,Dach::N,지붕,katus
376,Leiter::N,사닥다리,redel
377,Besen::N,비,luud
378,Spaten::N,가래,labidas
379,Schaufel::N,삽,kühvel
380,Gabel::N,갈래,kahvel
381,Löffel::N,숟가락,lusikas
382,Messer::N,나이프,nuga
383,Nagel::N,발툽,nael
384,Netz::N,그물,võrk
385,Haken::N,갈고리,haak
386,Haken::N,갈고리,konks
387,Griff::N,움켜쥠,sang
388,Griff::N,움켜쥠,käepide
389,Schloss::N,자물쇠,lukk
390,Bild::N,그림,pilt
391,Figur::N,몸메,kuju
392,Figur::N,몸메,kujund
393,Puppe::N,인형,nukk
394,Beutel::N,클,paun
395,Bündel::N,자근다발,kimp
396,Tasche::N,가방,kott
397,Eimer::N,동이,pang
398,Eimer::N,동이,ämber
399,Deckel::N,뚜껑,kaas
400,Geschirr::N,식시,nõud
401,Sack::N,조갑,kott
402,Tasse::N,차잔,tass
403,Topf::N,단지,pada
404,Kessel::N,주전자,pada
405,Essen::N,먹기,söök
406,Nahrung::N,식료,toit
407,Speise::N,음식물,roog
408,Fleisch::N,고기,liha
409,Getreide::N,곡물,teravili
410,Brei::N,젤리,puder
411,Brot::N,빵,sai
412,Brot::N,빵,leib
413,Scheibe::N,원반,viil
414,Scheibe::N,원반,viilukas
415,Fett::N,기름,rasv
416,Butter::N,버터,või
417,Öl::N,올리브유,õli
418,Salz::N,소금,sool
419,Suppe::N,국,supp
420,Suppe::N,수프,supp
421,Honig::N,감미,mesi
422,Milch::N,유즙,piim
423,Tee::N,차,tee
424,Leder::N,가죽,nahk
425,Wolle::N,양털,vill
426,Stoff::N,패료,kangas
427,Nadel::N,바늘,nõel
428,Faden::N,콘실,niit
429,Knopf::N,단추,nööp
430,Knoten::N,곁절,sõlm
431,Farbe::N,색,värv
432,Kleidung::N,옷입기,riided
433,Kleidung::N,옷입기,riietus
434,Hemd::N,속옷,särk
435,Kragen::N,깃,krae
436,Ärmel::N,소매,varrukas
437,Hose::N,바지,püksid
438,Gürtel::N,밴드,vöö
439,Mütze::N,모자,müts
440,Schuh::N,구두,king
441,Stiefel::N,장화,saabas
442,Ring::N,고리,sõrmus
443,Band::N,리본,lint
444,Kamm::N,빗,kamm
445,Spiegel::N,거울,peegel
446,Riemen::N,가죽끈,rihm
447,Schnur::N,밧줄,nöör
448,Leine::N,고삐줄,jalutusrihm
449,Decke::N,이부자리,tekk
450,Kissen::N,깔개,padi
451,Tuch::N,천,kalev
452,Handtuch::N,수건,käterätik
453,Kraft::N,세력,jõud
454,Stärke::N,힘,tugevus
455,Gesundheit::N,위생,tervis
456,Krankheit::N,병,haigus
457,Schmerz::N,아픔고통,valu
458,Wunde::N,상처,haav
459,Fieber::N,열별,palavik
460,Arznei::N,약,ravim
461,Brücke::N,교량,sild
462,Brunnen::N,원천,kaev
463,Weide::N,목장,karjamaa
464,Pfad::N,좁은길,rada
465,Weg::N,길,tee
466,Straße::N,길,tee
467,Dorf::N,촌,küla
468,Dorf::N,촌락,küla
469,Stadt::N,도시,linn
470,Brief::N,서한,kiri
471,Buch::N,책,raamat
472,Buchstabe::N,문자,täht
473,Zeitung::N,신문,ajaleht
474,Leben::N,삶,elu
475,Tod::N,죽음,surm
476,Grab::N,무덤,haud
477,Kirche::N,교회,kirik
478,Sünde::N,부정,patt
479,Gott::N,하느님,jumal
480,Arbeiter::N,일하는사람,tööline
481,Chef::N,사장,ülemus
482,Chef::N,사장,juhataja
483,Meister::N,명인,meister
484,Meister::N,대가,meister
485,Arzt::N,의사,arst
486,Lehrer::N,교사,õpetaja
487,Geld::N,돈,raha
488,Geschäft::N,일,äri
489,Laden::N,가게,pood
490,Laden::N,가게,kauplus
491,Preis::N,가격,hind
492,Ware::N,상품,kaup
493,Nutzen::N,이익,tulu
494,Nutzen::N,이익,kasulikkus
495,Reichtum::N,많음,rikkus
496,Welt::N,세상,maailm
497,Land::N,지방,maa
498,Staat::N,국가,riik
499,König::N,국왕,kuningas
500,Macht::N,힘,võim
501,Grenze::N,국경,piir
502,Krieg::N,전쟁,sõda
503,Feind::N,적,vaenlane
504,Gewalt::N,권력,väevõim
505,Kampf::N,전투,võitlus
506,Bogen[Waffe]::N,활,vibu
507,Pfeil::N,화살,nool
508,Gewehr::N,무기,püss
509,Fehler::N,오류,viga
510,Lüge::N,거짓말,vale
511,Schaden::N,손상,kahju
512,Unglück::N,불행,häda
513,Unglück::N,불행,õnnetus
514,Schuld::N,부채,süü
515,Alter::N,연령,iga
516,Schluss::N,마감,lõpp
517,Zeit::N,때,aeg
518,Zeit::N,시간,aeg
519,Tag::N,하루,päev
520,Morgen::N,이침,hommik
521,Mittag::N,대낮,lõuna
522,Mittag::N,대낮,keskpäev
523,Abend::N,저녁,õhtu
524,Nacht::N,밤,öö
525,Woche::N,근무일,nädal
526,Monat::N,달,kuu
527,Jahr::N,해,aasta
528,Frühling::N,봄,kevad
529,Sommer::N,여름,suvi
530,Herbst::N,가을,sügis
531,Winter::N,겨울,talv
532,Januar::N,일월,jaanuar
533,Februar::N,이월,veebruar
534,März::N,삼월,märts
535,April::N,사월,aprill
536,Mai::N,오월,mai
537,Juni::N,유월,juuni
538,Juli::N,칠월,juuli
539,August::N,팔월,august
540,September::N,구월,september
541,Oktober::N,시월,oktoober
542,November::N,십일월,november
543,Dezember::N,십이월,detsember
544,Montag::N,월요일,esmaspäev
545,Dienstag::N,화요일,teisipäev
546,Mittwoch::N,수요일,kesknädal
547,Donnerstag::N,모교일,neljapäev
548,Freitag::N,그묘일,reede
549,Samstag::N,토요일,laupäev
550,Sonntag::N,일요일,pühapäev
551,groß::A,큰,suur
552,klein::A,자근,väike
553,klein::A,자근,pisike
554,lang::A,긴,pikk
555,kurz::A,짧은,lühike
556,breit::A,넓은,lai
557,schmal::A,좁은,kitsas
558,dicht::A,농밀한,tihe
559,dick[Gegenstand]::A,두꺼운,jäme
560,dünn::A,얇은,õhuke
561,dünn::A,얇은,peenike
562,fein::A,미세한,peen
563,fein::A,미세한,õhuke
564,fest::A,굳은,püsiv
565,fest::A,굳은,kindel
566,flach::A,얕은,lame
567,flach::A,얕은,tasane
568,glatt::A,반들반들한,sile
569,hart::A,굳은,kõva
570,weich::A,연한,pehme
571,rund::A,둥근,ümar
572,spitz::A,뾰족한,torkav
573,scharf::A,날카로운,terav
574,stumpf::A,무딘,nüri
575,schwer::A,무거운,raske
576,schön::A,멋진,kena
577,heiß::A,뜨거운,kuum
578,heiß::A,뜨거운,palav
579,warm::A,따뜻한,soe
580,kalt::A,찬,külm
581,kühl::A,서늘한,jahe
582,frisch::A,신선한,värske
583,feucht::A,축축한,niiske
584,nass::A,젖은,märg
585,trocken::A,마른,kuiv
586,voll::A,완전한,täis
587,leer::A,빈,tühi
588,offen::A,열린,avatud
589,offen::A,열린,lahtine
590,geschlossen::A,닫힌,suletud
591,sauber::A,깨끗한,puhas
592,schmutzig::A,더러운,räpane
593,schmutzig::A,더러운,määrdunud
594,roh::A,날게잇의,toores
595,reif::A,이근,küps
596,lecker::A,맛있는,hõrk
597,lecker::A,맛있는,maitsev
598,süß::A,단,magus
599,bitter::A,찌르는듯한,mõru
600,sauer::A,산성의,hapu
601,hell::A,밝은,hele
602,dunkel::A,어두운,pime
603,schwarz::A,검은,must
604,weiß::A,하얀,valge
605,rot::A,붉은,punane
606,gelb::A,황색,kollane
607,blau::A,푸른,sinine
608,grün::A,녹색의,roheline
609,grau::A,회색의,hall
610,bunt::A,알록달록한,kirju
611,bunt::A,알록달록한,värviline
612,billig::A,싼,odav
613,teuer::A,값비산,kallis
614,wertvoll::A,가치가많은,väärtuslik
615,blind::A,눈먼,pime
616,taub::A,무감간한,kurt
617,kräftig::A,강장한,jõuline
618,stark::A,강한,tugev
619,schwach::A,약한,nõrk
620,schwach::A,약한,jõuetu
621,fett::A,실찐,rasvane
622,schlank::A,호리호리한,sale
623,hübsch::A,예쁜,kena
624,böse::A,나쁜,tige
625,dumm::A,어리석은,juhm
626,dumm::A,어리석은,rumal
627,faul::A,너덜너덜한,laisk
628,fleißig::A,근면한,virk
629,fleißig::A,근면한,hoolas
630,geizig::A,인색한,ihne
631,geschickt::A,교묘한,osav
632,lieb::A,친애하는,armas
633,lustig::A,유쾌한,lõbus
634,sanft::A,온화한,õrn
635,hungrig::A,배고픈,näljane
636,krank::A,병든,haige
637,nackt::A,벌거벗은,alasti
638,traurig::A,슬픈,kurb
639,lebendig::A,살아있는,elus
640,gut::A,좋은,hea
641,schlecht::A,나쁜,halb
642,richtig::A,바른,õige
643,schlimm::A,못된,paha
644,wahr::A,참된,tõene
645,alt::A,늙은,vana
646,neu::A,새,uus
647,ehemalig::A,전의,endine
648,alt[Lebewesen]::A,낡은,vana
649,jung::A,젊은,noor
650,arm::A,가난한,vaene
651,reich::A,풍부한,rikas
652,bekannt::A,저명한,teada
653,bekannt::A,저명한,tuttav
654,berühmt::A,유명한,tuntud
655,fremd::A,타처이,võõras
656,verschieden::A,따른,erinev
657,nah::A,가까운,lähedane
658,fern::A,먼,kauge
659,linker::A,왼쭉의,vasak
660,rechter::A,오른쪽의,parem
661,anderer::A,다른,muu
662,anderer::A,다른,teine
663,erster::A,첫째,esimene
664,zweiter::A,둘째,teine
665,dritter::A,셋째,kolmas
666,letzter::A,의후자의,viimane
667,allein::ADV,훌로,üksi
668,auf einmal::ADV,갑자기,korraga
669,auf einmal::ADV,갑자기,ühekorraga
670,zusammen::ADV,모아서,koos
671,zusammen::ADV,모아서,üheskoos
672,lange::ADV,오래,kaua
673,plötzlich::ADV,둘연한,äkki
674,plötzlich::ADV,둘연한,järsku
675,sofort::ADV,즉시,kohe
676,später::ADV,보다늦은,hiljem
677,jetzt::ADV,목하,nüüd
678,heute::ADV,오늘,täna
679,morgen::ADV,내일,homme
680,bald::ADV,곱,pea
681,bald::ADV,곱,varsti
682,dann::ADV,그경우에,siis
683,gestern::ADV,어제,eile
684,einst::ADV,옛날에,vanasti
685,damals::ADV,그때에,tookord
686,danach::ADV,그 뒤에,seejärel
687,vorher::ADV,미리,enne
688,zuerst::ADV,최초로,enne
689,zuerst::ADV,최초로,esmalt
690,einmal::ADV,한번,kord
691,einmal::ADV,한번,üks kord
692,manchmal::ADV,땓대로,mõnikord
693,oft::ADV,땓대로,tihti
694,oft::ADV,땓대로,sageli
695,immer::ADV,늘,ikka
696,immer::ADV,늘,alati
697,niemals::ADV,결코...(하지)않다,mitte kunagi
698,hier::ADV,여기,siin
699,hierhin::ADV,여기로,siia
700,dort::ADV,거기,seal
701,dorthin::ADV,저기예,sinna
702,geradeaus::ADV,곧장,otse edasi
703,vorwärts::ADV,앞으로,edasi
704,rückwärts::ADV,뒤로,tagurpidi
705,zurück::ADV,제자리로,tagasi
706,unten::ADV,아래에,all
707,unten::ADV,아래에,allpool
708,hinab::ADV,아래쪽으로,alla
709,oben::ADV,위에,ülal
710,hinauf::ADV,위쪽으로,üles
711,überall::ADV,도처에,kõikjal
712,nicht::ADV,안,ei
713,nicht::ADV,안,mitte
714,ein wenig::ADV,적음,veidi
715,ein wenig::ADV,적음,natuke
716,kaum::ADV,가의,vaevalt
717,sehr::ADV,자주,väga
718,so::ADV,그와같이,nii
719,noch::ADV,아직,veel
720,nur::ADV,다만,ainult
721,schon::ADV,이미,juba
722,wieder::ADV,다시,jälle
723,vergebens::ADV,헛되이,asjata
724,vor::PRP,앞에,ees
725,hinter::PRP,뒤에,taha
726,unter::PRP,잍에,all
727,durch::PRP,통고하여,läbi
728,durch::PRP,통고하여,kaudu
729,neben::PRP,와나란히,kõrval
730,zwischen::PRP,의사이로,vahel
731,wegen::PRP,때문에,tõttu
732,wegen::PRP,때문에,pärast
733,dies::PRN,이,see
734,das::PRN,저,see
735,alles::PRN,모든것,kõik
736,ich::PRN,나,mina
737,du::PRN,너,sina
738,er::PRN,그,tema
739,wir::PRN,우리,me
740,ihr::PRN,너희들,te
741,sie::PRN,그들,nad
742,was::FPRN,뭣,mis
743,wer::FPRN,누구,kes
744,wo::FADV,어디,kus
745,wohin::FADV,어디로,kuhu
746,wie::FADV,어떻게,kuidas
747,warum::FADV,왜,miks
748,wieviel::FNUM,얼마만큰,mitu
749,wieviel::FNUM,얼마만큰,kui palju
750,eins::NUM,하나,üks
751,zwei::NUM,둘,kaks
752,drei::NUM,셋,kolm
753,vier::NUM,넷,neli
754,fünf::NUM,다섯,viis
755,sechs::NUM,여섯,kuus
756,sieben::NUM,일곱,seitse
757,acht::NUM,여덟,kaheksa
758,neun::NUM,아홉,üheksa
759,zehn::NUM,열,kümme
760,elf::NUM,열하나,üksteist
761,zwölf::NUM,열둘,kaksteist
762,zwanzig::NUM,스물,kakskümmend
763,dreißig::NUM,서름,kolmkümmend
764,vierzig::NUM,마흔,nelikümmend
765,fünfzig::NUM,숸,viiskümmend
766,sechzig::NUM,에순,kuuskümmend
767,siebzig::NUM,일흔,seitsekümmend
768,achtzig::NUM,여든,kaheksakümmend
769,neunzig::NUM,아흔,üheksakümmend
770,hundert::NUM,백,sada
771,tausend::NUM,천,tuhat
772,und::CNJ,와,ja
773,oder::CNJ,아니면,või
774,stehen::V,서다,seisma
775,sitzen::V,앉다,istuma
776,liegen::V,눕다,lamama
777,hängen::V,달다,rippuma
778,werden::V,되다,saama
779,werden::V,되다,hakkama
780,passieren::V,지장옶다,juhtuma
781,beginnen::V,시작되다,algama
782,beginnen::V,시작되다,hakkama
783,enden::V,큳내다,lõppema
784,wechseln::V,병경하다,vahelduma
785,aufgehen[Sonne]::V,뜨다,tõusma
786,untergehen[Sonne]::V,지다,loojuma
787,scheinen[Sonne]::V,빛나다,paistma
788,donnern::V,천둥치다,kõmisema
789,wehen::V,풀다,puhuma
790,strömen::V,흐르다,voolama
791,fließen::V,흐르다,voolama
792,sich drehen::V,돌다,pöörduma
793,schwanken::V,동요하다,kõikuma
794,schwingen::V,흔들다,võnkuma
795,fallen::V,떨어지다,langema
796,brennen::V,타다,põlema
797,rauchen::V,김이나다,suitsema
798,regnen::V,비가오다,sadama
799,gefrieren::V,얼다,kinni külmuma
800,tauen::V,녹다,sulama
801,schmelzen::V,녹다,sulama
802,trocknen::V,홈치다,kuivama
803,sieden::V,끓다,keema
804,faulen::V,부패하다,mädanema
805,verfaulen::V,썩다,mädanema
806,reißen::V,지바찢다,rebenema
807,versinken::V,가라앉다,uppuma
808,vergehen::V,지나가다,mööduma
809,erscheinen::V,나타나다,ilmuma
810,verschwinden::V,사라지다,kaduma
811,sinken::V,가라앉다,vajuma
812,sinken::V,가라앉다,langema
813,abnehmen::V,떼어내다,vähenema
814,abnehmen::V,떼어내다,kahenema
815,zunehmen::V,증가하다,kasvama
816,steigen::V,상승하다,tõusma
817,steigen::V,상승하다,üles minema
818,wachsen::V,생기하다,kasvama
819,glänzen::V,뛰오나다,läikimä
820,funkeln::V,불티가잍어나다,sädelema
821,lärmen::V,떠들다,lärmama
822,läuten::V,울시다,helisema
823,klingeln::V,초닌총을울리다,helisema
824,klirren::V,탁탁울리다,kõlisema
825,brausen::V,쏴쏴소리내다,kohisema
826,rauschen::V,솨솨,kohisema
827,klingen::V,반향하다,kõlama
828,bellen::V,짖다,haukuma
829,heulen::V,포효하다,uluma
830,blasen::V,불다,puhuma
831,pfeifen::V,피리를불다,vilistama
832,schreien::V,절규하다,karjuma
833,stöhnen::V,신음하다,oigama
834,zittern::V,저뉼하다,värisema
835,leben::V,살다,elama
836,leben::V,살다,elus olema
837,geboren werden::V,태어난,sündima
838,atmen::V,숨쉬다,hingama
839,trinken::V,마시다,jooma
840,essen::V,먹다,sööma
841,schlucken::V,들이켜다,neelama
