,Concept_ID,tr,ce
249,Schwester::N,abla,йиша
250,Schwester::N,kız kardeş,йиша
251,Onkel::N,dayı,деваша
252,Tante::N,hala,дейиша
253,Tante::N,teyze,дейиша
254,Ehemann::N,koca,майра
255,Ehefrau::N,karı,зуда
256,Freude::N,neşe,самукъа
257,Freude::N,neşe,хазахетар
258,Freude::N,sevinç,самукъа
259,Freude::N,sevinç,хазахетар
260,Gelächter::N,gülme,белам
261,Gelächter::N,kahkaha,белам
262,Glück::N,mutluluk,ирс
263,Kummer::N,dert,бала
264,Kummer::N,keder,бала
265,Wunsch::N,arzu,лаам
266,Wunsch::N,istek,лаам
267,Lust::N,arzu,лаам
268,Lust::N,heves,лаам
269,Geist::N,tin,са
270,Gedanke::N,fikir,ойла
271,Gedanke::N,düşünce,ойла
272,Gedächtnis::N,bellek,диццадалар
273,Verstand::N,zekâ,хьекъал
274,Sinn::N,anlam,маьӏна
275,Grund::N,sebep,бахьана
276,Wahrheit::N,doğruluk,бакъдерг
277,Wahrheit::N,gerçeklik,бакъдерг
278,Gespräch::N,görüşme,къамел
279,Märchen::N,masal,туьйра
280,Erzählung::N,öykü,дийцар
281,Erzählung::N,hikâye,дийцар
282,Nachricht::N,haber,хаам
283,Neuigkeit::N,haber,керланиг
284,Name::N,ad,цӏе
285,Name::N,isim,цӏе
286,Rätsel::N,bilmece,хӏетал-метал
287,Rede::N,söylev,къамел
288,Rede::N,konuşma,къамел
289,Sprache::N,dil,мотт
290,Sprache::N,lisan,мотт
291,Stimme::N,ses,aз
292,Wort::N,kelime,дош
293,Zeichen::N,işaret,билгало
294,Ruf::N,çağırma,кхайкхар
295,Lärm::N,şamata,гӏовгӏа
296,Lärm::N,gürültü,гӏовгӏа
297,Laut::N,ses,аз
298,Ton::N,ses,aз
299,Lied::N,türkü,илли
300,Ruhe::N,sakinlik,тийналла
301,Leute::N,halk,нах
302,Leute::N,insanlar,нах
303,Volk::N,ulus,халкъ
304,Volk::N,millet,халкъ
305,Arbeit::N,iş,болх
306,Arbeit::N,çalışma,болх
307,Gast::N,konuk,хьаша
308,Gast::N,misafir,хьаша
309,Geschenk::N,hediye,совгӏат
310,Geschenk::N,armağan,совгӏат
311,Spiel::N,oyun,ловзар
312,Gesellschaft::N,çevre,юкъаралла
313,Gesellschaft::N,arkadaşlık,юкъаралла
314,Hilfe::N,yardım,гӏо
315,Freund::N,dost,доттагl
316,Freund::N,arkadaş,доттагl
317,Kamerad::N,arkadaş,накъост
318,Angelegenheit::N,iş,гӏуллакх
319,Angelegenheit::N,husus,гӏуллакх
320,Anzahl::N,sayı,терахь
321,Art::N,çeşit,
322,Stück::N,tane,юьхк
323,Stück::N,parça,юьхк
324,Teil::N,kısım,дакъа
325,Hälfte::N,yarı,ах
326,Kreis::N,daire,го
327,Kreuz::N,haç,жӏара
328,Linie::N,hat,сиз
329,Linie::N,çizgi,сиз
330,Strich::N,çizgi,сиз
331,Abstand::N,aralık,юкъ
332,Entfernung::N,mesafe,
333,Entfernung::N,uzaklık,
334,Gegend::N,yöre,мeттиг
335,Platz::N,yer,майда
336,Ort::N,yer,меттиг
337,Seite::N,yan,aгӏo
338,Seite::N,taraf,aгӏo
339,Mitte::N,orta,юкъ
340,Mitte::N,merkez,юкъ
341,Gegenstand::N,şey,хӏума
342,Sache::N,iş,хӏума
343,Sache::N,şey,хӏума
344,Rand::N,kenar,йист
345,Kante::N,kenar,йист
346,Ecke::N,köşe,са
347,Spitze::N,uç,ралла
348,Spitze::N,baş,ралла
349,Ende::N,uç,юьхьиг
350,Loch::N,oyuk,ӏуьрг
351,Loch::N,delik,ӏуьрг
352,Winkel::N,köşe,са
353,Muster::N,örnek,дагар
354,Muster::N,örnek,тӏамар
355,Größe::N,büyüklük,барам
356,Länge::N,uzunluk,йохалла
357,Höhe::N,yükseklik,локхалла
358,Gewicht::N,ağırlık,йозалла
359,Menge::N,miktar,дукхалла
360,Haufen::N,küme,сал
361,Haufen::N,küme,оьла
362,Haufen::N,yığın,сал
363,Haufen::N,yığın,оьла
364,Reihe::N,sıra,рагӏ
365,Reihe::N,sıra,могӏа
366,Boot::N,kayık,кема
367,Boot::N,sandal,кема
368,Ruder::N,kürek,пийсиг
369,Schlitten::N,kızak,салаз
370,Ski::N,kayak,когсалаз
371,Lagerfeuer::N,kamp ateşi,цӏе
372,Last::N,yük,дукъ
373,Gang::N,gidiş,лелар
